character_trait_levels_tables	0
key	level	trait	threshold_points
wh2_dlc11_spell_deep_ghost_ship_enable	1	wh2_dlc11_spell_deep_ghost_ship_enable	0
wh2_dlc11_spell_deep_krakens_pull_disable	1	wh2_dlc11_spell_deep_krakens_pull_disable	0
wh2_dlc11_spell_deep_krakens_pull_enable	1	wh2_dlc11_spell_deep_krakens_pull_enable	0
wh2_dlc11_spell_deep_spiteful_shot_disable	1	wh2_dlc11_spell_deep_spiteful_shot_disable	0
wh2_dlc11_spell_deep_spiteful_shot_enable	1	wh2_dlc11_spell_deep_spiteful_shot_enable	0
wh2_dlc11_hero_abilities_bomb_throw_disable	1	wh2_dlc11_hero_abilities_bomb_throw_disable	0
wh2_dlc11_hero_abilities_bomb_throw_enable	1	wh2_dlc11_hero_abilities_bomb_throw_enable	0
wh2_dlc11_spell_deep_tidecall_disable	1	wh2_dlc11_spell_deep_tidecall_disable	0
wh2_dlc11_spell_deep_tidecall_enable	1	wh2_dlc11_spell_deep_tidecall_enable	0
wh2_dlc11_spell_beasts_transformation_of_kadon_disable	1	wh2_dlc11_spell_beasts_transformation_of_kadon_disable	0
wh2_dlc11_spell_beasts_transformation_of_kadon_enable	1	wh2_dlc11_spell_beasts_transformation_of_kadon_enable	0
wh2_dlc11_spell_vampires_drowned_dead_disable	1	wh2_dlc11_spell_vampires_drowned_dead_disable	0
wh2_dlc11_spell_vampires_drowned_dead_enable	1	wh2_dlc11_spell_vampires_drowned_dead_enable	0
wh2_main_spell_dark_magic_bladewind_disable	1	wh2_main_spell_dark_magic_bladewind_disable	0
wh2_main_spell_dark_magic_bladewind_enable	1	wh2_main_spell_dark_magic_bladewind_enable	0
wh2_main_spell_dark_magic_chillwind_disable	1	wh2_main_spell_dark_magic_chillwind_disable	0
wh2_main_spell_dark_magic_chillwind_enable	1	wh2_main_spell_dark_magic_chillwind_enable	0
wh2_main_spell_dark_magic_doombolt_disable	1	wh2_main_spell_dark_magic_doombolt_disable	0
wh2_main_spell_dark_magic_doombolt_enable	1	wh2_main_spell_dark_magic_doombolt_enable	0
wh2_main_spell_dark_magic_power_of_darkness_disable	1	wh2_main_spell_dark_magic_power_of_darkness_disable	0
wh2_main_spell_dark_magic_power_of_darkness_enable	1	wh2_main_spell_dark_magic_power_of_darkness_enable	0
wh2_main_spell_dark_magic_power_of_darkness_disable	1	wh2_main_spell_dark_magic_power_of_darkness_disable	0
wh2_main_spell_dark_magic_power_of_darkness_enable	1	wh2_main_spell_dark_magic_power_of_darkness_enable	0
wh2_main_spell_dark_magic_soul_stealer_disable	1	wh2_main_spell_dark_magic_soul_stealer_disable	0
wh2_main_spell_dark_magic_soul_stealer_enable	1	wh2_main_spell_dark_magic_soul_stealer_enable	0
wh2_main_spell_dark_magic_word_of_pain_disable	1	wh2_main_spell_dark_magic_word_of_pain_disable	0
wh2_main_spell_dark_magic_word_of_pain_enable	1	wh2_main_spell_dark_magic_word_of_pain_enable	0
wh2_main_spell_high_magic_apotheosis_disable	1	wh2_main_spell_high_magic_apotheosis_disable	0
wh2_main_spell_high_magic_apotheosis_enable	1	wh2_main_spell_high_magic_apotheosis_enable	0
wh2_main_spell_high_magic_arcane_unforging_disable	1	wh2_main_spell_high_magic_arcane_unforging_disable	0
wh2_main_spell_high_magic_arcane_unforging_enable	1	wh2_main_spell_high_magic_arcane_unforging_enable	0
wh2_main_spell_high_magic_fiery_convocation_disable	1	wh2_main_spell_high_magic_fiery_convocation_disable	0
wh2_main_spell_high_magic_fiery_convocation_enable	1	wh2_main_spell_high_magic_fiery_convocation_enable	0
wh2_main_spell_high_magic_hand_of_glory_disable	1	wh2_main_spell_high_magic_hand_of_glory_disable	0
wh2_main_spell_high_magic_hand_of_glory_enable	1	wh2_main_spell_high_magic_hand_of_glory_enable	0
wh2_main_spell_high_magic_soul_quench_disable	1	wh2_main_spell_high_magic_soul_quench_disable	0
wh2_main_spell_high_magic_soul_quench_enable	1	wh2_main_spell_high_magic_soul_quench_enable	0
wh2_main_spell_high_magic_tempest_disable	1	wh2_main_spell_high_magic_tempest_disable	0
wh2_main_spell_high_magic_tempest_enable	1	wh2_main_spell_high_magic_tempest_enable	0
wh2_main_spell_plague_bless_with_filth_disable	1	wh2_main_spell_plague_bless_with_filth_disable	0
wh2_main_spell_plague_bless_with_filth_enable	1	wh2_main_spell_plague_bless_with_filth_enable	0
wh2_main_spell_grey_seer_the_dreaded_thirteenth_spell_disable	1	wh2_main_spell_grey_seer_the_dreaded_thirteenth_spell_disable	0
wh2_main_spell_grey_seer_the_dreaded_thirteenth_spell_enable	1	wh2_main_spell_grey_seer_the_dreaded_thirteenth_spell_enable	0
wh2_main_spell_plague_pestilent_birth_disable	1	wh2_main_spell_plague_pestilent_birth_disable	0
wh2_main_spell_plague_pestilent_birth_enable	1	wh2_main_spell_plague_pestilent_birth_enable	0
wh2_main_spell_plague_pestilent_breath_disable	1	wh2_main_spell_plague_pestilent_breath_disable	0
wh2_main_spell_plague_pestilent_breath_enable	1	wh2_main_spell_plague_pestilent_breath_enable	0
wh2_main_spell_plague_plague_disable	1	wh2_main_spell_plague_plague_disable	0
wh2_main_spell_plague_plague_enable	1	wh2_main_spell_plague_plague_enable	0
wh2_main_spell_plague_vermintide_disable	1	wh2_main_spell_plague_vermintide_disable	0
wh2_main_spell_plague_vermintide_enable	1	wh2_main_spell_plague_vermintide_enable	0
wh2_main_spell_plague_wither_disable	1	wh2_main_spell_plague_wither_disable	0
wh2_main_spell_plague_wither_enable	1	wh2_main_spell_plague_wither_enable	0
wh2_main_spell_ruin_cracks_call_disable	1	wh2_main_spell_ruin_cracks_call_disable	0
wh2_main_spell_ruin_cracks_call_enable	1	wh2_main_spell_ruin_cracks_call_enable	0
wh2_main_spell_ruin_death_frenzy_disable	1	wh2_main_spell_ruin_death_frenzy_disable	0
wh2_main_spell_ruin_death_frenzy_enable	1	wh2_main_spell_ruin_death_frenzy_enable	0
wh2_main_spell_ruin_howling_warpgale_disable	1	wh2_main_spell_ruin_howling_warpgale_disable	0
wh2_main_spell_ruin_howling_warpgale_enable	1	wh2_main_spell_ruin_howling_warpgale_enable	0
wh2_main_spell_ruin_scorch_disable	1	wh2_main_spell_ruin_scorch_disable	0
wh2_main_spell_ruin_scorch_enable	1	wh2_main_spell_ruin_scorch_enable	0
wh2_main_spell_ruin_skitterleap_disable	1	wh2_main_spell_ruin_skitterleap_disable	0
wh2_main_spell_ruin_skitterleap_enable	1	wh2_main_spell_ruin_skitterleap_enable	0
wh2_main_spell_ruin_warp_lightning_disable	1	wh2_main_spell_ruin_warp_lightning_disable	0
wh2_main_spell_ruin_warp_lightning_enable	1	wh2_main_spell_ruin_warp_lightning_enable	0
wh_dlc03_spell_beasts_flock_of_doom_disable	1	wh_dlc03_spell_beasts_flock_of_doom_disable	0
wh_dlc03_spell_beasts_flock_of_doom_enable	1	wh_dlc03_spell_beasts_flock_of_doom_enable	0
wh_dlc03_spell_beasts_panns_impenetrable_pelt_disable	1	wh_dlc03_spell_beasts_panns_impenetrable_pelt_disable	0
wh_dlc03_spell_beasts_panns_impenetrable_pelt_enable	1	wh_dlc03_spell_beasts_panns_impenetrable_pelt_enable	0
wh_dlc03_spell_beasts_the_amber_spear_disable	1	wh_dlc03_spell_beasts_the_amber_spear_disable	0
wh_dlc03_spell_beasts_the_amber_spear_enable	1	wh_dlc03_spell_beasts_the_amber_spear_enable	0
wh_dlc03_spell_beasts_the_curse_of_anraheir_disable	1	wh_dlc03_spell_beasts_the_curse_of_anraheir_disable	0
wh_dlc03_spell_beasts_the_curse_of_anraheir_enable	1	wh_dlc03_spell_beasts_the_curse_of_anraheir_enable	0
wh_dlc03_spell_beasts_transformation_of_kadon_disable	1	wh_dlc03_spell_beasts_transformation_of_kadon_disable	0
wh_dlc03_spell_beasts_transformation_of_kadon_enable	1	wh_dlc03_spell_beasts_transformation_of_kadon_enable	0
wh_dlc03_spell_beasts_wyssans_wildform_disable	1	wh_dlc03_spell_beasts_wyssans_wildform_disable	0
wh_dlc03_spell_beasts_wyssans_wildform_enable	1	wh_dlc03_spell_beasts_wyssans_wildform_enable	0
wh_dlc03_spell_wild_bray_scream_disable	1	wh_dlc03_spell_wild_bray_scream_disable	0
wh_dlc03_spell_wild_bray_scream_enable	1	wh_dlc03_spell_wild_bray_scream_enable	0
wh_dlc03_spell_wild_devolve_disable	1	wh_dlc03_spell_wild_devolve_disable	0
wh_dlc03_spell_wild_devolve_enable	1	wh_dlc03_spell_wild_devolve_enable	0
wh_dlc03_spell_wild_mantle_of_ghorok_disable	1	wh_dlc03_spell_wild_mantle_of_ghorok_disable	0
wh_dlc03_spell_wild_mantle_of_ghorok_enable	1	wh_dlc03_spell_wild_mantle_of_ghorok_enable	0
wh_dlc03_spell_wild_savage_dominion_disable	1	wh_dlc03_spell_wild_savage_dominion_disable	0
wh_dlc03_spell_wild_savage_dominion_enable	1	wh_dlc03_spell_wild_savage_dominion_enable	0
wh_dlc03_spell_wild_traitor_kin_disable	1	wh_dlc03_spell_wild_traitor_kin_disable	0
wh_dlc03_spell_wild_traitor_kin_enable	1	wh_dlc03_spell_wild_traitor_kin_enable	0
wh_dlc03_spell_wild_viletide_disable	1	wh_dlc03_spell_wild_viletide_disable	0
wh_dlc03_spell_wild_viletide_enable	1	wh_dlc03_spell_wild_viletide_enable	0
wh_dlc04_spell_death_doom_and_darkness_strigoi_disable	1	wh_dlc04_spell_death_doom_and_darkness_strigoi_disable	0
wh_dlc04_spell_death_doom_and_darkness_strigoi_enable	1	wh_dlc04_spell_death_doom_and_darkness_strigoi_enable	0
wh_dlc04_spell_death_soulblight_strigoi_disable	1	wh_dlc04_spell_death_soulblight_strigoi_disable	0
wh_dlc04_spell_death_soulblight_strigoi_enable	1	wh_dlc04_spell_death_soulblight_strigoi_enable	0
wh_dlc04_spell_death_spirit_leech_strigoi_disable	1	wh_dlc04_spell_death_spirit_leech_strigoi_disable	0
wh_dlc04_spell_death_spirit_leech_strigoi_enable	1	wh_dlc04_spell_death_spirit_leech_strigoi_enable	0
wh_dlc04_spell_vampires_gaze_of_nagash_strigoi_disable	1	wh_dlc04_spell_vampires_gaze_of_nagash_strigoi_disable	0
wh_dlc04_spell_vampires_gaze_of_nagash_strigoi_enable	1	wh_dlc04_spell_vampires_gaze_of_nagash_strigoi_enable	0
wh_dlc04_spell_vampires_invocation_of_nehek_strigoi_disable	1	wh_dlc04_spell_vampires_invocation_of_nehek_strigoi_disable	0
wh_dlc04_spell_vampires_invocation_of_nehek_strigoi_enable	1	wh_dlc04_spell_vampires_invocation_of_nehek_strigoi_enable	0
wh_dlc04_spell_vampires_raise_dead_helman_disable	1	wh_dlc04_spell_vampires_raise_dead_helman_disable	0
wh_dlc04_spell_vampires_raise_dead_helman_enable	1	wh_dlc04_spell_vampires_raise_dead_helman_enable	0
wh_dlc04_spell_vampires_raise_dead_strigoi_disable	1	wh_dlc04_spell_vampires_raise_dead_strigoi_disable	0
wh_dlc04_spell_vampires_raise_dead_strigoi_enable	1	wh_dlc04_spell_vampires_raise_dead_strigoi_enable	0
wh_dlc05_lore_passive_life_bloom_disable	1	wh_dlc05_lore_passive_life_bloom_disable	0
wh_dlc05_lore_passive_life_bloom_enable	1	wh_dlc05_lore_passive_life_bloom_enable	0
wh_dlc05_lore_passive_smoke_and_mirrors_disable	1	wh_dlc05_lore_passive_smoke_and_mirrors_disable	0
wh_dlc05_lore_passive_smoke_and_mirrors_enable	1	wh_dlc05_lore_passive_smoke_and_mirrors_enable	0
wh_dlc05_spell_life_awakening_of_the_wood_disable	1	wh_dlc05_spell_life_awakening_of_the_wood_disable	0
wh_dlc05_spell_life_awakening_of_the_wood_enable	1	wh_dlc05_spell_life_awakening_of_the_wood_enable	0
wh_dlc05_spell_life_awakening_the_wood_branchwraith_disable	1	wh_dlc05_spell_life_awakening_the_wood_branchwraith_disable	0
wh_dlc05_spell_life_awakening_the_wood_branchwraith_enable	1	wh_dlc05_spell_life_awakening_the_wood_branchwraith_enable	0
wh_dlc05_spell_life_earth_blood_disable	1	wh_dlc05_spell_life_earth_blood_disable	0
wh_dlc05_spell_life_earth_blood_enable	1	wh_dlc05_spell_life_earth_blood_enable	0
wh_dlc05_spell_life_earth_blood_branchwraith_disable	1	wh_dlc05_spell_life_earth_blood_branchwraith_disable	0
wh_dlc05_spell_life_earth_blood_branchwraith_enable	1	wh_dlc05_spell_life_earth_blood_branchwraith_enable	0
wh_dlc05_spell_life_flesh_to_stone_disable	1	wh_dlc05_spell_life_flesh_to_stone_disable	0
wh_dlc05_spell_life_flesh_to_stone_enable	1	wh_dlc05_spell_life_flesh_to_stone_enable	0
wh_dlc05_spell_life_regrowth_disable	1	wh_dlc05_spell_life_regrowth_disable	0
wh_dlc05_spell_life_regrowth_enable	1	wh_dlc05_spell_life_regrowth_enable	0
wh_dlc05_spell_life_shield_of_thorns_disable	1	wh_dlc05_spell_life_shield_of_thorns_disable	0
wh_dlc05_spell_life_shield_of_thorns_enable	1	wh_dlc05_spell_life_shield_of_thorns_enable	0
wh_dlc05_spell_life_shield_of_thorns_branchwraith_disable	1	wh_dlc05_spell_life_shield_of_thorns_branchwraith_disable	0
wh_dlc05_spell_life_shield_of_thorns_branchwraith_enable	1	wh_dlc05_spell_life_shield_of_thorns_branchwraith_enable	0
wh_dlc05_spell_life_the_dwellers_below_disable	1	wh_dlc05_spell_life_the_dwellers_below_disable	0
wh_dlc05_spell_life_the_dwellers_below_enable	1	wh_dlc05_spell_life_the_dwellers_below_enable	0
wh_dlc08_spell_death_aspect_of_the_dreadknight_arzik_disable	1	wh_dlc08_spell_death_aspect_of_the_dreadknight_arzik_disable	0
wh_dlc08_spell_death_aspect_of_the_dreadknight_arzik_enable	1	wh_dlc08_spell_death_aspect_of_the_dreadknight_arzik_enable	0
wh_dlc08_spell_death_soulblight_arzik_disable	1	wh_dlc08_spell_death_soulblight_arzik_disable	0
wh_dlc08_spell_death_soulblight_arzik_enable	1	wh_dlc08_spell_death_soulblight_arzik_enable	0
wh_dlc08_spell_death_the_fate_of_bjuna_arzik_disable	1	wh_dlc08_spell_death_the_fate_of_bjuna_arzik_disable	0
wh_dlc08_spell_death_the_fate_of_bjuna_arzik_enable	1	wh_dlc08_spell_death_the_fate_of_bjuna_arzik_enable	0
wh_dlc08_spell_fire_fireball_kihar_disable	1	wh_dlc08_spell_fire_fireball_kihar_disable	0
wh_dlc08_spell_fire_fireball_kihar_enable	1	wh_dlc08_spell_fire_fireball_kihar_enable	0
wh_dlc08_spell_fire_flaming_sword_of_rhuin_kihar_disable	1	wh_dlc08_spell_fire_flaming_sword_of_rhuin_kihar_disable	0
wh_dlc08_spell_fire_flaming_sword_of_rhuin_kihar_enable	1	wh_dlc08_spell_fire_flaming_sword_of_rhuin_kihar_enable	0
wh_dlc08_spell_metal_final_transmutation_arzik_disable	1	wh_dlc08_spell_metal_final_transmutation_arzik_disable	0
wh_dlc08_spell_metal_final_transmutation_arzik_enable	1	wh_dlc08_spell_metal_final_transmutation_arzik_enable	0
wh_dlc08_spell_metal_gehennas_golden_hounds_arzik_disable	1	wh_dlc08_spell_metal_gehennas_golden_hounds_arzik_disable	0
wh_dlc08_spell_metal_gehennas_golden_hounds_arzik_enable	1	wh_dlc08_spell_metal_gehennas_golden_hounds_arzik_enable	0
wh_dlc08_spell_metal_plague_of_rust_kihar_disable	1	wh_dlc08_spell_metal_plague_of_rust_kihar_disable	0
wh_dlc08_spell_metal_plague_of_rust_kihar_enable	1	wh_dlc08_spell_metal_plague_of_rust_kihar_enable	0
wh_dlc08_spell_metal_searing_doom_arzik_disable	1	wh_dlc08_spell_metal_searing_doom_arzik_disable	0
wh_dlc08_spell_metal_searing_doom_arzik_enable	1	wh_dlc08_spell_metal_searing_doom_arzik_enable	0
wh_dlc08_spell_metal_transmutation_of_lead_kihar_disable	1	wh_dlc08_spell_metal_transmutation_of_lead_kihar_disable	0
wh_dlc08_spell_metal_transmutation_of_lead_kihar_enable	1	wh_dlc08_spell_metal_transmutation_of_lead_kihar_enable	0
wh_main_spell_big_waaagh_brain_bursta_disable	1	wh_main_spell_big_waaagh_brain_bursta_disable	0
wh_main_spell_big_waaagh_brain_bursta_enable	1	wh_main_spell_big_waaagh_brain_bursta_enable	0
wh_main_spell_big_waaagh_eadbutt_disable	1	wh_main_spell_big_waaagh_eadbutt_disable	0
wh_main_spell_big_waaagh_eadbutt_enable	1	wh_main_spell_big_waaagh_eadbutt_enable	0
wh_main_spell_big_waaagh_ere_we_go_disable	1	wh_main_spell_big_waaagh_ere_we_go_disable	0
wh_main_spell_big_waaagh_ere_we_go_enable	1	wh_main_spell_big_waaagh_ere_we_go_enable	0
wh_main_spell_big_waaagh_fists_of_gork_disable	1	wh_main_spell_big_waaagh_fists_of_gork_disable	0
wh_main_spell_big_waaagh_fists_of_gork_enable	1	wh_main_spell_big_waaagh_fists_of_gork_enable	0
wh_main_spell_big_waaagh_foot_of_gork_disable	1	wh_main_spell_big_waaagh_foot_of_gork_disable	0
wh_main_spell_big_waaagh_foot_of_gork_enable	1	wh_main_spell_big_waaagh_foot_of_gork_enable	0
wh_main_spell_big_waaagh_gaze_of_mork_disable	1	wh_main_spell_big_waaagh_gaze_of_mork_disable	0
wh_main_spell_big_waaagh_gaze_of_mork_enable	1	wh_main_spell_big_waaagh_gaze_of_mork_enable	0
wh_main_spell_death_aspect_of_the_dreadknight_disable	1	wh_main_spell_death_aspect_of_the_dreadknight_disable	0
wh_main_spell_death_aspect_of_the_dreadknight_enable	1	wh_main_spell_death_aspect_of_the_dreadknight_enable	0
wh_main_spell_death_doom_and_darkness_disable	1	wh_main_spell_death_doom_and_darkness_disable	0
wh_main_spell_death_doom_and_darkness_enable	1	wh_main_spell_death_doom_and_darkness_enable	0
wh_main_spell_death_soulblight_disable	1	wh_main_spell_death_soulblight_disable	0
wh_main_spell_death_soulblight_enable	1	wh_main_spell_death_soulblight_enable	0
wh_main_spell_death_spirit_leech_disable	1	wh_main_spell_death_spirit_leech_disable	0
wh_main_spell_death_spirit_leech_enable	1	wh_main_spell_death_spirit_leech_enable	0
wh_main_spell_death_the_fate_of_bjuna_disable	1	wh_main_spell_death_the_fate_of_bjuna_disable	0
wh_main_spell_death_the_fate_of_bjuna_enable	1	wh_main_spell_death_the_fate_of_bjuna_enable	0
wh_main_spell_death_the_purple_sun_of_xereus_disable	1	wh_main_spell_death_the_purple_sun_of_xereus_disable	0
wh_main_spell_death_the_purple_sun_of_xereus_enable	1	wh_main_spell_death_the_purple_sun_of_xereus_enable	0
wh_main_spell_fire_cascading_fire_cloak_disable	1	wh_main_spell_fire_cascading_fire_cloak_disable	0
wh_main_spell_fire_cascading_fire_cloak_enable	1	wh_main_spell_fire_cascading_fire_cloak_enable	0
wh_main_spell_fire_fireball_disable	1	wh_main_spell_fire_fireball_disable	0
wh_main_spell_fire_fireball_enable	1	wh_main_spell_fire_fireball_enable	0
wh_main_spell_fire_flame_storm_disable	1	wh_main_spell_fire_flame_storm_disable	0
wh_main_spell_fire_flame_storm_enable	1	wh_main_spell_fire_flame_storm_enable	0
wh_main_spell_fire_flaming_sword_of_rhuin_disable	1	wh_main_spell_fire_flaming_sword_of_rhuin_disable	0
wh_main_spell_fire_flaming_sword_of_rhuin_enable	1	wh_main_spell_fire_flaming_sword_of_rhuin_enable	0
wh_main_spell_fire_piercing_bolts_of_burning_disable	1	wh_main_spell_fire_piercing_bolts_of_burning_disable	0
wh_main_spell_fire_piercing_bolts_of_burning_enable	1	wh_main_spell_fire_piercing_bolts_of_burning_enable	0
wh_main_spell_fire_the_burning_head_disable	1	wh_main_spell_fire_the_burning_head_disable	0
wh_main_spell_fire_the_burning_head_enable	1	wh_main_spell_fire_the_burning_head_enable	0
wh_main_spell_heavens_chain_lightning_disable	1	wh_main_spell_heavens_chain_lightning_disable	0
wh_main_spell_heavens_chain_lightning_enable	1	wh_main_spell_heavens_chain_lightning_enable	0
wh_main_spell_heavens_comet_of_casandora_disable	1	wh_main_spell_heavens_comet_of_casandora_disable	0
wh_main_spell_heavens_comet_of_casandora_enable	1	wh_main_spell_heavens_comet_of_casandora_enable	0
wh_main_spell_heavens_curse_of_the_midnight_wind_disable	1	wh_main_spell_heavens_curse_of_the_midnight_wind_disable	0
wh_main_spell_heavens_curse_of_the_midnight_wind_enable	1	wh_main_spell_heavens_curse_of_the_midnight_wind_enable	0
wh_main_spell_heavens_harmonic_convergence_disable	1	wh_main_spell_heavens_harmonic_convergence_disable	0
wh_main_spell_heavens_harmonic_convergence_enable	1	wh_main_spell_heavens_harmonic_convergence_enable	0
wh_main_spell_heavens_urannons_thunderbolt_disable	1	wh_main_spell_heavens_urannons_thunderbolt_disable	0
wh_main_spell_heavens_urannons_thunderbolt_enable	1	wh_main_spell_heavens_urannons_thunderbolt_enable	0
wh_main_spell_heavens_wind_blast_disable	1	wh_main_spell_heavens_wind_blast_disable	0
wh_main_spell_heavens_wind_blast_enable	1	wh_main_spell_heavens_wind_blast_enable	0
wh_main_spell_light_banishment_disable	1	wh_main_spell_light_banishment_disable	0
wh_main_spell_light_banishment_enable	1	wh_main_spell_light_banishment_enable	0
wh_main_spell_light_bironas_timewarp_disable	1	wh_main_spell_light_bironas_timewarp_disable	0
wh_main_spell_light_bironas_timewarp_enable	1	wh_main_spell_light_bironas_timewarp_enable	0
wh_main_spell_light_light_of_battle_disable	1	wh_main_spell_light_light_of_battle_disable	0
wh_main_spell_light_light_of_battle_enable	1	wh_main_spell_light_light_of_battle_enable	0
wh_main_spell_light_net_of_amyntok_disable	1	wh_main_spell_light_net_of_amyntok_disable	0
wh_main_spell_light_net_of_amyntok_enable	1	wh_main_spell_light_net_of_amyntok_enable	0
wh_main_spell_light_phas_protection_disable	1	wh_main_spell_light_phas_protection_disable	0
wh_main_spell_light_phas_protection_enable	1	wh_main_spell_light_phas_protection_enable	0
wh_main_spell_light_shems_burning_gaze_disable	1	wh_main_spell_light_shems_burning_gaze_disable	0
wh_main_spell_light_shems_burning_gaze_enable	1	wh_main_spell_light_shems_burning_gaze_enable	0
wh_main_spell_lil_waaagh_curse_of_da_bad_moon_disable	1	wh_main_spell_lil_waaagh_curse_of_da_bad_moon_disable	0
wh_main_spell_lil_waaagh_curse_of_da_bad_moon_enable	1	wh_main_spell_lil_waaagh_curse_of_da_bad_moon_enable	0
wh_main_spell_lil_waaagh_gorkll_fix_it_disable	1	wh_main_spell_lil_waaagh_gorkll_fix_it_disable	0
wh_main_spell_lil_waaagh_gorkll_fix_it_enable	1	wh_main_spell_lil_waaagh_gorkll_fix_it_enable	0
wh_main_spell_lil_waaagh_itchy_nuisance_disable	1	wh_main_spell_lil_waaagh_itchy_nuisance_disable	0
wh_main_spell_lil_waaagh_itchy_nuisance_enable	1	wh_main_spell_lil_waaagh_itchy_nuisance_enable	0
wh_main_spell_lil_waaagh_night_shroud_disable	1	wh_main_spell_lil_waaagh_night_shroud_disable	0
wh_main_spell_lil_waaagh_night_shroud_enable	1	wh_main_spell_lil_waaagh_night_shroud_enable	0
wh_main_spell_lil_waaagh_sneaky_stabbin_disable	1	wh_main_spell_lil_waaagh_sneaky_stabbin_disable	0
wh_main_spell_lil_waaagh_sneaky_stabbin_enable	1	wh_main_spell_lil_waaagh_sneaky_stabbin_enable	0
wh_main_spell_lil_waaagh_vindictive_glare_disable	1	wh_main_spell_lil_waaagh_vindictive_glare_disable	0
wh_main_spell_lil_waaagh_vindictive_glare_enable	1	wh_main_spell_lil_waaagh_vindictive_glare_enable	0
wh_main_spell_metal_final_transmutation_disable	1	wh_main_spell_metal_final_transmutation_disable	0
wh_main_spell_metal_final_transmutation_enable	1	wh_main_spell_metal_final_transmutation_enable	0
wh_main_spell_metal_gehennas_golden_hounds_disable	1	wh_main_spell_metal_gehennas_golden_hounds_disable	0
wh_main_spell_metal_gehennas_golden_hounds_enable	1	wh_main_spell_metal_gehennas_golden_hounds_enable	0
wh_main_spell_metal_glittering_robe_disable	1	wh_main_spell_metal_glittering_robe_disable	0
wh_main_spell_metal_glittering_robe_enable	1	wh_main_spell_metal_glittering_robe_enable	0
wh_main_spell_metal_plague_of_rust_disable	1	wh_main_spell_metal_plague_of_rust_disable	0
wh_main_spell_metal_plague_of_rust_enable	1	wh_main_spell_metal_plague_of_rust_enable	0
wh_main_spell_metal_searing_doom_disable	1	wh_main_spell_metal_searing_doom_disable	0
wh_main_spell_metal_searing_doom_enable	1	wh_main_spell_metal_searing_doom_enable	0
wh_main_spell_metal_transmutation_of_lead_disable	1	wh_main_spell_metal_transmutation_of_lead_disable	0
wh_main_spell_metal_transmutation_of_lead_enable	1	wh_main_spell_metal_transmutation_of_lead_enable	0
wh_main_spell_vampires_curse_of_years_disable	1	wh_main_spell_vampires_curse_of_years_disable	0
wh_main_spell_vampires_curse_of_years_enable	1	wh_main_spell_vampires_curse_of_years_enable	0
wh_main_spell_vampires_gaze_of_nagash_disable	1	wh_main_spell_vampires_gaze_of_nagash_disable	0
wh_main_spell_vampires_gaze_of_nagash_enable	1	wh_main_spell_vampires_gaze_of_nagash_enable	0
wh_main_spell_vampires_invocation_of_nehek_disable	1	wh_main_spell_vampires_invocation_of_nehek_disable	0
