trait_level_effects_tables	0
trait_level	effect	effect_scope	value
wh2_main_spell_dark_magic_word_of_pain_disable	wh2_main_effect_magic_dark_disable_word_of_pain	character_to_character_own	1
wh2_main_spell_dark_magic_word_of_pain_enable	wh2_main_effect_magic_dark_enable_word_of_pain	character_to_character_own	1
wh2_main_spell_high_magic_apotheosis_disable	wh2_main_effect_magic_high_disable_apotheosis	character_to_character_own	1
wh2_main_spell_high_magic_apotheosis_enable	wh2_main_effect_magic_high_enable_apotheosis	character_to_character_own	1
wh2_main_spell_high_magic_arcane_unforging_disable	wh2_main_effect_magic_high_disable_arcane_unforging	character_to_character_own	1
wh2_main_spell_high_magic_arcane_unforging_enable	wh2_main_effect_magic_high_enable_arcane_unforging	character_to_character_own	1
wh2_main_spell_high_magic_fiery_convocation_disable	wh2_main_effect_magic_high_disable_fiery_convocation	character_to_character_own	1
wh2_main_spell_high_magic_fiery_convocation_enable	wh2_main_effect_magic_high_enable_fiery_convocation	character_to_character_own	1
wh2_main_spell_high_magic_hand_of_glory_disable	wh2_main_effect_magic_high_disable_hand_of_glory	character_to_character_own	1
wh2_main_spell_high_magic_hand_of_glory_enable	wh2_main_effect_magic_high_enable_hand_of_glory	character_to_character_own	1
wh2_main_spell_high_magic_soul_quench_disable	wh2_main_effect_magic_high_disable_soul_quench	character_to_character_own	1
wh2_main_spell_high_magic_soul_quench_enable	wh2_main_effect_magic_high_enable_soul_quench	character_to_character_own	1
wh2_main_spell_high_magic_tempest_disable	wh2_main_effect_magic_high_disable_tempest	character_to_character_own	1
wh2_main_spell_high_magic_tempest_enable	wh2_main_effect_magic_high_enable_tempest	character_to_character_own	1
wh2_main_spell_plague_bless_with_filth_disable	wh2_main_effect_magic_plague_disable_bless_with_filth	character_to_character_own	1
wh2_main_spell_plague_bless_with_filth_enable	wh2_main_effect_magic_plague_enable_bless_with_filth	character_to_character_own	1
wh2_main_spell_grey_seer_the_dreaded_thirteenth_spell_disable	wh2_main_effect_magic_plague_disable_dreaded_thirteenth	character_to_character_own	1
wh2_main_spell_grey_seer_the_dreaded_thirteenth_spell_enable	wh2_main_effect_magic_plague_enable_dreaded_thirteenth	character_to_character_own	1
wh2_main_spell_plague_pestilent_birth_disable	wh2_main_effect_magic_plague_disable_pestilent_birth	character_to_character_own	1
wh2_main_spell_plague_pestilent_birth_enable	wh2_main_effect_magic_plague_enable_pestilent_birth	character_to_character_own	1
wh2_main_spell_plague_pestilent_breath_disable	wh2_main_effect_magic_plague_disable_pestilent_breath	character_to_character_own	1
wh2_main_spell_plague_pestilent_breath_enable	wh2_main_effect_magic_plague_enable_pestilent_breath	character_to_character_own	1
wh2_main_spell_plague_plague_disable	wh2_main_effect_magic_plague_disable_plague	character_to_character_own	1
wh2_main_spell_plague_plague_enable	wh2_main_effect_magic_plague_enable_plague	character_to_character_own	1
wh2_main_spell_plague_vermintide_disable	wh2_main_effect_magic_plague_disable_vermintide	character_to_character_own	1
wh2_main_spell_plague_vermintide_enable	wh2_main_effect_magic_plague_enable_vermintide	character_to_character_own	1
wh2_main_spell_plague_wither_disable	wh2_main_effect_magic_plague_disable_wither	character_to_character_own	1
wh2_main_spell_plague_wither_enable	wh2_main_effect_magic_plague_enable_wither	character_to_character_own	1
wh2_main_spell_ruin_cracks_call_disable	wh2_main_effect_magic_ruin_disable_cracks_call	character_to_character_own	1
wh2_main_spell_ruin_cracks_call_enable	wh2_main_effect_magic_ruin_enable_cracks_call	character_to_character_own	1
wh2_main_spell_ruin_death_frenzy_disable	wh2_main_effect_magic_ruin_disable_death_frenzy	character_to_character_own	1
wh2_main_spell_ruin_death_frenzy_enable	wh2_main_effect_magic_ruin_enable_death_frenzy	character_to_character_own	1
wh2_main_spell_ruin_howling_warpgale_disable	wh2_main_effect_magic_ruin_disable_howling_warpgale	character_to_character_own	1
wh2_main_spell_ruin_howling_warpgale_enable	wh2_main_effect_magic_ruin_enable_howling_warpgale	character_to_character_own	1
wh2_main_spell_ruin_scorch_disable	wh2_main_effect_magic_ruin_disable_skaven_scorch	character_to_character_own	1
wh2_main_spell_ruin_scorch_enable	wh2_main_effect_magic_ruin_enable_skaven_scorch	character_to_character_own	1
wh2_main_spell_ruin_skitterleap_disable	wh2_main_effect_magic_ruin_disable_skitterleap	character_to_character_own	1
wh2_main_spell_ruin_skitterleap_enable	wh2_main_effect_magic_ruin_enable_skitterleap	character_to_character_own	1
wh2_main_spell_ruin_warp_lightning_disable	wh2_main_effect_magic_ruin_disable_warp_lightning	character_to_character_own	1
wh2_main_spell_ruin_warp_lightning_enable	wh2_main_effect_magic_ruin_enable_warp_lightning	character_to_character_own	1
wh_dlc03_spell_beasts_flock_of_doom_disable	wh_dlc03_effect_magic_beasts_disable_flock_of_doom	character_to_character_own	1
wh_dlc03_spell_beasts_flock_of_doom_enable	wh_dlc03_effect_magic_beasts_enable_flock_of_doom	character_to_character_own	1
wh_dlc03_spell_beasts_panns_impenetrable_pelt_disable	wh_dlc03_effect_magic_beasts_disable_panns_impenetrable_pelt	character_to_character_own	1
wh_dlc03_spell_beasts_panns_impenetrable_pelt_enable	wh_dlc03_effect_magic_beasts_enable_panns_impenetrable_pelt	character_to_character_own	1
wh_dlc03_spell_beasts_the_amber_spear_disable	wh_dlc03_effect_magic_beasts_disable_the_amber_spear	character_to_character_own	1
wh_dlc03_spell_beasts_the_amber_spear_enable	wh_dlc03_effect_magic_beasts_enable_the_amber_spear	character_to_character_own	1
wh_dlc03_spell_beasts_the_curse_of_anraheir_disable	wh_dlc03_effect_magic_beasts_disable_the_curse_of_anraheir	character_to_character_own	1
wh_dlc03_spell_beasts_the_curse_of_anraheir_enable	wh_dlc03_effect_magic_beasts_enable_the_curse_of_anraheir	character_to_character_own	1
wh_dlc03_spell_beasts_transformation_of_kadon_disable	wh_dlc03_effect_magic_beasts_disable_transformation_of_kadon	character_to_character_own	1
wh_dlc03_spell_beasts_transformation_of_kadon_enable	wh_dlc03_effect_magic_beasts_enable_transformation_of_kadon	character_to_character_own	1
wh_dlc03_spell_beasts_wyssans_wildform_disable	wh_dlc03_effect_magic_beasts_disable_wyssans_wildform	character_to_character_own	1
wh_dlc03_spell_beasts_wyssans_wildform_enable	wh_dlc03_effect_magic_beasts_enable_wyssans_wildform	character_to_character_own	1
wh_dlc03_spell_wild_bray_scream_disable	wh_dlc03_effect_magic_wild_disable_bray_scream	character_to_character_own	1
wh_dlc03_spell_wild_bray_scream_enable	wh_dlc03_effect_magic_wild_enable_bray_scream	character_to_character_own	1
wh_dlc03_spell_wild_devolve_disable	wh_dlc03_effect_magic_wild_disable_devolve	character_to_character_own	1
wh_dlc03_spell_wild_devolve_enable	wh_dlc03_effect_magic_wild_enable_devolve	character_to_character_own	1
wh_dlc03_spell_wild_mantle_of_ghorok_disable	wh_dlc03_effect_magic_wild_disable_mantle_of_ghorok	character_to_character_own	1
wh_dlc03_spell_wild_mantle_of_ghorok_enable	wh_dlc03_effect_magic_wild_enable_mantle_of_ghorok	character_to_character_own	1
wh_dlc03_spell_wild_savage_dominion_disable	wh_dlc03_effect_magic_wild_disable_savage_dominion	character_to_character_own	1
wh_dlc03_spell_wild_savage_dominion_enable	wh_dlc03_effect_magic_wild_enable_savage_dominion	character_to_character_own	1
wh_dlc03_spell_wild_traitor_kin_disable	wh_dlc03_effect_magic_wild_disable_traitor_kin	character_to_character_own	1
wh_dlc03_spell_wild_traitor_kin_enable	wh_dlc03_effect_magic_wild_enable_traitor_kin	character_to_character_own	1
wh_dlc03_spell_wild_viletide_disable	wh_dlc03_effect_magic_wild_disable_viletide	character_to_character_own	1
wh_dlc03_spell_wild_viletide_enable	wh_dlc03_effect_magic_wild_enable_viletide	character_to_character_own	1
wh_dlc04_spell_death_doom_and_darkness_strigoi_disable	wh_dlc04_effect_magic_death_disable_doom_and_darkness_strigoi	character_to_character_own	1
wh_dlc04_spell_death_doom_and_darkness_strigoi_enable	wh_dlc04_effect_magic_death_enable_doom_and_darkness_strigoi	character_to_character_own	1
wh_dlc04_spell_death_soulblight_strigoi_disable	wh_dlc04_effect_magic_death_disable_soulblight_strigoi	character_to_character_own	1
wh_dlc04_spell_death_soulblight_strigoi_enable	wh_dlc04_effect_magic_death_enable_soulblight_strigoi	character_to_character_own	1
wh_dlc04_spell_death_spirit_leech_strigoi_disable	wh_dlc04_effect_magic_death_disable_spirit_leech_strigoi	character_to_character_own	1
wh_dlc04_spell_death_spirit_leech_strigoi_enable	wh_dlc04_effect_magic_death_enable_spirit_leech_strigoi	character_to_character_own	1
wh_dlc04_spell_vampires_gaze_of_nagash_strigoi_disable	wh_dlc04_effect_magic_vampires_disable_gaze_of_nagash_strigoi	character_to_character_own	1
wh_dlc04_spell_vampires_gaze_of_nagash_strigoi_enable	wh_dlc04_effect_magic_vampires_enable_gaze_of_nagash_strigoi	character_to_character_own	1
wh_dlc04_spell_vampires_invocation_of_nehek_strigoi_disable	wh_dlc04_effect_magic_vampires_disable_invocation_of_nehek_strigoi	character_to_character_own	1
wh_dlc04_spell_vampires_invocation_of_nehek_strigoi_enable	wh_dlc04_effect_magic_vampires_enable_invocation_of_nehek_strigoi	character_to_character_own	1
wh_dlc04_spell_vampires_raise_dead_helman_disable	wh_dlc04_effect_magic_vampires_disable_raise_dead_helman	character_to_character_own	1
wh_dlc04_spell_vampires_raise_dead_helman_enable	wh_dlc04_effect_magic_vampires_enable_raise_dead_helman	character_to_character_own	1
wh_dlc04_spell_vampires_raise_dead_strigoi_disable	wh_dlc04_effect_magic_vampires_disable_raise_dead_strigoi	character_to_character_own	1
wh_dlc04_spell_vampires_raise_dead_strigoi_enable	wh_dlc04_effect_magic_vampires_enable_raise_dead_strigoi	character_to_character_own	1
wh_dlc05_lore_passive_life_bloom_disable	wh_dlc05_effect_magic_ability_disable_life_bloom	character_to_character_own	1
wh_dlc05_lore_passive_life_bloom_enable	wh_dlc05_effect_magic_ability_enable_life_bloom	character_to_character_own	1
wh_dlc05_lore_passive_smoke_and_mirrors_disable	wh_dlc05_effect_magic_ability_disable_smoke_and_mirrors	character_to_character_own	1
wh_dlc05_lore_passive_smoke_and_mirrors_enable	wh_dlc05_effect_magic_ability_enable_smoke_and_mirrors	character_to_character_own	1
wh_dlc05_spell_life_awakening_of_the_wood_disable	wh_dlc05_effect_magic_life_disable_awakening_of_the_wood	character_to_character_own	1
wh_dlc05_spell_life_awakening_of_the_wood_enable	wh_dlc05_effect_magic_life_enable_awakening_of_the_wood	character_to_character_own	1
wh_dlc05_spell_life_awakening_the_wood_branchwraith_disable	wh_dlc05_effect_magic_life_disable_awakening_of_the_wood_branchwraith	character_to_character_own	1
wh_dlc05_spell_life_awakening_the_wood_branchwraith_enable	wh_dlc05_effect_magic_life_enable_awakening_of_the_wood_branchwraith	character_to_character_own	1
wh_dlc05_spell_life_earth_blood_disable	wh_dlc05_effect_magic_life_disable_earth_blood	character_to_character_own	1
wh_dlc05_spell_life_earth_blood_enable	wh_dlc05_effect_magic_life_enable_earth_blood	character_to_character_own	1
wh_dlc05_spell_life_earth_blood_branchwraith_disable	wh_dlc05_effect_magic_life_disable_earth_blood_branchwraith	character_to_character_own	1
wh_dlc05_spell_life_earth_blood_branchwraith_enable	wh_dlc05_effect_magic_life_enable_earth_blood_branchwraith	character_to_character_own	1
wh_dlc05_spell_life_flesh_to_stone_disable	wh_dlc05_effect_magic_life_disable_flesh_to_stone	character_to_character_own	1
wh_dlc05_spell_life_flesh_to_stone_enable	wh_dlc05_effect_magic_life_enable_flesh_to_stone	character_to_character_own	1
wh_dlc05_spell_life_regrowth_disable	wh_dlc05_effect_magic_life_disable_regrowth	character_to_character_own	1
wh_dlc05_spell_life_regrowth_enable	wh_dlc05_effect_magic_life_enable_regrowth	character_to_character_own	1
wh_dlc05_spell_life_shield_of_thorns_disable	wh_dlc05_effect_magic_life_disable_shield_of_thorns	character_to_character_own	1
wh_dlc05_spell_life_shield_of_thorns_enable	wh_dlc05_effect_magic_life_enable_shield_of_thorns	character_to_character_own	1
wh_dlc05_spell_life_shield_of_thorns_branchwraith_disable	wh_dlc05_effect_magic_life_disable_shield_of_thorns_branchwraith	character_to_character_own	1
wh_dlc05_spell_life_shield_of_thorns_branchwraith_enable	wh_dlc05_effect_magic_life_enable_shield_of_thorns_branchwraith	character_to_character_own	1
wh_dlc05_spell_life_the_dwellers_below_disable	wh_dlc05_effect_magic_life_disable_the_dwellers_below	character_to_character_own	1
wh_dlc05_spell_life_the_dwellers_below_enable	wh_dlc05_effect_magic_life_enable_the_dwellers_below	character_to_character_own	1
wh_dlc08_spell_death_aspect_of_the_dreadknight_arzik_disable	wh_dlc08_effect_magic_death_disable_aspect_of_the_dreadknight_arzik	character_to_character_own	1
wh_dlc08_spell_death_aspect_of_the_dreadknight_arzik_enable	wh_dlc08_effect_magic_death_enable_aspect_of_the_dreadknight_arzik	character_to_character_own	1
wh_dlc08_spell_death_soulblight_arzik_disable	wh_dlc08_effect_magic_death_disable_soulblight_arzik	character_to_character_own	1
wh_dlc08_spell_death_soulblight_arzik_enable	wh_dlc08_effect_magic_death_enable_soulblight_arzik	character_to_character_own	1
wh_dlc08_spell_death_the_fate_of_bjuna_arzik_disable	wh_dlc08_effect_magic_death_disable_the_fate_of_bjuna_arzik	character_to_character_own	1
wh_dlc08_spell_death_the_fate_of_bjuna_arzik_enable	wh_dlc08_effect_magic_death_enable_the_fate_of_bjuna_arzik	character_to_character_own	1
wh_dlc08_spell_fire_fireball_kihar_disable	wh_dlc08_effect_magic_fire_disable_fireball_kihar	character_to_character_own	1
wh_dlc08_spell_fire_fireball_kihar_enable	wh_dlc08_effect_magic_fire_enable_fireball_kihar	character_to_character_own	1
wh_dlc08_spell_fire_flaming_sword_of_rhuin_kihar_disable	wh_dlc08_effect_magic_fire_disable_flaming_sword_of_rhuin_kihar	character_to_character_own	1
wh_dlc08_spell_fire_flaming_sword_of_rhuin_kihar_enable	wh_dlc08_effect_magic_fire_enable_flaming_sword_of_rhuin_kihar	character_to_character_own	1
wh_dlc08_spell_metal_final_transmutation_arzik_disable	wh_dlc08_effect_magic_metal_disable_final_transmutation_arzik	character_to_character_own	1
wh_dlc08_spell_metal_final_transmutation_arzik_enable	wh_dlc08_effect_magic_metal_enable_final_transmutation_arzik	character_to_character_own	1
wh_dlc08_spell_metal_gehennas_golden_hounds_arzik_disable	wh_dlc08_effect_magic_metal_disable_gehennas_golden_hounds_arzik	character_to_character_own	1
wh_dlc08_spell_metal_gehennas_golden_hounds_arzik_enable	wh_dlc08_effect_magic_metal_enable_gehennas_golden_hounds_arzik	character_to_character_own	1
wh_dlc08_spell_metal_plague_of_rust_kihar_disable	wh_dlc08_effect_magic_metal_disable_plague_of_rust_kihar	character_to_character_own	1
wh_dlc08_spell_metal_plague_of_rust_kihar_enable	wh_dlc08_effect_magic_metal_enable_plague_of_rust_kihar	character_to_character_own	1
wh_dlc08_spell_metal_searing_doom_arzik_disable	wh_dlc08_effect_magic_metal_disable_searing_doom_arzik	character_to_character_own	1
wh_dlc08_spell_metal_searing_doom_arzik_enable	wh_dlc08_effect_magic_metal_enable_searing_doom_arzik	character_to_character_own	1
wh_dlc08_spell_metal_transmutation_of_lead_kihar_disable	wh_dlc08_effect_magic_metal_disable_transmutation_of_lead_kihar	character_to_character_own	1
wh_dlc08_spell_metal_transmutation_of_lead_kihar_enable	wh_dlc08_effect_magic_metal_enable_transmutation_of_lead_kihar	character_to_character_own	1
wh_main_spell_big_waaagh_brain_bursta_disable	wh_main_effect_magic_big_waaagh_disable_brain_bursta	character_to_character_own	1
wh_main_spell_big_waaagh_brain_bursta_enable	wh_main_effect_magic_big_waaagh_enable_brain_bursta	character_to_character_own	1
wh_main_spell_big_waaagh_eadbutt_disable	wh_main_effect_magic_big_waaagh_disable_eadbutt	character_to_character_own	1
wh_main_spell_big_waaagh_eadbutt_enable	wh_main_effect_magic_big_waaagh_enable_eadbutt	character_to_character_own	1
wh_main_spell_big_waaagh_ere_we_go_disable	wh_main_effect_magic_big_waaagh_disable_ere_we_go	character_to_character_own	1
wh_main_spell_big_waaagh_ere_we_go_enable	wh_main_effect_magic_big_waaagh_enable_ere_we_go	character_to_character_own	1
wh_main_spell_big_waaagh_fists_of_gork_disable	wh_main_effect_magic_big_waaagh_disable_fists_of_gork	character_to_character_own	1
wh_main_spell_big_waaagh_fists_of_gork_enable	wh_main_effect_magic_big_waaagh_enable_fists_of_gork	character_to_character_own	1
wh_main_spell_big_waaagh_foot_of_gork_disable	wh_main_effect_magic_big_waaagh_disable_foot_of_gork	character_to_character_own	1
wh_main_spell_big_waaagh_foot_of_gork_enable	wh_main_effect_magic_big_waaagh_enable_foot_of_gork	character_to_character_own	1
wh_main_spell_big_waaagh_gaze_of_mork_disable	wh_main_effect_magic_big_waaagh_disable_gaze_of_mork	character_to_character_own	1
wh_main_spell_big_waaagh_gaze_of_mork_enable	wh_main_effect_magic_big_waaagh_enable_gaze_of_mork	character_to_character_own	1
wh_main_spell_death_aspect_of_the_dreadknight_disable	wh_main_effect_magic_death_disable_aspect_of_the_dreadknight	character_to_character_own	1
wh_main_spell_death_aspect_of_the_dreadknight_enable	wh_main_effect_magic_death_enable_aspect_of_the_dreadknight	character_to_character_own	1
wh_main_spell_death_doom_and_darkness_disable	wh_main_effect_magic_death_disable_doom_and_darkness	character_to_character_own	1
wh_main_spell_death_doom_and_darkness_enable	wh_main_effect_magic_death_enable_doom_and_darkness	character_to_character_own	1
wh_main_spell_death_soulblight_disable	wh_main_effect_magic_death_disable_soulblight	character_to_character_own	1
wh_main_spell_death_soulblight_enable	wh_main_effect_magic_death_enable_soulblight	character_to_character_own	1
wh_main_spell_death_spirit_leech_disable	wh_main_effect_magic_death_disable_spirit_leech	character_to_character_own	1
wh_main_spell_death_spirit_leech_enable	wh_main_effect_magic_death_enable_spirit_leech	character_to_character_own	1
wh_main_spell_death_the_fate_of_bjuna_disable	wh_main_effect_magic_death_disable_the_fate_of_bjuna	character_to_character_own	1
wh_main_spell_death_the_fate_of_bjuna_enable	wh_main_effect_magic_death_enable_the_fate_of_bjuna	character_to_character_own	1
wh_main_spell_death_the_purple_sun_of_xereus_disable	wh_main_effect_magic_death_disable_the_purple_sun_of_xereus	character_to_character_own	1
wh_main_spell_death_the_purple_sun_of_xereus_enable	wh_main_effect_magic_death_enable_the_purple_sun_of_xereus	character_to_character_own	1
wh_main_spell_fire_cascading_fire_cloak_disable	wh_main_effect_magic_fire_disable_cascading_fire_cloak	character_to_character_own	1
wh_main_spell_fire_cascading_fire_cloak_enable	wh_main_effect_magic_fire_enable_cascading_fire_cloak	character_to_character_own	1
wh_main_spell_fire_fireball_disable	wh_main_effect_magic_fire_disable_fireball	character_to_character_own	1
wh_main_spell_fire_fireball_enable	wh_main_effect_magic_fire_enable_fireball	character_to_character_own	1
wh_main_spell_fire_flame_storm_disable	wh_main_effect_magic_fire_disable_flame_storm	character_to_character_own	1
wh_main_spell_fire_flame_storm_enable	wh_main_effect_magic_fire_enable_flame_storm	character_to_character_own	1
wh_main_spell_fire_flaming_sword_of_rhuin_disable	wh_main_effect_magic_fire_disable_flaming_sword_of_rhuin	character_to_character_own	1
wh_main_spell_fire_flaming_sword_of_rhuin_enable	wh_main_effect_magic_fire_enable_flaming_sword_of_rhuin	character_to_character_own	1
wh_main_spell_fire_piercing_bolts_of_burning_disable	wh_main_effect_magic_fire_disable_piercing_bolts_of_burning	character_to_character_own	1
wh_main_spell_fire_piercing_bolts_of_burning_enable	wh_main_effect_magic_fire_enable_piercing_bolts_of_burning	character_to_character_own	1
wh_main_spell_fire_the_burning_head_disable	wh_main_effect_magic_fire_disable_the_burning_head	character_to_character_own	1
wh_main_spell_fire_the_burning_head_enable	wh_main_effect_magic_fire_enable_the_burning_head	character_to_character_own	1
wh_main_spell_heavens_chain_lightning_disable	wh_main_effect_magic_heavens_disable_chain_lightning	character_to_character_own	1
wh_main_spell_heavens_chain_lightning_enable	wh_main_effect_magic_heavens_enable_chain_lightning	character_to_character_own	1
wh_main_spell_heavens_comet_of_casandora_disable	wh_main_effect_magic_heavens_disable_comet_of_casandora	character_to_character_own	1
wh_main_spell_heavens_comet_of_casandora_enable	wh_main_effect_magic_heavens_enable_comet_of_casandora	character_to_character_own	1
wh_main_spell_heavens_curse_of_the_midnight_wind_disable	wh_main_effect_magic_heavens_disable_curse_of_the_midnight_wind	character_to_character_own	1
wh_main_spell_heavens_curse_of_the_midnight_wind_enable	wh_main_effect_magic_heavens_enable_curse_of_the_midnight_wind	character_to_character_own	1
wh_main_spell_heavens_harmonic_convergence_disable	wh_main_effect_magic_heavens_disable_harmonic_convergence	character_to_character_own	1
wh_main_spell_heavens_harmonic_convergence_enable	wh_main_effect_magic_heavens_enable_harmonic_convergence	character_to_character_own	1
wh_main_spell_heavens_urannons_thunderbolt_disable	wh_main_effect_magic_heavens_disable_urannons_thunderbolt	character_to_character_own	1
wh_main_spell_heavens_urannons_thunderbolt_enable	wh_main_effect_magic_heavens_enable_urannons_thunderbolt	character_to_character_own	1
wh_main_spell_heavens_wind_blast_disable	wh_main_effect_magic_heavens_disable_wind_blast	character_to_character_own	1
wh_main_spell_heavens_wind_blast_enable	wh_main_effect_magic_heavens_enable_wind_blast	character_to_character_own	1
wh_main_spell_light_banishment_disable	wh_main_effect_magic_light_disable_banishment	character_to_character_own	1
wh_main_spell_light_banishment_enable	wh_main_effect_magic_light_enable_banishment	character_to_character_own	1
wh_main_spell_light_bironas_timewarp_disable	wh_main_effect_magic_light_disable_bironas_timewarp	character_to_character_own	1
wh_main_spell_light_bironas_timewarp_enable	wh_main_effect_magic_light_enable_bironas_timewarp	character_to_character_own	1
wh_main_spell_light_light_of_battle_disable	wh_main_effect_magic_light_disable_light_of_battle	character_to_character_own	1
wh_main_spell_light_light_of_battle_enable	wh_main_effect_magic_light_enable_light_of_battle	character_to_character_own	1
wh_main_spell_light_net_of_amyntok_disable	wh_main_effect_magic_light_disable_net_of_amyntok	character_to_character_own	1
