effect_bonus_value_unit_ability_junctions_tables	0
wh2_main_effect_magic_ruin_disable_warp_lightning	disable	wh2_main_spell_ruin_warp_lightning
wh_dlc03_effect_magic_beasts_disable_flock_of_doom	disable	wh_dlc03_spell_beasts_flock_of_doom
wh_dlc03_effect_magic_beasts_disable_panns_impenetrable_pelt	disable	wh_dlc03_spell_beasts_panns_impenetrable_pelt
wh_dlc03_effect_magic_beasts_disable_the_amber_spear	disable	wh_dlc03_spell_beasts_the_amber_spear
wh_dlc03_effect_magic_beasts_disable_the_curse_of_anraheir	disable	wh_dlc03_spell_beasts_the_curse_of_anraheir
wh_dlc03_effect_magic_beasts_disable_transformation_of_kadon	disable	wh_dlc03_spell_beasts_transformation_of_kadon
wh_dlc03_effect_magic_beasts_disable_wyssans_wildform	disable	wh_dlc03_spell_beasts_wyssans_wildform
wh_dlc03_effect_magic_wild_disable_bray_scream	disable	wh_dlc03_spell_wild_bray_scream
wh_dlc03_effect_magic_wild_disable_devolve	disable	wh_dlc03_spell_wild_devolve
wh_dlc03_effect_magic_wild_disable_mantle_of_ghorok	disable	wh_dlc03_spell_wild_mantle_of_ghorok
wh_dlc03_effect_magic_wild_disable_savage_dominion	disable	wh_dlc03_spell_wild_savage_dominion
wh_dlc03_effect_magic_wild_disable_traitor_kin	disable	wh_dlc03_spell_wild_traitor_kin
wh_dlc03_effect_magic_wild_disable_viletide	disable	wh_dlc03_spell_wild_viletide
wh_dlc04_effect_magic_death_disable_doom_and_darkness_strigoi	disable	wh_dlc04_spell_death_doom_and_darkness_strigoi
wh_dlc04_effect_magic_death_disable_soulblight_strigoi	disable	wh_dlc04_spell_death_soulblight_strigoi
wh_dlc04_effect_magic_death_disable_spirit_leech_strigoi	disable	wh_dlc04_spell_death_spirit_leech_strigoi
wh_dlc04_effect_magic_vampires_disable_gaze_of_nagash_strigoi	disable	wh_dlc04_spell_vampires_gaze_of_nagash_strigoi
wh_dlc04_effect_magic_vampires_disable_invocation_of_nehek_strigoi	disable	wh_dlc04_spell_vampires_invocation_of_nehek_strigoi
wh_dlc04_effect_magic_vampires_disable_raise_dead_helman	disable	wh_dlc04_spell_vampires_raise_dead_helman
wh_dlc04_effect_magic_vampires_disable_raise_dead_strigoi	disable	wh_dlc04_spell_vampires_raise_dead_strigoi
wh_dlc05_effect_magic_ability_disable_life_bloom	disable	wh_dlc05_lore_passive_life_bloom
wh_dlc05_effect_magic_ability_disable_smoke_and_mirrors	disable	wh_dlc05_lore_passive_smoke_and_mirrors
wh_dlc05_effect_magic_life_disable_awakening_of_the_wood	disable	wh_dlc05_spell_life_awakening_of_the_wood
wh_dlc05_effect_magic_life_disable_awakening_of_the_wood_branchwraith	disable	wh_dlc05_spell_life_awakening_the_wood_branchwraith
wh_dlc05_effect_magic_life_disable_earth_blood	disable	wh_dlc05_spell_life_earth_blood
wh_dlc05_effect_magic_life_disable_earth_blood_branchwraith	disable	wh_dlc05_spell_life_earth_blood_branchwraith
wh_dlc05_effect_magic_life_disable_flesh_to_stone	disable	wh_dlc05_spell_life_flesh_to_stone
wh_dlc05_effect_magic_life_disable_regrowth	disable	wh_dlc05_spell_life_regrowth
wh_dlc05_effect_magic_life_disable_shield_of_thorns	disable	wh_dlc05_spell_life_shield_of_thorns
wh_dlc05_effect_magic_life_disable_shield_of_thorns_branchwraith	disable	wh_dlc05_spell_life_shield_of_thorns_branchwraith
wh_dlc05_effect_magic_life_disable_the_dwellers_below	disable	wh_dlc05_spell_life_the_dwellers_below
wh_dlc08_effect_magic_death_disable_aspect_of_the_dreadknight_arzik	disable	wh_dlc08_spell_death_aspect_of_the_dreadknight_arzik
wh_dlc08_effect_magic_death_disable_soulblight_arzik	disable	wh_dlc08_spell_death_soulblight_arzik
wh_dlc08_effect_magic_death_disable_the_fate_of_bjuna_arzik	disable	wh_dlc08_spell_death_the_fate_of_bjuna_arzik
wh_dlc08_effect_magic_fire_disable_fireball_kihar	disable	wh_dlc08_spell_fire_fireball_kihar
wh_dlc08_effect_magic_fire_disable_flaming_sword_of_rhuin_kihar	disable	wh_dlc08_spell_fire_flaming_sword_of_rhuin_kihar
wh_dlc08_effect_magic_metal_disable_final_transmutation_arzik	disable	wh_dlc08_spell_metal_final_transmutation_arzik
wh_dlc08_effect_magic_metal_disable_gehennas_golden_hounds_arzik	disable	wh_dlc08_spell_metal_gehennas_golden_hounds_arzik
wh_dlc08_effect_magic_metal_disable_plague_of_rust_kihar	disable	wh_dlc08_spell_metal_plague_of_rust_kihar
wh_dlc08_effect_magic_metal_disable_searing_doom_arzik	disable	wh_dlc08_spell_metal_searing_doom_arzik
wh_dlc08_effect_magic_metal_disable_transmutation_of_lead_kihar	disable	wh_dlc08_spell_metal_transmutation_of_lead_kihar
wh_main_effect_magic_big_waaagh_disable_brain_bursta	disable	wh_main_spell_big_waaagh_brain_bursta
wh_main_effect_magic_big_waaagh_disable_eadbutt	disable	wh_main_spell_big_waaagh_eadbutt
wh_main_effect_magic_big_waaagh_disable_ere_we_go	disable	wh_main_spell_big_waaagh_ere_we_go
wh_main_effect_magic_big_waaagh_disable_fists_of_gork	disable	wh_main_spell_big_waaagh_fists_of_gork
wh_main_effect_magic_big_waaagh_disable_foot_of_gork	disable	wh_main_spell_big_waaagh_foot_of_gork
wh_main_effect_magic_big_waaagh_disable_gaze_of_mork	disable	wh_main_spell_big_waaagh_gaze_of_mork
wh_main_effect_magic_death_disable_aspect_of_the_dreadknight	disable	wh_main_spell_death_aspect_of_the_dreadknight
wh_main_effect_magic_death_disable_doom_and_darkness	disable	wh_main_spell_death_doom_and_darkness
wh_main_effect_magic_death_disable_soulblight	disable	wh_main_spell_death_soulblight
wh_main_effect_magic_death_disable_spirit_leech	disable	wh_main_spell_death_spirit_leech
wh_main_effect_magic_death_disable_the_fate_of_bjuna	disable	wh_main_spell_death_the_fate_of_bjuna
wh_main_effect_magic_death_disable_the_purple_sun_of_xereus	disable	wh_main_spell_death_the_purple_sun_of_xereus
wh_main_effect_magic_fire_disable_cascading_fire_cloak	disable	wh_main_spell_fire_cascading_fire_cloak
wh_main_effect_magic_fire_disable_fireball	disable	wh_main_spell_fire_fireball
wh_main_effect_magic_fire_disable_flame_storm	disable	wh_main_spell_fire_flame_storm
wh_main_effect_magic_fire_disable_flaming_sword_of_rhuin	disable	wh_main_spell_fire_flaming_sword_of_rhuin
wh_main_effect_magic_fire_disable_piercing_bolts_of_burning	disable	wh_main_spell_fire_piercing_bolts_of_burning
wh_main_effect_magic_fire_disable_the_burning_head	disable	wh_main_spell_fire_the_burning_head
wh_main_effect_magic_heavens_disable_chain_lightning	disable	wh_main_spell_heavens_chain_lightning
wh_main_effect_magic_heavens_disable_comet_of_casandora	disable	wh_main_spell_heavens_comet_of_casandora
wh_main_effect_magic_heavens_disable_curse_of_the_midnight_wind	disable	wh_main_spell_heavens_curse_of_the_midnight_wind
wh_main_effect_magic_heavens_disable_harmonic_convergence	disable	wh_main_spell_heavens_harmonic_convergence
wh_main_effect_magic_heavens_disable_urannons_thunderbolt	disable	wh_main_spell_heavens_urannons_thunderbolt
wh_main_effect_magic_heavens_disable_wind_blast	disable	wh_main_spell_heavens_wind_blast
wh_main_effect_magic_light_disable_banishment	disable	wh_main_spell_light_banishment
wh_main_effect_magic_light_disable_bironas_timewarp	disable	wh_main_spell_light_bironas_timewarp
wh_main_effect_magic_light_disable_light_of_battle	disable	wh_main_spell_light_light_of_battle
wh_main_effect_magic_light_disable_net_of_amyntok	disable	wh_main_spell_light_net_of_amyntok
wh_main_effect_magic_light_disable_phas_protection	disable	wh_main_spell_light_phas_protection
wh_main_effect_magic_light_disable_shems_burning_gaze	disable	wh_main_spell_light_shems_burning_gaze
wh_main_effect_magic_lil_waaagh_disable_curse_of_da_bad_moon	disable	wh_main_spell_lil_waaagh_curse_of_da_bad_moon
wh_main_effect_magic_lil_waaagh_disable_gorkll_fix_it	disable	wh_main_spell_lil_waaagh_gorkll_fix_it
wh_main_effect_magic_lil_waaagh_disable_itchy_nuisance	disable	wh_main_spell_lil_waaagh_itchy_nuisance
wh_main_effect_magic_lil_waaagh_disable_night_shroud	disable	wh_main_spell_lil_waaagh_night_shroud
wh_main_effect_magic_lil_waaagh_disable_sneaky_stabbin	disable	wh_main_spell_lil_waaagh_sneaky_stabbin
wh_main_effect_magic_lil_waaagh_disable_vindictive_glare	disable	wh_main_spell_lil_waaagh_vindictive_glare
wh_main_effect_magic_metal_disable_final_transmutation	disable	wh_main_spell_metal_final_transmutation
wh_main_effect_magic_metal_disable_gehennas_golden_hounds	disable	wh_main_spell_metal_gehennas_golden_hounds
wh_main_effect_magic_metal_disable_glittering_robe	disable	wh_main_spell_metal_glittering_robe
wh_main_effect_magic_metal_disable_plague_of_rust	disable	wh_main_spell_metal_plague_of_rust
wh_main_effect_magic_metal_disable_searing_doom	disable	wh_main_spell_metal_searing_doom
wh_main_effect_magic_metal_disable_transmutation_of_lead	disable	wh_main_spell_metal_transmutation_of_lead
wh_main_effect_magic_vampires_disable_curse_of_years	disable	wh_main_spell_vampires_curse_of_years
wh_main_effect_magic_vampires_disable_gaze_of_nagash	disable	wh_main_spell_vampires_gaze_of_nagash
wh_main_effect_magic_vampires_disable_invocation_of_nehek	disable	wh_main_spell_vampires_invocation_of_nehek
wh_main_effect_magic_vampires_disable_raise_dead	disable	wh_main_spell_vampires_raise_dead
wh_main_effect_magic_vampires_disable_vanhels_danse_macabre	disable	wh_main_spell_vampires_vanhels_danse_macabre
wh_main_effect_magic_vampires_disable_wind_of_death	disable	wh_main_spell_vampires_wind_of_death
wh2_dlc11_ability_disable_denizens_of_the_deep	disable	wh2_dlc11_spell_deep_denizens_of_the_deep
wh2_dlc11_ability_disable_fog_of_the_damned	disable	wh2_dlc11_spell_deep_fog_of_the_damned
wh2_dlc11_ability_disable_ghost_ship	disable	wh2_dlc11_spell_deep_ghost_ship
wh2_dlc11_ability_disable_krakens_pull	disable	wh2_dlc11_spell_deep_krakens_pull
wh2_dlc11_ability_disable_spiteful_shot	disable	wh2_dlc11_spell_deep_spiteful_shot
wh2_dlc11_ability_disable_tidecall	disable	wh2_dlc11_spell_deep_tidecall
