ui_unit_bullet_point_unit_overrides_tables	0
armour_piercing	wh2_mixu_grn_cha_savage_orc_warboss
armour_piercing	wh2_mixu_grn_cha_savage_orc_warboss_boar
armour_piercing	wh2_mixu_grn_cha_savage_orc_warboss_wyvern
warpaint	wh2_mixu_grn_cha_savage_orc_warboss
warpaint	wh2_mixu_grn_cha_savage_orc_warboss_boar
warpaint	wh2_mixu_grn_cha_savage_orc_warboss_wyvern
terror	wh2_mixu_grn_cha_savage_orc_warboss_wyvern
scaly_skin	wh2_mixu_grn_cha_savage_orc_warboss_wyvern
frenzy	wh2_mixu_grn_cha_savage_orc_warboss
frenzy	wh2_mixu_grn_cha_savage_orc_warboss_boar
frenzy	wh2_mixu_grn_cha_savage_orc_warboss_wyvern
armour_piercing	wh2_mixu_grn_cha_savage_orc_shaman_boar
armour_piercing	wh2_mixu_grn_cha_savage_orc_shaman_wyvern
spellcaster	wh2_mixu_grn_cha_savage_orc_shaman
spellcaster	wh2_mixu_grn_cha_savage_orc_shaman_boar
spellcaster	wh2_mixu_grn_cha_savage_orc_shaman_wyvern
terror	wh2_mixu_grn_cha_savage_orc_shaman_wyvern
scaly_skin	wh2_mixu_grn_cha_savage_orc_shaman_wyvern
spellcaster	wh2_mixu_grn_cha_orc_great_shaman
spellcaster	wh2_mixu_grn_cha_orc_great_shaman_boar
spellcaster	wh2_mixu_grn_cha_orc_great_shaman_wyvern
terror	wh2_mixu_grn_cha_orc_great_shaman_wyvern
scaly_skin	wh2_mixu_grn_cha_orc_great_shaman_wyvern
unbreakable	wh2_mixu_dwf_cha_giant_slayer
armour_piercing	wh2_mixu_dwf_cha_giant_slayer
melee_expert	wh2_mixu_dwf_cha_giant_slayer
charge_reflector_vs_large	wh2_mixu_dwf_cha_giant_slayer
anti_large	wh2_mixu_bst_cha_doombull
armour_piercing	wh2_mixu_bst_cha_doombull
armoured	wh2_mixu_bst_cha_doombull
armoured_and_shielded	wh2_mixu_bst_cha_doombull_shield
armour_piercing	wh2_mixu_bst_cha_doombull_shield
armoured	wh2_mixu_bst_cha_doombull_dual_wield
armour_piercing	wh2_mixu_bst_cha_doombull_dual_wield
anti_infantry	wh2_mixu_bst_cha_doombull_dual_wield
spellcaster	wh2_mixu_wef_cha_darkweaver
spellcaster	wh2_mixu_wef_cha_darkweaver_elven_steed
spellcaster	wh2_mixu_wef_cha_darkweaver_great_eagle
spellcaster	wh2_mixu_wef_cha_darkweaver_unicorn
very_fast	wh2_mixu_wef_cha_darkweaver_great_eagle
forest_stalker	wh2_mixu_wef_cha_darkweaver
spellcaster	wh2_mixu_wef_cha_highweaver
spellcaster	wh2_mixu_wef_cha_highweaver_elven_steed
spellcaster	wh2_mixu_wef_cha_highweaver_great_eagle
spellcaster	wh2_mixu_wef_cha_highweaver_unicorn
very_fast	wh2_mixu_wef_cha_highweaver_great_eagle
forest_stalker	wh2_mixu_wef_cha_highweaver
armour_piercing	wh2_mixu_chs_cha_shaggoth_champion
armoured	wh2_mixu_chs_cha_shaggoth_champion
scaly_skin	wh2_mixu_chs_cha_shaggoth_champion
terror	wh2_mixu_chs_cha_shaggoth_champion
spellcaster	wh2_mixu_nor_cha_shaman_sorcerer_lord_death
spellcaster	wh2_mixu_nor_cha_shaman_sorcerer_lord_death_warhorse
spellcaster	wh2_mixu_nor_cha_shaman_sorcerer_lord_death_chariot
spellcaster	wh2_mixu_nor_cha_shaman_sorcerer_lord_death_manticore
spellcaster	wh2_mixu_nor_cha_shaman_sorcerer_lord_death_warshrine
spellcaster	wh2_mixu_nor_cha_shaman_sorcerer_lord_fire
spellcaster	wh2_mixu_nor_cha_shaman_sorcerer_lord_fire_warhorse
spellcaster	wh2_mixu_nor_cha_shaman_sorcerer_lord_fire_chariot
spellcaster	wh2_mixu_nor_cha_shaman_sorcerer_lord_fire_manticore
spellcaster	wh2_mixu_nor_cha_shaman_sorcerer_lord_fire_warshrine
spellcaster	wh2_mixu_nor_cha_shaman_sorcerer_lord_metal
spellcaster	wh2_mixu_nor_cha_shaman_sorcerer_lord_metal_warhorse
spellcaster	wh2_mixu_nor_cha_shaman_sorcerer_lord_metal_chariot
spellcaster	wh2_mixu_nor_cha_shaman_sorcerer_lord_metal_manticore
spellcaster	wh2_mixu_nor_cha_shaman_sorcerer_lord_metal_warshrine
anti_infantry	wh2_mixu_nor_cha_shaman_sorcerer_lord_death_chariot
anti_infantry	wh2_mixu_nor_cha_shaman_sorcerer_lord_fire_chariot
anti_infantry	wh2_mixu_nor_cha_shaman_sorcerer_lord_metal_chariot
armour_piercing	wh2_mixu_nor_cha_shaman_sorcerer_lord_metal_manticore
armoured	wh2_mixu_nor_cha_shaman_sorcerer_lord_metal_manticore
scaly_skin	wh2_mixu_nor_cha_shaman_sorcerer_lord_metal_manticore
terror	wh2_mixu_nor_cha_shaman_sorcerer_lord_metal_manticore
armour_piercing	wh2_mixu_nor_cha_shaman_sorcerer_lord_fire_manticore
armoured	wh2_mixu_nor_cha_shaman_sorcerer_lord_fire_manticore
scaly_skin	wh2_mixu_nor_cha_shaman_sorcerer_lord_fire_manticore
terror	wh2_mixu_nor_cha_shaman_sorcerer_lord_fire_manticore
armour_piercing	wh2_mixu_nor_cha_shaman_sorcerer_lord_death_manticore
armoured	wh2_mixu_nor_cha_shaman_sorcerer_lord_death_manticore
scaly_skin	wh2_mixu_nor_cha_shaman_sorcerer_lord_death_manticore
terror	wh2_mixu_nor_cha_shaman_sorcerer_lord_death_manticore
anti_infantry	wh2_mixu_nor_cha_shaman_sorcerer_lord_metal_warshrine
damage_dealer	wh2_mixu_nor_cha_shaman_sorcerer_lord_metal_warshrine
terror	wh2_mixu_nor_cha_shaman_sorcerer_lord_metal_warshrine
anti_infantry	wh2_mixu_nor_cha_shaman_sorcerer_lord_fire_warshrine
damage_dealer	wh2_mixu_nor_cha_shaman_sorcerer_lord_fire_warshrine
terror	wh2_mixu_nor_cha_shaman_sorcerer_lord_fire_warshrine
anti_infantry	wh2_mixu_nor_cha_shaman_sorcerer_lord_death_warshrine
damage_dealer	wh2_mixu_nor_cha_shaman_sorcerer_lord_death_warshrine
terror	wh2_mixu_nor_cha_shaman_sorcerer_lord_death_warshrine
anti_large	wh2_mixu_nor_cha_fimir_warlord
armour_piercing	wh2_mixu_nor_cha_fimir_warlord
armour_sundering	wh2_mixu_nor_cha_fimir_warlord
armoured	wh2_mixu_nor_cha_fimir_warlord
spellcaster	wh2_mixu_emp_cha_wizard_lord_shadow
spellcaster	wh2_mixu_emp_cha_wizard_lord_shadow_warhorse
spellcaster	wh2_mixu_emp_cha_wizard_lord_shadow_pegasus
spellcaster	wh2_mixu_emp_cha_wizard_lord_shadow_barded_warhorse
very_fast	wh2_mixu_emp_cha_wizard_lord_shadow_pegasus
spellcaster	wh2_mixu_emp_cha_wizard_lord_heavens
spellcaster	wh2_mixu_emp_cha_wizard_lord_heavens_warhorse
spellcaster	wh2_mixu_emp_cha_wizard_lord_heavens_pegasus
spellcaster	wh2_mixu_emp_cha_wizard_lord_heavens_barded_warhorse
very_fast	wh2_mixu_emp_cha_wizard_lord_heavens_pegasus
spellcaster	wh2_mixu_emp_cha_wizard_lord_shadow_summoned
spellcaster	wh2_mixu_emp_cha_wizard_lord_shadow_barded_warhorse_summoned
spellcaster	wh2_mixu_wef_cha_shadowdancer_summoned
forest_stalker	wh2_mixu_wef_cha_shadowdancer_summoned
wardance	wh2_mixu_wef_cha_shadowdancer_summoned
dodge	wh2_mixu_wef_cha_shadowdancer_summoned
