main_units_tables	35
additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	prestige	recruitment_cost	recruitment_movie	religion_requirement	unit	upkeep_cost	weight	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	audio_voiceover_culture	ui_unit_group_land	ui_unit_group_naval	tier	is_high_threat	porthole_camera	mount	use_hitpoints_in_campaign	unit_scaling	porthole_composite_scene	melee_cp	missile_cp	can_siege	audio_voiceover_culture_override	restrict_xp_gain_in_campaign	audio_voiceover_actor_group	food_cost	has_spoken_vo	is_monstrous	multiplayer_qb_cap	vo_is_dragon	vo_is_dinosaur
	-1	lord	1	false	wh2_mixu_wef_cha_spellweaver_beasts_great_eagle	1	0	1050	wh_main_shp_transport	1	1	1	0	1500			wh2_mixu_wef_cha_spellweaver_beasts_great_eagle	375	heavy		false	false	0	87865330	false		wh_dlc05_vo_culture_Wood_Elves	lord_wizard_beasts	lord_wizard_beasts	0	true	wef_spellsinger	wh_dlc05_cam_mnt_wef_great_eagle	true	false		1050	0	false	vo_culture_None	false	wh_dlc05_vo_actor_Wood_Elves_Spellsinger	0	true	false	0	false	false
	-1	lord	1	false	wh2_mixu_wef_cha_spellweaver_beasts_unicorn	1	0	750	wh_main_shp_transport	1	1	1	0	1200			wh2_mixu_wef_cha_spellweaver_beasts_unicorn	300	heavy		false	false	0	87865331	false		wh_dlc05_vo_culture_Wood_Elves	lord_wizard_beasts	lord_wizard_beasts	0	true	wef_spellsinger	wh_dlc05_cam_mnt_wef_unicorn	true	false		750	0	false	vo_culture_None	false	wh_dlc05_vo_actor_Wood_Elves_Spellsinger	0	true	false	0	false	false
	-1	lord	1	false	wh2_mixu_wef_cha_spellweaver_life	1	0	450	wh_main_shp_transport	1	1	1	0	1000			wh2_mixu_wef_cha_spellweaver_life	250	heavy		false	false	0	87865332	false		wh_dlc05_vo_culture_Wood_Elves	lord_wizard_life	lord_wizard_life	0	true	wef_spellsinger		true	false		450	0	false	vo_culture_None	false	wh_dlc05_vo_actor_Wood_Elves_Spellsinger	0	true	false	0	false	false
	-1	lord	1	false	wh2_mixu_wef_cha_spellweaver_life_elven_steed	1	0	650	wh_main_shp_transport	1	1	1	0	1100			wh2_mixu_wef_cha_spellweaver_life_elven_steed	275	heavy		false	false	0	87865333	false		wh_dlc05_vo_culture_Wood_Elves	lord_wizard_life	lord_wizard_life	0	true	wef_spellsinger	wh_dlc05_cam_mnt_wef_elven_steed	true	false		650	0	false	vo_culture_None	false	wh_dlc05_vo_actor_Wood_Elves_Spellsinger	0	true	false	0	false	false
	-1	lord	1	false	wh2_mixu_wef_cha_spellweaver_life_great_eagle	1	0	1050	wh_main_shp_transport	1	1	1	0	1500			wh2_mixu_wef_cha_spellweaver_life_great_eagle	375	heavy		false	false	0	87865334	false		wh_dlc05_vo_culture_Wood_Elves	lord_wizard_life	lord_wizard_life	0	true	wef_spellsinger	wh_dlc05_cam_mnt_wef_great_eagle	true	false		1050	0	false	vo_culture_None	false	wh_dlc05_vo_actor_Wood_Elves_Spellsinger	0	true	false	0	false	false
	-1	lord	1	false	wh2_mixu_wef_cha_spellweaver_life_unicorn	1	0	750	wh_main_shp_transport	1	1	1	0	1200			wh2_mixu_wef_cha_spellweaver_life_unicorn	300	heavy		false	false	0	87865335	false		wh_dlc05_vo_culture_Wood_Elves	lord_wizard_life	lord_wizard_life	0	true	wef_spellsinger	wh_dlc05_cam_mnt_wef_unicorn	true	false		750	0	false	vo_culture_None	false	wh_dlc05_vo_actor_Wood_Elves_Spellsinger	0	true	false	0	false	false
	-1	lord	1	false	wh2_mixu_wef_cha_spellweaver_shadows	1	0	450	wh_main_shp_transport	1	1	1	0	1000			wh2_mixu_wef_cha_spellweaver_shadows	250	heavy		false	false	0	87865336	false		wh_dlc05_vo_culture_Wood_Elves	lord_wizard_shadows	lord_wizard_shadows	0	true	wef_spellsinger		true	false		450	0	false	vo_culture_None	false	wh_dlc05_vo_actor_Wood_Elves_Spellsinger	0	true	false	0	false	false
	-1	lord	1	false	wh2_mixu_wef_cha_spellweaver_shadows_elven_steed	1	0	650	wh_main_shp_transport	1	1	1	0	1100			wh2_mixu_wef_cha_spellweaver_shadows_elven_steed	275	heavy		false	false	0	87865337	false		wh_dlc05_vo_culture_Wood_Elves	lord_wizard_shadows	lord_wizard_shadows	0	true	wef_spellsinger	wh_dlc05_cam_mnt_wef_elven_steed	true	false		650	0	false	vo_culture_None	false	wh_dlc05_vo_actor_Wood_Elves_Spellsinger	0	true	false	0	false	false
	-1	lord	1	false	wh2_mixu_wef_cha_spellweaver_shadows_great_eagle	1	0	1050	wh_main_shp_transport	1	1	1	0	1500			wh2_mixu_wef_cha_spellweaver_shadows_great_eagle	375	heavy		false	false	0	87865338	false		wh_dlc05_vo_culture_Wood_Elves	lord_wizard_shadows	lord_wizard_shadows	0	true	wef_spellsinger	wh_dlc05_cam_mnt_wef_great_eagle	true	false		1050	0	false	vo_culture_None	false	wh_dlc05_vo_actor_Wood_Elves_Spellsinger	0	true	false	0	false	false
	-1	lord	1	false	wh2_mixu_wef_cha_spellweaver_shadows_unicorn	1	0	750	wh_main_shp_transport	1	1	1	0	1200			wh2_mixu_wef_cha_spellweaver_shadows_unicorn	300	heavy		false	false	0	87865339	false		wh_dlc05_vo_culture_Wood_Elves	lord_wizard_shadows	lord_wizard_shadows	0	true	wef_spellsinger	wh_dlc05_cam_mnt_wef_unicorn	true	false		750	0	false	vo_culture_None	false	wh_dlc05_vo_actor_Wood_Elves_Spellsinger	0	true	false	0	false	false
	-1	hero	1	false	wh2_mixu_wef_cha_shadowdancer	1	0	700	wh_main_shp_transport	1	1	1	0	700			wh2_mixu_wef_cha_shadowdancer	175	heavy		false	false	0	87865340	false		wh_dlc05_vo_culture_Wood_Elves	wh2_main_def_dignitary	wh2_main_def_dignitary	0	true	emp_general_foot		true	false		700	0	false	vo_culture_None	false	wh_dlc05_vo_actor_Wood_Elves_Female_Units	0	true	false	3	false	false
	-1	lord	1	false	wh2_mixu_emp_cha_wizard_lord_beasts	1	0	400	wh_main_shp_transport	1	1	1	0	1000			wh2_mixu_emp_cha_wizard_lord_beasts	250	medium		false	false	0	87865341	false		wh_main_vo_culture_Empire	wizard_beasts	wizard_beasts	0	true	emp_general_foot		true	false		250	0	false	vo_culture_None	false	vo_actor_Empire_dlc03_AmberWizard	0	true	false	0	false	false
	-1	lord	1	false	wh2_mixu_emp_cha_wizard_lord_beasts_warhorse	1	0	600	wh_main_shp_transport	1	1	1	0	1100			wh2_mixu_emp_cha_wizard_lord_beasts_warhorse	275	medium		false	false	0	87865342	false		wh_main_vo_culture_Empire	wizard_beasts_cavalry	wizard_beasts_cavalry	0	true	emp_general_foot	wh_main_cam_mnt_emp_warhorse	true	false		450	0	false	vo_culture_None	false	vo_actor_Empire_dlc03_AmberWizard	0	true	false	0	false	false
	-1	lord	1	false	wh2_mixu_emp_cha_wizard_lord_beasts_barded_warhorse	1	0	700	wh_main_shp_transport	1	1	1	0	1200			wh2_mixu_emp_cha_wizard_lord_beasts_barded_warhorse	300	medium		false	false	0	87865343	false		wh_main_vo_culture_Empire	wizard_beasts_cavalry	wizard_beasts_cavalry	0	true	emp_general_foot	wh_main_cam_mnt_emp_barded_warhorse	true	false		550	0	false	vo_culture_None	false	vo_actor_Empire_dlc03_AmberWizard	0	true	false	0	false	false
	-1	lord	1	false	wh2_mixu_emp_cha_wizard_lord_beasts_griffon	1	0	1300	wh_main_shp_transport	1	1	1	0	1600			wh2_mixu_emp_cha_wizard_lord_beasts_griffon	375	medium		false	false	0	87865344	false		wh_main_vo_culture_Empire	wizard_beasts_flying_monster	wizard_beasts_flying_monster	0	true	emp_general_foot	wh_main_cam_mnt_emp_imperial_griffon	true	false		1150	0	true	vo_culture_None	false	vo_actor_Empire_dlc03_AmberWizard	0	true	false	0	false	false
	-1	lord	1	false	wh2_mixu_emp_cha_wizard_lord_beasts_pegasus	1	0	900	wh_main_shp_transport	1	1	1	0	1350			wh2_mixu_emp_cha_wizard_lord_beasts_pegasus	337	medium		false	false	0	87865345	false		wh_main_vo_culture_Empire	wizard_beasts_flying_monster	wizard_beasts_flying_monster	0	true	emp_general_foot	wh_main_cam_mnt_emp_imperial_pegasus	true	false		750	0	false	vo_culture_None	false	vo_actor_Empire_dlc03_AmberWizard	0	true	false	0	false	false
	-1	lord	1	false	wh2_mixu_emp_cha_wizard_lord_light	1	0	400	wh_main_shp_transport	1	1	1	0	1000			wh2_mixu_emp_cha_wizard_lord_light	250	medium		false	false	0	87865346	false		wh_main_vo_culture_Empire	lord_wizard_light	lord_wizard_light	0	true	emp_soldier_15_degrees		true	false		250	0	false	vo_culture_None	false	wh_main_vo_actor_Empire_LightWizard	0	true	false	0	false	false
	-1	lord	1	false	wh2_mixu_emp_cha_wizard_lord_light_warhorse	1	0	600	wh_main_shp_transport	1	1	1	0	1100			wh2_mixu_emp_cha_wizard_lord_light_warhorse	275	medium		false	false	0	87865347	false		wh_main_vo_culture_Empire	lord_wizard_light	lord_wizard_light	0	true	emp_soldier_15_degrees	wh_main_cam_mnt_emp_warhorse	true	false		450	0	false	vo_culture_None	false	wh_main_vo_actor_Empire_LightWizard	0	true	false	0	false	false
	-1	lord	1	false	wh2_mixu_emp_cha_wizard_lord_light_pegasus	1	0	900	wh_main_shp_transport	1	1	1	0	1350			wh2_mixu_emp_cha_wizard_lord_light_pegasus	337	medium		false	false	0	87865348	false		wh_main_vo_culture_Empire	lord_wizard_light	lord_wizard_light	0	true	default	wh_main_cam_mnt_emp_imperial_pegasus	true	false		750	0	false	vo_culture_None	false	wh_main_vo_actor_Empire_LightWizard	0	true	false	0	false	false
	-1	lord	1	false	wh2_mixu_emp_cha_wizard_lord_light_barded_warhorse	1	0	700	wh_main_shp_transport	1	1	1	0	1300			wh2_mixu_emp_cha_wizard_lord_light_barded_warhorse	325	medium		false	false	0	87865349	false		wh_main_vo_culture_Empire	lord_wizard_light	lord_wizard_light	0	true	emp_soldier_15_degrees	wh_main_cam_mnt_emp_barded_warhorse	true	false		550	0	false	vo_culture_None	false	wh_main_vo_actor_Empire_LightWizard	0	true	false	0	false	false
	-1	lord	1	false	wh2_mixu_emp_cha_wizard_lord_light_luminark	2	0	2200	wh_main_shp_transport	1	1	2	0	2200			wh2_mixu_emp_cha_wizard_lord_light_luminark	550	medium		false	false	0	87865350	false		wh_main_vo_culture_Empire	lord_chariot	lord_chariot	5	true	emp_soldier_15_degrees	wh_dlc04_cam_mnt_emp_war_altar	true	false		440	1760	true	vo_culture_None	false	wh_main_vo_actor_Empire_LightWizard	0	true	false	0	false	false
	-1	lord	1	false	wh2_mixu_emp_cha_wizard_lord_fire	1	0	400	wh_main_shp_transport	1	1	1	0	1000			wh2_mixu_emp_cha_wizard_lord_fire	250	medium		false	false	0	87865351	false		wh_main_vo_culture_Empire	lord_wizard_fire	lord_wizard_fire	0	true	emp_soldier_15_degrees		true	false		250	0	false	vo_culture_None	false	wh_main_vo_actor_Empire_BrightWizard	0	true	false	0	false	false
	-1	lord	1	false	wh2_mixu_emp_cha_wizard_lord_fire_warhorse	1	0	600	wh_main_shp_transport	1	1	1	0	1100			wh2_mixu_emp_cha_wizard_lord_fire_warhorse	275	medium		false	false	0	87865352	false		wh_main_vo_culture_Empire	lord_wizard_fire	lord_wizard_fire	0	true	emp_soldier_15_degrees	wh_main_cam_mnt_emp_warhorse	true	false		450	0	false	vo_culture_None	false	wh_main_vo_actor_Empire_BrightWizard	0	true	false	0	false	false
	-1	lord	1	false	wh2_mixu_emp_cha_wizard_lord_fire_pegasus	1	0	900	wh_main_shp_transport	1	1	1	0	1350			wh2_mixu_emp_cha_wizard_lord_fire_pegasus	337	medium		false	false	0	87865353	false		wh_main_vo_culture_Empire	lord_wizard_fire	lord_wizard_fire	0	true	default	wh_main_cam_mnt_emp_imperial_pegasus	true	false		750	0	false	vo_culture_None	false	wh_main_vo_actor_Empire_BrightWizard	0	true	false	0	false	false
	-1	lord	1	false	wh2_mixu_emp_cha_wizard_lord_fire_barded_warhorse	1	0	700	wh_main_shp_transport	1	1	1	0	1300			wh2_mixu_emp_cha_wizard_lord_fire_barded_warhorse	325	medium		false	false	0	87865354	false		wh_main_vo_culture_Empire	lord_wizard_fire	lord_wizard_fire	0	true	emp_soldier_15_degrees	wh_main_cam_mnt_emp_barded_warhorse	true	false		550	0	false	vo_culture_None	false	wh_main_vo_actor_Empire_BrightWizard	0	true	false	0	false	false
	-1	lord	1	false	wh2_mixu_grn_cha_savage_orc_warboss	1	0	900	wh_main_shp_transport	1	1	1	0	1000			wh2_mixu_grn_cha_savage_orc_warboss	250	heavy		false	false	0	87865355	false		wh_main_vo_culture_Orc	lord_infantry_axe	lord_infantry_axe	0	true	grn_orc_30_degrees		true	false		950	0	false	vo_culture_None	false	wh_main_vo_actor_Orc_Warboss	0	true	false	0	false	false
	-1	lord	1	false	wh2_mixu_grn_cha_savage_orc_warboss_wyvern	1	0	1600	wh_main_shp_transport	1	1	1	0	1600			wh2_mixu_grn_cha_savage_orc_warboss_wyvern	400	very_heavy		false	false	0	87865356	false		wh_main_vo_culture_Orc	lord_dragon	lord_dragon	0	true	grn_orc_30_degrees	wh2_cam_grn_wyvern_savage	true	false		1600	0	false	vo_culture_None	false	wh_main_vo_actor_Orc_Warboss	0	true	false	0	false	false
	-1	lord	1	false	wh2_mixu_grn_cha_savage_orc_warboss_boar	1	0	1200	wh_main_shp_transport	1	1	1	0	1100			wh2_mixu_grn_cha_savage_orc_warboss_boar	275	heavy		false	false	0	87865357	false		wh_main_vo_culture_Orc	lord_cavalry	lord_cavalry	0	true	grn_orc_30_degrees	wh2_cam_grn_savage_warboar_hero	true	false		1250	0	false	vo_culture_None	false	wh_main_vo_actor_Orc_Warboss	0	true	false	0	false	false
	-1	lord	1	false	wh2_mixu_grn_cha_savage_orc_shaman	1	0	400	wh_main_shp_transport	1	1	1	0	1000			wh2_mixu_grn_cha_savage_orc_shaman	250	medium		false	false	0	87865358	false		wh_main_vo_culture_Orc	lord_wizard_big_waaagh	lord_wizard_big_waaagh	0	true	grn_orc_30_degrees		true	false		300	0	false	vo_culture_None	false	wh_main_vo_actor_Orc_Shaman	0	true	false	0	false	false
	-1	lord	1	false	wh2_mixu_grn_cha_savage_orc_shaman_boar	1	0	650	wh_main_shp_transport	1	1	1	0	1100			wh2_mixu_grn_cha_savage_orc_shaman_boar	275	heavy		false	false	0	87865359	false		wh_main_vo_culture_Orc	lord_wizard_big_waaagh	lord_wizard_big_waaagh	0	true	grn_orc_30_degrees	wh2_cam_grn_savage_warboar_hero	true	false		650	0	false	vo_culture_None	false	wh_main_vo_actor_Orc_Shaman	0	true	false	0	false	false
	-1	lord	1	false	wh2_mixu_grn_cha_savage_orc_shaman_wyvern	1	0	1600	wh_main_shp_transport	1	1	1	0	1600			wh2_mixu_grn_cha_savage_orc_shaman_wyvern	400	very_heavy		false	false	0	87865360	false		wh_main_vo_culture_Orc	lord_dragon	lord_dragon	0	true	grn_orc_30_degrees	wh2_cam_grn_wyvern_savage	true	false		1600	0	false	vo_culture_None	false	wh_main_vo_actor_Orc_Shaman	0	true	false	0	false	false
	-1	lord	1	false	wh2_mixu_grn_cha_orc_great_shaman	1	0	400	wh_main_shp_transport	1	1	1	0	1000			wh2_mixu_grn_cha_orc_great_shaman	250	medium		false	false	0	87865361	false		wh_main_vo_culture_Orc	lord_wizard_big_waaagh	lord_wizard_big_waaagh	0	true	grn_orc_30_degrees		true	false		300	0	false	vo_culture_None	false	wh_main_vo_actor_Orc_Shaman	0	true	false	0	false	false
	-1	lord	1	false	wh2_mixu_grn_cha_orc_great_shaman_boar	1	0	650	wh_main_shp_transport	1	1	1	0	1100			wh2_mixu_grn_cha_orc_great_shaman_boar	275	heavy		false	false	0	87865362	false		wh_main_vo_culture_Orc	lord_wizard_big_waaagh	lord_wizard_big_waaagh	0	true	grn_orc_30_degrees	wh2_cam_grn_savage_warboar_hero	true	false		650	0	false	vo_culture_None	false	wh_main_vo_actor_Orc_Shaman	0	true	false	0	false	false
	-1	lord	1	false	wh2_mixu_grn_cha_orc_great_shaman_wyvern	1	0	1600	wh_main_shp_transport	1	1	1	0	1600			wh2_mixu_grn_cha_orc_great_shaman_wyvern	400	very_heavy		false	false	0	87865363	false		wh_main_vo_culture_Orc	lord_dragon	lord_dragon	0	true	grn_orc_30_degrees	wh2_cam_grn_wyvern_savage	true	false		1600	0	false	vo_culture_None	false	wh_main_vo_actor_Orc_Shaman	0	true	false	0	false	false
	-1	hero	1	false	wh2_mixu_dwf_cha_giant_slayer	1	0	750	wh_main_shp_transport	1	1	1	0	1000			wh2_mixu_dwf_cha_giant_slayer	250	heavy		false	false	0	87865364	false		wh_main_vo_culture_Dwarf	dwf_slayer_hero	dwf_slayer_hero	0	true	dwf_warrior_45_degrees		true	false		750	0	false	vo_culture_None	false	wh_main_vo_actor_Dwarf_Unique	0	true	false	3	false	false
	-1	lord	1	false	wh2_mixu_bst_cha_doombull	1	0	1300	wh_main_shp_transport	1	1	1	0	1500			wh2_mixu_bst_cha_doombull	275	heavy		false	false	0	87865365	false		wh_dlc03_vo_culture_Beastmen	lord_infantry_axe_great	lord_infantry_axe_great	0	true	bst_gorebull		true	false		1200	0	true	vo_culture_None	false	wh_dlc03_vo_actor_Beastmen_Gorebull	0	true	false	0	false	false
	-1	lord	1	false	wh2_mixu_bst_cha_doombull_shield	1	0	1300	wh_main_shp_transport	1	1	1	0	1500			wh2_mixu_bst_cha_doombull_shield	275	heavy		false	false	0	87865366	false		wh_dlc03_vo_culture_Beastmen	lord_infantry_axe	lord_infantry_axe	0	true	bst_doombull		true	false		1200	0	true	vo_culture_None	false	wh_dlc03_vo_actor_Beastmen_Gorebull	0	true	false	0	false	false
	-1	lord	1	false	wh2_mixu_bst_cha_doombull_dual_wield	1	0	1300	wh_main_shp_transport	1	1	1	0	1500			wh2_mixu_bst_cha_doombull_dual_wield	275	heavy		false	false	0	87865367	false		wh_dlc03_vo_culture_Beastmen	lord_infantry_axe	lord_infantry_axe	0	true	bst_doombull		true	false		1200	0	true	vo_culture_None	false	wh_dlc03_vo_actor_Beastmen_Gorebull	0	true	false	0	false	false
	-1	lord	1	false	wh2_mixu_wef_cha_darkweaver	1	0	450	wh_main_shp_transport	1	1	1	0	1000			wh2_mixu_wef_cha_darkweaver	250	heavy		false	false	0	87865368	false		wh_dlc05_vo_culture_Wood_Elves	wh2_main_lord_wizard_dark	wh2_main_lord_wizard_dark	0	true	wef_spellsinger		true	false		450	0	false	vo_culture_None	false	wh_dlc05_vo_actor_Wood_Elves_Spellsinger	0	true	false	0	false	false
	-1	lord	1	false	wh2_mixu_wef_cha_darkweaver_elven_steed	1	0	650	wh_main_shp_transport	1	1	1	0	1100			wh2_mixu_wef_cha_darkweaver_elven_steed	275	heavy		false	false	0	87865369	false		wh_dlc05_vo_culture_Wood_Elves	wh2_main_lord_wizard_dark	wh2_main_lord_wizard_dark	0	true	wef_spellsinger	wh_dlc05_cam_mnt_wef_elven_steed	true	false		650	0	false	vo_culture_None	false	wh_dlc05_vo_actor_Wood_Elves_Spellsinger	0	true	false	0	false	false
	-1	lord	1	false	wh2_mixu_wef_cha_darkweaver_great_eagle	1	0	1050	wh_main_shp_transport	1	1	1	0	1500			wh2_mixu_wef_cha_darkweaver_great_eagle	375	heavy		false	false	0	87865370	false		wh_dlc05_vo_culture_Wood_Elves	wh2_main_lord_wizard_dark	wh2_main_lord_wizard_dark	0	true	wef_spellsinger	wh_dlc05_cam_mnt_wef_great_eagle	true	false		1050	0	false	vo_culture_None	false	wh_dlc05_vo_actor_Wood_Elves_Spellsinger	0	true	false	0	false	false
	-1	lord	1	false	wh2_mixu_wef_cha_darkweaver_unicorn	1	0	750	wh_main_shp_transport	1	1	1	0	1200			wh2_mixu_wef_cha_darkweaver_unicorn	300	heavy		false	false	0	87865371	false		wh_dlc05_vo_culture_Wood_Elves	wh2_main_lord_wizard_dark	wh2_main_lord_wizard_dark	0	true	wef_spellsinger	wh_dlc05_cam_mnt_wef_unicorn	true	false		750	0	false	vo_culture_None	false	wh_dlc05_vo_actor_Wood_Elves_Spellsinger	0	true	false	0	false	false
	-1	lord	1	false	wh2_mixu_wef_cha_highweaver	1	0	450	wh_main_shp_transport	1	1	1	0	1000			wh2_mixu_wef_cha_highweaver	250	heavy		false	false	0	87865372	false		wh_dlc05_vo_culture_Wood_Elves	wh2_main_lord_wizard_high	wh2_main_lord_wizard_high	0	true	wef_spellsinger		true	false		450	0	false	vo_culture_None	false	wh_dlc05_vo_actor_Wood_Elves_Spellsinger	0	true	false	0	false	false
	-1	lord	1	false	wh2_mixu_wef_cha_highweaver_elven_steed	1	0	650	wh_main_shp_transport	1	1	1	0	1100			wh2_mixu_wef_cha_highweaver_elven_steed	275	heavy		false	false	0	87865373	false		wh_dlc05_vo_culture_Wood_Elves	wh2_main_lord_wizard_high	wh2_main_lord_wizard_high	0	true	wef_spellsinger	wh_dlc05_cam_mnt_wef_elven_steed	true	false		650	0	false	vo_culture_None	false	wh_dlc05_vo_actor_Wood_Elves_Spellsinger	0	true	false	0	false	false
	-1	lord	1	false	wh2_mixu_wef_cha_highweaver_great_eagle	1	0	1050	wh_main_shp_transport	1	1	1	0	1500			wh2_mixu_wef_cha_highweaver_great_eagle	375	heavy		false	false	0	87865374	false		wh_dlc05_vo_culture_Wood_Elves	wh2_main_lord_wizard_high	wh2_main_lord_wizard_high	0	true	wef_spellsinger	wh_dlc05_cam_mnt_wef_great_eagle	true	false		1050	0	false	vo_culture_None	false	wh_dlc05_vo_actor_Wood_Elves_Spellsinger	0	true	false	0	false	false
	-1	lord	1	false	wh2_mixu_wef_cha_highweaver_unicorn	1	0	750	wh_main_shp_transport	1	1	1	0	1200			wh2_mixu_wef_cha_highweaver_unicorn	300	heavy		false	false	0	87865375	false		wh_dlc05_vo_culture_Wood_Elves	wh2_main_lord_wizard_high	wh2_main_lord_wizard_high	0	true	wef_spellsinger	wh_dlc05_cam_mnt_wef_unicorn	true	false		750	0	false	vo_culture_None	false	wh_dlc05_vo_actor_Wood_Elves_Spellsinger	0	true	false	0	false	false
