faction_agent_permitted_subtypes_tables	0
general	wh_dlc05_wef_wood_elves_rebels	wef_highweaver
general	wh_dlc05_wef_wydrioth	wef_highweaver
general	wh2_main_wef_bowmen_of_oreon	wef_highweaver
general	wh_dlc05_wef_argwylon	wef_spellweaver
general	wh_dlc05_wef_torgovann	wef_spellweaver
general	wh_dlc05_wef_wood_elves	wef_spellweaver
general	wh_dlc05_wef_wood_elves_rebels	wef_spellweaver
general	wh_dlc05_wef_wydrioth	wef_spellweaver
general	wh2_main_wef_bowmen_of_oreon	wef_spellweaver
champion	wh_dlc05_wef_argwylon	wef_shadowdancer
champion	wh_dlc05_wef_torgovann	wef_shadowdancer
champion	wh_dlc05_wef_wood_elves	wef_shadowdancer
champion	wh_dlc05_wef_wood_elves_rebels	wef_shadowdancer
champion	wh_dlc05_wef_wydrioth	wef_shadowdancer
champion	wh2_main_wef_bowmen_of_oreon	wef_shadowdancer
general	wh_main_emp_averland	emp_wizard_lord_beasts
general	wh_main_emp_empire	emp_wizard_lord_beasts
general	wh_main_emp_empire_rebels	emp_wizard_lord_beasts
general	wh_main_emp_empire_separatists	emp_wizard_lord_beasts
general	wh_main_emp_hochland	emp_wizard_lord_beasts
general	wh_main_emp_marienburg	emp_wizard_lord_beasts
general	wh_main_emp_marienburg_rebels	emp_wizard_lord_beasts
general	wh_main_emp_middenland	emp_wizard_lord_beasts
general	wh_main_emp_nordland	emp_wizard_lord_beasts
general	wh_main_emp_ostermark	emp_wizard_lord_beasts
general	wh_main_emp_ostland	emp_wizard_lord_beasts
general	wh_main_emp_stirland	emp_wizard_lord_beasts
general	wh_main_emp_talabecland	emp_wizard_lord_beasts
general	wh_main_emp_wissenland	emp_wizard_lord_beasts
general	wh2_main_emp_sudenburg	emp_wizard_lord_beasts
general	wh_main_emp_averland	emp_wizard_lord_light
general	wh_main_emp_empire	emp_wizard_lord_light
general	wh_main_emp_empire_rebels	emp_wizard_lord_light
general	wh_main_emp_empire_separatists	emp_wizard_lord_light
general	wh_main_emp_hochland	emp_wizard_lord_light
general	wh_main_emp_marienburg	emp_wizard_lord_light
general	wh_main_emp_marienburg_rebels	emp_wizard_lord_light
general	wh_main_emp_middenland	emp_wizard_lord_light
general	wh_main_emp_nordland	emp_wizard_lord_light
general	wh_main_emp_ostermark	emp_wizard_lord_light
general	wh_main_emp_ostland	emp_wizard_lord_light
general	wh_main_emp_stirland	emp_wizard_lord_light
general	wh_main_emp_talabecland	emp_wizard_lord_light
general	wh_main_emp_wissenland	emp_wizard_lord_light
general	wh2_main_emp_sudenburg	emp_wizard_lord_light
general	wh_main_emp_averland	emp_wizard_lord_fire
general	wh_main_emp_empire	emp_wizard_lord_fire
general	wh_main_emp_empire_rebels	emp_wizard_lord_fire
general	wh_main_emp_empire_separatists	emp_wizard_lord_fire
general	wh_main_emp_hochland	emp_wizard_lord_fire
general	wh_main_emp_marienburg	emp_wizard_lord_fire
general	wh_main_emp_marienburg_rebels	emp_wizard_lord_fire
general	wh_main_emp_middenland	emp_wizard_lord_fire
general	wh_main_emp_nordland	emp_wizard_lord_fire
general	wh_main_emp_ostermark	emp_wizard_lord_fire
general	wh_main_emp_ostland	emp_wizard_lord_fire
general	wh_main_emp_stirland	emp_wizard_lord_fire
general	wh_main_emp_talabecland	emp_wizard_lord_fire
general	wh_main_emp_wissenland	emp_wizard_lord_fire
general	wh2_main_emp_sudenburg	emp_wizard_lord_fire
general	wh_main_grn_bloody_spearz	grn_savage_orc_warboss
general	wh_main_grn_bloody_spearz_waaagh	grn_savage_orc_warboss
general	wh_main_grn_broken_nose	grn_savage_orc_warboss
general	wh_main_grn_broken_nose_waaagh	grn_savage_orc_warboss
general	wh_main_grn_greenskins	grn_savage_orc_warboss
general	wh_main_grn_greenskins_rebels	grn_savage_orc_warboss
general	wh_main_grn_greenskins_rebels_waaagh	grn_savage_orc_warboss
general	wh_main_grn_greenskins_waaagh	grn_savage_orc_warboss
general	wh_main_grn_necksnappers	grn_savage_orc_warboss
general	wh_main_grn_necksnappers_waaagh	grn_savage_orc_warboss
general	wh_main_grn_orcs_of_the_bloody_hand	grn_savage_orc_warboss
general	wh_main_grn_orcs_of_the_bloody_hand_waaagh	grn_savage_orc_warboss
general	wh_main_grn_red_eye	grn_savage_orc_warboss
general	wh_main_grn_red_eye_waaagh	grn_savage_orc_warboss
general	wh_main_grn_red_fangs	grn_savage_orc_warboss
general	wh_main_grn_red_fangs_waaagh	grn_savage_orc_warboss
general	wh_main_grn_scabby_eye	grn_savage_orc_warboss
general	wh_main_grn_scabby_eye_waaagh	grn_savage_orc_warboss
general	wh_main_grn_skullsmasherz	grn_savage_orc_warboss
general	wh_main_grn_skullsmasherz_waaagh	grn_savage_orc_warboss
general	wh_main_grn_skull-takerz	grn_savage_orc_warboss
general	wh_main_grn_skull-takerz_waaagh	grn_savage_orc_warboss
general	wh_main_grn_teef_snatchaz	grn_savage_orc_warboss
general	wh_main_grn_teef_snatchaz_waaagh	grn_savage_orc_warboss
general	wh_main_grn_top_knotz	grn_savage_orc_warboss
general	wh_main_grn_top_knotz_waaagh	grn_savage_orc_warboss
general	wh2_main_grn_arachnos	grn_savage_orc_warboss
general	wh2_main_grn_arachnos_waaagh	grn_savage_orc_warboss
general	wh2_main_grn_blue_vipers	grn_savage_orc_warboss
general	wh2_main_grn_blue_vipers_waaagh	grn_savage_orc_warboss
general	wh_main_grn_bloody_spearz	grn_savage_orc_shaman
general	wh_main_grn_bloody_spearz_waaagh	grn_savage_orc_shaman
general	wh_main_grn_broken_nose	grn_savage_orc_shaman
general	wh_main_grn_broken_nose_waaagh	grn_savage_orc_shaman
general	wh_main_grn_greenskins	grn_savage_orc_shaman
general	wh_main_grn_greenskins_rebels	grn_savage_orc_shaman
general	wh_main_grn_greenskins_rebels_waaagh	grn_savage_orc_shaman
general	wh_main_grn_greenskins_waaagh	grn_savage_orc_shaman
general	wh_main_grn_necksnappers	grn_savage_orc_shaman
general	wh_main_grn_necksnappers_waaagh	grn_savage_orc_shaman
general	wh_main_grn_orcs_of_the_bloody_hand	grn_savage_orc_shaman
general	wh_main_grn_orcs_of_the_bloody_hand_waaagh	grn_savage_orc_shaman
general	wh_main_grn_red_eye	grn_savage_orc_shaman
general	wh_main_grn_red_eye_waaagh	grn_savage_orc_shaman
general	wh_main_grn_red_fangs	grn_savage_orc_shaman
general	wh_main_grn_red_fangs_waaagh	grn_savage_orc_shaman
general	wh_main_grn_scabby_eye	grn_savage_orc_shaman
general	wh_main_grn_scabby_eye_waaagh	grn_savage_orc_shaman
general	wh_main_grn_skullsmasherz	grn_savage_orc_shaman
general	wh_main_grn_skullsmasherz_waaagh	grn_savage_orc_shaman
general	wh_main_grn_skull-takerz	grn_savage_orc_shaman
general	wh_main_grn_skull-takerz_waaagh	grn_savage_orc_shaman
general	wh_main_grn_teef_snatchaz	grn_savage_orc_shaman
general	wh_main_grn_teef_snatchaz_waaagh	grn_savage_orc_shaman
general	wh_main_grn_top_knotz	grn_savage_orc_shaman
general	wh_main_grn_top_knotz_waaagh	grn_savage_orc_shaman
general	wh2_main_grn_arachnos	grn_savage_orc_shaman
general	wh2_main_grn_arachnos_waaagh	grn_savage_orc_shaman
general	wh2_main_grn_blue_vipers	grn_savage_orc_shaman
general	wh2_main_grn_blue_vipers_waaagh	grn_savage_orc_shaman
general	wh_main_grn_bloody_spearz	grn_orc_great_shaman
general	wh_main_grn_bloody_spearz_waaagh	grn_orc_great_shaman
general	wh_main_grn_broken_nose	grn_orc_great_shaman
general	wh_main_grn_broken_nose_waaagh	grn_orc_great_shaman
general	wh_main_grn_greenskins	grn_orc_great_shaman
general	wh_main_grn_greenskins_rebels	grn_orc_great_shaman
general	wh_main_grn_greenskins_rebels_waaagh	grn_orc_great_shaman
general	wh_main_grn_greenskins_waaagh	grn_orc_great_shaman
general	wh_main_grn_necksnappers	grn_orc_great_shaman
general	wh_main_grn_necksnappers_waaagh	grn_orc_great_shaman
general	wh_main_grn_orcs_of_the_bloody_hand	grn_orc_great_shaman
general	wh_main_grn_orcs_of_the_bloody_hand_waaagh	grn_orc_great_shaman
general	wh_main_grn_red_eye	grn_orc_great_shaman
general	wh_main_grn_red_eye_waaagh	grn_orc_great_shaman
general	wh_main_grn_red_fangs	grn_orc_great_shaman
general	wh_main_grn_red_fangs_waaagh	grn_orc_great_shaman
general	wh_main_grn_scabby_eye	grn_orc_great_shaman
general	wh_main_grn_scabby_eye_waaagh	grn_orc_great_shaman
general	wh_main_grn_skullsmasherz	grn_orc_great_shaman
general	wh_main_grn_skullsmasherz_waaagh	grn_orc_great_shaman
general	wh_main_grn_teef_snatchaz	grn_orc_great_shaman
general	wh_main_grn_teef_snatchaz_waaagh	grn_orc_great_shaman
general	wh_main_grn_black_venom	grn_orc_great_shaman
general	wh_main_grn_black_venom_waaagh	grn_orc_great_shaman
general	wh_main_grn_crooked_moon	grn_orc_great_shaman
general	wh_main_grn_crooked_moon_waaagh	grn_orc_great_shaman
champion	wh_main_dwf_barak_varr	dwf_giant_slayer
champion	wh_main_dwf_dwarf_rebels	dwf_giant_slayer
champion	wh_main_dwf_dwarfs	dwf_giant_slayer
champion	wh_main_dwf_karak_azul	dwf_giant_slayer
champion	wh_main_dwf_karak_hirn	dwf_giant_slayer
champion	wh_main_dwf_karak_izor	dwf_giant_slayer
champion	wh_main_dwf_karak_kadrin	dwf_giant_slayer
champion	wh_main_dwf_karak_norn	dwf_giant_slayer
champion	wh_main_dwf_karak_ziflin	dwf_giant_slayer
champion	wh_main_dwf_kraka_drak	dwf_giant_slayer
champion	wh_main_dwf_zhufbar	dwf_giant_slayer
champion	wh2_main_dwf_greybeards_prospectors	dwf_giant_slayer
general	wh_dlc03_bst_beastmen	bst_doombull
general	wh_dlc03_bst_beastmen_chaos	bst_doombull
general	wh_dlc03_bst_jagged_horn	bst_doombull
general	wh_dlc03_bst_redhorn	bst_doombull
general	wh2_main_bst_blooded_axe	bst_doombull
general	wh2_main_bst_manblight	bst_doombull
general	wh2_main_bst_ripper_horn	bst_doombull
general	wh2_main_bst_shadowgor	bst_doombull
general	wh2_main_bst_skrinderkin	bst_doombull
general	wh2_main_bst_stone_horn	bst_doombull
general	wh_main_chs_chaos	chs_shaggoth_champion
general	wh_dlc08_nor_goromadny_tribe	nor_fimir_warlord
general	wh_dlc08_nor_helspire_tribe	nor_fimir_warlord
general	wh_dlc08_nor_naglfarlings	nor_fimir_warlord
general	wh_dlc08_nor_norsca	nor_fimir_warlord
general	wh_dlc08_nor_vanaheimlings	nor_fimir_warlord
general	wh_dlc08_nor_wintertooth	nor_fimir_warlord
general	wh_main_nor_aesling	nor_fimir_warlord
general	wh_main_nor_baersonling	nor_fimir_warlord
general	wh_main_nor_bjornling	nor_fimir_warlord
general	wh_main_nor_graeling	nor_fimir_warlord
general	wh_main_nor_norsca_rebels	nor_fimir_warlord
general	wh_main_nor_norsca_separatists	nor_fimir_warlord
general	wh_main_nor_norsca_separatists_sorcerer_lord	nor_fimir_warlord
general	wh_main_nor_sarl	nor_fimir_warlord
general	wh_main_nor_skaeling	nor_fimir_warlord
general	wh_main_nor_varg	nor_fimir_warlord
general	wh2_main_nor_aghol	nor_fimir_warlord
general	wh2_main_nor_hung_incursion_def	nor_fimir_warlord
general	wh2_main_nor_hung_incursion_hef	nor_fimir_warlord
general	wh2_main_nor_hung_incursion_lzd	nor_fimir_warlord
general	wh2_main_nor_hung_incursion_skv	nor_fimir_warlord
general	wh2_main_nor_mung	nor_fimir_warlord
general	wh2_main_nor_skeggi	nor_fimir_warlord
general	wh_dlc08_nor_goromadny_tribe	nor_shaman_sorcerer_lord_death
general	wh_dlc08_nor_helspire_tribe	nor_shaman_sorcerer_lord_death
general	wh_dlc08_nor_naglfarlings	nor_shaman_sorcerer_lord_death
general	wh_dlc08_nor_norsca	nor_shaman_sorcerer_lord_death
general	wh_dlc08_nor_vanaheimlings	nor_shaman_sorcerer_lord_death
general	wh_dlc08_nor_wintertooth	nor_shaman_sorcerer_lord_death
general	wh_main_nor_aesling	nor_shaman_sorcerer_lord_death
general	wh_main_nor_baersonling	nor_shaman_sorcerer_lord_death
general	wh_main_nor_bjornling	nor_shaman_sorcerer_lord_death
general	wh_main_nor_graeling	nor_shaman_sorcerer_lord_death
general	wh_main_nor_norsca_rebels	nor_shaman_sorcerer_lord_death
general	wh_main_nor_norsca_separatists	nor_shaman_sorcerer_lord_death
general	wh_main_nor_norsca_separatists_sorcerer_lord	nor_shaman_sorcerer_lord_death
general	wh_main_nor_sarl	nor_shaman_sorcerer_lord_death
general	wh_main_nor_skaeling	nor_shaman_sorcerer_lord_death
general	wh_main_nor_varg	nor_shaman_sorcerer_lord_death
general	wh2_main_nor_aghol	nor_shaman_sorcerer_lord_death
general	wh2_main_nor_hung_incursion_def	nor_shaman_sorcerer_lord_death
general	wh2_main_nor_hung_incursion_hef	nor_shaman_sorcerer_lord_death
general	wh2_main_nor_hung_incursion_lzd	nor_shaman_sorcerer_lord_death
general	wh2_main_nor_hung_incursion_skv	nor_shaman_sorcerer_lord_death
general	wh2_main_nor_mung	nor_shaman_sorcerer_lord_death
general	wh2_main_nor_skeggi	nor_shaman_sorcerer_lord_death
general	wh_dlc08_nor_goromadny_tribe	nor_shaman_sorcerer_lord_fire
general	wh_dlc08_nor_helspire_tribe	nor_shaman_sorcerer_lord_fire
general	wh_dlc08_nor_naglfarlings	nor_shaman_sorcerer_lord_fire
general	wh_dlc08_nor_norsca	nor_shaman_sorcerer_lord_fire
general	wh_dlc08_nor_vanaheimlings	nor_shaman_sorcerer_lord_fire
general	wh_dlc08_nor_wintertooth	nor_shaman_sorcerer_lord_fire
general	wh_main_nor_aesling	nor_shaman_sorcerer_lord_fire
general	wh_main_nor_baersonling	nor_shaman_sorcerer_lord_fire
general	wh_main_nor_bjornling	nor_shaman_sorcerer_lord_fire
general	wh_main_nor_graeling	nor_shaman_sorcerer_lord_fire
general	wh_main_nor_norsca_rebels	nor_shaman_sorcerer_lord_fire
general	wh_main_nor_norsca_separatists	nor_shaman_sorcerer_lord_fire
general	wh_main_nor_norsca_separatists_sorcerer_lord	nor_shaman_sorcerer_lord_fire
general	wh_main_nor_sarl	nor_shaman_sorcerer_lord_fire
general	wh_main_nor_skaeling	nor_shaman_sorcerer_lord_fire
general	wh_main_nor_varg	nor_shaman_sorcerer_lord_fire
general	wh2_main_nor_aghol	nor_shaman_sorcerer_lord_fire
general	wh2_main_nor_hung_incursion_def	nor_shaman_sorcerer_lord_fire
general	wh2_main_nor_hung_incursion_hef	nor_shaman_sorcerer_lord_fire
general	wh2_main_nor_hung_incursion_lzd	nor_shaman_sorcerer_lord_fire
general	wh2_main_nor_hung_incursion_skv	nor_shaman_sorcerer_lord_fire
general	wh2_main_nor_mung	nor_shaman_sorcerer_lord_fire
general	wh2_main_nor_skeggi	nor_shaman_sorcerer_lord_fire
general	wh_dlc08_nor_goromadny_tribe	nor_shaman_sorcerer_lord_metal
general	wh_dlc08_nor_helspire_tribe	nor_shaman_sorcerer_lord_metal
general	wh_dlc08_nor_naglfarlings	nor_shaman_sorcerer_lord_metal
general	wh_dlc08_nor_norsca	nor_shaman_sorcerer_lord_metal
general	wh_dlc08_nor_vanaheimlings	nor_shaman_sorcerer_lord_metal
general	wh_dlc08_nor_wintertooth	nor_shaman_sorcerer_lord_metal
general	wh_main_nor_aesling	nor_shaman_sorcerer_lord_metal
general	wh_main_nor_baersonling	nor_shaman_sorcerer_lord_metal
general	wh_main_nor_bjornling	nor_shaman_sorcerer_lord_metal
general	wh_main_nor_graeling	nor_shaman_sorcerer_lord_metal
general	wh_main_nor_norsca_rebels	nor_shaman_sorcerer_lord_metal
general	wh_main_nor_norsca_separatists	nor_shaman_sorcerer_lord_metal
general	wh_main_nor_norsca_separatists_sorcerer_lord	nor_shaman_sorcerer_lord_metal
general	wh_main_nor_sarl	nor_shaman_sorcerer_lord_metal
general	wh_main_nor_skaeling	nor_shaman_sorcerer_lord_metal
general	wh_main_nor_varg	nor_shaman_sorcerer_lord_metal
general	wh2_main_nor_aghol	nor_shaman_sorcerer_lord_metal
general	wh2_main_nor_hung_incursion_def	nor_shaman_sorcerer_lord_metal
general	wh2_main_nor_hung_incursion_hef	nor_shaman_sorcerer_lord_metal
general	wh2_main_nor_hung_incursion_lzd	nor_shaman_sorcerer_lord_metal
general	wh2_main_nor_hung_incursion_skv	nor_shaman_sorcerer_lord_metal
general	wh2_main_nor_mung	nor_shaman_sorcerer_lord_metal
general	wh2_main_nor_skeggi	nor_shaman_sorcerer_lord_metal
general	wh_main_emp_averland	emp_wizard_lord_heavens
general	wh_main_emp_empire	emp_wizard_lord_heavens
general	wh_main_emp_empire_rebels	emp_wizard_lord_heavens
general	wh_main_emp_empire_separatists	emp_wizard_lord_heavens
general	wh_main_emp_hochland	emp_wizard_lord_heavens
general	wh_main_emp_marienburg	emp_wizard_lord_heavens
general	wh_main_emp_marienburg_rebels	emp_wizard_lord_heavens
general	wh_main_emp_middenland	emp_wizard_lord_heavens
general	wh_main_emp_nordland	emp_wizard_lord_heavens
general	wh_main_emp_ostermark	emp_wizard_lord_heavens
general	wh_main_emp_ostland	emp_wizard_lord_heavens
general	wh_main_emp_stirland	emp_wizard_lord_heavens
general	wh_main_emp_talabecland	emp_wizard_lord_heavens
general	wh_main_emp_wissenland	emp_wizard_lord_heavens
general	wh2_main_emp_sudenburg	emp_wizard_lord_heavens
general	wh_main_emp_averland	emp_wizard_lord_shadow
general	wh_main_emp_empire	emp_wizard_lord_shadow
general	wh_main_emp_empire_rebels	emp_wizard_lord_shadow
general	wh_main_emp_empire_separatists	emp_wizard_lord_shadow
general	wh_main_emp_hochland	emp_wizard_lord_shadow
general	wh_main_emp_marienburg	emp_wizard_lord_shadow
general	wh_main_emp_marienburg_rebels	emp_wizard_lord_shadow
general	wh_main_emp_middenland	emp_wizard_lord_shadow
general	wh_main_emp_nordland	emp_wizard_lord_shadow
general	wh_main_emp_ostermark	emp_wizard_lord_shadow
general	wh_main_emp_ostland	emp_wizard_lord_shadow
general	wh_main_emp_stirland	emp_wizard_lord_shadow
general	wh_main_emp_talabecland	emp_wizard_lord_shadow
general	wh_main_emp_wissenland	emp_wizard_lord_shadow
general	wh2_main_emp_sudenburg	emp_wizard_lord_shadow
