campaign_mount_animation_set_overrides_tables	2
character_animation_set	mount_unit	rider_animation_set	vfx_filter_override
cam_hu2_orc_staff_and_sword	wh2_mixu_grn_cha_orc_great_shaman_boar	cam_hu2_orc_bo1_warboar_staff_and_sword	0
cam_hu2_orc_staff_and_sword	wh2_mixu_grn_cha_orc_great_shaman_wyvern	cam_hu2_orc_bi2_wyvern_wb_sword_and_axe	0
cam_hu1b_elf_spellsinger	wh2_mixu_wef_cha_darkweaver_elven_steed	cam_hu1b_elf_spellsinger_hr1_warhorse	0
cam_hu1b_elf_spellsinger	wh2_mixu_wef_cha_darkweaver_unicorn	cam_hu1b_elf_spellsinger_hr1_warhorse	0
cam_hu1b_elf_spellsinger	wh2_mixu_wef_cha_darkweaver_great_eagle	cam_hu1b_elf_spellsinger_bi1_eagle	0
cam_hu1b_elf_spellsinger	wh2_mixu_wef_cha_highweaver_elven_steed	cam_hu1b_elf_spellsinger_hr1_warhorse	0
cam_hu1b_elf_spellsinger	wh2_mixu_wef_cha_highweaver_unicorn	cam_hu1b_elf_spellsinger_hr1_warhorse	0
cam_hu1b_elf_spellsinger	wh2_mixu_wef_cha_highweaver_great_eagle	cam_hu1b_elf_spellsinger_bi1_eagle	0
cam_hu1_empire_staff_and_sword	wh2_mixu_nor_cha_shaman_sorcerer_lord_death_warhorse	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
cam_hu1_empire_staff_and_sword	wh2_mixu_nor_cha_shaman_sorcerer_lord_death_chariot	cam_hero_hu1_chaos_wm_chaos_chariot_staff_and_sword	0
cam_hu1_empire_staff_and_sword	wh2_mixu_nor_cha_shaman_sorcerer_lord_death_manticore	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
cam_hu1_empire_staff_and_sword	wh2_mixu_nor_cha_shaman_sorcerer_lord_death_warshrine	cam_hu1_empire_staff_and_sword	0
cam_hu1_empire_staff_and_sword	wh2_mixu_nor_cha_shaman_sorcerer_lord_fire_warhorse	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
cam_hu1_empire_staff_and_sword	wh2_mixu_nor_cha_shaman_sorcerer_lord_fire_chariot	cam_hero_hu1_chaos_wm_chaos_chariot_staff_and_sword	0
cam_hu1_empire_staff_and_sword	wh2_mixu_nor_cha_shaman_sorcerer_lord_fire_manticore	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
cam_hu1_empire_staff_and_sword	wh2_mixu_nor_cha_shaman_sorcerer_lord_fire_warshrine	cam_hu1_empire_staff_and_sword	0
cam_hu1_empire_staff_and_sword	wh2_mixu_nor_cha_shaman_sorcerer_lord_metal_warhorse	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
cam_hu1_empire_staff_and_sword	wh2_mixu_nor_cha_shaman_sorcerer_lord_metal_chariot	cam_hero_hu1_chaos_wm_chaos_chariot_staff_and_sword	0
cam_hu1_empire_staff_and_sword	wh2_mixu_nor_cha_shaman_sorcerer_lord_metal_manticore	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
cam_hu1_empire_staff_and_sword	wh2_mixu_nor_cha_shaman_sorcerer_lord_metal_warshrine	cam_hu1_empire_staff_and_sword	0
cam_hu1_empire_staff_and_sword	wh2_mixu_emp_cha_wizard_lord_shadow_warhorse	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
cam_hu1_empire_staff_and_sword	wh2_mixu_emp_cha_wizard_lord_shadow_pegasus	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
cam_hu1_empire_staff_and_sword	wh2_mixu_emp_cha_wizard_lord_shadow_barded_warhorse	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
cam_hu1_empire_staff_and_sword	wh2_mixu_emp_cha_wizard_lord_heavens_warhorse	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
cam_hu1_empire_staff_and_sword	wh2_mixu_emp_cha_wizard_lord_heavens_pegasus	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
cam_hu1_empire_staff_and_sword	wh2_mixu_emp_cha_wizard_lord_heavens_barded_warhorse	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
