special_ability_groups_to_units_junctions_tables	0
wh_main_lore_big_waaagh	wh2_mixu_grn_cha_orc_great_shaman_boar
wh_main_lore_big_waaagh	wh2_mixu_grn_cha_orc_great_shaman_wyvern
wh2_main_lore_dark_magic	wh2_mixu_wef_cha_darkweaver
wh2_main_lore_dark_magic	wh2_mixu_wef_cha_darkweaver_elven_steed
wh2_main_lore_dark_magic	wh2_mixu_wef_cha_darkweaver_great_eagle
wh2_main_lore_dark_magic	wh2_mixu_wef_cha_darkweaver_unicorn
wh2_main_lore_high_magic	wh2_mixu_wef_cha_highweaver
wh2_main_lore_high_magic	wh2_mixu_wef_cha_highweaver_elven_steed
wh2_main_lore_high_magic	wh2_mixu_wef_cha_highweaver_great_eagle
wh2_main_lore_high_magic	wh2_mixu_wef_cha_highweaver_unicorn
wh_main_lore_death	wh2_mixu_nor_cha_shaman_sorcerer_lord_death
wh_main_lore_death	wh2_mixu_nor_cha_shaman_sorcerer_lord_death_warhorse
wh_main_lore_death	wh2_mixu_nor_cha_shaman_sorcerer_lord_death_chariot
wh_main_lore_death	wh2_mixu_nor_cha_shaman_sorcerer_lord_death_manticore
wh_main_lore_death	wh2_mixu_nor_cha_shaman_sorcerer_lord_death_warshrine
wh_main_lore_fire	wh2_mixu_nor_cha_shaman_sorcerer_lord_fire
wh_main_lore_fire	wh2_mixu_nor_cha_shaman_sorcerer_lord_fire_warhorse
wh_main_lore_fire	wh2_mixu_nor_cha_shaman_sorcerer_lord_fire_chariot
wh_main_lore_fire	wh2_mixu_nor_cha_shaman_sorcerer_lord_fire_manticore
wh_main_lore_fire	wh2_mixu_nor_cha_shaman_sorcerer_lord_fire_warshrine
wh_main_lore_metal	wh2_mixu_nor_cha_shaman_sorcerer_lord_metal
wh_main_lore_metal	wh2_mixu_nor_cha_shaman_sorcerer_lord_metal_warhorse
wh_main_lore_metal	wh2_mixu_nor_cha_shaman_sorcerer_lord_metal_chariot
wh_main_lore_metal	wh2_mixu_nor_cha_shaman_sorcerer_lord_metal_manticore
wh_main_lore_metal	wh2_mixu_nor_cha_shaman_sorcerer_lord_metal_warshrine
wh_dlc05_lore_shadows	wh2_mixu_emp_cha_wizard_lord_shadow
wh_dlc05_lore_shadows	wh2_mixu_emp_cha_wizard_lord_shadow_barded_warhorse
wh_dlc05_lore_shadows	wh2_mixu_emp_cha_wizard_lord_shadow_pegasus
wh_dlc05_lore_shadows	wh2_mixu_emp_cha_wizard_lord_shadow_warhorse
wh_main_lore_heavens	wh2_mixu_emp_cha_wizard_lord_heavens
wh_main_lore_heavens	wh2_mixu_emp_cha_wizard_lord_heavens_warhorse
wh_main_lore_heavens	wh2_mixu_emp_cha_wizard_lord_heavens_pegasus
wh_main_lore_heavens	wh2_mixu_emp_cha_wizard_lord_heavens_barded_warhorse
