unit_variants_tables	5
faction	name	unit	variant	unit_card
	wh2_mixu_emp_cha_wizard_lord_beasts	wh2_mixu_emp_cha_wizard_lord_beasts	emp_wizard_lord_beasts_1	emp_wizard_lord_beasts_1
	wh2_mixu_emp_cha_wizard_lord_beasts	wh2_mixu_emp_cha_wizard_lord_beasts_warhorse	emp_wizard_lord_beasts_1	emp_wizard_lord_beasts_1
	wh2_mixu_emp_cha_wizard_lord_beasts	wh2_mixu_emp_cha_wizard_lord_beasts_barded_warhorse	emp_wizard_lord_beasts_1	emp_wizard_lord_beasts_1
	wh2_mixu_emp_cha_wizard_lord_beasts	wh2_mixu_emp_cha_wizard_lord_beasts_griffon	emp_wizard_lord_beasts_1	emp_wizard_lord_beasts_1
	wh2_mixu_emp_cha_wizard_lord_beasts	wh2_mixu_emp_cha_wizard_lord_beasts_pegasus	emp_wizard_lord_beasts_1	emp_wizard_lord_beasts_1
	wh2_mixu_emp_cha_wizard_lord_light	wh2_mixu_emp_cha_wizard_lord_light	emp_wizard_lord_light_1	emp_wizard_lord_light_1
	wh2_mixu_emp_cha_wizard_lord_light	wh2_mixu_emp_cha_wizard_lord_light_warhorse	emp_wizard_lord_light_1	emp_wizard_lord_light_1
	wh2_mixu_emp_cha_wizard_lord_light	wh2_mixu_emp_cha_wizard_lord_light_pegasus	emp_wizard_lord_light_1	emp_wizard_lord_light_1
	wh2_mixu_emp_cha_wizard_lord_light	wh2_mixu_emp_cha_wizard_lord_light_barded_warhorse	emp_wizard_lord_light_1	emp_wizard_lord_light_1
	wh2_mixu_emp_cha_wizard_lord_light	wh2_mixu_emp_cha_wizard_lord_light_luminark	emp_wizard_lord_light_1	emp_wizard_lord_light_1
	wh_main_emp_cha_wizard_fire	wh2_mixu_emp_cha_wizard_lord_fire	wh_emp_ch_wizard_fire	wh_main_emp_wizard_fire
	wh_main_emp_cha_wizard_fire	wh2_mixu_emp_cha_wizard_lord_fire_warhorse	wh_emp_ch_wizard_fire	wh_main_emp_wizard_fire
	wh_main_emp_cha_wizard_fire	wh2_mixu_emp_cha_wizard_lord_fire_pegasus	wh_emp_ch_wizard_fire	wh_main_emp_wizard_fire
	wh_main_emp_cha_wizard_fire	wh2_mixu_emp_cha_wizard_lord_fire_barded_warhorse	wh_emp_ch_wizard_fire	wh_main_emp_wizard_fire
	wh2_mixu_grn_cha_savage_orc_warboss	wh2_mixu_grn_cha_savage_orc_warboss	grn_savage_orc_warboss_1	grn_savage_orc_warboss_1
	wh2_mixu_grn_cha_savage_orc_warboss	wh2_mixu_grn_cha_savage_orc_warboss_wyvern	grn_savage_orc_warboss_1	grn_savage_orc_warboss_1
	wh2_mixu_grn_cha_savage_orc_warboss	wh2_mixu_grn_cha_savage_orc_warboss_boar	grn_savage_orc_warboss_1	grn_savage_orc_warboss_1
	wh2_mixu_grn_cha_savage_orc_shaman	wh2_mixu_grn_cha_savage_orc_shaman	grn_savage_orc_shaman_1	grn_savage_orc_shaman_1
	wh2_mixu_grn_cha_savage_orc_shaman	wh2_mixu_grn_cha_savage_orc_shaman_boar	grn_savage_orc_shaman_1	grn_savage_orc_shaman_1
	wh2_mixu_grn_cha_savage_orc_shaman	wh2_mixu_grn_cha_savage_orc_shaman_wyvern	grn_savage_orc_shaman_1	grn_savage_orc_shaman_1
	wh2_mixu_grn_cha_orc_great_shaman	wh2_mixu_grn_cha_orc_great_shaman	grn_orc_great_shaman_1	grn_orc_great_shaman_1
	wh2_mixu_grn_cha_orc_great_shaman	wh2_mixu_grn_cha_orc_great_shaman_boar	grn_orc_great_shaman_1	grn_orc_great_shaman_1
	wh2_mixu_grn_cha_orc_great_shaman	wh2_mixu_grn_cha_orc_great_shaman_wyvern	grn_orc_great_shaman_1	grn_orc_great_shaman_1
	wh2_mixu_dwf_cha_giant_slayer	wh2_mixu_dwf_cha_giant_slayer	dwf_giant_slayer_1	dwf_giant_slayer_1
	wh2_mixu_bst_cha_doombull	wh2_mixu_bst_cha_doombull	bst_doombull_1	bst_doombull_1
	wh2_mixu_bst_cha_doombull	wh2_mixu_bst_cha_doombull_shield	bst_doombull_1	bst_doombull_1
	wh2_mixu_bst_cha_doombull	wh2_mixu_bst_cha_doombull_dual_wield	bst_doombull_1	bst_doombull_1
	wh2_mixu_wef_cha_darkweaver	wh2_mixu_wef_cha_darkweaver	wef_darkweaver_1	wef_darkweaver_1
	wh2_mixu_wef_cha_darkweaver	wh2_mixu_wef_cha_darkweaver_elven_steed	wef_darkweaver_1	wef_darkweaver_1
	wh2_mixu_wef_cha_darkweaver	wh2_mixu_wef_cha_darkweaver_great_eagle	wef_darkweaver_1	wef_darkweaver_1
	wh2_mixu_wef_cha_darkweaver	wh2_mixu_wef_cha_darkweaver_unicorn	wef_darkweaver_1	wef_darkweaver_1
	wh2_mixu_wef_cha_highweaver	wh2_mixu_wef_cha_highweaver	wef_highweaver_1	wef_highweaver_1
	wh2_mixu_wef_cha_highweaver	wh2_mixu_wef_cha_highweaver_elven_steed	wef_highweaver_1	wef_highweaver_1
	wh2_mixu_wef_cha_highweaver	wh2_mixu_wef_cha_highweaver_great_eagle	wef_highweaver_1	wef_highweaver_1
	wh2_mixu_wef_cha_highweaver	wh2_mixu_wef_cha_highweaver_unicorn	wef_highweaver_1	wef_highweaver_1
	wh2_mixu_chs_cha_shaggoth_champion	wh2_mixu_chs_cha_shaggoth_champion	chs_shaggoth_champion_1	chs_shaggoth_champion_1
	wh2_mixu_nor_cha_fimir_warlord	wh2_mixu_nor_cha_fimir_warlord	nor_fimir_warlord_1	nor_fimir_warlord_1
	wh2_mixu_nor_cha_shaman_sorcerer_lord_death	wh2_mixu_nor_cha_shaman_sorcerer_lord_death	nor_shaman_sorcerer_lord_1	nor_shaman_sorcerer_lord_1
	wh2_mixu_nor_cha_shaman_sorcerer_lord_death	wh2_mixu_nor_cha_shaman_sorcerer_lord_death_warhorse	nor_shaman_sorcerer_lord_1	nor_shaman_sorcerer_lord_1
	wh2_mixu_nor_cha_shaman_sorcerer_lord_death	wh2_mixu_nor_cha_shaman_sorcerer_lord_death_chariot	nor_shaman_sorcerer_lord_1	nor_shaman_sorcerer_lord_1
	wh2_mixu_nor_cha_shaman_sorcerer_lord_death	wh2_mixu_nor_cha_shaman_sorcerer_lord_death_manticore	nor_shaman_sorcerer_lord_1	nor_shaman_sorcerer_lord_1
	wh2_mixu_nor_cha_shaman_sorcerer_lord_death	wh2_mixu_nor_cha_shaman_sorcerer_lord_death_warshrine	nor_shaman_sorcerer_lord_1	nor_shaman_sorcerer_lord_1
	wh2_mixu_nor_cha_shaman_sorcerer_lord_fire	wh2_mixu_nor_cha_shaman_sorcerer_lord_fire	nor_shaman_sorcerer_lord_2	nor_shaman_sorcerer_lord_2
	wh2_mixu_nor_cha_shaman_sorcerer_lord_fire	wh2_mixu_nor_cha_shaman_sorcerer_lord_fire_warhorse	nor_shaman_sorcerer_lord_2	nor_shaman_sorcerer_lord_2
	wh2_mixu_nor_cha_shaman_sorcerer_lord_fire	wh2_mixu_nor_cha_shaman_sorcerer_lord_fire_chariot	nor_shaman_sorcerer_lord_2	nor_shaman_sorcerer_lord_2
	wh2_mixu_nor_cha_shaman_sorcerer_lord_fire	wh2_mixu_nor_cha_shaman_sorcerer_lord_fire_manticore	nor_shaman_sorcerer_lord_2	nor_shaman_sorcerer_lord_2
	wh2_mixu_nor_cha_shaman_sorcerer_lord_fire	wh2_mixu_nor_cha_shaman_sorcerer_lord_fire_warshrine	nor_shaman_sorcerer_lord_2	nor_shaman_sorcerer_lord_2
	wh2_mixu_nor_cha_shaman_sorcerer_lord_metal	wh2_mixu_nor_cha_shaman_sorcerer_lord_metal	nor_shaman_sorcerer_lord_3	nor_shaman_sorcerer_lord_3
	wh2_mixu_nor_cha_shaman_sorcerer_lord_metal	wh2_mixu_nor_cha_shaman_sorcerer_lord_metal_warhorse	nor_shaman_sorcerer_lord_3	nor_shaman_sorcerer_lord_3
	wh2_mixu_nor_cha_shaman_sorcerer_lord_metal	wh2_mixu_nor_cha_shaman_sorcerer_lord_metal_chariot	nor_shaman_sorcerer_lord_3	nor_shaman_sorcerer_lord_3
	wh2_mixu_nor_cha_shaman_sorcerer_lord_metal	wh2_mixu_nor_cha_shaman_sorcerer_lord_metal_manticore	nor_shaman_sorcerer_lord_3	nor_shaman_sorcerer_lord_3
	wh2_mixu_nor_cha_shaman_sorcerer_lord_metal	wh2_mixu_nor_cha_shaman_sorcerer_lord_metal_warshrine	nor_shaman_sorcerer_lord_3	nor_shaman_sorcerer_lord_3
	wh2_mixu_emp_cha_wizard_lord_shadow	wh2_mixu_emp_cha_wizard_lord_shadow	emp_wizard_lord_shadow_1	emp_wizard_lord_shadow_1
	wh2_mixu_emp_cha_wizard_lord_shadow	wh2_mixu_emp_cha_wizard_lord_shadow_warhorse	emp_wizard_lord_shadow_1	emp_wizard_lord_shadow_1
	wh2_mixu_emp_cha_wizard_lord_shadow	wh2_mixu_emp_cha_wizard_lord_shadow_pegasus	emp_wizard_lord_shadow_1	emp_wizard_lord_shadow_1
	wh2_mixu_emp_cha_wizard_lord_shadow	wh2_mixu_emp_cha_wizard_lord_shadow_barded_warhorse	emp_wizard_lord_shadow_1	emp_wizard_lord_shadow_1
	wh2_mixu_emp_cha_wizard_lord_heavens	wh2_mixu_emp_cha_wizard_lord_heavens	emp_wizard_lord_heavens_1	emp_wizard_lord_heavens_1
	wh2_mixu_emp_cha_wizard_lord_heavens	wh2_mixu_emp_cha_wizard_lord_heavens_warhorse	emp_wizard_lord_heavens_1	emp_wizard_lord_heavens_1
	wh2_mixu_emp_cha_wizard_lord_heavens	wh2_mixu_emp_cha_wizard_lord_heavens_pegasus	emp_wizard_lord_heavens_1	emp_wizard_lord_heavens_1
	wh2_mixu_emp_cha_wizard_lord_heavens	wh2_mixu_emp_cha_wizard_lord_heavens_barded_warhorse	emp_wizard_lord_heavens_1	emp_wizard_lord_heavens_1
	wh2_mixu_emp_cha_wizard_lord_shadow_summoned	wh2_mixu_emp_cha_wizard_lord_shadow_summoned	emp_wizard_lord_shadow_1	emp_wizard_lord_shadow_1
	wh2_mixu_emp_cha_wizard_lord_shadow_summoned	wh2_mixu_emp_cha_wizard_lord_shadow_barded_warhorse_summoned	emp_wizard_lord_shadow_1	emp_wizard_lord_shadow_1
	wh2_mixu_wef_cha_shadowdancer_summoned	wh2_mixu_wef_cha_shadowdancer_summoned	wef_shadowdancer_1	wef_shadowdancer_1
