units_custom_battle_mounts_tables	1
wh2_mixu_emp_cha_wizard_lord_fire	ui/campaign ui/mounts/mount_imperial_pegasus.png	wh2_mixu_emp_cha_wizard_lord_fire_pegasus
wh2_mixu_emp_cha_wizard_lord_fire	ui/campaign ui/mounts/mount_barded_warhorse.png	wh2_mixu_emp_cha_wizard_lord_fire_barded_warhorse
wh2_mixu_grn_cha_savage_orc_warboss	ui/campaign ui/mounts/mount_wyvern.png	wh2_mixu_grn_cha_savage_orc_warboss_wyvern
wh2_mixu_grn_cha_savage_orc_warboss	ui/campaign ui/mounts/mount_war_boar.png	wh2_mixu_grn_cha_savage_orc_warboss_boar
wh2_mixu_grn_cha_savage_orc_shaman	ui/campaign ui/mounts/mount_war_boar.png	wh2_mixu_grn_cha_savage_orc_shaman_boar
wh2_mixu_grn_cha_savage_orc_shaman	ui/campaign ui/mounts/mount_wyvern.png	wh2_mixu_grn_cha_savage_orc_shaman_wyvern
wh2_mixu_grn_cha_orc_great_shaman	ui/campaign ui/mounts/mount_war_boar.png	wh2_mixu_grn_cha_orc_great_shaman_boar
wh2_mixu_grn_cha_orc_great_shaman	ui/campaign ui/mounts/mount_wyvern.png	wh2_mixu_grn_cha_orc_great_shaman_wyvern
wh2_mixu_bst_cha_doombull	ui/skins/default/equipment_items_enchanted.png	wh2_mixu_bst_cha_doombull_shield
wh2_mixu_bst_cha_doombull	ui/skins/default/equipment_items_weapon.png	wh2_mixu_bst_cha_doombull_dual_wield
wh2_mixu_wef_cha_darkweaver	ui/campaign ui/mounts/mount_warhorse.png	wh2_mixu_wef_cha_darkweaver_elven_steed
wh2_mixu_wef_cha_darkweaver	ui/campaign ui/mounts/mount_great_eagle.png	wh2_mixu_wef_cha_darkweaver_great_eagle
wh2_mixu_wef_cha_darkweaver	ui/campaign ui/mounts/mount_unicorn.png	wh2_mixu_wef_cha_darkweaver_unicorn
wh2_mixu_wef_cha_highweaver	ui/campaign ui/mounts/mount_warhorse.png	wh2_mixu_wef_cha_highweaver_elven_steed
wh2_mixu_wef_cha_highweaver	ui/campaign ui/mounts/mount_great_eagle.png	wh2_mixu_wef_cha_highweaver_great_eagle
wh2_mixu_wef_cha_highweaver	ui/campaign ui/mounts/mount_unicorn.png	wh2_mixu_wef_cha_highweaver_unicorn
wh2_mixu_nor_cha_shaman_sorcerer_lord_death	ui/campaign ui/mounts/mount_warhorse.png	wh2_mixu_nor_cha_shaman_sorcerer_lord_death_warhorse
wh2_mixu_nor_cha_shaman_sorcerer_lord_death	ui/campaign ui/mounts/mount_chaos_chariot.png	wh2_mixu_nor_cha_shaman_sorcerer_lord_death_chariot
wh2_mixu_nor_cha_shaman_sorcerer_lord_death	ui/campaign ui/mounts/mount_manticore.png	wh2_mixu_nor_cha_shaman_sorcerer_lord_death_manticore
wh2_mixu_nor_cha_shaman_sorcerer_lord_death	ui/campaign ui/mounts/mount_mammoth.png	wh2_mixu_nor_cha_shaman_sorcerer_lord_death_warshrine
wh2_mixu_nor_cha_shaman_sorcerer_lord_metal	ui/campaign ui/mounts/mount_warhorse.png	wh2_mixu_nor_cha_shaman_sorcerer_lord_metal_warhorse
wh2_mixu_nor_cha_shaman_sorcerer_lord_metal	ui/campaign ui/mounts/mount_chaos_chariot.png	wh2_mixu_nor_cha_shaman_sorcerer_lord_metal_chariot
wh2_mixu_nor_cha_shaman_sorcerer_lord_metal	ui/campaign ui/mounts/mount_manticore.png	wh2_mixu_nor_cha_shaman_sorcerer_lord_metal_manticore
wh2_mixu_nor_cha_shaman_sorcerer_lord_metal	ui/campaign ui/mounts/mount_mammoth.png	wh2_mixu_nor_cha_shaman_sorcerer_lord_metal_warshrine
wh2_mixu_nor_cha_shaman_sorcerer_lord_fire	ui/campaign ui/mounts/mount_warhorse.png	wh2_mixu_nor_cha_shaman_sorcerer_lord_fire_warhorse
wh2_mixu_nor_cha_shaman_sorcerer_lord_fire	ui/campaign ui/mounts/mount_chaos_chariot.png	wh2_mixu_nor_cha_shaman_sorcerer_lord_fire_chariot
wh2_mixu_nor_cha_shaman_sorcerer_lord_fire	ui/campaign ui/mounts/mount_manticore.png	wh2_mixu_nor_cha_shaman_sorcerer_lord_fire_manticore
wh2_mixu_nor_cha_shaman_sorcerer_lord_fire	ui/campaign ui/mounts/mount_mammoth.png	wh2_mixu_nor_cha_shaman_sorcerer_lord_fire_warshrine
wh2_mixu_emp_cha_wizard_lord_shadow	ui/campaign ui/mounts/mount_warhorse.png	wh2_mixu_emp_cha_wizard_lord_shadow_warhorse
wh2_mixu_emp_cha_wizard_lord_shadow	ui/campaign ui/mounts/mount_imperial_pegasus.png	wh2_mixu_emp_cha_wizard_lord_shadow_pegasus
wh2_mixu_emp_cha_wizard_lord_shadow	ui/campaign ui/mounts/mount_barded_warhorse.png	wh2_mixu_emp_cha_wizard_lord_shadow_barded_warhorse
wh2_mixu_emp_cha_wizard_lord_heavens	ui/campaign ui/mounts/mount_warhorse.png	wh2_mixu_emp_cha_wizard_lord_heavens_warhorse
wh2_mixu_emp_cha_wizard_lord_heavens	ui/campaign ui/mounts/mount_imperial_pegasus.png	wh2_mixu_emp_cha_wizard_lord_heavens_pegasus
wh2_mixu_emp_cha_wizard_lord_heavens	ui/campaign ui/mounts/mount_barded_warhorse.png	wh2_mixu_emp_cha_wizard_lord_heavens_barded_warhorse
