variants_tables	5
variant_name	tech_folder	variant_filename	low_poly_filename	mount_scale	scale	scale_variation
dwf_giant_slayer_2		dwf_giant_slayer_2		1	1.1	0
dwf_giant_slayer_3		dwf_giant_slayer_3		1	1.1	0
dwf_giant_slayer_4		dwf_giant_slayer_4		1	1.1	0
bst_doombull_1		bst_doombull_1		1	1.4	0
bst_doombull_2		bst_doombull_2		1	1.4	0
bst_doombull_3		bst_doombull_3		1	1.4	0
bst_doombull_shield_1		bst_doombull_shield_1		1	1.4	0
bst_doombull_shield_2		bst_doombull_shield_2		1	1.4	0
bst_doombull_shield_3		bst_doombull_shield_3		1	1.4	0
bst_doombull_dual_wield_1		bst_doombull_dual_wield_1		1	1.4	0
bst_doombull_dual_wield_2		bst_doombull_dual_wield_2		1	1.4	0
bst_doombull_dual_wield_3		bst_doombull_dual_wield_3		1	1.4	0
wef_darkweaver_1		wef_darkweaver_1		1	1.05	0
wef_darkweaver_2		wef_darkweaver_2		1	1.05	0
wef_darkweaver_3		wef_darkweaver_3		1	1.05	0
wef_highweaver_1		wef_highweaver_1		1	1.05	0
wef_highweaver_2		wef_highweaver_2		1	1.05	0
wef_highweaver_3		wef_highweaver_3		1	1.05	0
vmp_necrarch_1		vmp_necrarch_1		1	1.05	0
vmp_necrarch_2		vmp_necrarch_2		1	1.05	0
vmp_necrarch_3		vmp_necrarch_3		1	1.05	0
vmp_coven_throne_hexwraith		vmp_coven_throne_hexwraith		1	1	0
vmp_coven_throne_grave_guard		vmp_grave_guard_sword_coven		1	1	0
vmp_vampire_countess_1		vmp_vampire_countess_1		1	1.05	0
vmp_vampire_countess_2		vmp_vampire_countess_2		1	1.05	0
vmp_vampire_countess_3		vmp_vampire_countess_3		1	1.05	0
vmp_vampire_countess_4		vmp_vampire_countess_4		1	1.05	0
vmp_vampire_countess_5		vmp_vampire_countess_5		1	1.05	0
vmp_blood_knight_lord_mount	VariantMeshes\wh_variantmodels\hr1\emp\emp_warbeast_horse\tech	vmp_blood_knights_steed		1	1	0
vmp_blood_knight_lord_1		vmp_blood_knight_lord_1		1	1.05	0
vmp_blood_knight_lord_2		vmp_blood_knight_lord_2		1	1.05	0
vmp_blood_knight_lord_3		vmp_blood_knight_lord_3		1	1.05	0
vmp_blood_knight_lord_lance_1		vmp_blood_knight_lord_lance_1		1	1.05	0
vmp_blood_knight_lord_lance_2		vmp_blood_knight_lord_lance_2		1	1.05	0
vmp_blood_knight_lord_lance_3		vmp_blood_knight_lord_lance_3		1	1.05	0
chs_shaggoth_champion_1		chs_shaggoth_champion_1		1	1.85	0
chs_shaggoth_champion_2		chs_shaggoth_champion_2		1	1.85	0
chs_shaggoth_champion_3		chs_shaggoth_champion_3		1	1.85	0
nor_fimir_warlord_1		nor_fimir_warlord_1		1	1.05	0
nor_fimir_warlord_2		nor_fimir_warlord_2		1	1.05	0
nor_fimir_warlord_3		nor_fimir_warlord_3		1	1.05	0
nor_fimir_warlord_4		nor_fimir_warlord_4		1	1.05	0
nor_shaman_sorcerer_lord_1		nor_shaman_sorcerer_lord_1		1	1.15	0
nor_shaman_sorcerer_lord_2		nor_shaman_sorcerer_lord_2		1	1.15	0
nor_shaman_sorcerer_lord_3		nor_shaman_sorcerer_lord_3		1	1.15	0
emp_wizard_fire_lord_01		emp_wizard_fire_lord_01		1	1.05	0
emp_wizard_fire_lord_02		emp_wizard_fire_lord_02		1	1.05	0
emp_wizard_fire_lord_03		emp_wizard_fire_lord_03		1	1.05	0
emp_wizard_lord_shadow_1		emp_shadow_wizard_campaign_01		1	1.05	0
emp_wizard_lord_shadow_2		emp_shadow_wizard_campaign_02		1	1.05	0
emp_wizard_lord_heavens_1		emp_wizard_heavens		1	1.05	0
emp_wizard_lord_heavens_2		emp_wizard_heavens		1	1.05	0
