faction_agent_permitted_subtypes_tables	0
general	wh2_main_chs_chaos_incursion_hef	chs_sorcerer_lord_metal_rebel
general	wh2_main_chs_chaos_incursion_lzd	chs_lord_rebel
general	wh2_main_chs_chaos_incursion_lzd	chs_sorcerer_lord_death_rebel
general	wh2_main_chs_chaos_incursion_lzd	chs_sorcerer_lord_fire_rebel
general	wh2_main_chs_chaos_incursion_lzd	chs_sorcerer_lord_metal_rebel
general	wh2_main_chs_chaos_incursion_skv	chs_lord_rebel
general	wh2_main_chs_chaos_incursion_skv	chs_sorcerer_lord_death_rebel
general	wh2_main_chs_chaos_incursion_skv	chs_sorcerer_lord_fire_rebel
general	wh2_main_chs_chaos_incursion_skv	chs_sorcerer_lord_metal_rebel
general	wh2_main_def_dark_elves_intervention	wh2_dlc10_def_supreme_sorceress_beasts_rebel
general	wh2_main_def_dark_elves_intervention	wh2_dlc10_def_supreme_sorceress_dark_rebel
general	wh2_main_def_dark_elves_intervention	wh2_dlc10_def_supreme_sorceress_death_rebel
general	wh2_main_def_dark_elves_intervention	wh2_dlc10_def_supreme_sorceress_fire_rebel
general	wh2_main_def_dark_elves_intervention	wh2_dlc10_def_supreme_sorceress_shadow_rebel
general	wh2_main_def_dark_elves_intervention	wh2_main_def_black_ark_rebel
general	wh2_main_def_dark_elves_intervention	wh2_main_def_dreadlord_rebel
general	wh2_main_def_dark_elves_intervention	wh2_main_def_dreadlord_fem_rebel
general	wh2_main_def_dark_elves_rebels	wh2_dlc10_def_supreme_sorceress_beasts_rebel
general	wh2_main_def_dark_elves_rebels	wh2_dlc10_def_supreme_sorceress_dark_rebel
general	wh2_main_def_dark_elves_rebels	wh2_dlc10_def_supreme_sorceress_death_rebel
general	wh2_main_def_dark_elves_rebels	wh2_dlc10_def_supreme_sorceress_fire_rebel
general	wh2_main_def_dark_elves_rebels	wh2_dlc10_def_supreme_sorceress_shadow_rebel
general	wh2_main_def_dark_elves_rebels	wh2_main_def_black_ark_rebel
general	wh2_main_def_dark_elves_rebels	wh2_main_def_dreadlord_rebel
general	wh2_main_def_dark_elves_rebels	wh2_main_def_dreadlord_fem_rebel
general	wh2_main_grn_arachnos_waaagh	dlc06_grn_night_goblin_warboss_rebel
general	wh2_main_grn_arachnos_waaagh	grn_goblin_great_shaman_rebel
general	wh2_main_grn_arachnos_waaagh	grn_orc_warboss_rebel
general	wh2_main_grn_blue_vipers_waaagh	dlc06_grn_night_goblin_warboss_rebel
general	wh2_main_grn_blue_vipers_waaagh	grn_orc_warboss_rebel
general	wh2_main_hef_high_elves_intervention	wh2_main_hef_prince_rebel
general	wh2_main_hef_high_elves_intervention	wh2_main_hef_princess_rebel
general	wh2_main_hef_high_elves_rebels	wh2_main_hef_prince_rebel
general	wh2_main_hef_high_elves_rebels	wh2_main_hef_princess_rebel
general	wh2_main_lzd_lizardmen_intervention	wh2_main_lzd_saurus_old_blood_rebel
general	wh2_main_lzd_lizardmen_intervention	wh2_main_lzd_slann_mage_priest_rebel
general	wh2_main_lzd_lizardmen_rebels	wh2_main_lzd_saurus_old_blood_rebel
general	wh2_main_lzd_lizardmen_rebels	wh2_main_lzd_slann_mage_priest_rebel
general	wh2_main_nor_hung_incursion_def	nor_marauder_chieftain_rebel
general	wh2_main_nor_hung_incursion_hef	nor_marauder_chieftain_rebel
general	wh2_main_nor_hung_incursion_lzd	nor_marauder_chieftain_rebel
general	wh2_main_nor_hung_incursion_skv	nor_marauder_chieftain_rebel
general	wh2_main_skv_skaven_intervention	wh2_main_skv_grey_seer_plague_rebel
general	wh2_main_skv_skaven_intervention	wh2_main_skv_grey_seer_ruin_rebel
general	wh2_main_skv_skaven_intervention	wh2_main_skv_warlord_rebel
general	wh2_main_skv_skaven_rebels	wh2_main_skv_grey_seer_plague_rebel
general	wh2_main_skv_skaven_rebels	wh2_main_skv_grey_seer_ruin_rebel
general	wh2_main_skv_skaven_rebels	wh2_main_skv_warlord_rebel
general	wh_dlc03_bst_beastmen_brayherd	dlc03_bst_beastlord_rebel
general	wh_dlc03_bst_beastmen_chaos_brayherd	dlc03_bst_beastlord_rebel
general	wh_dlc03_bst_beastmen_chaos	dlc03_bst_beastlord_rebel
general	wh_dlc03_bst_beastmen_rebels	dlc03_bst_beastlord_rebel
general	wh_dlc03_bst_jagged_horn_brayherd	dlc03_bst_beastlord_rebel
general	wh_dlc03_bst_redhorn_brayherd	dlc03_bst_beastlord_rebel
general	wh_dlc05_wef_wood_elves_rebels	dlc05_wef_ancient_treeman_rebel
general	wh_dlc05_wef_wood_elves_rebels	dlc05_wef_glade_lord_rebel
general	wh_dlc05_wef_wood_elves_rebels	dlc05_wef_glade_lord_fem_rebel
general	wh_main_brt_bretonnia_rebels	brt_lord_rebel
general	wh_main_brt_bretonnia_rebels	dlc07_brt_prophetess_beasts_rebel
general	wh_main_brt_bretonnia_rebels	dlc07_brt_prophetess_heavens_rebel
general	wh_main_brt_bretonnia_rebels	dlc07_brt_prophetess_life_rebel
general	wh_main_chs_chaos_rebels	chs_lord_rebel
general	wh_main_chs_chaos_rebels	chs_sorcerer_lord_death_rebel
general	wh_main_chs_chaos_rebels	chs_sorcerer_lord_fire_rebel
general	wh_main_chs_chaos_rebels	chs_sorcerer_lord_metal_rebel
general	wh_main_chs_chaos_rebels	dlc07_chs_sorcerer_lord_shadow_rebel
general	wh_main_dwf_dwarf_rebels	dlc06_dwf_runelord_rebel
general	wh_main_dwf_dwarf_rebels	dwf_lord_rebel
general	wh_main_emp_empire_rebels	dlc04_emp_arch_lector_rebel
general	wh_main_emp_empire_rebels	emp_lord_rebel
general	wh_main_emp_marienburg_rebels	dlc04_emp_arch_lector_rebel
general	wh_main_emp_marienburg_rebels	emp_lord_rebel
general	wh_main_grn_black_venom_waaagh	dlc06_grn_night_goblin_warboss_rebel
general	wh_main_grn_black_venom_waaagh	grn_orc_warboss_rebel
general	wh_main_grn_bloody_spearz_waaagh	dlc06_grn_night_goblin_warboss_rebel
general	wh_main_grn_bloody_spearz_waaagh	grn_orc_warboss_rebel
general	wh_main_grn_broken_nose_waaagh	dlc06_grn_night_goblin_warboss_rebel
general	wh_main_grn_broken_nose_waaagh	grn_orc_warboss_rebel
general	wh_main_grn_crooked_moon_waaagh	dlc06_grn_night_goblin_warboss_rebel
general	wh_main_grn_crooked_moon_waaagh	grn_orc_warboss_rebel
general	wh_main_grn_greenskins_rebels_waaagh	dlc06_grn_night_goblin_warboss_rebel
general	wh_main_grn_greenskins_rebels_waaagh	grn_orc_warboss_rebel
general	wh_main_grn_greenskins_rebels	dlc06_grn_night_goblin_warboss_rebel
general	wh_main_grn_greenskins_rebels	grn_goblin_great_shaman_rebel
general	wh_main_grn_greenskins_rebels	grn_orc_warboss_rebel
general	wh_main_grn_greenskins_waaagh	dlc06_grn_night_goblin_warboss_rebel
general	wh_main_grn_greenskins_waaagh	grn_orc_warboss_rebel
general	wh_main_grn_necksnappers_waaagh	dlc06_grn_night_goblin_warboss_rebel
general	wh_main_grn_necksnappers_waaagh	grn_orc_warboss_rebel
general	wh_main_grn_orcs_of_the_bloody_hand_waaagh	dlc06_grn_night_goblin_warboss_rebel
general	wh_main_grn_orcs_of_the_bloody_hand_waaagh	grn_orc_warboss_rebel
general	wh_main_grn_red_eye_waaagh	dlc06_grn_night_goblin_warboss_rebel
general	wh_main_grn_red_eye_waaagh	grn_orc_warboss_rebel
general	wh_main_grn_red_fangs_waaagh	dlc06_grn_night_goblin_warboss_rebel
general	wh_main_grn_red_fangs_waaagh	grn_orc_warboss_rebel
general	wh_main_grn_scabby_eye_waaagh	dlc06_grn_night_goblin_warboss_rebel
general	wh_main_grn_scabby_eye_waaagh	grn_orc_warboss_rebel
general	wh_main_grn_skull-takerz_waaagh	dlc06_grn_night_goblin_warboss_rebel
general	wh_main_grn_skull-takerz_waaagh	grn_orc_warboss_rebel
general	wh_main_grn_skullsmasherz_waaagh	dlc06_grn_night_goblin_warboss_rebel
general	wh_main_grn_skullsmasherz_waaagh	grn_orc_warboss_rebel
general	wh_main_grn_teef_snatchaz_waaagh	dlc06_grn_night_goblin_warboss_rebel
general	wh_main_grn_teef_snatchaz_waaagh	grn_orc_warboss_rebel
general	wh_main_grn_top_knotz_waaagh	dlc06_grn_night_goblin_warboss_rebel
general	wh_main_grn_top_knotz_waaagh	grn_orc_warboss_rebel
general	wh_main_ksl_kislev_rebels	ksl_lord_rebel
general	wh_main_nor_norsca_rebels	nor_marauder_chieftain_rebel
general	wh_main_teb_border_princes_rebels	teb_lord_rebel
general	wh_main_teb_estalia_rebels	teb_lord_rebel
general	wh_main_teb_tilea_rebels	teb_lord_rebel
general	wh_main_vmp_vampire_rebels	dlc04_vmp_strigoi_ghoul_king_rebel
general	wh_main_vmp_vampire_rebels	vmp_lord_rebel
general	wh_main_vmp_vampire_rebels	vmp_master_necromancer_rebel
general	wh_main_vmp_vampire_rebels	wh2_dlc11_vmp_bloodline_blood_dragon_rebel
general	wh_main_vmp_vampire_rebels	wh2_dlc11_vmp_bloodline_lahmian_rebel
general	wh_main_vmp_vampire_rebels	wh2_dlc11_vmp_bloodline_necrarch_rebel
general	wh_main_vmp_vampire_rebels	wh2_dlc11_vmp_bloodline_strigoi_rebel
general	wh_main_vmp_vampire_rebels	wh2_dlc11_vmp_bloodline_von_carstein_rebel
