agent_subtypes_tables	15
key	auto_generate	is_caster	small_icon	associated_unit_override	audio_voiceover_actor_group	show_in_ui	cap	has_female_name	can_gain_xp	loyalty_is_applicable
wh2_dlc10_def_supreme_sorceress_death_rebel	true	true	ui/campaign ui/agents/wh_main_lore_death.png	wh2_dlc10_def_cha_supreme_sorceress_death_0	wh2_dlc10_vo_actor_Dark_Elves_Supreme_Sorceress	true	-1	true	true	true
wh2_dlc10_def_supreme_sorceress_fire_rebel	true	true	ui/campaign ui/agents/wh_main_lore_fire.png	wh2_dlc10_def_cha_supreme_sorceress_fire_0	wh2_dlc10_vo_actor_Dark_Elves_Supreme_Sorceress	true	-1	true	true	true
wh2_dlc10_def_supreme_sorceress_shadow_rebel	true	true	ui/campaign ui/agents/wh_dlc05_lore_shadow.png	wh2_dlc10_def_cha_supreme_sorceress_shadow_0	wh2_dlc10_vo_actor_Dark_Elves_Supreme_Sorceress	true	-1	true	true	true
wh2_main_def_black_ark_rebel	false	false	ui/campaign ui/agents/wh2_main_def_black_ark.png	wh2_main_def_cha_dreadlord_0_black_ark	wh2_main_vo_actor_Dark_Elves_Dreadlord	true	-1	false	false	false
wh2_main_def_dreadlord_rebel	true	false		wh2_main_def_cha_dreadlord_0	wh2_main_vo_actor_Dark_Elves_Dreadlord	true	-1	false	true	true
wh2_main_def_dreadlord_fem_rebel	true	false		wh2_main_def_cha_dreadlord_female_0	wh2_main_vo_actor_Dark_Elves_DreadlordFemale	true	-1	true	true	true
dlc06_grn_night_goblin_warboss_rebel	true	false		wh_dlc06_grn_cha_night_goblin_warboss_0	wh_dlc06_vo_actor_Goblin_Night_Goblin_Warboss	true	-1	false	true	true
grn_goblin_great_shaman_rebel	true	true		wh_main_grn_cha_goblin_great_shaman_0	wh_main_vo_actor_Goblin_GreatShaman	true	-1	false	true	true
grn_orc_warboss_rebel	true	false		wh_main_grn_cha_orc_warboss_0	wh_main_vo_actor_Orc_Warboss	true	-1	false	true	true
wh2_main_hef_prince_rebel	true	false		wh2_main_hef_cha_prince_0	wh2_main_vo_actor_High_Elves_Prince	true	-1	false	true	true
wh2_main_hef_princess_rebel	true	false		wh2_main_hef_cha_princess_0	wh2_main_vo_actor_High_Elves_Princess	true	-1	true	true	true
wh2_main_lzd_saurus_old_blood_rebel	true	false		wh2_main_lzd_cha_saurus_old_blood_0	wh2_main_vo_actor_Lizardmen_Saurus_Old_Blood_Lord	true	-1	false	true	true
wh2_main_lzd_slann_mage_priest_rebel	false	true	ui/campaign ui/agents/wh2_main_lzd_slann_mage_priest.png	wh2_main_lzd_cha_slann_mage_priest_campaign_0	wh2_main_vo_actor_Lizardmen_Slann_Mage_Priest	true	0	true	true	true
nor_marauder_chieftain_rebel	true	false		wh_main_nor_cha_marauder_chieftan_0	wh_dlc08_vo_actor_Norsca_Marauder_Chieftan	true	-1	false	true	true
wh2_main_skv_grey_seer_plague_rebel	true	true		wh2_main_skv_cha_grey_seer_plague_0	wh2_main_vo_actor_Skaven_Grey_Seer	true	-1	false	true	true
wh2_main_skv_grey_seer_ruin_rebel	true	true		wh2_main_skv_cha_grey_seer_ruin_0	wh2_main_vo_actor_Skaven_Grey_Seer	true	-1	false	true	true
wh2_main_skv_warlord_rebel	true	false		wh2_main_skv_cha_warlord_0	wh2_main_vo_actor_Skaven_Warlord	true	-1	false	true	true
dlc05_wef_ancient_treeman_rebel	true	true		wh_dlc05_wef_cha_ancient_treeman_0	wh_dlc05_vo_actor_Wood_Elves_Tree_Ancient	true	-1	false	true	true
dlc05_wef_glade_lord_rebel	true	false		wh_dlc05_wef_cha_glade_lord_0	wh_dlc05_vo_actor_Wood_Elves_Male_Glade_Lord	true	-1	false	true	true
dlc05_wef_glade_lord_fem_rebel	true	false		wh_dlc05_wef_cha_female_glade_lord_0	wh_dlc05_vo_actor_Wood_Elves_Female_Glade_Lord	true	-1	false	true	true
brt_lord_rebel	true	false		wh_main_brt_cha_lord_0	wh_main_vo_actor_Bretonnian_Lord	true	-1	false	true	true
dlc07_brt_prophetess_beasts_rebel	true	true	ui/campaign ui/agents/wh_dlc03_lore_beasts.png	wh_dlc07_brt_cha_prophetess_beasts_0	wh_dlc07_vo_actor_Bretonnian_Prophetess	true	-1	true	true	true
dlc07_brt_prophetess_heavens_rebel	true	true	ui/campaign ui/agents/wh_main_lore_heavens.png	wh_dlc07_brt_cha_prophetess_heavens_0	wh_dlc07_vo_actor_Bretonnian_Prophetess	true	-1	true	true	true
dlc07_brt_prophetess_life_rebel	true	true	ui/campaign ui/agents/wh_dlc05_lore_life.png	wh_dlc07_brt_cha_prophetess_0	wh_dlc07_vo_actor_Bretonnian_Prophetess	true	-1	true	true	true
dlc07_chs_sorcerer_lord_shadow_rebel	true	true	ui/campaign ui/agents/wh_dlc05_lore_shadow.png	wh_dlc01_chs_cha_chaos_sorcerer_lord_shadows_0	wh_dlc01_vo_actor_Chaos_SorcererLord	true	-1	false	true	true
dlc06_dwf_runelord_rebel	true	false		wh_dlc06_dwf_cha_runelord_0	wh_dlc06_vo_actor_Dwarf_Rune_Lord	true	-1	false	true	true
dwf_lord_rebel	true	false		wh_main_dwf_cha_lord_0	wh_main_vo_actor_Dwarf_Lord	true	-1	false	true	true
dlc04_emp_arch_lector_rebel	true	false		wh_dlc04_emp_cha_arch_lector_0	wh_dlc04_vo_actor_Empire_Arch_Lector	true	-1	false	true	true
emp_lord_rebel	true	false		wh_main_emp_cha_general_0	wh_main_vo_actor_Empire_General	true	-1	false	true	true
ksl_lord_rebel	true	false		wh_main_emp_cha_general_0	wh_main_vo_actor_Empire_General	true	-1	false	true	true
teb_lord_rebel	true	false		wh_main_emp_cha_general_0	wh_main_vo_actor_Empire_General	true	-1	false	true	true
dlc04_vmp_strigoi_ghoul_king_rebel	true	true		wh_dlc04_vmp_cha_strigoi_ghoul_king_0	wh_dlc04_vo_actor_Vampire_dlc04_Strigoi_Ghoul_King	true	-1	false	true	true
vmp_lord_rebel	true	true		wh_main_vmp_cha_vampire_lord_0	wh_main_vo_actor_Vampire_Lord	true	-1	false	true	true
vmp_master_necromancer_rebel	true	true		wh_main_vmp_cha_master_necromancer_0	wh_main_vo_actor_Vampire_MasterNecromancer	true	-1	false	true	true
wh2_dlc11_vmp_bloodline_blood_dragon_rebel	false	true		wh2_dlc11_vmp_cha_bloodline_blood_dragon_lord_0	wh_main_vo_actor_Vampire_Lord	true	-1	false	true	true
wh2_dlc11_vmp_bloodline_lahmian_rebel	false	true		wh2_dlc11_vmp_cha_bloodline_lahmian_lord_0	wh_main_vo_actor_Vampire_FemaleVamp	true	-1	true	true	true
wh2_dlc11_vmp_bloodline_necrarch_rebel	false	true		wh2_dlc11_vmp_cha_bloodline_necrarch_lord_0	wh_main_vo_actor_Vampire_MasterNecromancer	true	-1	false	true	true
wh2_dlc11_vmp_bloodline_strigoi_rebel	false	true		wh2_dlc11_vmp_cha_bloodline_strigoi_lord_0	wh_dlc04_vo_actor_Vampire_dlc04_Strigoi_Ghoul_King	true	-1	false	true	true
wh2_dlc11_vmp_bloodline_von_carstein_rebel	false	true		wh2_dlc11_vmp_cha_bloodline_von_carstein_lord_0	wh_main_vo_actor_Vampire_Lord	true	-1	false	true	true
