audio_explosions_tables	6
event	key	max_attenuation	obstruction_size	use_reverb	group_sound	only_trigger_once_per_volley	sphere_of_influence
Battle_Individual_Projectile_Explosive_Fart_Explosion_Start	wh_explosive_fart	600	0	true		false	
	wh_fireball	85	0	false		false	
Battle_Individual_Projectile_Bomb_Explosion	wh_generic_large	600	0	true		false	large_explosion_short
Battle_Individual_Projectile_Grenade_Explosion	wh_generic_small	600	0	true		false	large_explosion_short
Battle_Individual_Projectile_Grenade_Explosion	wh_grenade	600	0	true		false	large_explosion_short
Battle_Individual_Projectile_Mortar_Explosion	wh_large_rock	600	0	true		false	large_explosion_short
Battle_IND_Magic_Ability_Lord_of_the_Storm_Impacts	wh_lord_of_the_storm	700	0	true		false	
Battle_IND_Magic_Dark_Doombolt_Impact	wh_main_spell_dark_magic_doombolt	500	0	true		false	large_explosion_long
Battle_Individual_Magic_Fireball_Impact	wh_main_spell_fire_fireball	500	0	true		false	large_explosion_long
Battle_IND_Magic_Ruin_Warp_Lightning_Impact	wh_main_spell_ruin_warp_lightning	500	0	true		false	large_explosion_long
	wh_main_spell_vampires_gaze_of_nagash	100	0	false	wh_grp_spell_vampires_gaze_of_nagash_impact	false	large_explosion_long
Battle_Individual_Projectile_Mortar_Explosion	wh_mortar	600	0	true		false	large_explosion_short
Battle_Individual_Projectile_Rocket_Explosion	wh_rocket	600	0	true		false	large_explosion_long
Battle_Individual_Projectile_Soul_Explosion	wh_soul	400	0	true		false	large_explosion_long
	wh_troll_hammer	100	0	false		false	
Battle_IND_Magic_Heavens_Urannons_Thunderbolt_Impact	wh_urannons_thunderbolt	700	0	true		false	large_explosion_long
