land_units_officers_tables	4
key	officer_1	officer_2	standard_bearer_1	standard_bearer_2	musician_1	musician_2	personality_location	additional_personalities
wh_dlc01_chs_cha_chaos_sorcerer_lord_fire_9	wh_dlc01_chs_cha_chaos_sorcerer_lord_fire_9						front	
wh_dlc01_chs_cha_chaos_sorcerer_lord_metal_10	wh_dlc01_chs_cha_chaos_sorcerer_lord_metal_10						front	
wh_dlc01_chs_cha_chaos_sorcerer_lord_metal_9	wh_dlc01_chs_cha_chaos_sorcerer_lord_metal_9						front	
wh_dlc01_chs_cha_chaos_sorcerer_lord_shadows_3	wh_dlc01_chs_cha_chaos_sorcerer_lord_shadows_3						front	
wh_dlc01_chs_cha_chaos_sorcerer_lord_shadows_4	wh_dlc01_chs_cha_chaos_sorcerer_lord_shadows_4						front	
wh_dlc01_chs_cha_chaos_sorcerer_shadows_3	wh_dlc01_chs_cha_chaos_sorcerer_shadows_3						front	
wh_dlc01_chs_cha_exalted_hero_10	wh_dlc01_chs_cha_exalted_hero_10						front	
wh_dlc03_bst_razorgor_chariot_officer							front	wh_dlc03_bst_razorgor_chariot_riders
wh_dlc03_bst_razorgor_khazrak_chariot_officer							front	wh_dlc03_bst_razorgor_khazrak_chariot_riders
wh_dlc03_bst_razorgor_lord_chariot_officer							front	wh_dlc03_bst_razorgor_lord_chariot_riders
wh_dlc03_bst_razorgor_shaman_chariot_officer							front	wh_dlc03_bst_razorgor_shaman_chariot_riders
wh_dlc03_emp_cha_boris_todbringer_3	wh_dlc03_emp_cha_boris_todbringer_3						front	
wh_dlc03_emp_cha_wizard_beasts_3	wh_dlc03_emp_cha_wizard_beasts_3						front	
wh_dlc04_emp_war_altar_officer							front	wh_dlc04_emp_war_altar_riders
wh_dlc04_vmp_cha_strigoi_ghoul_king_1	wh_dlc04_vmp_cha_strigoi_ghoul_king_1						front	
wh_dlc04_vmp_corpse_cart_officer							front	wh_dlc04_vmp_corpse_cart_riders
wh_dlc04_vmp_corpse_cart_officer_helman							front	wh_dlc04_vmp_corpse_cart_riders_helman
wh_dlc04_vmp_corpse_cart_officer_master_necromancer							front	wh_dlc04_vmp_corpse_cart_riders_master_necromancer
wh_dlc04_vmp_corpse_cart_officer_necromancer							front	wh_dlc04_vmp_corpse_cart_riders_necromancer
wh_dlc04_vmp_veh_claw_of_nagash_officer							front	wh_dlc04_vmp_claw_of_nagash_riders
wh_dlc04_vmp_veh_mortis_engine_officer							front	wh_dlc04_vmp_mortis_engine_riders
wh_dlc05_brt_cha_armand_aquitaine_3	wh_dlc05_brt_cha_armand_aquitaine_3						front	
wh_dlc05_grn_cha_snorko_one_finger_1	wh_dlc05_grn_cha_snorko_one_finger_1						front	
wh_dlc05_vmp_cha_red_duke_3	wh_dlc05_vmp_cha_red_duke_3						front	
wh_dlc05_wef_cha_spellsinger_beasts_2	wh_dlc05_wef_cha_spellsinger_beasts_2						front	
wh_dlc05_wef_cha_spellsinger_life_2	wh_dlc05_wef_cha_spellsinger_life_2						front	
wh_dlc05_wef_cha_spellsinger_shadows_2	wh_dlc05_wef_cha_spellsinger_shadows_2						front	
wh_dlc05_wef_female_glade_lord_dragon_officer	wh_dlc05_wef_female_glade_lord_dragon_rider1						front	
wh_dlc05_wef_female_glade_lord_eagle_officer	wh_dlc05_wef_female_glade_lord_eagle_rider1						front	
wh_dlc05_wef_female_glade_lord_elven_steed_officer	wh_dlc05_wef_female_glade_lord_elven_steed_rider1						front	
wh_dlc05_wef_glade_lord_dragon_officer	wh_dlc05_wef_glade_lord_dragon_rider1						front	
wh_dlc05_wef_glade_lord_eagle_officer	wh_dlc05_wef_glade_lord_eagle_rider1						front	
wh_dlc05_wef_glade_lord_elven_steed_officer	wh_dlc05_wef_glade_lord_elven_steed_rider1						front	
wh_dlc06_chs_cha_chaos_sorcerer_death_9	wh_dlc06_chs_cha_chaos_sorcerer_death_9						front	
wh_dlc06_chs_cha_chaos_sorcerer_fire_9	wh_dlc06_chs_cha_chaos_sorcerer_fire_9						front	
wh_dlc06_chs_cha_chaos_sorcerer_metal_9	wh_dlc06_chs_cha_chaos_sorcerer_metal_9						front	
wh_dlc06_grn_wolf_chariot_robbers_officer							front	wh_dlc06_grn_wolf_chariot_robbers_riders
wh_dlc07_brt_cha_alberic_bordeleaux_3	wh_dlc07_brt_cha_alberic_bordeleaux_3						front	
wh_dlc08_nor_cha_kihar_0	wh_dlc08_nor_cha_kihar_0						front	
wh_dlc08_nor_chariot_chieftain_officer							front	wh_dlc08_nor_chieftain_marauder_chariot_riders
wh_dlc08_nor_chariot_shaman_officer							front	wh_dlc08_nor_shaman_marauder_chariot_riders
wh_dlc08_nor_chariot_wolf_officer							front	wh_dlc08_nor_chariot_war_wolf_riders
wh_dlc08_nor_chariot_wulfrik_officer							front	wh_dlc08_nor_wulfrik_marauder_chariot_riders
wh_dlc08_nor_mammoth_chieftan_officer	wh_dlc08_nor_mammoth_chieftan						front	
wh_dlc08_nor_mammoth_howdah_officer							front	wh_dlc08_mammoth_howdah_riders
wh_dlc08_nor_mammoth_warshrine_officer							front	wh_dlc08_mammoth_warshrine_riders
wh_dlc08_nor_mammoth_wulfrik_officer	wh_dlc08_nor_mammoth_wulfrik_rider0						front	
wh_main_brt_artillery_commander	wh_main_brt_artillery_commander						front	
wh_main_brt_beaguis_king_louen_leoncoeur	wh_main_brt_king_louen_leoncoeur_rider1						front	
wh_main_brt_cha_king_louen_leoncoeur_1	wh_main_brt_cha_king_louen_leoncoeur_1						front	
wh_main_brt_cha_king_louen_leoncoeur_4	wh_main_brt_cha_king_louen_leoncoeur_4						front	
wh_main_brt_cha_lord_2	wh_main_brt_cha_lord_2						front	
wh_main_brt_hippogryph_lords	wh_main_brt_lords_rider1						front	
wh_main_chs_cha_archaon_1	wh_main_chs_cha_archaon_1						front	
wh_main_chs_chariot_gorebeast_officer							front	wh_main_chs_chariot_gorebeast_riders
wh_main_chs_chariot_horse_officer							front	wh_main_chs_chariot_horse_riders
wh_main_chs_dwarf_artillery_commander	wh_main_chs_dwarf_artillery_commander						front	
wh_main_dwf_artillery_commander	wh_main_dwf_artillery_commander						front	
wh_main_dwf_master_engineer_officer	wh_main_dwf_master_engineer_officer						front	
wh_main_dwf_thorgrim	wh_main_dwf_thorgrim						front	
wh_main_emp_artillery_commander	wh_main_emp_artillery_commander						front	
wh_main_emp_cha_general_3	wh_main_emp_cha_general_3						front	
wh_main_emp_cha_karl_franz_1	wh_main_emp_cha_karl_franz_1						front	
wh_main_emp_deathclaw_karl_franz	wh_main_emp_karl_franz_rider1						front	
wh_main_emp_luminark_officer							front	wh_main_emp_lumninark_riders
wh_main_emp_steam_tank_turret							front	wh_main_emp_steamtank_turret
wh_main_grn_boar_chariot_officer							front	wh_main_grn_boar_chariot_riders
wh_main_grn_cha_azhag_the_slaughterer_1	wh_main_grn_cha_azhag_the_slaughterer_1						front	
wh_main_grn_cha_grimgor_ironhide_officer	wh_main_grn_cha_grimgor_ironhide_officer						front	
wh_main_grn_cha_orc_warboss_1	wh_main_grn_cha_orc_warboss_1						front	
wh_main_grn_goblin_artillery_commander	wh_main_grn_goblin_artillery_commander						front	
wh_main_grn_mon_arachnorok_spider_goblin_riders							front	grn_mon_arachnarok_spider_goblin_riders
wh_main_grn_skullmuncha_azhag_the_slaughterer	wh_main_grn_azhag_the_slaughterer_rider1						front	
wh_main_grn_wolf_chariot_officer							front	wh_main_grn_wolf_chariot_riders
wh_main_nor_chariot_horse_officer							front	wh_main_nor_chariot_horse_riders
wh_main_vmp_black_coach_officer							front	wh_main_vmp_black_coach_riders
wh_main_vmp_cha_mannfred_von_carstein_3	wh_main_vmp_cha_mannfred_von_carstein_3						front	
wh_main_vmp_cha_vampire_lord_3	wh_main_vmp_cha_vampire_lord_3						front	
