cdir_events_payloads_tables	0
wh2_dlc11_payload_morale_versus_vampire_coast	wh2_dlc11_payload_effect_morale_increase_fighting_coast
wh2_dlc11_payload_morale_versus_norsca	wh2_dlc11_payload_effect_morale_increase_fighting_norsca
wh2_dlc11_payload_improved_agent_cst_fleet_captain	wh2_dlc11_payload_improved_agent_cst_fleet_captain
wh2_dlc11_payload_improved_agent_cst_gunnery_wight	wh2_dlc11_payload_improved_agent_cst_gunnery_wight
wh2_dlc11_payload_improved_agent_cst_mourngul_haunter	wh2_dlc11_payload_improved_agent_cst_mourngul_haunter
wh2_dlc11_payload_incident_armoury_acquisition	wh2_dlc11_payload_incident_armoury_acquisition
wh2_dlc11_payload_incident_dissenting_voices	wh2_dlc11_payload_incident_dissenting_voices
wh2_dlc11_payload_incident_favourable_winds	wh2_dlc11_payload_incident_favourable_winds
wh2_dlc11_payload_incident_incompetent_escorts	wh2_dlc11_payload_incident_incompetent_escorts
wh2_dlc11_payload_incident_mass_exodus	wh2_dlc11_payload_incident_mass_exodus
wh2_dlc11_payload_incident_overflowing_with_power	wh2_dlc11_payload_incident_overflowing_with_power
wh2_dlc11_payload_incident_perfect_cover	wh2_dlc11_payload_incident_perfect_cover
wh2_dlc11_payload_incident_rotten_weather	wh2_dlc11_payload_incident_rotten_weather
wh2_dlc11_payload_incident_shallow_graves	wh2_dlc11_payload_incident_shallow_graves
wh2_dlc11_payload_incident_stolen_schematics	wh2_dlc11_payload_incident_stolen_schematics
wh2_dlc11_payload_incident_strength_from_shyish	wh2_dlc11_payload_incident_strength_from_shyish
wh2_dlc11_payload_incident_unnatural_talent	wh2_dlc11_payload_incident_unnatural_talent
wh2_dlc11_ror_reward_8	wh2_dlc11_payload_ror_reward_8
wh2_dlc11_bundle_sea_shanty_verse_1	wh2_dlc11_payload_sea_shanty_verse_1
wh2_dlc11_bundle_sea_shanty_verse_2	wh2_dlc11_payload_sea_shanty_verse_2
wh2_dlc11_bundle_sea_shanty_verse_3	wh2_dlc11_payload_sea_shanty_verse_3
wh2_dlc12_ikit_workshop_tier_2	wh2_dlc12_ikit_workshop_tier_2
wh2_dlc12_ikit_workshop_tier_3	wh2_dlc12_ikit_workshop_tier_3
wh2_dlc12_ikit_workshop_tier_4	wh2_dlc12_ikit_workshop_tier_4
wh2_dlc12_prophecy_of_sotek_1_1	wh2_dlc12_prophecy_of_sotek_1_1
wh2_dlc12_prophecy_of_sotek_1_2	wh2_dlc12_prophecy_of_sotek_1_2
wh2_dlc12_prophecy_of_sotek_2_3	wh2_dlc12_prophecy_of_sotek_2_3
wh2_dlc12_prophecy_of_sotek_2_4	wh2_dlc12_prophecy_of_sotek_2_4
wh2_dlc12_prophecy_of_sotek_3_1	wh2_dlc12_prophecy_of_sotek_3_1
wh2_main_bundle_character_weapon_strength_up	wh2_main_bundle_character_weapon_strength_up
wh2_main_dilemma_loyalty_def_sorceror_delinquent_payload	wh2_main_dilemma_loyalty_def_sorceror_delinquent_payload
wh2_main_dilemma_loyalty_positive_def_audience_4	wh2_main_dilemma_loyalty_positive_def_audience_4
wh2_main_dilemma_loyalty_positive_def_black_council_1	wh2_main_dilemma_loyalty_positive_def_black_council_1
wh2_main_dilemma_loyalty_positive_def_black_council_2	wh2_main_dilemma_loyalty_positive_def_black_council_2
wh2_main_dilemma_loyalty_positive_def_black_council_3	wh2_main_dilemma_loyalty_positive_def_black_council_3
wh2_main_dilemma_loyalty_positive_def_black_council_4	wh2_main_dilemma_loyalty_positive_def_black_council_4
wh2_main_dilemma_loyalty_positive_def_curse_of_kurnous_2	wh2_main_dilemma_loyalty_positive_def_curse_of_kurnous_2
wh2_main_dilemma_loyalty_positive_def_curse_of_kurnous_3	wh2_main_dilemma_loyalty_positive_def_curse_of_kurnous_3
wh2_main_dilemma_loyalty_positive_def_insurgents_2	wh2_main_dilemma_loyalty_positive_def_insurgents_2
wh2_main_dilemma_loyalty_positive_def_insurgents_3	wh2_main_dilemma_loyalty_positive_def_insurgents_3
wh2_main_dilemma_loyalty_positive_def_relic_2	wh2_main_dilemma_loyalty_positive_def_relic_2
wh2_main_dilemma_loyalty_positive_def_statue_1	wh2_main_dilemma_loyalty_positive_def_statue_1
wh2_main_dilemma_loyalty_positive_def_statue_3	wh2_main_dilemma_loyalty_positive_def_statue_3
wh2_main_dilemma_loyalty_positive_def_traitors_1	wh2_main_dilemma_loyalty_positive_def_traitors_1
wh2_main_dilemma_loyalty_positive_def_tribute_3	wh2_main_dilemma_loyalty_positive_def_tribute_3
wh2_main_dilemma_loyalty_positive_def_wrongly_accused_2	wh2_main_dilemma_loyalty_positive_def_wrongly_accused_2
wh2_main_dilemma_loyalty_positive_def_wrongly_accused_4	wh2_main_dilemma_loyalty_positive_def_wrongly_accused_4
wh2_main_dilemma_loyalty_positive_skv_dust_it_off_3	wh2_main_dilemma_loyalty_positive_skv_dust_it_off_3
wh2_main_dilemma_loyalty_positive_skv_keg_of_doom_3	wh2_main_dilemma_loyalty_positive_skv_keg_of_doom_3
wh2_main_dilemma_loyalty_positive_skv_loyal_mine_mine_2	wh2_main_dilemma_loyalty_positive_skv_loyal_mine_mine_2
wh2_main_dilemma_loyalty_positive_skv_loyal_musk_3	wh2_main_dilemma_loyalty_positive_skv_loyal_musk_3
wh2_main_dilemma_loyalty_positive_skv_noise_problem_2	wh2_main_dilemma_loyalty_positive_skv_noise_problem_2
wh2_main_dilemma_loyalty_positive_skv_noise_problem_3	wh2_main_dilemma_loyalty_positive_skv_noise_problem_3
wh2_main_dilemma_loyalty_positive_skv_shiny_scale_stuff_3	wh2_main_dilemma_loyalty_positive_skv_shiny_scale_stuff_3
wh2_main_dilemma_loyalty_positive_skv_test_of_loyalty_1	wh2_main_dilemma_loyalty_positive_skv_test_of_loyalty_1
wh2_main_dilemma_loyalty_positive_skv_test_of_loyalty_2	wh2_main_dilemma_loyalty_positive_skv_test_of_loyalty_2
wh2_main_dilemma_loyalty_positive_skv_whisper_rumours_1	wh2_main_dilemma_loyalty_positive_skv_whisper_rumours_1
wh2_main_dilemma_loyalty_positive_skv_whisper_rumours_2	wh2_main_dilemma_loyalty_positive_skv_whisper_rumours_2
wh2_main_dilemma_loyalty_skv_call_of_the_horned_rat_1_a_first_all_morale_down	wh2_main_dilemma_loyalty_skv_call_of_the_horned_rat_1_a_first_all_morale_down
wh2_main_dilemma_loyalty_skv_call_of_the_horned_rat_1_b_all_morale_up	wh2_main_dilemma_loyalty_skv_call_of_the_horned_rat_1_b_all_morale_up
wh2_main_dilemma_loyalty_skv_call_of_the_horned_rat_1_first	wh2_main_dilemma_loyalty_skv_call_of_the_horned_rat_1_first
wh2_main_dilemma_loyalty_skv_call_of_the_horned_rat_2_a_first	wh2_main_dilemma_loyalty_skv_call_of_the_horned_rat_2_a_first
wh2_main_dilemma_loyalty_skv_call_of_the_horned_rat_2_a_second	wh2_main_dilemma_loyalty_skv_call_of_the_horned_rat_2_a_second
wh2_main_dilemma_loyalty_skv_call_of_the_horned_rat_2_b_second	wh2_main_dilemma_loyalty_skv_call_of_the_horned_rat_2_b_second
wh2_main_dilemma_loyalty_skv_pestilential_proposition_1_first	wh2_main_dilemma_loyalty_skv_pestilential_proposition_1_first
wh2_main_dilemma_loyalty_skv_price_of_treachery_1	wh2_main_dilemma_loyalty_skv_price_of_treachery_1
wh2_main_dilemma_loyalty_skv_shades_of_grey_1_second	wh2_main_dilemma_loyalty_skv_shades_of_grey_1_second
wh2_main_dilemma_loyalty_skv_shades_of_grey_2_a_first	wh2_main_dilemma_loyalty_skv_shades_of_grey_2_a_first
wh2_main_dilemma_loyalty_skv_shades_of_grey_2_a_second	wh2_main_dilemma_loyalty_skv_shades_of_grey_2_a_second
wh2_main_dilemma_loyalty_skv_skavenslave_revolt_2_b_second	wh2_main_dilemma_loyalty_skv_skavenslave_revolt_2_b_second
wh2_main_dilemma_loyalty_skv_the_skavenblight_question_2_b_second	wh2_main_dilemma_loyalty_skv_the_skavenblight_question_2_b_second
wh2_main_dilemma_treasure_hunt_flooded_armoury_3_b	wh2_main_dilemma_treasure_hunt_flooded_armoury_3_b
wh2_main_dilemma_treasure_hunt_scavengers_3_b	wh2_main_dilemma_treasure_hunt_scavengers_3_b
wh2_main_effect_army_movement_down	wh2_main_effect_army_movement_down
wh2_main_effect_army_movement_up	wh2_main_effect_army_movement_up
wh2_main_effect_character_mod_loyalty_over_time_events_1_negative	wh2_main_effect_character_mod_loyalty_over_time_events_1_negative
wh2_main_effect_character_mod_loyalty_over_time_events_1_positive	wh2_main_effect_character_mod_loyalty_over_time_events_1_positive
wh2_main_effect_character_mod_loyalty_over_time_events_2_negative	wh2_main_effect_character_mod_loyalty_over_time_events_2_negative
wh2_main_effect_character_mod_loyalty_over_time_events_2_positive	wh2_main_effect_character_mod_loyalty_over_time_events_2_positive
wh2_main_effect_character_mod_loyalty_over_time_events_3_negative	wh2_main_effect_character_mod_loyalty_over_time_events_3_negative
wh2_main_effect_character_mod_loyalty_over_time_events_3_positive	wh2_main_effect_character_mod_loyalty_over_time_events_3_positive
wh2_main_effect_force_unit_stat_morale_melee_attack_versus_high_elves	wh2_main_effect_force_unit_stat_morale_melee_attack_versus_high_elves
wh2_main_effect_force_unit_stat_morale_versus_skaven	wh2_main_effect_force_unit_stat_morale_versus_skaven
wh2_main_encounter_at_sea_campaign_1_dummy	wh2_main_encounter_at_sea_campaign_1_dummy
wh2_main_encounter_at_sea_campaign_2_dummy	wh2_main_encounter_at_sea_campaign_2_dummy
wh2_main_encounter_at_sea_campaign_3_dummy	wh2_main_encounter_at_sea_campaign_3_dummy
wh2_main_encounter_at_sea_campaign_4_dummy	wh2_main_encounter_at_sea_campaign_4_dummy
wh2_main_encounter_treasure_at_sea_campaign_1	wh2_main_encounter_at_sea_campaign_treasure_1
wh2_main_encounter_treasure_at_sea_campaign_2	wh2_main_encounter_at_sea_campaign_treasure_2
wh2_main_encounter_at_sea_combat_1_dummy	wh2_main_encounter_at_sea_combat_1_dummy
wh2_main_encounter_at_sea_combat_2_dummy	wh2_main_encounter_at_sea_combat_2_dummy
wh2_main_encounter_at_sea_combat_3_dummy	wh2_main_encounter_at_sea_combat_3_dummy
wh2_main_encounter_at_sea_combat_4_dummy	wh2_main_encounter_at_sea_combat_4_dummy
wh2_main_encounter_at_sea_combat_5_dummy	wh2_main_encounter_at_sea_combat_5_dummy
wh2_main_hef_intrigue_court_of_the_sea_third	wh2_main_hef_intrigue_court_of_the_sea_third
wh2_main_hef_intrigue_favour_of_the_phoenix_first	wh2_main_hef_intrigue_favour_of_the_phoenix_first
wh2_main_hef_intrigue_favour_of_the_phoenix_fourth	wh2_main_hef_intrigue_favour_of_the_phoenix_fourth
wh2_main_hef_intrigue_favour_of_the_phoenix_second	wh2_main_hef_intrigue_favour_of_the_phoenix_second
wh2_main_hef_intrigue_favour_of_the_phoenix_third	wh2_main_hef_intrigue_favour_of_the_phoenix_third
wh2_main_hef_intrigue_in_fighting_second	wh2_main_hef_intrigue_in_fighting_second
wh2_main_hef_intrigue_in_fighting_third	wh2_main_hef_intrigue_in_fighting_third
wh2_main_hef_intrigue_life_in_the_lagoon_fourth	wh2_main_hef_intrigue_life_in_the_lagoon_fourth
wh2_main_hef_intrigue_retainer_of_power_fourth	wh2_main_hef_intrigue_retainer_of_power_fourth
wh2_main_hef_intrigue_retainer_of_power_third	wh2_main_hef_intrigue_retainer_of_power_third
wh2_main_hef_intrigue_signed_sealed_delivered_third	wh2_main_hef_intrigue_signed_sealed_delivered_third
wh2_main_hef_intrigue_the_folly_of_youth_fourth	wh2_main_hef_intrigue_the_folly_of_youth_fourth
wh2_main_hef_intrigue_the_folly_of_youth_third	wh2_main_hef_intrigue_the_folly_of_youth_third
wh2_main_hef_intrigue_they_who_whisper_second	wh2_main_hef_intrigue_they_who_whisper_second
wh2_main_hef_intrigue_they_who_whisper_third	wh2_main_hef_intrigue_they_who_whisper_third
wh2_main_hef_intrigue_wed_to_etiquette_first	wh2_main_hef_intrigue_wed_to_etiquette_first
wh2_main_hef_intrigue_whispers_of_the_mourning_chorus_first	wh2_main_hef_intrigue_whispers_of_the_mourning_chorus_first
wh2_main_hef_intrigue_whispers_of_the_mourning_chorus_fourth	wh2_main_hef_intrigue_whispers_of_the_mourning_chorus_fourth
wh2_main_hef_intrigue_you_can_dance_third	wh2_main_hef_intrigue_you_can_dance_third
wh2_main_incident_all_agent_action_chance_up	wh2_main_incident_all_agent_action_chance_up
wh2_main_incident_all_agent_action_cost_down	wh2_main_incident_all_agent_action_cost_down
wh2_main_incident_all_campaign_movement_down_replenish_up	wh2_main_incident_all_campaign_movement_down_replenish_up
wh2_main_incident_all_campaign_movement_up	wh2_main_incident_all_campaign_movement_up
wh2_main_incident_all_construction_cost_down	wh2_main_incident_all_construction_cost_down
wh2_main_incident_all_construction_cost_up	wh2_main_incident_all_construction_cost_up
wh2_main_incident_all_gdp_down	wh2_main_incident_all_gdp_down
wh2_main_incident_all_gdp_up	wh2_main_incident_all_gdp_up
wh2_main_incident_all_growth_up_greatly_gdp_down	wh2_main_incident_all_growth_up_greatly_gdp_down
wh2_main_incident_all_melee_attack_up	wh2_main_incident_all_melee_attack_up
wh2_main_incident_all_melee_defense_up	wh2_main_incident_all_melee_defense_up
wh2_main_payload_morale_all_down	wh2_main_incident_all_morale_down
wh2_main_incident_all_public_order_down_greatly_recruitment_cost_down_greatly	wh2_main_incident_all_public_order_down_greatly_recruitment_cost_down_greatly
wh2_main_incident_all_ranged_weapon_damage_up	wh2_main_incident_all_ranged_weapon_damage_up
wh2_main_incident_all_recruitment_cost_up_unit_exp_up	wh2_main_incident_all_recruitment_cost_up_unit_exp_up
wh2_main_incident_all_replenish_rate_down_recruitment_cost_down	wh2_main_incident_all_replenish_rate_down_recruitment_cost_down
wh2_main_incident_all_wom_down	wh2_main_incident_all_wom_down
wh2_main_incident_all_wom_up	wh2_main_incident_all_wom_up
wh2_main_incident_all_wom_up_greatly_miscast_rate_up	wh2_main_incident_all_wom_up_greatly_miscast_rate_up
wh2_main_incident_cold_one_recruitment_cost_down_campaign_movement_range_up	wh2_main_incident_cold_one_recruitment_cost_down_campaign_movement_range_up
wh2_main_incident_def_army_morale_down_recruitment_cost_up	wh2_main_incident_def_army_morale_down_recruitment_cost_up
wh2_main_incident_def_army_morale_up_public_oder_increase_province	wh2_main_incident_def_army_morale_up_public_oder_increase_province
wh2_main_incident_def_building_cost_down	wh2_main_incident_def_building_cost_down
wh2_main_incident_def_cold_one_melee_attack_up	wh2_main_incident_def_cold_one_melee_attack_up
wh2_main_incident_def_death_hag_witch_elves_recruitment_cost_down_exp_up	wh2_main_incident_def_death_hag_witch_elves_recruitment_cost_down_exp_up
wh2_main_incident_def_raid_sack_income_up	wh2_main_incident_def_raid_sack_income_up
wh2_main_incident_def_research_rate_up	wh2_main_incident_def_research_rate_up
wh2_main_incident_hef_building_cost_down	wh2_main_incident_hef_building_cost_down
wh2_main_incident_hef_campign_movement_up	wh2_main_incident_hef_campign_movement_up
wh2_main_incident_hef_morale_down_recruitment_cost_increase	wh2_main_incident_hef_morale_down_recruitment_cost_increase
wh2_main_incident_hef_morale_up_melee_defense_up_against_def	wh2_main_incident_hef_morale_up_melee_defense_up_against_def
wh2_main_incident_hef_morale_up_public_order_up	wh2_main_incident_hef_morale_up_public_order_up
wh2_main_incident_hef_phoenix_recruitment_cost_down	wh2_main_incident_hef_phoenix_recruitment_cost_down
wh2_main_incident_hef_replenish_rate_up	wh2_main_incident_hef_replenish_rate_up
wh2_main_incident_hef_research_rate_up	wh2_main_incident_hef_research_rate_up
wh2_main_incident_lzd_building_cost_down	wh2_main_incident_lzd_building_cost_down
wh2_main_incident_lzd_morale_down_recruitment_cost_up	wh2_main_incident_lzd_morale_down_recruitment_cost_up
wh2_main_incident_lzd_morale_up_public_order_up	wh2_main_incident_lzd_morale_up_public_order_up
wh2_main_incident_lzd_public_order_up_temple_guard_recruitment_cost_down	wh2_main_incident_lzd_public_order_up_temple_guard_recruitment_cost_down
wh2_main_incident_lzd_recruitment_cost_up_starting_exp_up	wh2_main_incident_lzd_recruitment_cost_up_starting_exp_up
wh2_main_incident_lzd_research_rate_up	wh2_main_incident_lzd_research_rate_up
wh2_main_incident_monster_recruitment_cost_down	wh2_main_incident_monster_recruitment_cost_down
wh2_main_incident_port_income_down	wh2_main_incident_port_income_down
wh2_main_incident_replenish_rate_up_campaign_movement_up	wh2_main_incident_replenish_rate_up_campaign_movement_up
wh2_main_incident_skv_building_cost_down	wh2_main_incident_skv_building_cost_down
wh2_main_incident_skv_campaign_movement_range_increase	wh2_main_incident_skv_campaign_movement_range_increase
wh2_main_incident_skv_monster_unit_recruitment_cost_down_growth_down	wh2_main_incident_skv_monster_unit_recruitment_cost_down_growth_down
wh2_main_incident_skv_morale_down_recruitment_cost_up	wh2_main_incident_skv_morale_down_recruitment_cost_up
wh2_main_incident_skv_morale_up_public_order_up	wh2_main_incident_skv_morale_up_public_order_up
wh2_main_incident_skv_raid_sacking_income_up	wh2_main_incident_skv_raid_sacking_income_up
wh2_main_incident_skv_replenish_up	wh2_main_incident_skv_replenish_up
wh2_main_incident_skv_research_rate_up	wh2_main_incident_skv_research_rate_up
wh2_main_incident_skv_siege_time_down	wh2_main_incident_skv_siege_time_down
wh2_main_incident_skv_warp_unit_recruitment_cost_down	wh2_main_incident_skv_warp_unit_recruitment_cost_down
wh2_main_incident_trade_income_up	wh2_main_incident_trade_income_up
wh2_main_lzd_a_deadly_price_first	wh2_main_lzd_a_deadly_price_first
