audio_campaign_buildings_tables	0
key	ambience_start_event	ambience_stop_event	ambience_only_play_if_primary	ambience_only_play_if_port	one_shot_event	one_shot_min_time	one_shot_max_time	one_shot_only_play_if_primary	one_shot_only_play_if_port	selected_event
wh_cam_settlement_major_darkelves	Campaign_Environment_Dark_Elves_Settlement_Major_Play	Campaign_Environment_Dark_Elves_Settlement_Major_Stop	true	true		2	4	true	true	Campaign_Environment_Dark_Elves_Settlement_Major_Selection_Play
wh_cam_settlement_major_dwarf	Campaign_Environment_Dwarf_Settlement_Major_Play	Campaign_Environment_Dwarf_Settlement_Major_Stop	true	true		2	4	true	true	Campaign_Environment_Dwarf_Settlement_Selection
wh_cam_settlement_major_empire	Campaign_Environment_Empire_Settlement_Major_Play	Campaign_Environment_Empire_Settlement_Major_Stop	true	true		2	4	true	true	Campaign_Environment_Empire_Settlement_Selection
wh_cam_settlement_major_greenskin	Campaign_Environment_Greenskin_Settlement_Major_Play	Campaign_Environment_Greenskin_Settlement_Major_Stop	true	true		2	4	true	true	Campaign_Environment_Greenskin_Settlement_Selection
wh_cam_settlement_major_highelves	Campaign_Environment_High_Elves_Settlement_Major_Play	Campaign_Environment_High_Elves_Settlement_Major_Stop	true	true		2	4	true	true	Campaign_Environment_High_Elves_Settlement_Major_Selection_Play
wh_cam_settlement_major_lizardmen	Campaign_Environment_Lizardmen_Settlement_Major_Play	Campaign_Environment_Lizardmen_Settlement_Major_Stop	true	true		2	4	true	true	Campaign_Environment_Lizardmen_Settlement_Major_Selection_Play
wh_cam_settlement_major_nordic	Campaign_Environment_Nordic_Settlement_Major_Play	Campaign_Environment_Nordic_Settlement_Major_Stop	true	false		2	4	true	true	Campaign_Environment_Nordic_Settlement_Selection
wh_cam_settlement_major_rogue	Campaign_Environment_Greenskin_Settlement_Major_Play	Campaign_Environment_Greenskin_Settlement_Major_Stop	true	true		2	4	true	true	Campaign_Environment_Greenskin_Settlement_Selection
wh_cam_settlement_major_skaven	Campaign_Environment_Skaven_Settlement_Major_Play	Campaign_Environment_Skaven_Settlement_Major_Stop	true	true		2	4	true	true	Campaign_Environment_Skaven_Settlement_Major_Selection_Play
wh_cam_settlement_major_vampire	Campaign_Environment_Vampire_Settlement_Major_Play	Campaign_Environment_Vampire_Settlement_Major_Stop	true	true		2	4	true	true	Campaign_Environment_Vampire_Settlement_Selection
wh_cam_settlement_minor_bretonnia	Campaign_Environment_Bretonnia_Settlement_Minor_Play	Campaign_Environment_Bretonnia_Settlement_Minor_Stop	true	true		2	4	true	true	Campaign_Environment_Bretonnia_Settlement_Selection
wh_cam_settlement_minor_chaos	Campaign_Environment_Chaos_Settlement_Minor_Play	Campaign_Environment_Chaos_Settlement_Minor_Stop	true	true		2	4	true	true	Campaign_Environment_Chaos_Settlement_Selection
wh_cam_settlement_minor_darkelves	Campaign_Environment_Dark_Elves_Settlement_Minor_Play	Campaign_Environment_Dark_Elves_Settlement_Minor_Stop	true	true		2	4	true	true	Campaign_Environment_Dark_Elves_Settlement_Minor_Selection_Play
wh_cam_settlement_minor_dwarf	Campaign_Environment_Dwarf_Settlement_Minor_Play	Campaign_Environment_Dwarf_Settlement_Minor_Stop	true	true		2	4	true	true	Campaign_Environment_Dwarf_Settlement_Selection
wh_cam_settlement_minor_empire	Campaign_Environment_Empire_Settlement_Minor_Play	Campaign_Environment_Empire_Settlement_Minor_Stop	true	true		2	4	true	true	Campaign_Environment_Empire_Settlement_Selection
wh_cam_settlement_minor_greenskin	Campaign_Environment_Greenskin_Settlement_Minor_Play	Campaign_Environment_Greenskin_Settlement_Minor_Stop	true	true		2	4	true	true	Campaign_Environment_Greenskin_Settlement_Selection
wh_cam_settlement_minor_highelves	Campaign_Environment_High_Elves_Settlement_Minor_Play	Campaign_Environment_High_Elves_Settlement_Minor_Stop	true	true		2	4	true	true	Campaign_Environment_High_Elves_Settlement_Minor_Selection_Play
wh_cam_settlement_minor_lizardmen	Campaign_Environment_Lizardmen_Settlement_Minor_Play	Campaign_Environment_Lizardmen_Settlement_Minor_Stop	true	true		2	4	true	true	Campaign_Environment_Lizardmen_Settlement_Minor_Selection_Play
wh_cam_settlement_minor_nordic	Campaign_Environment_Nordic_Settlement_Minor_Play	Campaign_Environment_Nordic_Settlement_Minor_Stop	true	false		2	4	true	true	Campaign_Environment_Nordic_Settlement_Selection
wh_cam_settlement_minor_rogue	Campaign_Environment_Greenskin_Settlement_Minor_Play	Campaign_Environment_Greenskin_Settlement_Minor_Stop	true	true		2	4	true	true	Campaign_Environment_Greenskin_Settlement_Selection
wh_cam_settlement_minor_skaven	Campaign_Environment_Skaven_Settlement_Minor_Play	Campaign_Environment_Skaven_Settlement_Minor_Stop	true	true		2	4	true	true	Campaign_Environment_Skaven_Settlement_Minor_Selection_Play
wh_cam_settlement_minor_vampire	Campaign_Environment_Vampire_Settlement_Minor_Play	Campaign_Environment_Vampire_Settlement_Minor_Stop	true	true		2	4	true	true	Campaign_Environment_Vampire_Settlement_Selection
wh_cam_settlement_nordic_khorne	Campaign_Environment_Nordic_Monolith_Hound_Play	Campaign_Environment_Nordic_Monolith_Hound_Stop	true	false		2	4	true	true	Campaign_Environment_Nordic_Settlement_Selection
wh_cam_settlement_nordic_nurgle	Campaign_Environment_Nordic_Monolith_Crow_Play	Campaign_Environment_Nordic_Monolith_Crow_Stop	true	false		2	4	true	true	Campaign_Environment_Nordic_Settlement_Selection
wh_cam_settlement_nordic_slaanesh	Campaign_Environment_Nordic_Monolith_Serpent_Play	Campaign_Environment_Nordic_Monolith_Serpent_Stop	true	false		2	4	true	true	Campaign_Environment_Nordic_Settlement_Selection
wh_cam_settlement_nordic_tzeentch	Campaign_Environment_Nordic_Monolith_Eagle_Play	Campaign_Environment_Nordic_Monolith_Eagle_Stop	true	false		2	4	true	true	Campaign_Environment_Nordic_Settlement_Selection
wh_cam_settlement_skaven_port	Campaign_Environment_Skaven_Settlement_Port_Play	Campaign_Environment_Skaven_Settlement_Port_Stop	true	true		2	4	true	true	Campaign_Environment_Skaven_Settlement_Port_Selection_Play
wh_cam_settlement_tombkings_port	Campaign_Environment_Tomb_Kings_Settlement_Port_Play	Campaign_Environment_Tomb_Kings_Settlement_Port_Stop	true	true		2	4	true	true	Campaign_Environment_Tomb_Kings_Settlement_Port_Selection_Play
wh_dlc05_wef_oak_of_ages_high_tier	Campaign_Environment_Wood_Elves_Oak_Of_Ages_High_Tier_Loop_Start	Campaign_Environment_Wood_Elves_Oak_Of_Ages_High_Tier_Loop_Stop	false	false		2	4	true	true	Campaign_Environment_Wood_Elves_Oak_Of_Ages_Selection
wh_dlc05_wef_oak_of_ages_low_tier	Campaign_Environment_Wood_Elves_Oak_Of_Ages_Low_Tier_Loop_Start	Campaign_Environment_Wood_Elves_Oak_Of_Ages_Low_Tier_Loop_Stop	false	false		2	4	true	true	Campaign_Environment_Wood_Elves_Oak_Of_Ages_Selection
wh_dlc05_wef_oak_of_ages_medium_tier	Campaign_Environment_Wood_Elves_Oak_Of_Ages_Medium_Tier_Loop_Start	Campaign_Environment_Wood_Elves_Oak_Of_Ages_Medium_Tier_Loop_Stop	false	false		2	4	true	true	Campaign_Environment_Wood_Elves_Oak_Of_Ages_Selection
wh_dlc05_wef_oak_of_ages_ruin	Campaign_Environment_Wood_Elves_Oak_Of_Ages_Ruined_Loop_Start	Campaign_Environment_Wood_Elves_Oak_Of_Ages_Ruined_Loop_Stop	true	true		2	4	true	true	Campaign_Environment_Wood_Elves_Oak_Of_Ages_Ruined_Selection
wh_dlc_cam_settlement_capital_wood_elves	Campaign_Environment_Wood_Elves_Settlement_Capital_Play	Campaign_Environment_Wood_Elves_Settlement_Capital_Stop	true	true		2	4	true	true	Campaign_Environment_Wood_Elves_Settlement_Selection
wh_dlc_cam_settlement_major_wood_elves	Campaign_Environment_Wood_Elves_Settlement_Major_Play	Campaign_Environment_Wood_Elves_Settlement_Major_Stop	true	true		2	4	true	true	Campaign_Environment_Wood_Elves_Settlement_Selection
wh_dlc_cam_settlement_minor_wood_elves	Campaign_Environment_Wood_Elves_Settlement_Minor_Play	Campaign_Environment_Wood_Elves_Settlement_Minor_Stop	true	true		2	4	true	true	Campaign_Environment_Wood_Elves_Settlement_Selection
