cdir_events_dilemma_payloads_tables	2
choice_key	dilemma_key	id	payload_key	value
SECOND	wh2_main_dilemma_loyalty_skv_rattus_ex_machina_2_a	103264992	TARGET	EVENT
FIRST	wh2_dlc11_dilemma_neo_encounter_at_sea_2_c	1033114630	TEXT_DISPLAY	LOOKUP[dummy_wh2_dlc11_neo_counter_treasure]
SECOND	wh_dlc03_agent_choice	1034	TARGET	CAPITAL
SECOND	wh_dlc08_nor_monster_hunt_0_dilemma_reward	1036389782	wh_dlc08_dummy_eagle_allegiance	DURATION[0]
FOURTH	wh2_main_hef_intrigue_in_fighting	1037784861	INFLUENCE	AMOUNT[32]
FIRST	wh_dlc03_full_moon_preparations_full_moon_9	1040	wh_dlc03_payload_prep_moon_replenishment_low	DURATION[2];GLOBAL
FIRST	wh2_main_dilemma_loyalty_positive_def_the_hermit	1040161698	ADD_ANCILLARY	ANCILLARY_KEY[wh2_main_anc_enchanted_item_rod_of_briars];TARGET_OWNING_FACTION
SECOND	wh2_dlc11_cst_dilemma_salvage_supplies	1042560343	wh2_dlc11_payload_dilemma_salvage_supplies_second	DURATION[3]
FIRST	wh2_main_dilemma_loyalty_positive_def_the_statue	1043744047	ADD_ANCILLARY	ANCILLARY_KEY[wh2_main_anc_enchanted_item_brass_horn];TARGET_OWNING_FACTION
SECOND	wh_dlc08_nor_grim_visions	1043781496	wh_dlc08_payload_grim_visions_second	DURATION[10]
THIRD	wh_dlc08_nor_monster_hunt_0_dilemma_reward	1044441620	wh_dlc08_dummy_hound_allegiance	DURATION[0]
FIRST	wh2_dlc08_confederate_wh2_main_nor_aghol	1045813087	TEXT_DISPLAY	LOOKUP[dummy_confederate_wh2_main_nor_aghol]
FIRST	wh_dlc03_full_moon_preparations_full_moon_10	1046	wh_dlc03_payload_prep_moon_replenishment_low	DURATION[2];GLOBAL
THIRD	wh2_dlc11_cst_dilemma_ocean_of_opportunities	1048656336	TEXT_DISPLAY	LOOKUP[dummy_ocean_of_opportunities_third]
SECOND	wh_dlc07_brt_confederation_bastonne	1050471614	TREASURY	AMOUNT[-5000]
FIRST	wh_dlc03_full_moon_preparations_full_moon_11	1054	wh_dlc03_payload_prep_moon_replenishment_low	DURATION[2];GLOBAL
FIRST	wh2_main_dilemma_encounter_at_sea_4_a	1056475791	TEXT_DISPLAY	LOOKUP[dummy_wh2_main_combat_encounter]
FOURTH	wh2_main_hef_intrigue_retainer_of_power	1059951725	wh2_main_hef_intrigue_retainer_of_power_fourth	DURATION[5]
SECOND	wh_main_grn_lootas	106	TARGET	EVENT
SECOND	wh2_main_dilemma_loyalty_skv_what_we_do_in_the_shadows_2_a	1060494498	LOYALTY	AMOUNT[-1]
THIRD	wh2_main_dilemma_loyalty_positive_def_the_black_council	1060962736	wh2_main_dilemma_loyalty_positive_def_black_council_3	DURATION[10]
FIRST	wh_dlc03_full_moon_preparations_full_moon_12	1063	wh_dlc03_payload_prep_moon_replenishment_low	DURATION[2];GLOBAL
FIRST	wh_dlc03_full_moon_preparations_full_moon_13	1064	wh_dlc03_payload_prep_moon_replenishment_low	DURATION[2];GLOBAL
FOURTH	wh2_main_dilemma_loyalty_positive_skv_keg_of_boom	1064245972	CHARACTER_EXPERIENCE	AMOUNT[2000]
FIRST	wh_dlc03_full_moon_preparations_full_moon_14	1066	wh_dlc03_payload_prep_moon_replenishment_low	DURATION[2];GLOBAL
SECOND	wh2_main_dilemma_loyalty_positive_def_the_hermit	1066102094	CHARACTER_EXPERIENCE	AMOUNT[1500]
SECOND	wh2_dlc08_confederate_wh_main_nor_baersonling	1066897904	DIPLOMATIC_STANDING	AMOUNT[-3]
FIRST	wh2_main_def_names_of_power_co_6_hydra	106823537	GIVE_TRAIT	TRAIT_KEY[wh2_main_trait_def_name_of_power_co_06_soulblaze]
FIRST	wh_dlc03_full_moon_preparations_full_moon_15	1072	wh_dlc03_payload_prep_moon_replenishment_low	DURATION[2];GLOBAL
SECOND	wh2_main_dilemma_loyalty_skv_call_of_the_horned_rat_1	1075772987	TARGET	EVENT
FIRST	wh_dlc03_full_moon_preparations_full_moon_16	1076	wh_dlc03_payload_prep_moon_replenishment_low	DURATION[2];GLOBAL
SECOND	wh2_main_dilemma_loyalty_skv_the_skavenblight_question_2_b	1076098850	TARGET	EVENT
FIRST	wh_dlc03_full_moon_preparations_full_moon_17	1079	wh_dlc03_payload_prep_moon_replenishment_low	DURATION[2];GLOBAL
FIRST	wh2_main_dilemma_encounter_at_sea_1_a	1079517633	TEXT_DISPLAY	LOOKUP[dummy_wh2_main_combat_encounter]
FIRST	wh2_main_lzd_reclaiming_the_lost_world	1081990566	TREASURY	AMOUNT[-2000]
FIRST	wh_dlc03_full_moon_preparations_full_moon_18	1082	wh_dlc03_payload_prep_moon_replenishment_low	DURATION[2];GLOBAL
FOURTH	wh_dlc08_nor_monster_hunt_0_dilemma_reward	1085730186	wh_dlc08_dummy_serpent_allegiance	DURATION[0]
SECOND	wh2_main_dilemma_encounter_at_sea_3	1088845555	TEXT_DISPLAY	LOOKUP[dummy_wh2_main_campaign_encounter]
FOURTH	wh2_main_hef_intrigue_favour_of_the_phoenix	108927649	wh2_main_hef_intrigue_favour_of_the_phoenix_fourth	DURATION[5]
FIRST	wh2_main_lzd_war_babies	109112549	wh2_main_lzd_war_babies_first	DURATION[5]
FIRST	wh_dlc03_full_moon_preparations_full_moon_19	1092	wh_dlc03_payload_prep_moon_replenishment_low	DURATION[2];GLOBAL
THIRD	wh2_main_hef_intrigue_the_court_of_many_kings	1092951103	TREASURY	AMOUNT[-750]
SECOND	wh2_dlc11_cst_dilemma_grim_tidings	1094113288	wh2_dlc11_payload_dilemma_grim_tidings_second	DURATION[10]
SECOND	wh2_main_lzd_born_killers	1095176136	wh2_main_lzd_born_killers_second	DURATION[8]
FIRST	wh2_main_lzd_new_blood	109563806	wh2_main_lzd_new_blood_first	DURATION[5]
SECOND	wh2_main_lzd_new_blood	1095873436	wh2_main_lzd_new_blood_second	DURATION[5]
FIRST	wh_dlc03_full_moon_preparations_full_moon_20	1097	wh_dlc03_payload_prep_moon_replenishment_low	DURATION[2];GLOBAL
SECOND	wh_main_grn_lootas	110	TREASURY	AMOUNT[1500]
FIRST	wh_dlc03_full_moon_preparations_lunar_eclipse_1	1105	wh_dlc03_payload_prep_moon_replenishment_medium	DURATION[2];GLOBAL
SECOND	wh2_main_dilemma_loyalty_positive_skv_test_of_loyalty	1106276224	LOYALTY	AMOUNT[1]
FIRST	wh_dlc03_full_moon_preparations_lunar_eclipse_2	1109	wh_dlc03_payload_prep_moon_replenishment_medium	DURATION[2];GLOBAL
FIRST	wh2_main_dilemma_loyalty_skv_the_skavenblight_question_2_b	1110447982	TARGET	EVENT
FIRST	wh_dlc03_full_moon_preparations_lunar_eclipse_3	1112	wh_dlc03_payload_prep_moon_replenishment_medium	DURATION[2];GLOBAL
FIRST	wh_dlc07_brt_confederation_lyonesse	1112427818	TEXT_DISPLAY	LOOKUP[dummy_chivalry_confederation_cost_low]
FIRST	wh2_dlc10_sword_of_khaine_lv1	1113452260	wh2_sword_of_khaine_2_dummy	DURATION[0]
FIRST	wh2_main_dilemma_loyalty_skv_what_we_do_in_the_shadows_2_a	1114601102	LOYALTY	AMOUNT[1]
FIRST	wh2_main_dilemma_loyalty_positive_skv_test_of_loyalty	1115287898	wh2_main_dilemma_loyalty_positive_skv_test_of_loyalty_1	DURATION[6]
FIRST	wh2_dlc11_dilemma_neo_encounter_at_sea_2_b	111804903	TEXT_DISPLAY	LOOKUP[dummy_wh2_dlc11_neo_counter_fight_chance]
SECOND	wh2_main_dilemma_loyalty_def_contest_of_claws_1	1118052862	TARGET	EVENT
FIRST	wh_dlc03_full_moon_preparations_lunar_eclipse_4	1121	wh_dlc03_payload_prep_moon_replenishment_medium	DURATION[2];GLOBAL
SECOND	wh2_main_dilemma_loyalty_def_price_of_treachery_1	112143018	LOYALTY	AMOUNT[-1]
FIRST	wh2_main_dilemma_loyalty_def_sunless_seas_1	1121591622	TARGET	EVENT
FIRST	wh2_main_dilemma_loyalty_skv_rattus_ex_machina_2_a	1122909015	LOYALTY	AMOUNT[2]
FIRST	wh_dlc03_full_moon_preparations_lunar_eclipse_5	1124	wh_dlc03_payload_prep_moon_replenishment_medium	DURATION[2];GLOBAL
FOURTH	wh_dlc08_nor_monster_hunt_7_dilemma_reward	1126534972	wh_dlc08_dummy_serpent_allegiance	DURATION[0]
SECOND	wh2_main_def_names_of_power_ar_1_sacrifice	1130982085	GIVE_TRAIT	TRAIT_KEY[wh2_main_trait_def_name_of_power_ar_12_grimgaze]
FIRST	wh_dlc03_full_moon_preparations_lunar_eclipse_6	1131	wh_dlc03_payload_prep_moon_replenishment_medium	DURATION[2];GLOBAL
FIRST	wh2_dlc11_cst_dilemma_salvage_supplies	1131977359	wh2_dlc11_payload_dilemma_salvage_supplies_first	DURATION[3]
FIRST	wh2_dlc08_confederate_wh2_main_nor_skeggi	1137231104	TEXT_DISPLAY	LOOKUP[dummy_confederate_wh2_main_nor_skeggi]
FIRST	wh2_main_def_names_of_power_ar_2_caravan	113738938	GIVE_TRAIT	TRAIT_KEY[wh2_main_trait_def_name_of_power_ar_02_the_tempest_of_talons]
FIRST	wh2_dlc09_tmb_dilemma_scaly_sacrifice	1138646493	wh2_dlc09_payload_dilemma_scaly_sacrifice_first	DURATION[10]
THIRD	wh2_main_dilemma_loyalty_positive_def_wrongly_accused	1138899071	CHARACTER_EXPERIENCE	AMOUNT[2000]
FIRST	wh_dlc03_full_moon_preparations_lunar_eclipse_7	1141	wh_dlc03_payload_prep_moon_replenishment_medium	DURATION[2];GLOBAL
SECOND	wh2_main_def_names_of_power_ar_2_caravan	1141033171	GIVE_TRAIT	TRAIT_KEY[wh2_main_trait_def_name_of_power_ar_03_shadowdart]
FIRST	wh2_dlc11_dilemma_neo_encounter_at_sea_3_a	114194128	TEXT_DISPLAY	LOOKUP[dummy_wh2_dlc11_neo_counter_treasure]
SECOND	wh2_main_lzd_charging_in	1142142071	TEXT_DISPLAY	LOOKUP[dummy_do_nothing]
SECOND	wh2_main_dilemma_loyalty_skv_the_skavenblight_question_1	1142863146	TREASURY	AMOUNT[2500]
FIRST	wh_dlc03_full_moon_preparations_lunar_eclipse_8	1145	wh_dlc03_payload_prep_moon_replenishment_medium	DURATION[2];GLOBAL
SECOND	wh2_main_dilemma_loyalty_positive_def_the_dagger	1147590230	CHARACTER_EXPERIENCE	AMOUNT[1500]
FIRST	wh2_main_lzd_which_hero	1151041707	SPAWN_AGENT	AGENT[spy];AP_FACTOR[1.0]
FIRST	wh2_main_dilemma_loyalty_positive_skv_test_of_loyalty	1152045685	LOYALTY	AMOUNT[-3]
FIRST	wh_dlc07_brt_confederation_bretonnia	1154624289	TEXT_DISPLAY	LOOKUP[dummy_chivalry_confederation_cost]
FIRST	wh_dlc03_full_moon_preparations_lunar_eclipse_9	1155	wh_dlc03_payload_prep_moon_replenishment_medium	DURATION[2];GLOBAL
FIRST	wh2_main_def_names_of_power_co_5_hex	1157307118	GIVE_TRAIT	TRAIT_KEY[wh2_main_trait_def_name_of_power_co_08_griefbringer]
FIRST	wh2_main_dilemma_loyalty_positive_skv_shiny_scale_stuff	115768942	ADD_ANCILLARY	ANCILLARY_KEY[wh2_main_anc_armour_chromatic_armour];TARGET_OWNING_FACTION
FIRST	wh_dlc03_full_moon_preparations_lunar_eclipse_10	1162	wh_dlc03_payload_prep_moon_replenishment_medium	DURATION[2];GLOBAL
SECOND	wh2_main_dilemma_loyalty_skv_moulder_and_scurry_2_a	1162263574	LOYALTY	AMOUNT[-1]
SECOND	wh2_main_dilemma_loyalty_skv_what_we_do_in_the_shadows_1	1164127615	LOYALTY	AMOUNT[-1]
FOURTH	wh2_main_hef_intrigue_the_would_be_suitor	1164505447	TREASURY	AMOUNT[-750]
SECOND	wh2_main_hef_intrigue_the_caledor_question	11646295	INFLUENCE	AMOUNT[30]
FOURTH	wh2_main_hef_intrigue_wed_to_etiquette	1165352689	INFLUENCE	AMOUNT[-5]
SECOND	wh2_main_dilemma_loyalty_skv_call_of_the_horned_rat_2_a	1168011735	LOYALTY	AMOUNT[-1]
FIRST	wh_main_grn_get_out_of_da_way	117	TREASURY	AMOUNT[-750]
FIRST	wh_dlc03_full_moon_preparations_lunar_eclipse_11	1171	wh_dlc03_payload_prep_moon_replenishment_medium	DURATION[2];GLOBAL
SECOND	wh2_main_def_names_of_power_ca_2_spoils	1177749244	GIVE_TRAIT	TRAIT_KEY[wh2_main_trait_def_name_of_power_ca_04_the_black_conqueror]
FIRST	wh2_dlc11_cst_dilemma_ancient_treasure	1178765969	DIPLOMATIC_STANDING	AMOUNT[-5]
FIRST	wh_dlc03_full_moon_preparations_lunar_eclipse_12	1179	wh_dlc03_payload_prep_moon_replenishment_medium	DURATION[2];GLOBAL
THIRD	wh2_dlc10_nor_monster_hunt_8_dilemma_reward	1179357137	wh_dlc08_dummy_hound_allegiance	DURATION[0]
FIRST	wh2_main_dilemma_loyalty_def_sunless_seas_1	1179847399	LOYALTY	AMOUNT[1]
SECOND	wh_dlc08_nor_the_dying_skald	118130507	wh_dlc08_payload_the_dying_skald_second	DURATION[15]
FIRST	wh_dlc03_full_moon_preparations_lunar_eclipse_13	1183	wh_dlc03_payload_prep_moon_replenishment_medium	DURATION[2];GLOBAL
FIRST	wh2_dlc08_confederate_wh_dlc08_nor_goromadny_tribe	1183103805	TEXT_DISPLAY	LOOKUP[dummy_confederate_wh_dlc08_nor_goromadny_tribe]
SECOND	wh2_main_dilemma_loyalty_positive_skv_clawback_provision	1186947073	TREASURY	AMOUNT[2000]
SECOND	wh2_main_dilemma_loyalty_positive_def_assassin	1187180847	GIVE_TRAIT	TRAIT_KEY[wh2_main_trait_def_assassins_end]
FIRST	wh_dlc03_full_moon_preparations_lunar_eclipse_14	1188	wh_dlc03_payload_prep_moon_replenishment_medium	DURATION[2];GLOBAL
FIRST	wh_dlc03_full_moon_preparations_lunar_eclipse_15	1194	wh_dlc03_payload_prep_moon_replenishment_medium	DURATION[2];GLOBAL
FIRST	wh2_main_hef_intrigue_you_can_dance	1195622232	INFLUENCE	AMOUNT[-6]
SECOND	wh_dlc08_nor_avalanche	1195745775	TREASURY	AMOUNT[-1500]
FIRST	wh_dlc03_full_moon_preparations_lunar_eclipse_16	1199	wh_dlc03_payload_prep_moon_replenishment_medium	DURATION[2];GLOBAL
FIRST	wh_dlc03_full_moon_preparations_lunar_eclipse_17	1200	wh_dlc03_payload_prep_moon_replenishment_medium	DURATION[2];GLOBAL
SECOND	wh2_main_dilemma_loyalty_positive_def_insurgents	1203009085	CHARACTER_EXPERIENCE	AMOUNT[750]
FIRST	wh2_main_dilemma_loyalty_skv_what_we_do_in_the_shadows_1	1203601863	LOYALTY	AMOUNT[1]
FIRST	wh2_main_hef_intrigue_whispers_of_the_mourning_chorus	1204756498	INFLUENCE	AMOUNT[38]
FIRST	wh_dlc03_full_moon_preparations_lunar_eclipse_18	1205	wh_dlc03_payload_prep_moon_replenishment_medium	DURATION[2];GLOBAL
SECOND	wh2_main_dilemma_loyalty_skv_call_of_the_horned_rat_2_a	1207931225	wh2_main_dilemma_loyalty_skv_call_of_the_horned_rat_2_a_second	DURATION[20]
FIRST	wh_dlc03_full_moon_preparations_lunar_eclipse_19	1209	wh_dlc03_payload_prep_moon_replenishment_medium	DURATION[2];GLOBAL
SECOND	wh2_main_dilemma_loyalty_def_the_purge_1	1211240098	TARGET	EVENT
FOURTH	wh2_dlc08_confederate_wh_main_nor_varg	1213211438	TREASURY	AMOUNT[1000]
SECOND	wh2_main_hef_intrigue_retainer_of_power	1213639336	TREASURY	AMOUNT[-750]
FIRST	wh_dlc03_full_moon_preparations_lunar_eclipse_20	1214	wh_dlc03_payload_prep_moon_replenishment_medium	DURATION[2];GLOBAL
FIRST	wh_dlc03_full_moon_preparations_solar_eclipse_1	1216	wh_dlc03_payload_prep_moon_replenishment_high	DURATION[2];GLOBAL
THIRD	wh_dlc08_nor_monster_hunt_4_dilemma_reward	1216477514	wh_dlc08_dummy_hound_allegiance	DURATION[0]
FIRST	wh2_main_dilemma_loyalty_skv_call_of_the_horned_rat_2_b	1220122583	wh_main_effect_campaign_enable_attrition	DURATION[1]
FIRST	wh_dlc03_full_moon_preparations_solar_eclipse_2	1221	wh_dlc03_payload_prep_moon_replenishment_high	DURATION[2];GLOBAL
SECOND	wh2_main_dilemma_loyalty_positive_def_the_dagger	1221497897	ADD_ANCILLARY	ANCILLARY_KEY[wh2_main_anc_weapon_aventurine_dagger];TARGET_OWNING_FACTION
SECOND	wh2_main_hef_intrigue_life_in_the_lagoon	1222512139	INFLUENCE	AMOUNT[-4]
SECOND	wh2_dlc08_confederate_wh_main_nor_aesling	1223494089	TEXT_DISPLAY	LOOKUP[dummy_enemy_leader_killed]
FIRST	wh2_main_dilemma_loyalty_skv_pestilential_proposition_1	1223917687	TARGET	EVENT
FIRST	wh_dlc03_full_moon_preparations_solar_eclipse_3	1225	wh_dlc03_payload_prep_moon_replenishment_high	DURATION[2];GLOBAL
SECOND	wh_dlc08_nor_monster_hunt_4_dilemma_reward	1226029045	wh_dlc08_dummy_eagle_allegiance	DURATION[0]
THIRD	wh2_main_hef_intrigue_the_folly_of_youth	1228811275	wh2_main_hef_intrigue_the_folly_of_youth_third	DURATION[5]
FIRST	wh_dlc03_full_moon_preparations_solar_eclipse_4	1229	wh_dlc03_payload_prep_moon_replenishment_high	DURATION[2];GLOBAL
FIRST	wh2_main_lzd_skilled_forces	1231985708	wh2_main_lzd_skilled_forces_first	DURATION[5]
SECOND	wh_dlc07_brt_confederation_lyonesse	1233859886	TEXT_DISPLAY	LOOKUP[dummy_confederate_lyonesse]
SECOND	wh2_dlc08_confederate_wh_main_nor_graeling	123579503	TEXT_DISPLAY	LOOKUP[dummy_enemy_leader_killed]
FIRST	wh_dlc03_full_moon_preparations_solar_eclipse_5	1238	wh_dlc03_payload_prep_moon_replenishment_high	DURATION[2];GLOBAL
FIRST	wh2_dlc10_sword_of_khaine_lv1	1238878209	TEXT_DISPLAY	LOOKUP[dummy_sword_will_be_strong]
FIRST	wh_main_grn_get_out_of_da_way	124	wh_main_payload_morale_all	DURATION[3]
FIRST	wh_dlc03_full_moon_preparations_solar_eclipse_6	1244	wh_dlc03_payload_prep_moon_replenishment_high	DURATION[2];GLOBAL
SECOND	wh2_dlc09_tmb_dilemma_crumbling_buildings	1244030573	TARGET	EVENT
SECOND	wh2_dlc10_sword_of_khaine_lv2	1244871086	TEXT_DISPLAY	LOOKUP[dummy_sword_will_be_lost]
FIRST	wh2_main_dilemma_loyalty_skv_skavenslave_revolt_1	1249519091	TARGET	EVENT
FIRST	wh2_dlc10_nor_monster_hunt_9_dilemma_reward	1250763662	wh_dlc08_dummy_crow_allegiance	DURATION[0]
FIRST	wh2_main_def_names_of_power_ca_4_sorceress	1250887023	GIVE_TRAIT	TRAIT_KEY[wh2_main_trait_def_name_of_power_ca_06_emeraldeye]
FIRST	wh2_dlc09_tmb_dilemma_eternal_servitude	1252554096	wh2_dlc09_payload_dilemma_eternal_servitude_first	DURATION[10]
FIRST	wh_dlc03_full_moon_preparations_solar_eclipse_7	1253	wh_dlc03_payload_prep_moon_replenishment_high	DURATION[2];GLOBAL
SECOND	wh2_dlc08_confederate_wh_main_nor_skaeling	1253373329	DIPLOMATIC_STANDING	AMOUNT[-3]
FIRST	wh_dlc03_full_moon_preparations_solar_eclipse_8	1259	wh_dlc03_payload_prep_moon_replenishment_high	DURATION[2];GLOBAL
FIRST	wh2_dlc10_sword_of_khaine_pick_or_not	1259496701	TEXT_DISPLAY	LOOKUP[dummy_sword_will_be_picked]
SECOND	wh2_main_dilemma_loyalty_positive_def_the_alchemist	126290222	TREASURY	AMOUNT[2500]
FIRST	wh_dlc03_full_moon_preparations_solar_eclipse_9	1263	wh_dlc03_payload_prep_moon_replenishment_high	DURATION[2];GLOBAL
THIRD	wh_dlc07_brt_confederation_artois	1263097747	TEXT_DISPLAY	LOOKUP[dummy_chivalry_increase]
THIRD	wh2_main_hef_intrigue_signed_sealed_delivered	1266369473	wh2_main_hef_intrigue_signed_sealed_delivered_third	DURATION[5]
FOURTH	wh2_main_hef_intrigue_wed_to_etiquette	1268624789	wh2_main_payload_public_order_positive_all_province_factionwide	DURATION[5]
FIRST	wh2_main_dilemma_loyalty_skv_moulder_and_scurry_2_a	1268826261	TREASURY	AMOUNT[-2500]
SECOND	wh2_main_dilemma_loyalty_positive_def_the_traitors	1269459808	TREASURY	AMOUNT[2500]
FIRST	wh2_dlc08_confederate_wh_main_nor_sarl	1270903561	TEXT_DISPLAY	LOOKUP[dummy_confederate_wh_main_nor_sarl]
FIRST	wh_dlc03_full_moon_preparations_solar_eclipse_10	1272	wh_dlc03_payload_prep_moon_replenishment_high	DURATION[2];GLOBAL
FIRST	wh2_main_def_names_of_power_ca_6_captive	1272339133	GIVE_TRAIT	TRAIT_KEY[wh2_main_trait_def_name_of_power_ca_10_the_dire_overseer]
FIRST	wh2_main_dilemma_loyalty_skv_shades_of_grey_2_a	1273015329	LOYALTY	AMOUNT[1]
FIRST	wh_dlc03_full_moon_preparations_solar_eclipse_11	1274	wh_dlc03_payload_prep_moon_replenishment_high	DURATION[2];GLOBAL
SECOND	wh2_main_dilemma_loyalty_positive_skv_so_so_pretty	1274576758	TREASURY	AMOUNT[1500]
SECOND	wh2_main_lzd_which_hero	1275144496	SPAWN_AGENT	AGENT[wizard];AP_FACTOR[1.0]
FIRST	wh2_main_dilemma_loyalty_skv_the_skavenblight_question_2_b	1275794606	TREASURY	AMOUNT[-2500]
FIRST	wh2_main_def_names_of_power_ar_4_beast	1277752007	GIVE_TRAIT	TRAIT_KEY[wh2_main_trait_def_name_of_power_ar_05_beastbinder]
SECOND	wh2_main_dilemma_loyalty_positive_def_a_tribute	1278232169	LOYALTY	AMOUNT[-5]
FOURTH	wh2_main_hef_intrigue_you_can_dance	1278317281	wh2_main_payload_public_order_positive_all_province_factionwide	DURATION[5]
FIRST	wh_dlc03_full_moon_preparations_solar_eclipse_12	1282	wh_dlc03_payload_prep_moon_replenishment_high	DURATION[2];GLOBAL
FIRST	wh_dlc08_nor_surfeit_of_loot	1282815910	wh_dlc08_payload_surfeit_of_loot_first	DURATION[10]
SECOND	wh2_main_dilemma_loyalty_skv_shades_of_grey_2_a	1285845019	LOYALTY	AMOUNT[-1]
FIRST	wh_dlc03_full_moon_preparations_solar_eclipse_13	1287	wh_dlc03_payload_prep_moon_replenishment_high	DURATION[2];GLOBAL
SECOND	wh2_main_dilemma_loyalty_def_dark_crag_1	1287850189	LOYALTY	AMOUNT[-1]
FIRST	wh_dlc03_full_moon_preparations_solar_eclipse_14	1294	wh_dlc03_payload_prep_moon_replenishment_high	DURATION[2];GLOBAL
SECOND	wh2_main_dilemma_loyalty_skv_moulder_and_scurry_1	1296533276	LOYALTY	AMOUNT[-1]
THIRD	wh2_dlc09_agent_choice	1298304908	wh2_dlc09_payload_increase_cap_liche_priest_hero	DURATION[0];GLOBAL
THIRD	wh2_main_hef_intrigue_court_of_the_sea	1300451721	INFLUENCE	AMOUNT[20]
THIRD	wh2_dlc08_confederate_wh_main_nor_baersonling	1301415119	DIPLOMATIC_STANDING	AMOUNT[3]
THIRD	wh2_main_dilemma_loyalty_positive_skv_dust_it_off	1301490723	wh2_main_dilemma_loyalty_positive_skv_dust_it_off_3	DURATION[10]
FIRST	wh_dlc03_full_moon_preparations_solar_eclipse_15	1303	wh_dlc03_payload_prep_moon_replenishment_high	DURATION[2];GLOBAL
SECOND	wh2_main_dilemma_loyalty_positive_skv_shiny_scale_stuff	1304179913	CHARACTER_EXPERIENCE	AMOUNT[750]
FIRST	wh2_main_hef_intrigue_the_folly_of_youth	1308801720	INFLUENCE	AMOUNT[-8]
SECOND	wh_main_grn_get_out_of_da_way	131	wh_main_payload_event_get_out_of_da_way_second	DURATION[3]
FIRST	wh_dlc03_full_moon_preparations_solar_eclipse_16	1312	wh_dlc03_payload_prep_moon_replenishment_high	DURATION[2];GLOBAL
FOURTH	wh2_dlc09_great_vortex_skv_tretch_lucky_skullhelm_stage_3	1312756617	GIVE_TRAIT	TRAIT_KEY[wh2_dlc09_trait_spymaster]
FIRST	wh_dlc07_brt_confederation_carcassonne	1313194091	TEXT_DISPLAY	LOOKUP[dummy_chivalry_confederation_cost]
SECOND	wh2_main_dilemma_loyalty_def_all_along_the_watch_towers_1	131373581	LOYALTY	AMOUNT[-1]
FIRST	wh_dlc03_full_moon_preparations_solar_eclipse_17	1321	wh_dlc03_payload_prep_moon_replenishment_high	DURATION[2];GLOBAL
FIRST	wh2_dlc11_cst_dilemma_ancient_treasure	1322115305	TARGET	EVENT
FIRST	wh2_main_dilemma_loyalty_positive_def_the_dagger	1323537613	TREASURY	AMOUNT[-3000]
SECOND	wh2_main_dilemma_loyalty_skv_call_of_the_horned_rat_2_b	1324459697	wh2_main_dilemma_loyalty_skv_call_of_the_horned_rat_2_b_second	DURATION[20]
SECOND	wh2_main_lzd_one_shot	1324950866	TEXT_DISPLAY	LOOKUP[dummy_do_nothing]
SECOND	wh2_dlc09_tmb_dilemma_scaly_sacrifice	1325495002	wh2_dlc09_payload_dilemma_scaly_sacrifice_second	DURATION[10]
FIRST	wh_dlc03_full_moon_preparations_solar_eclipse_18	1326	wh_dlc03_payload_prep_moon_replenishment_high	DURATION[2];GLOBAL
