banners_tables	1
wh_dlc07_anc_magic_standard_banner_of_defence	wh_dlc07_bundle_anc_magic_standard_banner_of_defence
wh_dlc07_anc_magic_standard_errantry_banner	wh_dlc07_bundle_anc_magic_standard_errantry_banner
wh_dlc07_anc_magic_standard_twilight_banner	wh_dlc07_bundle_anc_magic_standard_twilight_banner
wh_dlc07_anc_magic_standard_valorous_standard	wh_dlc07_bundle_anc_magic_standard_valorous_standard
wh_dlc08_anc_magic_standard_ancient_mammoth_cub	wh_dlc08_anc_magic_standard_ancient_mammoth_cub
wh_dlc08_anc_magic_standard_banner_of_wolfclaw	wh_dlc08_anc_magic_standard_banner_of_wolfclaw
wh_dlc08_anc_magic_standard_black_iron_reavers	wh_dlc08_anc_magic_standard_black_iron_reavers
wh_dlc08_anc_magic_standard_crimson_reapers	wh_dlc08_anc_magic_standard_crimson_reapers
wh_dlc08_anc_magic_standard_drake_hunters	wh_dlc08_anc_magic_standard_drake_hunters
wh_dlc08_banner_anc_magic_standard_dragon_ogre_horn	wh_dlc08_banner_anc_magic_standard_dragon_ogre_horn
wh_dlc08_banner_anc_magic_standard_mammoth_teeth	wh_dlc08_banner_anc_magic_standard_mammoth_teeth
wh_main_banner_magic_standard_banner_of_eternal_flame	wh_main_bundle_anc_magic_standard_banner_of_eternal_flame
wh_main_banner_magic_standard_banner_of_lost_holds	wh_main_bundle_anc_magic_standard_banner_of_lost_holds
wh_main_banner_magic_standard_banner_of_rage	wh_main_bundle_anc_magic_standard_banner_of_rage
wh_main_banner_magic_standard_banner_of_swiftness	wh_main_bundle_anc_magic_standard_banner_of_swiftness
wh_main_banner_magic_standard_banner_of_the_barrows	wh_main_bundle_anc_magic_standard_banner_of_the_barrows
wh_main_banner_magic_standard_blasted_standard	wh_main_bundle_anc_magic_standard_blasted_standard
wh_main_banner_magic_standard_da_immortulz	wh_main_bundle_anc_magic_standard_da_immortulz
wh_main_banner_magic_standard_gleaming_pennant	wh_main_bundle_anc_magic_standard_gleaming_pennant
wh_main_banner_magic_standard_griffon_banner	wh_main_bundle_anc_magic_standard_griffon_banner
wh_main_banner_magic_standard_lichbone_pennant	wh_main_bundle_anc_magic_standard_lichbone_pennant
wh_main_banner_magic_standard_morks_war_banner	wh_main_bundle_anc_magic_standard_morks_war_banner
wh_main_banner_magic_standard_rampagers_standard	wh_main_bundle_anc_magic_standard_rampagers_standard
wh_main_banner_magic_standard_rangers_standard	wh_main_bundle_anc_magic_standard_rangers_standard
wh_main_banner_magic_standard_razor_standard	wh_main_bundle_anc_magic_standard_razor_standard
wh_main_banner_magic_standard_scarecrow_banner	wh_main_bundle_anc_magic_standard_scarecrow_banner
wh_main_banner_magic_standard_spider_banner	wh_main_bundle_anc_magic_standard_spider_banner
wh_main_banner_magic_standard_standard_of_discipline	wh_main_bundle_anc_magic_standard_standard_of_discipline
wh_main_banner_magic_standard_steel_standard	wh_main_bundle_anc_magic_standard_steel_standard
wh_main_banner_magic_standard_the_bad_moon_banner	wh_main_bundle_anc_magic_standard_the_bad_moon_banner
wh_main_banner_magic_standard_the_screaming_banner	wh_main_bundle_anc_magic_standard_the_screaming_banner
wh_main_banner_magic_standard_wailing_banner	wh_main_bundle_anc_magic_standard_wailing_banner
wh_main_banner_magic_standard_war_banner	wh_main_bundle_anc_magic_standard_war_banner
wh_main_banner_mark_of_chaos_mark_of_khorne	wh_main_bundle_anc_mark_of_chaos_mark_of_khorne
wh_main_banner_mark_of_chaos_mark_of_nurgle	wh_main_bundle_anc_mark_of_chaos_mark_of_nurgle
wh_main_banner_mark_of_chaos_mark_of_slaanesh	wh_main_bundle_anc_mark_of_chaos_mark_of_slaanesh
wh_main_banner_mark_of_chaos_mark_of_tzeentch	wh_main_bundle_anc_mark_of_chaos_mark_of_tzeentch
wh_main_banner_rune_ancestor_rune	wh_main_bundle_anc_rune_ancestor_rune
wh_main_banner_rune_master_rune_of_battle	wh_main_bundle_anc_rune_master_rune_of_battle
wh_main_banner_rune_master_rune_of_courage	wh_main_bundle_anc_rune_master_rune_of_courage
wh_main_banner_rune_master_rune_of_groth_one-eye	wh_main_bundle_anc_rune_master_rune_of_groth_one-eye
wh_main_banner_rune_master_rune_of_grungni	wh_main_bundle_anc_rune_master_rune_of_grungni
wh_main_banner_rune_master_rune_of_sanctuary	wh_main_bundle_anc_rune_master_rune_of_sanctuary
wh_main_banner_rune_master_rune_of_slowness	wh_main_bundle_anc_rune_master_rune_of_slowness
wh_main_banner_rune_master_rune_of_stoicism	wh_main_bundle_anc_rune_master_rune_of_stoicism
wh_main_banner_rune_master_rune_of_stromni_redbeard	wh_main_bundle_anc_rune_master_rune_of_stromni_redbeard
wh_main_banner_rune_master_rune_of_valaya	wh_main_bundle_anc_rune_master_rune_of_valaya
wh_main_banner_rune_strollaz_rune	wh_main_bundle_anc_rune_strollaz_rune
