settlement_abandoment_buildings_tables	0
wh_main_sch_settlement_major_coast_norscaruin_slaanesh	wh_dlc08_raze_option_slaanesh
wh_main_sch_settlement_major_coast_norscaruin_tzeentch	wh_dlc08_raze_option_tzeentch
wh_main_sch_settlement_major_norscaruin_khorne	wh_dlc08_raze_option_khorne
wh_main_sch_settlement_major_norscaruin_nurgle	wh_dlc08_raze_option_nurgle
wh_main_sch_settlement_major_norscaruin_slaanesh	wh_dlc08_raze_option_slaanesh
wh_main_sch_settlement_major_norscaruin_tzeentch	wh_dlc08_raze_option_tzeentch
wh_main_sch_settlement_minor_coast_norscaruin_khorne	wh_dlc08_raze_option_khorne
wh_main_sch_settlement_minor_coast_norscaruin_nurgle	wh_dlc08_raze_option_nurgle
wh_main_sch_settlement_minor_coast_norscaruin_slaanesh	wh_dlc08_raze_option_slaanesh
wh_main_sch_settlement_minor_coast_norscaruin_tzeentch	wh_dlc08_raze_option_tzeentch
wh_main_sch_settlement_minor_norscaruin_khorne	wh_dlc08_raze_option_khorne
wh_main_sch_settlement_minor_norscaruin_nurgle	wh_dlc08_raze_option_nurgle
wh_main_sch_settlement_minor_norscaruin_slaanesh	wh_dlc08_raze_option_slaanesh
wh_main_sch_settlement_minor_norscaruin_tzeentch	wh_dlc08_raze_option_tzeentch
wh_main_sch_special_settlement_altdorf_norscaruin_khorne	wh_dlc08_raze_option_khorne
wh_main_sch_special_settlement_altdorf_norscaruin_nurgle	wh_dlc08_raze_option_nurgle
wh_main_sch_special_settlement_altdorf_norscaruin_slaanesh	wh_dlc08_raze_option_slaanesh
wh_main_sch_special_settlement_altdorf_norscaruin_tzeentch	wh_dlc08_raze_option_tzeentch
wh_main_sch_special_settlement_black_crag_norscaruin_khorne	wh_dlc08_raze_option_khorne
wh_main_sch_special_settlement_black_crag_norscaruin_nurgle	wh_dlc08_raze_option_nurgle
wh_main_sch_special_settlement_black_crag_norscaruin_slaanesh	wh_dlc08_raze_option_slaanesh
wh_main_sch_special_settlement_black_crag_norscaruin_tzeentch	wh_dlc08_raze_option_tzeentch
wh_main_sch_special_settlement_castle_drakenhof_norscaruin_khorne	wh_dlc08_raze_option_khorne
wh_main_sch_special_settlement_castle_drakenhof_norscaruin_nurgle	wh_dlc08_raze_option_nurgle
wh_main_sch_special_settlement_castle_drakenhof_norscaruin_slaanesh	wh_dlc08_raze_option_slaanesh
wh_main_sch_special_settlement_castle_drakenhof_norscaruin_tzeentch	wh_dlc08_raze_option_tzeentch
wh_main_sch_special_settlement_couronne_norscaruin_khorne	wh_dlc08_raze_option_khorne
wh_main_sch_special_settlement_couronne_norscaruin_nurgle	wh_dlc08_raze_option_nurgle
wh_main_sch_special_settlement_couronne_norscaruin_slaanesh	wh_dlc08_raze_option_slaanesh
wh_main_sch_special_settlement_couronne_norscaruin_tzeentch	wh_dlc08_raze_option_tzeentch
wh_main_sch_special_settlement_eight_peaks_norscaruin_khorne	wh_dlc08_raze_option_khorne
wh_main_sch_special_settlement_eight_peaks_norscaruin_nurgle	wh_dlc08_raze_option_nurgle
wh_main_sch_special_settlement_eight_peaks_norscaruin_slaanesh	wh_dlc08_raze_option_slaanesh
wh_main_sch_special_settlement_eight_peaks_norscaruin_tzeentch	wh_dlc08_raze_option_tzeentch
wh_main_sch_special_settlement_karaz_a_karak_norscaruin_khorne	wh_dlc08_raze_option_khorne
wh_main_sch_special_settlement_karaz_a_karak_norscaruin_nurgle	wh_dlc08_raze_option_nurgle
wh_main_sch_special_settlement_karaz_a_karak_norscaruin_slaanesh	wh_dlc08_raze_option_slaanesh
wh_main_sch_special_settlement_karaz_a_karak_norscaruin_tzeentch	wh_dlc08_raze_option_tzeentch
wh_main_sch_special_settlement_kislev_norscaruin_khorne	wh_dlc08_raze_option_khorne
wh_main_sch_special_settlement_kislev_norscaruin_nurgle	wh_dlc08_raze_option_nurgle
wh_main_sch_special_settlement_kislev_norscaruin_slaanesh	wh_dlc08_raze_option_slaanesh
wh_main_sch_special_settlement_kislev_norscaruin_tzeentch	wh_dlc08_raze_option_tzeentch
wh_main_sch_special_settlement_miragliano_norscaruin_khorne	wh_dlc08_raze_option_khorne
wh_main_sch_special_settlement_miragliano_norscaruin_nurgle	wh_dlc08_raze_option_nurgle
wh_main_sch_special_settlement_miragliano_norscaruin_slaanesh	wh_dlc08_raze_option_slaanesh
wh_main_sch_special_settlement_miragliano_norscaruin_tzeentch	wh_dlc08_raze_option_tzeentch
wh_main_special_settlement_altdorf_chaosruin	wh_settlement_abandonment_chaos
wh_main_special_settlement_black_crag_chaosruin	wh_settlement_abandonment_chaos
wh_main_special_settlement_castle_drakenhof_chaosruin	wh_settlement_abandonment_chaos
wh_main_special_settlement_couronne_chaosruin	wh_settlement_abandonment_chaos
wh_main_special_settlement_eight_peaks_chaosruin	wh_settlement_abandonment_chaos
wh_main_special_settlement_karaz_a_karak_chaosruin	wh_settlement_abandonment_chaos
wh_main_special_settlement_kislev_chaosruin	wh_settlement_abandonment_chaos
wh_main_special_settlement_miragliano_chaosruin	wh_settlement_abandonment_chaos
wh_main_wef_settlement_major_coast_norscaruin_khorne	wh_dlc08_raze_option_khorne
wh_main_wef_settlement_major_coast_norscaruin_nurgle	wh_dlc08_raze_option_nurgle
wh_main_wef_settlement_major_coast_norscaruin_slaanesh	wh_dlc08_raze_option_slaanesh
wh_main_wef_settlement_major_coast_norscaruin_tzeentch	wh_dlc08_raze_option_tzeentch
wh_main_wef_settlement_major_main_norscaruin_khorne	wh_dlc08_raze_option_khorne
wh_main_wef_settlement_major_main_norscaruin_nurgle	wh_dlc08_raze_option_nurgle
wh_main_wef_settlement_major_main_norscaruin_slaanesh	wh_dlc08_raze_option_slaanesh
wh_main_wef_settlement_major_main_norscaruin_tzeentch	wh_dlc08_raze_option_tzeentch
wh_main_wef_settlement_major_norscaruin_khorne	wh_dlc08_raze_option_khorne
wh_main_wef_settlement_major_norscaruin_nurgle	wh_dlc08_raze_option_nurgle
wh_main_wef_settlement_major_norscaruin_slaanesh	wh_dlc08_raze_option_slaanesh
wh_main_wef_settlement_major_norscaruin_tzeentch	wh_dlc08_raze_option_tzeentch
wh_main_wef_settlement_minor_coast_norscaruin_khorne	wh_dlc08_raze_option_khorne
wh_main_wef_settlement_minor_coast_norscaruin_nurgle	wh_dlc08_raze_option_nurgle
wh_main_wef_settlement_minor_coast_norscaruin_slaanesh	wh_dlc08_raze_option_slaanesh
wh_main_wef_settlement_minor_coast_norscaruin_tzeentch	wh_dlc08_raze_option_tzeentch
wh_main_wef_settlement_minor_norscaruin_khorne	wh_dlc08_raze_option_khorne
wh_main_wef_settlement_minor_norscaruin_nurgle	wh_dlc08_raze_option_nurgle
wh_main_wef_settlement_minor_norscaruin_slaanesh	wh_dlc08_raze_option_slaanesh
wh_main_wef_settlement_minor_norscaruin_tzeentch	wh_dlc08_raze_option_tzeentch
