achievements_tables	4
WH2_ACHIEVEMENTS_WINNING_HIGHELF_2		
WH2_ACHIEVEMENTS_WINNING_LEGENDARY		
WH2_ACHIEVEMENTS_WINNING_LIZARD_1		
WH2_ACHIEVEMENTS_WINNING_LIZARD_2		
WH2_ACHIEVEMENTS_WINNING_SKAVEN_1		
WH2_ACHIEVEMENTS_WINNING_SKAVEN_2		
WH2_ACHIEVEMENT_CHARACTERS_ANCILLARIES_MOUNTS_1		
WH2_ACHIEVEMENT_CHARACTERS_ANCILLARIES_MOUNTS_2		
WH2_ACHIEVEMENT_CHARACTERS_ANCILLARIES_TRINKETS_1		
WH2_ACHIEVEMENT_CHARACTERS_ANCILLARIES_TRINKETS_2		
WH2_ACHIEVEMENT_CHARACTERS_ANCILLARIES_TRINKETS_3		
WH2_ACHIEVEMENT_CHARACTERS_ANCILLARIES_WEAPONS_1		
WH2_ACHIEVEMENT_CHARACTERS_ANCILLARIES_WEAPONS_2		
WH2_ACHIEVEMENT_CHARACTERS_ANCILLARIES_WEAPONS_3		
WH2_ACHIEVEMENT_CHARACTERS_HERO_LEVEL_1		
WH2_ACHIEVEMENT_CHARACTERS_HERO_LEVEL_2		
WH2_ACHIEVEMENT_CHARACTERS_HERO_LEVEL_3		
WH2_ACHIEVEMENT_CHARACTERS_LORD_LEVEL_1		
WH2_ACHIEVEMENT_CHARACTERS_LORD_LEVEL_2		
WH2_ACHIEVEMENT_CHARACTERS_LORD_LEVEL_3		
WH2_ACHIEVEMENT_COAST_BUILDINGS_HARKONS_MIND		
WH2_ACHIEVEMENT_COAST_BUILDINGS_HELDENHAMMER		
WH2_ACHIEVEMENT_COAST_BUILDINGS_PERFORM_LOTHERN		
WH2_ACHIEVEMENT_COAST_BUILDINGS_PIRATE_COVE		
WH2_ACHIEVEMENT_COAST_GAIN_INFAMY		
WH2_ACHIEVEMENT_COAST_PIECES_OF_EIGHT_1		
WH2_ACHIEVEMENT_COAST_PIECES_OF_EIGHT_ALL		
WH2_ACHIEVEMENT_COAST_TREASURE_HUNT_COMPLETE		
WH2_ACHIEVEMENT_COAST_UNIT_QUEEN_BESS		
WH2_ACHIEVEMENT_COAST_UNIT_SARTOSA_FREE_COMPANY		
WH2_ACHIEVEMENT_COAST_WINNING_1		
WH2_ACHIEVEMENT_COAST_WINNING_2		
WH2_ACHIEVEMENT_CONQUEST_OCCUPY_FORESTS_2		
WH2_ACHIEVEMENT_CONQUEST_OCCUPY_RAZE_HEXOATL_LZD		
WH2_ACHIEVEMENT_CONQUEST_OCCUPY_RAZE_LOTHERN_DEF		
WH2_ACHIEVEMENT_CONQUEST_OCCUPY_RAZE_NAGGAROND_HEF		
WH2_ACHIEVEMENT_CONQUEST_OCCUPY_SARTOSA		
WH2_ACHIEVEMENT_CONQUEST_OCCUPY_VAMPIRE_COAST		
WH2_ACHIEVEMENT_CONQUEST_OCCUPY_VAULS_ANVIL_2		
WH2_ACHIEVEMENT_CONQUEST_OCCUPY_VOLCANOES		
WH2_ACHIEVEMENT_CONQUEST_RAZE_SETTLEMENTS_1		
WH2_ACHIEVEMENT_CONQUEST_RAZE_SETTLEMENTS_30		
WH2_ACHIEVEMENT_CONSTRUCTION_BLACK_ARK_5		
WH2_ACHIEVEMENT_CONSTRUCTION_BREEDING_PITS_13		
WH2_ACHIEVEMENT_CONSTRUCTION_CHAMBER_OF_VISIONS		
WH2_ACHIEVEMENT_CONSTRUCTION_CONVENT_OF_SORCERY		
WH2_ACHIEVEMENT_CONSTRUCTION_EMBASSY_5		
WH2_ACHIEVEMENT_CONSTRUCTION_GEOMANTIC_NEXUS_10		
WH2_ACHIEVEMENT_CONSTRUCTION_GEOMANTIC_NEXUS_2		
WH2_ACHIEVEMENT_CONSTRUCTION_HAG_GRAEF_MINES		
WH2_ACHIEVEMENT_CONSTRUCTION_HEF_COLONY_3		
WH2_ACHIEVEMENT_CONSTRUCTION_HORNED_RAT_TEMPLE_3		
WH2_ACHIEVEMENT_CONSTRUCTION_LOTHERN_PORT		
WH2_ACHIEVEMENT_CONSTRUCTION_LZD_SCRYING_POOL_3		
WH2_ACHIEVEMENT_CONSTRUCTION_PYRAMID_OF_NAGASH		
WH2_ACHIEVEMENT_CONSTRUCTION_QUINTEX		
WH2_ACHIEVEMENT_CONSTRUCTION_SCRAPYARDS_13		
WH2_ACHIEVEMENT_CONSTRUCTION_SLAVE_MARKET_10		
WH2_ACHIEVEMENT_CONSTRUCTION_SLAVE_MARKET_3		
WH2_ACHIEVEMENT_CONSTRUCTION_STELLAR_PYRAMIDS		
WH2_ACHIEVEMENT_CONSTRUCTION_TIRANOC		
WH2_ACHIEVEMENT_CONSTRUCTION_TOR_ANLEC		
WH2_ACHIEVEMENT_CONSTRUCTION_TOWER_OF_HOETH		
WH2_ACHIEVEMENT_CONSTRUCTION_VAULTS_OF_THE_OLD_ONES		
WH2_ACHIEVEMENT_CONSTRUCTION_WITCH_KING_CITADEL		
WH2_ACHIEVEMENT_DIPLOMACY_CONCURRENT_ALLIANCES_2		
WH2_ACHIEVEMENT_DIPLOMACY_CONCURRENT_ALLIANCES_3		
WH2_ACHIEVEMENT_DIPLOMACY_CONCURRENT_TRADE_AGREEMENTS_2		
WH2_ACHIEVEMENT_DIPLOMACY_CONCURRENT_TRADE_AGREEMENTS_3		
WH2_ACHIEVEMENT_ECONOMY_INCOME_GROSS_1		
WH2_ACHIEVEMENT_ECONOMY_INCOME_GROSS_2		
WH2_ACHIEVEMENT_ECONOMY_INCOME_GROSS_3		
WH2_ACHIEVEMENT_ECONOMY_RESOURCE_ACCESS_1		
WH2_ACHIEVEMENT_ECONOMY_RESOURCE_ACCESS_2		
WH2_ACHIEVEMENT_ECONOMY_RESOURCE_ACCESS_3		
WH2_ACHIEVEMENT_TOMB_CONQUEST_OCCUPY_BLACK_PYRAMID		tomb_kings_owners
WH2_ACHIEVEMENT_TOMB_CONSTRUCTION_TOWER_OF_ARKHAN		tomb_kings_owners
WH2_ACHIEVEMENT_TOMB_CRAFT_ALL		tomb_kings_owners
WH2_ACHIEVEMENT_TOMB_KILL_VAMPS_1000		tomb_kings_owners
WH2_ACHIEVEMENT_TOMB_REGIONS_CAPTURE_NEHEKHARA		tomb_kings_owners
WH2_ACHIEVEMENT_TOMB_RESOURCE_BOOK_COLLECTED_1		tomb_kings_owners
WH2_ACHIEVEMENT_TOMB_RESOURCE_CANOPIC_JARS_1000		tomb_kings_owners
WH2_ACHIEVEMENT_TOMB_RESOURCE_CRAFT_ITEM_1		tomb_kings_owners
WH2_ACHIEVEMENT_TOMB_UNITS_CASKET_1		tomb_kings_owners
WH2_ACHIEVEMENT_TOMB_UNITS_CRYPTGHOUL_5		tomb_kings_owners
WH2_ACHIEVEMENT_TOMB_UNITS_LICHEPRIEST_3		tomb_kings_owners
WH2_ACHIEVEMENT_TOMB_UNITS_NECROPOLISKNIGHTS_3		tomb_kings_owners
WH2_ACHIEVEMENT_TOMB_UNITS_TOMBGUARD_5		tomb_kings_owners
WH2_ACHIEVEMENT_TOMB_WINNING_1		tomb_kings_owners
WH2_ACHIEVEMENT_TOMB_WINNING_2		tomb_kings_owners
