character_experience_skill_tiers_tables	2
agent_key	experience_threshold	skill_points	skill_rank	optional_campaign_key	for_army	for_navy
spy	32210	1	21		false	false
spy	33830	1	22		false	false
spy	35460	1	23		false	false
spy	37100	1	24		false	false
spy	38740	1	25		false	false
spy	40390	1	26		false	false
spy	42050	1	27		false	false
spy	43710	1	28		false	false
spy	45380	1	29		false	false
spy	3000	1	2		false	false
spy	47060	1	30		false	false
spy	48740	1	31		false	false
spy	50430	1	32		false	false
spy	52130	1	33		false	false
spy	53830	1	34		false	false
spy	55540	1	35		false	false
spy	57260	1	36		false	false
spy	58990	1	37		false	false
spy	60730	1	38		false	false
spy	4200	1	3		false	false
spy	5500	1	4		false	false
spy	6890	1	5		false	false
spy	8370	1	6		false	false
spy	9940	1	7		false	false
spy	11510	1	8		false	false
spy	13080	1	9		false	false
wizard	900	1	0		false	false
wizard	14660	1	10		false	false
wizard	16240	1	11		false	false
wizard	17820	1	12		false	false
wizard	19400	1	13		false	false
wizard	20990	1	14		false	false
wizard	22580	1	15		false	false
wizard	24170	1	16		false	false
wizard	25770	1	17		false	false
wizard	27370	1	18		false	false
wizard	28980	1	19		false	false
wizard	1900	1	1		false	false
wizard	30590	1	20		false	false
wizard	32210	1	21		false	false
wizard	33830	1	22		false	false
wizard	35460	1	23		false	false
wizard	37100	1	24		false	false
wizard	38740	1	25		false	false
wizard	40390	1	26		false	false
wizard	42050	1	27		false	false
wizard	43710	1	28		false	false
wizard	45380	1	29		false	false
wizard	3000	1	2		false	false
wizard	47060	1	30		false	false
wizard	48740	1	31		false	false
wizard	50430	1	32		false	false
wizard	52130	1	33		false	false
wizard	53830	1	34		false	false
wizard	55540	1	35		false	false
wizard	57260	1	36		false	false
wizard	58990	1	37		false	false
wizard	60730	1	38		false	false
wizard	4200	1	3		false	false
wizard	5500	1	4		false	false
wizard	6890	1	5		false	false
wizard	8370	1	6		false	false
wizard	9940	1	7		false	false
wizard	11510	1	8		false	false
wizard	13080	1	9		false	false
