units_to_exclusive_faction_permissions_tables	0
wh2_dlc10_hef_inf_the_silverpelts_ror_0	wh2_main_hef_nagarythe	true
wh2_dlc10_hef_inf_the_storm_riders_ror_0	wh2_main_hef_avelorn	true
wh2_dlc10_hef_inf_the_storm_riders_ror_0	wh2_main_hef_eataine	true
wh2_dlc10_hef_inf_the_storm_riders_ror_0	wh2_main_hef_nagarythe	true
wh_dlc04_emp_art_hammer_of_the_witches_0	wh_main_emp_empire	true
wh_dlc04_emp_art_sunmaker_0	wh_main_emp_empire	true
wh_dlc04_emp_cav_royal_altdorf_gryphites_0	wh_main_emp_empire	true
wh_dlc04_emp_cav_zintlers_reiksguard_0	wh_main_emp_empire	true
wh_dlc04_emp_inf_sigmars_sons_0	wh_main_emp_empire	true
wh_dlc04_emp_inf_silver_bullets_0	wh_main_emp_empire	true
wh_dlc04_emp_inf_stirlands_revenge_0	wh_main_emp_empire	true
wh_dlc04_emp_inf_tattersouls_0	wh_main_emp_empire	true
wh_dlc04_emp_veh_templehof_luminark_0	wh_main_emp_empire	true
wh_dlc04_vmp_cav_chillgheists_0	wh_main_vmp_vampire_counts	true
wh_dlc04_vmp_cav_vereks_reavers_0	wh_main_vmp_vampire_counts	true
wh_dlc04_vmp_inf_feasters_in_the_dusk_0	wh_main_vmp_vampire_counts	true
wh_dlc04_vmp_inf_konigstein_stalkers_0	wh_main_vmp_vampire_counts	true
wh_dlc04_vmp_inf_sternsmen_0	wh_main_vmp_vampire_counts	true
wh_dlc04_vmp_inf_tithe_0	wh_main_vmp_vampire_counts	true
wh_dlc04_vmp_mon_devils_swartzhafen_0	wh_main_vmp_vampire_counts	true
wh_dlc04_vmp_mon_direpack_0	wh_main_vmp_vampire_counts	true
wh_dlc04_vmp_veh_claw_of_nagash_0	wh_main_vmp_vampire_counts	true
wh_dlc06_dwf_art_gob_lobber_0	wh_main_dwf_dwarfs	true
wh_dlc06_dwf_art_gob_lobber_0	wh_main_dwf_karak_izor	true
wh_dlc06_dwf_art_gob_lobber_0	wh_main_dwf_karak_kadrin	true
wh_dlc06_dwf_inf_dragonback_slayers_0	wh_main_dwf_dwarfs	true
wh_dlc06_dwf_inf_dragonback_slayers_0	wh_main_dwf_karak_izor	true
wh_dlc06_dwf_inf_dragonback_slayers_0	wh_main_dwf_karak_kadrin	true
wh_dlc06_dwf_inf_ekrund_miners_0	wh_main_dwf_dwarfs	true
wh_dlc06_dwf_inf_ekrund_miners_0	wh_main_dwf_karak_izor	true
wh_dlc06_dwf_inf_ekrund_miners_0	wh_main_dwf_karak_kadrin	true
wh_dlc06_dwf_inf_norgrimlings_ironbreakers_0	wh_main_dwf_dwarfs	true
wh_dlc06_dwf_inf_norgrimlings_ironbreakers_0	wh_main_dwf_karak_izor	true
wh_dlc06_dwf_inf_norgrimlings_ironbreakers_0	wh_main_dwf_karak_kadrin	true
wh_dlc06_dwf_inf_norgrimlings_irondrakes_0	wh_main_dwf_dwarfs	true
wh_dlc06_dwf_inf_norgrimlings_irondrakes_0	wh_main_dwf_karak_izor	true
wh_dlc06_dwf_inf_norgrimlings_irondrakes_0	wh_main_dwf_karak_kadrin	true
wh_dlc06_dwf_inf_old_grumblers_0	wh_main_dwf_dwarfs	true
wh_dlc06_dwf_inf_old_grumblers_0	wh_main_dwf_karak_izor	true
wh_dlc06_dwf_inf_old_grumblers_0	wh_main_dwf_karak_kadrin	true
wh_dlc06_dwf_inf_peak_gate_guard_0	wh_main_dwf_dwarfs	true
wh_dlc06_dwf_inf_peak_gate_guard_0	wh_main_dwf_karak_izor	true
wh_dlc06_dwf_inf_peak_gate_guard_0	wh_main_dwf_karak_kadrin	true
wh_dlc06_dwf_inf_ulthars_raiders_0	wh_main_dwf_dwarfs	true
wh_dlc06_dwf_inf_ulthars_raiders_0	wh_main_dwf_karak_izor	true
wh_dlc06_dwf_inf_ulthars_raiders_0	wh_main_dwf_karak_kadrin	true
wh_dlc06_dwf_inf_warriors_dragonfire_pass_0	wh_main_dwf_dwarfs	true
wh_dlc06_dwf_inf_warriors_dragonfire_pass_0	wh_main_dwf_karak_izor	true
wh_dlc06_dwf_inf_warriors_dragonfire_pass_0	wh_main_dwf_karak_kadrin	true
wh_dlc06_dwf_veh_skyhammer_0	wh_main_dwf_dwarfs	true
wh_dlc06_dwf_veh_skyhammer_0	wh_main_dwf_karak_izor	true
wh_dlc06_dwf_veh_skyhammer_0	wh_main_dwf_karak_kadrin	true
wh_dlc06_grn_art_hammer_of_gork_0	wh_main_grn_crooked_moon	true
wh_dlc06_grn_art_hammer_of_gork_0	wh_main_grn_greenskins	true
wh_dlc06_grn_art_hammer_of_gork_0	wh_main_grn_orcs_of_the_bloody_hand	true
wh_dlc06_grn_cav_broken_tusks_mob_0	wh_main_grn_crooked_moon	true
wh_dlc06_grn_cav_broken_tusks_mob_0	wh_main_grn_greenskins	true
wh_dlc06_grn_cav_broken_tusks_mob_0	wh_main_grn_orcs_of_the_bloody_hand	true
wh_dlc06_grn_cav_deff_creepers_0	wh_main_grn_crooked_moon	true
wh_dlc06_grn_cav_deff_creepers_0	wh_main_grn_greenskins	true
wh_dlc06_grn_cav_deff_creepers_0	wh_main_grn_orcs_of_the_bloody_hand	true
wh_dlc06_grn_cav_durkits_squigs_0	wh_main_grn_crooked_moon	true
wh_dlc06_grn_cav_durkits_squigs_0	wh_main_grn_greenskins	true
wh_dlc06_grn_cav_durkits_squigs_0	wh_main_grn_orcs_of_the_bloody_hand	true
wh_dlc06_grn_cav_mogrubbs_marauders_0	wh_main_grn_crooked_moon	true
wh_dlc06_grn_cav_mogrubbs_marauders_0	wh_main_grn_greenskins	true
wh_dlc06_grn_cav_mogrubbs_marauders_0	wh_main_grn_orcs_of_the_bloody_hand	true
wh_dlc06_grn_cav_moon_howlers_0	wh_main_grn_crooked_moon	true
wh_dlc06_grn_cav_moon_howlers_0	wh_main_grn_greenskins	true
wh_dlc06_grn_cav_moon_howlers_0	wh_main_grn_orcs_of_the_bloody_hand	true
wh_dlc06_grn_cav_teef_robbers_0	wh_main_grn_crooked_moon	true
wh_dlc06_grn_cav_teef_robbers_0	wh_main_grn_greenskins	true
wh_dlc06_grn_cav_teef_robbers_0	wh_main_grn_orcs_of_the_bloody_hand	true
wh_dlc06_grn_inf_da_eight_peaks_loonies_0	wh_main_grn_crooked_moon	true
wh_dlc06_grn_inf_da_eight_peaks_loonies_0	wh_main_grn_greenskins	true
wh_dlc06_grn_inf_da_eight_peaks_loonies_0	wh_main_grn_orcs_of_the_bloody_hand	true
wh_dlc06_grn_inf_da_rusty_arrers_0	wh_main_grn_crooked_moon	true
wh_dlc06_grn_inf_da_rusty_arrers_0	wh_main_grn_greenskins	true
wh_dlc06_grn_inf_da_rusty_arrers_0	wh_main_grn_orcs_of_the_bloody_hand	true
wh_dlc06_grn_inf_da_warlords_boyz_0	wh_main_grn_crooked_moon	true
wh_dlc06_grn_inf_da_warlords_boyz_0	wh_main_grn_greenskins	true
wh_dlc06_grn_inf_da_warlords_boyz_0	wh_main_grn_orcs_of_the_bloody_hand	true
wh_dlc06_grn_inf_krimson_killerz_0	wh_main_grn_crooked_moon	true
wh_dlc06_grn_inf_krimson_killerz_0	wh_main_grn_greenskins	true
wh_dlc06_grn_inf_krimson_killerz_0	wh_main_grn_orcs_of_the_bloody_hand	true
wh_dlc06_grn_mon_venom_queen_0	wh_main_grn_crooked_moon	true
wh_dlc06_grn_mon_venom_queen_0	wh_main_grn_greenskins	true
wh_dlc06_grn_mon_venom_queen_0	wh_main_grn_orcs_of_the_bloody_hand	true
wh_pro04_brt_cav_knights_errant_ror_0	wh_main_brt_bordeleaux	true
wh_pro04_brt_cav_knights_errant_ror_0	wh_main_brt_bretonnia	true
wh_pro04_brt_cav_knights_errant_ror_0	wh_main_brt_carcassonne	true
wh_pro04_brt_cav_knights_of_the_realm_ror_0	wh_main_brt_bordeleaux	true
wh_pro04_brt_cav_knights_of_the_realm_ror_0	wh_main_brt_bretonnia	true
wh_pro04_brt_cav_knights_of_the_realm_ror_0	wh_main_brt_carcassonne	true
wh_pro04_brt_cav_mounted_yeomen_ror_0	wh_main_brt_bordeleaux	true
wh_pro04_brt_cav_mounted_yeomen_ror_0	wh_main_brt_bretonnia	true
wh_pro04_brt_cav_mounted_yeomen_ror_0	wh_main_brt_carcassonne	true
wh_pro04_brt_cav_questing_knights_ror_0	wh_main_brt_bordeleaux	true
wh_pro04_brt_cav_questing_knights_ror_0	wh_main_brt_bretonnia	true
wh_pro04_brt_cav_questing_knights_ror_0	wh_main_brt_carcassonne	true
wh_pro04_brt_inf_battle_pilgrims_ror_0	wh_main_brt_bordeleaux	true
wh_pro04_brt_inf_battle_pilgrims_ror_0	wh_main_brt_bretonnia	true
wh_pro04_brt_inf_battle_pilgrims_ror_0	wh_main_brt_carcassonne	true
wh_pro04_brt_inf_foot_squires_ror_0	wh_main_brt_bordeleaux	true
wh_pro04_brt_inf_foot_squires_ror_0	wh_main_brt_bretonnia	true
wh_pro04_brt_inf_foot_squires_ror_0	wh_main_brt_carcassonne	true
wh_pro04_bst_inf_bestigor_herd_ror_0	wh_dlc03_bst_beastmen	true
wh_pro04_bst_inf_centigors_ror_0	wh_dlc03_bst_beastmen	true
wh_pro04_bst_inf_cygor_ror_0	wh_dlc03_bst_beastmen	true
wh_pro04_bst_inf_gor_herd_ror_0	wh_dlc03_bst_beastmen	true
wh_pro04_bst_inf_minotaurs_ror_0	wh_dlc03_bst_beastmen	true
wh_pro04_bst_inf_ungor_spearmen_ror_0	wh_dlc03_bst_beastmen	true
wh_pro04_chs_art_hellcannon_ror_0	wh_main_chs_chaos	true
wh_pro04_chs_cav_chaos_knights_ror_0	wh_main_chs_chaos	true
wh_pro04_chs_inf_chaos_warriors_ror_0	wh_main_chs_chaos	true
wh_pro04_chs_inf_forsaken_ror_0	wh_main_chs_chaos	true
wh_pro04_chs_mon_chaos_spawn_ror_0	wh_main_chs_chaos	true
wh_pro04_chs_mon_dragon_ogre_ror_0	wh_main_chs_chaos	true
wh_pro04_nor_inf_chaos_marauders_ror_0	wh_dlc08_nor_norsca	true
wh_pro04_nor_inf_chaos_marauders_ror_0	wh_dlc08_nor_wintertooth	true
wh_pro04_nor_inf_marauder_berserkers_ror_0	wh_dlc08_nor_norsca	true
wh_pro04_nor_inf_marauder_berserkers_ror_0	wh_dlc08_nor_wintertooth	true
wh_pro04_nor_mon_fimir_ror_0	wh_dlc08_nor_norsca	true
wh_pro04_nor_mon_fimir_ror_0	wh_dlc08_nor_wintertooth	true
wh_pro04_nor_mon_marauder_warwolves_ror_0	wh_dlc08_nor_norsca	true
wh_pro04_nor_mon_marauder_warwolves_ror_0	wh_dlc08_nor_wintertooth	true
wh_pro04_nor_mon_skinwolves_ror_0	wh_dlc08_nor_norsca	true
wh_pro04_nor_mon_skinwolves_ror_0	wh_dlc08_nor_wintertooth	true
wh_pro04_nor_mon_war_mammoth_ror_0	wh_dlc08_nor_norsca	true
wh_pro04_nor_mon_war_mammoth_ror_0	wh_dlc08_nor_wintertooth	true
wh_pro04_wef_cav_wild_riders_ror_0	wh_dlc05_wef_argwylon	true
wh_pro04_wef_cav_wild_riders_ror_0	wh_dlc05_wef_wood_elves	true
wh_pro04_wef_inf_eternal_guard_ror_0	wh_dlc05_wef_argwylon	true
wh_pro04_wef_inf_eternal_guard_ror_0	wh_dlc05_wef_wood_elves	true
wh_pro04_wef_inf_wardancers_ror_0	wh_dlc05_wef_argwylon	true
wh_pro04_wef_inf_wardancers_ror_0	wh_dlc05_wef_wood_elves	true
wh_pro04_wef_inf_waywatchers_ror_0	wh_dlc05_wef_argwylon	true
wh_pro04_wef_inf_waywatchers_ror_0	wh_dlc05_wef_wood_elves	true
wh_pro04_wef_inf_wildwood_rangers_ror_0	wh_dlc05_wef_argwylon	true
wh_pro04_wef_inf_wildwood_rangers_ror_0	wh_dlc05_wef_wood_elves	true
wh_pro04_wef_mon_treekin_ror_0	wh_dlc05_wef_argwylon	true
wh_pro04_wef_mon_treekin_ror_0	wh_dlc05_wef_wood_elves	true
