campaign_rogue_army_spawn_locations_tables	0
group	key	position_x	position_y	radius
wh2_main_grand_rogue_spawn_oldworld_central	601	558	417	10
wh2_main_vor_rogue_spawn_naggaroth_west	61	67	453	10
wh2_main_grand_rogue_spawn_oldworld_central	611	612	495	10
wh2_main_grand_rogue_spawn_oldworld_central	613	454	535	10
wh2_main_grand_rogue_spawn_oldworld_central	614	525	518	10
wh2_main_grand_rogue_spawn_oldworld_east	619	670	578	10
wh2_main_grand_rogue_spawn_oldworld_east	626	574	510	10
wh2_main_grand_rogue_spawn_oldworld_east	628	668	449	10
wh2_main_grand_rogue_spawn_oldworld_east	634	671	389	10
wh2_main_grand_rogue_spawn_norsca	639	638	664	15
wh2_main_grand_rogue_spawn_norsca	641	535	657	15
wh2_main_grand_rogue_spawn_norsca	643	448	673	15
wh2_main_grand_rogue_spawn_norsca	647	380	570	15
wh2_main_grand_rogue_spawn_ulthuan_west	656	183	276	10
wh2_main_grand_rogue_spawn_ulthuan_west	664	143	332	10
wh2_main_grand_rogue_spawn_ulthuan_west	667	150	391	10
wh2_main_grand_rogue_spawn_ulthuan_west	670	209	418	10
wh2_main_grand_rogue_spawn_ulthuan_east	675	263	404	10
wh2_main_grand_rogue_spawn_ulthuan_east	684	292	369	10
wh2_main_grand_rogue_spawn_ulthuan_east	692	282	313	10
wh2_main_grand_rogue_spawn_ulthuan_east	694	232	276	10
wh2_main_grand_rogue_spawn_ulthuan_central	696	181	303	10
wh2_main_grand_rogue_spawn_ulthuan_central	697	176	364	10
wh2_main_grand_rogue_spawn_ulthuan_central	704	242	369	10
wh2_main_vor_rogue_spawn_istmus	71	51	360	10
wh2_main_grand_rogue_spawn_ulthuan_central	710	253	317	10
wh2_main_vor_rogue_spawn_istmus	78	109	404	10
wh2_main_vor_rogue_spawn_istmus	87	159	390	10
wh2_main_vor_rogue_spawn_istmus	90	97	307	10
wh2_main_vor_rogue_spawn_lustria_west	97	67	266	10
