audio_ability_phases_tables	1
group_sound	key	max_distance	start_event	stop_event	use_reverb	switch	looping_group_sound
wh2_dlc11_ability_shanty_buff_group	wh2_dlc11_ability_shanty_verse_01	350	Battle_IND_Magic_Shanty_Verse_01		true	Battle_Triggered_By_Player	true
wh2_dlc11_ability_shanty_buff_group	wh2_dlc11_ability_shanty_verse_02	350	Battle_IND_Magic_Shanty_Verse_02		true	Battle_Triggered_By_Player	true
wh2_dlc11_ability_shanty_buff_group	wh2_dlc11_ability_shanty_verse_03	350	Battle_IND_Magic_Shanty_Verse_03		true	Battle_Triggered_By_Player	true
	wh2_dlc11_gaseous_demise	400	Battle_Individual_Projectile_Gaseous_Demise_Start		true		false
wh2_dlc11_spell_deep_spiteful_shot	wh2_dlc11_spell_deep_spiteful_shot	700			true		true
wh2_dlc12_ability_drop_sphere_of_tepok_debuff_group	wh2_dlc12_ability_drop_sphere_of_tepok_debuff	300			true		true
	wh2_dlc12_ability_supreme_shield_of_the_old_ones	350	Battle_IND_Magic_Supreme_Shield_Of_The_Old_Ones_Loop_Start	Battle_IND_Magic_Supreme_Shield_Of_The_Old_Ones_Loop_Stop	true		true
	wh2_dlc12_ability_unlimited_power	350	Battle_IND_Magic_Unlimited_Power_Loop_Start	Battle_IND_Magic_Unlimited_Power_Loop_Stop	true		false
	wh2_dlc12_ability_warpstorm_doomrocket_radiation	350	Battle_IND_Magic_Warpstorm_Doomrocket_Radiation_Loop_Start	Battle_IND_Magic_Warpstorm_Doomrocket_Radiation_Loop_Stop	true		true
wh2_main_ability_amulet_of_itzl_group	wh2_main_ability_amulet_of_itzl	300			true		true
wh2_main_ability_armour_of_the_stars_group	wh2_main_ability_armour_of_the_stars	300			true		true
	wh2_main_ability_channeling_spire	300	Battle_IND_Magic_Mors_Clanstone_Loop_Start	Battle_IND_Magic_Mors_Clanstone_Loop_Stop	true		true
wh2_main_ability_cold_blooded_group	wh2_main_ability_cold_blooded	300			true		true
	wh2_main_ability_eshin_clanstone	300	Battle_IND_Magic_Eshin_Clanstone_Loop_Start	Battle_IND_Magic_Eshin_Clanstone_Loop_Stop	true		true
	wh2_main_ability_holy_stela	300	Battle_IND_Magic_Holy_Stela_Loop_Start	Battle_IND_Magic_Holy_Stela_Loop_Stop	true		false
	wh2_main_ability_mors_clanstone	300	Battle_IND_Magic_Mors_Clanstone_Loop_Start	Battle_IND_Magic_Mors_Clanstone_Loop_Stop	true		true
	wh2_main_ability_moulder_clanstone	300	Battle_IND_Magic_Moulder_Clanstone_Loop_Start	Battle_IND_Magic_Moulder_Clanstone_Loop_Stop	true		true
wh2_main_ability_murderous_prowess_group	wh2_main_ability_murderous_prowess	350			true		true
	wh2_main_ability_pestilens_clanstone	300	Battle_IND_Magic_Pestilens_Clanstone_Loop_Start	Battle_IND_Magic_Pestilens_Clanstone_Loop_Stop	true		true
wh2_main_ability_plaque_of_dominion_group	wh2_main_ability_plaque_of_dominion	300			true		true
wh2_main_ability_scrying_stone_group	wh2_main_ability_scrying_stone	300			true		true
wh2_main_ability_shield_of_the_old_ones_group	wh2_main_ability_shield_of_the_old_ones	300			true		true
	wh2_main_ability_skyre_clanstone	300	Battle_IND_Magic_Skyre_Clanstone_Loop_Start	Battle_IND_Magic_Skyre_Clanstone_Loop_Stop	true		true
	wh2_main_ability_temple_of_mists	300	Battle_IND_Magic_Temple_Of_Mists_Loop_Start	Battle_IND_Magic_Temple_Of_Mists_Loop_Stop	true		false
wh2_main_spell_high_magic_apotheosis	wh2_main_spell_high_magic_apotheosis	700			true		true
wh2_main_spell_high_magic_arcane_unforging	wh2_main_spell_high_magic_arcane_unforging	700			true		true
wh2_main_spell_high_magic_hand_of_glory	wh2_main_spell_high_magic_hand_of_glory	700			true		true
wh2_main_spell_high_magic_soul_quench_tail	wh2_main_spell_high_magic_soul_quench_tail	700			true		true
wh2_main_spell_plague_bless_with_filth	wh2_main_spell_plague_bless_with_filth	700			true		true
wh2_main_spell_plague_wither	wh2_main_spell_plague_wither	700			true		true
wh2_main_unit_abilities_concealment_bombs_group	wh2_main_unit_abilities_concealment_bombs	300			true		true
wh2_main_unit_abilities_snare_net	wh2_main_unit_abilities_snare_net	700			true		false
wh2_tmb_spell_nehekhara_djafs_incantation_of_cursed_blades	wh2_tmb_spell_nehekhara_djafs_incantation_of_cursed_blades	700			true		true
wh2_tmb_spell_nehekhara_nerus_incantation_of_protection	wh2_tmb_spell_nehekhara_nerus_incantation_of_protection	700			true		true
wh2_tmb_spell_nehekhara_ptras_incantation_of_righteous_smiting	wh2_tmb_spell_nehekhara_ptras_incantation_of_righteous_smiting	700			true		true
wh2_tmb_spell_nehekhara_usekhps_incantation_of_dessication	wh2_tmb_spell_nehekhara_usekhps_incantation_of_dessication	700			true		true
wh2_tmb_spell_nehekhara_usirians_incantation_of_vengeance	wh2_tmb_spell_nehekhara_usirians_incantation_of_vengeance	700			true		true
wh_ability_negative_group	wh_ability_negative	300			true		true
	wh_ability_negative_banner	300	Battle_IND_Magic_Generic_Debuff_Loop_Start	Battle_IND_Magic_Generic_Debuff_Loop_Stop	true		false
	wh_ability_negative_one_shot	300	Battle_IND_Magic_Generic_Debuff_One_Shot		true		false
wh_ability_positive_group	wh_ability_positive	300			true		true
	wh_ability_positive_banner	300	Battle_IND_Magic_Generic_Buff_Loop_Start	Battle_IND_Magic_Generic_Buff_Loop_Stop	true		false
	wh_ability_positive_one_shot	300	Battle_IND_Magic_Generic_Buff_One_Shot		true		false
wh_dlc03_spell_beasts_curse_of_anraheir	wh_dlc03_spell_beasts_curse_of_anraheir	0			true		true
wh_dlc03_spell_beasts_flock_of_doom	wh_dlc03_spell_beasts_flock_of_doom	0			true		false
wh_dlc03_spell_beasts_panns_impenetrable_pelt	wh_dlc03_spell_beasts_panns_impenetrable_pelt	0			true		true
wh_dlc03_spell_beasts_wyssans_wildform	wh_dlc03_spell_beasts_wyssans_wildform	0			true		true
wh_dlc03_spell_wild_devolve	wh_dlc03_spell_wild_devolve	0			true		true
wh_dlc03_spell_wild_mantle_of_ghorok	wh_dlc03_spell_wild_mantle_of_ghorok	0			true		true
wh_dlc03_spell_wild_traitor_kin	wh_dlc03_spell_wild_traitor_kin	0			true		true
	wh_dlc04_unit_abilities_vigour_mortis	0			true		false
wh_dlc05_ability_shadows_coil	wh_dlc05_ability_shadows_coil	0			true		false
wh_dlc05_spell_life_earth_blood	wh_dlc05_spell_life_earth_blood	0			true		true
wh_dlc05_spell_life_flesh_to_stone	wh_dlc05_spell_life_flesh_to_stone	0			true		true
wh_dlc05_spell_life_regrowth	wh_dlc05_spell_life_regrowth	0			true		true
wh_dlc05_spell_life_shield_of_thorns	wh_dlc05_spell_life_shield_of_thorns	0			true		true
wh_dlc05_spell_shadow_melkoths_mystifying_miasma	wh_dlc05_spell_shadow_melkoths_mystifying_miasma	0			true		true
wh_dlc05_spell_shadow_okkams_mindrazor	wh_dlc05_spell_shadow_okkams_mindrazor	0			true		true
wh_dlc05_spell_shadow_the_enfeebling_foe	wh_dlc05_spell_shadow_the_enfeebling_foe	0			true		true
wh_dlc05_spell_shadow_the_withering	wh_dlc05_spell_shadow_the_withering	0			true		true
	wh_dlc05_spell_shadow_the_withering_upgraded	0			false		false
wh_dlc06_character_abilities_effagee_of_da_git	wh_dlc06_character_abilities_effagee_of_da_git	500			true		false
wh_dlc07_ability_favour_of_the_fay_group	wh_dlc07_ability_favour_of_the_fay	300			true		true
	wh_dlc08_ability_explosive_fart	0	Battle_Individual_Projectile_Explosive_Fart_Explosion_Start		true		false
wh_ability_dlc08_passive_rage_group	wh_dlc08_ability_passive_rage	300			true		true
wh_dlc08_ability_terrorgheist_skull_group	wh_dlc08_ability_terrorgheist_skull	300	Battle_IND_Magic_Generic_Buff_Loop_Start	Battle_IND_Magic_Generic_Buff_Loop_Stop	true		true
wh_ability_negative_group	wh_main_character_abilities_foe_seeker	700			true		true
wh_ability_positive_group	wh_main_character_abilities_red_fury	700			true		true
wh_main_character_abilities_waaagh	wh_main_character_abilities_waaagh	500			true		true
	wh_main_item_abilities_potion_of_healing	150	Battle_IND_Magic_Generic_Buff_One_Shot		true		false
wh_main_spell_big_waaagh_ere_we_go	wh_main_spell_big_waaagh_ere_we_go	500			true		true
wh_main_spell_big_waaagh_fists_of_gork	wh_main_spell_big_waaagh_fists_of_gork	700			true		true
wh_main_spell_dark_magic_power_of_darkness	wh_main_spell_dark_magic_power_of_darkness	700			true		true
wh_main_spell_dark_magic_soul_stealer	wh_main_spell_dark_magic_soul_stealer	700			true		true
wh_main_spell_dark_magic_word_of_pain	wh_main_spell_dark_magic_word_of_pain	700			true		true
wh_main_spell_death_aspect_of_the_dreadknight	wh_main_spell_death_aspect_of_the_dreadknight	500			true		true
wh_main_spell_death_doom_and_darkness	wh_main_spell_death_doom_and_darkness	700			true		true
wh_main_spell_death_soulblight	wh_main_spell_death_soulblight	700			true		true
wh_main_spell_death_spirit_leech	wh_main_spell_death_spirit_leech	700			true		true
wh_main_spell_death_the_fate_of_bjuna	wh_main_spell_death_the_fate_of_bjuna	700			true		true
wh_main_spell_fire_cascading_fire_cloak	wh_main_spell_fire_cascading_fire_cloak	700			true		true
wh_main_spell_fire_flaming_sword_of_rhuin	wh_main_spell_fire_flaming_sword_of_rhuin	700			true		true
wh_main_spell_heavens_curse_of_the_midnight_wind	wh_main_spell_heavens_curse_of_the_midnight_wind	700			true		true
wh_main_spell_heavens_harmonic_convergence	wh_main_spell_heavens_harmonic_convergence	700			true		true
wh_main_spell_invocation_of_nehek	wh_main_spell_invocation_of_nehek	700			true		true
wh_main_spell_light_bironas_timewarp	wh_main_spell_light_bironas_timewarp	700			true		true
wh_main_spell_light_light_of_battle	wh_main_spell_light_light_of_battle	700			true		true
wh_main_spell_light_net_of_amyntok	wh_main_spell_light_net_of_amyntok	700			true		true
wh_main_spell_light_phas_protection	wh_main_spell_light_phas_protection	700			true		true
wh_main_spell_lil_waaagh_gorkll_fix_it	wh_main_spell_lil_waaagh_gorkll_fix_it	700			true		true
wh_main_spell_lil_waaagh_itchy_nuisance	wh_main_spell_lil_waaagh_itchy_nuisance	700			true		true
wh_main_spell_lil_waaagh_night_shroud	wh_main_spell_lil_waaagh_night_shroud	150			true		true
wh_main_spell_lil_waaagh_sneaky_stabbin	wh_main_spell_lil_waaagh_sneaky_stabbin	700			true		true
wh_main_spell_metal_final_transmutation	wh_main_spell_metal_final_transmutation	700			true		true
wh_main_spell_metal_glittering_robe	wh_main_spell_metal_glittering_robe	700			true		true
wh_main_spell_metal_plague_of_rust	wh_main_spell_metal_plague_of_rust	700			true		true
wh_main_spell_metal_transmutation_of_lead	wh_main_spell_metal_transmutation_of_lead	700			true		true
wh_main_spell_ruin_death_frenzy	wh_main_spell_ruin_death_frenzy	700			true		true
wh_main_spell_ruin_howling_warpgale	wh_main_spell_ruin_howling_warpgale	700			true		true
wh_main_spell_ruin_skitterleap	wh_main_spell_ruin_skitterleap	700			true		true
wh_main_spell_vampires_curse_of_years	wh_main_spell_vampires_curse_of_years	700			true		true
wh_main_spell_vampires_vanhels_danse_macabre	wh_main_spell_vampires_vanhels_danse_macabre	700			true		true
wh_ability_positive_group	wh_main_unit_abilities_entrenchment	300			true		true
