audio_battle_environment_loops_tables	2
can_weather_disable	event_start	event_stop	intensity_rtpc	make_rtpc_global	name	sample_distance	height_influence	height_scale	use_building_height	use_tree_height	always_play
false	Battle_Environment_Element_Wind_Dark_Elves_Hills_Play	Battle_Environment_Element_Wind_Dark_Elves_Hills_Stop	Battle_Wind_Intensity	false	dark_elves_hills_wind	100	true	166	false	false	true
true	Battle_Environment_Dark_Elves_Marsh_Forest_Play	Battle_Environment_Dark_Elves_Marsh_Forest_Stop	Generic_Forest_Percentage	false	dark_elves_marsh_forest	150	false	1	false	false	false
false	Battle_Environment_Element_Water_Lake_Dark_Elves_Marsh_Play	Battle_Environment_Element_Water_Lake_Dark_Elves_Marsh_Stop	Generic_Water_Percentage	false	dark_elves_marsh_lake	100	false	1	false	false	false
true	Battle_Environment_Dark_Elves_Marsh_Primary_Play	Battle_Environment_Dark_Elves_Marsh_Primary_Stop		false	dark_elves_marsh_primary	100	false	1	false	false	false
false	Battle_Environment_Element_Wind_Dark_Elves_Marsh_Play	Battle_Environment_Element_Wind_Dark_Elves_Marsh_Stop	Battle_Wind_Intensity	false	dark_elves_marsh_wind	100	true	166	false	false	true
true	Battle_Environment_Dark_Elves_Volcanic_Forest_Play	Battle_Environment_Dark_Elves_Volcanic_Forest_Stop	Generic_Forest_Percentage	false	dark_elves_volcanic_forest	150	false	1	false	false	false
false	Battle_Environment_Element_Water_Lake_Dark_Elves_Volcanic_Play	Battle_Environment_Element_Water_Lake_Dark_Elves_Volcanic_Stop	Generic_Water_Percentage	false	dark_elves_volcanic_lake	100	false	1	false	false	false
true	Battle_Environment_Dark_Elves_Volcanic_Primary_Play	Battle_Environment_Dark_Elves_Volcanic_Primary_Stop		false	dark_elves_volcanic_primary	100	false	1	false	false	false
false	Battle_Environment_Element_Wind_Dark_Elves_Volcanic_Play	Battle_Environment_Element_Wind_Dark_Elves_Volcanic_Stop	Battle_Wind_Intensity	false	dark_elves_volcanic_wind	100	true	166	false	false	true
true	Battle_Environment_Dwarf_Ambience_Play	Battle_Environment_Dwarf_Ambience_Stop		false	dwarf_ambience	100	false	1	false	false	false
true	Battle_Environment_Dwarf_Forest_Play	Battle_Environment_Dwarf_Forest_Stop	Generic_Forest_Percentage	false	dwarf_forest	150	false	1	false	false	false
false	Battle_Environment_Element_Water_Lake_Dwarf_Play	Battle_Environment_Element_Water_Lake_Dwarf_Stop	Generic_Water_Percentage	false	dwarf_lake	100	false	1	false	false	false
false	Battle_Environment_Element_Wind_Dwarf_Play	Battle_Environment_Element_Wind_Dwarf_Stop	Battle_Wind_Intensity	false	dwarf_wind	100	true	166	false	false	true
true	Battle_Environment_Empire_Ambience_Play	Battle_Environment_Empire_Ambience_Stop		false	empire_ambience	100	false	1	false	false	false
false	Battle_Environment_Empire_Forest_Play	Battle_Environment_Empire_Forest_Stop	Generic_Forest_Percentage	false	empire_forest	150	false	1	false	false	false
false	Battle_Environment_Element_Water_Lake_Empire_Play	Battle_Environment_Element_Water_Lake_Empire_Stop	Generic_Water_Percentage	false	empire_lake	100	false	1	false	false	false
false	Battle_Environment_Element_Water_River_Play	Battle_Environment_Element_Water_River_Stop	Generic_Water_Percentage	false	generic_river	100	false	1	false	false	false
false	Battle_Environment_Element_Water_Sea_Play	Battle_Environment_Element_Water_Sea_Stop	Generic_Water_Percentage	false	generic_sea	180	false	1	false	false	false
false	Battle_Environment_Element_Wind_Generic_Play	Battle_Environment_Element_Wind_Generic_Stop	Battle_Wind_Intensity	false	generic_wind	100	true	166	false	false	true
true	Battle_Environment_Greenskin_Ambience_Play	Battle_Environment_Greenskin_Ambience_Stop		false	greenskin_ambience	100	false	1	false	false	false
true	Battle_Environment_Greenskin_Forest_Play	Battle_Environment_Greenskin_Forest_Stop	Generic_Forest_Percentage	false	greenskin_forest	150	false	1	false	false	false
false	Battle_Environment_Element_Water_Lake_Greenskins_Play	Battle_Environment_Element_Water_Lake_Greenskins_Stop	Generic_Water_Percentage	false	greenskin_lake	100	false	1	false	false	false
true	Battle_Environment_High_Elves_Beach_Forest_Play	Battle_Environment_High_Elves_Beach_Forest_Stop	Generic_Forest_Percentage	false	high_elves_beach_forest	150	false	1	false	false	false
true	Battle_Environment_High_Elves_Beach_Primary_Play	Battle_Environment_High_Elves_Beach_Primary_Stop		false	high_elves_beach_primary	100	false	1	false	false	false
true	Battle_Environment_High_Elves_Beach_Secondary_Play	Battle_Environment_High_Elves_Beach_Secondary_Stop		false	high_elves_beach_secondary	100	false	1	false	false	false
false	Battle_Environment_Element_Wind_High_Elves_Beach_Play	Battle_Environment_Element_Wind_High_Elves_Beach_Stop	Battle_Wind_Intensity	false	high_elves_beach_wind	100	true	166	false	false	true
true	Battle_Environment_High_Elves_Hills_Forest_Play	Battle_Environment_High_Elves_Hills_Forest_Stop	Generic_Forest_Percentage	false	high_elves_hills_forest	150	false	1	false	false	false
true	Battle_Environment_High_Elves_Hills_Primary_Play	Battle_Environment_High_Elves_Hills_Primary_Stop		false	high_elves_hills_primary	100	false	1	false	false	false
false	Battle_Environment_Element_Wind_High_Elves_Hills_Play	Battle_Environment_Element_Wind_High_Elves_Hills_Stop	Battle_Wind_Intensity	false	high_elves_hills_wind	100	true	166	false	false	true
false	Battle_Environment_Element_Water_Lake_High_Elves_Play	Battle_Environment_Element_Water_Lake_High_Elves_Stop	Generic_Water_Percentage	false	high_elves_lake	100	false	1	false	false	false
true	Battle_Environment_Lizardmen_Jungle_Forest_Play	Battle_Environment_Lizardmen_Jungle_Forest_Stop	Generic_Forest_Percentage	false	lizardmen_jungle_forest	150	false	1	false	false	false
false	Battle_Environment_Element_Water_Lake_Lizardmen_Jungle_Play	Battle_Environment_Element_Water_Lake_Lizardmen_Jungle_Stop	Generic_Water_Percentage	false	lizardmen_jungle_lake	100	false	1	false	false	false
true	Battle_Environment_Lizardmen_Jungle_Primary_Play	Battle_Environment_Lizardmen_Jungle_Primary_Stop		false	lizardmen_jungle_primary	100	false	1	false	false	false
false	Battle_Environment_Element_Wind_Lizardmen_Jungle_Play	Battle_Environment_Element_Wind_Lizardmen_Jungle_Stop	Battle_Wind_Intensity	false	lizardmen_jungle_wind	100	true	166	false	false	true
true	Battle_Environment_Lizardmen_Mountain_Forest_Play	Battle_Environment_Lizardmen_Mountain_Forest_Stop	Generic_Forest_Percentage	false	lizardmen_mountain_forest	150	false	1	false	false	false
false	Battle_Environment_Element_Water_Lake_Lizardmen_Mountain_Play	Battle_Environment_Element_Water_Lake_Lizardmen_Mountain_Stop	Generic_Water_Percentage	false	lizardmen_mountain_lake	100	false	1	false	false	false
true	Battle_Environment_Lizardmen_Mountain_Primary_Play	Battle_Environment_Lizardmen_Mountain_Primary_Stop		false	lizardmen_mountain_primary	100	false	1	false	false	false
false	Battle_Environment_Element_Wind_Lizardmen_Mountain_Play	Battle_Environment_Element_Wind_Lizardmen_Mountain_Stop	Battle_Wind_Intensity	false	lizardmen_mountain_wind	100	true	166	false	false	true
true	Battle_Environment_Lizardmen_QB_Fallen_Gates_Primary_Play	Battle_Environment_Lizardmen_QB_Fallen_Gates_Primary_Stop		false	lizardmen_qb_fallen_gates_primary	100	false	1	false	false	false
true	Battle_Environment_Lizardmen_Swamp_Forest_Play	Battle_Environment_Lizardmen_Swamp_Forest_Stop	Generic_Forest_Percentage	false	lizardmen_swamp_forest	150	false	1	false	false	false
false	Battle_Environment_Element_Water_Lake_Lizardmen_Swamp_Play	Battle_Environment_Element_Water_Lake_Lizardmen_Swamp_Stop	Generic_Water_Percentage	false	lizardmen_swamp_lake	100	false	1	false	false	false
true	Battle_Environment_Lizardmen_Swamp_Primary_Play	Battle_Environment_Lizardmen_Swamp_Primary_Stop		false	lizardmen_swamp_primary	100	false	1	false	false	false
false	Battle_Environment_Element_Wind_Lizardmen_Swamp_Play	Battle_Environment_Element_Wind_Lizardmen_Swamp_Stop	Battle_Wind_Intensity	false	lizardmen_swamp_wind	100	true	166	false	false	true
true	Battle_Environment_Nordic_Ambience_Play	Battle_Environment_Nordic_Ambience_Stop		false	nordic_ambience	100	false	1	false	false	false
true	Battle_Environment_Nordic_Forest_Play	Battle_Environment_Nordic_Forest_Stop	Generic_Forest_Percentage	false	nordic_forest	150	false	1	false	false	false
false	Battle_Environment_Element_Water_Lake_Nordic_Play	Battle_Environment_Element_Water_Lake_Nordic_Stop	Generic_Water_Percentage	false	nordic_lake	100	false	1	false	false	false
false	Battle_Environment_Element_Wind_Nordic_Play	Battle_Environment_Element_Wind_Nordic_Stop	Battle_Wind_Intensity	false	nordic_wind	100	true	166	false	false	true
true	Battle_Environment_Skaven_Cavern_Forest_Play	Battle_Environment_Skaven_Cavern_Forest_Stop	Generic_Forest_Percentage	false	skaven_cavern_forest	150	false	1	false	false	false
false	Battle_Environment_Element_Water_Lake_Skaven_Cavern_Play	Battle_Environment_Element_Water_Lake_Skaven_Cavern_Stop	Generic_Water_Percentage	false	skaven_cavern_lake	100	false	1	false	false	false
true	Battle_Environment_Skaven_Cavern_Primary_Play	Battle_Environment_Skaven_Cavern_Primary_Stop		false	skaven_cavern_primary	100	false	1	false	false	false
false	Battle_Environment_Element_Wind_Skaven_Cavern_Play	Battle_Environment_Element_Wind_Skaven_Cavern_Stop	Battle_Wind_Intensity	false	skaven_cavern_wind	100	true	166	false	false	true
true	Battle_Environment_Skaven_Desert_Forest_Play	Battle_Environment_Skaven_Desert_Forest_Stop	Generic_Forest_Percentage	false	skaven_desert_forest	150	false	1	false	false	false
false	Battle_Environment_Element_Water_Lake_Skaven_Desert_Play	Battle_Environment_Element_Water_Lake_Skaven_Desert_Stop	Generic_Water_Percentage	false	skaven_desert_lake	100	false	1	false	false	false
true	Battle_Environment_Skaven_Desert_Primary_Play	Battle_Environment_Skaven_Desert_Primary_Stop		false	skaven_desert_primary	100	false	1	false	false	false
false	Battle_Environment_Element_Wind_Skaven_Desert_Play	Battle_Environment_Element_Wind_Skaven_Desert_Stop	Battle_Wind_Intensity	false	skaven_desert_wind	100	true	166	false	false	true
true	Battle_Environment_Skaven_Marsh_Forest_Play	Battle_Environment_Skaven_Marsh_Forest_Stop	Generic_Forest_Percentage	false	skaven_marsh_forest	150	false	1	false	false	false
false	Battle_Environment_Element_Water_Lake_Skaven_Marsh_Play	Battle_Environment_Element_Water_Lake_Skaven_Marsh_Stop	Generic_Water_Percentage	false	skaven_marsh_lake	100	false	1	false	false	false
true	Battle_Environment_Skaven_Marsh_Primary_Play	Battle_Environment_Skaven_Marsh_Primary_Stop		false	skaven_marsh_primary	100	false	1	false	false	false
false	Battle_Environment_Element_Wind_Skaven_Marsh_Play	Battle_Environment_Element_Wind_Skaven_Marsh_Stop	Battle_Wind_Intensity	false	skaven_marsh_wind	100	true	166	false	false	true
true	Battle_Environment_Tomb_Kings_Cavern_Primary_Play	Battle_Environment_Tomb_Kings_Cavern_Primary_Stop		false	tomb_kings_cavern_primary	100	false	1	false	false	false
true	Battle_Environment_Tomb_Kings_Cavern_Secondary_Play	Battle_Environment_Tomb_Kings_Cavern_Secondary_Stop	Generic_Urban_Percentage	false	tomb_kings_cavern_secondary	150	false	1	false	false	false
true	Battle_Environment_Tomb_Kings_Desert_Primary_Play	Battle_Environment_Tomb_Kings_Desert_Primary_Stop		false	tomb_kings_desert_primary	100	false	1	false	false	false
true	Battle_Environment_Tomb_Kings_Desert_Secondary_Play	Battle_Environment_Tomb_Kings_Desert_Secondary_Stop	Generic_Urban_Percentage	false	tomb_kings_desert_secondary	150	false	1	false	false	false
true	Battle_Environment_Tomb_Kings_Generic_Final_Battle_Primary_Play	Battle_Environment_Tomb_Kings_Generic_Final_Battle_Primary_Stop		false	tomb_kings_qb_final_battle_primary	100	false	1	false	false	false
true	Battle_Environment_Tomb_Kings_Generic_Black_Tower_Primary_Play	Battle_Environment_Tomb_Kings_Generic_Black_Tower_Primary_Stop		false	tomb_kings_qb_staff_of_nagash_primary	100	false	1	false	false	false
true	Battle_Environment_Vampire_Ambience_Play	Battle_Environment_Vampire_Ambience_Stop		false	vampire_ambience	100	false	1	false	false	false
false	Battle_Environment_Vampire_Coast_Tropical_Island_Forest_Play	Battle_Environment_Vampire_Coast_Tropical_Island_Forest_Stop		false	vampire_coast_desert_island_forest	100	false	1	false	false	false
false	Battle_Environment_Vampire_Coast_Tropical_Island_Plains_Play	Battle_Environment_Vampire_Coast_Tropical_Island_Plains_Stop		false	vampire_coast_desert_island_plains	100	false	1	false	false	false
false	Battle_Environment_Vampire_Coast_Final_Battle_Plains_Play	Battle_Environment_Vampire_Coast_Final_Battle_Plains_Stop		false	vampire_coast_final_battle_plains	100	false	1	false	false	false
false	Battle_Environment_Vampire_Coast_Galleons_Graveyard_Plains_Play	Battle_Environment_Vampire_Coast_Galleons_Graveyard_Plains_Stop		false	vampire_coast_galleons_graveyard_plains	100	false	1	false	false	false
false	Battle_Environment_Element_Wind_Skaven_Desert_Play	Battle_Environment_Element_Wind_Skaven_Desert_Stop	Battle_Wind_Intensity	false	vampire_coast_galleons_graveyard_wind	100	true	166	false	false	true
false	Battle_Environment_Vampire_Coast_Desert_Island_Forest_Play	Battle_Environment_Vampire_Coast_Desert_Island_Forest_Stop		false	vampire_coast_rocky_island_forest	100	false	1	false	false	false
false	Battle_Environment_Vampire_Coast_Desert_Island_Plains_Play	Battle_Environment_Vampire_Coast_Desert_Island_Plains_Stop		false	vampire_coast_rocky_island_plains	100	false	1	false	false	false
false	Battle_Environment_Vampire_Coast_Snowy_Island_Forest_Play	Battle_Environment_Vampire_Coast_Snowy_Island_Forest_Stop		false	vampire_coast_snowy_island_forest	100	false	1	false	false	false
false	Battle_Environment_Vampire_Coast_Snowy_Island_Plains_Play	Battle_Environment_Vampire_Coast_Snowy_Island_Plains_Stop		false	vampire_coast_snowy_island_plains	100	false	1	false	false	false
true	Battle_Environment_Vampire_Forest_Play	Battle_Environment_Vampire_Forest_Stop	Generic_Forest_Percentage	false	vampire_forest	150	false	1	false	false	false
false	Battle_Environment_Element_Water_Lake_Vampire_Play	Battle_Environment_Element_Water_Lake_Vampire_Stop	Generic_Water_Percentage	false	vampire_lake	100	false	1	false	false	false
false	Battle_Environment_Element_Wind_Vampire_Play	Battle_Environment_Element_Wind_Vampire_Stop	Battle_Wind_Intensity	false	vampire_wind	100	true	166	false	false	true
false	Battle_Environment_Element_Rain_Heavy_Play	Battle_Environment_Element_Rain_Heavy_Stop	Battle_Rain_Intensity	false	weather_rain_heavy	100	false	1	false	false	false
false	Battle_Environment_Element_Rain_Heavy_On_Tree_Tops_Play	Battle_Environment_Element_Rain_Heavy_On_Tree_Tops_Stop	Generic_Forest_Percentage	false	weather_rain_heavy_on_trees	150	false	1	false	false	false
false	Battle_Environment_Element_Rain_Light_Play	Battle_Environment_Element_Rain_Light_Stop	Battle_Rain_Intensity	false	weather_rain_light	100	false	1	false	false	false
false	Battle_Environment_Element_Rain_Light_On_Tree_Tops_Play	Battle_Environment_Element_Rain_Light_On_Tree_Tops_Stop	Generic_Forest_Percentage	false	weather_rain_light_on_trees	150	false	1	false	false	false
false	Battle_Environment_Element_Rain_Medium_Play	Battle_Environment_Element_Rain_Medium_Stop	Battle_Rain_Intensity	false	weather_rain_medium	100	false	1	false	false	false
false	Battle_Environment_Element_Rain_Medium_On_Tree_Tops_Play	Battle_Environment_Element_Rain_Medium_On_Tree_Tops_Stop	Generic_Forest_Percentage	false	weather_rain_medium_on_trees	150	false	1	false	false	false
true	Battle_Environment_Woodelves_Autumn_Ambience_Play	Battle_Environment_Woodelves_Autumn_Ambience_Stop		false	wood_elves_autumn_ambience	100	false	1	false	false	false
true	Battle_Environment_Woodelves_Autumn_Forest_Play	Battle_Environment_Woodelves_Autumn_Forest_Stop	Generic_Forest_Percentage	false	wood_elves_autumn_forest	150	false	1	false	false	false
false	Battle_Environment_Element_Water_Lake_Wood_Elves_Autumn_Play	Battle_Environment_Element_Water_Lake_Wood_Elves_Autumn_Stop	Generic_Water_Percentage	false	wood_elves_autumn_lake	100	false	1	false	false	false
false	Battle_Environment_Element_Wind_Wood_Elves_Autumn_Play	Battle_Environment_Element_Wind_Wood_Elves_Autumn_Stop	Battle_Wind_Intensity	false	wood_elves_autumn_wind	100	true	166	false	false	true
true	Battle_Environment_Woodelves_Generic_Ambience_Play	Battle_Environment_Woodelves_Generic_Ambience_Stop		false	wood_elves_generic_ambience	100	false	1	false	false	false
true	Battle_Environment_Woodelves_Generic_Forest_Play	Battle_Environment_Woodelves_Generic_Forest_Stop	Generic_Forest_Percentage	false	wood_elves_generic_forest	150	false	1	false	false	false
false	Battle_Environment_Element_Water_Lake_Wood_Elves_Generic_Play	Battle_Environment_Element_Water_Lake_Wood_Elves_Generic_Stop	Generic_Water_Percentage	false	wood_elves_generic_lake	100	false	1	false	false	false
false	Battle_Environment_Element_Wind_Wood_Elves_Generic_Play	Battle_Environment_Element_Wind_Wood_Elves_Generic_Stop	Battle_Wind_Intensity	false	wood_elves_generic_wind	100	true	166	false	false	true
true	Battle_Environment_Woodelves_Night_Ambience_Play	Battle_Environment_Woodelves_Night_Ambience_Stop		false	wood_elves_night_ambience	100	false	1	false	false	false
true	Battle_Environment_Woodelves_Night_Forest_Play	Battle_Environment_Woodelves_Night_Forest_Stop	Generic_Forest_Percentage	false	wood_elves_night_forest	150	false	1	false	false	false
false	Battle_Environment_Element_Water_Lake_Wood_Elves_Night_Play	Battle_Environment_Element_Water_Lake_Wood_Elves_Night_Stop	Generic_Water_Percentage	false	wood_elves_night_lake	100	false	1	false	false	false
false	Battle_Environment_Element_Wind_Wood_Elves_Night_Play	Battle_Environment_Element_Wind_Wood_Elves_Night_Stop	Battle_Wind_Intensity	false	wood_elves_night_wind	100	true	166	false	false	true
true	Battle_Environment_Woodelves_Winter_Ambience_Play	Battle_Environment_Woodelves_Winter_Ambience_Stop		false	wood_elves_winter_ambience	100	false	1	false	false	false
true	Battle_Environment_Woodelves_Winter_Forest_Play	Battle_Environment_Woodelves_Winter_Forest_Stop	Generic_Forest_Percentage	false	wood_elves_winter_forest	150	false	1	false	false	false
false	Battle_Environment_Element_Water_Lake_Wood_Elves_Winter_Play	Battle_Environment_Element_Water_Lake_Wood_Elves_Winter_Stop	Generic_Water_Percentage	false	wood_elves_winter_lake	100	false	1	false	false	false
false	Battle_Environment_Element_Wind_Wood_Elves_Winter_Play	Battle_Environment_Element_Wind_Wood_Elves_Winter_Stop	Battle_Wind_Intensity	false	wood_elves_winter_wind	100	true	166	false	false	true
