campaign_agent_subtype_factorial_effect_junctions_tables	2
agent_subtype	factorial_effect	key	value	scope
wh2_main_lzd_skink_priest_beasts	skaven_discoverability_characters	823760844	15	EFS_ONLY_OTHERS
grn_night_goblin_shaman	skaven_discoverability_characters	824785867	15	EFS_ONLY_OTHERS
dlc05_emp_jade_wizard	skaven_discoverability_characters	82557290	15	EFS_ONLY_OTHERS
wh2_dlc11_cst_mourngul	skaven_discoverability_characters	83105763	15	EFS_ONLY_OTHERS
wh2_dlc12_lzd_tlaqua_skink_priest_heavens	skaven_discoverability_characters	847802650	15	EFS_ONLY_OTHERS
chs_exalted_hero	skaven_discoverability_characters	873033743	15	EFS_ONLY_OTHERS
chs_chaos_sorcerer_death	skaven_discoverability_characters	875599530	15	EFS_ONLY_OTHERS
dlc03_bst_bray_shaman_wild	skaven_discoverability_characters	8893425	15	EFS_ONLY_OTHERS
wh2_dlc09_tmb_tomb_prince	skaven_discoverability_characters	909842881	15	EFS_ONLY_OTHERS
dwf_runesmith	skaven_discoverability_characters	987197358	15	EFS_ONLY_OTHERS
wh2_main_lzd_saurus_scar_veteran	skaven_discoverability_characters	988930280	15	EFS_ONLY_OTHERS
dlc07_brt_green_knight	skaven_discoverability_characters	996211207	15	EFS_ONLY_OTHERS
