audio_metadata_tag_entity_overrides_tables	0
metadata_tag	entity_type	sound_event_battle_start	sound_event_battle_stop	sound_event_campaign_start	sound_event_campaign_stop
wh_nor_giant	Cine2_Impact_Weapon_Generic_Huge_Moderate_Positional	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Generic_Huge_Moderate			
wh_dlc_nor_throgg_LORD	Cine2_Impact_Weapon_Generic_Large_Moderate_Positional	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Generic_Huge_Moderate			
wh_dlc_dragon_ogre_large_LORD	Cine2_Impact_Weapon_Metal_Huge_Loud_Positional	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Metal_Huge_Loud			
wh_dlc_wef_treeman_LORD	Cine2_Impact_Weapon_Metal_Huge_Loud_Positional	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Metal_Huge_Loud			
wh_dlc_dragon_ogre_large_LORD	Cine2_Impact_Weapon_Metal_Huge_Moderate_Positional	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Metal_Huge			
wh_dlc_wef_treeman_LORD	Cine2_Impact_Weapon_Metal_Huge_Moderate_Positional	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Metal_Huge			
wh_dlc_dragon_ogre_large_LORD	Cine2_Impact_Weapon_Metal_XL_Loud_Bone	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Metal_Huge_Loud			
wh_dlc_dragon_ogre_large_LORD	Cine2_Impact_Weapon_Metal_XL_Moderate_Bone	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Metal_Huge			
wh2_def_elf_female_default_LORD	Cine2_LH_Impact_Generic_Small_Moderate_NoPL	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Generic_Moderate_no_prelife			
wh2_def_elf_male_Lokhir_LORD	Cine2_LH_Impact_Generic_Small_Moderate_NoPL	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Generic_Moderate_no_prelife			
wh2_def_elf_male_Malekith_LORD	Cine2_LH_Impact_Generic_Small_Moderate_NoPL	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Generic_Moderate_no_prelife			
wh2_def_elf_male_default_LORD	Cine2_LH_Impact_Generic_Small_Moderate_NoPL	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Generic_Moderate_no_prelife			
wh2_dlc11_cst_Aranessa_LORD	Cine2_LH_Impact_Generic_Small_Moderate_NoPL	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Generic_Moderate_no_prelife			
wh2_dlc11_cst_Fleet_Ad_male_LORD	Cine2_LH_Impact_Generic_Small_Moderate_NoPL	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Generic_Moderate_no_prelife			
wh2_dlc11_cst_Noctilus_LORD	Cine2_LH_Impact_Generic_Small_Moderate_NoPL	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Generic_Moderate_no_prelife			
wh2_dlc_tmb_arkhan_LORD	Cine2_LH_Impact_Generic_Small_Moderate_NoPL	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Generic_Moderate_no_prelife			
wh2_dlc_tmb_khalida_LORD	Cine2_LH_Impact_Generic_Small_Moderate_NoPL	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Generic_Moderate_no_prelife			
wh2_dlc_tmb_khatep_LORD	Cine2_LH_Impact_Generic_Small_Moderate_NoPL	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Generic_Moderate_no_prelife			
wh2_dlc_tmb_settra_LORD	Cine2_LH_Impact_Generic_Small_Moderate_NoPL	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Generic_Moderate_no_prelife			
wh2_hef_elf_male_default_LORD	Cine2_LH_Impact_Generic_Small_Moderate_NoPL	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Generic_Moderate_no_prelife			
wh2_hef_elf_male_tyrion_LH	Cine2_LH_Impact_Generic_Small_Moderate_NoPL	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Generic_Moderate_no_prelife			
wh2_hef_female_Alarielle_LORD	Cine2_LH_Impact_Generic_Small_Moderate_NoPL	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Generic_Moderate_no_prelife			
wh2_saurus_LORD	Cine2_LH_Impact_Generic_Small_Moderate_NoPL	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Generic_Moderate_no_prelife			
wh_chaos_archaon_LORD	Cine2_LH_Impact_Generic_Small_Moderate_NoPL	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Generic_Moderate_no_prelife			
wh_chaos_default_LORD	Cine2_LH_Impact_Generic_Small_Moderate_NoPL	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Generic_Moderate_no_prelife			
wh_chaos_sigvald_LORD	Cine2_LH_Impact_Generic_Small_Moderate_NoPL	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Generic_Moderate_no_prelife			
wh_dlc04_skarsnik_LORD	Cine2_LH_Impact_Generic_Small_Moderate_NoPL	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Generic_Moderate_no_prelife			
wh_dlc_gor_LORD	Cine2_LH_Impact_Generic_Small_Moderate_NoPL	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Generic_Moderate_no_prelife			
wh_dlc_gor_malagor_LORD	Cine2_LH_Impact_Generic_Small_Moderate_NoPL	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Generic_Moderate_no_prelife			
wh_dlc_nor_chaos_wulfrik_LORD	Cine2_LH_Impact_Generic_Small_Moderate_NoPL	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Generic_Moderate_no_prelife			
wh_dlc_nor_throgg_LORD	Cine2_LH_Impact_Generic_Small_Moderate_NoPL	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Generic_Moderate_no_prelife			
wh_dlc_wef_orion_LORD	Cine2_LH_Impact_Generic_Small_Moderate_NoPL	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Generic_Moderate_no_prelife			
wh_dwarf_default_LORD	Cine2_LH_Impact_Generic_Small_Moderate_NoPL	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Generic_Moderate_no_prelife			
wh_dwarf_grombrindal_LORD	Cine2_LH_Impact_Generic_Small_Moderate_NoPL	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Generic_Moderate_no_prelife			
wh_empire_balthasar_gelt_LORD	Cine2_LH_Impact_Generic_Small_Moderate_NoPL	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Generic_Moderate_no_prelife			
wh_human_male_LORD	Cine2_LH_Impact_Generic_Small_Moderate_NoPL	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Generic_Moderate_no_prelife			
wh_human_male_LORD_ALT	Cine2_LH_Impact_Generic_Small_Moderate_NoPL	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Generic_Moderate_no_prelife			
wh_orc_LORD	Cine2_LH_Impact_Generic_Small_Moderate_NoPL	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Generic_Moderate_no_prelife			
wh2_def_elf_female_default_LORD	Cine2_LH_Impact_Generic_Small_Moderate	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Generic_Moderate			
wh2_def_elf_male_Lokhir_LORD	Cine2_LH_Impact_Generic_Small_Moderate	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Generic_Moderate			
wh2_def_elf_male_Malekith_LORD	Cine2_LH_Impact_Generic_Small_Moderate	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Generic_Moderate			
wh2_def_elf_male_default_LORD	Cine2_LH_Impact_Generic_Small_Moderate	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Generic_Moderate			
wh2_dlc11_cst_Aranessa_LORD	Cine2_LH_Impact_Generic_Small_Moderate	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Generic_Moderate			
wh2_dlc11_cst_Cylostra_LORD	Cine2_LH_Impact_Generic_Small_Moderate	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Generic_Moderate			
wh2_dlc11_cst_Fleet_Ad_male_LORD	Cine2_LH_Impact_Generic_Small_Moderate	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Generic_Moderate			
wh2_dlc11_cst_Noctilus_LORD	Cine2_LH_Impact_Generic_Small_Moderate	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Generic_Moderate			
wh2_dlc_tmb_arkhan_LORD	Cine2_LH_Impact_Generic_Small_Moderate	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Generic_Moderate			
wh2_dlc_tmb_khalida_LORD	Cine2_LH_Impact_Generic_Small_Moderate	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Generic_Moderate			
wh2_dlc_tmb_khatep_LORD	Cine2_LH_Impact_Generic_Small_Moderate	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Generic_Moderate			
wh2_dlc_tmb_settra_LORD	Cine2_LH_Impact_Generic_Small_Moderate	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Generic_Moderate			
wh2_hef_elf_male_default_LORD	Cine2_LH_Impact_Generic_Small_Moderate	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Generic_Moderate			
wh2_hef_elf_male_tyrion_LH	Cine2_LH_Impact_Generic_Small_Moderate	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Generic_Moderate			
wh2_hef_female_Alarielle_LORD	Cine2_LH_Impact_Generic_Small_Moderate	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Generic_Moderate			
wh2_saurus_LORD	Cine2_LH_Impact_Generic_Small_Moderate	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Generic_Moderate			
wh_chaos_archaon_LORD	Cine2_LH_Impact_Generic_Small_Moderate	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Generic_Moderate			
wh_chaos_default_LORD	Cine2_LH_Impact_Generic_Small_Moderate	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Generic_Moderate			
wh_chaos_sigvald_LORD	Cine2_LH_Impact_Generic_Small_Moderate	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Generic_Moderate			
wh_dlc04_skarsnik_LORD	Cine2_LH_Impact_Generic_Small_Moderate	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Generic_Moderate			
wh_dlc_gor_LORD	Cine2_LH_Impact_Generic_Small_Moderate	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Generic_Moderate			
wh_dlc_gor_malagor_LORD	Cine2_LH_Impact_Generic_Small_Moderate	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Generic_Moderate			
wh_dlc_nor_chaos_wulfrik_LORD	Cine2_LH_Impact_Generic_Small_Moderate	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Generic_Moderate			
wh_dlc_nor_throgg_LORD	Cine2_LH_Impact_Generic_Small_Moderate	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Generic_Moderate			
wh_dlc_wef_orion_LORD	Cine2_LH_Impact_Generic_Small_Moderate	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Generic_Moderate			
wh_dwarf_default_LORD	Cine2_LH_Impact_Generic_Small_Moderate	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Generic_Moderate			
wh_dwarf_grombrindal_LORD	Cine2_LH_Impact_Generic_Small_Moderate	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Generic_Moderate			
wh_empire_balthasar_gelt_LORD	Cine2_LH_Impact_Generic_Small_Moderate	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Generic_Moderate			
wh_human_male_LORD	Cine2_LH_Impact_Generic_Small_Moderate	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Generic_Moderate			
wh_human_male_LORD_ALT	Cine2_LH_Impact_Generic_Small_Moderate	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Generic_Moderate			
wh_orc_LORD	Cine2_LH_Impact_Generic_Small_Moderate	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Generic_Moderate			
wh2_def_elf_female_default_LORD	Cine2_LH_Impact_Generic_Small_Quiet	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Generic_Quiet			
wh2_def_elf_male_Lokhir_LORD	Cine2_LH_Impact_Generic_Small_Quiet	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Generic_Quiet			
wh2_def_elf_male_Malekith_LORD	Cine2_LH_Impact_Generic_Small_Quiet	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Generic_Quiet			
wh2_def_elf_male_default_LORD	Cine2_LH_Impact_Generic_Small_Quiet	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Generic_Quiet			
wh2_dlc11_cst_Fleet_Ad_male_LORD	Cine2_LH_Impact_Generic_Small_Quiet	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Generic_Quiet			
wh2_dlc11_cst_Noctilus_LORD	Cine2_LH_Impact_Generic_Small_Quiet	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Generic_Quiet			
wh2_dlc_tmb_arkhan_LORD	Cine2_LH_Impact_Generic_Small_Quiet	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Generic_Quiet			
wh2_dlc_tmb_khalida_LORD	Cine2_LH_Impact_Generic_Small_Quiet	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Generic_Quiet			
wh2_dlc_tmb_khatep_LORD	Cine2_LH_Impact_Generic_Small_Quiet	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Generic_Quiet			
wh2_dlc_tmb_settra_LORD	Cine2_LH_Impact_Generic_Small_Quiet	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Generic_Quiet			
wh2_hef_elf_male_default_LORD	Cine2_LH_Impact_Generic_Small_Quiet	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Generic_Quiet			
wh2_hef_elf_male_tyrion_LH	Cine2_LH_Impact_Generic_Small_Quiet	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Generic_Quiet			
wh2_hef_female_Alarielle_LORD	Cine2_LH_Impact_Generic_Small_Quiet	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Generic_Quiet			
wh2_saurus_LORD	Cine2_LH_Impact_Generic_Small_Quiet	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Generic_Quiet			
wh_chaos_archaon_LORD	Cine2_LH_Impact_Generic_Small_Quiet	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Generic_Quiet			
wh_chaos_default_LORD	Cine2_LH_Impact_Generic_Small_Quiet	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Generic_Quiet			
wh_chaos_sigvald_LORD	Cine2_LH_Impact_Generic_Small_Quiet	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Generic_Quiet			
wh_dlc04_skarsnik_LORD	Cine2_LH_Impact_Generic_Small_Quiet	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Generic_Quiet			
wh_dlc_gor_LORD	Cine2_LH_Impact_Generic_Small_Quiet	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Generic_Quiet			
wh_dlc_gor_malagor_LORD	Cine2_LH_Impact_Generic_Small_Quiet	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Generic_Quiet			
wh_dlc_nor_chaos_wulfrik_LORD	Cine2_LH_Impact_Generic_Small_Quiet	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Generic_Quiet			
wh_dlc_nor_throgg_LORD	Cine2_LH_Impact_Generic_Small_Quiet	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Generic_Quiet			
wh_dlc_wef_orion_LORD	Cine2_LH_Impact_Generic_Small_Quiet	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Generic_Quiet			
wh_dwarf_default_LORD	Cine2_LH_Impact_Generic_Small_Quiet	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Generic_Quiet			
wh_dwarf_grombrindal_LORD	Cine2_LH_Impact_Generic_Small_Quiet	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Generic_Quiet			
wh_empire_balthasar_gelt_LORD	Cine2_LH_Impact_Generic_Small_Quiet	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Generic_Quiet			
wh_human_male_LORD	Cine2_LH_Impact_Generic_Small_Quiet	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Generic_Quiet			
wh_human_male_LORD_ALT	Cine2_LH_Impact_Generic_Small_Quiet	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Generic_Quiet			
wh_orc_LORD	Cine2_LH_Impact_Generic_Small_Quiet	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Generic_Quiet			
wh2_def_elf_female_default_LORD	Cine2_LH_Impact_Magic_Dark_Small	WH2_IND_Cinematic_Kit_Melee_Magic_Dark			
wh2_def_elf_male_Lokhir_LORD	Cine2_LH_Impact_Magic_Dark_Small	WH2_IND_Cinematic_Kit_Melee_Magic_Dark			
wh2_def_elf_male_Malekith_LORD	Cine2_LH_Impact_Magic_Dark_Small	WH2_IND_Cinematic_Kit_Melee_Magic_Dark			
wh2_def_elf_male_default_LORD	Cine2_LH_Impact_Magic_Dark_Small	WH2_IND_Cinematic_Kit_Melee_Magic_Dark			
wh2_dlc_tmb_arkhan_LORD	Cine2_LH_Impact_Magic_Flame_Small_Positional	WH2_IND_Cinematic_Kit_Melee_Magic_Bright_Flame			
wh2_dlc_tmb_khalida_LORD	Cine2_LH_Impact_Magic_Flame_Small_Positional	WH2_IND_Cinematic_Kit_Melee_Magic_Bright_Flame			
wh2_dlc_tmb_khatep_LORD	Cine2_LH_Impact_Magic_Flame_Small_Positional	WH2_IND_Cinematic_Kit_Melee_Magic_Bright_Flame			
wh2_dlc_tmb_arkhan_LORD	Cine2_LH_Impact_Magic_Flame_Small	WH2_IND_Cinematic_Kit_Melee_Magic_Bright_Flame			
wh2_dlc_tmb_khalida_LORD	Cine2_LH_Impact_Magic_Flame_Small	WH2_IND_Cinematic_Kit_Melee_Magic_Bright_Flame			
wh2_dlc_tmb_khatep_LORD	Cine2_LH_Impact_Magic_Flame_Small	WH2_IND_Cinematic_Kit_Melee_Magic_Bright_Flame			
wh2_def_elf_female_default_LORD	Cine2_LH_Impact_Magic_Glass_Small	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Sword_Moderate			
wh2_hef_female_Alarielle_LORD	Cine2_LH_Impact_Magic_Glass_Small	WH2_IND_Cinematic_Kit_Melee_Magic_Bright_Glass			
wh_human_female_LORD	Cine2_LH_Impact_Magic_Glass_Small	WH2_IND_Cinematic_Kit_Melee_Magic_Bright_Glass			
wh_dlc_wef_elf_female_LH	Cine2_LH_Impact_Magic_Light_Small_Positional	Battle_IND_Magic_Casting_Spellsinger_Impact_Play			
wh_vampire_female_LORD	Cine2_LH_Impact_Magic_Light_Small_Positional				
wh2_saurus_LORD	Cine2_LH_Impact_Magic_Light_Small	WH2_IND_Cinematic_Kit_Melee_Magic_Bright_Light			
wh2_dlc11_cst_Aranessa_LORD	Cine2_LH_Impact_Punch_Small_Moderate	WH2_IND_Cinematic_Kit_V2_Melee_Generic_Punch_Moderate			
wh2_saurus_LORD	Cine2_LH_Impact_Punch_Small_Moderate	WH2_IND_Cinematic_Kit_V2_Melee_Generic_Punch_Moderate			
wh_dlc04_skarsnik_LORD	Cine2_LH_Impact_Punch_Small_Moderate	WH2_IND_Cinematic_Kit_V2_Melee_Generic_Punch_Moderate			
wh_dlc_gor_LORD	Cine2_LH_Impact_Punch_Small_Moderate	WH2_IND_Cinematic_Kit_V2_Melee_Generic_Punch_Moderate			
wh_dwarf_default_LORD	Cine2_LH_Impact_Punch_Small_Moderate	WH2_IND_Cinematic_Kit_V2_Melee_Generic_Punch_Moderate			
wh2_dlc11_cst_Aranessa_LORD	Cine2_LH_Impact_Punch_Small_Quiet	WH2_IND_Cinematic_Kit_V2_Melee_Generic_Punch_Quiet			
wh2_dlc_tmb_arkhan_LORD	Cine2_LH_Impact_Punch_Small_Quiet	WH2_IND_Cinematic_Kit_V2_Melee_Generic_Punch_Quiet			
wh2_dlc_tmb_tomb_king_LORD	Cine2_LH_Impact_Punch_Small_Quiet	WH2_IND_Cinematic_Kit_V2_Melee_Generic_Punch_Quiet			
wh2_saurus_LORD	Cine2_LH_Impact_Punch_Small_Quiet	WH2_IND_Cinematic_Kit_V2_Melee_Generic_Punch_Quiet			
wh_dlc04_skarsnik_LORD	Cine2_LH_Impact_Punch_Small_Quiet	WH2_IND_Cinematic_Kit_V2_Melee_Generic_Punch_Quiet			
wh_dwarf_default_LORD	Cine2_LH_Impact_Punch_Small_Quiet	WH2_IND_Cinematic_Kit_V2_Melee_Generic_Punch_Quiet			
wh_empire_balthasar_gelt_LORD	Cine2_LH_Impact_Punch_Small_Quiet	WH2_IND_Cinematic_Kit_V2_Melee_Generic_Punch_Quiet			
wh_human_male_LORD	Cine2_LH_Impact_Punch_Small_Quiet	WH2_IND_Cinematic_Kit_V2_Melee_Generic_Punch_Quiet			
wh_human_male_LORD_ALT	Cine2_LH_Impact_Punch_Small_Quiet	WH2_IND_Cinematic_Kit_V2_Melee_Generic_Punch_Quiet			
wh_necromancer_male_LORD	Cine2_LH_Impact_Punch_Small_Quiet	WH2_IND_Cinematic_Kit_V2_Melee_Generic_Punch_Quiet			
wh_vampire_male_LORD	Cine2_LH_Impact_Punch_Small_Quiet	WH2_IND_Cinematic_Kit_V2_Melee_Generic_Punch_Quiet			
wh2_dlc11_cst_Harkon_LORD	Cine2_LH_Impact_Sword_Alternate_Small_Moderate_NoPL	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Sword_Moderate_no_prelife			
wh2_dlc_tmb_arkhan_LORD	Cine2_LH_Impact_Sword_Alternate_Small_Moderate_NoPL	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Sword_Moderate_no_prelife			
wh2_dlc_tmb_khatep_LORD	Cine2_LH_Impact_Sword_Alternate_Small_Moderate_NoPL	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Sword_Moderate_no_prelife			
wh2_dlc_tmb_tomb_king_LORD	Cine2_LH_Impact_Sword_Alternate_Small_Moderate_NoPL	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Sword_Moderate_no_prelife			
wh_dlc_brt_green_knight_LORD	Cine2_LH_Impact_Sword_Alternate_Small_Moderate_NoPL	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Sword_Moderate_no_prelife			
wh_dlc_gor_LORD	Cine2_LH_Impact_Sword_Alternate_Small_Moderate_NoPL	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Sword_Moderate_no_prelife			
wh_dlc_gor_LORD_ALT	Cine2_LH_Impact_Sword_Alternate_Small_Moderate_NoPL	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Generic_Moderate_no_prelife			
wh_empire_balthasar_gelt_LORD	Cine2_LH_Impact_Sword_Alternate_Small_Moderate_NoPL	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Sword_Moderate_no_prelife			
wh_human_male_LORD	Cine2_LH_Impact_Sword_Alternate_Small_Moderate_NoPL	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Sword_Moderate_no_prelife			
wh_human_male_LORD_ALT	Cine2_LH_Impact_Sword_Alternate_Small_Moderate_NoPL	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Generic_Moderate_no_prelife			
wh_necromancer_male_LORD	Cine2_LH_Impact_Sword_Alternate_Small_Moderate_NoPL	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Sword_Moderate_no_prelife			
wh_vampire_female_LORD	Cine2_LH_Impact_Sword_Alternate_Small_Moderate_NoPL	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Sword_Moderate_no_prelife			
wh_vampire_male_LORD	Cine2_LH_Impact_Sword_Alternate_Small_Moderate_NoPL	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Sword_Moderate_no_prelife			
wh2_dlc11_cst_Harkon_LORD	Cine2_LH_Impact_Sword_Alternate_Small_Moderate	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Sword_Moderate			
wh2_dlc_tmb_arkhan_LORD	Cine2_LH_Impact_Sword_Alternate_Small_Moderate	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Sword_Moderate			
wh2_dlc_tmb_khatep_LORD	Cine2_LH_Impact_Sword_Alternate_Small_Moderate	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Sword_Moderate			
wh2_dlc_tmb_tomb_king_LORD	Cine2_LH_Impact_Sword_Alternate_Small_Moderate	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Sword_Moderate			
wh_dlc_brt_green_knight_LORD	Cine2_LH_Impact_Sword_Alternate_Small_Moderate	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Sword_Moderate			
wh_dlc_gor_LORD	Cine2_LH_Impact_Sword_Alternate_Small_Moderate	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Sword_Moderate			
wh_dlc_gor_LORD_ALT	Cine2_LH_Impact_Sword_Alternate_Small_Moderate	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Generic_Moderate			
wh_empire_balthasar_gelt_LORD	Cine2_LH_Impact_Sword_Alternate_Small_Moderate	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Sword_Moderate			
