frontend_faction_effect_junctions_tables	1
effect	group	value	scope
wh2_dlc09_effect_force_army_battle_unit_melee_attack_during_ambushes	wh2_dlc09_tretch_leader	13	general_to_force_own
wh2_dlc09_effect_force_unit_stat_melee_attack_when_retreating_dummy	wh2_dlc09_tretch_leader	13	general_to_force_own
wh_main_effect_unit_enable_attribute_guerrilla_deployment	wh2_dlc09_tretch_leader	1	character_to_force_own
wh2_dlc09_effect_book_vampire_units	wh2_dlc09_vor_arkhan_faction	1	faction_to_force_own_unseen
wh2_dlc09_effect_religion_undeath_public_order_dummy	wh2_dlc09_vor_arkhan_faction	1	faction_to_faction_own_unseen
wh2_dlc09_faction_diplomacy_bonus_tombkings	wh2_dlc09_vor_arkhan_faction	-50	faction_to_faction_own_unseen
wh_main_effect_military_force_winds_of_magic_depletion_mod_other	wh2_dlc09_vor_arkhan_faction	10	faction_to_force_own
wh_main_faction_diplomacy_penalty_vampire_counts	wh2_dlc09_vor_arkhan_faction	20	faction_to_faction_own_unseen
wh2_dlc09_effect_melee_attack_tmb_characters	wh2_dlc09_vor_arkhan_leader	5	general_to_force_own
wh2_dlc09_effect_melee_defence_tmb_characters	wh2_dlc09_vor_arkhan_leader	5	general_to_force_own
wh2_dlc09_faction_diplomacy_bonus_tombkings	wh2_dlc09_vor_khalida_faction	20	faction_to_faction_own_unseen
wh2_dlc09_tmb_lord_trait_khalida_climate_dummy	wh2_dlc09_vor_khalida_faction	1	faction_to_faction_own_unseen
wh_main_effect_force_unit_stat_ammunition	wh2_dlc09_vor_khalida_faction	20	faction_to_force_own
wh_main_effect_character_stat_enable_poison_attacks	wh2_dlc09_vor_khalida_leader	1	general_to_force_own
wh_main_effect_force_army_campaign_attrition_all_resistance	wh2_dlc09_vor_khalida_leader	-50	general_to_force_own
wh_main_effect_religion_conversion_untainted	wh2_dlc09_vor_khalida_leader	3	character_to_character_own_provincetext
wh2_dlc09_pooled_resource_canopic_jars_characters	wh2_dlc09_vor_khatep_faction	2	faction_to_faction_own_unseen
wh2_dlc09_tmb_lord_trait_khatep_climate_dummy	wh2_dlc09_vor_khatep_faction	1	faction_to_faction_own_unseen
wh2_main_faction_political_diplomacy_mod_darkelves	wh2_dlc09_vor_khatep_faction	-40	faction_to_faction_own_unseen
wh_main_effect_force_all_campaign_movement_range	wh2_dlc09_vor_khatep_faction	5	faction_to_force_own
wh_main_effect_force_all_campaign_replenishment_rate	wh2_dlc09_vor_khatep_faction	10	faction_to_force_own
wh2_dlc09_effect_agent_cap_increase_tmb_liche_priest	wh2_dlc09_vor_khatep_leader	2	faction_to_faction_own_unseen
wh2_dlc09_effect_agent_recruitment_xp_tmb_liche_priest	wh2_dlc09_vor_khatep_leader	3	faction_to_province_own_unseen
wh_main_effect_building_construction_time_mod_settlement	wh2_dlc09_vor_settra_faction	-1	faction_to_region_own_unseen
wh_main_effect_province_growth_other	wh2_dlc09_vor_settra_faction	10	faction_to_province_own
wh_main_effect_public_order_faction	wh2_dlc09_vor_settra_faction	2	faction_to_province_own
wh2_dlc09_effect_replenishment_tomb_guard_chariots	wh2_dlc09_vor_settra_leader	10	general_to_force_own
wh_main_effect_character_stat_mod_personal_aura_size	wh2_dlc09_vor_settra_leader	100	character_to_character_own
wh2_dlc09_effect_public_order_broken_treaty_dummy	wh2_dlc09_vor_tretch_faction	4	faction_to_faction_own_unseen
wh2_dlc09_tmb_lord_trait_tretch_climate_1_dummy	wh2_dlc09_vor_tretch_faction	1	faction_to_faction_own_unseen
wh2_dlc09_tmb_lord_trait_tretch_climate_2_dummy	wh2_dlc09_vor_tretch_faction	-1	faction_to_faction_own_unseen
wh2_dlc09_effect_force_army_battle_unit_melee_attack_during_ambushes	wh2_dlc09_vor_tretch_leader	13	general_to_force_own
wh2_dlc09_effect_force_unit_stat_melee_attack_when_retreating_dummy	wh2_dlc09_vor_tretch_leader	13	general_to_force_own
wh_main_effect_unit_enable_attribute_guerrilla_deployment	wh2_dlc09_vor_tretch_leader	1	character_to_force_own
wh2_dlc10_effect_agent_cap_increase_hef_handmaiden	wh2_dlc10_alarielle_faction	2	faction_to_faction_own_unseen
wh2_dlc10_effect_alarielle_defender_of_ulthuan_dummy	wh2_dlc10_alarielle_faction	1	faction_to_faction_own_unseen
wh2_dlc10_effect_alarielle_defender_of_ulthuan_penalty_dummy	wh2_dlc10_alarielle_faction	1	faction_to_faction_own_unseen
wh2_dlc10_faction_trait_ritual_cost_alarielle	wh2_dlc10_alarielle_faction	-75	faction_to_faction_own_unseen
wh2_dlc12_effect_faction_effect_alarielle_unique_rite_dummy	wh2_dlc10_alarielle_faction	1	faction_to_faction_own_unseen
wh2_dlc10_effect_alarielle_mortal_worlds_torment_dummy	wh2_dlc10_alarielle_leader	1	faction_to_faction_own_unseen
wh2_dlc10_effect_alarielle_power_of_nature_dummy	wh2_dlc10_alarielle_leader	1	faction_to_faction_own_unseen
wh2_dlc10_effect_force_army_battle_missile_damage_sisters_of_avelorn_handmaidens	wh2_dlc10_alarielle_leader	15	general_to_force_own
wh2_dlc10_effect_alith_anar_marked_for_death_dummy	wh2_dlc10_alith_anar_faction	1	faction_to_faction_own_unseen
wh2_dlc10_effect_faction_all_campaign_movement_range	wh2_dlc10_alith_anar_faction	10	faction_to_force_own
wh2_dlc10_effect_global_recruitment_duration_all	wh2_dlc10_alith_anar_faction	-1	faction_to_faction_own_unseen
wh2_dlc10_hef_lord_trait_alith_anar_climate_dummy	wh2_dlc10_alith_anar_faction	1	faction_to_faction_own_unseen
wh2_dlc12_effect_faction_effect_alith_unique_rite_dummy	wh2_dlc10_alith_anar_faction	1	faction_to_faction_own_unseen
wh2_dlc10_effect_upkeep_reduction_hef_shadow_warriors	wh2_dlc10_alith_anar_leader	-50	general_to_force_own
wh_main_effect_force_army_campaign_ambush_attack_success_chance	wh2_dlc10_alith_anar_leader	25	general_to_force_own
wh2_dlc10_effect_agent_cap_increase_def_death_hag	wh2_dlc10_hellebron_faction	2	faction_to_faction_own_unseen
wh2_dlc10_effect_force_all_campaign_captives	wh2_dlc10_hellebron_faction	25	faction_to_force_own_unseen
wh2_dlc10_effect_hellebron_blood_voyage_dummy	wh2_dlc10_hellebron_faction	1	faction_to_faction_own_unseen
wh2_dlc10_effect_hellebron_death_night_dummy	wh2_dlc10_hellebron_faction	1	faction_to_faction_own_unseen
wh2_dlc10_effect_hellebron_death_night_failure_dummy	wh2_dlc10_hellebron_faction	1	faction_to_faction_own_unseen
wh2_dlc12_effect_faction_effect_hellebron_unique_rite_dummy	wh2_dlc10_hellebron_faction	1	faction_to_faction_own_unseen
wh2_dlc10_effect_tech_upkeep_cost_reduction_def_khaine_units	wh2_dlc10_hellebron_leader	-50	general_to_force_own
wh2_dlc10_effect_agent_cap_increase_hef_handmaiden	wh2_dlc10_vor_alarielle_faction	2	faction_to_faction_own_unseen
wh2_dlc10_effect_alarielle_defender_of_ulthuan_dummy	wh2_dlc10_vor_alarielle_faction	1	faction_to_faction_own_unseen
wh2_dlc10_effect_alarielle_defender_of_ulthuan_penalty_dummy	wh2_dlc10_vor_alarielle_faction	1	faction_to_faction_own_unseen
wh2_dlc10_faction_trait_ritual_cost_alarielle	wh2_dlc10_vor_alarielle_faction	-75	faction_to_faction_own_unseen
wh2_dlc12_effect_faction_effect_alarielle_unique_rite_dummy	wh2_dlc10_vor_alarielle_faction	1	faction_to_faction_own_unseen
wh2_dlc10_effect_alarielle_mortal_worlds_torment_dummy	wh2_dlc10_vor_alarielle_leader	1	faction_to_faction_own_unseen
wh2_dlc10_effect_alarielle_power_of_nature_dummy	wh2_dlc10_vor_alarielle_leader	1	faction_to_faction_own_unseen
wh2_dlc10_effect_force_army_battle_missile_damage_sisters_of_avelorn_handmaidens	wh2_dlc10_vor_alarielle_leader	15	general_to_force_own
wh2_dlc10_effect_alith_anar_marked_for_death_dummy	wh2_dlc10_vor_alith_anar_faction	1	faction_to_faction_own_unseen
wh2_dlc10_effect_faction_all_campaign_movement_range	wh2_dlc10_vor_alith_anar_faction	10	faction_to_force_own
wh2_dlc10_effect_global_recruitment_duration_all	wh2_dlc10_vor_alith_anar_faction	-1	faction_to_faction_own_unseen
wh2_dlc10_hef_lord_trait_alith_anar_climate_dummy	wh2_dlc10_vor_alith_anar_faction	1	faction_to_faction_own_unseen
wh2_dlc12_effect_faction_effect_alith_unique_rite_dummy	wh2_dlc10_vor_alith_anar_faction	1	faction_to_faction_own_unseen
wh2_dlc10_effect_upkeep_reduction_hef_shadow_warriors	wh2_dlc10_vor_alith_anar_leader	-50	general_to_force_own
wh_main_effect_force_army_campaign_ambush_attack_success_chance	wh2_dlc10_vor_alith_anar_leader	25	general_to_force_own
wh2_dlc10_effect_agent_cap_increase_def_death_hag	wh2_dlc10_vor_hellebron_faction	2	faction_to_faction_own_unseen
wh2_dlc10_effect_force_all_campaign_captives	wh2_dlc10_vor_hellebron_faction	25	faction_to_force_own_unseen
wh2_dlc10_effect_hellebron_blood_voyage_dummy	wh2_dlc10_vor_hellebron_faction	1	faction_to_faction_own_unseen
wh2_dlc10_effect_hellebron_death_night_dummy	wh2_dlc10_vor_hellebron_faction	1	faction_to_faction_own_unseen
wh2_dlc10_effect_hellebron_death_night_failure_dummy	wh2_dlc10_vor_hellebron_faction	1	faction_to_faction_own_unseen
wh2_dlc12_effect_faction_effect_hellebron_unique_rite_dummy	wh2_dlc10_vor_hellebron_faction	1	faction_to_faction_own_unseen
wh2_dlc10_effect_tech_upkeep_cost_reduction_def_khaine_units	wh2_dlc10_vor_hellebron_leader	-50	general_to_force_own
wh2_dlc11_effect_aranessa_treasure_chance_dummy	wh2_dlc11_aranessa_faction	25	faction_to_force_own_unseen
wh_main_effect_force_all_campaign_raid_income	wh2_dlc11_aranessa_faction	50	faction_to_force_own_unseen
wh_main_effect_force_all_campaign_sacking_income	wh2_dlc11_aranessa_faction	20	faction_to_character_own_unseen
wh_main_faction_diplomacy_penalty_norsca	wh2_dlc11_aranessa_faction	-100	faction_to_faction_own_unseen
wh2_dlc11_cst_lord_trait_aranessa_melee_attack_increase_free_company	wh2_dlc11_aranessa_leader	8	general_to_force_own
wh2_dlc11_cst_lord_trait_aranessa_weapon_strength_increase_free_company	wh2_dlc11_aranessa_leader	20	general_to_force_own
wh_main_effect_character_stat_mod_personal_aura_morale_effect	wh2_dlc11_aranessa_leader	12	character_to_character_own
wh2_main_effect_force_unit_stat_morale_versus_lizardmen	wh2_dlc11_harkon_faction	8	faction_to_force_own_unseen
wh2_main_effect_tech_melee_defence_increase_hef_characters	wh2_dlc11_harkon_faction	6	faction_to_force_own
wh2_main_faction_political_diplomacy_mod_lizardmen	wh2_dlc11_harkon_faction	-60	faction_to_faction_own_unseen
wh2_dlc11_cst_lord_trait_harkon_split_personality	wh2_dlc11_harkon_leader	1	faction_to_character_own_unseen
wh2_main_effect_unit_stat_mod_ward_save_magic_all_units	wh2_dlc11_harkon_leader	25	general_to_force_own
wh_main_effect_religion_conversion_undeath	wh2_dlc11_harkon_leader	3	character_to_character_own_provincetext
wh2_dlc09_tmb_lord_trait_khalida_climate_dummy	wh2_dlc11_lokhir_faction	1	faction_to_faction_own_unseen
wh2_dlc11_def_lord_trait_lokhir_blark_recruit_dummy	wh2_dlc11_lokhir_faction	1	faction_to_faction_own_unseen
wh2_dlc11_def_lord_trait_lokhir_climate_savannah_dummy	wh2_dlc11_lokhir_faction	1	faction_to_faction_own_unseen
wh2_dlc12_effect_faction_effect_lokhir_unique_rite_dummy	wh2_dlc11_lokhir_faction	1	faction_to_faction_own_unseen
wh2_main_effect_economy_gdp_mod_slaves_def	wh2_dlc11_lokhir_faction	50	faction_to_region_own_unseen
wh2_main_effect_tech_upkeep_cost_reduction_def_corsairs	wh2_dlc11_lokhir_leader	-50	general_to_force_own
wh2_dlc11_effect_faction_trait_unit_recruitment_duration_cst_necrofex	wh2_dlc11_noctilus_faction	-1	faction_to_province_own_unseen
wh2_dlc11_effect_pirate_crew_recruitment_dummy	wh2_dlc11_noctilus_faction	2	faction_to_force_own_unseen
wh2_dlc11_noctilus_war_mission_dummy	wh2_dlc11_noctilus_faction	1	faction_to_faction_own_unseen
wh2_dlc11_effect_faction_trait_melee_damage_large_units	wh2_dlc11_noctilus_leader	15	general_to_force_own
wh2_dlc11_effect_faction_trait_upkeep_reduction_necrofex	wh2_dlc11_noctilus_leader	-20	general_to_force_own
wh2_dlc11_effect_faction_trait_cost_reduction_syreen_mourngul	wh2_dlc11_the_drowned_faction	-20	faction_to_force_own_unseen
wh2_dlc11_effect_faction_trait_upkeep_reduction_syreen_mourngul	wh2_dlc11_the_drowned_faction	-20	faction_to_force_own_unseen
wh2_main_effect_character_mod_loyalty_all	wh2_dlc11_the_drowned_faction	2	faction_to_faction_own_unseen
wh2_dlc11_effect_unit_stat_mod_ward_physical_all_units	wh2_dlc11_the_drowned_leader	5	general_to_force_own
wh_main_effect_character_stat_enable_magic_attacks	wh2_dlc11_the_drowned_leader	1	general_to_force_own
wh2_dlc11_effect_aranessa_treasure_chance_dummy	wh2_dlc11_vor_aranessa_faction	25	faction_to_force_own_unseen
wh_main_effect_force_all_campaign_raid_income	wh2_dlc11_vor_aranessa_faction	50	faction_to_force_own_unseen
wh_main_effect_force_all_campaign_sacking_income	wh2_dlc11_vor_aranessa_faction	20	faction_to_character_own_unseen
wh_main_faction_diplomacy_penalty_norsca	wh2_dlc11_vor_aranessa_faction	-100	faction_to_faction_own_unseen
wh2_dlc11_cst_lord_trait_aranessa_melee_attack_increase_free_company	wh2_dlc11_vor_aranessa_leader	8	general_to_force_own
wh2_dlc11_cst_lord_trait_aranessa_weapon_strength_increase_free_company	wh2_dlc11_vor_aranessa_leader	20	general_to_force_own
wh_main_effect_character_stat_mod_personal_aura_morale_effect	wh2_dlc11_vor_aranessa_leader	12	character_to_character_own
wh2_main_effect_force_unit_stat_morale_versus_lizardmen	wh2_dlc11_vor_harkon_faction	8	faction_to_force_own_unseen
wh2_main_effect_tech_melee_defence_increase_hef_characters	wh2_dlc11_vor_harkon_faction	6	faction_to_force_own
wh2_main_faction_political_diplomacy_mod_lizardmen	wh2_dlc11_vor_harkon_faction	-60	faction_to_faction_own_unseen
wh2_dlc11_cst_lord_trait_harkon_split_personality	wh2_dlc11_vor_harkon_leader	1	faction_to_character_own_unseen
wh2_main_effect_unit_stat_mod_ward_save_magic_all_units	wh2_dlc11_vor_harkon_leader	25	general_to_force_own
wh_main_effect_religion_conversion_undeath	wh2_dlc11_vor_harkon_leader	3	character_to_character_own_provincetext
wh2_dlc09_tmb_lord_trait_khalida_climate_dummy	wh2_dlc11_vor_lokhir_faction	1	faction_to_faction_own_unseen
wh2_dlc11_def_lord_trait_lokhir_blark_recruit_dummy	wh2_dlc11_vor_lokhir_faction	1	faction_to_faction_own_unseen
wh2_dlc11_def_lord_trait_lokhir_climate_savannah_dummy	wh2_dlc11_vor_lokhir_faction	1	faction_to_faction_own_unseen
wh2_dlc12_effect_faction_effect_lokhir_unique_rite_dummy	wh2_dlc11_vor_lokhir_faction	1	faction_to_faction_own_unseen
wh2_main_effect_economy_gdp_mod_slaves_def	wh2_dlc11_vor_lokhir_faction	50	faction_to_region_own_unseen
wh2_main_effect_tech_upkeep_cost_reduction_def_corsairs	wh2_dlc11_vor_lokhir_leader	-50	general_to_force_own
wh2_dlc11_effect_faction_trait_unit_recruitment_duration_cst_necrofex	wh2_dlc11_vor_noctilus_faction	-1	faction_to_province_own_unseen
wh2_dlc11_effect_pirate_crew_recruitment_dummy	wh2_dlc11_vor_noctilus_faction	2	faction_to_force_own_unseen
wh2_dlc11_noctilus_war_mission_dummy	wh2_dlc11_vor_noctilus_faction	1	faction_to_faction_own_unseen
wh2_dlc11_effect_faction_trait_melee_damage_large_units	wh2_dlc11_vor_noctilus_leader	15	general_to_force_own
wh2_dlc11_effect_faction_trait_upkeep_reduction_necrofex	wh2_dlc11_vor_noctilus_leader	-20	general_to_force_own
wh2_dlc11_effect_faction_trait_cost_reduction_syreen_mourngul	wh2_dlc11_vor_the_drowned_faction	-20	faction_to_force_own_unseen
wh2_dlc11_effect_faction_trait_upkeep_reduction_syreen_mourngul	wh2_dlc11_vor_the_drowned_faction	-20	faction_to_force_own_unseen
wh2_main_effect_character_mod_loyalty_all	wh2_dlc11_vor_the_drowned_faction	2	faction_to_faction_own_unseen
wh2_dlc11_effect_unit_stat_mod_ward_physical_all_units	wh2_dlc11_vor_the_drowned_leader	5	general_to_force_own
wh_main_effect_character_stat_enable_magic_attacks	wh2_dlc11_vor_the_drowned_leader	1	general_to_force_own
wh2_dlc12_effect_faction_effect_construction_cost_mod_skv_engineering	wh2_dlc12_ikit_faction	-40	faction_to_region_own_unseen
wh2_dlc12_effect_faction_effect_ikit_claw_ikits_workshop_dummy	wh2_dlc12_ikit_faction	1	faction_to_faction_own_unseen
wh2_main_effect_character_mod_loyalty_all	wh2_dlc12_ikit_faction	2	faction_to_faction_own_unseen
wh_main_effect_technology_research_points_mod	wh2_dlc12_ikit_faction	20	faction_to_faction_own_unseen
wh2_dlc12_effect_faction_effect_ikit_claw_doomrocket_dummy	wh2_dlc12_ikit_leader	1	character_to_character_own
wh2_dlc12_effect_unit_xp_levels_skv_weapons_teams	wh2_dlc12_ikit_leader	2	character_to_character_own
wh2_dlc12_skaven_weapons_team_upkeep	wh2_dlc12_ikit_leader	-50	force_to_force_own_lords_army
wh2_dlc12_effect_faction_effect_saurus_recruitment_dummy	wh2_dlc12_tehenhauin_faction	200	faction_to_faction_own_unseen
wh2_dlc12_effect_faction_effect_tehenhauin_plaque_of_sotek_dummy	wh2_dlc12_tehenhauin_faction	1	faction_to_faction_own_unseen
wh2_dlc12_faction_trait_ritual_cost_tehenhauin	wh2_dlc12_tehenhauin_faction	-75	faction_to_faction_own_unseen
wh2_dlc12_lzd_physical_resist_skinks	wh2_dlc12_tehenhauin_leader	10	force_to_force_own_lords_army
wh2_main_effect_force_unit_stat_morale_versus_skaven	wh2_dlc12_tehenhauin_leader	10	force_to_force_own_lords_army
wh_main_effect_religion_conversion_untainted	wh2_dlc12_tehenhauin_leader	3	character_to_character_own_provincetext
wh2_dlc12_effect_faction_effect_skink_terradon_mount_dummy	wh2_dlc12_tiktaqto_faction	1	faction_to_character_own_unseen
wh2_dlc12_effect_faction_effect_tiktaqto_unique_rite_dummy	wh2_dlc12_tiktaqto_faction	1	faction_to_faction_own_unseen
wh2_dlc12_effect_faction_effect_tiktaqto_upgraded_terradon_ability_dummy	wh2_dlc12_tiktaqto_faction	1	faction_to_force_own_unseen
wh_main_effect_agent_field_line_of_sight_mod	wh2_dlc12_tiktaqto_faction	25	faction_to_character_own
wh2_dlc12_effect_force_unit_stat_melee_attack_foreign_territory	wh2_dlc12_tiktaqto_leader	10	force_to_force_own_lords_army
wh2_dlc12_effect_upkeep_reduction_lzd_terradon_ripperdactyl	wh2_dlc12_tiktaqto_leader	-50	force_to_force_own_lords_army
wh2_dlc12_effect_faction_effect_construction_cost_mod_skv_engineering	wh2_dlc12_vor_ikit_faction	-40	faction_to_region_own_unseen
wh2_dlc12_effect_faction_effect_ikit_claw_ikits_workshop_dummy	wh2_dlc12_vor_ikit_faction	1	faction_to_faction_own_unseen
wh2_main_effect_character_mod_loyalty_all	wh2_dlc12_vor_ikit_faction	2	faction_to_faction_own_unseen
wh_main_effect_technology_research_points_mod	wh2_dlc12_vor_ikit_faction	20	faction_to_faction_own_unseen
wh2_dlc12_effect_faction_effect_ikit_claw_doomrocket_dummy	wh2_dlc12_vor_ikit_leader	1	character_to_character_own
wh2_dlc12_effect_unit_xp_levels_skv_weapons_teams	wh2_dlc12_vor_ikit_leader	2	character_to_character_own
wh2_dlc12_skaven_weapons_team_upkeep	wh2_dlc12_vor_ikit_leader	-50	force_to_force_own_lords_army
wh2_dlc12_effect_faction_effect_saurus_recruitment_dummy	wh2_dlc12_vor_tehenhauin_faction	200	faction_to_faction_own_unseen
wh2_dlc12_effect_faction_effect_tehenhauin_plaque_of_sotek_dummy	wh2_dlc12_vor_tehenhauin_faction	1	faction_to_faction_own_unseen
wh2_dlc12_faction_trait_ritual_cost_tehenhauin	wh2_dlc12_vor_tehenhauin_faction	-75	faction_to_faction_own_unseen
wh2_dlc12_lzd_physical_resist_skinks	wh2_dlc12_vor_tehenhauin_leader	10	force_to_force_own_lords_army
wh2_main_effect_force_unit_stat_morale_versus_skaven	wh2_dlc12_vor_tehenhauin_leader	10	force_to_force_own_lords_army
wh_main_effect_religion_conversion_untainted	wh2_dlc12_vor_tehenhauin_leader	3	character_to_character_own_provincetext
wh2_dlc12_effect_faction_effect_skink_terradon_mount_dummy	wh2_dlc12_vor_tiktaqto_faction	1	faction_to_character_own_unseen
wh2_dlc12_effect_faction_effect_tiktaqto_unique_rite_dummy	wh2_dlc12_vor_tiktaqto_faction	1	faction_to_faction_own_unseen
wh2_dlc12_effect_faction_effect_tiktaqto_upgraded_terradon_ability_dummy	wh2_dlc12_vor_tiktaqto_faction	1	faction_to_force_own_unseen
wh_main_effect_agent_field_line_of_sight_mod	wh2_dlc12_vor_tiktaqto_faction	25	faction_to_character_own
wh2_dlc12_effect_force_unit_stat_melee_attack_foreign_territory	wh2_dlc12_vor_tiktaqto_leader	10	force_to_force_own_lords_army
wh2_dlc12_effect_upkeep_reduction_lzd_terradon_ripperdactyl	wh2_dlc12_vor_tiktaqto_leader	-50	force_to_force_own_lords_army
wh2_dlc11_effect_trait_unit_recruitment_duration_brt_knights	wh2_main_alberic_faction	-1	faction_to_province_own_unseen
wh_main_effect_economy_trade_tariff_mod	wh2_main_alberic_faction	25	faction_to_faction_own_unseen
wh_main_effect_tech_unit_xp_levels_brt_knights	wh2_main_alberic_faction	2	faction_to_character_own_unseen
wh_dlc07_effect_battle_defence_knights_of_the_realm	wh2_main_alberic_leader	10	general_to_force_own
wh_dlc07_effect_chivalry_dummy	wh2_main_alberic_leader	10	character_to_faction_unseen
wh_dlc07_lord_trait_dummy_knights_vow	wh2_main_alberic_leader	1	faction_to_faction_own_unseen
wh_main_effect_battle_morale_increase_chaos_warriors	wh2_main_archaon_faction	10	faction_to_force_own_unseen
wh_main_effect_recruitment_cost_reduction_chaos_warriors	wh2_main_archaon_faction	-30	faction_to_force_own_unseen
wh_main_faction_political_diplomacy_mod	wh2_main_archaon_faction	-30	faction_to_faction_own_unseen
wh_main_effect_force_all_campaign_razing_income	wh2_main_archaon_leader	50	character_to_character_own
wh_main_effect_unit_stat_mod_ward_save	wh2_main_archaon_leader	5	general_to_force_own
wh2_dlc11_effect_building_construction_cost_mod_grn_settlements	wh2_main_azhag_faction	-25	faction_to_region_own
wh2_dlc11_effect_building_construction_time_mod_grn_settlements	wh2_main_azhag_faction	-1	faction_to_region_own
wh_main_effect_force_all_campaign_sacking_income	wh2_main_azhag_faction	25	faction_to_character_own_unseen
wh_main_effect_technology_research_points_mod	wh2_main_azhag_faction	25	faction_to_faction_own_unseen
wh_main_effect_character_stat_mod_personal_aura_morale_effect	wh2_main_azhag_leader	8	character_to_character_own
wh_main_effect_character_stat_mod_personal_aura_size	wh2_main_azhag_leader	75	character_to_character_own
wh_main_effect_agent_cap_increase_wizard_empire	wh2_main_balthasar_faction	2	faction_to_faction_own_unseen
wh_main_effect_force_army_battle_armour_all	wh2_main_balthasar_faction	10	faction_to_force_own_unseen
wh_main_effect_tech_upkeep_reduction_battle_wizards	wh2_main_balthasar_faction	-50	faction_to_force_own_unseen
wh2_dlc11_effect_magic_gelt_reduce_wom_cost_metal	wh2_main_balthasar_leader	-20	character_to_character_own
wh_main_effect_agent_recruitment_xp_wizard_empire	wh2_main_balthasar_leader	2	faction_to_province_own_factionwide
wh_main_effect_force_army_battle_artillery_damage	wh2_main_balthasar_leader	10	general_to_force_own
wh_dlc06_effect_faction_effect_building_bonus_dummy	wh2_main_belegar_faction	1	faction_to_force_own_unseen
wh_dlc06_effect_faction_effect_followers_dummy	wh2_main_belegar_faction	1	faction_to_force_own_unseen
wh_dlc06_effect_faction_effect_upkeep_dummy	wh2_main_belegar_faction	1	faction_to_force_own_unseen
wh_main_effect_force_army_battle_unit_morale_siege_attack	wh2_main_belegar_faction	10	faction_to_force_own_unseen
wh2_dlc11_effect_force_unit_stat_morale_versus_greenskins_skaven	wh2_main_belegar_leader	10	general_to_force_own
wh_dlc04_effect_unit_enable_can_siege_dummy	wh2_main_belegar_leader	1	character_to_character_own
wh_dlc06_effect_belegar_trait_enable_attribute_guerrilla_deployment_for_all_dummy	wh2_main_belegar_leader	1	character_to_force_own_factionwide
