audio_markers_tables	2
key	type	battle_start	battle_stop	battle_rtpc	distance_battle	campaign_start	campaign_stop	campaign_rtpc	distance_campaign	min_time	max_time	random_position	flatten_rtpc_to_2d	doppler_rtpc_name
Sound_Environment_Cam_Resource_Building_Marble	looping_sound				25	Campaign_Environment_Resource_Building_Marble_One_Shot	Campaign_Stop_Ambiences		25	5	10	false	false	
Sound_Environment_Cam_Resource_Building_Quarry	looping_sound				25	Campaign_Environment_Resource_Building_Quarry_Play	Campaign_Stop_Ambiences		25	5	10	false	false	
Sound_Environment_Cam_Resource_Building_Windmill	looping_sound				25	Campaign_Environment_Resource_Building_Rotating_Wheel_Loop_Play	Campaign_Stop_Ambiences		25	5	10	false	false	
Sound_Environment_Cam_Resource_Building_Wine	looping_sound				25	Campaign_Environment_Resource_Building_Wine_One_Shot	Campaign_Stop_Ambiences		25	5	10	false	false	
Sound_Environment_Cam_Resource_Building_Wooden_Frame_Creaks	looping_sound				25	Campaign_Environment_Resource_Building_Wooden_Frame_Creaks_Play	Campaign_Stop_Ambiences		25	5	10	false	false	
Sound_Environment_Cave_Wildlife	one_shot_sound	Battle_Environment_Cave_Wildlife_One_Shot			150				0	2	6	true	false	
Sound_Environment_Coastal_Waves_Ice	looping_sound				0	Cam_Coastal_Waves_Ice	Campaign_Stop_Ambiences		15	0	1	false	false	
Sound_Environment_Coastal_Waves_River_Opening	looping_sound				0	Cam_Coastal_Waves_River_Opening	Campaign_Stop_Ambiences		15	0	1	false	false	
Sound_Environment_Coastal_Waves_Rock	looping_sound	Battle_Environment_Element_Water_Coastal_Waves_Rock_Play	Battle_Environment_Element_Water_Coastal_Waves_Rock_Stop		500	Cam_Coastal_Waves_Rock	Campaign_Stop_Ambiences		30	0	1	false	false	
Sound_Environment_Coastal_Waves_Rock_Cold	looping_sound				500	Cam_Coastal_Waves_Rock_Cold	Campaign_Stop_Ambiences		30	0	1	false	false	
Sound_Environment_Coastal_Waves_Rock_Loud	looping_sound	Battle_Environment_Element_Water_Coastal_Waves_Rock_Loud_Play	Battle_Environment_Element_Water_Coastal_Waves_Rock_Loud_Stop		500				30	0	1	false	false	
Sound_Environment_Coastal_Waves_Sand	looping_sound	Battle_Environment_Element_Water_Coastal_Waves_Sand_Play	Battle_Environment_Element_Water_Coastal_Waves_Sand_Stop		500	Cam_Coastal_Waves_Sand	Campaign_Stop_Ambiences		30	0	1	false	false	
Sound_Environment_Coastal_Waves_Sand_Cold	looping_sound				500	Cam_Coastal_Waves_Sand_Cold	Campaign_Stop_Ambiences		30	0	1	false	false	
Sound_Environment_Coastal_Waves_Sand_Loud	looping_sound	Battle_Environment_Element_Water_Coastal_Waves_Sand_Loud_Play	Battle_Environment_Element_Water_Coastal_Waves_Sand_Loud_Stop		500				30	0	1	false	false	
Sound_Environment_Cold_Area_Sphere	looping_sound				0	Campaign_Environment_Element_Wind_Blizzard_Play	Campaign_Stop_Ambiences	Campaign_Wind_Cold	60	0	1	false	false	
Sound_Environment_Crimson_Skull_Area_Drone	looping_sound	Battle_Environment_Lizardmen_Crimson_Skull_Area_Drone_Play	Battle_Environment_Lizardmen_Crimson_Skull_Area_Drone_Stop		855	Campaign_Environment_Lizardmen_Temple_Settlement_Area_Drone_Play	Campaign_Environment_Lizardmen_Temple_Settlement_Area_Drone_Stop		25	0	1	false	false	
Sound_Environment_Crimson_Skull_Magic_Flame	looping_sound	Battle_Environment_Lizardmen_Crimson_Skull_Magic_Flame_Play	Battle_Environment_Lizardmen_Crimson_Skull_Magic_Flame_Stop		550				0	0	1	false	false	
Sound_Environment_Desert_Oasis	looping_sound	Battle_Environment_Dark_Elves_Desert_Oasis_Loop_Play	Battle_Environment_Dark_Elves_Desert_Oasis_Loop_Stop		100				36	0	1	false	false	
Sound_Environment_Desert_Rock_Debris	one_shot_sound				700	Campaign_Environment_Generic_Desert_Rock_Debris_Play			40	10	30	false	false	
Sound_Environment_Electric_Stone_Tower	looping_sound	Battle_Individual_Artillery_Wall_Tower_Lizardmen_Electricity_Start	Battle_Individual_Artillery_Wall_Tower_Lizardmen_Electricity_Stop		800				0	0	1	false	false	
Sound_Environment_Fire_Rock_Skull	looping_sound				100	Cam_Fire_Rock_Skull	Campaign_Stop_Ambiences		25	0	1	false	false	
Sound_Environment_Fire_Small_Blue	looping_sound	Battle_Environment_Element_Fire_Blue_Play	Battle_Environment_Element_Fire_Blue_Stop		100				10	0	1	false	false	
Sound_Environment_Fire_Small_Torch	looping_sound	Battle_Environment_Element_Fire_Torch_Play	Battle_Environment_Element_Fire_Torch_Stop		100	Cam_Fire_Torch_Play	Campaign_Stop_Ambiences		10	0	1	false	false	
Sound_Environment_Fountain_Small	looping_sound	Battle_Environment_Element_Water_Fountain_Small_Play	Battle_Environment_Element_Water_Fountain_Small_Stop		200				0	0	1	false	false	Campaign_Doppler
Sound_Environment_Geezer	one_shot_sound	Battle_Environment_Element_Water_Geezer			50				0	0	1	false	false	
Sound_Environment_Generic_Swamp_Hot	looping_sound				0	Cam_Generic_Swamp_Hot	Campaign_Stop_Ambiences		40	0	1	false	false	
Sound_Environment_Generic_Swamp_Moderate	looping_sound				0	Cam_Generic_Swamp_Moderate	Campaign_Stop_Ambiences		40	0	1	false	false	
Sound_Environment_Hef_Heart_Magic_Level_02	looping_sound	Battle_Environment_High_Elves_Elves_Heart_Magic_Level_02_Play	Battle_Environment_High_Elves_Elves_Heart_Magic_Level_02_Stop		550				50	0	1	false	false	
Sound_Environment_Hef_Heart_Magic_Level_03	looping_sound	Battle_Environment_High_Elves_Elves_Heart_Magic_Level_03_Play	Battle_Environment_High_Elves_Elves_Heart_Magic_Level_03_Stop		550				50	0	1	false	false	
Sound_Environment_Hef_Heart_Magic_Level_04	looping_sound	Battle_Environment_High_Elves_Elves_Heart_Magic_Level_04_Play	Battle_Environment_High_Elves_Elves_Heart_Magic_Level_04_Stop		550				50	0	1	false	false	
Sound_Environment_Hef_Magic_Building_Blue_Glow	looping_sound	Battle_Environment_High_Elves_Elves_Magic_Building_Blue_Glow_Play	Battle_Environment_High_Elves_Elves_Magic_Building_Blue_Glow_Stop		200				50	0	1	false	false	
Sound_Environment_Hef_Magic_Tower	looping_sound	Battle_Environment_High_Elves_Elves_Magic_Tower_Play	Battle_Environment_High_Elves_Elves_Magic_Tower_Stop		550	Cam_Generic_Rune_Stone	Campaign_Stop_Ambiences		50	0	1	false	false	
Sound_Environment_Hef_Magic_Tower_Small	looping_sound	Battle_Environment_High_Elves_Elves_Magic_Tower_Small_Play	Battle_Environment_High_Elves_Elves_Magic_Tower_Small_Stop		200				50	0	1	false	false	
Sound_Environment_Hot_Spring	looping_sound	Battle_Environment_Element_Water_Hot_Spring_Lake_Play	Battle_Environment_Element_Water_Hot_Spring_Lake_Stop		140				0	0	1	false	false	
Sound_Environment_Ice_Creaks	one_shot_sound	Battle_Environment_Element_Ice_Creaks			50	Cam_Ice_Creaks			40	7	15	false	false	
Sound_Environment_Ice_Slides	one_shot_sound	Battle_Environment_Element_Ice_Slides			50				20	5	10	false	false	
Sound_Environment_Lake_Cold	looping_sound				0	Cam_Lake_Cold	Campaign_Stop_Ambiences		20	0	1	false	false	
Sound_Environment_Lake_Hot	looping_sound				0	Cam_Lake_Hot	Campaign_Stop_Ambiences		20	0	1	false	false	
Sound_Environment_Lake_Moderate	looping_sound				0	Cam_Lake_Moderate	Campaign_Stop_Ambiences		20	0	1	false	false	
Sound_Environment_Lake_Poison	looping_sound				0	Campaign_Environment_Element_Water_Poison_Pool_Play	Campaign_Environment_Element_Water_Poison_Pool_Stop		20	0	1	false	false	
Sound_Environment_Lava_Burst	looping_sound				140	Cam_Lava_Burst	Campaign_Stop_Ambiences		20	5	10	false	false	
Sound_Environment_Lava_Fall	looping_sound	Battle_Environment_Element_Fire_Lava_Fall_Play	Battle_Environment_Element_Fire_Lava_Fall_Stop		140	Cam_Lava_Fall	Campaign_Stop_Ambiences		20	0	1	false	false	
Sound_Environment_Lava_Lake	looping_sound	Battle_Environment_Element_Fire_Lava_Lake_Play	Battle_Environment_Element_Fire_Lava_Lake_Stop		140	Cam_Lava_Lake	Campaign_Stop_Ambiences		50	0	1	false	false	
Sound_Environment_Lava_Large	looping_sound	Battle_Environment_Element_Fire_Lava_Large_Play	Battle_Environment_Element_Fire_Lava_Large_Stop		2000	Cam_Lava_Lake	Campaign_Stop_Ambiences		50	0	1	false	false	
Sound_Environment_Lava_River	looping_sound	Battle_Environment_Element_Fire_Lava_River_Play	Battle_Environment_Element_Fire_Lava_River_Stop		140	Cam_Lava_River	Campaign_Stop_Ambiences		50	0	1	false	false	
Sound_Environment_Lizardmen_Portal	looping_sound				0	Campaign_Environment_Lizardmen_Temple_Settlement_Area_Drone_Play	Campaign_Stop_Ambiences		35	0	1	false	false	
Sound_Environment_Maelstrom	looping_sound	Battle_Environment_Vampire_Coast_Galleons_Graveyard_Maelstrom_Play	Battle_Environment_Vampire_Coast_Galleons_Graveyard_Maelstrom_Play		6000				0	0	1	false	false	Campaign_Doppler
Sound_Environment_Magic_Door_Electricity	looping_sound	Battle_Environment_Vampire_Coast_Magic_Door_Play	Battle_Environment_Vampire_Coast_Magic_Door_Stop		150				40	0	1	false	false	
Sound_Environment_Magic_Particles	looping_sound	Battle_Environment_Magic_Magic_Particles_Play	Battle_Environment_Magic_Magic_Particles_Stop		75				50	0	1	false	false	
Sound_Environment_Magic_Pillar	looping_sound	Battle_Environment_Magic_Magic_Pillar_Play	Battle_Environment_Magic_Magic_Pillar_Stop		75				50	0	1	false	false	
Sound_Environment_Magic_Portal_Chaos	looping_sound	Battle_Environment_Magic_Chaos_Portal_Play	Battle_Environment_Magic_Chaos_Portal_Stop		800				0	0	1	false	false	
Sound_Environment_Norsca_Column_Torch	looping_sound				100	Campaign_Environment_Nordic_Column_Torch_Play	Campaign_Stop_Ambiences		10	0	1	false	false	
Sound_Environment_Norsca_Crow_Monolith	looping_sound				0	Campaign_Environment_Nordic_Monolith_Crow_Play	Campaign_Stop_Ambiences		25	0	1	false	false	Campaign_Doppler
Sound_Environment_Norsca_Eagle_Monolith	looping_sound				0	Campaign_Environment_Nordic_Monolith_Eagle_Play	Campaign_Stop_Ambiences		25	0	1	false	false	Campaign_Doppler
Sound_Environment_Norsca_Hound_Monolith	looping_sound				0	Campaign_Environment_Nordic_Monolith_Hound_Play	Campaign_Stop_Ambiences		25	0	1	false	false	Campaign_Doppler
Sound_Environment_Norsca_Serpent_Monolith	looping_sound				0	Campaign_Environment_Nordic_Monolith_Serpent_Play	Campaign_Stop_Ambiences		25	0	1	false	false	Campaign_Doppler
Sound_Environment_Pond_Dwarf	looping_sound	Battle_Environment_Element_Water_Pond_Dwarf_Play	Battle_Environment_Element_Water_Pond_Dwarf_Stop		140				0	0	1	false	false	
Sound_Environment_Pond_Empire	looping_sound	Battle_Environment_Element_Water_Pond_Empire_Play	Battle_Environment_Element_Water_Pond_Empire_Stop		140				0	0	1	false	false	
Sound_Environment_Pond_Greenskin	looping_sound	Battle_Environment_Element_Water_Pond_Greenskin_Play	Battle_Environment_Element_Water_Pond_Greenskin_Stop		140				0	0	1	false	false	
Sound_Environment_Pond_High_Elves	looping_sound	Battle_Environment_Element_Water_Pond_High_Elves_Play	Battle_Environment_Element_Water_Pond_High_Elves_Stop		140				0	0	1	false	false	
Sound_Environment_Pond_Lizardmen	looping_sound	Battle_Environment_Element_Water_Pond_Lizardmen_Play	Battle_Environment_Element_Water_Pond_Lizardmen_Stop		140				0	0	1	false	false	
Sound_Environment_Pond_Nordic	looping_sound	Battle_Environment_Element_Water_Pond_Nordic_Play	Battle_Environment_Element_Water_Pond_Nordic_Stop		140				0	0	1	false	false	
Sound_Environment_Pond_Vampire	looping_sound	Battle_Environment_Element_Water_Pond_Vampire_Play	Battle_Environment_Element_Water_Pond_Vampire_Stop		140				0	0	1	false	false	
Sound_Environment_Ritual_Broken_Def	looping_sound				0	Campaign_Environment_Element_Magic_Ritual_Broken_Def_Play	Campaign_Stop_Ambiences		50	0	1	false	false	
Sound_Environment_Ritual_Broken_Hef	looping_sound				0	Campaign_Environment_Element_Magic_Ritual_Broken_Hef_Play	Campaign_Stop_Ambiences		50	0	1	false	false	
Sound_Environment_Ritual_Broken_Lzd	looping_sound				0	Campaign_Environment_Element_Magic_Ritual_Broken_Lzd_Play	Campaign_Stop_Ambiences		50	0	1	false	false	
Sound_Environment_Ritual_Broken_Skv	looping_sound				0	Campaign_Environment_Element_Magic_Ritual_Broken_Skv_Play	Campaign_Stop_Ambiences		50	0	1	false	false	
Sound_Environment_Ritual_Def	looping_sound				0	Campaign_Environment_Element_Magic_Ritual_Def_Play	Campaign_Stop_Ambiences		50	0	1	false	false	
Sound_Environment_Ritual_Hef	looping_sound				0	Campaign_Environment_Element_Magic_Ritual_Hef_Play	Campaign_Stop_Ambiences		50	0	1	false	false	
Sound_Environment_Ritual_Lzd	looping_sound				0	Campaign_Environment_Element_Magic_Ritual_Lzd_Play	Campaign_Stop_Ambiences		50	0	1	false	false	
Sound_Environment_Ritual_Skv	looping_sound				0	Campaign_Environment_Element_Magic_Ritual_Skv_Play	Campaign_Stop_Ambiences		50	0	1	false	false	
Sound_Environment_River_Large_Hot	looping_sound				0	Cam_River_Large_Hot	Campaign_Stop_Ambiences		30	0	1	false	false	
Sound_Environment_River_Large_Moderate	looping_sound	Battle_Environment_Element_Water_River_3D_Play	Battle_Environment_Element_Water_River_3D_Stop		100	Cam_River_Large_Moderate	Campaign_Stop_Ambiences		30	0	1	false	false	
Sound_Environment_River_Of_Blood	looping_sound				0	Campaign_Environment_Element_Water_River_Of_Blood_Play	Campaign_Stop_Ambiences		30	0	1	false	false	
Sound_Environment_River_Rapids	looping_sound	Battle_Environment_Element_Water_River_Rapids_Play	Battle_Environment_Element_Water_River_Rapids_Stop		200				0	0	1	false	false	
Sound_Environment_River_Small_Cold	looping_sound				100	Cam_River_Small_Cold	Campaign_Stop_Ambiences		25	0	1	false	false	
Sound_Environment_River_Small_Hot	looping_sound				0	Cam_River_Small_Hot	Campaign_Stop_Ambiences		25	0	1	false	false	
Sound_Environment_River_Small_Moderate	looping_sound				0	Cam_River_Small_Moderate	Campaign_Stop_Ambiences		25	0	1	false	false	
Sound_Environment_River_Water_Lapse	looping_sound				0	Cam_River_Water_Lapse	Campaign_Stop_Ambiences		25	0	1	false	false	
Sound_Environment_River_Wildlife_LZD	looping_sound	Battle_Environment_Lizardmen_River_Wildlife_Play	Battle_Environment_Lizardmen_River_Wildlife_Stop		140				0	0	1	false	false	
Sound_Environment_Rock_Crumble_Large	one_shot_sound	Battle_Environment_Element_Earth_Rock_Crumble_Large			1000				0	10	30	false	false	
Sound_Environment_Rock_Crumble_Small	one_shot_sound	Battle_Environment_Element_Earth_Rock_Crumble_Small			200				0	5	15	false	false	
Sound_Environment_Rock_Debris_Large	one_shot_sound	Battle_Environment_Element_Earth_Rock_Debris_Large			700				0	10	30	false	false	
Sound_Environment_Rock_Debris_Small	one_shot_sound	Battle_Environment_Element_Earth_Rock_Debris_Small			200				0	5	15	false	false	
Sound_Environment_Rock_Impacts	one_shot_sound	Battle_Environment_Element_Earth_Rock_Impacts			700				0	0.5	1.5	false	false	
Sound_Environment_Rock_Slides	one_shot_sound	Battle_Environment_Element_Earth_Rock_Slide			50				0	5	10	false	false	
Sound_Environment_Rune_Stone	looping_sound	Battle_Environment_Magic_Rune_Stone_Play	Battle_Environment_Magic_Rune_Stone_Stop		75	Cam_Generic_Rune_Stone	Campaign_Stop_Ambiences		50	0	1	false	false	
Sound_Environment_Shadow_Realm_Portal	looping_sound	Battle_Environment_Element_Magic_Shadow_Realm_Portal_Play	Battle_Environment_Element_Magic_Shadow_Realm_Portal_Stop		850	Campaign_Environment_Element_Magic_Shadow_Realm_Portal_Play	Campaign_Stop_Ambiences		40	0	1	false	false	
Sound_Environment_Shipwreck	looping_sound	Battle_Environment_Element_Earth_Shipwreck_Creaks_Start	Battle_Environment_Element_Earth_Shipwreck_Creaks_Stop		200				25	5	10	false	false	
Sound_Environment_Shipwreck_With_Sails	looping_sound	Battle_Environment_Element_Earth_Shipwreck_With_Sails_Creaks_Start	Battle_Environment_Element_Earth_Shipwreck_With_Sails_Creaks_Stop		200				25	5	10	false	false	
Sound_Environment_Shroud_Map_Edge	looping_sound				0	Campaign_Environment_Generic_Shroud_Map_Edge_Play	Campaign_Environment_Generic_Shroud_Map_Edge_Stop		50	0	1	false	false	
Sound_Environment_Skaven_Burrows	looping_sound				200	Campaign_Environment_Skaven_Burrows_Play	Campaign_Environment_Skaven_Burrows_Stop		35	0	1	false	false	
Sound_Environment_Skv_Warpstone	looping_sound				75	Campaign_Environment_Element_Magic_Skv_Warpstone_Play	Campaign_Stop_Ambiences		50	0	1	false	false	
Sound_Environment_Spring_Of_Eternal_Life	looping_sound				0	Campaign_Environment_Element_Water_Spring_Of_Eternal_Life_Play	Campaign_Stop_Ambiences		38	0	1	false	false	
Sound_Environment_Swamp_Empire	looping_sound	Battle_Environment_Generic_Swamp_Empire_Play	Battle_Environment_Generic_Swamp_Empire_Stop		55				36	0	1	false	false	
Sound_Environment_Swamp_Greenskin	looping_sound	Battle_Environment_Generic_Swamp_Greenskin_Play	Battle_Environment_Generic_Swamp_Greenskin_Stop		55				36	0	1	false	false	
Sound_Environment_Swamp_Lizardmen	looping_sound	Battle_Environment_Generic_Swamp_Lizardmen_Play	Battle_Environment_Generic_Swamp_Lizardmen_Stop		100				36	0	1	false	false	
Sound_Environment_Swamp_Nordic	looping_sound	Battle_Environment_Generic_Swamp_Nordic_Play	Battle_Environment_Generic_Swamp_Nordic_Stop		55				36	0	1	false	false	
Sound_Environment_Swamp_Skaven	looping_sound	Battle_Environment_Generic_Swamp_Skaven_Play	Battle_Environment_Generic_Swamp_Skaven_Stop		100				36	0	1	false	false	
Sound_Environment_Swamp_Vampire	looping_sound	Battle_Environment_Generic_Swamp_Vampire_Play	Battle_Environment_Generic_Swamp_Vampire_Stop		55				36	0	1	false	false	
Sound_Environment_TMB_Ash_River	looping_sound	Battle_Environment_Tomb_Kings_Generic_Ash_River_Play	Battle_Environment_Tomb_Kings_Generic_Ash_River_Stop		400				50	0	1	false	false	
Sound_Environment_TMB_Black_Tower	looping_sound	Battle_Environment_Tomb_Kings_Generic_Black_Tower_Play	Battle_Environment_Tomb_Kings_Generic_Black_Tower_Stop		3000				500	0	1	false	false	Campaign_Doppler
Sound_Environment_TMB_Black_Tower_One_Shot	one_shot_sound	Battle_Environment_Tomb_Kings_Generic_Black_Tower_One_Shot			50				25	5	10	false	false	
Sound_Environment_TMB_Floating_Pyramid	looping_sound	Battle_Environment_Tomb_Kings_Generic_Floating_Pyramid_Play	Battle_Environment_Tomb_Kings_Generic_Floating_Pyramid_Stop		2500				500	0	1	false	false	Campaign_Doppler
Sound_Environment_TMB_Sandfall_Head	looping_sound	Battle_Environment_Tomb_Kings_Generic_Sandfall_Head_Play	Battle_Environment_Tomb_Kings_Generic_Sandfall_Head_Stop		100				20	0	1	false	false	
Sound_Environment_TMB_Sandfall_Tail	looping_sound	Battle_Environment_Tomb_Kings_Generic_Sandfall_Tail_Play	Battle_Environment_Tomb_Kings_Generic_Sandfall_Tail_Stop		100				20	0	1	false	false	
Sound_Environment_Temple_Area_Drone	looping_sound	Battle_Environment_Lizardmen_Temple_Area_Drone_Play	Battle_Environment_Lizardmen_Temple_Area_Drone_Stop		6000	Campaign_Environment_Lizardmen_Temple_Settlement_Area_Drone_Play	Campaign_Environment_Lizardmen_Temple_Settlement_Area_Drone_Stop		35	0	1	false	true	
Sound_Environment_Temple_Beam	looping_sound	Battle_Environment_Lizardmen_Temple_Beam_Play	Battle_Environment_Lizardmen_Temple_Beam_Stop		6000				0	0	1	false	false	Campaign_Doppler
Sound_Environment_Temple_Magic_Beam	looping_sound	Battle_Environment_Lizardmen_Temple_Magic_Beam_Stage_1_Play	Battle_Environment_Lizardmen_Temple_Magic_Beam_Stop		6000	Campaign_Environment_Lizardmen_Temple_Settlement_Area_Magic_Beam_Play	Campaign_Environment_Lizardmen_Temple_Settlement_Area_Magic_Beam_Stop		35	0	1	false	false	
Sound_Environment_Temple_Magic_Blue_Flame	looping_sound	Battle_Environment_Lizardmen_Temple_Magic_Blue_Flame_Play	Battle_Environment_Lizardmen_Temple_Magic_Blue_Flame_Stop		200				0	0	1	false	false	
Sound_Environment_Temple_Magic_Floating_Mist	looping_sound	Battle_Environment_Lizardmen_Temple_Magic_Floating_Mist_Play	Battle_Environment_Lizardmen_Temple_Magic_Floating_Mist_Stop		550				0	0	1	false	false	
Sound_Environment_Thorn_Vines_Large	one_shot_sound	Battle_Environment_High_Elves_Elves_Thorney_Vine_Oneshot			200				0	5	10	false	false	
Sound_Environment_Tower_Of_Hoeth_Magic_Bottom	looping_sound				0	Campaign_Environment_High_Elves_White_Tower_Of_Hoeth_Magic_Bottom_Loop_Start	Campaign_Stop_Ambiences		50	0	1	false	false	
Sound_Environment_Tower_Of_Hoeth_Magic_Top	looping_sound				0	Campaign_Environment_High_Elves_White_Tower_Of_Hoeth_Magic_Top_Loop_Start	Campaign_Stop_Ambiences		50	0	1	false	false	
Sound_Environment_Tower_Vertical_Beam	looping_sound	Battle_Individual_Artillery_Wall_Tower_Lizardmen_Electricity_Start	Battle_Individual_Artillery_Wall_Tower_Lizardmen_Electricity_Stop		800				0	0	1	false	false	
Sound_Environment_Tower_Waterfall_Flow_Small	looping_sound	Battle_Environment_Element_Water_Tower_Waterfall_Flow_Small_Play	Battle_Environment_Element_Water_Tower_Waterfall_Flow_Small_Stop		100				0	0	1	false	false	Campaign_Doppler
Sound_Environment_Tower_Waterfall_Mist_Small	looping_sound	Battle_Environment_Element_Water_Tower_Waterfall_Mist_Small_Play	Battle_Environment_Element_Water_Tower_Waterfall_Mist_Small_Stop		100				0	0	1	false	false	Campaign_Doppler
Sound_Environment_Treasure	looping_sound				0	Cam_Generic_Treasure	Campaign_Stop_Ambiences		50	0	1	false	false	
Sound_Environment_Tumour_Large	one_shot_sound	Battle_Environment_Element_Earth_Tumour_Large			50	Campaign_Environment_Element_Earth_Tumour_Play			25	5	10	false	false	
Sound_Environment_Tumour_Small	one_shot_sound	Battle_Environment_Element_Earth_Tumour_Small			50	Campaign_Environment_Element_Earth_Tumour_Play			25	5	10	false	false	
Sound_Environment_Underwater_Wall	looping_sound	Battle_Environment_Vampire_Coast_Underwater_Wall_Play	Battle_Environment_Vampire_Coast_Underwater_Wall_Stop		500				0	0	1	false	false	
Sound_Environment_VMP_Green_Glowing_Mist_Building	looping_sound	Battle_Environment_Vampire_Green_Glowing_Mist_Building_Loop_Start	Battle_Environment_Vampire_Green_Glowing_Mist_Building_Loop_Stop		50				0	0	1	false	false	
Sound_Environment_VMP_Green_Glowing_Mist_Land	looping_sound	Battle_Environment_Vampire_Green_Glowing_Mist_Land_Loop_Start	Battle_Environment_Vampire_Green_Glowing_Mist_Land_Loop_Stop		50				0	0	1	false	false	
Sound_Environment_Vampire_Meteorite	looping_sound	Battle_Environment_Vampire_Meteorite_Loop_Play	Battle_Environment_Vampire_Meteorite_Loop_Stop		400				25	5	10	false	false	
Sound_Environment_Volcanic_Shaft_Active	looping_sound	Battle_Environment_Element_Fire_Volcanic_Shaft_Active_Play	Battle_Environment_Element_Fire_Volcanic_Shaft_Active_Stop		400				30	0	1	false	false	
Sound_Environment_Volcano_Active	looping_sound	Battle_Environment_Element_Fire_Volcano_Active_Play	Battle_Environment_Element_Fire_Volcano_Active_Stop		800	Cam_Volcano_Active	Campaign_Stop_Ambiences		30	0	1	false	false	Campaign_Doppler
Sound_Environment_Volcano_Dormant	looping_sound	Battle_Environment_Element_Fire_Volcano_Dormant_Play	Battle_Environment_Element_Fire_Volcano_Dormant_Stop		800	Cam_Volcano_Dormant	Campaign_Stop_Ambiences		30	0	1	false	false	Campaign_Doppler
Sound_Environment_Water_Whirlpool	looping_sound				0	Cam_Water_Whirlpool_Play	Campaign_Stop_Ambiences		20	0	1	false	false	
Sound_Environment_Waterfall	looping_sound				0	Cam_Waterfall	Campaign_Stop_Ambiences		35	0	1	false	false	Campaign_Doppler
Sound_Environment_Waterfall_Flow_Large	looping_sound	Battle_Environment_Element_Water_Waterfall_Flow_Large_Play	Battle_Environment_Element_Water_Waterfall_Flow_Large_Stop		600	Cam_Waterfall_Large	Campaign_Stop_Ambiences		35	0	1	false	false	Campaign_Doppler
Sound_Environment_Waterfall_Flow_Small	looping_sound	Battle_Environment_Element_Water_Waterfall_Flow_Small_Play	Battle_Environment_Element_Water_Waterfall_Flow_Small_Stop		200				0	0	1	false	false	Campaign_Doppler
Sound_Environment_Waterfall_Huge	looping_sound	Battle_Environment_Element_Water_Waterfall_Flow_Huge_Play	Battle_Environment_Element_Water_Waterfall_Flow_Huge_Stop		6000				0	0	1	false	false	Campaign_Doppler
Sound_Environment_Waterfall_Mist_Large	looping_sound	Battle_Environment_Element_Water_Waterfall_Mist_Large_Play	Battle_Environment_Element_Water_Waterfall_Mist_Large_Stop		600				0	0	1	false	false	Campaign_Doppler
