mercenary_pool_to_groups_junctions_tables	1
group	initial_unit_count	key	pool	faction_requirement	subculture_requirement	tech_requirement
wh_main_vmp_inf_grave_guard_0	0	2973	wh_main_vmp_vampire_merc_pool		wh_main_sc_vmp_vampire_counts	
wh_main_vmp_inf_grave_guard_1	0	2979	wh_main_vmp_vampire_merc_pool		wh_main_sc_vmp_vampire_counts	
wh_dlc08_nor_mon_war_mammoth_boss	1	298314755	wh_dlc08_monster_hunt_of_renown_pool		wh_main_sc_nor_norsca	
wh_main_vmp_mon_crypt_horrors	0	2988	wh_main_vmp_vampire_merc_pool		wh_main_sc_vmp_vampire_counts	
wh_main_vmp_mon_terrorgheist	0	2997	wh_main_vmp_vampire_merc_pool		wh_main_sc_vmp_vampire_counts	
wh_main_vmp_mon_vargheists	0	3000	wh_main_vmp_vampire_merc_pool		wh_main_sc_vmp_vampire_counts	
wh_main_vmp_mon_varghulf	0	3005	wh_main_vmp_vampire_merc_pool		wh_main_sc_vmp_vampire_counts	
wh_main_vmp_veh_black_coach	0	3009	wh_main_vmp_vampire_merc_pool		wh_main_sc_vmp_vampire_counts	
wh_main_vmp_inf_crypt_ghouls	0	3012	wh_main_vmp_vampire_merc_pool		wh_main_sc_vmp_vampire_counts	
wh_main_vmp_inf_skeleton_warriors_0	0	3020	wh_main_vmp_vampire_merc_pool		wh_main_sc_vmp_vampire_counts	
wh_main_vmp_inf_skeleton_warriors_1	0	3030	wh_main_vmp_vampire_merc_pool		wh_main_sc_vmp_vampire_counts	
wh_main_vmp_mon_dire_wolves	0	3032	wh_main_vmp_vampire_merc_pool		wh_main_sc_vmp_vampire_counts	
wh_main_vmp_mon_fell_bats	0	3039	wh_main_vmp_vampire_merc_pool		wh_main_sc_vmp_vampire_counts	
wh_main_vmp_inf_skeleton_warriors_0	1	3056	wh_main_vmp_province_pool		wh_main_sc_vmp_vampire_counts	
wh_main_vmp_inf_skeleton_warriors_1	1	3063	wh_main_vmp_province_pool		wh_main_sc_vmp_vampire_counts	
wh2_dlc11_cst_inf_zombie_gunnery_mob_1	0	307861209	wh2_dlc11_cst_vampire_pirate_merc_pool		wh2_dlc11_sc_cst_vampire_coast	
wh_main_vmp_inf_zombie	2	3083	wh_main_vmp_province_pool		wh_main_sc_vmp_vampire_counts	
wh_dlc04_emp_art_hammer_of_the_witches_0	1	3090	wh_dlc04_emp_units_of_renown_pool		wh_main_sc_emp_empire	
wh_dlc04_emp_art_sunmaker_0	1	3094	wh_dlc04_emp_units_of_renown_pool		wh_main_sc_emp_empire	
wh_dlc04_emp_cav_royal_altdorf_gryphites_0	1	3101	wh_dlc04_emp_units_of_renown_pool		wh_main_sc_emp_empire	
wh_dlc04_emp_cav_zintlers_reiksguard_0	1	3109	wh_dlc04_emp_units_of_renown_pool		wh_main_sc_emp_empire	
wh_dlc04_emp_inf_silver_bullets_0	1	3115	wh_dlc04_emp_units_of_renown_pool		wh_main_sc_emp_empire	
wh_dlc04_emp_inf_stirlands_revenge_0	1	3118	wh_dlc04_emp_units_of_renown_pool		wh_main_sc_emp_empire	
wh_dlc04_emp_inf_tattersouls_0	1	3119	wh_dlc04_emp_units_of_renown_pool		wh_main_sc_emp_empire	
wh_dlc04_emp_veh_templehof_luminark_0	1	3122	wh_dlc04_emp_units_of_renown_pool		wh_main_sc_emp_empire	
wh_dlc04_vmp_cav_chillgheists_0	1	3128	wh_dlc04_vmp_units_of_renown_pool		wh_main_sc_vmp_vampire_counts	
wh_dlc04_vmp_cav_vereks_reavers_0	1	3136	wh_dlc04_vmp_units_of_renown_pool		wh_main_sc_vmp_vampire_counts	
wh_dlc04_vmp_inf_feasters_in_the_dusk_0	1	3142	wh_dlc04_vmp_units_of_renown_pool		wh_main_sc_vmp_vampire_counts	
wh_dlc04_vmp_inf_konigstein_stalkers_0	1	3156	wh_dlc04_vmp_units_of_renown_pool		wh_main_sc_vmp_vampire_counts	
wh_dlc04_vmp_inf_sternsmen_0	1	3159	wh_dlc04_vmp_units_of_renown_pool		wh_main_sc_vmp_vampire_counts	
wh_dlc04_vmp_inf_tithe_0	1	3160	wh_dlc04_vmp_units_of_renown_pool		wh_main_sc_vmp_vampire_counts	
wh_dlc04_vmp_mon_devils_swartzhafen_0	1	3167	wh_dlc04_vmp_units_of_renown_pool		wh_main_sc_vmp_vampire_counts	
wh_dlc04_vmp_veh_claw_of_nagash_0	1	3170	wh_dlc04_vmp_units_of_renown_pool		wh_main_sc_vmp_vampire_counts	
wh_dlc06_dwf_art_gob_lobber_0	1	3172	wh_dlc06_dwf_units_of_renown_pool		wh_main_sc_dwf_dwarfs	
wh_dlc06_dwf_inf_dragonback_slayers_0	1	3173	wh_dlc06_dwf_units_of_renown_pool		wh_main_sc_dwf_dwarfs	
wh_dlc06_dwf_inf_ekrund_miners_0	1	3181	wh_dlc06_dwf_units_of_renown_pool		wh_main_sc_dwf_dwarfs	
wh_dlc06_dwf_inf_norgrimlings_ironbreakers_0	1	3190	wh_dlc06_dwf_units_of_renown_pool		wh_main_sc_dwf_dwarfs	
wh_dlc06_dwf_inf_norgrimlings_irondrakes_0	1	3192	wh_dlc06_dwf_units_of_renown_pool		wh_main_sc_dwf_dwarfs	
wh_dlc06_dwf_inf_old_grumblers_0	1	3195	wh_dlc06_dwf_units_of_renown_pool		wh_main_sc_dwf_dwarfs	
wh_dlc06_dwf_inf_peak_gate_guard_0	1	3204	wh_dlc06_dwf_units_of_renown_pool		wh_main_sc_dwf_dwarfs	
wh_dlc06_dwf_inf_ulthars_raiders_0	1	3206	wh_dlc06_dwf_units_of_renown_pool		wh_main_sc_dwf_dwarfs	
wh_dlc06_dwf_inf_warriors_dragonfire_pass_0	1	3213	wh_dlc06_dwf_units_of_renown_pool		wh_main_sc_dwf_dwarfs	
wh_dlc06_dwf_veh_skyhammer_0	1	3215	wh_dlc06_dwf_units_of_renown_pool		wh_main_sc_dwf_dwarfs	
wh_dlc06_grn_art_hammer_of_gork_0	1	3220	wh_dlc06_grn_units_of_renown_pool		wh_main_sc_grn_greenskins	
wh_dlc06_grn_cav_deff_creepers_0	1	3222	wh_dlc06_grn_units_of_renown_pool		wh_main_sc_grn_greenskins	
wh_dlc06_grn_cav_durkits_squigs_0	1	3224	wh_dlc06_grn_units_of_renown_pool		wh_main_sc_grn_greenskins	
wh_dlc06_grn_cav_mogrubbs_marauders_0	1	3226	wh_dlc06_grn_units_of_renown_pool		wh_main_sc_grn_greenskins	
wh_dlc06_grn_cav_moon_howlers_0	1	3236	wh_dlc06_grn_units_of_renown_pool		wh_main_sc_grn_greenskins	
wh_dlc06_grn_cav_teef_robbers_0	1	3240	wh_dlc06_grn_units_of_renown_pool		wh_main_sc_grn_greenskins	
wh_dlc06_grn_inf_da_eight_peaks_loonies_0	1	3245	wh_dlc06_grn_units_of_renown_pool		wh_main_sc_grn_greenskins	
wh_dlc06_grn_inf_da_rusty_arrers_0	1	3251	wh_dlc06_grn_units_of_renown_pool		wh_main_sc_grn_greenskins	
wh_dlc02_vmp_cav_blood_knights_0	0	3252	wh_main_vmp_vampire_merc_pool		wh_main_sc_vmp_vampire_counts	
wh_dlc04_emp_inf_sigmars_sons_0	1	3259	wh_dlc04_emp_units_of_renown_pool		wh_main_sc_emp_empire	
wh_dlc04_vmp_mon_direpack_0	1	3263	wh_dlc04_vmp_units_of_renown_pool		wh_main_sc_vmp_vampire_counts	
wh_dlc04_vmp_veh_mortis_engine_0	0	3264	wh_main_vmp_vampire_merc_pool		wh_main_sc_vmp_vampire_counts	
wh_dlc04_vmp_veh_corpse_cart_0	0	3268	wh_main_vmp_vampire_merc_pool		wh_main_sc_vmp_vampire_counts	
wh_dlc04_vmp_veh_corpse_cart_1	0	3276	wh_main_vmp_vampire_merc_pool		wh_main_sc_vmp_vampire_counts	
wh_dlc04_vmp_veh_corpse_cart_2	0	3278	wh_main_vmp_vampire_merc_pool		wh_main_sc_vmp_vampire_counts	
wh_dlc06_grn_inf_krimson_killerz_0	1	3283	wh_dlc06_grn_units_of_renown_pool		wh_main_sc_grn_greenskins	
wh_dlc06_grn_cav_broken_tusks_mob_0	1	3289	wh_dlc06_grn_units_of_renown_pool		wh_main_sc_grn_greenskins	
wh_dlc06_grn_inf_da_warlords_boyz_0	1	3297	wh_dlc06_grn_units_of_renown_pool		wh_main_sc_grn_greenskins	
wh_dlc06_grn_mon_venom_queen_0	1	3303	wh_dlc06_grn_units_of_renown_pool		wh_main_sc_grn_greenskins	
wh2_dlc10_def_cav_knights_of_the_ebon_claw_ror_0	1	339801120	wh2_main_def_units_of_renown_pool		wh2_main_sc_def_dark_elves	
wh2_main_lzd_inf_chameleon_skinks_blessed_0	0	348183996	wh2_main_lzd_spawnings_pool		wh2_main_sc_lzd_lizardmen	
wh2_dlc11_cst_inf_syreens	0	356101174	wh2_dlc11_cst_vampire_pirate_merc_pool		wh2_dlc11_sc_cst_vampire_coast	
wh_pro04_bst_inf_minotaurs_ror_0	1	368548776	wh_dlc03_bst_units_of_renown_pool		wh_dlc03_sc_bst_beastmen	
wh_pro04_wef_inf_waywatchers_ror_0	1	369869340	wh_dlc05_wef_units_of_renown_pool		wh_dlc05_sc_wef_wood_elves	
wh2_dlc09_tmb_cav_skeleton_horsemen_ror	0	417610876	wh2_dlc09_tmb_units_of_renown_pool		wh2_dlc09_sc_tmb_tomb_kings	
wh2_main_lzd_cav_terradon_riders_blessed_1	0	42334842	wh2_main_lzd_spawnings_pool		wh2_main_sc_lzd_lizardmen	
wh2_dlc11_cst_mon_mournguls_0	0	504520412	wh2_dlc11_cst_vampire_pirate_merc_pool		wh2_dlc11_sc_cst_vampire_coast	
wh2_dlc10_hef_inf_the_silverpelts_ror_0	1	523772197	wh2_main_hef_units_of_renown_pool		wh2_main_sc_hef_high_elves	
wh_pro04_brt_cav_questing_knights_ror_0	1	532900751	wh_dlc07_brt_units_of_renown_pool		wh_main_sc_brt_bretonnia	
wh_pro04_chs_inf_chaos_warriors_ror_0	1	571175557	wh_dlc01_chs_units_of_renown_pool		wh_main_sc_chs_chaos	
wh_pro04_wef_inf_wardancers_ror_0	1	572424897	wh_dlc05_wef_units_of_renown_pool		wh_dlc05_sc_wef_wood_elves	
wh_pro04_nor_mon_skinwolves_ror_0	1	575857935	wh_dlc08_nor_units_of_renown_pool		wh_main_sc_nor_norsca	
wh_dlc08_nor_mon_frost_wyrm_boss	1	603050433	wh_dlc08_monster_hunt_of_renown_pool		wh_main_sc_nor_norsca	
wh_pro04_bst_inf_bestigor_herd_ror_0	1	6114700	wh_dlc03_bst_units_of_renown_pool		wh_dlc03_sc_bst_beastmen	
wh2_main_lzd_inf_saurus_spearmen_blessed_1	0	627014889	wh2_main_lzd_spawnings_pool		wh2_main_sc_lzd_lizardmen	
wh2_dlc10_hef_cav_the_fireborn_ror_0	1	67795136	wh2_main_hef_units_of_renown_pool		wh2_main_sc_hef_high_elves	
wh2_dlc11_cst_inf_zombie_gunnery_mob_3	0	692011192	wh2_dlc11_cst_vampire_pirate_merc_pool		wh2_dlc11_sc_cst_vampire_coast	
wh2_dlc11_cst_mon_animated_hulks_0	0	698909300	wh2_dlc11_cst_vampire_pirate_merc_pool		wh2_dlc11_sc_cst_vampire_coast	
wh_dlc08_nor_mon_war_mammoth_ror_1	1	701378310	wh_dlc08_nor_units_of_renown_pool		wh_main_sc_nor_norsca	
wh_dlc08_grn_mon_giant_boss	1	713973865	wh_dlc08_monster_hunt_of_renown_pool		wh_main_sc_grn_greenskins	
wh2_dlc11_cst_cav_deck_droppers_ror_0	1	74332811	wh2_dlc11_cst_units_of_renown_pool		wh2_dlc11_sc_cst_vampire_coast	
wh2_dlc11_vmp_inf_crossbowmen	0	759675949	wh_dlc04_vmp_units_of_renown_pool		wh_main_sc_vmp_vampire_counts	
wh2_dlc11_cst_mon_rotting_prometheans_gunnery_mob_ror	1	784009851	wh2_dlc11_cst_units_of_renown_pool		wh2_dlc11_sc_cst_vampire_coast	
wh2_dlc11_cst_inf_depth_guard_ror_0	1	791320338	wh2_dlc11_cst_units_of_renown_pool		wh2_dlc11_sc_cst_vampire_coast	
wh2_dlc09_tmb_mon_carrion_ror	0	813919560	wh2_dlc09_tmb_units_of_renown_pool		wh2_dlc09_sc_tmb_tomb_kings	
wh2_dlc10_hef_mon_keepers_of_the_flame_ror_0	1	819173980	wh2_main_hef_units_of_renown_pool		wh2_main_sc_hef_high_elves	
wh2_dlc10_def_inf_blades_of_the_blood_queen_ror_0	1	820151814	wh2_main_def_units_of_renown_pool		wh2_main_sc_def_dark_elves	
wh2_dlc10_def_inf_the_bolt_fiends_ror_0	1	828241004	wh2_main_def_units_of_renown_pool		wh2_main_sc_def_dark_elves	
wh2_main_lzd_mon_carnosaur_blessed_0	0	847169603	wh2_main_lzd_spawnings_pool		wh2_main_sc_lzd_lizardmen	
wh_pro04_wef_mon_treekin_ror_0	1	861080977	wh_dlc05_wef_units_of_renown_pool		wh_dlc05_sc_wef_wood_elves	
wh2_dlc10_def_inf_the_hellebronai_ror_0	1	952535730	wh2_main_def_units_of_renown_pool		wh2_main_sc_def_dark_elves	
wh_pro04_bst_inf_gor_herd_ror_0	1	955989419	wh_dlc03_bst_units_of_renown_pool		wh_dlc03_sc_bst_beastmen	
