character_skills_to_quest_ancillaries_tables	1
wh2_dlc11_anc_enchanted_item_captain_roths_moondial	wh2_dlc11_skill_node_cst_noctilus_quest_0	true
wh2_dlc12_anc_enchanted_item_plaque_of_sotek	wh2_dlc12_skill_lzd_tehenhauin_quest_1	true
wh2_dlc12_anc_enchanted_item_mask_of_heavens	wh2_dlc12_skill_lzd_tiktaqto_quest_1	true
wh2_dlc12_anc_weapon_storm_daemon	wh2_dlc12_skill_skv_ikit_claw_quest_1	true
wh2_main_anc_arcane_item_circlet_of_iron	wh2_main_skill_def_malekith_quest_1	true
wh2_main_anc_weapon_destroyer	wh2_main_skill_def_malekith_quest_2	true
wh2_main_anc_armour_supreme_spellshield	wh2_main_skill_def_malekith_quest_3	true
wh2_main_anc_weapon_heartrender_and_the_darksword	wh2_main_skill_def_morathi_quest_1	true
wh2_main_anc_arcane_item_war_crown_of_saphery	wh2_main_skill_hef_teclis_quest_1	true
wh2_main_anc_weapon_sword_of_teclis	wh2_main_skill_hef_teclis_quest_2	true
wh2_main_anc_armour_dragon_armour_of_aenarion	wh2_main_skill_hef_tyrion_quest_1	true
wh2_main_anc_weapon_sunfang	wh2_main_skill_hef_tyrion_quest_2	true
wh2_main_anc_weapon_revered_spear_of_tlanxla	wh2_main_skill_lzd_kroq_quest_1	true
wh2_main_anc_enchanted_item_hand_of_gods	wh2_main_skill_lzd_kroq_quest_2	true
wh2_main_anc_magic_standard_sunburst_standard_of_hexoatl	wh2_main_skill_lzd_mazdamundi_quest_1	true
wh2_main_anc_weapon_cobra_mace_of_mazdamundi	wh2_main_skill_lzd_mazdamundi_quest_2	true
wh2_main_anc_armour_warp_shard_armour	wh2_main_skill_skv_queek_quest_1	true
wh2_main_anc_weapon_dwarf_gouger	wh2_main_skill_skv_queek_quest_2	true
wh2_main_anc_arcane_item_the_liber_bubonicus	wh2_main_skill_skv_skrolk_quest_1	true
wh2_main_anc_weapon_rod_of_corruption	wh2_main_skill_skv_skrolk_quest_2	true
wh_dlc03_anc_weapon_scourge	wh_dlc03_skill_bst_lord_scourge	true
wh_main_anc_weapon_stave_of_ruinous_corruption	wh_dlc03_skill_bst_morghur_unique_stave_of_ruinous_corruption	true
wh_dlc03_anc_armour_the_dark_mail	wh_dlc03_skill_bst_the_dark_mail	true
wh_dlc03_anc_talisman_icon_of_vilification	wh_dlc03_skill_malagor_icons_of_villifications	true
wh_dlc04_anc_talisman_jade_griffon	wh_dlc04_skill_emp_lord_unique_volkmar_the_grim_jade_griffon	true
wh_dlc04_anc_weapon_staff_of_command	wh_dlc04_skill_emp_lord_unique_volkmar_the_grim_staff_of_command	true
wh_dlc04_anc_arcane_item_the_liber_noctus	wh_dlc04_skill_vmp_lord_unique_helman_ghorst_liber_noctus	true
wh_dlc04_anc_weapon_blood_drinker	wh_dlc04_skill_vmp_lord_unique_vlad_von_carstein_blood_drinker	true
wh_dlc04_anc_talisman_the_carstein_ring	wh_dlc04_skill_vmp_lord_unique_vlad_von_carstein_the_carstein_ring	true
wh_dlc05_anc_weapon_daiths_sword	wh_dlc05_skill_wef_durthu_unique_sword_of_daith	true
wh_dlc05_anc_talisman_cloak_of_isha	wh_dlc05_skill_wef_orion_unique_cloak_of_isha	true
wh_dlc05_anc_enchanted_item_horn_of_the_wild_hunt	wh_dlc05_skill_wef_orion_unique_horn_of_the_wild_hunt	true
wh_dlc05_anc_weapon_spear_of_kurnous	wh_dlc05_skill_wef_orion_unique_spear_of_kurnous	true
wh_dlc06_anc_weapon_the_hammer_of_angrund	wh_dlc06_skill_dwf_lord_unique_belegar_hammer_of_angrund	true
wh_dlc06_anc_armour_shield_of_defiance	wh_dlc06_skill_dwf_lord_unique_belegar_shield_of_defiance	true
wh_dlc06_anc_rune_rune_of_fury	wh_dlc06_skill_dwf_runelord_self_rune_of_fury	false
wh_dlc06_anc_rune_rune_of_might	wh_dlc06_skill_dwf_runelord_self_rune_of_might	false
wh_dlc06_anc_rune_rune_of_parrying	wh_dlc06_skill_dwf_runelord_self_rune_of_parrying	false
wh_dlc06_anc_rune_rune_of_striking	wh_dlc06_skill_dwf_runelord_self_rune_of_striking	false
wh_dlc06_anc_enchanted_item_baleful_mask	wh_dlc06_skill_grn_wurrzag_unique_baleful_mask	true
wh_dlc06_anc_weapon_bonewood_staff	wh_dlc06_skill_grn_wurrzag_unique_bonewood_staff	true
wh_dlc06_anc_arcane_item_squiggly_beast	wh_dlc06_skill_grn_wurrzag_unique_squiggly_beast	true
wh_dlc06_anc_weapon_skarsniks_prodder	wh_dlc06_skill_skarsnik_prodder	true
wh_dlc07_anc_weapon_trident_of_manann	wh_dlc07_skill_brt_alberic_unique_trident_of_mannan	true
wh_dlc07_anc_arcane_item_the_chalice_of_potions	wh_dlc07_skill_brt_fay_enchantress_unique_chalice_of_potions	true
wh_main_anc_weapon_the_sword_of_couronne	wh_dlc07_skill_brt_louen_unique_sword_of_couronne	true
wh_dlc08_anc_talisman_wintertooth_crown	wh_dlc08_skill_nor_throgg_unique_wintertooth_crown	true
wh_dlc08_anc_weapon_sword_of_torgald	wh_dlc08_skill_nor_wulfrik_unique_sword_of_torgald	true
wh_main_anc_armour_the_armour_of_morkar	wh_main_skill_chs_lord_unique_archaon_the_armour_of_morkar	true
wh_main_anc_enchanted_item_the_crown_of_domination	wh_main_skill_chs_lord_unique_archaon_the_crown_of_domination	true
wh_main_anc_talisman_the_eye_of_sheerian	wh_main_skill_chs_lord_unique_archaon_the_eye_of_sheerian	true
wh_main_anc_weapon_the_slayer_of_kings	wh_main_skill_chs_lord_unique_archaon_the_slayer_of_kings	true
wh_main_anc_weapon_starcrusher	wh_main_skill_chs_lord_unique_kholek_starcrusher	true
wh_main_anc_armour_auric_armour	wh_main_skill_chs_lord_unique_sigvald_auric_armour	true
wh_main_anc_weapon_sliverslash	wh_main_skill_chs_lord_unique_sigvald_sliverslash	true
wh_main_anc_armour_the_armour_of_skaldour	wh_main_skill_dwf_lord_unique_thorgrim_the_armour_of_skaldour	true
wh_main_anc_weapon_the_axe_of_grimnir	wh_main_skill_dwf_lord_unique_thorgrim_the_axe_of_grimnir	true
wh_main_anc_talisman_the_dragon_crown_of_karaz	wh_main_skill_dwf_lord_unique_thorgrim_the_dragon_crown_of_karaz	true
wh_main_anc_enchanted_item_the_great_book_of_grudges	wh_main_skill_dwf_lord_unique_thorgrim_the_great_book_of_grudges	true
wh_main_anc_weapon_axe_of_dargo	wh_main_skill_dwf_lord_unique_ungrim_axe_of_dargo	true
wh_main_anc_talisman_dragon_cloak_of_fyrskar	wh_main_skill_dwf_lord_unique_ungrim_dragon_cloak_of_fyrskar	true
wh_main_anc_armour_the_slayer_crown	wh_main_skill_dwf_lord_unique_ungrim_the_slayer_crown	true
wh_main_anc_rune_rune_of_fury	wh_main_skill_dwf_runesmith_self_rune_of_fury	false
wh_main_anc_rune_rune_of_might	wh_main_skill_dwf_runesmith_self_rune_of_might	false
wh_main_anc_rune_rune_of_parrying	wh_main_skill_dwf_runesmith_self_rune_of_parrying	false
wh_main_anc_rune_rune_of_striking	wh_main_skill_dwf_runesmith_self_rune_of_striking	false
wh_main_anc_talisman_amulet_of_sea_gold	wh_main_skill_emp_lord_unique_balthasar_amulet_of_sea_gold	true
wh_main_anc_enchanted_item_cloak_of_molten_metal	wh_main_skill_emp_lord_unique_balthasar_cloak_of_molten_metal	true
wh_main_anc_arcane_item_staff_of_volans	wh_main_skill_emp_lord_unique_balthasar_staff_of_volans	true
wh_main_anc_weapon_ghal_maraz	wh_main_skill_emp_lord_unique_karl_franz_ghal_maraz	true
wh_main_anc_weapon_the_reikland_runefang	wh_main_skill_emp_lord_unique_karl_franz_the_reikland_runefang	true
wh_main_anc_talisman_the_silver_seal	wh_main_skill_emp_lord_unique_karl_franz_the_silver_seal	true
wh_main_anc_armour_azhags_ard_armour	wh_main_skill_grn_lord_unique_azhag_azhags_ard_armour	true
wh_main_anc_weapon_slaggas_slashas	wh_main_skill_grn_lord_unique_azhag_slaggas_slashas	true
wh_main_anc_enchanted_item_the_crown_of_sorcery	wh_main_skill_grn_lord_unique_azhag_the_crown_of_sorcery	true
wh_main_anc_armour_blood-forged_armour	wh_main_skill_grn_lord_unique_grimgor_blood-forged_armour	true
wh_main_anc_weapon_gitsnik	wh_main_skill_grn_lord_unique_grimgor_gitsnik	true
wh_main_anc_weapon_chaos_tomb_blade	wh_main_skill_vmp_lord_unique_heinrich_chaos_tomb_blade	true
wh_main_anc_enchanted_item_cloak_of_mists_and_shadows	wh_main_skill_vmp_lord_unique_heinrich_cloak_of_mists_and_shadows	true
wh_main_anc_arcane_item_skull_staff	wh_main_skill_vmp_lord_unique_heinrich_skull_staff	true
wh_main_anc_armour_armour_of_templehof	wh_main_skill_vmp_lord_unique_mannfred_armour_of_templehof	true
wh_main_anc_weapon_sword_of_unholy_power	wh_main_skill_vmp_lord_unique_mannfred_sword_of_unholy_power	true
wh_pro01_anc_rune_rune_of_fury	wh_pro01_anc_rune_rune_of_fury	false
wh_pro01_anc_rune_rune_of_might	wh_pro01_anc_rune_rune_of_might	false
wh_pro01_anc_rune_rune_of_parrying	wh_pro01_anc_rune_rune_of_parrying	false
wh_pro01_anc_rune_rune_of_striking	wh_pro01_anc_rune_rune_of_striking	false
wh_pro01_anc_armour_armour_of_glimril_scales	wh_pro01_skill_dwf_lord_unique_grombrindal_armour_of_glimril_scales	true
wh_pro01_anc_talisman_cloak_of_valaya	wh_pro01_skill_dwf_lord_unique_grombrindal_cloak_of_valaya	true
wh_pro01_anc_enchanted_item_rune_helm_of_zhufbar	wh_pro01_skill_dwf_lord_unique_grombrindal_rune_helm_of_zhufbar	true
wh_pro01_anc_weapon_the_rune_axe_of_grombrindal	wh_pro01_skill_dwf_lord_unique_grombrindal_the_rune_axe_of_grombrindal	true
wh_pro02_anc_enchanted_item_blood_chalice_of_bathori	wh_pro02_skill_vmp_lord_isabella_unique_1	true
