campaign_building_level_factorial_effect_junctions_tables	2
building_level	factorial_effect	key	value	scope
wh2_main_foreign_slot_discovery_brt_1	skaven_discoverability_buildings_settlement	1915167944	40	EFS_ONLY_OTHERS
wh_dlc05_wef_oak_of_ages_4	skaven_discoverability_buildings_settlement	1926353009	80	EFS_ONLY_OTHERS
wh2_dlc12_under_empire_food_kidnappers_1	skaven_discoverability_buildings	1944033451	20	EFS_ONLY_OWNER
wh2_dlc12_under_empire_money_crafting_1	skaven_discoverability_buildings	1997216593	20	EFS_ONLY_OWNER
wh2_dlc12_under_empire_warpstone_mine_2	skaven_discoverability_buildings	2005206111	40	EFS_ONLY_OWNER
wh_dlc05_wef_oak_of_ages_3	skaven_discoverability_buildings_settlement	2010141752	70	EFS_ONLY_OTHERS
wh2_main_special_fortress_gate_phoenix_hef_5	skaven_discoverability_buildings_settlement	2027266184	30	EFS_ONLY_OTHERS
wh2_dlc12_under_empire_settlement_warren_2	skaven_discoverability_buildings	2031826695	20	EFS_ONLY_OWNER
wh2_dlc12_under_empire_warpstone_strip_mine_1	skaven_discoverability_buildings	2054078352	80	EFS_ONLY_OWNER
wh2_main_special_fortress_gate_phoenix_hef_1	skaven_discoverability_buildings_settlement	2065458515	10	EFS_ONLY_OTHERS
wh2_main_special_fortress_gate_phoenix_hef_3	skaven_discoverability_buildings_settlement	2124825149	20	EFS_ONLY_OTHERS
wh2_main_special_fortress_gate_eagle_hef_5	skaven_discoverability_buildings_settlement	2136651543	30	EFS_ONLY_OTHERS
wh2_dlc12_under_empire_settlement_warren_5	skaven_discoverability_buildings	245262885	50	EFS_ONLY_OWNER
wh2_main_special_fortress_gate_griffon_hef_2	skaven_discoverability_buildings_settlement	275799755	10	EFS_ONLY_OTHERS
wh2_main_special_fortress_gate_unicorn_hef_5	skaven_discoverability_buildings_settlement	306124160	30	EFS_ONLY_OTHERS
wh2_main_foreign_slot_discovery_vmp_1	skaven_discoverability_buildings_settlement	307288952	40	EFS_ONLY_OTHERS
wh2_dlc12_under_empire_settlement_stronghold_4	skaven_discoverability_buildings	398829126	40	EFS_ONLY_OWNER
wh2_dlc12_under_empire_warpstone_mine_1	skaven_discoverability_buildings	407981293	20	EFS_ONLY_OWNER
wh2_dlc12_under_empire_settlement_stronghold_5	skaven_discoverability_buildings	432430489	50	EFS_ONLY_OWNER
wh2_dlc12_under_empire_discovery_deeper_tunnels_1	skaven_discoverability_buildings	446989079	-40	EFS_ONLY_OWNER
wh_dlc05_wef_oak_of_ages_1	skaven_discoverability_buildings_settlement	45824363	50	EFS_ONLY_OTHERS
wh2_main_foreign_slot_discovery_skv_1	skaven_discoverability_buildings_settlement	515698516	40	EFS_ONLY_OTHERS
wh2_main_special_fortress_gate_unicorn_hef_2	skaven_discoverability_buildings_settlement	532584797	10	EFS_ONLY_OTHERS
wh2_main_special_fortress_gate_griffon_hef_5	skaven_discoverability_buildings_settlement	557203481	30	EFS_ONLY_OTHERS
wh2_main_special_fortress_gate_phoenix_hef_4	skaven_discoverability_buildings_settlement	657495241	20	EFS_ONLY_OTHERS
wh2_main_foreign_slot_discovery_dwf_1	skaven_discoverability_buildings_settlement	746792617	40	EFS_ONLY_OTHERS
wh2_main_foreign_slot_discovery_grn_1	skaven_discoverability_buildings_settlement	766073239	40	EFS_ONLY_OTHERS
wh2_dlc12_under_empire_money_thieves_3	skaven_discoverability_buildings	791251063	80	EFS_ONLY_OWNER
wh2_dlc12_under_empire_settlement_stronghold_2	skaven_discoverability_buildings	81844634	20	EFS_ONLY_OWNER
wh2_dlc12_under_empire_money_thieves_2	skaven_discoverability_buildings	843161765	40	EFS_ONLY_OWNER
wh2_main_special_fortress_gate_eagle_hef_4	skaven_discoverability_buildings_settlement	859566434	20	EFS_ONLY_OTHERS
wh2_dlc12_under_empire_settlement_warren_4	skaven_discoverability_buildings	862103608	40	EFS_ONLY_OWNER
wh_dlc05_wef_oak_of_ages_5	skaven_discoverability_buildings_settlement	871029012	90	EFS_ONLY_OTHERS
wh2_dlc12_special_warlock_lab_1	skaven_discoverability_buildings	904464269	20	EFS_ONLY_OWNER
wh2_main_special_fortress_gate_unicorn_hef_1	skaven_discoverability_buildings_settlement	936605139	10	EFS_ONLY_OTHERS
wh2_dlc12_under_empire_food_raiding_camp_1	skaven_discoverability_buildings	951873114	80	EFS_ONLY_OWNER
wh2_main_foreign_slot_discovery_wef_1	skaven_discoverability_buildings_settlement	969658349	40	EFS_ONLY_OTHERS
