cdir_military_generator_template_priorities_tables	1
config_key	priority	template_key	leader_only
WH_Dark_Elves_Malekith	1	WH_Dark_Elves_land_rare	false
WH_Dark_Elves_Malekith	1	WH_default_naval	false
WH_Dark_Elves_Morathi	5	WH_Dark_Elves_land	false
WH_Dark_Elves_Morathi	5	WH_Dark_Elves_land_2	false
WH_Dark_Elves_Morathi	100	WH_Dark_Elves_land_leader_morathi	true
WH_Dark_Elves_Morathi	1	WH_Dark_Elves_land_rare	false
WH_Dark_Elves_Morathi	1	WH_default_naval	false
WH_Dwarfs	5	WH_Dwarfs_land	false
WH_Dwarfs	1	WH_Dwarfs_land_2	false
WH_Dwarfs	1	WH_default_naval	false
WH_Dwarfs_Belegar	1	WH_Dwarfs_land	false
WH_Dwarfs_Belegar	1	WH_Dwarfs_land_2	false
WH_Dwarfs_Belegar	100	WH_Dwarfs_land_leader_belegar	true
WH_Dwarfs_Belegar	1	WH_default_naval	false
WH_Dwarfs_Main	1	WH_Dwarfs_land	false
WH_Dwarfs_Main	1	WH_Dwarfs_land_2	false
WH_Dwarfs_Main	100	WH_Dwarfs_land_leader_thorgrim	true
WH_Dwarfs_Main	1	WH_default_naval	false
WH_Dwarfs_Ungrim	5	WH_Dwarfs_land	false
WH_Dwarfs_Ungrim	1	WH_Dwarfs_land_2	false
WH_Dwarfs_Ungrim	100	WH_Dwarfs_land_leader_ungrim	true
WH_Dwarfs_Ungrim	1	WH_default_naval	false
WH_Empire	5	WH_Empire_land	false
WH_Empire	1	WH_Empire_land_2	false
WH_Empire	1	WH_default_naval	false
WH_Empire	1	WH_dlc03_Empire_land_cavalry	false
WH_Empire	1	WH_dlc03_Empire_land_infantry	false
WH_Empire_Main	5	WH_Empire_land	false
WH_Empire_Main	1	WH_Empire_land_2	false
WH_Empire_Main	100	WH_Empire_land_leader_karlfranz	true
WH_Empire_Main	1	WH_default_naval	false
WH_Empire_Main	1	WH_dlc03_Empire_land_cavalry	false
WH_Empire_Main	1	WH_dlc03_Empire_land_infantry	false
WH_Greenskin_Rebels	1	WH_Greenskin_Rebels_land	false
WH_Greenskins	1	WH_Greenskins_land	false
WH_Greenskins	1	WH_Greenskins_land_2	false
WH_Greenskins	1	WH_default_naval	false
WH_Greenskins_Main	1	WH_Greenskins_land	false
WH_Greenskins_Main	1	WH_Greenskins_land_2	false
WH_Greenskins_Main	100	WH_Greenskins_land_leader_grimgor	true
WH_Greenskins_Main	1	WH_default_naval	false
WH_Greenskins_Skarsnik	1	WH_Greenskins_land	false
WH_Greenskins_Skarsnik	1	WH_Greenskins_land_2	false
WH_Greenskins_Skarsnik	100	WH_Greenskins_land_leader_skarsnik	true
WH_Greenskins_Skarsnik	1	WH_default_naval	false
WH_Greenskins_Waaagh	1	WH_Greenskins_Waaagh_land	false
WH_Greenskins_Waaagh	1	WH_default_naval	false
WH_Greenskins_Wurrzag	1	WH_Greenskins_land	false
WH_Greenskins_Wurrzag	1	WH_Greenskins_land_2	false
WH_Greenskins_Wurrzag	100	WH_Greenskins_land_leader_wurrzag	true
WH_Greenskins_Wurrzag	1	WH_default_naval	false
WH_High_Elves	5	WH_High_Elves_land	false
WH_High_Elves	5	WH_High_Elves_land_2	false
WH_High_Elves	1	WH_High_Elves_land_rare	false
WH_High_Elves	1	WH_default_naval	false
WH_High_Elves_Teclis	5	WH_High_Elves_land	false
WH_High_Elves_Teclis	5	WH_High_Elves_land_2	false
WH_High_Elves_Teclis	100	WH_High_Elves_land_leader_teclis	true
WH_High_Elves_Teclis	1	WH_High_Elves_land_rare	false
WH_High_Elves_Teclis	1	WH_default_naval	false
WH_High_Elves_Tyrion	5	WH_High_Elves_land	false
WH_High_Elves_Tyrion	5	WH_High_Elves_land_2	false
WH_High_Elves_Tyrion	100	WH_High_Elves_land_leader_tyrion	true
WH_High_Elves_Tyrion	1	WH_High_Elves_land_rare	false
WH_High_Elves_Tyrion	1	WH_default_naval	false
WH_Kislev	1	WH_Kislev_land	false
WH_Kislev	1	WH_default_naval	false
WH_Lizardmen	5	WH_Lizardmen_land	false
WH_Lizardmen	5	WH_Lizardmen_land_2	false
WH_Lizardmen	1	WH_Lizardmen_land_rare	false
WH_Lizardmen	1	WH_default_naval	false
WH_Lizardmen_Kroqgar	5	WH_Lizardmen_land	false
WH_Lizardmen_Kroqgar	5	WH_Lizardmen_land_2	false
WH_Lizardmen_Kroqgar	100	WH_Lizardmen_land_leader_kroqgar	true
WH_Lizardmen_Kroqgar	1	WH_Lizardmen_land_rare	false
WH_Lizardmen_Kroqgar	1	WH_default_naval	false
WH_Lizardmen_Mazdamundi	5	WH_Lizardmen_land	false
WH_Lizardmen_Mazdamundi	5	WH_Lizardmen_land_2	false
WH_Lizardmen_Mazdamundi	100	WH_Lizardmen_land_leader_mazdamundi	true
WH_Lizardmen_Mazdamundi	1	WH_Lizardmen_land_rare	false
WH_Lizardmen_Mazdamundi	1	WH_default_naval	false
WH_Norsca	5	WH_Norsca_land	false
WH_Norsca	5	WH_Norsca_land_2	false
WH_Norsca	1	WH_Norsca_land_rare	false
WH_Norsca	1	WH_default_naval	false
WH_Norsca_SurthaEk	5	WH_Norsca_land	false
WH_Norsca_SurthaEk	5	WH_Norsca_land_2	false
WH_Norsca_SurthaEk	100	WH_Norsca_land_SurthaEk	true
WH_Norsca_SurthaEk	1	WH_Norsca_land_rare	false
WH_Norsca_SurthaEk	1	WH_default_naval	false
WH_Norsca_Throgg	5	WH_Norsca_land	false
WH_Norsca_Throgg	5	WH_Norsca_land_2	false
WH_Norsca_Throgg	100	WH_Norsca_land_Throgg	true
WH_Norsca_Throgg	1	WH_Norsca_land_rare	false
WH_Norsca_Throgg	1	WH_default_naval	false
WH_Norsca_Wulfrik	5	WH_Norsca_land	false
WH_Norsca_Wulfrik	5	WH_Norsca_land_2	false
WH_Norsca_Wulfrik	100	WH_Norsca_land_Wulfrik	true
WH_Norsca_Wulfrik	1	WH_Norsca_land_rare	false
WH_Norsca_Wulfrik	1	WH_default_naval	false
WH_Skaven	5	WH_Skaven_land	false
WH_Skaven	5	WH_Skaven_land_2	false
WH_Skaven	5	WH_Skaven_land_3	false
WH_Skaven	1	WH_Skaven_land_rare	false
WH_Skaven	1	WH_default_naval	false
WH_Skaven_Queek	5	WH_Skaven_land	false
WH_Skaven_Queek	5	WH_Skaven_land_2	false
WH_Skaven_Queek	5	WH_Skaven_land_3	false
WH_Skaven_Queek	100	WH_Skaven_land_leader_queek	true
WH_Skaven_Queek	1	WH_Skaven_land_rare	false
WH_Skaven_Queek	1	WH_default_naval	false
WH_Skaven_Skrolk	5	WH_Skaven_land	false
WH_Skaven_Skrolk	5	WH_Skaven_land_2	false
WH_Skaven_Skrolk	5	WH_Skaven_land_3	false
WH_Skaven_Skrolk	100	WH_Skaven_land_leader_skrolk	true
WH_Skaven_Skrolk	1	WH_Skaven_land_rare	false
WH_Skaven_Skrolk	1	WH_default_naval	false
WH_Skaven_Tretch	5	WH_Skaven_land	false
WH_Skaven_Tretch	5	WH_Skaven_land_2	false
WH_Skaven_Tretch	5	WH_Skaven_land_3	false
WH_Skaven_Tretch	100	WH_Skaven_land_leader_tretch	true
WH_Skaven_Tretch	1	WH_Skaven_land_rare	false
WH_Skaven_Tretch	1	WH_default_naval	false
WH_TEB	1	WH_TEB_land	false
WH_TEB	1	WH_default_naval	false
WH_Tomb_Kings	5	WH_Tomb_Kings_land	false
WH_Tomb_Kings	1	WH_Tomb_Kings_land_2	false
WH_Tomb_Kings	1	WH_Tomb_Kings_land_3	false
WH_Tomb_Kings	5	WH_Tomb_Kings_land_4	false
WH_Tomb_Kings_Arkhan	5	WH_Tomb_Kings_land	false
WH_Tomb_Kings_Arkhan	1	WH_Tomb_Kings_land_2	false
WH_Tomb_Kings_Arkhan	1	WH_Tomb_Kings_land_3	false
WH_Tomb_Kings_Arkhan	5	WH_Tomb_Kings_land_4	false
WH_Tomb_Kings_Arkhan	0	WH_Tomb_Kings_land_leader_arkhan	true
WH_Tomb_Kings_Khalida	5	WH_Tomb_Kings_land	false
WH_Tomb_Kings_Khalida	1	WH_Tomb_Kings_land_2	false
WH_Tomb_Kings_Khalida	1	WH_Tomb_Kings_land_3	false
WH_Tomb_Kings_Khalida	5	WH_Tomb_Kings_land_4	false
WH_Tomb_Kings_Khalida	0	WH_Tomb_Kings_land_leader_khalida	true
WH_Tomb_Kings_Khatep	5	WH_Tomb_Kings_land	false
WH_Tomb_Kings_Khatep	1	WH_Tomb_Kings_land_2	false
WH_Tomb_Kings_Khatep	1	WH_Tomb_Kings_land_3	false
WH_Tomb_Kings_Khatep	5	WH_Tomb_Kings_land_4	false
WH_Tomb_Kings_Khatep	0	WH_Tomb_Kings_land_leader_khatep	true
WH_Tomb_Kings_Settra	5	WH_Tomb_Kings_land	false
WH_Tomb_Kings_Settra	1	WH_Tomb_Kings_land_2	false
WH_Tomb_Kings_Settra	1	WH_Tomb_Kings_land_3	false
WH_Tomb_Kings_Settra	5	WH_Tomb_Kings_land_4	false
WH_Tomb_Kings_Settra	100	WH_Tomb_Kings_land_leader_settra	true
WH_Vampire_Coast_land	1	WH_Vampire_Coast_land	false
WH_Vampire_Counts	5	WH_Vampire_Counts_land	false
WH_Vampire_Counts	1	WH_Vampire_Counts_land_2	false
WH_Vampire_Counts	1	WH_default_naval	false
WH_Vampire_Counts_Main	5	WH_Vampire_Counts_land	false
WH_Vampire_Counts_Main	1	WH_Vampire_Counts_land_2	false
WH_Vampire_Counts_Main	100	WH_Vampire_Counts_land_leader_mannfred	true
WH_Vampire_Counts_Main	1	WH_default_naval	false
WH_Vampire_Counts_Vlad	5	WH_Vampire_Counts_land	false
WH_Vampire_Counts_Vlad	1	WH_Vampire_Counts_land_2	false
WH_Vampire_Counts_Vlad	100	WH_Vampire_Counts_land_leader_vlad	true
WH_Vampire_Counts_Vlad	1	WH_default_naval	false
WH_Wood_Elves	1	WH_Wood_Elves_land	false
WH_Wood_Elves	1	WH_default_naval	false
WH_Wood_Elves_Durthu	1	WH_Wood_Elves_Durthu_land	false
WH_Wood_Elves_Durthu	1	WH_Wood_Elves_land	false
WH_Wood_Elves_Durthu	100	WH_Wood_Elves_land_leader_durthu	true
WH_Wood_Elves_Durthu	1	WH_default_naval	false
WH_Wood_Elves_Orion	1	WH_Wood_Elves_Orion_land	false
WH_Wood_Elves_Orion	1	WH_Wood_Elves_land	false
WH_Wood_Elves_Orion	100	WH_Wood_Elves_land_leader_orion	true
WH_Wood_Elves_Orion	1	WH_default_naval	false
WH_dlc03_Empire_mini_cavalry	1	WH_dlc03_Empire_land_cavalry	false
WH_dlc03_Empire_mini_infantry	1	WH_dlc03_Empire_land_infantry	false
WH_dlc06_Greenskins_Waaaagh_skarsnik	1	WH_dlc06_Greenskins_land_skarsnik	false
WH_dlc06_Greenskins_Waaaagh_wurrzag	1	WH_dcl06_Greenskins_land_wurrzag	false
WH_mp_Beastmen_land	1	WH_Beastmen_land	false
WH_mp_Beastmen_land	1	WH_Beastmen_land_2	false
WH_mp_Beastmen_siege_attack	1	WH_mp_Beastmen_siege_attack	false
WH_mp_Beastmen_siege_defence	1	WH_mp_Beastmen_siege_defence	false
WH_mp_Bretonnia_land	1	WH_Bretonnia_land	false
WH_mp_Bretonnia_land	1	WH_Bretonnia_land_cav	false
WH_mp_Bretonnia_land	1	WH_Bretonnia_land_flying	false
WH_mp_Bretonnia_siege_attack	1	WH_mp_Bretonnia_siege_attack	false
WH_mp_Bretonnia_siege_defence	1	WH_mp_Bretonnia_siege_defence	false
WH_mp_Chaos_land	1	WH_Chaos_land	false
WH_mp_Chaos_land	1	WH_Chaos_land_2	false
WH_mp_Chaos_siege_attack	1	WH_mp_Chaos_siege_attack	false
WH_mp_Chaos_siege_defence	1	WH_mp_Chaos_siege_defence	false
WH_mp_Dark_Elves_land	5	WH_Dark_Elves_land	false
WH_mp_Dark_Elves_land	5	WH_Dark_Elves_land_2	false
WH_mp_Dark_Elves_land	1	WH_Dark_Elves_land_rare	false
WH_mp_Dark_Elves_siege_attack	1	WH_mp_Dark_Elves_siege_attack	false
WH_mp_Dark_Elves_siege_defence	1	WH_mp_Dark_Elves_siege_defence	false
WH_mp_Dwarfs_land	1	WH_Dwarfs_land	false
WH_mp_Dwarfs_land	1	WH_Dwarfs_land_2	false
WH_mp_Dwarfs_siege_attack	1	WH_mp_Dwarfs_siege_attack	false
WH_mp_Dwarfs_siege_defence	1	WH_mp_Dwarfs_siege_defence	false
WH_mp_Empire_land	1	WH_Empire_land	false
WH_mp_Empire_land	1	WH_Empire_land_2	false
WH_mp_Empire_land	1	WH_dlc03_Empire_land_cavalry	false
WH_mp_Empire_land	1	WH_dlc03_Empire_land_infantry	false
WH_mp_Empire_siege_attack	1	WH_mp_Empire_siege_attack	false
WH_mp_Empire_siege_defence	1	WH_mp_Empire_siege_defence	false
WH_mp_Greenskins_land	1	WH_Greenskins_land	false
WH_mp_Greenskins_land	1	WH_Greenskins_land_2	false
WH_mp_Greenskins_siege_attack	1	WH_mp_Greenskins_siege_attack	false
WH_mp_Greenskins_siege_defence	1	WH_mp_Greenskins_siege_defence	false
WH_mp_High_Elves_land	1	WH_High_Elves_land	false
WH_mp_High_Elves_land	1	WH_High_Elves_land_2	false
WH_mp_High_Elves_land	1	WH_High_Elves_land_rare	false
WH_mp_High_Elves_siege_attack	1	WH_mp_High_Elves_siege_attack	false
WH_mp_High_Elves_siege_defence	1	WH_mp_High_Elves_siege_defence	false
WH_mp_Kislev_land	1	WH_Kislev_land	false
WH_mp_Kislev_siege_attack	1	WH_mp_Kislev_siege_attack	false
WH_mp_Kislev_siege_defence	1	WH_mp_Kislev_siege_defence	false
WH_mp_Lizardmen_land	1	WH_Lizardmen_land	false
WH_mp_Lizardmen_land	1	WH_Lizardmen_land_2	false
WH_mp_Lizardmen_land	1	WH_Lizardmen_land_rare	false
WH_mp_Lizardmen_siege_attack	1	WH_mp_Lizardmen_siege_attack	false
WH_mp_Lizardmen_siege_defence	1	WH_mp_Lizardmen_siege_defence	false
WH_mp_Norsca_land	1	WH_Norsca_land	false
WH_mp_Norsca_land	1	WH_Norsca_land_2	false
WH_mp_Norsca_land	1	WH_Norsca_land_rare	false
WH_mp_Norsca_siege_attack	1	WH_mp_Norsca_siege_attack	false
WH_mp_Norsca_siege_defence	1	WH_mp_Norsca_siege_defence	false
WH_mp_Skaven_land	5	WH_Skaven_land	false
WH_mp_Skaven_land	5	WH_Skaven_land_2	false
WH_mp_Skaven_land	5	WH_Skaven_land_3	false
WH_mp_Skaven_land	1	WH_Skaven_land_rare	false
WH_mp_Skaven_siege_attack	1	WH_mp_Skaven_siege_attack	false
WH_mp_Skaven_siege_defence	1	WH_mp_Skaven_siege_defence	false
WH_mp_TEB_land	1	WH_TEB_land	false
WH_mp_TEB_siege_attack	1	WH_mp_TEB_siege_attack	false
WH_mp_TEB_siege_defence	1	WH_mp_TEB_siege_defence	false
WH_mp_Tomb_Kings_land	1	WH_Tomb_Kings_land	false
WH_mp_Tomb_Kings_land	1	WH_Tomb_Kings_land_2	false
WH_mp_Tomb_Kings_land	1	WH_Tomb_Kings_land_3	false
WH_mp_Tomb_Kings_land	1	WH_Tomb_Kings_land_4	false
WH_mp_Tomb_Kings_siege_attack	1	WH_mp_Tomb_Kings_siege_attack	false
WH_mp_Tomb_Kings_siege_defence	1	WH_mp_Tomb_Kings_siege_defence	false
WH_mp_Vampire_Counts_land	1	WH_Vampire_Counts_land	false
WH_mp_Vampire_Counts_land	1	WH_Vampire_Counts_land_2	false
WH_mp_Vampire_Counts_siege_attack	1	WH_mp_Vampire_Counts_siege_attack	false
WH_mp_Vampire_Counts_siege_defence	1	WH_mp_Vampire_Counts_siege_defence	false
WH_mp_Wood_Elves_land	1	WH_Wood_Elves_land	false
WH_mp_Wood_Elves_siege_attack	1	WH_mp_Wood_Elves_siege_attack	false
WH_mp_Wood_Elves_siege_defence	1	WH_mp_Wood_Elves_siege_defence	false
default	1	default_land	false
default	1	default_naval	false
