mercenary_unit_groups_tables	1
chance_to_replenish	key	max_count	unit_record	use_partial_replenishment	max_replenish_per_turn
0	wh2_dlc11_cst_art_mortar	0	wh2_dlc11_cst_art_mortar	false	1
0	wh2_dlc11_cst_art_queen_bess	1	wh2_dlc11_cst_art_queen_bess	false	0
0	wh2_dlc11_cst_cav_deck_droppers_0	0	wh2_dlc11_cst_cav_deck_droppers_0	false	1
0	wh2_dlc11_cst_cav_deck_droppers_1	0	wh2_dlc11_cst_cav_deck_droppers_1	false	1
0	wh2_dlc11_cst_cav_deck_droppers_2	0	wh2_dlc11_cst_cav_deck_droppers_2	false	1
100	wh2_dlc11_cst_cav_deck_droppers_ror_0	1	wh2_dlc11_cst_cav_deck_droppers_ror_0	true	0.1
0	wh2_dlc11_cst_inf_deck_gunners_0	0	wh2_dlc11_cst_inf_deck_gunners_0	false	1
100	wh2_dlc11_cst_inf_deck_gunners_ror_0	1	wh2_dlc11_cst_inf_deck_gunners_ror_0	true	0.1
0	wh2_dlc11_cst_inf_depth_guard_0	0	wh2_dlc11_cst_inf_depth_guard_0	false	1
0	wh2_dlc11_cst_inf_depth_guard_1	0	wh2_dlc11_cst_inf_depth_guard_1	false	1
100	wh2_dlc11_cst_inf_depth_guard_ror_0	1	wh2_dlc11_cst_inf_depth_guard_ror_0	true	0.1
0	wh2_dlc11_cst_inf_syreens	0	wh2_dlc11_cst_inf_syreens	false	1
0.5	wh2_dlc11_cst_inf_zombie_deckhands_mob_0	3	wh2_dlc11_cst_inf_zombie_deckhands_mob_0	false	3
0	wh2_dlc11_cst_inf_zombie_deckhands_mob_1	0	wh2_dlc11_cst_inf_zombie_deckhands_mob_1	false	1
100	wh2_dlc11_cst_inf_zombie_deckhands_mob_ror_0	1	wh2_dlc11_cst_inf_zombie_deckhands_mob_ror_0	true	0.1
0.2	wh2_dlc11_cst_inf_zombie_gunnery_mob_0	1	wh2_dlc11_cst_inf_zombie_gunnery_mob_0	false	1
0.2	wh2_dlc11_cst_inf_zombie_gunnery_mob_1	1	wh2_dlc11_cst_inf_zombie_gunnery_mob_1	false	1
0	wh2_dlc11_cst_inf_zombie_gunnery_mob_2	0	wh2_dlc11_cst_inf_zombie_gunnery_mob_2	false	1
0	wh2_dlc11_cst_inf_zombie_gunnery_mob_3	0	wh2_dlc11_cst_inf_zombie_gunnery_mob_3	false	1
100	wh2_dlc11_cst_inf_zombie_gunnery_mob_ror_0	1	wh2_dlc11_cst_inf_zombie_gunnery_mob_ror_0	true	0.1
0	wh2_dlc11_cst_mon_animated_hulks_0	0	wh2_dlc11_cst_mon_animated_hulks_0	false	1
0.35	wh2_dlc11_cst_mon_bloated_corpse_0	3	wh2_dlc11_cst_mon_bloated_corpse_0	false	1
0	wh2_dlc11_cst_mon_fell_bats	0	wh2_dlc11_cst_mon_fell_bats	false	1
0	wh2_dlc11_cst_mon_mournguls_0	0	wh2_dlc11_cst_mon_mournguls_0	false	1
100	wh2_dlc11_cst_mon_mournguls_ror_0	1	wh2_dlc11_cst_mon_mournguls_ror_0	true	0.1
100	wh2_dlc11_cst_mon_necrofex_colossus_ror_0	1	wh2_dlc11_cst_mon_necrofex_colossus_ror_0	true	0.1
100	wh2_dlc11_cst_mon_rotting_prometheans_gunnery_mob_ror	1	wh2_dlc11_cst_mon_rotting_prometheans_gunnery_mob_ror	true	0.1
0	wh2_dlc11_cst_mon_scurvy_dogs	0	wh2_dlc11_cst_mon_scurvy_dogs	false	1
0	wh2_dlc11_vmp_inf_crossbowmen	6	wh2_dlc11_vmp_inf_crossbowmen	false	0
0	wh2_dlc11_vmp_inf_handgunners	1	wh2_dlc11_vmp_inf_handgunners	false	0
0	wh2_main_lzd_cav_cold_one_spearriders_blessed_0	10	wh2_main_lzd_cav_cold_one_spearriders_blessed_0	false	0
0	wh2_main_lzd_cav_horned_ones_blessed_0	10	wh2_main_lzd_cav_horned_ones_blessed_0	false	0
0	wh2_main_lzd_cav_terradon_riders_blessed_1	10	wh2_main_lzd_cav_terradon_riders_blessed_1	false	0
0	wh2_main_lzd_inf_chameleon_skinks_blessed_0	10	wh2_main_lzd_inf_chameleon_skinks_blessed_0	false	0
0	wh2_main_lzd_inf_saurus_spearmen_blessed_1	10	wh2_main_lzd_inf_saurus_spearmen_blessed_1	false	0
0	wh2_main_lzd_inf_saurus_warriors_blessed_1	10	wh2_main_lzd_inf_saurus_warriors_blessed_1	false	0
0	wh2_main_lzd_inf_skink_skirmishers_blessed_0	10	wh2_main_lzd_inf_skink_skirmishers_blessed_0	false	0
0	wh2_main_lzd_inf_temple_guards_blessed	10	wh2_main_lzd_inf_temple_guards_blessed	false	0
0	wh2_main_lzd_mon_bastiladon_blessed_2	10	wh2_main_lzd_mon_bastiladon_blessed_2	false	0
0	wh2_main_lzd_mon_carnosaur_blessed_0	10	wh2_main_lzd_mon_carnosaur_blessed_0	false	0
0	wh2_main_lzd_mon_kroxigors_blessed	10	wh2_main_lzd_mon_kroxigors_blessed	false	0
0	wh2_main_lzd_mon_stegadon_blessed_1	10	wh2_main_lzd_mon_stegadon_blessed_1	false	0
0	wh_dlc02_vmp_cav_blood_knights_0	0	wh_dlc02_vmp_cav_blood_knights_0	false	1
100	wh_dlc04_emp_art_hammer_of_the_witches_0	1	wh_dlc04_emp_art_hammer_of_the_witches_0	true	0.1
100	wh_dlc04_emp_art_sunmaker_0	1	wh_dlc04_emp_art_sunmaker_0	true	0.1
100	wh_dlc04_emp_cav_royal_altdorf_gryphites_0	1	wh_dlc04_emp_cav_royal_altdorf_gryphites_0	true	0.1
100	wh_dlc04_emp_cav_zintlers_reiksguard_0	1	wh_dlc04_emp_cav_zintlers_reiksguard_0	true	0.1
100	wh_dlc04_emp_inf_sigmars_sons_0	1	wh_dlc04_emp_inf_sigmars_sons_0	true	0.1
100	wh_dlc04_emp_inf_silver_bullets_0	1	wh_dlc04_emp_inf_silver_bullets_0	true	0.1
100	wh_dlc04_emp_inf_stirlands_revenge_0	1	wh_dlc04_emp_inf_stirlands_revenge_0	true	0.1
100	wh_dlc04_emp_inf_tattersouls_0	1	wh_dlc04_emp_inf_tattersouls_0	true	0.1
100	wh_dlc04_emp_veh_templehof_luminark_0	1	wh_dlc04_emp_veh_templehof_luminark_0	true	0.1
100	wh_dlc04_vmp_cav_chillgheists_0	1	wh_dlc04_vmp_cav_chillgheists_0	true	0.1
100	wh_dlc04_vmp_cav_vereks_reavers_0	1	wh_dlc04_vmp_cav_vereks_reavers_0	true	0.1
100	wh_dlc04_vmp_inf_feasters_in_the_dusk_0	1	wh_dlc04_vmp_inf_feasters_in_the_dusk_0	true	0.1
100	wh_dlc04_vmp_inf_konigstein_stalkers_0	1	wh_dlc04_vmp_inf_konigstein_stalkers_0	true	0.1
100	wh_dlc04_vmp_inf_sternsmen_0	1	wh_dlc04_vmp_inf_sternsmen_0	true	0.1
100	wh_dlc04_vmp_inf_tithe_0	1	wh_dlc04_vmp_inf_tithe_0	true	0.1
100	wh_dlc04_vmp_mon_devils_swartzhafen_0	1	wh_dlc04_vmp_mon_devils_swartzhafen_0	true	0.1
100	wh_dlc04_vmp_mon_direpack_0	1	wh_dlc04_vmp_mon_direpack_0	true	0.1
100	wh_dlc04_vmp_veh_claw_of_nagash_0	1	wh_dlc04_vmp_veh_claw_of_nagash_0	true	0.1
0	wh_dlc04_vmp_veh_corpse_cart_0	0	wh_dlc04_vmp_veh_corpse_cart_0	false	1
0	wh_dlc04_vmp_veh_corpse_cart_1	0	wh_dlc04_vmp_veh_corpse_cart_1	false	1
0	wh_dlc04_vmp_veh_corpse_cart_2	0	wh_dlc04_vmp_veh_corpse_cart_2	false	1
0	wh_dlc04_vmp_veh_mortis_engine_0	0	wh_dlc04_vmp_veh_mortis_engine_0	false	1
100	wh_dlc06_dwf_art_gob_lobber_0	1	wh_dlc06_dwf_art_gob_lobber_0	true	0.1
100	wh_dlc06_dwf_inf_dragonback_slayers_0	1	wh_dlc06_dwf_inf_dragonback_slayers_0	true	0.1
100	wh_dlc06_dwf_inf_ekrund_miners_0	1	wh_dlc06_dwf_inf_ekrund_miners_0	true	0.1
100	wh_dlc06_dwf_inf_norgrimlings_ironbreakers_0	1	wh_dlc06_dwf_inf_norgrimlings_ironbreakers_0	true	0.1
100	wh_dlc06_dwf_inf_norgrimlings_irondrakes_0	1	wh_dlc06_dwf_inf_norgrimlings_irondrakes_0	true	0.1
100	wh_dlc06_dwf_inf_old_grumblers_0	1	wh_dlc06_dwf_inf_old_grumblers_0	true	0.1
100	wh_dlc06_dwf_inf_peak_gate_guard_0	1	wh_dlc06_dwf_inf_peak_gate_guard_0	true	0.1
100	wh_dlc06_dwf_inf_ulthars_raiders_0	1	wh_dlc06_dwf_inf_ulthars_raiders_0	true	0.1
100	wh_dlc06_dwf_inf_warriors_dragonfire_pass_0	1	wh_dlc06_dwf_inf_warriors_dragonfire_pass_0	true	0.1
100	wh_dlc06_dwf_veh_skyhammer_0	1	wh_dlc06_dwf_veh_skyhammer_0	true	0.1
100	wh_dlc06_grn_art_hammer_of_gork_0	1	wh_dlc06_grn_art_hammer_of_gork_0	true	0.1
100	wh_dlc06_grn_cav_broken_tusks_mob_0	1	wh_dlc06_grn_cav_broken_tusks_mob_0	true	0.1
100	wh_dlc06_grn_cav_deff_creepers_0	1	wh_dlc06_grn_cav_deff_creepers_0	true	0.1
100	wh_dlc06_grn_cav_durkits_squigs_0	1	wh_dlc06_grn_cav_durkits_squigs_0	true	0.1
100	wh_dlc06_grn_cav_mogrubbs_marauders_0	1	wh_dlc06_grn_cav_mogrubbs_marauders_0	true	0.1
100	wh_dlc06_grn_cav_moon_howlers_0	1	wh_dlc06_grn_cav_moon_howlers_0	true	0.1
100	wh_dlc06_grn_cav_teef_robbers_0	1	wh_dlc06_grn_cav_teef_robbers_0	true	0.1
100	wh_dlc06_grn_inf_da_eight_peaks_loonies_0	1	wh_dlc06_grn_inf_da_eight_peaks_loonies_0	true	0.1
100	wh_dlc06_grn_inf_da_rusty_arrers_0	1	wh_dlc06_grn_inf_da_rusty_arrers_0	true	0.1
100	wh_dlc06_grn_inf_da_warlords_boyz_0	1	wh_dlc06_grn_inf_da_warlords_boyz_0	true	0.1
100	wh_dlc06_grn_inf_krimson_killerz_0	1	wh_dlc06_grn_inf_krimson_killerz_0	true	0.1
100	wh_dlc06_grn_mon_venom_queen_0	1	wh_dlc06_grn_mon_venom_queen_0	true	0.1
100	wh_dlc08_bst_mon_cygor_boss	0	wh_dlc08_bst_mon_cygor_boss	true	0.1
100	wh_dlc08_chs_mon_dragon_ogre_shaggoth_boss	0	wh_dlc08_chs_mon_dragon_ogre_shaggoth_boss	true	0.1
100	wh_dlc08_grn_mon_arachnarok_spider_boss	0	wh_dlc08_grn_mon_arachnarok_spider_boss	true	0.1
100	wh_dlc08_grn_mon_giant_boss	0	wh_dlc08_grn_mon_giant_boss	true	0.1
100	wh_dlc08_nor_art_hellcannon_battery	1	wh_dlc08_nor_art_hellcannon_battery	true	0.1
100	wh_dlc08_nor_mon_frost_wyrm_boss	0	wh_dlc08_nor_mon_frost_wyrm_boss	true	0.1
100	wh_dlc08_nor_mon_frost_wyrm_ror_0	1	wh_dlc08_nor_mon_frost_wyrm_ror_0	true	0.1
100	wh_dlc08_nor_mon_war_mammoth_boss	0	wh_dlc08_nor_mon_war_mammoth_boss	true	0.1
100	wh_dlc08_nor_mon_war_mammoth_ror_1	1	wh_dlc08_nor_mon_war_mammoth_ror_1	true	0.1
100	wh_dlc08_vmp_mon_terrorgheist_boss	0	wh_dlc08_vmp_mon_terrorgheist_boss	true	0.1
100	wh_dlc08_wef_forest_dragon_boss	0	wh_dlc08_wef_forest_dragon_boss	true	0.1
0	wh_main_vmp_cav_black_knights_0	0	wh_main_vmp_cav_black_knights_0	false	1
0	wh_main_vmp_cav_black_knights_3	0	wh_main_vmp_cav_black_knights_3	false	1
0	wh_main_vmp_cav_hexwraiths	0	wh_main_vmp_cav_hexwraiths	false	1
0	wh_main_vmp_inf_cairn_wraiths	0	wh_main_vmp_inf_cairn_wraiths	false	1
0	wh_main_vmp_inf_crypt_ghouls	0	wh_main_vmp_inf_crypt_ghouls	false	1
0	wh_main_vmp_inf_grave_guard_0	0	wh_main_vmp_inf_grave_guard_0	false	1
0	wh_main_vmp_inf_grave_guard_1	0	wh_main_vmp_inf_grave_guard_1	false	1
0.2	wh_main_vmp_inf_skeleton_warriors_0	1	wh_main_vmp_inf_skeleton_warriors_0	false	1
0.2	wh_main_vmp_inf_skeleton_warriors_1	1	wh_main_vmp_inf_skeleton_warriors_1	false	1
0.5	wh_main_vmp_inf_zombie	3	wh_main_vmp_inf_zombie	false	3
0	wh_main_vmp_mon_crypt_horrors	0	wh_main_vmp_mon_crypt_horrors	false	1
0	wh_main_vmp_mon_dire_wolves	0	wh_main_vmp_mon_dire_wolves	false	1
0	wh_main_vmp_mon_fell_bats	0	wh_main_vmp_mon_fell_bats	false	1
0	wh_main_vmp_mon_terrorgheist	0	wh_main_vmp_mon_terrorgheist	false	1
0	wh_main_vmp_mon_vargheists	0	wh_main_vmp_mon_vargheists	false	1
0	wh_main_vmp_mon_varghulf	0	wh_main_vmp_mon_varghulf	false	1
0	wh_main_vmp_veh_black_coach	0	wh_main_vmp_veh_black_coach	false	1
100	wh_pro04_brt_cav_knights_errant_ror_0	1	wh_pro04_brt_cav_knights_errant_ror_0	true	0.1
100	wh_pro04_brt_cav_knights_of_the_realm_ror_0	1	wh_pro04_brt_cav_knights_of_the_realm_ror_0	true	0.1
100	wh_pro04_brt_cav_mounted_yeomen_ror_0	1	wh_pro04_brt_cav_mounted_yeomen_ror_0	true	0.1
100	wh_pro04_brt_cav_questing_knights_ror_0	1	wh_pro04_brt_cav_questing_knights_ror_0	true	0.1
100	wh_pro04_brt_inf_battle_pilgrims_ror_0	1	wh_pro04_brt_inf_battle_pilgrims_ror_0	true	0.1
100	wh_pro04_brt_inf_foot_squires_ror_0	1	wh_pro04_brt_inf_foot_squires_ror_0	true	0.1
100	wh_pro04_bst_inf_bestigor_herd_ror_0	1	wh_pro04_bst_inf_bestigor_herd_ror_0	true	0.1
100	wh_pro04_bst_inf_centigors_ror_0	1	wh_pro04_bst_inf_centigors_ror_0	true	0.1
100	wh_pro04_bst_inf_cygor_ror_0	1	wh_pro04_bst_inf_cygor_ror_0	true	0.1
100	wh_pro04_bst_inf_gor_herd_ror_0	1	wh_pro04_bst_inf_gor_herd_ror_0	true	0.1
100	wh_pro04_bst_inf_minotaurs_ror_0	1	wh_pro04_bst_inf_minotaurs_ror_0	true	0.1
100	wh_pro04_bst_inf_ungor_spearmen_ror_0	1	wh_pro04_bst_inf_ungor_spearmen_ror_0	true	0.1
100	wh_pro04_chs_art_hellcannon_ror_0	1	wh_pro04_chs_art_hellcannon_ror_0	true	0.1
100	wh_pro04_chs_cav_chaos_knights_ror_0	1	wh_pro04_chs_cav_chaos_knights_ror_0	true	0.1
100	wh_pro04_chs_inf_chaos_warriors_ror_0	1	wh_pro04_chs_inf_chaos_warriors_ror_0	true	0.1
100	wh_pro04_chs_inf_forsaken_ror_0	1	wh_pro04_chs_inf_forsaken_ror_0	true	0.1
100	wh_pro04_chs_mon_chaos_spawn_ror_0	1	wh_pro04_chs_mon_chaos_spawn_ror_0	true	0.1
100	wh_pro04_chs_mon_dragon_ogre_ror_0	1	wh_pro04_chs_mon_dragon_ogre_ror_0	true	0.1
100	wh_pro04_nor_inf_chaos_marauders_ror_0	1	wh_pro04_nor_inf_chaos_marauders_ror_0	true	0.1
100	wh_pro04_nor_inf_marauder_berserkers_ror_0	1	wh_pro04_nor_inf_marauder_berserkers_ror_0	true	0.1
100	wh_pro04_nor_mon_fimir_ror_0	1	wh_pro04_nor_mon_fimir_ror_0	true	0.1
100	wh_pro04_nor_mon_skinwolves_ror_0	1	wh_pro04_nor_mon_skinwolves_ror_0	true	0.1
100	wh_pro04_nor_mon_war_mammoth_ror_0	1	wh_pro04_nor_mon_war_mammoth_ror_0	true	0.1
100	wh_pro04_nor_mon_warwolves_ror_0	1	wh_pro04_nor_mon_marauder_warwolves_ror_0	true	0.1
100	wh_pro04_wef_cav_wild_riders_ror_0	1	wh_pro04_wef_cav_wild_riders_ror_0	true	0.1
100	wh_pro04_wef_inf_eternal_guard_ror_0	1	wh_pro04_wef_inf_eternal_guard_ror_0	true	0.1
100	wh_pro04_wef_inf_wardancers_ror_0	1	wh_pro04_wef_inf_wardancers_ror_0	true	0.1
100	wh_pro04_wef_inf_waywatchers_ror_0	1	wh_pro04_wef_inf_waywatchers_ror_0	true	0.1
100	wh_pro04_wef_inf_wildwood_rangers_ror_0	1	wh_pro04_wef_inf_wildwood_rangers_ror_0	true	0.1
100	wh_pro04_wef_mon_treekin_ror_0	1	wh_pro04_wef_mon_treekin_ror_0	true	0.1
