building_chains_tables	6
key	tech_category_tab	encyclopedia_group	chain_category	in_encyclopedia	building_superchain	optional_tier_icon	optional_sort_order	optional_required_horde_commander
wh2_dlc09_tmb_chariots			military	false	wh2_main_sch_military3_warmachines		0	
wh2_dlc09_tmb_citadel			military	false	wh2_main_sch_infrastructure8_major		13	
wh2_dlc09_tmb_defence_major			military	false	wh2_dlc09_tmb_defence_major		9	
wh2_dlc09_tmb_defence_minor			military	false	wh2_main_sch_defence_minor		9	
wh2_dlc09_tmb_defence_norsca			military	false	wh2_main_sch_defence_norsca		0	
wh2_dlc09_tmb_estate			money	false	wh2_main_sch_infrastructure6_other		14	
wh2_dlc09_tmb_growth			money	false	wh2_main_sch_infrastructure1_farm		11	
wh2_dlc09_tmb_hierotitan			military	false	wh2_main_sch_support3_wizards_tmb		8	
wh2_dlc09_tmb_income			money	false	wh2_main_sch_infrastructure2_industry		12	
wh2_dlc09_tmb_infantry			military	false	wh2_main_sch_military1_barracks		1	
wh2_dlc09_tmb_necrosphinx			military	false	wh2_main_sch_support4_other		7	
wh2_dlc09_tmb_outpostnorsca_major			money	true	wh_main_sch_norsca_settlement_major	data\UI\Buildings\tier_icons\tier_tmb_city.png	0	
wh2_dlc09_tmb_outpostnorsca_major_coast			money	false	wh_main_sch_norsca_settlement_major_coast	data\UI\Buildings\tier_icons\tier_tmb_city.png	0	
wh2_dlc09_tmb_outpostnorsca_minor			money	true	wh_main_sch_norsca_settlement_minor	data\UI\Buildings\tier_icons\tier_tmb_city.png	0	
wh2_dlc09_tmb_outpostnorsca_minor_coast			money	false	wh_main_sch_norsca_settlement_minor_coast	data\UI\Buildings\tier_icons\tier_tmb_city.png	0	
wh2_dlc09_tmb_port			military	false	wh_main_sch_port		0	
wh2_dlc09_tmb_public_order			money	false	wh2_main_sch_infrastructure3_order		10	
wh2_dlc09_tmb_resource_animals			money	false	wh2_main_sch_resource_animals		10	
wh2_dlc09_tmb_resource_dyes			money	false	wh_main_sch_human_resource_dyes		10	
wh2_dlc09_tmb_resource_furs			money	false	wh_main_sch_human_resource_furs		10	
wh2_dlc09_tmb_resource_gems			money	false	wh2_main_sch_human_resource_gems		10	
wh2_dlc09_tmb_resource_gold			money	false	wh_main_sch_human_resource_gold		10	
wh2_dlc09_tmb_resource_iron			money	false	wh_main_sch_human_resource_iron		10	
wh2_dlc09_tmb_resource_marble			money	false	wh_main_sch_human_resource_marble		10	
wh2_dlc09_tmb_resource_medicine			money	false	wh2_main_sch_resource_medicine		10	
wh2_dlc09_tmb_resource_obsidian			money	false	wh2_main_sch_resource_obsidian		10	
wh2_dlc09_tmb_resource_pasture			money	false	wh_main_sch_human_resource_pastures		10	
wh2_dlc09_tmb_resource_pottery			money	false	wh_main_sch_human_resource_pottery		10	
wh2_dlc09_tmb_resource_salt			money	false	wh_main_sch_human_resource_salt		10	
wh2_dlc09_tmb_resource_spices			money	false	wh2_main_sch_resource_spices		10	
wh2_dlc09_tmb_resource_wine			money	false	wh_main_sch_human_resource_wine		10	
wh2_dlc09_tmb_resource_wood			money	false	wh_main_sch_human_resource_timber		10	
wh2_dlc09_tmb_scorpions			military	false	wh2_main_sch_support5_extra		5	
wh2_dlc09_tmb_settlement_major			money	true	wh_main_sch_settlement_major	data\UI\Buildings\tier_icons\tier_tmb_city.png	0	
wh2_dlc09_tmb_settlement_major_coast			money	false	wh_main_sch_settlement_major_coast	data\UI\Buildings\tier_icons\tier_tmb_city.png	0	
wh2_dlc09_tmb_settlement_minor			money	true	wh_main_sch_settlement_minor	data\UI\Buildings\tier_icons\tier_tmb_city.png	0	
wh2_dlc09_tmb_settlement_minor_coast			money	false	wh_main_sch_settlement_minor_coast	data\UI\Buildings\tier_icons\tier_tmb_city.png	0	
wh2_dlc09_tmb_ushabti			military	false	wh2_main_sch_support2_worship		4	
wh2_dlc09_tmb_warsphinx			military	false	wh2_main_sch_military5		6	
wh2_dlc10_hef_aesanar_camp			military	false	wh2_dlc10_sch_hef_aesanar_camp		10	
wh2_dlc10_hef_handmaidens			military	false	wh2_dlc10_sch_hef_handmaidens		9	
wh2_dlc10_hef_handmaidens_alarielle			military	false	wh2_dlc10_sch_hef_handmaidens		9	
wh2_dlc10_special_world_root_entrance			military	false	wh2_dlc10_sch_special_world_root_entrance		0	
wh2_dlc11_cst_outpostnorsca_major			money	true	wh_main_sch_norsca_settlement_major		0	
wh2_dlc11_cst_outpostnorsca_major_coast			money	false	wh_main_sch_norsca_settlement_major_coast		0	
wh2_dlc11_cst_outpostnorsca_minor			money	true	wh_main_sch_norsca_settlement_minor		0	
wh2_dlc11_cst_outpostnorsca_minor_coast			money	false	wh_main_sch_norsca_settlement_minor_coast		0	
wh2_dlc11_cst_resource_animals			money	false	wh2_main_sch_resource_animals		10	
wh2_dlc11_cst_resource_dyes			money	false	wh_main_sch_human_resource_dyes		10	
wh2_dlc11_cst_resource_furs			money	false	wh_main_sch_human_resource_furs		10	
wh2_dlc11_cst_resource_gems			money	false	wh2_main_sch_human_resource_gems		10	
wh2_dlc11_cst_resource_gold			money	false	wh_main_sch_human_resource_gold		10	
wh2_dlc11_cst_resource_iron			money	false	wh_main_sch_human_resource_iron		10	
wh2_dlc11_cst_resource_marble			money	false	wh_main_sch_human_resource_marble		10	
wh2_dlc11_cst_resource_medicine			money	false	wh2_main_sch_resource_medicine		10	
wh2_dlc11_cst_resource_obsidian			money	false	wh2_main_sch_resource_obsidian		10	
wh2_dlc11_cst_resource_pasture			money	false	wh_main_sch_human_resource_pastures		10	
wh2_dlc11_cst_resource_pottery			money	false	wh_main_sch_human_resource_pottery		10	
wh2_dlc11_cst_resource_salt			money	false	wh_main_sch_human_resource_salt		10	
wh2_dlc11_cst_resource_spices			money	false	wh2_main_sch_resource_spices		10	
wh2_dlc11_cst_resource_wine			money	false	wh_main_sch_human_resource_wine		10	
wh2_dlc11_cst_resource_wood			money	false	wh_main_sch_human_resource_timber		10	
wh2_dlc11_foreign_corruption			money	false	wh2_dlc11_sch_foreign_corruption		1	
wh2_dlc11_foreign_income			money	false	wh2_dlc11_sch_foreign_income		0	
wh2_dlc11_foreign_infamy			money	false	wh2_dlc11_sch_foreign_infamy		0	
wh2_dlc11_foreign_trade			money	false	wh2_dlc11_sch_foreign_trade		1	
wh2_dlc11_horde_def_aristocracy			military	false	wh2_dlc11_sch_horde_def_aristocracy		2	
wh2_dlc11_horde_def_exiles			military	false	wh2_dlc11_sch_horde_def_exiles		1	
wh2_dlc11_horde_def_residence			money	false	wh2_dlc11_sch_horde_def_residence		0	
wh2_dlc11_horde_def_riders			military	false	wh2_dlc11_sch_horde_def_riders		1	
wh2_dlc11_special_ancient_vault			military	false	wh2_dlc11_sch_special_ancient_vault		0	
wh2_dlc11_special_cylostra_opera_house			military	false	wh2_dlc11_sch_special_cylostra_opera_house		0	
wh2_dlc11_special_dragon_tooth_lighthouse			military	false	wh2_dlc11_sch_special_dragon_tooth_lighthouse		0	
wh2_dlc11_special_galleons_graveyard_wreck			military	false	wh2_dlc11_sch_special_galleons_graveyard_wreck		0	
wh2_dlc11_special_settlement_galleons_graveyard			money	false	wh2_dlc11_sch_special_settlement_galleons_graveyard	data\UI\Buildings\tier_icons\tier_coast_galleons_graveyard.png	0	
wh2_dlc11_special_settlement_galleons_graveyard_other			money	false	wh2_dlc11_sch_special_settlement_galleons_graveyard	data\UI\Buildings\tier_icons\tier_coast_galleons_graveyard.png	0	
wh2_dlc11_special_ship_aranessa			military	false	wh2_dlc11_sch_special_ship_aranessa		0	wh2_dlc11_cst_aranessa
wh2_dlc11_special_ship_cylostra			military	false	wh2_dlc11_sch_special_ship_cylostra		0	wh2_dlc11_cst_cylostra
wh2_dlc11_special_ship_harkon			military	false	wh2_dlc11_sch_special_ship_harkon		0	wh2_dlc11_cst_harkon
wh2_dlc11_special_ship_harpoon			military	false	wh2_dlc11_sch_special_ship_harpoon		0	
wh2_dlc11_special_ship_noctilus			military	false	wh2_dlc11_sch_special_ship_noctilus		0	wh2_dlc11_cst_noctilus
wh2_dlc11_vampirecoast_defence_garrison			military	false	wh2_main_sch_defence_minor		8	
wh2_dlc11_vampirecoast_defence_norsca			military	false	wh2_main_sch_defence_norsca		0	
wh2_dlc11_vampirecoast_defence_walls			military	false	wh2_dlc11_sch_defence_major_cst		7	
wh2_dlc11_vampirecoast_infrastructure_corruption			money	true	wh2_main_sch_infrastructure4_energy		11	
wh2_dlc11_vampirecoast_infrastructure_growth			money	false	wh2_main_sch_infrastructure1_farm		9	
wh2_dlc11_vampirecoast_infrastructure_income			money	true	wh2_main_sch_infrastructure7_minor		12	
wh2_dlc11_vampirecoast_infrastructure_income_other			money	true	wh2_main_sch_infrastructure8_major		13	
wh2_dlc11_vampirecoast_infrastructure_public_order			money	false	wh2_main_sch_infrastructure3_order		10	
wh2_dlc11_vampirecoast_military_barracks			military	false	wh2_main_sch_military1_barracks		1	
wh2_dlc11_vampirecoast_military_flying			military	false	wh2_main_sch_military3_warmachines		3	
wh2_dlc11_vampirecoast_military_ranged			military	false	wh2_main_sch_military2_stables		2	
wh2_dlc11_vampirecoast_port			money	true	wh_main_sch_port		0	
wh2_dlc11_vampirecoast_settlement_major			money	true	wh_main_sch_settlement_major	data\UI\Buildings\tier_icons\tier_coast_city.png	0	
wh2_dlc11_vampirecoast_settlement_major_coast			money	true	wh_main_sch_settlement_major_coast	data\UI\Buildings\tier_icons\tier_coast_city.png	0	
wh2_dlc11_vampirecoast_settlement_minor			money	true	wh_main_sch_settlement_minor	data\UI\Buildings\tier_icons\tier_coast_city.png	0	
wh2_dlc11_vampirecoast_settlement_minor_coast			money	true	wh_main_sch_settlement_minor_coast	data\UI\Buildings\tier_icons\tier_coast_city.png	0	
wh2_dlc11_vampirecoast_ship_anchor			military	false	wh2_dlc11_sch_horde_cst_ship_9		9	
wh2_dlc11_vampirecoast_ship_cannons			military	false	wh2_dlc11_sch_horde_cst_ship_4		4	
wh2_dlc11_vampirecoast_ship_captains_cabin			military	false	wh2_dlc11_sch_horde_cst_ship_main	data\UI\Buildings\tier_icons\tier_coast_ship.png	0	
wh2_dlc11_vampirecoast_ship_crows_nest			military	false	wh2_dlc11_sch_horde_cst_ship_3		3	
wh2_dlc11_vampirecoast_ship_gunports			military	false	wh2_dlc11_sch_horde_cst_ship_2		2	
wh2_dlc11_vampirecoast_ship_helm			military	false	wh2_dlc11_sch_horde_cst_ship_7		7	
wh2_dlc11_vampirecoast_ship_hold			military	false	wh2_dlc11_sch_horde_cst_ship_5		5	
wh2_dlc11_vampirecoast_ship_hull			military	false	wh2_dlc11_sch_horde_cst_ship_8		8	
wh2_dlc11_vampirecoast_ship_main_deck			military	false	wh2_dlc11_sch_horde_cst_ship_1		1	
wh2_dlc11_vampirecoast_ship_sail			military	false	wh2_dlc11_sch_horde_cst_ship_6		6	
wh2_dlc11_vampirecoast_support_artillery			military	false	wh2_main_sch_support1_smith		4	
wh2_dlc11_vampirecoast_support_monsters			military	false	wh2_main_sch_support2_worship		5	
wh2_dlc11_vampirecoast_support_necrofex			military	false	wh2_main_sch_support3_wizards		6	
wh2_dlc12_dummy_nuclear_ruins			abandoned	false	wh_main_sch_settlement_major		0	
wh2_dlc12_dummy_nuclear_ruins_lzd			abandoned	false	wh_main_sch_settlement_major		0	
wh2_dlc12_dummy_nuclear_ruins_tmb			abandoned	false	wh_main_sch_settlement_major		0	
wh2_dlc12_dummy_nuclear_ruins_tmb_nagash			abandoned	false	wh_main_sch_settlement_major		0	
wh2_dlc12_dummy_nuclear_ruins_tmb_settra			abandoned	false	wh_main_sch_settlement_major		0	
wh2_dlc12_special_bordeleaux_manann_shrine			money	false	wh2_dlc12_sch_special_bordeleaux_manann_shrine		0	
wh2_dlc12_special_sotek_snake_pit			money	false	wh2_dlc12_sch_special_sotek_snake_pit		0	
wh2_dlc12_special_warlock_lab			money	false	wh2_dlc12_sch_special_warlock_lab		0	
wh2_dlc12_special_warpstone_tractor_beam			money	false	wh2_dlc12_sch_special_warpstone_tractor_beam		3	
wh2_dlc12_under_empire_annexation_doomsday			money	false	wh2_dlc12_sch_under_empire_annexation_doomsday		4	
wh2_dlc12_under_empire_annexation_war_camp			money	false	wh2_dlc12_sch_under_empire_annexation_war_camp		3	
wh2_dlc12_under_empire_discovery_assassins			money	false	wh2_dlc12_sch_under_empire_discovery_assassins		5	
wh2_dlc12_under_empire_discovery_deeper_tunnels			money	false	wh2_dlc12_sch_under_empire_discovery_deeper_tunnels		6	
wh2_dlc12_under_empire_food_kidnappers			money	false	wh2_dlc12_sch_under_empire_food_kidnappers		7	
wh2_dlc12_under_empire_food_raiding_camp			money	false	wh2_dlc12_sch_under_empire_food_raiding_camp		8	
wh2_dlc12_under_empire_money_crafting			money	false	wh2_dlc12_sch_under_empire_money_crafting		9	
wh2_dlc12_under_empire_money_thieves			money	false	wh2_dlc12_sch_under_empire_money_thieves		10	
wh2_dlc12_under_empire_settlement_stronghold			money	false	wh2_dlc12_sch_under_empire_settlement_stronghold		2	
wh2_dlc12_under_empire_settlement_warren			money	false	wh2_dlc12_sch_under_empire_settlement_warren		1	
wh2_dlc12_under_empire_warpstone_mine			money	false	wh2_dlc12_sch_under_empire_warpstone_mine		11	
wh2_dlc12_under_empire_warpstone_refinery			money	false	wh2_dlc12_sch_under_empire_warpstone_refinery		12	
wh2_dlc12_under_empire_warpstone_strip_mine			money	false	wh2_dlc12_sch_under_empire_warpstone_strip_mine		13	
wh2_main_DWARFS_resource_pottery			money	false	wh_main_sch_human_resource_pottery		10	
wh2_main_DWARFS_resource_wine			money	false	wh_main_sch_human_resource_wine		10	
wh2_main_EMPIRE_academy			money	false	wh2_main_sch_support4_other		5	
wh2_main_EMPIRE_roads			money	false	wh2_main_sch_infrastructure4_energy		4	
wh2_main_GREENSKINS_resource_animals			military	true	wh2_main_sch_resource_animals		11	
wh2_main_HUMAN_resource_gemstones			money	false	wh2_main_sch_human_resource_gems		10	
wh2_main_VAMPIRES_raisedead			military	false	wh2_main_sch_vampires_raisedead		1	
wh2_main_VAMPIRES_resource_animals			money	false	wh2_main_sch_resource_animals		10	
wh2_main_VAMPIRES_resource_gemstones			money	false	wh2_main_sch_human_resource_gems		10	
wh2_main_VAMPIRES_resource_medicine			money	false	wh2_main_sch_resource_medicine		10	
wh2_main_VAMPIRES_resource_obsidian			money	false	wh2_main_sch_resource_obsidian		10	
wh2_main_VAMPIRES_terrorgheists			military	false	wh2_main_sch_military5		7	
wh2_main_VAMPIRES_wraiths			military	false	wh2_main_sch_infrastructure5_tradingspying		2	
wh2_main_brt_defence_norsca			military	false	wh2_main_sch_defence_norsca		0	
wh2_main_brt_resource_animals			money	false	wh2_main_sch_resource_animals		10	
wh2_main_brt_resource_dyes			money	true	wh_main_sch_human_resource_dyes		10	
wh2_main_brt_resource_furs			money	true	wh_main_sch_human_resource_furs		10	
wh2_main_brt_resource_gemstones			money	false	wh2_main_sch_human_resource_gems		10	
wh2_main_brt_resource_gold			money	true	wh_main_sch_human_resource_gold		10	
wh2_main_brt_resource_iron			money	true	wh_main_sch_human_resource_iron		10	
wh2_main_brt_resource_marble			money	true	wh_main_sch_human_resource_marble		10	
wh2_main_brt_resource_medicine			money	false	wh2_main_sch_resource_medicine		10	
wh2_main_brt_resource_obsidian			money	false	wh2_main_sch_resource_obsidian		10	
wh2_main_brt_resource_pastures			money	true	wh_main_sch_human_resource_pastures		10	
wh2_main_brt_resource_pottery			money	true	wh_main_sch_human_resource_pottery		10	
wh2_main_brt_resource_salt			money	true	wh_main_sch_human_resource_salt		10	
wh2_main_brt_resource_spices			money	false	wh2_main_sch_resource_spices		10	
wh2_main_brt_resource_timber			money	true	wh_main_sch_human_resource_timber		10	
wh2_main_brt_resource_wine			money	true	wh_main_sch_human_resource_wine		10	
wh2_main_def_barracks			military	false	wh2_main_sch_military1_barracks		0	
wh2_main_def_beasts			military	false	wh2_main_sch_military4_monsters		1	
wh2_main_def_coldones			military	false	wh2_main_sch_military5		3	
wh2_main_def_defence_major			military	false	wh2_main_sch_defence_major_def		1	
wh2_main_def_defence_minor			military	false	wh2_main_sch_defence_minor		0	
wh2_main_def_defence_norsca			military	false	wh2_main_sch_defence_norsca		0	
wh2_main_def_exiles			military	false	wh2_main_sch_military3_warmachines		3	
wh2_main_def_farm			money	false	wh2_main_sch_infrastructure1_farm		1	
wh2_main_def_industry			money	false	wh2_main_sch_infrastructure2_industry		2	
wh2_main_def_murder			military	false	wh2_main_sch_support4_other		5	
wh2_main_def_order			money	false	wh2_main_sch_infrastructure3_order		3	
wh2_main_def_outpostnorsca_major			money	true	wh_main_sch_norsca_settlement_major	data\UI\Buildings\tier_icons\tier_def_city.png	0	
wh2_main_def_outpostnorsca_major_coast			money	false	wh_main_sch_norsca_settlement_major_coast	data\UI\Buildings\tier_icons\tier_def_city.png	0	
wh2_main_def_outpostnorsca_minor			money	true	wh_main_sch_norsca_settlement_minor	data\UI\Buildings\tier_icons\tier_def_city.png	0	
wh2_main_def_outpostnorsca_minor_coast			money	false	wh_main_sch_norsca_settlement_minor_coast	data\UI\Buildings\tier_icons\tier_def_city.png	0	
wh2_main_def_pleasure_cult			happiness	false	wh2_main_sch_infrastructure3_order		0	
wh2_main_def_port			money	false	wh_main_sch_port		0	
wh2_main_def_resource_animals			money	false	wh2_main_sch_resource_animals		10	
wh2_main_def_resource_dyes			money	false	wh_main_sch_human_resource_dyes		10	
wh2_main_def_resource_furs			money	false	wh_main_sch_human_resource_furs		10	
wh2_main_def_resource_gems			money	false	wh2_main_sch_human_resource_gems		10	
wh2_main_def_resource_gold			money	false	wh_main_sch_human_resource_gold		10	
wh2_main_def_resource_iron			money	false	wh_main_sch_human_resource_iron		10	
wh2_main_def_resource_marble			money	false	wh_main_sch_human_resource_marble		10	
wh2_main_def_resource_medicine			money	false	wh2_main_sch_resource_medicine		10	
wh2_main_def_resource_obsidian			money	false	wh2_main_sch_resource_obsidian		10	
wh2_main_def_resource_pasture			money	false	wh_main_sch_human_resource_pastures		10	
wh2_main_def_resource_pottery			money	false	wh_main_sch_human_resource_pottery		10	
wh2_main_def_resource_salt			money	false	wh_main_sch_human_resource_salt		10	
wh2_main_def_resource_spices			money	false	wh2_main_sch_resource_spices		10	
wh2_main_def_resource_wine			money	false	wh_main_sch_human_resource_wine		10	
wh2_main_def_resource_wood			money	false	wh_main_sch_human_resource_timber		10	
wh2_main_def_riders			military	false	wh2_main_sch_military2_stables		2	
wh2_main_def_roads			money	false	wh2_main_sch_infrastructure5_tradingspying		6	
wh2_main_def_settlement_major			money	true	wh_main_sch_settlement_major	data\UI\Buildings\tier_icons\tier_def_city.png	0	
wh2_main_def_settlement_major_coast			money	false	wh_main_sch_settlement_major_coast	data\UI\Buildings\tier_icons\tier_def_city.png	0	
wh2_main_def_settlement_minor			money	true	wh_main_sch_settlement_minor	data\UI\Buildings\tier_icons\tier_def_city.png	0	
wh2_main_def_settlement_minor_coast			money	false	wh_main_sch_settlement_minor_coast	data\UI\Buildings\tier_icons\tier_def_city.png	0	
wh2_main_def_slaves			money	false	wh2_main_sch_infrastructure4_energy		4	
wh2_main_def_sorcery			military	false	wh2_main_sch_support3_wizards		4	
wh2_main_def_worship			military	false	wh2_main_sch_support2_worship		0	
wh2_main_dwf_defence_norsca			military	false	wh2_main_sch_defence_norsca		0	
wh2_main_dwf_resource_animals			money	false	wh2_main_sch_resource_animals		10	
wh2_main_dwf_resource_medicine			money	false	wh2_main_sch_resource_medicine		10	
wh2_main_dwf_resource_obsidian			money	false	wh2_main_sch_resource_obsidian		10	
wh2_main_dwf_resource_spices			money	false	wh2_main_sch_resource_spices		10	
wh2_main_emp_defence_norsca			military	false	wh2_main_sch_defence_norsca		0	
wh2_main_emp_resource_animals			money	false	wh2_main_sch_resource_animals		10	
wh2_main_emp_resource_medicine			money	false	wh2_main_sch_resource_medicine		10	
wh2_main_emp_resource_obsidian			money	false	wh2_main_sch_resource_obsidian		10	
wh2_main_emp_resource_spices			money	false	wh2_main_sch_resource_spices		10	
wh2_main_foreign_slot_discovery_brt			money	false	wh2_main_sch_foreign_slot_discovery		9	
wh2_main_foreign_slot_discovery_cst			money	false	wh2_main_sch_foreign_slot_discovery		9	
wh2_main_foreign_slot_discovery_def			money	false	wh2_main_sch_foreign_slot_discovery		9	
wh2_main_foreign_slot_discovery_dwf			money	false	wh2_main_sch_foreign_slot_discovery		9	
wh2_main_foreign_slot_discovery_emp			money	false	wh2_main_sch_foreign_slot_discovery		9	
wh2_main_foreign_slot_discovery_grn			money	false	wh2_main_sch_foreign_slot_discovery		9	
wh2_main_foreign_slot_discovery_hef			money	false	wh2_main_sch_foreign_slot_discovery		9	
wh2_main_foreign_slot_discovery_lzd			money	false	wh2_main_sch_foreign_slot_discovery		9	
wh2_main_foreign_slot_discovery_nor			money	false	wh2_main_sch_foreign_slot_discovery		9	
wh2_main_foreign_slot_discovery_skv			money	false	wh2_main_sch_foreign_slot_discovery		9	
wh2_main_foreign_slot_discovery_tmb			money	false	wh2_main_sch_foreign_slot_discovery		9	
wh2_main_foreign_slot_discovery_vmp			money	false	wh2_main_sch_foreign_slot_discovery		9	
wh2_main_foreign_slot_discovery_wef			money	false	wh2_main_sch_foreign_slot_discovery		9	
wh2_main_grn_defence_norsca			military	false	wh2_main_sch_defence_norsca		0	
wh2_main_grn_raiders			money	false	wh2_main_sch_infrastructure4_energy		5	
wh2_main_hef_barracks			military	false	wh2_main_sch_military1_barracks		0	
wh2_main_hef_birds			military	false	wh2_main_sch_military4_monsters		3	
wh2_main_hef_court			money	false	wh2_main_sch_infrastructure4_energy		4	
wh2_main_hef_defence_major			military	false	wh2_main_sch_defence_major_hef		1	
wh2_main_hef_defence_minor			military	false	wh2_main_sch_defence_minor		0	
wh2_main_hef_defence_norsca			military	false	wh2_main_sch_defence_norsca		0	
wh2_main_hef_dragons			military	false	wh2_main_sch_support4_other		4	
wh2_main_hef_embassy			money	false	wh2_main_sch_infrastructure5_tradingspying		5	
wh2_main_hef_farm			money	false	wh2_main_sch_infrastructure1_farm		0	
wh2_main_hef_hunters			military	false	wh2_main_sch_military3_warmachines		3	
wh2_main_hef_industry			money	false	wh2_main_sch_infrastructure2_industry		1	
wh2_main_hef_mages			military	false	wh2_main_sch_support3_wizards		1	
wh2_main_hef_order			money	false	wh2_main_sch_infrastructure3_order		2	
wh2_main_hef_outpostnorsca_major			money	true	wh_main_sch_norsca_settlement_major	data\UI\Buildings\tier_icons\tier_hef_colony.png	0	
wh2_main_hef_outpostnorsca_major_coast			money	false	wh_main_sch_norsca_settlement_major_coast	data\UI\Buildings\tier_icons\tier_hef_colony.png	0	
wh2_main_hef_outpostnorsca_minor			money	true	wh_main_sch_norsca_settlement_minor	data\UI\Buildings\tier_icons\tier_hef_colony.png	0	
wh2_main_hef_outpostnorsca_minor_coast			money	false	wh_main_sch_norsca_settlement_minor_coast	data\UI\Buildings\tier_icons\tier_hef_colony.png	0	
wh2_main_hef_port			money	false	wh_main_sch_port		0	
wh2_main_hef_resource_animals			money	false	wh2_main_sch_resource_animals		10	
wh2_main_hef_resource_dyes			money	false	wh_main_sch_human_resource_dyes		10	
wh2_main_hef_resource_furs			money	false	wh_main_sch_human_resource_furs		10	
wh2_main_hef_resource_gems			money	false	wh2_main_sch_human_resource_gems		10	
wh2_main_hef_resource_gold			money	false	wh_main_sch_human_resource_gold		10	
wh2_main_hef_resource_iron			money	false	wh_main_sch_human_resource_iron		10	
wh2_main_hef_resource_marble			money	false	wh_main_sch_human_resource_marble		10	
wh2_main_hef_resource_medicine			money	false	wh2_main_sch_resource_medicine		10	
wh2_main_hef_resource_obsidian			money	false	wh2_main_sch_resource_obsidian		10	
wh2_main_hef_resource_pasture			money	false	wh_main_sch_human_resource_pastures		10	
wh2_main_hef_resource_pottery			money	false	wh_main_sch_human_resource_pottery		10	
wh2_main_hef_resource_salt			money	false	wh_main_sch_human_resource_salt		10	
wh2_main_hef_resource_spices			money	false	wh2_main_sch_resource_spices		10	
wh2_main_hef_resource_wine			money	false	wh_main_sch_human_resource_wine		10	
wh2_main_hef_resource_wood			money	false	wh_main_sch_human_resource_timber		10	
wh2_main_hef_settlement_major			money	true	wh_main_sch_settlement_major	data\UI\Buildings\tier_icons\tier_hef_city.png	0	
wh2_main_hef_settlement_major_coast			money	false	wh_main_sch_settlement_major_coast	data\UI\Buildings\tier_icons\tier_hef_city.png	0	
