campaign_map_attrition_faction_immunities_tables	0
chaos_territory	wh2_dlc11_cst_shanty_shark_straight_seadogs
chaos_territory	wh2_dlc11_def_dark_elves_dil
chaos_territory	wh2_dlc11_emp_empire_dil
chaos_territory	wh2_dlc11_nor_norsca_dil
chaos_territory	wh2_dlc11_nor_norsca_qb4
chaos_territory	wh2_main_bst_blooded_axe
chaos_territory	wh2_main_bst_blooded_axe_brayherd
chaos_territory	wh2_main_bst_manblight
chaos_territory	wh2_main_bst_manblight_brayherd
chaos_territory	wh2_main_bst_ripper_horn
chaos_territory	wh2_main_bst_ripper_horn_brayherd
chaos_territory	wh2_main_bst_shadowgor
chaos_territory	wh2_main_bst_shadowgor_brayherd
chaos_territory	wh2_main_bst_skrinderkin
chaos_territory	wh2_main_bst_skrinderkin_brayherd
chaos_territory	wh2_main_bst_stone_horn
chaos_territory	wh2_main_bst_stone_horn_brayherd
chaos_territory	wh2_main_chs_chaos_incursion_def
chaos_territory	wh2_main_chs_chaos_incursion_hef
chaos_territory	wh2_main_chs_chaos_incursion_lzd
chaos_territory	wh2_main_chs_chaos_incursion_skv
chaos_territory	wh2_main_def_cult_of_excess
chaos_territory	wh2_main_def_cult_of_pleasure
chaos_territory	wh2_main_def_cult_of_pleasure_separatists
chaos_territory	wh2_main_def_ssildra_tor
chaos_territory	wh2_main_nor_aghol
chaos_territory	wh2_main_nor_hung_incursion_def
chaos_territory	wh2_main_nor_hung_incursion_hef
chaos_territory	wh2_main_nor_hung_incursion_lzd
chaos_territory	wh2_main_nor_hung_incursion_skv
chaos_territory	wh2_main_nor_mung
chaos_territory	wh2_main_nor_skeggi
chaos_territory	wh2_main_rogue_abominations
chaos_territory	wh2_main_rogue_beastcatchas
chaos_territory	wh2_main_rogue_bernhoffs_brigands
chaos_territory	wh2_main_rogue_black_spider_tribe
chaos_territory	wh2_main_rogue_boneclubbers_tribe
chaos_territory	wh2_main_rogue_celestial_storm
chaos_territory	wh2_main_rogue_college_of_pyrotechnics
chaos_territory	wh2_main_rogue_def_chs_vashnaar
chaos_territory	wh2_main_rogue_def_mengils_manflayers
chaos_territory	wh2_main_rogue_doomseekers
chaos_territory	wh2_main_rogue_gerhardts_mercenaries
chaos_territory	wh2_main_rogue_hef_tor_elithis
chaos_territory	wh2_main_rogue_hung_warband
chaos_territory	wh2_main_rogue_jerrods_errantry
chaos_territory	wh2_main_rogue_mangy_houndz
chaos_territory	wh2_main_rogue_morrsliebs_howlers
chaos_territory	wh2_main_rogue_pirates_of_the_far_sea
chaos_territory	wh2_main_rogue_pirates_of_the_southern_ocean
chaos_territory	wh2_main_rogue_pirates_of_trantio
chaos_territory	wh2_main_rogue_scions_of_tesseninck
chaos_territory	wh2_main_rogue_scourge_of_aquitaine
chaos_territory	wh2_main_rogue_stuff_snatchers
chaos_territory	wh2_main_rogue_teef_snatchaz
chaos_territory	wh2_main_rogue_the_wandering_dead
chaos_territory	wh2_main_rogue_troll_skullz
chaos_territory	wh2_main_rogue_vauls_expedition
chaos_territory	wh2_main_rogue_vmp_heirs_of_mourkain
chaos_territory	wh2_main_rogue_wef_hunters_of_kurnous
chaos_territory	wh2_main_rogue_worldroot_rangers
chaos_territory	wh2_main_rogue_wrath_of_nature
chaos_territory	wh_dlc03_bst_beastmen
chaos_territory	wh_dlc03_bst_beastmen_ally
chaos_territory	wh_dlc03_bst_beastmen_brayherd
chaos_territory	wh_dlc03_bst_beastmen_chaos
chaos_territory	wh_dlc03_bst_beastmen_chaos_brayherd
chaos_territory	wh_dlc03_bst_beastmen_qb1
chaos_territory	wh_dlc03_bst_beastmen_qb2
chaos_territory	wh_dlc03_bst_beastmen_qb3
chaos_territory	wh_dlc03_bst_beastmen_rebels
chaos_territory	wh_dlc03_bst_beastmen_rebels_brayherd
chaos_territory	wh_dlc03_bst_jagged_horn
chaos_territory	wh_dlc03_bst_jagged_horn_brayherd
chaos_territory	wh_dlc03_bst_redhorn
chaos_territory	wh_dlc03_bst_redhorn_brayherd
chaos_territory	wh_dlc08_chs_chaos_challenger_khorne
chaos_territory	wh_dlc08_chs_chaos_challenger_nurgle
chaos_territory	wh_dlc08_chs_chaos_challenger_slaanesh
chaos_territory	wh_dlc08_chs_chaos_challenger_tzeentch
chaos_territory	wh_dlc08_nor_goromadny_tribe
chaos_territory	wh_dlc08_nor_helspire_tribe
chaos_territory	wh_dlc08_nor_naglfarlings
chaos_territory	wh_dlc08_nor_norsca
chaos_territory	wh_dlc08_nor_vanaheimlings
chaos_territory	wh_dlc08_nor_wintertooth
chaos_territory	wh_main_chs_chaos
chaos_territory	wh_main_chs_chaos_rebels
chaos_territory	wh_main_chs_chaos_separatists
chaos_territory	wh_main_nor_aesling
chaos_territory	wh_main_nor_baersonling
chaos_territory	wh_main_nor_bjornling
chaos_territory	wh_main_nor_graeling
chaos_territory	wh_main_nor_norsca_rebels
chaos_territory	wh_main_nor_sarl
chaos_territory	wh_main_nor_skaeling
chaos_territory	wh_main_nor_varg
chaos_wastes	wh2_dlc09_rogue_black_creek_raiders
chaos_wastes	wh2_dlc09_rogue_dwellers_of_zardok
chaos_wastes	wh2_dlc09_rogue_eyes_of_the_jungle
chaos_wastes	wh2_dlc09_rogue_pilgrims_of_myrmidia
chaos_wastes	wh2_dlc10_def_blood_voyage
chaos_wastes	wh2_dlc11_brt_bretonnia_dil
chaos_wastes	wh2_dlc11_cst_harpoon_the_sunken_land_corsairs
chaos_wastes	wh2_dlc11_cst_rogue_bleak_coast_buccaneers
chaos_wastes	wh2_dlc11_cst_rogue_boyz_of_the_forbidden_coast
chaos_wastes	wh2_dlc11_cst_rogue_freebooters_of_port_royale
chaos_wastes	wh2_dlc11_cst_rogue_grey_point_scuttlers
chaos_wastes	wh2_dlc11_cst_rogue_terrors_of_the_dark_straights
chaos_wastes	wh2_dlc11_cst_rogue_the_churning_gulf_raiders
chaos_wastes	wh2_dlc11_cst_rogue_tyrants_of_the_black_ocean
chaos_wastes	wh2_dlc11_cst_shanty_dragon_spine_privateers
chaos_wastes	wh2_dlc11_cst_shanty_middle_sea_brigands
chaos_wastes	wh2_dlc11_cst_shanty_shark_straight_seadogs
chaos_wastes	wh2_dlc11_def_dark_elves_dil
chaos_wastes	wh2_dlc11_emp_empire_dil
chaos_wastes	wh2_dlc11_nor_norsca_dil
chaos_wastes	wh2_dlc11_nor_norsca_qb4
chaos_wastes	wh2_main_chs_chaos_incursion_def
chaos_wastes	wh2_main_chs_chaos_incursion_hef
chaos_wastes	wh2_main_chs_chaos_incursion_lzd
chaos_wastes	wh2_main_chs_chaos_incursion_skv
chaos_wastes	wh2_main_nor_aghol
chaos_wastes	wh2_main_nor_hung_incursion_def
chaos_wastes	wh2_main_nor_hung_incursion_hef
chaos_wastes	wh2_main_nor_hung_incursion_lzd
chaos_wastes	wh2_main_nor_hung_incursion_skv
chaos_wastes	wh2_main_nor_mung
chaos_wastes	wh2_main_nor_skeggi
chaos_wastes	wh2_main_rogue_abominations
chaos_wastes	wh2_main_rogue_beastcatchas
chaos_wastes	wh2_main_rogue_bernhoffs_brigands
chaos_wastes	wh2_main_rogue_black_spider_tribe
chaos_wastes	wh2_main_rogue_boneclubbers_tribe
chaos_wastes	wh2_main_rogue_celestial_storm
chaos_wastes	wh2_main_rogue_college_of_pyrotechnics
chaos_wastes	wh2_main_rogue_def_chs_vashnaar
chaos_wastes	wh2_main_rogue_def_mengils_manflayers
chaos_wastes	wh2_main_rogue_doomseekers
chaos_wastes	wh2_main_rogue_gerhardts_mercenaries
chaos_wastes	wh2_main_rogue_hef_tor_elithis
chaos_wastes	wh2_main_rogue_hung_warband
chaos_wastes	wh2_main_rogue_jerrods_errantry
chaos_wastes	wh2_main_rogue_mangy_houndz
chaos_wastes	wh2_main_rogue_morrsliebs_howlers
chaos_wastes	wh2_main_rogue_pirates_of_the_far_sea
chaos_wastes	wh2_main_rogue_pirates_of_the_southern_ocean
chaos_wastes	wh2_main_rogue_pirates_of_trantio
chaos_wastes	wh2_main_rogue_scions_of_tesseninck
chaos_wastes	wh2_main_rogue_scourge_of_aquitaine
chaos_wastes	wh2_main_rogue_stuff_snatchers
chaos_wastes	wh2_main_rogue_teef_snatchaz
chaos_wastes	wh2_main_rogue_the_wandering_dead
chaos_wastes	wh2_main_rogue_troll_skullz
chaos_wastes	wh2_main_rogue_vauls_expedition
chaos_wastes	wh2_main_rogue_vmp_heirs_of_mourkain
chaos_wastes	wh2_main_rogue_wef_hunters_of_kurnous
chaos_wastes	wh2_main_rogue_worldroot_rangers
chaos_wastes	wh2_main_rogue_wrath_of_nature
chaos_wastes	wh_dlc03_bst_beastmen
chaos_wastes	wh_dlc03_bst_beastmen_ally
chaos_wastes	wh_dlc03_bst_beastmen_brayherd
chaos_wastes	wh_dlc03_bst_beastmen_chaos
chaos_wastes	wh_dlc03_bst_beastmen_chaos_brayherd
chaos_wastes	wh_dlc03_bst_beastmen_qb1
chaos_wastes	wh_dlc03_bst_beastmen_qb2
chaos_wastes	wh_dlc03_bst_beastmen_qb3
chaos_wastes	wh_dlc03_bst_beastmen_rebels
chaos_wastes	wh_dlc03_bst_beastmen_rebels_brayherd
chaos_wastes	wh_dlc03_bst_jagged_horn
chaos_wastes	wh_dlc03_bst_jagged_horn_brayherd
chaos_wastes	wh_dlc03_bst_redhorn
chaos_wastes	wh_dlc03_bst_redhorn_brayherd
chaos_wastes	wh_dlc08_chs_chaos_challenger_khorne
chaos_wastes	wh_dlc08_chs_chaos_challenger_nurgle
chaos_wastes	wh_dlc08_chs_chaos_challenger_slaanesh
chaos_wastes	wh_dlc08_chs_chaos_challenger_tzeentch
chaos_wastes	wh_dlc08_nor_goromadny_tribe
chaos_wastes	wh_dlc08_nor_helspire_tribe
chaos_wastes	wh_dlc08_nor_naglfarlings
chaos_wastes	wh_dlc08_nor_norsca
chaos_wastes	wh_dlc08_nor_vanaheimlings
chaos_wastes	wh_dlc08_nor_wintertooth
chaos_wastes	wh_main_chs_chaos
chaos_wastes	wh_main_chs_chaos_rebels
chaos_wastes	wh_main_chs_chaos_separatists
chaos_wastes	wh_main_nor_aesling
chaos_wastes	wh_main_nor_baersonling
chaos_wastes	wh_main_nor_bjornling
chaos_wastes	wh_main_nor_graeling
chaos_wastes	wh_main_nor_norsca_rebels
chaos_wastes	wh_main_nor_sarl
chaos_wastes	wh_main_nor_skaeling
chaos_wastes	wh_main_nor_varg
deep_sea	wh2_dlc09_rogue_black_creek_raiders
deep_sea	wh2_dlc09_rogue_dwellers_of_zardok
deep_sea	wh2_dlc09_rogue_eyes_of_the_jungle
deep_sea	wh2_dlc09_rogue_pilgrims_of_myrmidia
deep_sea	wh2_dlc10_def_blood_voyage
deep_sea	wh2_dlc11_brt_bretonnia_dil
deep_sea	wh2_dlc11_cst_harpoon_the_sunken_land_corsairs
deep_sea	wh2_dlc11_cst_noctilus
deep_sea	wh2_dlc11_cst_noctilus_separatists
deep_sea	wh2_dlc11_cst_pirates_of_sartosa
deep_sea	wh2_dlc11_cst_pirates_of_sartosa_separatists
deep_sea	wh2_dlc11_cst_rogue_bleak_coast_buccaneers
deep_sea	wh2_dlc11_cst_rogue_boyz_of_the_forbidden_coast
deep_sea	wh2_dlc11_cst_rogue_freebooters_of_port_royale
deep_sea	wh2_dlc11_cst_rogue_grey_point_scuttlers
deep_sea	wh2_dlc11_cst_rogue_terrors_of_the_dark_straights
deep_sea	wh2_dlc11_cst_rogue_the_churning_gulf_raiders
deep_sea	wh2_dlc11_cst_rogue_tyrants_of_the_black_ocean
deep_sea	wh2_dlc11_cst_shanty_dragon_spine_privateers
deep_sea	wh2_dlc11_cst_shanty_middle_sea_brigands
deep_sea	wh2_dlc11_cst_shanty_shark_straight_seadogs
deep_sea	wh2_dlc11_cst_the_drowned
deep_sea	wh2_dlc11_cst_the_drowned_separatists
deep_sea	wh2_dlc11_cst_vampire_coast
deep_sea	wh2_dlc11_cst_vampire_coast_rebellion_rebels
deep_sea	wh2_dlc11_cst_vampire_coast_rebels
deep_sea	wh2_dlc11_cst_vampire_coast_separatists
deep_sea	wh2_dlc11_def_dark_elves_dil
deep_sea	wh2_dlc11_emp_empire_dil
deep_sea	wh2_dlc11_nor_norsca_dil
deep_sea	wh2_dlc11_nor_norsca_qb4
deep_sea	wh2_main_nor_hung_incursion_def
deep_sea	wh2_main_nor_hung_incursion_hef
deep_sea	wh2_main_nor_hung_incursion_lzd
deep_sea	wh2_main_nor_hung_incursion_skv
deep_sea	wh_main_nor_bjornling
desertion	wh2_dlc10_def_blood_voyage
desertion	wh2_dlc11_brt_bretonnia_dil
desertion	wh2_dlc11_cst_harpoon_the_sunken_land_corsairs
desertion	wh2_dlc11_cst_rogue_bleak_coast_buccaneers
desertion	wh2_dlc11_cst_rogue_boyz_of_the_forbidden_coast
desertion	wh2_dlc11_cst_rogue_freebooters_of_port_royale
desertion	wh2_dlc11_cst_rogue_grey_point_scuttlers
desertion	wh2_dlc11_cst_rogue_terrors_of_the_dark_straights
desertion	wh2_dlc11_cst_rogue_the_churning_gulf_raiders
desertion	wh2_dlc11_cst_rogue_tyrants_of_the_black_ocean
desertion	wh2_dlc11_cst_shanty_dragon_spine_privateers
desertion	wh2_dlc11_cst_shanty_middle_sea_brigands
desertion	wh2_dlc11_cst_shanty_shark_straight_seadogs
desertion	wh2_dlc11_def_dark_elves_dil
desertion	wh2_dlc11_emp_empire_dil
desertion	wh2_dlc11_nor_norsca_dil
desertion	wh2_dlc11_nor_norsca_qb4
desertion	wh2_main_chs_chaos_incursion_def
desertion	wh2_main_chs_chaos_incursion_hef
desertion	wh2_main_chs_chaos_incursion_lzd
desertion	wh2_main_chs_chaos_incursion_skv
desertion	wh2_main_def_dark_elves_intervention
desertion	wh2_main_hef_high_elves_intervention
desertion	wh2_main_lzd_lizardmen_intervention
desertion	wh2_main_nor_hung_incursion_def
desertion	wh2_main_nor_hung_incursion_hef
desertion	wh2_main_nor_hung_incursion_lzd
desertion	wh2_main_nor_hung_incursion_skv
desertion	wh2_main_skv_skaven_intervention
desertion	wh2_main_skv_unknown_clan_def
desertion	wh2_main_skv_unknown_clan_hef
desertion	wh2_main_skv_unknown_clan_lzd
desertion	wh2_main_skv_unknown_clan_skv
desert	wh2_dlc09_rogue_black_creek_raiders
desert	wh2_dlc09_rogue_dwellers_of_zardok
desert	wh2_dlc09_rogue_eyes_of_the_jungle
desert	wh2_dlc09_rogue_pilgrims_of_myrmidia
desert	wh2_dlc09_tmb_dune_kingdoms
desert	wh2_dlc09_tmb_exiles_of_nehek
desert	wh2_dlc09_tmb_followers_of_nagash
desert	wh2_dlc09_tmb_khemri
desert	wh2_dlc09_tmb_lybaras
desert	wh2_dlc09_tmb_numas
desert	wh2_dlc09_tmb_rakaph_dynasty
desert	wh2_dlc09_tmb_the_sentinels
desert	wh2_dlc09_tmb_tomb_kings_rebels
desert	wh2_dlc10_def_blood_voyage
desert	wh2_dlc11_brt_bretonnia_dil
desert	wh2_dlc11_cst_harpoon_the_sunken_land_corsairs
desert	wh2_dlc11_cst_noctilus
desert	wh2_dlc11_cst_noctilus_separatists
desert	wh2_dlc11_cst_pirates_of_sartosa
desert	wh2_dlc11_cst_pirates_of_sartosa_separatists
desert	wh2_dlc11_cst_rogue_bleak_coast_buccaneers
desert	wh2_dlc11_cst_rogue_boyz_of_the_forbidden_coast
desert	wh2_dlc11_cst_rogue_freebooters_of_port_royale
desert	wh2_dlc11_cst_rogue_grey_point_scuttlers
desert	wh2_dlc11_cst_rogue_terrors_of_the_dark_straights
desert	wh2_dlc11_cst_rogue_the_churning_gulf_raiders
desert	wh2_dlc11_cst_rogue_tyrants_of_the_black_ocean
desert	wh2_dlc11_cst_shanty_dragon_spine_privateers
desert	wh2_dlc11_cst_shanty_middle_sea_brigands
desert	wh2_dlc11_cst_shanty_shark_straight_seadogs
desert	wh2_dlc11_cst_the_drowned
desert	wh2_dlc11_cst_the_drowned_separatists
desert	wh2_dlc11_cst_vampire_coast
desert	wh2_dlc11_cst_vampire_coast_rebellion_rebels
desert	wh2_dlc11_cst_vampire_coast_rebels
desert	wh2_dlc11_cst_vampire_coast_separatists
desert	wh2_dlc11_def_dark_elves_dil
desert	wh2_dlc11_emp_empire_dil
desert	wh2_dlc11_nor_norsca_dil
desert	wh2_dlc11_nor_norsca_qb4
desert	wh2_dlc11_vmp_the_barrow_legion
desert	wh2_main_grn_arachnos
desert	wh2_main_grn_arachnos_waaagh
desert	wh2_main_grn_blue_vipers
desert	wh2_main_grn_blue_vipers_waaagh
desert	wh2_main_rogue_abominations
desert	wh2_main_rogue_beastcatchas
desert	wh2_main_rogue_bernhoffs_brigands
desert	wh2_main_rogue_black_spider_tribe
desert	wh2_main_rogue_boneclubbers_tribe
desert	wh2_main_rogue_celestial_storm
desert	wh2_main_rogue_college_of_pyrotechnics
desert	wh2_main_rogue_def_chs_vashnaar
desert	wh2_main_rogue_def_mengils_manflayers
desert	wh2_main_rogue_doomseekers
desert	wh2_main_rogue_gerhardts_mercenaries
desert	wh2_main_rogue_hef_tor_elithis
desert	wh2_main_rogue_hung_warband
desert	wh2_main_rogue_jerrods_errantry
desert	wh2_main_rogue_mangy_houndz
desert	wh2_main_rogue_morrsliebs_howlers
desert	wh2_main_rogue_pirates_of_the_far_sea
desert	wh2_main_rogue_pirates_of_the_southern_ocean
desert	wh2_main_rogue_pirates_of_trantio
desert	wh2_main_rogue_scions_of_tesseninck
desert	wh2_main_rogue_scourge_of_aquitaine
desert	wh2_main_rogue_stuff_snatchers
desert	wh2_main_rogue_teef_snatchaz
desert	wh2_main_rogue_the_wandering_dead
desert	wh2_main_rogue_troll_skullz
desert	wh2_main_rogue_vauls_expedition
desert	wh2_main_rogue_vmp_heirs_of_mourkain
desert	wh2_main_rogue_wef_hunters_of_kurnous
desert	wh2_main_rogue_worldroot_rangers
desert	wh2_main_rogue_wrath_of_nature
desert	wh2_main_vmp_necrarch_brotherhood
desert	wh2_main_vmp_strygos_empire
desert	wh2_main_vmp_the_silver_host
desert	wh2_main_vmp_vampire_coast
desert	wh_dlc08_chs_chaos_challenger_khorne
desert	wh_dlc08_chs_chaos_challenger_nurgle
desert	wh_dlc08_chs_chaos_challenger_slaanesh
desert	wh_dlc08_chs_chaos_challenger_tzeentch
desert	wh_main_grn_black_venom
desert	wh_main_grn_black_venom_waaagh
desert	wh_main_grn_bloody_spearz
desert	wh_main_grn_bloody_spearz_waaagh
desert	wh_main_grn_broken_nose
desert	wh_main_grn_broken_nose_waaagh
desert	wh_main_grn_crooked_moon
desert	wh_main_grn_crooked_moon_waaagh
desert	wh_main_grn_greenskins
desert	wh_main_grn_greenskins_rebels
desert	wh_main_grn_greenskins_rebels_waaagh
desert	wh_main_grn_greenskins_waaagh
desert	wh_main_grn_necksnappers
desert	wh_main_grn_necksnappers_waaagh
desert	wh_main_grn_orcs_of_the_bloody_hand
desert	wh_main_grn_orcs_of_the_bloody_hand_waaagh
desert	wh_main_grn_red_eye
desert	wh_main_grn_red_eye_waaagh
desert	wh_main_grn_red_fangs
desert	wh_main_grn_red_fangs_waaagh
desert	wh_main_grn_scabby_eye
desert	wh_main_grn_scabby_eye_waaagh
desert	wh_main_grn_skull-takerz
desert	wh_main_grn_skull-takerz_waaagh
desert	wh_main_grn_skullsmasherz
desert	wh_main_grn_skullsmasherz_waaagh
desert	wh_main_grn_teef_snatchaz
desert	wh_main_grn_teef_snatchaz_waaagh
desert	wh_main_grn_top_knotz
desert	wh_main_grn_top_knotz_waaagh
desert	wh_main_vmp_mousillon
desert	wh_main_vmp_rival_sylvanian_vamps
desert	wh_main_vmp_schwartzhafen
desert	wh_main_vmp_vampire_counts
desert	wh_main_vmp_vampire_rebels
desert	wh_main_vmp_waldenhof
disease	wh2_dlc10_def_blood_voyage
disease	wh2_main_chs_chaos_incursion_def
disease	wh2_main_chs_chaos_incursion_hef
disease	wh2_main_chs_chaos_incursion_lzd
disease	wh2_main_chs_chaos_incursion_skv
disease	wh2_main_nor_aghol
disease	wh2_main_nor_hung_incursion_def
disease	wh2_main_nor_hung_incursion_hef
disease	wh2_main_nor_hung_incursion_lzd
disease	wh2_main_nor_hung_incursion_skv
disease	wh2_main_nor_skeggi
disease	wh_dlc03_bst_beastmen_chaos
disease	wh_dlc03_bst_beastmen_chaos_brayherd
disease	wh_dlc08_chs_chaos_challenger_khorne
disease	wh_dlc08_chs_chaos_challenger_nurgle
disease	wh_dlc08_chs_chaos_challenger_slaanesh
disease	wh_dlc08_chs_chaos_challenger_tzeentch
disease	wh_dlc08_nor_goromadny_tribe
disease	wh_dlc08_nor_helspire_tribe
disease	wh_dlc08_nor_naglfarlings
disease	wh_dlc08_nor_norsca
disease	wh_dlc08_nor_vanaheimlings
disease	wh_dlc08_nor_wintertooth
disease	wh_main_chs_chaos
disease	wh_main_chs_chaos_rebels
disease	wh_main_chs_chaos_separatists
disease	wh_main_nor_aesling
disease	wh_main_nor_baersonling
disease	wh_main_nor_bjornling
disease	wh_main_nor_graeling
disease	wh_main_nor_norsca_rebels
disease	wh_main_nor_sarl
disease	wh_main_nor_skaeling
disease	wh_main_nor_varg
event_attrition	wh2_dlc10_def_blood_voyage
horde_infighting	wh2_dlc10_def_blood_voyage
horde_infighting	wh2_dlc11_cst_harpoon_the_sunken_land_corsairs
horde_infighting	wh2_dlc11_cst_noctilus
horde_infighting	wh2_dlc11_cst_noctilus_separatists
horde_infighting	wh2_dlc11_cst_pirates_of_sartosa
horde_infighting	wh2_dlc11_cst_pirates_of_sartosa_separatists
horde_infighting	wh2_dlc11_cst_rogue_bleak_coast_buccaneers
horde_infighting	wh2_dlc11_cst_rogue_boyz_of_the_forbidden_coast
horde_infighting	wh2_dlc11_cst_rogue_freebooters_of_port_royale
horde_infighting	wh2_dlc11_cst_rogue_grey_point_scuttlers
horde_infighting	wh2_dlc11_cst_rogue_terrors_of_the_dark_straights
horde_infighting	wh2_dlc11_cst_rogue_the_churning_gulf_raiders
horde_infighting	wh2_dlc11_cst_rogue_tyrants_of_the_black_ocean
horde_infighting	wh2_dlc11_cst_shanty_dragon_spine_privateers
horde_infighting	wh2_dlc11_cst_shanty_middle_sea_brigands
horde_infighting	wh2_dlc11_cst_shanty_shark_straight_seadogs
horde_infighting	wh2_dlc11_cst_the_drowned
horde_infighting	wh2_dlc11_cst_the_drowned_separatists
horde_infighting	wh2_dlc11_cst_vampire_coast
horde_infighting	wh2_dlc11_cst_vampire_coast_encounters
horde_infighting	wh2_dlc11_cst_vampire_coast_qb1
horde_infighting	wh2_dlc11_cst_vampire_coast_qb2
horde_infighting	wh2_dlc11_cst_vampire_coast_qb3
horde_infighting	wh2_dlc11_cst_vampire_coast_qb4
horde_infighting	wh2_dlc11_cst_vampire_coast_rebellion_rebels
horde_infighting	wh2_dlc11_cst_vampire_coast_rebels
horde_infighting	wh2_dlc11_cst_vampire_coast_separatists
horde_infighting	wh2_dlc11_def_the_blessed_dread
horde_infighting	wh2_dlc11_def_the_blessed_dread_separatists
horde_infighting	wh2_main_bst_blooded_axe
horde_infighting	wh2_main_bst_blooded_axe_brayherd
horde_infighting	wh2_main_bst_manblight
horde_infighting	wh2_main_bst_manblight_brayherd
horde_infighting	wh2_main_bst_ripper_horn
horde_infighting	wh2_main_bst_ripper_horn_brayherd
horde_infighting	wh2_main_bst_shadowgor
horde_infighting	wh2_main_bst_shadowgor_brayherd
horde_infighting	wh2_main_bst_skrinderkin
horde_infighting	wh2_main_bst_skrinderkin_brayherd
horde_infighting	wh2_main_bst_stone_horn
horde_infighting	wh2_main_bst_stone_horn_brayherd
horde_infighting	wh2_main_def_bleak_holds
horde_infighting	wh2_main_def_blood_hall_coven
horde_infighting	wh2_main_def_clar_karond
horde_infighting	wh2_main_def_cult_of_excess
horde_infighting	wh2_main_def_cult_of_pleasure
horde_infighting	wh2_main_def_cult_of_pleasure_separatists
horde_infighting	wh2_main_def_dark_elves
horde_infighting	wh2_main_def_dark_elves_intervention
horde_infighting	wh2_main_def_dark_elves_qb1
horde_infighting	wh2_main_def_dark_elves_qb2
horde_infighting	wh2_main_def_dark_elves_qb3
horde_infighting	wh2_main_def_dark_elves_qb4
horde_infighting	wh2_main_def_dark_elves_rebels
horde_infighting	wh2_main_def_deadwood_sentinels
horde_infighting	wh2_main_def_drackla_coven
horde_infighting	wh2_main_def_ghrond
horde_infighting	wh2_main_def_hag_graef
