audio_campaign_environment_tree_sound_assignments_tables	0
warhammer_map_1_1_wood_elves	wood_elves_forest_autumn
warhammer_map_1_1_wood_elves	wood_elves_forest_generic
warhammer_map_1_1_wood_elves	wood_elves_forest_winter
wh2_main_great_vortex_map_1	beastmen_forest
wh2_main_great_vortex_map_1	bretonnia_forest
wh2_main_great_vortex_map_1	chaos_forest
wh2_main_great_vortex_map_1	dark_elves_forest
wh2_main_great_vortex_map_1	dwarf_forest
wh2_main_great_vortex_map_1	empire_forest
wh2_main_great_vortex_map_1	generic_forest
wh2_main_great_vortex_map_1	greenskin_forest
wh2_main_great_vortex_map_1	high_elves_forest
wh2_main_great_vortex_map_1	lizardmen_forest
wh2_main_great_vortex_map_1	nordic_forest
wh2_main_great_vortex_map_1	skaven_forest
wh2_main_great_vortex_map_1	tombkings_forest
wh2_main_great_vortex_map_1	vampire_forest
wh2_main_great_vortex_map_1	wood_elves_forest_autumn
wh2_main_great_vortex_map_1	wood_elves_forest_generic
wh2_main_great_vortex_map_1	wood_elves_forest_winter
wh2_main_great_vortex_map_2	beastmen_forest
wh2_main_great_vortex_map_2	bretonnia_forest
wh2_main_great_vortex_map_2	chaos_forest
wh2_main_great_vortex_map_2	dark_elves_forest
wh2_main_great_vortex_map_2	dwarf_forest
wh2_main_great_vortex_map_2	empire_forest
wh2_main_great_vortex_map_2	generic_forest
wh2_main_great_vortex_map_2	greenskin_forest
wh2_main_great_vortex_map_2	high_elves_forest
wh2_main_great_vortex_map_2	lizardmen_forest
wh2_main_great_vortex_map_2	nordic_forest
wh2_main_great_vortex_map_2	skaven_forest
wh2_main_great_vortex_map_2	tombkings_forest
wh2_main_great_vortex_map_2	vampire_forest
wh2_main_great_vortex_map_2	wood_elves_forest_autumn
wh2_main_great_vortex_map_2	wood_elves_forest_generic
wh2_main_great_vortex_map_2	wood_elves_forest_winter
wh2_main_great_vortex_map_3	beastmen_forest
wh2_main_great_vortex_map_3	bretonnia_forest
wh2_main_great_vortex_map_3	chaos_forest
wh2_main_great_vortex_map_3	dark_elves_forest
wh2_main_great_vortex_map_3	dwarf_forest
wh2_main_great_vortex_map_3	empire_forest
wh2_main_great_vortex_map_3	generic_forest
wh2_main_great_vortex_map_3	greenskin_forest
wh2_main_great_vortex_map_3	high_elves_forest
wh2_main_great_vortex_map_3	lizardmen_forest
wh2_main_great_vortex_map_3	nordic_forest
wh2_main_great_vortex_map_3	skaven_forest
wh2_main_great_vortex_map_3	tombkings_forest
wh2_main_great_vortex_map_3	vampire_forest
wh2_main_great_vortex_map_3	wood_elves_forest_autumn
wh2_main_great_vortex_map_3	wood_elves_forest_generic
wh2_main_great_vortex_map_3	wood_elves_forest_winter
wh2_main_great_vortex_map_4	beastmen_forest
wh2_main_great_vortex_map_4	bretonnia_forest
wh2_main_great_vortex_map_4	chaos_forest
wh2_main_great_vortex_map_4	dark_elves_forest
wh2_main_great_vortex_map_4	dwarf_forest
wh2_main_great_vortex_map_4	empire_forest
wh2_main_great_vortex_map_4	generic_forest
wh2_main_great_vortex_map_4	greenskin_forest
wh2_main_great_vortex_map_4	high_elves_forest
wh2_main_great_vortex_map_4	lizardmen_forest
wh2_main_great_vortex_map_4	nordic_forest
wh2_main_great_vortex_map_4	skaven_forest
wh2_main_great_vortex_map_4	tombkings_forest
wh2_main_great_vortex_map_4	vampire_forest
wh2_main_great_vortex_map_4	wood_elves_forest_autumn
wh2_main_great_vortex_map_4	wood_elves_forest_generic
wh2_main_great_vortex_map_4	wood_elves_forest_winter
wh2_main_great_vortex_map_5	beastmen_forest
wh2_main_great_vortex_map_5	bretonnia_forest
wh2_main_great_vortex_map_5	chaos_forest
wh2_main_great_vortex_map_5	dark_elves_forest
wh2_main_great_vortex_map_5	dwarf_forest
wh2_main_great_vortex_map_5	empire_forest
wh2_main_great_vortex_map_5	generic_forest
wh2_main_great_vortex_map_5	greenskin_forest
wh2_main_great_vortex_map_5	high_elves_forest
wh2_main_great_vortex_map_5	lizardmen_forest
wh2_main_great_vortex_map_5	nordic_forest
wh2_main_great_vortex_map_5	skaven_forest
wh2_main_great_vortex_map_5	tombkings_forest
wh2_main_great_vortex_map_5	vampire_forest
wh2_main_great_vortex_map_5	wood_elves_forest_autumn
wh2_main_great_vortex_map_5	wood_elves_forest_generic
wh2_main_great_vortex_map_5	wood_elves_forest_winter
