loading_screen_quotes_to_campaigns_tables	2
wh_main_brt_cha_alberic_bordeleaux	warhammer_map_1_1_tomb_kings
wh_main_brt_cha_alberic_bordeleaux	warhammer_map_1_1_vampire_coast
wh_main_brt_cha_alberic_bordeleaux	warhammer_map_1_1_wood_elves
wh_main_brt_cha_fay_enchantress	warhammer_map_1_1_norsca
wh_main_brt_cha_fay_enchantress	warhammer_map_1_1_prophet
wh_main_brt_cha_fay_enchantress	warhammer_map_1_1_tomb_kings
wh_main_brt_cha_fay_enchantress	warhammer_map_1_1_vampire_coast
wh_main_brt_cha_fay_enchantress	warhammer_map_1_1_wood_elves
wh_main_brt_cha_king_louen_leoncoeur_0	warhammer_map_1_1_norsca
wh_main_brt_cha_king_louen_leoncoeur_0	warhammer_map_1_1_prophet
wh_main_brt_cha_king_louen_leoncoeur_0	warhammer_map_1_1_tomb_kings
wh_main_brt_cha_king_louen_leoncoeur_0	warhammer_map_1_1_vampire_coast
wh_main_brt_cha_king_louen_leoncoeur_0	warhammer_map_1_1_wood_elves
wh_main_bst_cha_khazrak_one_eye_0	warhammer_map_1_1_norsca
wh_main_bst_cha_khazrak_one_eye_0	warhammer_map_1_1_prophet
wh_main_bst_cha_khazrak_one_eye_0	warhammer_map_1_1_tomb_kings
wh_main_bst_cha_khazrak_one_eye_0	warhammer_map_1_1_vampire_coast
wh_main_bst_cha_khazrak_one_eye_0	warhammer_map_1_1_wood_elves
wh_main_bst_cha_malagor_the_dark_omen_0	warhammer_map_1_1_norsca
wh_main_bst_cha_malagor_the_dark_omen_0	warhammer_map_1_1_prophet
wh_main_bst_cha_malagor_the_dark_omen_0	warhammer_map_1_1_tomb_kings
wh_main_bst_cha_malagor_the_dark_omen_0	warhammer_map_1_1_vampire_coast
wh_main_bst_cha_malagor_the_dark_omen_0	warhammer_map_1_1_wood_elves
wh_main_bst_cha_morghur_0	warhammer_map_1_1_norsca
wh_main_bst_cha_morghur_0	warhammer_map_1_1_prophet
wh_main_bst_cha_morghur_0	warhammer_map_1_1_tomb_kings
wh_main_bst_cha_morghur_0	warhammer_map_1_1_vampire_coast
wh_main_bst_cha_morghur_0	warhammer_map_1_1_wood_elves
wh_main_chs_cha_archaon_the_everchosen_0	warhammer_map_1_1_norsca
wh_main_chs_cha_archaon_the_everchosen_0	warhammer_map_1_1_prophet
wh_main_chs_cha_archaon_the_everchosen_0	warhammer_map_1_1_tomb_kings
wh_main_chs_cha_archaon_the_everchosen_0	warhammer_map_1_1_vampire_coast
wh_main_chs_cha_archaon_the_everchosen_0	warhammer_map_1_1_wood_elves
wh_main_chs_cha_kholek	warhammer_map_1_1_norsca
wh_main_chs_cha_kholek	warhammer_map_1_1_prophet
wh_main_chs_cha_kholek	warhammer_map_1_1_tomb_kings
wh_main_chs_cha_kholek	warhammer_map_1_1_vampire_coast
wh_main_chs_cha_kholek	warhammer_map_1_1_wood_elves
wh_main_chs_cha_prince_sigvald_the_magnificent	warhammer_map_1_1_norsca
wh_main_chs_cha_prince_sigvald_the_magnificent	warhammer_map_1_1_prophet
wh_main_chs_cha_prince_sigvald_the_magnificent	warhammer_map_1_1_tomb_kings
wh_main_chs_cha_prince_sigvald_the_magnificent	warhammer_map_1_1_vampire_coast
wh_main_chs_cha_prince_sigvald_the_magnificent	warhammer_map_1_1_wood_elves
wh_main_dwf_cha_belegar_ironhammer_0	warhammer_map_1_1_norsca
wh_main_dwf_cha_belegar_ironhammer_0	warhammer_map_1_1_prophet
wh_main_dwf_cha_belegar_ironhammer_0	warhammer_map_1_1_tomb_kings
wh_main_dwf_cha_belegar_ironhammer_0	warhammer_map_1_1_vampire_coast
wh_main_dwf_cha_belegar_ironhammer_0	warhammer_map_1_1_wood_elves
wh_main_dwf_cha_grombrindal_0	warhammer_map_1_1_norsca
wh_main_dwf_cha_grombrindal_0	warhammer_map_1_1_prophet
wh_main_dwf_cha_grombrindal_0	warhammer_map_1_1_tomb_kings
wh_main_dwf_cha_grombrindal_0	warhammer_map_1_1_vampire_coast
wh_main_dwf_cha_grombrindal_0	warhammer_map_1_1_wood_elves
wh_main_dwf_cha_high_king_thorgrim_grudgebearer_1	warhammer_map_1_1_norsca
wh_main_dwf_cha_high_king_thorgrim_grudgebearer_1	warhammer_map_1_1_prophet
wh_main_dwf_cha_high_king_thorgrim_grudgebearer_1	warhammer_map_1_1_tomb_kings
wh_main_dwf_cha_high_king_thorgrim_grudgebearer_1	warhammer_map_1_1_vampire_coast
wh_main_dwf_cha_high_king_thorgrim_grudgebearer_1	warhammer_map_1_1_wood_elves
wh_main_dwf_cha_ungrim_ironfist	warhammer_map_1_1_norsca
wh_main_dwf_cha_ungrim_ironfist	warhammer_map_1_1_prophet
wh_main_dwf_cha_ungrim_ironfist	warhammer_map_1_1_tomb_kings
wh_main_dwf_cha_ungrim_ironfist	warhammer_map_1_1_vampire_coast
wh_main_dwf_cha_ungrim_ironfist	warhammer_map_1_1_wood_elves
wh_main_emp_cha_balthasar_gelt_0	warhammer_map_1_1_norsca
wh_main_emp_cha_balthasar_gelt_0	warhammer_map_1_1_prophet
wh_main_emp_cha_balthasar_gelt_0	warhammer_map_1_1_tomb_kings
wh_main_emp_cha_balthasar_gelt_0	warhammer_map_1_1_vampire_coast
wh_main_emp_cha_balthasar_gelt_0	warhammer_map_1_1_wood_elves
wh_main_emp_cha_boris_todbringer_0	warhammer_map_1_1_norsca
wh_main_emp_cha_boris_todbringer_0	warhammer_map_1_1_prophet
wh_main_emp_cha_boris_todbringer_0	warhammer_map_1_1_tomb_kings
wh_main_emp_cha_boris_todbringer_0	warhammer_map_1_1_vampire_coast
wh_main_emp_cha_boris_todbringer_0	warhammer_map_1_1_wood_elves
wh_main_emp_cha_karl_franz_0	warhammer_map_1_1_norsca
wh_main_emp_cha_karl_franz_0	warhammer_map_1_1_prophet
wh_main_emp_cha_karl_franz_0	warhammer_map_1_1_tomb_kings
wh_main_emp_cha_karl_franz_0	warhammer_map_1_1_vampire_coast
wh_main_emp_cha_karl_franz_0	warhammer_map_1_1_wood_elves
wh_main_emp_cha_volkmar_the_grim_0	warhammer_map_1_1_norsca
wh_main_emp_cha_volkmar_the_grim_0	warhammer_map_1_1_prophet
wh_main_emp_cha_volkmar_the_grim_0	warhammer_map_1_1_tomb_kings
wh_main_emp_cha_volkmar_the_grim_0	warhammer_map_1_1_vampire_coast
wh_main_emp_cha_volkmar_the_grim_0	warhammer_map_1_1_wood_elves
wh_main_grn_cha_azhag_the_slaughterer_0	warhammer_map_1_1_norsca
wh_main_grn_cha_azhag_the_slaughterer_0	warhammer_map_1_1_prophet
wh_main_grn_cha_azhag_the_slaughterer_0	warhammer_map_1_1_tomb_kings
wh_main_grn_cha_azhag_the_slaughterer_0	warhammer_map_1_1_vampire_coast
wh_main_grn_cha_azhag_the_slaughterer_0	warhammer_map_1_1_wood_elves
wh_main_grn_cha_grimgor_ironhide	warhammer_map_1_1_norsca
wh_main_grn_cha_grimgor_ironhide	warhammer_map_1_1_prophet
wh_main_grn_cha_grimgor_ironhide	warhammer_map_1_1_tomb_kings
wh_main_grn_cha_grimgor_ironhide	warhammer_map_1_1_vampire_coast
wh_main_grn_cha_grimgor_ironhide	warhammer_map_1_1_wood_elves
wh_main_grn_cha_skarsnik_0	warhammer_map_1_1_norsca
wh_main_grn_cha_skarsnik_0	warhammer_map_1_1_prophet
wh_main_grn_cha_skarsnik_0	warhammer_map_1_1_tomb_kings
wh_main_grn_cha_skarsnik_0	warhammer_map_1_1_vampire_coast
wh_main_grn_cha_skarsnik_0	warhammer_map_1_1_wood_elves
wh_main_grn_cha_wurrzag_0	warhammer_map_1_1_norsca
wh_main_grn_cha_wurrzag_0	warhammer_map_1_1_prophet
wh_main_grn_cha_wurrzag_0	warhammer_map_1_1_tomb_kings
wh_main_grn_cha_wurrzag_0	warhammer_map_1_1_vampire_coast
wh_main_grn_cha_wurrzag_0	warhammer_map_1_1_wood_elves
wh_main_vmp_cha_heinrich_kemmler	warhammer_map_1_1_norsca
wh_main_vmp_cha_heinrich_kemmler	warhammer_map_1_1_prophet
wh_main_vmp_cha_heinrich_kemmler	warhammer_map_1_1_tomb_kings
wh_main_vmp_cha_heinrich_kemmler	warhammer_map_1_1_vampire_coast
wh_main_vmp_cha_heinrich_kemmler	warhammer_map_1_1_wood_elves
wh_main_vmp_cha_helman_ghorst_0	warhammer_map_1_1_norsca
wh_main_vmp_cha_helman_ghorst_0	warhammer_map_1_1_prophet
wh_main_vmp_cha_helman_ghorst_0	warhammer_map_1_1_tomb_kings
wh_main_vmp_cha_helman_ghorst_0	warhammer_map_1_1_vampire_coast
wh_main_vmp_cha_helman_ghorst_0	warhammer_map_1_1_wood_elves
wh_main_vmp_cha_isabella	warhammer_map_1_1_norsca
wh_main_vmp_cha_isabella	warhammer_map_1_1_prophet
wh_main_vmp_cha_isabella	warhammer_map_1_1_tomb_kings
wh_main_vmp_cha_isabella	warhammer_map_1_1_vampire_coast
wh_main_vmp_cha_isabella	warhammer_map_1_1_wood_elves
wh_main_vmp_cha_mannfred_von_carstein_0	warhammer_map_1_1_norsca
wh_main_vmp_cha_mannfred_von_carstein_0	warhammer_map_1_1_prophet
wh_main_vmp_cha_mannfred_von_carstein_0	warhammer_map_1_1_tomb_kings
wh_main_vmp_cha_mannfred_von_carstein_0	warhammer_map_1_1_vampire_coast
wh_main_vmp_cha_mannfred_von_carstein_0	warhammer_map_1_1_wood_elves
wh_main_vmp_cha_vlad_von_carstein_0	warhammer_map_1_1_norsca
wh_main_vmp_cha_vlad_von_carstein_0	warhammer_map_1_1_prophet
wh_main_vmp_cha_vlad_von_carstein_0	warhammer_map_1_1_tomb_kings
wh_main_vmp_cha_vlad_von_carstein_0	warhammer_map_1_1_vampire_coast
wh_main_vmp_cha_vlad_von_carstein_0	warhammer_map_1_1_wood_elves
wh_main_wef_cha_durthu_0	warhammer_map_1_1_norsca
wh_main_wef_cha_durthu_0	warhammer_map_1_1_prophet
wh_main_wef_cha_durthu_0	warhammer_map_1_1_tomb_kings
wh_main_wef_cha_durthu_0	warhammer_map_1_1_vampire_coast
wh_main_wef_cha_durthu_0	warhammer_map_1_1_wood_elves
wh_main_wef_cha_orion_0	warhammer_map_1_1_norsca
wh_main_wef_cha_orion_0	warhammer_map_1_1_prophet
wh_main_wef_cha_orion_0	warhammer_map_1_1_tomb_kings
wh_main_wef_cha_orion_0	warhammer_map_1_1_vampire_coast
wh_main_wef_cha_orion_0	warhammer_map_1_1_wood_elves
