cdir_military_generator_template_ratios_tables	0
1	WH_Bretonnia_land_flying	Default_land_magic
4	WH_Bretonnia_land_flying	Default_land_support
1	WH_Bretonnia_land_leader_alberic	Default_land_aura
4	WH_Bretonnia_land_leader_alberic	Default_land_infantry_missile
1	WH_Bretonnia_land_leader_alberic	Default_land_magic
6	WH_Bretonnia_land_leader_alberic	alberic_land_cavalry
7	WH_Bretonnia_land_leader_alberic	brt_land_infantry
2	WH_Bretonnia_land_leader_fayenchantress	Default_land_artillery
5	WH_Bretonnia_land_leader_fayenchantress	Default_land_infantry_missile
1	WH_Bretonnia_land_leader_fayenchantress	Default_land_magic
2	WH_Bretonnia_land_leader_fayenchantress	Default_land_support
2	WH_Bretonnia_land_leader_fayenchantress	fay_land_cavalry
7	WH_Bretonnia_land_leader_fayenchantress	fay_land_infantry
1	WH_Bretonnia_land_leader_louen	Default_land_aura
4	WH_Bretonnia_land_leader_louen	Default_land_infantry_missile
1	WH_Bretonnia_land_leader_louen	Default_land_magic
4	WH_Bretonnia_land_leader_louen	brt_land_infantry
9	WH_Bretonnia_land_leader_louen	louen_land_cavalry
5	WH_Chaos_land	Default_land_artillery
10	WH_Chaos_land	Default_land_cavalry_melee
5	WH_Chaos_land	Default_land_cavalry_missile
40	WH_Chaos_land	Default_land_infantry_melee
1	WH_Chaos_land	Default_land_magic
20	WH_Chaos_land	Default_land_monster
5	WH_Chaos_land	Default_land_support
1	WH_Chaos_land_2	Default_land_artillery
20	WH_Chaos_land_2	Default_land_cavalry_melee
1	WH_Chaos_land_2	Default_land_cavalry_missile
60	WH_Chaos_land_2	Default_land_infantry_melee
1	WH_Chaos_land_2	Default_land_magic
40	WH_Chaos_land_2	Default_land_monster
10	WH_Chaos_land_2	Default_land_support
1	WH_Chaos_land_leader_archaon	Default_land_artillery
5	WH_Chaos_land_leader_archaon	Default_land_cavalry_melee
10	WH_Chaos_land_leader_archaon	Default_land_infantry_melee
2	WH_Chaos_land_leader_archaon	Default_land_monster
1	WH_Dark_Elves_land	Default_land_artillery
2	WH_Dark_Elves_land	Default_land_cavalry_melee
7	WH_Dark_Elves_land	Default_land_infantry_melee
4	WH_Dark_Elves_land	Default_land_infantry_missile
1	WH_Dark_Elves_land	Default_land_magic
2	WH_Dark_Elves_land	Default_land_monster
2	WH_Dark_Elves_land	Default_land_support
1	WH_Dark_Elves_land_2	Default_land_artillery
4	WH_Dark_Elves_land_2	Default_land_cavalry_melee
6	WH_Dark_Elves_land_2	Default_land_infantry_melee
3	WH_Dark_Elves_land_2	Default_land_infantry_missile
1	WH_Dark_Elves_land_2	Default_land_magic
4	WH_Dark_Elves_land_2	Default_land_support
1	WH_Dark_Elves_land_leader_malekith	Default_land_artillery
3	WH_Dark_Elves_land_leader_malekith	Default_land_cavalry_melee
6	WH_Dark_Elves_land_leader_malekith	Default_land_infantry_melee
3	WH_Dark_Elves_land_leader_malekith	Default_land_infantry_missile
1	WH_Dark_Elves_land_leader_malekith	Default_land_magic
5	WH_Dark_Elves_land_leader_malekith	malekith_land_monster
1	WH_Dark_Elves_land_leader_morathi	Default_land_artillery
6	WH_Dark_Elves_land_leader_morathi	Default_land_infantry_melee
3	WH_Dark_Elves_land_leader_morathi	Default_land_infantry_missile
1	WH_Dark_Elves_land_leader_morathi	Default_land_magic
3	WH_Dark_Elves_land_leader_morathi	Default_land_support
5	WH_Dark_Elves_land_leader_morathi	morathi_land_monster
1	WH_Dark_Elves_land_rare	Default_land_artillery
3	WH_Dark_Elves_land_rare	Default_land_cavalry_melee
6	WH_Dark_Elves_land_rare	Default_land_infantry_melee
3	WH_Dark_Elves_land_rare	Default_land_infantry_missile
1	WH_Dark_Elves_land_rare	Default_land_magic
5	WH_Dark_Elves_land_rare	Default_land_monster
10	WH_Dwarfs_land	Default_land_artillery
50	WH_Dwarfs_land	Default_land_infantry_melee
30	WH_Dwarfs_land	Default_land_infantry_missile
10	WH_Dwarfs_land	Default_land_support
20	WH_Dwarfs_land_2	Default_land_artillery
50	WH_Dwarfs_land_2	Default_land_infantry_melee
20	WH_Dwarfs_land_2	Default_land_infantry_missile
20	WH_Dwarfs_land_2	Default_land_support
1	WH_Dwarfs_land_leader_belegar	Default_land_artillery
10	WH_Dwarfs_land_leader_belegar	Default_land_infantry_melee
1	WH_Dwarfs_land_leader_belegar	Default_land_support
1	WH_Dwarfs_land_leader_belegar	belegar_land_infantry_missile
2	WH_Dwarfs_land_leader_thorgrim	Default_land_artillery
10	WH_Dwarfs_land_leader_thorgrim	Default_land_infantry_melee
1	WH_Dwarfs_land_leader_thorgrim	Default_land_infantry_missile
2	WH_Dwarfs_land_leader_thorgrim	Default_land_support
1	WH_Dwarfs_land_leader_ungrim	Default_land_artillery
5	WH_Dwarfs_land_leader_ungrim	Default_land_infantry_melee
5	WH_Dwarfs_land_leader_ungrim	ungrim_land_support
2	WH_Empire_land	Default_land_artillery
3	WH_Empire_land	Default_land_cavalry_melee
7	WH_Empire_land	Default_land_infantry_melee
4	WH_Empire_land	Default_land_infantry_missile
1	WH_Empire_land	Default_land_magic
2	WH_Empire_land	Default_land_support
4	WH_Empire_land_2	Default_land_artillery
1	WH_Empire_land_2	Default_land_cavalry_melee
6	WH_Empire_land_2	Default_land_infantry_melee
5	WH_Empire_land_2	Default_land_infantry_missile
1	WH_Empire_land_2	Default_land_magic
2	WH_Empire_land_2	Default_land_support
4	WH_Empire_land_leader_karlfranz	Default_land_cavalry_melee
6	WH_Empire_land_leader_karlfranz	Default_land_infantry_melee
2	WH_Empire_land_leader_karlfranz	Default_land_infantry_missile
1	WH_Empire_land_leader_karlfranz	Default_land_magic
6	WH_Empire_land_leader_karlfranz	emp_land_support
1	WH_Greenskin_Rebels_land	Default_land_artillery
10	WH_Greenskin_Rebels_land	Default_land_cavalry_melee
5	WH_Greenskin_Rebels_land	Default_land_cavalry_missile
10	WH_Greenskin_Rebels_land	Default_land_giant
25	WH_Greenskin_Rebels_land	Default_land_infantry_melee
15	WH_Greenskin_Rebels_land	Default_land_infantry_missile
10	WH_Greenskin_Rebels_land	Default_land_infantry_monterous
10	WH_Greenskin_Rebels_land	Default_land_infantry_spearmen
5	WH_Greenskin_Rebels_land	Default_land_magic
5	WH_Greenskin_Rebels_land	Default_land_monster
5	WH_Greenskin_Rebels_land	Default_land_vehicle
5	WH_Greenskins_Waaagh_land	Default_land_artillery
20	WH_Greenskins_Waaagh_land	Default_land_cavalry_melee
5	WH_Greenskins_Waaagh_land	Default_land_cavalry_missile
40	WH_Greenskins_Waaagh_land	Default_land_infantry_melee
20	WH_Greenskins_Waaagh_land	Default_land_infantry_missile
0	WH_Greenskins_Waaagh_land	Default_land_magic
20	WH_Greenskins_Waaagh_land	Default_land_monster
5	WH_Greenskins_land	Default_land_artillery
20	WH_Greenskins_land	Default_land_cavalry_melee
5	WH_Greenskins_land	Default_land_cavalry_missile
40	WH_Greenskins_land	Default_land_infantry_melee
10	WH_Greenskins_land	Default_land_infantry_missile
1	WH_Greenskins_land	Default_land_magic
20	WH_Greenskins_land	Default_land_monster
10	WH_Greenskins_land_2	Default_land_artillery
30	WH_Greenskins_land_2	Default_land_cavalry_melee
5	WH_Greenskins_land_2	Default_land_cavalry_missile
50	WH_Greenskins_land_2	Default_land_infantry_melee
10	WH_Greenskins_land_2	Default_land_infantry_missile
1	WH_Greenskins_land_2	Default_land_magic
1	WH_Greenskins_land_2	Default_land_monster
2	WH_Greenskins_land_leader_grimgor	Default_land_cavalry_melee
10	WH_Greenskins_land_leader_grimgor	Default_land_infantry_melee
2	WH_Greenskins_land_leader_grimgor	Default_land_monster
1	WH_Greenskins_land_leader_skarsnik	Default_land_infantry_melee
1	WH_Greenskins_land_leader_skarsnik	skarsnik_land_artillery
1	WH_Greenskins_land_leader_skarsnik	skarsnik_land_cavalry_melee
5	WH_Greenskins_land_leader_skarsnik	skarsnik_land_infantry_melee
3	WH_Greenskins_land_leader_skarsnik	skarsnik_land_infantry_missile
2	WH_Greenskins_land_leader_skarsnik	skarsnik_land_monster
1	WH_Greenskins_land_leader_wurrzag	wurrzag_land_cavalry_melee
5	WH_Greenskins_land_leader_wurrzag	wurrzag_land_infantry_melee
1	WH_Greenskins_land_leader_wurrzag	wurrzag_land_infantry_missile
2	WH_Greenskins_land_leader_wurrzag	wurrzag_land_monster
1	WH_High_Elves_land	Default_land_artillery
2	WH_High_Elves_land	Default_land_cavalry_melee
2	WH_High_Elves_land	Default_land_flying
7	WH_High_Elves_land	Default_land_infantry_melee
6	WH_High_Elves_land	Default_land_infantry_missile
1	WH_High_Elves_land	Default_land_magic
1	WH_High_Elves_land_2	Default_land_artillery
2	WH_High_Elves_land_2	Default_land_cavalry_melee
2	WH_High_Elves_land_2	Default_land_cavalry_missile
2	WH_High_Elves_land_2	Default_land_flying
1	WH_High_Elves_land_2	Default_land_flying_heavy
7	WH_High_Elves_land_2	Default_land_infantry_melee
3	WH_High_Elves_land_2	Default_land_infantry_missile
1	WH_High_Elves_land_2	Default_land_magic
2	WH_High_Elves_land_leader_teclis	Default_land_cavalry_melee
1	WH_High_Elves_land_leader_teclis	Default_land_cavalry_missile
1	WH_High_Elves_land_leader_teclis	Default_land_flying
3	WH_High_Elves_land_leader_teclis	Default_land_flying_heavy
4	WH_High_Elves_land_leader_teclis	Default_land_infantry_missile
1	WH_High_Elves_land_leader_teclis	Default_land_magic
7	WH_High_Elves_land_leader_teclis	teclis_land_infantry_melee
5	WH_High_Elves_land_leader_tyrion	Default_land_cavalry_melee
1	WH_High_Elves_land_leader_tyrion	Default_land_flying
3	WH_High_Elves_land_leader_tyrion	Default_land_flying_heavy
2	WH_High_Elves_land_leader_tyrion	Default_land_infantry_missile
1	WH_High_Elves_land_leader_tyrion	Default_land_magic
7	WH_High_Elves_land_leader_tyrion	tyrion_land_infantry_melee
3	WH_High_Elves_land_rare	Default_land_cavalry_melee
3	WH_High_Elves_land_rare	Default_land_flying
3	WH_High_Elves_land_rare	Default_land_flying_heavy
7	WH_High_Elves_land_rare	Default_land_infantry_melee
2	WH_High_Elves_land_rare	Default_land_infantry_missile
1	WH_High_Elves_land_rare	Default_land_magic
5	WH_Kislev_land	Default_land_artillery
5	WH_Kislev_land	Default_land_cavalry_melee
30	WH_Kislev_land	Default_land_infantry_melee
25	WH_Kislev_land	Default_land_infantry_missile
5	WH_Kislev_land	Default_land_magic
25	WH_Kislev_land	Default_land_support
2	WH_Lizardmen_land	Default_land_artillery
2	WH_Lizardmen_land	Default_land_cavalry_melee
8	WH_Lizardmen_land	Default_land_infantry_melee
2	WH_Lizardmen_land	Default_land_infantry_missile
1	WH_Lizardmen_land	Default_land_magic
2	WH_Lizardmen_land	Default_land_monster
2	WH_Lizardmen_land	Default_land_support
1	WH_Lizardmen_land_2	Default_land_artillery
4	WH_Lizardmen_land_2	Default_land_cavalry_melee
8	WH_Lizardmen_land_2	Default_land_infantry_melee
2	WH_Lizardmen_land_2	Default_land_infantry_missile
1	WH_Lizardmen_land_2	Default_land_magic
1	WH_Lizardmen_land_2	Default_land_monster
2	WH_Lizardmen_land_2	Default_land_support
1	WH_Lizardmen_land_leader_kroqgar	Default_land_artillery
5	WH_Lizardmen_land_leader_kroqgar	Default_land_cavalry_melee
7	WH_Lizardmen_land_leader_kroqgar	Default_land_infantry_melee
1	WH_Lizardmen_land_leader_kroqgar	Default_land_magic
4	WH_Lizardmen_land_leader_kroqgar	Default_land_monster
1	WH_Lizardmen_land_leader_kroqgar	Default_land_support
3	WH_Lizardmen_land_leader_mazdamundi	Default_land_artillery
2	WH_Lizardmen_land_leader_mazdamundi	Default_land_cavalry_melee
7	WH_Lizardmen_land_leader_mazdamundi	Default_land_infantry_melee
4	WH_Lizardmen_land_leader_mazdamundi	Default_land_infantry_missile
1	WH_Lizardmen_land_leader_mazdamundi	Default_land_magic
2	WH_Lizardmen_land_leader_mazdamundi	Default_land_support
1	WH_Lizardmen_land_rare	Default_land_artillery
7	WH_Lizardmen_land_rare	Default_land_infantry_melee
5	WH_Lizardmen_land_rare	Default_land_infantry_missile
1	WH_Lizardmen_land_rare	Default_land_magic
5	WH_Lizardmen_land_rare	Default_land_support
10	WH_Norsca_land	Default_land_cavalry_melee
5	WH_Norsca_land	Default_land_harasser
40	WH_Norsca_land	Default_land_infantry_melee
5	WH_Norsca_land	Default_land_infantry_missile
1	WH_Norsca_land	Default_land_magic
10	WH_Norsca_land	Default_land_monster
20	WH_Norsca_land	Default_land_support
20	WH_Norsca_land_2	Default_land_cavalry_melee
20	WH_Norsca_land_2	Default_land_harasser
30	WH_Norsca_land_2	Default_land_infantry_melee
5	WH_Norsca_land_2	Default_land_infantry_missile
1	WH_Norsca_land_2	Default_land_magic
10	WH_Norsca_land_2	Default_land_monster
10	WH_Norsca_land_2	Default_land_support
75	WH_Norsca_land_SurthaEk	Default_land_chariot
5	WH_Norsca_land_SurthaEk	Default_land_harasser
5	WH_Norsca_land_SurthaEk	Default_land_infantry_melee
1	WH_Norsca_land_SurthaEk	Default_land_magic
20	WH_Norsca_land_Throgg	Default_land_monster
20	WH_Norsca_land_Throgg	Default_land_support
5	WH_Norsca_land_Wulfrik	Default_land_cavalry_melee
5	WH_Norsca_land_Wulfrik	Default_land_harasser
40	WH_Norsca_land_Wulfrik	Default_land_infantry_melee
20	WH_Norsca_land_Wulfrik	Default_land_monster
5	WH_Norsca_land_Wulfrik	Default_land_support
13	WH_Norsca_land_rare	Default_land_cavalry_melee
1	WH_Norsca_land_rare	Default_land_harasser
15	WH_Norsca_land_rare	Default_land_infantry_melee
1	WH_Norsca_land_rare	Default_land_infantry_missile
1	WH_Norsca_land_rare	Default_land_magic
30	WH_Norsca_land_rare	Default_land_monster
30	WH_Norsca_land_rare	Default_land_support
4	WH_Skaven_land	Default_land_anti_large
2	WH_Skaven_land	Default_land_artillery
4	WH_Skaven_land	Default_land_infantry_melee
3	WH_Skaven_land	Default_land_infantry_missile
3	WH_Skaven_land	Default_land_infantry_missile_heavy
1	WH_Skaven_land	Default_land_magic
2	WH_Skaven_land	Default_land_support
4	WH_Skaven_land_2	Default_land_anti_large
4	WH_Skaven_land_2	Default_land_artillery
4	WH_Skaven_land_2	Default_land_infantry_melee
3	WH_Skaven_land_2	Default_land_infantry_missile
3	WH_Skaven_land_2	Default_land_infantry_missile_heavy
1	WH_Skaven_land_2	Default_land_magic
4	WH_Skaven_land_3	Default_land_anti_large
4	WH_Skaven_land_3	Default_land_infantry_melee
3	WH_Skaven_land_3	Default_land_infantry_missile
3	WH_Skaven_land_3	Default_land_infantry_missile_heavy
1	WH_Skaven_land_3	Default_land_magic
4	WH_Skaven_land_3	Default_land_support
4	WH_Skaven_land_leader_queek	Default_land_anti_large
2	WH_Skaven_land_leader_queek	Default_land_artillery
4	WH_Skaven_land_leader_queek	Default_land_infantry_melee
1	WH_Skaven_land_leader_queek	Default_land_magic
8	WH_Skaven_land_leader_queek	Default_land_support
4	WH_Skaven_land_leader_skrolk	Default_land_artillery
7	WH_Skaven_land_leader_skrolk	Default_land_infantry_missile_heavy
1	WH_Skaven_land_leader_skrolk	Default_land_magic
7	WH_Skaven_land_leader_skrolk	skrolk_land_infantry_melee
4	WH_Skaven_land_leader_tretch	Default_land_anti_large
3	WH_Skaven_land_leader_tretch	Default_land_infantry_melee
7	WH_Skaven_land_leader_tretch	Default_land_infantry_missile
1	WH_Skaven_land_leader_tretch	Default_land_magic
4	WH_Skaven_land_leader_tretch	Default_land_support
4	WH_Skaven_land_rare	Default_land_anti_large
7	WH_Skaven_land_rare	Default_land_artillery
7	WH_Skaven_land_rare	Default_land_infantry_melee
1	WH_Skaven_land_rare	Default_land_magic
1	WH_TEB_land	Default_land_artillery
1	WH_TEB_land	Default_land_cavalry_melee
25	WH_TEB_land	Default_land_cavalry_missile
1	WH_TEB_land	Default_land_cavalry_shock
25	WH_TEB_land	Default_land_infantry_melee
25	WH_TEB_land	Default_land_infantry_missile
25	WH_TEB_land	Default_land_infantry_spearmen
1	WH_TEB_land	Default_land_magic
1	WH_TEB_land	Default_land_vehicle
10	WH_Tomb_Kings_land	Default_land_artillery
10	WH_Tomb_Kings_land	Default_land_cavalry_melee
5	WH_Tomb_Kings_land	Default_land_cavalry_missile
25	WH_Tomb_Kings_land	Default_land_infantry_melee
5	WH_Tomb_Kings_land	Default_land_infantry_missile
25	WH_Tomb_Kings_land	Default_land_infantry_spearmen
1	WH_Tomb_Kings_land	Default_land_magic
5	WH_Tomb_Kings_land	Default_land_monster
10	WH_Tomb_Kings_land	Default_land_support
15	WH_Tomb_Kings_land_2	Default_land_cavalry_melee
25	WH_Tomb_Kings_land_2	Default_land_infantry_melee
5	WH_Tomb_Kings_land_2	Default_land_infantry_missile
25	WH_Tomb_Kings_land_2	Default_land_infantry_spearmen
1	WH_Tomb_Kings_land_2	Default_land_magic
15	WH_Tomb_Kings_land_2	Default_land_monster
15	WH_Tomb_Kings_land_2	Default_land_support
10	WH_Tomb_Kings_land_3	Default_land_artillery
5	WH_Tomb_Kings_land_3	Default_land_cavalry_melee
10	WH_Tomb_Kings_land_3	Default_land_cavalry_missile
25	WH_Tomb_Kings_land_3	Default_land_infantry_melee
20	WH_Tomb_Kings_land_3	Default_land_infantry_missile
25	WH_Tomb_Kings_land_3	Default_land_infantry_spearmen
1	WH_Tomb_Kings_land_3	Default_land_magic
5	WH_Tomb_Kings_land_3	Default_land_monster
5	WH_Tomb_Kings_land_3	Default_land_support
5	WH_Tomb_Kings_land_4	Default_land_artillery
40	WH_Tomb_Kings_land_4	Default_land_cavalry_melee
30	WH_Tomb_Kings_land_4	Default_land_infantry_melee
5	WH_Tomb_Kings_land_4	Default_land_infantry_missile
30	WH_Tomb_Kings_land_4	Default_land_infantry_spearmen
1	WH_Tomb_Kings_land_4	Default_land_magic
5	WH_Tomb_Kings_land_4	Default_land_monster
5	WH_Tomb_Kings_land_4	Default_land_support
1	WH_Tomb_Kings_land_leader_arkhan	Default_land_infantry_melee
1	WH_Tomb_Kings_land_leader_khalida	Default_land_infantry_melee
1	WH_Tomb_Kings_land_leader_khatep	Default_land_infantry_melee
1	WH_Tomb_Kings_land_leader_settra	Default_land_artillery
10	WH_Tomb_Kings_land_leader_settra	Default_land_chariot
10	WH_Tomb_Kings_land_leader_settra	Default_land_monster
10	WH_Vampire_Coast_land	Default_land_artillery
5	WH_Vampire_Coast_land	Default_land_cavalry_missile
10	WH_Vampire_Coast_land	Default_land_infantry_melee
10	WH_Vampire_Coast_land	Default_land_infantry_melee_low_quality
35	WH_Vampire_Coast_land	Default_land_infantry_missile
5	WH_Vampire_Coast_land	Default_land_magic
25	WH_Vampire_Coast_land	Default_land_monster
20	WH_Vampire_Counts_land	Default_land_cavalry_melee
20	WH_Vampire_Counts_land	Default_land_flying
50	WH_Vampire_Counts_land	Default_land_infantry_melee
1	WH_Vampire_Counts_land	Default_land_infantry_melee_low_quality
1	WH_Vampire_Counts_land	Default_land_magic
10	WH_Vampire_Counts_land	Default_land_monster
1	WH_Vampire_Counts_land	Default_land_support
10	WH_Vampire_Counts_land_2	Default_land_cavalry_melee
30	WH_Vampire_Counts_land_2	Default_land_flying
30	WH_Vampire_Counts_land_2	Default_land_infantry_melee
1	WH_Vampire_Counts_land_2	Default_land_infantry_melee_low_quality
1	WH_Vampire_Counts_land_2	Default_land_magic
30	WH_Vampire_Counts_land_2	Default_land_monster
1	WH_Vampire_Counts_land_2	Default_land_support
1	WH_Vampire_Counts_land_leader_mannfred	Default_land_cavalry_melee
1	WH_Vampire_Counts_land_leader_mannfred	Default_land_infantry_melee
1	WH_Vampire_Counts_land_leader_mannfred	vmp_land_monster
1	WH_Vampire_Counts_land_leader_vlad	Default_land_cavalry_melee
1	WH_Vampire_Counts_land_leader_vlad	Default_land_infantry_melee
1	WH_Vampire_Counts_land_leader_vlad	Default_land_support
1	WH_Vampire_Counts_land_leader_vlad	vmp_land_monster
24	WH_Wood_Elves_Durthu_land	Default_land_cavalry_melee
10	WH_Wood_Elves_Durthu_land	Default_land_cavalry_missile
10	WH_Wood_Elves_Durthu_land	Default_land_infantry_melee
10	WH_Wood_Elves_Durthu_land	Default_land_infantry_missile
5	WH_Wood_Elves_Durthu_land	Default_land_magic
40	WH_Wood_Elves_Durthu_land	Default_land_monster
30	WH_Wood_Elves_Orion_land	Default_land_cavalry_melee
9	WH_Wood_Elves_Orion_land	Default_land_cavalry_missile
30	WH_Wood_Elves_Orion_land	Default_land_infantry_melee
15	WH_Wood_Elves_Orion_land	Default_land_infantry_missile
5	WH_Wood_Elves_Orion_land	Default_land_magic
10	WH_Wood_Elves_Orion_land	Default_land_monster
10	WH_Wood_Elves_land	Default_land_cavalry_melee
5	WH_Wood_Elves_land	Default_land_cavalry_missile
30	WH_Wood_Elves_land	Default_land_infantry_melee
30	WH_Wood_Elves_land	Default_land_infantry_missile
5	WH_Wood_Elves_land	Default_land_magic
20	WH_Wood_Elves_land	Default_land_monster
1	WH_Wood_Elves_land	Default_land_support
10	WH_Wood_Elves_land_leader_durthu	Default_land_monster
10	WH_Wood_Elves_land_leader_orion	Default_land_cavalry_melee
10	WH_Wood_Elves_land_leader_orion	Default_land_infantry_melee
5	WH_Wood_Elves_land_leader_orion	Default_land_infantry_missile
2	WH_Wood_Elves_land_leader_orion	Default_land_monster
15	WH_dcl06_Greenskins_land_wurrzag	Default_dlc06_land_cavalry_melee_wurrzag_waaagh
1	WH_dcl06_Greenskins_land_wurrzag	Default_dlc06_land_giant_wurrzag_waaagh
24	WH_dcl06_Greenskins_land_wurrzag	Default_dlc06_land_infantry_melee_wurrzag_waaagh
15	WH_dcl06_Greenskins_land_wurrzag	Default_dlc06_land_infantry_missile_wurrzag_waaagh
10	WH_dcl06_Greenskins_land_wurrzag	Default_dlc06_land_infantry_monterous_wurrzag_waaagh
1	WH_default_naval	Default_naval_melee
7	WH_dlc03_Empire_land_cavalry	Default_land_cavalry_melee
6	WH_dlc03_Empire_land_cavalry	Default_land_infantry_melee
3	WH_dlc03_Empire_land_cavalry	Default_land_infantry_missile
1	WH_dlc03_Empire_land_cavalry	Default_land_magic
2	WH_dlc03_Empire_land_cavalry	emp_land_support
2	WH_dlc03_Empire_land_infantry	Default_land_artillery
1	WH_dlc03_Empire_land_infantry	Default_land_cavalry_melee
8	WH_dlc03_Empire_land_infantry	Default_land_infantry_melee
5	WH_dlc03_Empire_land_infantry	Default_land_infantry_missile
1	WH_dlc03_Empire_land_infantry	Default_land_magic
2	WH_dlc03_Empire_land_infantry	Default_land_support
1	WH_dlc06_Greenskins_land_skarsnik	Default_dlc06_land_artillery_skarsnik_waaagh
15	WH_dlc06_Greenskins_land_skarsnik	Default_dlc06_land_cavalry_melee_skarsnik_waaagh
10	WH_dlc06_Greenskins_land_skarsnik	Default_dlc06_land_cavalry_missile_skarsnik_waaagh
24	WH_dlc06_Greenskins_land_skarsnik	Default_dlc06_land_infantry_melee_skarsnik_waaagh
15	WH_dlc06_Greenskins_land_skarsnik	Default_dlc06_land_infantry_missile_skarsnik_waaagh
10	WH_dlc06_Greenskins_land_skarsnik	Default_dlc06_land_infantry_monterous_skarsnik_waaagh
10	WH_dlc06_Greenskins_land_skarsnik	Default_dlc06_land_infantry_spearmen_skarsnik_waaagh
5	WH_dlc06_Greenskins_land_skarsnik	Default_dlc06_land_monster_skarsnik_waaagh
5	WH_dlc06_Greenskins_land_skarsnik	Default_dlc06_land_vehicle_skarsnik_waaagh
5	WH_mp_Beastmen_siege_attack	Default_land_artillery
10	WH_mp_Beastmen_siege_attack	Default_land_cavalry_melee
30	WH_mp_Beastmen_siege_attack	Default_land_infantry_melee
1	WH_mp_Beastmen_siege_attack	Default_land_magic
10	WH_mp_Beastmen_siege_attack	Default_land_monster
10	WH_mp_Beastmen_siege_attack	Default_land_support
5	WH_mp_Beastmen_siege_defence	Default_land_artillery
10	WH_mp_Beastmen_siege_defence	Default_land_cavalry_melee
30	WH_mp_Beastmen_siege_defence	Default_land_infantry_melee
1	WH_mp_Beastmen_siege_defence	Default_land_magic
10	WH_mp_Beastmen_siege_defence	Default_land_monster
10	WH_mp_Beastmen_siege_defence	Default_land_support
2	WH_mp_Bretonnia_siege_attack	Default_land_artillery
1	WH_mp_Bretonnia_siege_attack	Default_land_aura
2	WH_mp_Bretonnia_siege_attack	Default_land_cavalry_melee
8	WH_mp_Bretonnia_siege_attack	Default_land_infantry_melee
2	WH_mp_Bretonnia_siege_attack	Default_land_infantry_missile
1	WH_mp_Bretonnia_siege_attack	Default_land_magic
3	WH_mp_Bretonnia_siege_attack	Default_land_support
1	WH_mp_Bretonnia_siege_defence	Default_land_artillery
1	WH_mp_Bretonnia_siege_defence	Default_land_cavalry_melee
10	WH_mp_Bretonnia_siege_defence	Default_land_infantry_melee
5	WH_mp_Bretonnia_siege_defence	Default_land_infantry_missile
1	WH_mp_Bretonnia_siege_defence	Default_land_magic
1	WH_mp_Bretonnia_siege_defence	Default_land_support
5	WH_mp_Chaos_siege_attack	Default_land_artillery
10	WH_mp_Chaos_siege_attack	Default_land_cavalry_melee
5	WH_mp_Chaos_siege_attack	Default_land_cavalry_missile
40	WH_mp_Chaos_siege_attack	Default_land_infantry_melee
1	WH_mp_Chaos_siege_attack	Default_land_magic
20	WH_mp_Chaos_siege_attack	Default_land_monster
10	WH_mp_Chaos_siege_attack	Default_land_support
