resource_cost_pooled_resource_junctions_tables	0
-90	dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_enchanted_item_gauntlets_of_urgency
-300	dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_enchanted_item_horn_of_the_ancestors
-30	dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_enchanted_item_rangers_brooch
-300	dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_enchanted_item_sceptre_of_stone
-90	dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_enchanted_item_spotters_spyglass
-200	dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_talisman_amulet_of_stone
-90	dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_talisman_amulet_of_wrath
-30	dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_talisman_cloak_of_spellbreaking
-90	dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_talisman_forgemasters_ring
-30	dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_talisman_miners_charm
-300	dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_talisman_protector_of_the_valiant
-200	dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_talisman_ratcleaver_amulet
-90	dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_talisman_ring_of_ancestral_wisdom
-30	dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_talisman_ring_of_protection
-90	dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_talisman_ring_of_spite
-300	dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_talisman_ring_of_vengeance
-30	dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_talisman_talisman_of_luck
-200	dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_talisman_talisman_wardstone
-200	dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_weapon_axe_of_frostfall
-90	dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_weapon_axe_of_fury
-30	dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_weapon_black_axe_of_cleaving
-300	dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_weapon_elfbane
-200	dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_weapon_grim_resolve
-90	dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_weapon_hammer_of_eight_peaks
-30	dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_weapon_hammer_of_might
-30	dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_weapon_hammer_of_parrying
-200	dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_weapon_oathhammer
-90	dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_weapon_pickaxe_of_breaking
-30	dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_weapon_slayers_axe
-300	dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_weapon_starbreaker
-90	dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_weapon_trollslayer_axe
20	dwf_oathgold_forging_disassembling	wh2_dlc10_dwf_scrap_common_magic_item
195	dwf_oathgold_forging_disassembling	wh2_dlc10_dwf_scrap_legendary_magic_item
130	dwf_oathgold_forging_disassembling	wh2_dlc10_dwf_scrap_rare_magic_item
60	dwf_oathgold_forging_disassembling	wh2_dlc10_dwf_scrap_uncommon_magic_item
-2000	infamy_technology	wh2_dlc11_admiral_tech_cost
-50	infamy_sharing_loot	wh2_dlc11_resource_cost_cst_captives
-3	blood_kiss_bloodline_awoken	wh2_dlc11_vmp_ritual_bloodline_awaken_01
-6	blood_kiss_bloodline_awoken	wh2_dlc11_vmp_ritual_bloodline_awaken_02
-12	blood_kiss_bloodline_awoken	wh2_dlc11_vmp_ritual_bloodline_awaken_03
1	wh2_dlc12_resource_factor_workshop_production	wh2_dlc12_ikit_nuke_rite_produce
-4	wh2_dlc12_resource_factor_workshop	wh2_dlc12_ikit_nuke_rite
-5	wh2_dlc12_resource_factor_workshop_food	wh2_dlc12_ikit_nuke_rite
-3	wh2_dlc12_resource_factor_workshop	wh2_dlc12_ikit_workshop_doomflayer_part_0
-5	wh2_dlc12_resource_factor_workshop_food	wh2_dlc12_ikit_workshop_doomflayer_part_0
-3	wh2_dlc12_resource_factor_workshop	wh2_dlc12_ikit_workshop_doomflayer_part_1
-3	wh2_dlc12_resource_factor_workshop_food	wh2_dlc12_ikit_workshop_doomflayer_part_1
-3	wh2_dlc12_resource_factor_workshop	wh2_dlc12_ikit_workshop_doomflayer_part_2
-5	wh2_dlc12_resource_factor_workshop_food	wh2_dlc12_ikit_workshop_doomflayer_part_2
-3	wh2_dlc12_resource_factor_workshop	wh2_dlc12_ikit_workshop_doomflayer_part_3
-7	wh2_dlc12_resource_factor_workshop_food	wh2_dlc12_ikit_workshop_doomflayer_part_3
-3	wh2_dlc12_resource_factor_workshop	wh2_dlc12_ikit_workshop_doomflayer_part_4
-10	wh2_dlc12_resource_factor_workshop_food	wh2_dlc12_ikit_workshop_doomflayer_part_4
-3	wh2_dlc12_resource_factor_workshop	wh2_dlc12_ikit_workshop_doomflayer_part_5
-3	wh2_dlc12_resource_factor_workshop_food	wh2_dlc12_ikit_workshop_doomflayer_part_5
-3	wh2_dlc12_resource_factor_workshop	wh2_dlc12_ikit_workshop_doomflayer_part_6
-3	wh2_dlc12_resource_factor_workshop_food	wh2_dlc12_ikit_workshop_doomflayer_part_6
-3	wh2_dlc12_resource_factor_workshop	wh2_dlc12_ikit_workshop_doomflayer_part_7
-5	wh2_dlc12_resource_factor_workshop_food	wh2_dlc12_ikit_workshop_doomflayer_part_7
-3	wh2_dlc12_resource_factor_workshop	wh2_dlc12_ikit_workshop_doomflayer_part_8
-7	wh2_dlc12_resource_factor_workshop_food	wh2_dlc12_ikit_workshop_doomflayer_part_8
-3	wh2_dlc12_resource_factor_workshop	wh2_dlc12_ikit_workshop_doomflayer_part_9
-3	wh2_dlc12_resource_factor_workshop_food	wh2_dlc12_ikit_workshop_doomflayer_part_9
-3	wh2_dlc12_resource_factor_workshop	wh2_dlc12_ikit_workshop_doomwheel_part_0
-3	wh2_dlc12_resource_factor_workshop_food	wh2_dlc12_ikit_workshop_doomwheel_part_0
-3	wh2_dlc12_resource_factor_workshop	wh2_dlc12_ikit_workshop_doomwheel_part_1
-5	wh2_dlc12_resource_factor_workshop_food	wh2_dlc12_ikit_workshop_doomwheel_part_1
-3	wh2_dlc12_resource_factor_workshop	wh2_dlc12_ikit_workshop_doomwheel_part_2
-3	wh2_dlc12_resource_factor_workshop_food	wh2_dlc12_ikit_workshop_doomwheel_part_2
-3	wh2_dlc12_resource_factor_workshop	wh2_dlc12_ikit_workshop_doomwheel_part_3
-10	wh2_dlc12_resource_factor_workshop_food	wh2_dlc12_ikit_workshop_doomwheel_part_3
-3	wh2_dlc12_resource_factor_workshop	wh2_dlc12_ikit_workshop_doomwheel_part_4
-5	wh2_dlc12_resource_factor_workshop_food	wh2_dlc12_ikit_workshop_doomwheel_part_4
-3	wh2_dlc12_resource_factor_workshop	wh2_dlc12_ikit_workshop_doomwheel_part_5
-7	wh2_dlc12_resource_factor_workshop_food	wh2_dlc12_ikit_workshop_doomwheel_part_5
-3	wh2_dlc12_resource_factor_workshop	wh2_dlc12_ikit_workshop_doomwheel_part_6
-3	wh2_dlc12_resource_factor_workshop_food	wh2_dlc12_ikit_workshop_doomwheel_part_6
-3	wh2_dlc12_resource_factor_workshop	wh2_dlc12_ikit_workshop_doomwheel_part_7
-7	wh2_dlc12_resource_factor_workshop_food	wh2_dlc12_ikit_workshop_doomwheel_part_7
-3	wh2_dlc12_resource_factor_workshop	wh2_dlc12_ikit_workshop_doomwheel_part_8
-5	wh2_dlc12_resource_factor_workshop_food	wh2_dlc12_ikit_workshop_doomwheel_part_8
-3	wh2_dlc12_resource_factor_workshop	wh2_dlc12_ikit_workshop_doomwheel_part_9
-3	wh2_dlc12_resource_factor_workshop_food	wh2_dlc12_ikit_workshop_doomwheel_part_9
-3	wh2_dlc12_resource_factor_workshop	wh2_dlc12_ikit_workshop_gatling_part_0
-7	wh2_dlc12_resource_factor_workshop_food	wh2_dlc12_ikit_workshop_gatling_part_0
-3	wh2_dlc12_resource_factor_workshop	wh2_dlc12_ikit_workshop_gatling_part_1
-3	wh2_dlc12_resource_factor_workshop_food	wh2_dlc12_ikit_workshop_gatling_part_1
-3	wh2_dlc12_resource_factor_workshop	wh2_dlc12_ikit_workshop_gatling_part_2
-5	wh2_dlc12_resource_factor_workshop_food	wh2_dlc12_ikit_workshop_gatling_part_2
-3	wh2_dlc12_resource_factor_workshop	wh2_dlc12_ikit_workshop_jezail_part_0
-3	wh2_dlc12_resource_factor_workshop_food	wh2_dlc12_ikit_workshop_jezail_part_0
-3	wh2_dlc12_resource_factor_workshop	wh2_dlc12_ikit_workshop_jezail_part_1
-7	wh2_dlc12_resource_factor_workshop_food	wh2_dlc12_ikit_workshop_jezail_part_1
-3	wh2_dlc12_resource_factor_workshop	wh2_dlc12_ikit_workshop_jezail_part_2
-5	wh2_dlc12_resource_factor_workshop_food	wh2_dlc12_ikit_workshop_jezail_part_2
-2	wh2_dlc12_resource_factor_workshop	wh2_dlc12_ikit_workshop_nuke_part_0
-5	wh2_dlc12_resource_factor_workshop_food	wh2_dlc12_ikit_workshop_nuke_part_0
-2	wh2_dlc12_resource_factor_workshop	wh2_dlc12_ikit_workshop_nuke_part_1
-5	wh2_dlc12_resource_factor_workshop_food	wh2_dlc12_ikit_workshop_nuke_part_1
-2	wh2_dlc12_resource_factor_workshop	wh2_dlc12_ikit_workshop_nuke_part_2
-5	wh2_dlc12_resource_factor_workshop_food	wh2_dlc12_ikit_workshop_nuke_part_2
-2	wh2_dlc12_resource_factor_workshop	wh2_dlc12_ikit_workshop_nuke_part_3
-5	wh2_dlc12_resource_factor_workshop_food	wh2_dlc12_ikit_workshop_nuke_part_3
-2	wh2_dlc12_resource_factor_workshop	wh2_dlc12_ikit_workshop_nuke_part_4
-5	wh2_dlc12_resource_factor_workshop_food	wh2_dlc12_ikit_workshop_nuke_part_4
-2	wh2_dlc12_resource_factor_workshop	wh2_dlc12_ikit_workshop_nuke_part_5
-5	wh2_dlc12_resource_factor_workshop_food	wh2_dlc12_ikit_workshop_nuke_part_5
-3	wh2_dlc12_resource_factor_workshop	wh2_dlc12_ikit_workshop_warpfire_part_0
-7	wh2_dlc12_resource_factor_workshop_food	wh2_dlc12_ikit_workshop_warpfire_part_0
-3	wh2_dlc12_resource_factor_workshop	wh2_dlc12_ikit_workshop_warpfire_part_1
-5	wh2_dlc12_resource_factor_workshop_food	wh2_dlc12_ikit_workshop_warpfire_part_1
-3	wh2_dlc12_resource_factor_workshop	wh2_dlc12_ikit_workshop_warpfire_part_2
-3	wh2_dlc12_resource_factor_workshop_food	wh2_dlc12_ikit_workshop_warpfire_part_2
50	wh2_dlc12_resource_factor_sacrifices_battle	wh2_dlc12_resource_cost_lzd_capture_sacrifices
-100	wh2_dlc12_resource_factor_sacrifices	wh2_dlc12_tehenhauin_sacrifice_tier1_banner
-100	wh2_dlc12_resource_factor_sacrifices	wh2_dlc12_tehenhauin_sacrifice_tier1_follower
-150	wh2_dlc12_resource_factor_sacrifices	wh2_dlc12_tehenhauin_sacrifice_tier1_jungle_swarm
-150	wh2_dlc12_resource_factor_sacrifices	wh2_dlc12_tehenhauin_sacrifice_tier1_replenishment
-200	wh2_dlc12_resource_factor_sacrifices	wh2_dlc12_tehenhauin_sacrifice_tier1_ror_cohort_of_sotek
-250	wh2_dlc12_resource_factor_sacrifices	wh2_dlc12_tehenhauin_sacrifice_tier1_ror_legion_of_chaqua
-150	wh2_dlc12_resource_factor_sacrifices	wh2_dlc12_tehenhauin_sacrifice_tier2_banner
-200	wh2_dlc12_resource_factor_sacrifices	wh2_dlc12_tehenhauin_sacrifice_tier2_follower
-200	wh2_dlc12_resource_factor_sacrifices	wh2_dlc12_tehenhauin_sacrifice_tier2_recruitment
-500	wh2_dlc12_resource_factor_sacrifices	wh2_dlc12_tehenhauin_sacrifice_tier2_ror_colossadon_hunters
-400	wh2_dlc12_resource_factor_sacrifices	wh2_dlc12_tehenhauin_sacrifice_tier2_ror_pok_hopak_cohort
-300	wh2_dlc12_resource_factor_sacrifices	wh2_dlc12_tehenhauin_sacrifice_tier3_banner
-300	wh2_dlc12_resource_factor_sacrifices	wh2_dlc12_tehenhauin_sacrifice_tier3_follower
-350	wh2_dlc12_resource_factor_sacrifices	wh2_dlc12_tehenhauin_sacrifice_tier3_ror_pahuax_sentinels
-600	wh2_dlc12_resource_factor_sacrifices	wh2_dlc12_tehenhauin_sacrifice_tier3_ror_the_umbral_tide
-400	wh2_dlc12_resource_factor_sacrifices	wh2_dlc12_tehenhauin_sacrifice_tier4_banner
-800	wh2_dlc12_resource_factor_sacrifices	wh2_dlc12_tehenhauin_sacrifice_tier4_ror_star_chamber_guardians
-900	wh2_dlc12_resource_factor_sacrifices	wh2_dlc12_tehenhauin_sacrifice_tier4_ror_the_thunderous_one
-400	wh2_dlc12_resource_factor_sacrifices	wh2_dlc12_tehenhauin_sacrifice_tier5_follower
-700	wh2_dlc12_resource_factor_sacrifices	wh2_dlc12_tehenhauin_sacrifice_tier5_legendary_red_crested_skink_lord
-1000	wh2_dlc12_resource_factor_sacrifices	wh2_dlc12_tehenhauin_sacrifice_tier6_sotek
-3	skaven_food_menace_below	wh2_main_resource_cost_menace_below_1
-6	skaven_food_menace_below	wh2_main_resource_cost_menace_below_2
-9	skaven_food_menace_below	wh2_main_resource_cost_menace_below_3
-12	skaven_food_menace_below	wh2_main_resource_cost_menace_below_4
-15	skaven_food_menace_below	wh2_main_resource_cost_menace_below_5
2	skaven_food_captives	wh2_main_resource_cost_skv_eat_captives_food
-20	skaven_food_colonisation	wh2_main_resource_cost_skv_occupy_primary_slot_2
-40	skaven_food_colonisation	wh2_main_resource_cost_skv_occupy_primary_slot_3
-80	skaven_food_colonisation	wh2_main_resource_cost_skv_occupy_primary_slot_4
-120	skaven_food_colonisation	wh2_main_resource_cost_skv_occupy_primary_slot_5
-350	wh2_main_ritual_currency_rituals	wh2_main_ritual_vortex_1
-1060	wh2_main_ritual_currency_rituals	wh2_main_ritual_vortex_2
-2040	wh2_main_ritual_currency_rituals	wh2_main_ritual_vortex_3
-3325	wh2_main_ritual_currency_rituals	wh2_main_ritual_vortex_4
-5000	wh2_main_ritual_currency_rituals	wh2_main_ritual_vortex_5
