military_force_legacy_names_tables	1
wh2_main_rogue_heirs_of_mourkain_legacy_01	wh2_main_rogue_heirs_of_mourkain	true
wh2_main_rogue_heirs_of_mourkain_legacy_navy_01	wh2_main_rogue_heirs_of_mourkain	false
wh2_main_rogue_hung_warband_01	wh2_main_rogue_hung_warband	true
wh2_main_rogue_hung_warband_navy_01	wh2_main_rogue_hung_warband	false
wh2_main_rogue_hunters_of_kurnous_legacy_01	wh2_main_rogue_hunters_of_kurnous	true
wh2_main_rogue_hunters_of_kurnous_legacy_navy_01	wh2_main_rogue_hunters_of_kurnous	false
wh2_main_rogue_jerrods_errantry_01	wh2_main_rogue_jerrods_errantry	true
wh2_main_rogue_jerrods_errantry_navy_01	wh2_main_rogue_jerrods_errantry	false
wh2_main_rogue_mangy_houndz_01	wh2_main_rogue_mangy_houndz	true
wh2_main_rogue_mangy_houndz_navy_01	wh2_main_rogue_mangy_houndz	false
wh2_main_rogue_mengils_manflayers_legacy_01	wh2_main_rogue_mengils_manflayers	true
wh2_main_rogue_mengils_manflayers_legacy_navy_01	wh2_main_rogue_mengils_manflayers	false
wh2_main_rogue_morrsliebs_howlers_01	wh2_main_rogue_morrsliebs_howlers	true
wh2_main_rogue_morrsliebs_howlers_navy_01	wh2_main_rogue_morrsliebs_howlers	false
wh2_main_rogue_pirates_of_the_far_sea_01	wh2_main_rogue_pirates_of_the_far_sea	true
wh2_main_rogue_pirates_of_the_far_sea_navy_01	wh2_main_rogue_pirates_of_the_far_sea	false
wh2_main_rogue_pirates_of_the_southern_ocean_01	wh2_main_rogue_pirates_of_the_southern_ocean	true
wh2_main_rogue_pirates_of_the_southern_ocean_navy_01	wh2_main_rogue_pirates_of_the_southern_ocean	false
wh2_main_rogue_pirates_of_trantio_01	wh2_main_rogue_pirates_of_trantio	true
wh2_main_rogue_pirates_of_trantio_navy_01	wh2_main_rogue_pirates_of_trantio	false
wh2_main_rogue_scions_of_tesseninck_01	wh2_main_rogue_scions_of_tesseninck	true
wh2_main_rogue_scions_of_tesseninck_navy_01	wh2_main_rogue_scions_of_tesseninck	false
wh2_main_rogue_scourge_of_aquitaine_01	wh2_main_rogue_scourge_of_aquitaine	true
wh2_main_rogue_scourge_of_aquitaine_navy_01	wh2_main_rogue_scourge_of_aquitaine	false
wh2_main_rogue_stuff_snatchers_01	wh2_main_rogue_stuff_snatchers	true
wh2_main_rogue_stuff_snatchers_navy_01	wh2_main_rogue_stuff_snatchers	false
wh2_main_rogue_teef_snatchaz_01	wh2_main_rogue_teef_snatchaz	true
wh2_main_rogue_teef_snatchaz_navy_01	wh2_main_rogue_teef_snatchaz	false
wh2_main_rogue_the_wandering_dead_01	wh2_main_rogue_the_wandering_dead	true
wh2_main_rogue_the_wandering_dead_navy_01	wh2_main_rogue_the_wandering_dead	false
wh2_main_rogue_tor_elithis_legacy_01	wh2_main_rogue_tor_elithis	true
wh2_main_rogue_tor_elithis_legacy_navy_01	wh2_main_rogue_tor_elithis	false
wh2_main_rogue_troll_skullz_legacy_01	wh2_main_rogue_troll_skullz	true
wh2_main_rogue_troll_skullz_legacy_navy_01	wh2_main_rogue_troll_skullz	false
wh2_main_rogue_vashnaar_legacy_01	wh2_main_rogue_vashnaar	true
wh2_main_rogue_vashnaar_legacy_navy_01	wh2_main_rogue_vashnaar	false
wh2_main_rogue_vauls_expedition_01	wh2_main_rogue_vauls_expedition	true
wh2_main_rogue_vauls_expedition_navy_01	wh2_main_rogue_vauls_expedition	false
wh2_main_rogue_worldroot_rangers_01	wh2_main_rogue_worldroot_rangers	true
wh2_main_rogue_worldroot_rangers_navy_01	wh2_main_rogue_worldroot_rangers	false
wh2_main_rogue_wrath_of_nature_01	wh2_main_rogue_wrath_of_nature	true
wh2_main_rogue_wrath_of_nature_navy_01	wh2_main_rogue_wrath_of_nature	false
wh2_main_skv_legacy_01	wh2_main_sc_skv_skaven	true
wh2_main_skv_legacy_navy_01	wh2_main_sc_skv_skaven	false
wh_dlc03_bst_legacy_01	wh_dlc03_sc_bst_beastmen	true
wh_dlc03_bst_legacy_navy_01	wh_dlc03_sc_bst_beastmen	false
wh_dlc05_wef_legacy_01	wh_dlc05_sc_wef_wood_elves	true
wh_dlc05_wef_legacy_navy_01	wh_dlc05_sc_wef_wood_elves	false
wh_main_brt_legacy_01	wh_main_sc_brt_bretonnia	true
wh_main_brt_legacy_navy_01	wh_main_sc_brt_bretonnia	false
wh_main_chs_legacy_01	wh_main_sc_chs_chaos	true
wh_main_chs_legacy_navy_01	wh_main_sc_chs_chaos	false
wh_main_dwf_legacy_01	wh_main_sc_dwf_dwarfs	true
wh_main_dwf_legacy_navy_01	wh_main_sc_dwf_dwarfs	false
wh_main_emp_legacy_01	wh_main_sc_emp_empire	true
wh_main_emp_legacy_navy_01	wh_main_sc_emp_empire	false
wh_main_grn_legacy_01	wh_main_sc_grn_greenskins	true
wh_main_grn_legacy_01	wh_main_sc_grn_savage_orcs	true
wh_main_grn_legacy_navy_01	wh_main_sc_grn_greenskins	false
wh_main_grn_legacy_navy_01	wh_main_sc_grn_savage_orcs	false
wh_main_ksl_legacy_01	wh_main_sc_ksl_kislev	true
wh_main_ksl_legacy_navy_01	wh_main_sc_ksl_kislev	false
wh_main_nor_legacy_01	wh_main_sc_nor_norsca	true
wh_main_nor_legacy_navy_01	wh_main_sc_nor_norsca	false
wh_main_teb_legacy_01	wh_main_sc_teb_teb	true
wh_main_teb_legacy_navy_01	wh_main_sc_teb_teb	false
wh_main_vmp_legacy_01	wh_main_sc_vmp_vampire_counts	true
wh_main_vmp_legacy_navy_01	wh_main_sc_vmp_vampire_counts	false
