building_set_to_building_junctions_tables	0
building_chain	building_level	building_set	exclude
	wh2_dlc09_tmb_defence_major_1	wh2_dlc09_set_tomb_kings_garrison	false
	wh2_dlc09_tmb_defence_major_2	wh2_dlc09_set_tomb_kings_garrison	false
	wh2_dlc09_tmb_defence_major_3	wh2_dlc09_set_tomb_kings_garrison	false
	wh2_dlc09_tmb_defence_minor_1	wh2_dlc09_set_tomb_kings_garrison	false
	wh2_dlc09_tmb_defence_minor_2	wh2_dlc09_set_tomb_kings_garrison	false
	wh2_dlc09_tmb_infantry_1	wh2_dlc09_set_tomb_kings_infantry	false
	wh2_dlc09_tmb_infantry_2	wh2_dlc09_set_tomb_kings_infantry	false
	wh2_dlc09_tmb_infantry_3	wh2_dlc09_set_tomb_kings_infantry	false
wh2_dlc09_tmb_citadel		wh2_dlc09_set_tomb_kings_infrastructure	false
wh2_dlc09_tmb_estate		wh2_dlc09_set_tomb_kings_infrastructure	false
wh2_dlc09_tmb_growth		wh2_dlc09_set_tomb_kings_infrastructure	false
wh2_dlc09_tmb_income		wh2_dlc09_set_tomb_kings_infrastructure	false
wh2_dlc09_tmb_public_order		wh2_dlc09_set_tomb_kings_infrastructure	false
wh2_dlc09_tmb_arkhan_burial_mound		wh2_dlc09_set_tomb_kings_military_recruitment	false
wh2_dlc09_tmb_cavalry		wh2_dlc09_set_tomb_kings_military_recruitment	false
wh2_dlc09_tmb_chariots		wh2_dlc09_set_tomb_kings_military_recruitment	false
wh2_dlc09_tmb_infantry		wh2_dlc09_set_tomb_kings_military_recruitment	false
wh2_dlc09_tmb_hierotitan		wh2_dlc09_set_tomb_kings_military_support	false
wh2_dlc09_tmb_necrosphinx		wh2_dlc09_set_tomb_kings_military_support	false
wh2_dlc09_tmb_scorpions		wh2_dlc09_set_tomb_kings_military_support	false
wh2_dlc09_tmb_ushabti		wh2_dlc09_set_tomb_kings_military_support	false
wh2_dlc09_tmb_warsphinx		wh2_dlc09_set_tomb_kings_military_support	false
	wh2_dlc09_tmb_cavalry_1	wh2_dlc09_set_tomb_kings_recruitment	false
	wh2_dlc09_tmb_cavalry_2	wh2_dlc09_set_tomb_kings_recruitment	false
	wh2_dlc09_tmb_cavalry_3	wh2_dlc09_set_tomb_kings_recruitment	false
	wh2_dlc09_tmb_infantry_1	wh2_dlc09_set_tomb_kings_recruitment	false
	wh2_dlc09_tmb_infantry_2	wh2_dlc09_set_tomb_kings_recruitment	false
	wh2_dlc09_tmb_infantry_3	wh2_dlc09_set_tomb_kings_recruitment	false
	wh_main_dwf_slayer_1	wh2_dlc11_set_dwarf_slayer	false
	wh_main_dwf_slayer_2	wh2_dlc11_set_dwarf_slayer	false
	wh_main_special_great_slayer_shrine	wh2_dlc11_set_dwarf_slayer	false
	wh_main_special_great_slayer_shrine_1	wh2_dlc11_set_dwarf_slayer	false
	wh_main_special_great_slayer_shrine_2	wh2_dlc11_set_dwarf_slayer	false
wh2_main_special_settlement_altdorf_grn		wh2_dlc11_set_greenskin_settlement	false
wh2_main_special_settlement_athel_loren_grn		wh2_dlc11_set_greenskin_settlement	false
wh2_main_special_settlement_castle_drakenhof_grn		wh2_dlc11_set_greenskin_settlement	false
wh2_main_special_settlement_couronne_grn		wh2_dlc11_set_greenskin_settlement	false
wh2_main_special_settlement_gaean_vale_grn		wh2_dlc11_set_greenskin_settlement	false
wh2_main_special_settlement_hexoatl_grn		wh2_dlc11_set_greenskin_settlement	false
wh2_main_special_settlement_itza_grn		wh2_dlc11_set_greenskin_settlement	false
wh2_main_special_settlement_khemri_grn		wh2_dlc11_set_greenskin_settlement	false
wh2_main_special_settlement_kislev_grn		wh2_dlc11_set_greenskin_settlement	false
wh2_main_special_settlement_lahmia_grn		wh2_dlc11_set_greenskin_settlement	false
wh2_main_special_settlement_lothern_grn		wh2_dlc11_set_greenskin_settlement	false
wh2_main_special_settlement_miragliano_grn		wh2_dlc11_set_greenskin_settlement	false
wh2_main_special_settlement_naggarond_grn		wh2_dlc11_set_greenskin_settlement	false
wh2_main_special_settlement_pyramid_of_nagash_grn		wh2_dlc11_set_greenskin_settlement	false
wh_main_GREENSKIN_settlement_major		wh2_dlc11_set_greenskin_settlement	false
wh_main_GREENSKIN_settlement_major_coast		wh2_dlc11_set_greenskin_settlement	false
wh_main_GREENSKIN_settlement_minor		wh2_dlc11_set_greenskin_settlement	false
wh_main_GREENSKIN_settlement_minor_coast		wh2_dlc11_set_greenskin_settlement	false
wh_main_special_settlement_black_crag		wh2_dlc11_set_greenskin_settlement	false
wh_main_special_settlement_eight_peaks		wh2_dlc11_set_greenskin_settlement	false
wh_main_special_settlement_karaz_a_karak_greenskins		wh2_dlc11_set_greenskin_settlement	false
	wh2_main_special_shrine_of_khaine_hef_1	wh2_dlc11_set_hef_shrine_of_khaine	false
	wh2_main_special_shrine_of_khaine_hef_ruin	wh2_dlc11_set_hef_shrine_of_khaine	false
	wh2_dlc11_vampirecoast_ship_captains_cabin_1	wh2_dlc11_set_newhorde_cst	false
	wh2_dlc11_vampirecoast_ship_main_deck_1	wh2_dlc11_set_newhorde_cst	false
wh2_dlc11_special_ship_aranessa		wh2_dlc11_set_ship_unique	false
wh2_dlc11_special_ship_cylostra		wh2_dlc11_set_ship_unique	false
wh2_dlc11_special_ship_harkon		wh2_dlc11_set_ship_unique	false
wh2_dlc11_special_ship_harpoon		wh2_dlc11_set_ship_unique	false
wh2_dlc11_special_ship_noctilus		wh2_dlc11_set_ship_unique	false
wh2_dlc11_vampirecoast_defence_garrison		wh2_dlc11_set_vampire_coast_defence	false
wh2_dlc11_vampirecoast_defence_norsca		wh2_dlc11_set_vampire_coast_defence	false
wh2_dlc11_vampirecoast_defence_walls		wh2_dlc11_set_vampire_coast_defence	false
wh2_dlc11_foreign_income		wh2_dlc11_set_vampire_coast_foreign_1	false
wh2_dlc11_foreign_trade		wh2_dlc11_set_vampire_coast_foreign_1	false
wh2_dlc11_foreign_corruption		wh2_dlc11_set_vampire_coast_foreign_2	false
wh2_dlc11_foreign_infamy		wh2_dlc11_set_vampire_coast_foreign_2	false
wh2_dlc11_vampirecoast_infrastructure_corruption		wh2_dlc11_set_vampire_coast_infrastructure	false
wh2_dlc11_vampirecoast_infrastructure_growth		wh2_dlc11_set_vampire_coast_infrastructure	false
wh2_dlc11_vampirecoast_infrastructure_income		wh2_dlc11_set_vampire_coast_infrastructure	false
wh2_dlc11_vampirecoast_infrastructure_income_other		wh2_dlc11_set_vampire_coast_infrastructure	false
wh2_dlc11_vampirecoast_infrastructure_public_order		wh2_dlc11_set_vampire_coast_infrastructure	false
wh2_dlc11_vampirecoast_military_barracks		wh2_dlc11_set_vampire_coast_military_recruitment	false
wh2_dlc11_vampirecoast_military_flying		wh2_dlc11_set_vampire_coast_military_recruitment	false
wh2_dlc11_vampirecoast_military_ranged		wh2_dlc11_set_vampire_coast_military_recruitment	false
wh2_dlc11_vampirecoast_support_artillery		wh2_dlc11_set_vampire_coast_military_support	false
wh2_dlc11_vampirecoast_support_monsters		wh2_dlc11_set_vampire_coast_military_support	false
wh2_dlc11_vampirecoast_support_necrofex		wh2_dlc11_set_vampire_coast_military_support	false
wh2_dlc11_vampirecoast_ship_anchor		wh2_dlc11_set_vampire_coast_ship_extra	false
wh2_dlc11_vampirecoast_ship_helm		wh2_dlc11_set_vampire_coast_ship_extra	false
wh2_dlc11_vampirecoast_ship_hull		wh2_dlc11_set_vampire_coast_ship_extra	false
wh2_dlc11_vampirecoast_ship_sail		wh2_dlc11_set_vampire_coast_ship_extra	false
wh2_dlc11_vampirecoast_ship_cannons		wh2_dlc11_set_vampire_coast_ship_recruitment	false
wh2_dlc11_vampirecoast_ship_crows_nest		wh2_dlc11_set_vampire_coast_ship_recruitment	false
wh2_dlc11_vampirecoast_ship_gunports		wh2_dlc11_set_vampire_coast_ship_recruitment	false
wh2_dlc11_vampirecoast_ship_hold		wh2_dlc11_set_vampire_coast_ship_recruitment	false
wh2_dlc11_vampirecoast_ship_main_deck		wh2_dlc11_set_vampire_coast_ship_recruitment	false
wh2_dlc11_vampirecoast_ship_captains_cabin		wh2_dlc11_set_vampire_coast_ship_settlement	false
wh_main_VAMPIRES_bindingcircle		wh2_dlc11_set_vmp_binding_circle	false
wh_main_VAMPIRES_forest		wh2_dlc11_set_vmp_forest	false
wh_main_VAMPIRES_vampires		wh2_dlc11_vampire_lair	false
wh2_main_horde_def_settlement		wh2_main_set_black_ark	false
	wh_main_brt_barracks_1	wh2_main_set_brt_barracks	false
	wh_main_brt_barracks_2	wh2_main_set_brt_barracks	false
	wh_main_brt_barracks_3	wh2_main_set_brt_barracks	false
	wh_main_brt_barracks_4	wh2_main_set_brt_barracks	false
	wh2_main_special_settlement_colony_major_other_1	wh2_main_set_brt_coastal	false
	wh2_main_special_settlement_colony_major_other_2	wh2_main_set_brt_coastal	false
	wh2_main_special_settlement_colony_major_other_3	wh2_main_set_brt_coastal	false
	wh2_main_special_settlement_colony_major_other_4	wh2_main_set_brt_coastal	false
	wh2_main_special_settlement_colony_major_other_5	wh2_main_set_brt_coastal	false
	wh2_main_special_settlement_colony_minor_other_1	wh2_main_set_brt_coastal	false
	wh2_main_special_settlement_colony_minor_other_2	wh2_main_set_brt_coastal	false
	wh2_main_special_settlement_colony_minor_other_3	wh2_main_set_brt_coastal	false
	wh2_main_special_settlement_lothern_brt_1	wh2_main_set_brt_coastal	false
	wh2_main_special_settlement_lothern_brt_2	wh2_main_set_brt_coastal	false
	wh2_main_special_settlement_lothern_brt_3	wh2_main_set_brt_coastal	false
	wh2_main_special_settlement_lothern_brt_4	wh2_main_set_brt_coastal	false
	wh2_main_special_settlement_lothern_brt_5	wh2_main_set_brt_coastal	false
	wh2_main_special_settlement_naggarond_brt_1	wh2_main_set_brt_coastal	false
	wh2_main_special_settlement_naggarond_brt_2	wh2_main_set_brt_coastal	false
	wh2_main_special_settlement_naggarond_brt_3	wh2_main_set_brt_coastal	false
	wh2_main_special_settlement_naggarond_brt_4	wh2_main_set_brt_coastal	false
	wh2_main_special_settlement_naggarond_brt_5	wh2_main_set_brt_coastal	false
	wh_main_brt_outpostnorsca_major_1_coast	wh2_main_set_brt_coastal	false
	wh_main_brt_outpostnorsca_major_2_coast	wh2_main_set_brt_coastal	false
	wh_main_brt_outpostnorsca_major_3_coast	wh2_main_set_brt_coastal	false
	wh_main_brt_outpostnorsca_major_4_coast	wh2_main_set_brt_coastal	false
	wh_main_brt_outpostnorsca_major_5_coast	wh2_main_set_brt_coastal	false
	wh_main_brt_outpostnorsca_minor_1_coast	wh2_main_set_brt_coastal	false
	wh_main_brt_outpostnorsca_minor_2_coast	wh2_main_set_brt_coastal	false
	wh_main_brt_outpostnorsca_minor_3_coast	wh2_main_set_brt_coastal	false
	wh_main_brt_settlement_major_1_coast	wh2_main_set_brt_coastal	false
	wh_main_brt_settlement_major_2_coast	wh2_main_set_brt_coastal	false
	wh_main_brt_settlement_major_3_coast	wh2_main_set_brt_coastal	false
	wh_main_brt_settlement_major_4_coast	wh2_main_set_brt_coastal	false
	wh_main_brt_settlement_major_5_coast	wh2_main_set_brt_coastal	false
	wh_main_brt_settlement_minor_1_coast	wh2_main_set_brt_coastal	false
	wh_main_brt_settlement_minor_2_coast	wh2_main_set_brt_coastal	false
	wh_main_brt_settlement_minor_3_coast	wh2_main_set_brt_coastal	false
	wh_main_special_settlement_altdorf_1_brt	wh2_main_set_brt_coastal	false
	wh_main_special_settlement_altdorf_2_brt	wh2_main_set_brt_coastal	false
	wh_main_special_settlement_altdorf_3_brt	wh2_main_set_brt_coastal	false
	wh_main_special_settlement_altdorf_4_brt	wh2_main_set_brt_coastal	false
	wh_main_special_settlement_altdorf_5_brt	wh2_main_set_brt_coastal	false
	wh_main_special_settlement_miragliano_1_brt	wh2_main_set_brt_coastal	false
	wh_main_special_settlement_miragliano_2_brt	wh2_main_set_brt_coastal	false
	wh_main_special_settlement_miragliano_3_brt	wh2_main_set_brt_coastal	false
	wh_main_special_settlement_miragliano_4_brt	wh2_main_set_brt_coastal	false
	wh_main_special_settlement_miragliano_5_brt	wh2_main_set_brt_coastal	false
	wh_main_brt_worship_1	wh2_main_set_brt_grail	false
	wh_main_brt_worship_2	wh2_main_set_brt_grail	false
	wh_main_brt_worship_3	wh2_main_set_brt_grail	false
wh2_main_def_defence_major		wh2_main_set_darkelf_defence	false
wh2_main_def_defence_minor		wh2_main_set_darkelf_defence	false
wh2_main_def_defence_norsca		wh2_main_set_darkelf_defence	false
wh2_main_horde_def_bombardment_a		wh2_main_set_darkelf_defence	false
wh2_main_horde_def_bombardment_b		wh2_main_set_darkelf_defence	false
wh2_main_horde_def_bombardment_c		wh2_main_set_darkelf_defence	false
wh2_dlc11_horde_def_residence		wh2_main_set_darkelf_infrastructure	false
wh2_main_def_farm		wh2_main_set_darkelf_infrastructure	false
wh2_main_def_industry		wh2_main_set_darkelf_infrastructure	false
wh2_main_def_order		wh2_main_set_darkelf_infrastructure	false
wh2_main_def_pleasure_cult		wh2_main_set_darkelf_infrastructure	false
wh2_main_def_roads		wh2_main_set_darkelf_infrastructure	false
wh2_main_def_slaves		wh2_main_set_darkelf_infrastructure	false
wh2_main_horde_def_entertainment		wh2_main_set_darkelf_infrastructure	false
wh2_main_horde_def_slavery		wh2_main_set_darkelf_infrastructure	false
wh2_dlc11_horde_def_aristocracy		wh2_main_set_darkelf_military_recruitment	false
wh2_dlc11_horde_def_exiles		wh2_main_set_darkelf_military_recruitment	false
wh2_dlc11_horde_def_riders		wh2_main_set_darkelf_military_recruitment	false
wh2_main_def_barracks		wh2_main_set_darkelf_military_recruitment	false
wh2_main_def_exiles		wh2_main_set_darkelf_military_recruitment	false
wh2_main_def_riders		wh2_main_set_darkelf_military_recruitment	false
wh2_main_horde_def_military		wh2_main_set_darkelf_military_recruitment	false
wh2_main_def_beasts		wh2_main_set_darkelf_military_support	false
wh2_main_def_coldones		wh2_main_set_darkelf_military_support	false
wh2_main_def_murder		wh2_main_set_darkelf_military_support	false
wh2_main_def_sorcery		wh2_main_set_darkelf_military_support	false
wh2_main_def_worship		wh2_main_set_darkelf_military_support	false
wh2_main_horde_def_beasts		wh2_main_set_darkelf_military_support	false
wh2_main_horde_def_sorcery		wh2_main_set_darkelf_military_support	false
wh2_main_horde_def_worship		wh2_main_set_darkelf_military_support	false
wh2_main_def_port		wh2_main_set_darkelf_port	false
	wh2_main_def_sorcery_1	wh2_main_set_darkelf_sorcery	false
	wh2_main_def_sorcery_2	wh2_main_set_darkelf_sorcery	false
	wh2_main_special_ghrond_convent_of_sorcery_1	wh2_main_set_darkelf_sorcery	false
	wh2_main_special_ghrond_convent_of_sorcery_2	wh2_main_set_darkelf_sorcery	false
	wh2_main_special_tower_of_hoeth_1_def	wh2_main_set_darkelf_sorcery	false
	wh2_main_special_tower_of_hoeth_2_def	wh2_main_set_darkelf_sorcery	false
	wh2_main_def_pleasure_cult_1	wh2_main_set_darkelf_temples	false
	wh2_main_def_pleasure_cult_2	wh2_main_set_darkelf_temples	false
	wh2_main_def_pleasure_cult_3	wh2_main_set_darkelf_temples	false
	wh2_main_def_pleasure_cult_4	wh2_main_set_darkelf_temples	false
	wh2_main_def_pleasure_cult_5	wh2_main_set_darkelf_temples	false
	wh2_main_def_worship_1	wh2_main_set_darkelf_temples	false
	wh2_main_def_worship_2	wh2_main_set_darkelf_temples	false
	wh2_main_def_worship_3	wh2_main_set_darkelf_temples	false
	wh_dlc06_dwf_ranger_hub_1	wh2_main_set_dwf_rangers_drinking	false
	wh_dlc06_dwf_ranger_hub_1_all	wh2_main_set_dwf_rangers_drinking	false
	wh_dlc06_dwf_ranger_hub_2	wh2_main_set_dwf_rangers_drinking	false
	wh_dlc06_dwf_ranger_hub_2_all	wh2_main_set_dwf_rangers_drinking	false
	wh_dlc06_dwf_ranger_hub_3	wh2_main_set_dwf_rangers_drinking	false
	wh_main_dwf_tavern_1	wh2_main_set_dwf_rangers_drinking	false
	wh_main_dwf_tavern_2	wh2_main_set_dwf_rangers_drinking	false
	wh_main_dwf_tavern_3	wh2_main_set_dwf_rangers_drinking	false
	wh2_main_hef_court_1	wh2_main_set_hef_cultural	false
	wh2_main_hef_court_2	wh2_main_set_hef_cultural	false
	wh2_main_hef_embassy_1	wh2_main_set_hef_cultural	false
	wh2_main_hef_order_1	wh2_main_set_hef_cultural	false
	wh2_main_hef_order_2	wh2_main_set_hef_cultural	false
	wh2_main_hef_order_3	wh2_main_set_hef_cultural	false
	wh2_main_hef_order_4	wh2_main_set_hef_cultural	false
	wh2_main_hef_order_5	wh2_main_set_hef_cultural	false
	wh2_main_hef_industry_1	wh2_main_set_hef_industry	false
	wh2_main_hef_industry_2	wh2_main_set_hef_industry	false
	wh2_main_hef_industry_3	wh2_main_set_hef_industry	false
	wh2_main_hef_resource_animals_1	wh2_main_set_hef_industry	false
	wh2_main_hef_resource_animals_2	wh2_main_set_hef_industry	false
	wh2_main_hef_resource_animals_3	wh2_main_set_hef_industry	false
	wh2_main_hef_resource_dyes_1	wh2_main_set_hef_industry	false
	wh2_main_hef_resource_dyes_2	wh2_main_set_hef_industry	false
	wh2_main_hef_resource_dyes_3	wh2_main_set_hef_industry	false
	wh2_main_hef_resource_furs_1	wh2_main_set_hef_industry	false
	wh2_main_hef_resource_furs_2	wh2_main_set_hef_industry	false
	wh2_main_hef_resource_furs_3	wh2_main_set_hef_industry	false
	wh2_main_hef_resource_gems_1	wh2_main_set_hef_industry	false
	wh2_main_hef_resource_gems_2	wh2_main_set_hef_industry	false
	wh2_main_hef_resource_gems_3	wh2_main_set_hef_industry	false
	wh2_main_hef_resource_gold_1	wh2_main_set_hef_industry	false
	wh2_main_hef_resource_gold_2	wh2_main_set_hef_industry	false
	wh2_main_hef_resource_gold_3	wh2_main_set_hef_industry	false
	wh2_main_hef_resource_iron_1	wh2_main_set_hef_industry	false
	wh2_main_hef_resource_iron_2	wh2_main_set_hef_industry	false
	wh2_main_hef_resource_iron_3	wh2_main_set_hef_industry	false
	wh2_main_hef_resource_marble_1	wh2_main_set_hef_industry	false
	wh2_main_hef_resource_marble_2	wh2_main_set_hef_industry	false
	wh2_main_hef_resource_marble_3	wh2_main_set_hef_industry	false
	wh2_main_hef_resource_medicine_1	wh2_main_set_hef_industry	false
	wh2_main_hef_resource_medicine_2	wh2_main_set_hef_industry	false
	wh2_main_hef_resource_medicine_3	wh2_main_set_hef_industry	false
	wh2_main_hef_resource_obsidian_1	wh2_main_set_hef_industry	false
	wh2_main_hef_resource_obsidian_2	wh2_main_set_hef_industry	false
	wh2_main_hef_resource_obsidian_3	wh2_main_set_hef_industry	false
	wh2_main_hef_resource_pasture_1	wh2_main_set_hef_industry	false
	wh2_main_hef_resource_pasture_2	wh2_main_set_hef_industry	false
	wh2_main_hef_resource_pasture_3	wh2_main_set_hef_industry	false
	wh2_main_hef_resource_pottery_1	wh2_main_set_hef_industry	false
	wh2_main_hef_resource_pottery_2	wh2_main_set_hef_industry	false
	wh2_main_hef_resource_pottery_3	wh2_main_set_hef_industry	false
	wh2_main_hef_resource_salt_1	wh2_main_set_hef_industry	false
	wh2_main_hef_resource_salt_2	wh2_main_set_hef_industry	false
	wh2_main_hef_resource_salt_3	wh2_main_set_hef_industry	false
	wh2_main_hef_resource_spices_1	wh2_main_set_hef_industry	false
	wh2_main_hef_resource_spices_2	wh2_main_set_hef_industry	false
	wh2_main_hef_resource_spices_3	wh2_main_set_hef_industry	false
	wh2_main_hef_resource_wine_1	wh2_main_set_hef_industry	false
	wh2_main_hef_resource_wine_2	wh2_main_set_hef_industry	false
	wh2_main_hef_resource_wine_3	wh2_main_set_hef_industry	false
	wh2_main_hef_resource_wood_1	wh2_main_set_hef_industry	false
	wh2_main_hef_resource_wood_2	wh2_main_set_hef_industry	false
	wh2_main_hef_resource_wood_3	wh2_main_set_hef_industry	false
	wh2_main_hef_worship_1	wh2_main_set_hef_worship	false
	wh2_main_hef_worship_2	wh2_main_set_hef_worship	false
	wh2_main_hef_worship_3	wh2_main_set_hef_worship	false
wh2_main_hef_defence_major		wh2_main_set_highelf_defence	false
wh2_main_hef_defence_minor		wh2_main_set_highelf_defence	false
wh2_main_hef_defence_norsca		wh2_main_set_highelf_defence	false
wh2_main_hef_court		wh2_main_set_highelf_infrastructure	false
wh2_main_hef_embassy		wh2_main_set_highelf_infrastructure	false
wh2_main_hef_farm		wh2_main_set_highelf_infrastructure	false
wh2_main_hef_industry		wh2_main_set_highelf_infrastructure	false
wh2_main_hef_order		wh2_main_set_highelf_infrastructure	false
wh2_main_hef_barracks		wh2_main_set_highelf_military_recruitment	false
wh2_main_hef_birds		wh2_main_set_highelf_military_recruitment	false
wh2_main_hef_hunters		wh2_main_set_highelf_military_recruitment	false
wh2_main_hef_stables		wh2_main_set_highelf_military_recruitment	false
wh2_dlc10_hef_aesanar_camp		wh2_main_set_highelf_military_support	false
wh2_dlc10_hef_handmaidens		wh2_main_set_highelf_military_support	false
wh2_dlc10_hef_handmaidens_alarielle		wh2_main_set_highelf_military_support	false
wh2_main_hef_dragons		wh2_main_set_highelf_military_support	false
wh2_main_hef_mages		wh2_main_set_highelf_military_support	false
wh2_main_hef_smith		wh2_main_set_highelf_military_support	false
wh2_main_hef_worship		wh2_main_set_highelf_military_support	false
wh2_main_hef_port		wh2_main_set_highelf_port	false
wh2_main_special_lothern_port		wh2_main_set_highelf_port	false
wh2_main_special_lothern_port_other		wh2_main_set_highelf_port	false
wh2_dlc09_ritual_tmb		wh2_main_set_landmark	false
wh2_dlc09_special_black_tower_of_arkhan		wh2_main_set_landmark	false
wh2_dlc09_special_black_tower_of_arkhan_other		wh2_main_set_landmark	false
wh2_dlc09_special_pyramid_alcadizaar		wh2_main_set_landmark	false
wh2_dlc09_special_pyramid_amenemhetum		wh2_main_set_landmark	false
wh2_dlc09_special_pyramid_khatep		wh2_main_set_landmark	false
wh2_dlc09_special_pyramid_phar		wh2_main_set_landmark	false
wh2_dlc09_special_pyramid_settra		wh2_main_set_landmark	false
wh2_dlc09_special_pyramid_tutankhanut		wh2_main_set_landmark	false
wh2_dlc10_special_world_root_entrance		wh2_main_set_landmark	false
wh2_dlc11_special_ancient_vault		wh2_main_set_landmark	false
