character_skill_nodes_skill_locks_tables	0
wh2_dlc09_skill_tmb_god_blessing_0	wh2_dlc09_skill_tmb_tomb_king_lahmizzash_god_blessing_2	1
wh2_dlc09_skill_tmb_god_blessing_1	wh2_dlc09_skill_tmb_tomb_king_lahmizzash_god_blessing_2	1
wh2_dlc09_skill_tmb_god_blessing_3	wh2_dlc09_skill_tmb_tomb_king_lahmizzash_god_blessing_2	1
wh2_dlc09_skill_tmb_god_blessing_0	wh2_dlc09_skill_tmb_tomb_king_lahmizzash_god_blessing_3	1
wh2_dlc09_skill_tmb_god_blessing_1	wh2_dlc09_skill_tmb_tomb_king_lahmizzash_god_blessing_3	1
wh2_dlc09_skill_tmb_god_blessing_2	wh2_dlc09_skill_tmb_tomb_king_lahmizzash_god_blessing_3	1
wh2_dlc09_skill_tmb_god_blessing_1	wh2_dlc09_skill_tmb_tomb_king_rakhash_god_blessing_0	1
wh2_dlc09_skill_tmb_god_blessing_2	wh2_dlc09_skill_tmb_tomb_king_rakhash_god_blessing_0	1
wh2_dlc09_skill_tmb_god_blessing_3	wh2_dlc09_skill_tmb_tomb_king_rakhash_god_blessing_0	1
wh2_dlc09_skill_tmb_god_blessing_0	wh2_dlc09_skill_tmb_tomb_king_rakhash_god_blessing_1	1
wh2_dlc09_skill_tmb_god_blessing_2	wh2_dlc09_skill_tmb_tomb_king_rakhash_god_blessing_1	1
wh2_dlc09_skill_tmb_god_blessing_3	wh2_dlc09_skill_tmb_tomb_king_rakhash_god_blessing_1	1
wh2_dlc09_skill_tmb_god_blessing_0	wh2_dlc09_skill_tmb_tomb_king_rakhash_god_blessing_2	1
wh2_dlc09_skill_tmb_god_blessing_1	wh2_dlc09_skill_tmb_tomb_king_rakhash_god_blessing_2	1
wh2_dlc09_skill_tmb_god_blessing_3	wh2_dlc09_skill_tmb_tomb_king_rakhash_god_blessing_2	1
wh2_dlc09_skill_tmb_god_blessing_0	wh2_dlc09_skill_tmb_tomb_king_rakhash_god_blessing_3	1
wh2_dlc09_skill_tmb_god_blessing_1	wh2_dlc09_skill_tmb_tomb_king_rakhash_god_blessing_3	1
wh2_dlc09_skill_tmb_god_blessing_2	wh2_dlc09_skill_tmb_tomb_king_rakhash_god_blessing_3	1
wh2_dlc09_skill_tmb_god_blessing_1	wh2_dlc09_skill_tmb_tomb_king_setep_god_blessing_0	1
wh2_dlc09_skill_tmb_god_blessing_2	wh2_dlc09_skill_tmb_tomb_king_setep_god_blessing_0	1
wh2_dlc09_skill_tmb_god_blessing_3	wh2_dlc09_skill_tmb_tomb_king_setep_god_blessing_0	1
wh2_dlc09_skill_tmb_god_blessing_0	wh2_dlc09_skill_tmb_tomb_king_setep_god_blessing_1	1
wh2_dlc09_skill_tmb_god_blessing_2	wh2_dlc09_skill_tmb_tomb_king_setep_god_blessing_1	1
wh2_dlc09_skill_tmb_god_blessing_3	wh2_dlc09_skill_tmb_tomb_king_setep_god_blessing_1	1
wh2_dlc09_skill_tmb_god_blessing_0	wh2_dlc09_skill_tmb_tomb_king_setep_god_blessing_2	1
wh2_dlc09_skill_tmb_god_blessing_1	wh2_dlc09_skill_tmb_tomb_king_setep_god_blessing_2	1
wh2_dlc09_skill_tmb_god_blessing_3	wh2_dlc09_skill_tmb_tomb_king_setep_god_blessing_2	1
wh2_dlc09_skill_tmb_god_blessing_0	wh2_dlc09_skill_tmb_tomb_king_setep_god_blessing_3	1
wh2_dlc09_skill_tmb_god_blessing_1	wh2_dlc09_skill_tmb_tomb_king_setep_god_blessing_3	1
wh2_dlc09_skill_tmb_god_blessing_2	wh2_dlc09_skill_tmb_tomb_king_setep_god_blessing_3	1
wh2_dlc09_skill_tmb_god_blessing_1	wh2_dlc09_skill_tmb_tomb_king_thutep_god_blessing_0	1
wh2_dlc09_skill_tmb_god_blessing_2	wh2_dlc09_skill_tmb_tomb_king_thutep_god_blessing_0	1
wh2_dlc09_skill_tmb_god_blessing_3	wh2_dlc09_skill_tmb_tomb_king_thutep_god_blessing_0	1
wh2_dlc09_skill_tmb_god_blessing_0	wh2_dlc09_skill_tmb_tomb_king_thutep_god_blessing_1	1
wh2_dlc09_skill_tmb_god_blessing_2	wh2_dlc09_skill_tmb_tomb_king_thutep_god_blessing_1	1
wh2_dlc09_skill_tmb_god_blessing_3	wh2_dlc09_skill_tmb_tomb_king_thutep_god_blessing_1	1
wh2_dlc09_skill_tmb_god_blessing_0	wh2_dlc09_skill_tmb_tomb_king_thutep_god_blessing_2	1
wh2_dlc09_skill_tmb_god_blessing_1	wh2_dlc09_skill_tmb_tomb_king_thutep_god_blessing_2	1
wh2_dlc09_skill_tmb_god_blessing_3	wh2_dlc09_skill_tmb_tomb_king_thutep_god_blessing_2	1
wh2_dlc09_skill_tmb_god_blessing_0	wh2_dlc09_skill_tmb_tomb_king_thutep_god_blessing_3	1
wh2_dlc09_skill_tmb_god_blessing_1	wh2_dlc09_skill_tmb_tomb_king_thutep_god_blessing_3	1
wh2_dlc09_skill_tmb_god_blessing_2	wh2_dlc09_skill_tmb_tomb_king_thutep_god_blessing_3	1
wh2_dlc09_skill_tmb_god_blessing_1	wh2_dlc09_skill_tmb_tomb_king_wakhaf_god_blessing_0	1
wh2_dlc09_skill_tmb_god_blessing_2	wh2_dlc09_skill_tmb_tomb_king_wakhaf_god_blessing_0	1
wh2_dlc09_skill_tmb_god_blessing_3	wh2_dlc09_skill_tmb_tomb_king_wakhaf_god_blessing_0	1
wh2_dlc09_skill_tmb_god_blessing_0	wh2_dlc09_skill_tmb_tomb_king_wakhaf_god_blessing_1	1
wh2_dlc09_skill_tmb_god_blessing_2	wh2_dlc09_skill_tmb_tomb_king_wakhaf_god_blessing_1	1
wh2_dlc09_skill_tmb_god_blessing_3	wh2_dlc09_skill_tmb_tomb_king_wakhaf_god_blessing_1	1
wh2_dlc09_skill_tmb_god_blessing_0	wh2_dlc09_skill_tmb_tomb_king_wakhaf_god_blessing_2	1
wh2_dlc09_skill_tmb_god_blessing_1	wh2_dlc09_skill_tmb_tomb_king_wakhaf_god_blessing_2	1
wh2_dlc09_skill_tmb_god_blessing_3	wh2_dlc09_skill_tmb_tomb_king_wakhaf_god_blessing_2	1
wh2_dlc09_skill_tmb_god_blessing_0	wh2_dlc09_skill_tmb_tomb_king_wakhaf_god_blessing_3	1
wh2_dlc09_skill_tmb_god_blessing_1	wh2_dlc09_skill_tmb_tomb_king_wakhaf_god_blessing_3	1
wh2_dlc09_skill_tmb_god_blessing_2	wh2_dlc09_skill_tmb_tomb_king_wakhaf_god_blessing_3	1
wh2_dlc09_skill_tmb_tomb_prince_royalty_at_arm	wh2_dlc09_skill_tmb_tomb_prince_unique_0	1
wh2_dlc09_skill_tmb_tomb_prince_throne_successor	wh2_dlc09_skill_tmb_tomb_prince_unique_0	1
wh2_dlc09_skill_tmb_tomb_prince_cultist	wh2_dlc09_skill_tmb_tomb_prince_unique_1	1
wh2_dlc09_skill_tmb_tomb_prince_royalty_at_arm	wh2_dlc09_skill_tmb_tomb_prince_unique_1	1
wh2_dlc09_skill_tmb_tomb_prince_cultist	wh2_dlc09_skill_tmb_tomb_prince_unique_2	1
wh2_dlc09_skill_tmb_tomb_prince_throne_successor	wh2_dlc09_skill_tmb_tomb_prince_unique_2	1
wh2_main_skill_def_names_of_power_2	wh2_dlc10_skill_node_def_supreme_sorceress_beasts_names_of_power_1	1
wh2_main_skill_def_names_of_power_3	wh2_dlc10_skill_node_def_supreme_sorceress_beasts_names_of_power_1	1
wh2_main_skill_def_names_of_power_1	wh2_dlc10_skill_node_def_supreme_sorceress_beasts_names_of_power_2	1
wh2_main_skill_def_names_of_power_3	wh2_dlc10_skill_node_def_supreme_sorceress_beasts_names_of_power_2	1
wh2_main_skill_def_names_of_power_1	wh2_dlc10_skill_node_def_supreme_sorceress_beasts_names_of_power_3	1
wh2_main_skill_def_names_of_power_2	wh2_dlc10_skill_node_def_supreme_sorceress_beasts_names_of_power_3	1
wh2_main_skill_def_names_of_power_2	wh2_dlc10_skill_node_def_supreme_sorceress_dark_names_of_power_1	1
wh2_main_skill_def_names_of_power_3	wh2_dlc10_skill_node_def_supreme_sorceress_dark_names_of_power_1	1
wh2_main_skill_def_names_of_power_1	wh2_dlc10_skill_node_def_supreme_sorceress_dark_names_of_power_2	1
wh2_main_skill_def_names_of_power_3	wh2_dlc10_skill_node_def_supreme_sorceress_dark_names_of_power_2	1
wh2_main_skill_def_names_of_power_1	wh2_dlc10_skill_node_def_supreme_sorceress_dark_names_of_power_3	1
wh2_main_skill_def_names_of_power_2	wh2_dlc10_skill_node_def_supreme_sorceress_dark_names_of_power_3	1
wh2_main_skill_def_names_of_power_2	wh2_dlc10_skill_node_def_supreme_sorceress_death_names_of_power_1	1
wh2_main_skill_def_names_of_power_3	wh2_dlc10_skill_node_def_supreme_sorceress_death_names_of_power_1	1
wh2_main_skill_def_names_of_power_1	wh2_dlc10_skill_node_def_supreme_sorceress_death_names_of_power_2	1
wh2_main_skill_def_names_of_power_3	wh2_dlc10_skill_node_def_supreme_sorceress_death_names_of_power_2	1
wh2_main_skill_def_names_of_power_1	wh2_dlc10_skill_node_def_supreme_sorceress_death_names_of_power_3	1
wh2_main_skill_def_names_of_power_2	wh2_dlc10_skill_node_def_supreme_sorceress_death_names_of_power_3	1
wh2_main_skill_def_names_of_power_2	wh2_dlc10_skill_node_def_supreme_sorceress_fire_names_of_power_1	1
wh2_main_skill_def_names_of_power_3	wh2_dlc10_skill_node_def_supreme_sorceress_fire_names_of_power_1	1
wh2_main_skill_def_names_of_power_1	wh2_dlc10_skill_node_def_supreme_sorceress_fire_names_of_power_2	1
wh2_main_skill_def_names_of_power_3	wh2_dlc10_skill_node_def_supreme_sorceress_fire_names_of_power_2	1
wh2_main_skill_def_names_of_power_1	wh2_dlc10_skill_node_def_supreme_sorceress_fire_names_of_power_3	1
wh2_main_skill_def_names_of_power_2	wh2_dlc10_skill_node_def_supreme_sorceress_fire_names_of_power_3	1
wh2_main_skill_def_names_of_power_2	wh2_dlc10_skill_node_def_supreme_sorceress_shadow_names_of_power_1	1
wh2_main_skill_def_names_of_power_3	wh2_dlc10_skill_node_def_supreme_sorceress_shadow_names_of_power_1	1
wh2_main_skill_def_names_of_power_1	wh2_dlc10_skill_node_def_supreme_sorceress_shadow_names_of_power_2	1
wh2_main_skill_def_names_of_power_3	wh2_dlc10_skill_node_def_supreme_sorceress_shadow_names_of_power_2	1
wh2_main_skill_def_names_of_power_1	wh2_dlc10_skill_node_def_supreme_sorceress_shadow_names_of_power_3	1
wh2_main_skill_def_names_of_power_2	wh2_dlc10_skill_node_def_supreme_sorceress_shadow_names_of_power_3	1
wh2_dlc10_skill_hef_alarielle_fire_and_blood_1	wh2_dlc10_skill_node_hef_alarielle_unique_0	1
wh2_dlc10_skill_hef_alarielle_tradition_1	wh2_dlc10_skill_node_hef_alarielle_unique_2	1
wh2_dlc10_skill_hef_handmaiden_lieutenant_0	wh2_dlc10_skill_node_hef_handmaiden_unique_1	1
wh2_dlc10_skill_hef_handmaiden_lieutenant_1	wh2_dlc10_skill_node_hef_handmaiden_unique_1	1
wh2_dlc10_skill_hef_handmaiden_lieutenant_2	wh2_dlc10_skill_node_hef_handmaiden_unique_1	1
wh2_dlc10_skill_hef_handmaiden_lieutenant_3	wh2_dlc10_skill_node_hef_handmaiden_unique_1	1
wh2_dlc10_skill_hef_handmaiden_protector_0	wh2_dlc10_skill_node_hef_handmaiden_unique_1	1
wh2_dlc10_skill_hef_handmaiden_protector_1	wh2_dlc10_skill_node_hef_handmaiden_unique_1	1
wh2_dlc10_skill_hef_handmaiden_protector_2	wh2_dlc10_skill_node_hef_handmaiden_unique_1	1
wh2_dlc10_skill_hef_handmaiden_protector_3	wh2_dlc10_skill_node_hef_handmaiden_unique_1	1
wh2_dlc10_skill_hef_handmaiden_diplomat_0	wh2_dlc10_skill_node_hef_handmaiden_unique_5	1
wh2_dlc10_skill_hef_handmaiden_diplomat_1	wh2_dlc10_skill_node_hef_handmaiden_unique_5	1
wh2_dlc10_skill_hef_handmaiden_diplomat_2	wh2_dlc10_skill_node_hef_handmaiden_unique_5	1
wh2_dlc10_skill_hef_handmaiden_diplomat_3	wh2_dlc10_skill_node_hef_handmaiden_unique_5	1
wh2_dlc10_skill_hef_handmaiden_lieutenant_0	wh2_dlc10_skill_node_hef_handmaiden_unique_5	1
wh2_dlc10_skill_hef_handmaiden_lieutenant_1	wh2_dlc10_skill_node_hef_handmaiden_unique_5	1
wh2_dlc10_skill_hef_handmaiden_lieutenant_2	wh2_dlc10_skill_node_hef_handmaiden_unique_5	1
wh2_dlc10_skill_hef_handmaiden_lieutenant_3	wh2_dlc10_skill_node_hef_handmaiden_unique_5	1
wh2_dlc10_skill_hef_handmaiden_diplomat_0	wh2_dlc10_skill_node_hef_handmaiden_unique_9	1
wh2_dlc10_skill_hef_handmaiden_diplomat_1	wh2_dlc10_skill_node_hef_handmaiden_unique_9	1
wh2_dlc10_skill_hef_handmaiden_diplomat_2	wh2_dlc10_skill_node_hef_handmaiden_unique_9	1
wh2_dlc10_skill_hef_handmaiden_diplomat_3	wh2_dlc10_skill_node_hef_handmaiden_unique_9	1
wh2_dlc10_skill_hef_handmaiden_protector_0	wh2_dlc10_skill_node_hef_handmaiden_unique_9	1
wh2_dlc10_skill_hef_handmaiden_protector_1	wh2_dlc10_skill_node_hef_handmaiden_unique_9	1
wh2_dlc10_skill_hef_handmaiden_protector_2	wh2_dlc10_skill_node_hef_handmaiden_unique_9	1
wh2_dlc10_skill_hef_handmaiden_protector_3	wh2_dlc10_skill_node_hef_handmaiden_unique_9	1
wh2_dlc11_skill_cst_lord_crime_1	wh2_dlc11_skill_cst_admiral_fem_crime_02	1
wh2_dlc11_skill_cst_lord_crime_2_sword	wh2_dlc11_skill_cst_admiral_fem_crime_02	1
wh2_dlc11_skill_cst_lord_crime_3	wh2_dlc11_skill_cst_admiral_fem_crime_02	1
wh2_dlc11_skill_cst_lord_crime_0	wh2_dlc11_skill_cst_admiral_fem_crime_03	1
wh2_dlc11_skill_cst_lord_crime_2_sword	wh2_dlc11_skill_cst_admiral_fem_crime_03	1
wh2_dlc11_skill_cst_lord_crime_3	wh2_dlc11_skill_cst_admiral_fem_crime_03	1
wh2_dlc11_skill_cst_lord_crime_0	wh2_dlc11_skill_cst_admiral_fem_crime_04	1
wh2_dlc11_skill_cst_lord_crime_1	wh2_dlc11_skill_cst_admiral_fem_crime_04	1
wh2_dlc11_skill_cst_lord_crime_3	wh2_dlc11_skill_cst_admiral_fem_crime_04	1
wh2_dlc11_skill_cst_lord_crime_0	wh2_dlc11_skill_cst_admiral_fem_crime_05	1
wh2_dlc11_skill_cst_lord_crime_1	wh2_dlc11_skill_cst_admiral_fem_crime_05	1
wh2_dlc11_skill_cst_lord_crime_2_sword	wh2_dlc11_skill_cst_admiral_fem_crime_05	1
wh2_dlc11_skill_cst_lord_crime_1	wh2_dlc11_skill_cst_admiral_fem_death_crime_02	1
wh2_dlc11_skill_cst_lord_crime_2_sword	wh2_dlc11_skill_cst_admiral_fem_death_crime_02	1
wh2_dlc11_skill_cst_lord_crime_3	wh2_dlc11_skill_cst_admiral_fem_death_crime_02	1
wh2_dlc11_skill_cst_lord_crime_0	wh2_dlc11_skill_cst_admiral_fem_death_crime_03	1
wh2_dlc11_skill_cst_lord_crime_2_sword	wh2_dlc11_skill_cst_admiral_fem_death_crime_03	1
wh2_dlc11_skill_cst_lord_crime_3	wh2_dlc11_skill_cst_admiral_fem_death_crime_03	1
wh2_dlc11_skill_cst_lord_crime_0	wh2_dlc11_skill_cst_admiral_fem_death_crime_04	1
wh2_dlc11_skill_cst_lord_crime_1	wh2_dlc11_skill_cst_admiral_fem_death_crime_04	1
wh2_dlc11_skill_cst_lord_crime_3	wh2_dlc11_skill_cst_admiral_fem_death_crime_04	1
wh2_dlc11_skill_cst_lord_crime_0	wh2_dlc11_skill_cst_admiral_fem_death_crime_05	1
wh2_dlc11_skill_cst_lord_crime_1	wh2_dlc11_skill_cst_admiral_fem_death_crime_05	1
wh2_dlc11_skill_cst_lord_crime_2_sword	wh2_dlc11_skill_cst_admiral_fem_death_crime_05	1
wh2_dlc11_skill_cst_lord_crime_1	wh2_dlc11_skill_cst_admiral_fem_deep_crime_02	1
wh2_dlc11_skill_cst_lord_crime_2_sword	wh2_dlc11_skill_cst_admiral_fem_deep_crime_02	1
wh2_dlc11_skill_cst_lord_crime_3	wh2_dlc11_skill_cst_admiral_fem_deep_crime_02	1
wh2_dlc11_skill_cst_lord_crime_0	wh2_dlc11_skill_cst_admiral_fem_deep_crime_03	1
wh2_dlc11_skill_cst_lord_crime_2_sword	wh2_dlc11_skill_cst_admiral_fem_deep_crime_03	1
wh2_dlc11_skill_cst_lord_crime_3	wh2_dlc11_skill_cst_admiral_fem_deep_crime_03	1
wh2_dlc11_skill_cst_lord_crime_0	wh2_dlc11_skill_cst_admiral_fem_deep_crime_04	1
wh2_dlc11_skill_cst_lord_crime_1	wh2_dlc11_skill_cst_admiral_fem_deep_crime_04	1
wh2_dlc11_skill_cst_lord_crime_3	wh2_dlc11_skill_cst_admiral_fem_deep_crime_04	1
wh2_dlc11_skill_cst_lord_crime_0	wh2_dlc11_skill_cst_admiral_fem_deep_crime_05	1
wh2_dlc11_skill_cst_lord_crime_1	wh2_dlc11_skill_cst_admiral_fem_deep_crime_05	1
wh2_dlc11_skill_cst_lord_crime_2_sword	wh2_dlc11_skill_cst_admiral_fem_deep_crime_05	1
wh2_dlc11_skill_cst_lord_crime_1	wh2_dlc11_skill_cst_admiral_tech_01_crime_02	1
wh2_dlc11_skill_cst_lord_crime_2	wh2_dlc11_skill_cst_admiral_tech_01_crime_02	1
wh2_dlc11_skill_cst_lord_crime_3	wh2_dlc11_skill_cst_admiral_tech_01_crime_02	1
wh2_dlc11_skill_cst_lord_crime_0	wh2_dlc11_skill_cst_admiral_tech_01_crime_03	1
wh2_dlc11_skill_cst_lord_crime_2	wh2_dlc11_skill_cst_admiral_tech_01_crime_03	1
wh2_dlc11_skill_cst_lord_crime_3	wh2_dlc11_skill_cst_admiral_tech_01_crime_03	1
wh2_dlc11_skill_cst_lord_crime_0	wh2_dlc11_skill_cst_admiral_tech_01_crime_04	1
wh2_dlc11_skill_cst_lord_crime_1	wh2_dlc11_skill_cst_admiral_tech_01_crime_04	1
wh2_dlc11_skill_cst_lord_crime_3	wh2_dlc11_skill_cst_admiral_tech_01_crime_04	1
wh2_dlc11_skill_cst_lord_crime_0	wh2_dlc11_skill_cst_admiral_tech_01_crime_05	1
wh2_dlc11_skill_cst_lord_crime_1	wh2_dlc11_skill_cst_admiral_tech_01_crime_05	1
wh2_dlc11_skill_cst_lord_crime_2	wh2_dlc11_skill_cst_admiral_tech_01_crime_05	1
wh2_dlc11_skill_cst_lord_crime_1	wh2_dlc11_skill_cst_admiral_tech_02_crime_02	1
wh2_dlc11_skill_cst_lord_crime_2	wh2_dlc11_skill_cst_admiral_tech_02_crime_02	1
wh2_dlc11_skill_cst_lord_crime_3	wh2_dlc11_skill_cst_admiral_tech_02_crime_02	1
wh2_dlc11_skill_cst_lord_crime_0	wh2_dlc11_skill_cst_admiral_tech_02_crime_03	1
wh2_dlc11_skill_cst_lord_crime_2	wh2_dlc11_skill_cst_admiral_tech_02_crime_03	1
wh2_dlc11_skill_cst_lord_crime_3	wh2_dlc11_skill_cst_admiral_tech_02_crime_03	1
wh2_dlc11_skill_cst_lord_crime_0	wh2_dlc11_skill_cst_admiral_tech_02_crime_04	1
wh2_dlc11_skill_cst_lord_crime_1	wh2_dlc11_skill_cst_admiral_tech_02_crime_04	1
wh2_dlc11_skill_cst_lord_crime_3	wh2_dlc11_skill_cst_admiral_tech_02_crime_04	1
wh2_dlc11_skill_cst_lord_crime_0	wh2_dlc11_skill_cst_admiral_tech_02_crime_05	1
wh2_dlc11_skill_cst_lord_crime_1	wh2_dlc11_skill_cst_admiral_tech_02_crime_05	1
wh2_dlc11_skill_cst_lord_crime_2	wh2_dlc11_skill_cst_admiral_tech_02_crime_05	1
wh2_dlc11_skill_cst_lord_crime_1	wh2_dlc11_skill_cst_admiral_tech_03_crime_02	1
wh2_dlc11_skill_cst_lord_crime_2	wh2_dlc11_skill_cst_admiral_tech_03_crime_02	1
wh2_dlc11_skill_cst_lord_crime_3	wh2_dlc11_skill_cst_admiral_tech_03_crime_02	1
wh2_dlc11_skill_cst_lord_crime_0	wh2_dlc11_skill_cst_admiral_tech_03_crime_03	1
wh2_dlc11_skill_cst_lord_crime_2	wh2_dlc11_skill_cst_admiral_tech_03_crime_03	1
wh2_dlc11_skill_cst_lord_crime_3	wh2_dlc11_skill_cst_admiral_tech_03_crime_03	1
wh2_dlc11_skill_cst_lord_crime_0	wh2_dlc11_skill_cst_admiral_tech_03_crime_04	1
wh2_dlc11_skill_cst_lord_crime_1	wh2_dlc11_skill_cst_admiral_tech_03_crime_04	1
wh2_dlc11_skill_cst_lord_crime_3	wh2_dlc11_skill_cst_admiral_tech_03_crime_04	1
wh2_dlc11_skill_cst_lord_crime_0	wh2_dlc11_skill_cst_admiral_tech_03_crime_05	1
wh2_dlc11_skill_cst_lord_crime_1	wh2_dlc11_skill_cst_admiral_tech_03_crime_05	1
wh2_dlc11_skill_cst_lord_crime_2	wh2_dlc11_skill_cst_admiral_tech_03_crime_05	1
wh2_dlc11_skill_cst_lord_crime_1	wh2_dlc11_skill_cst_admiral_tech_04_crime_02	1
wh2_dlc11_skill_cst_lord_crime_2_sword	wh2_dlc11_skill_cst_admiral_tech_04_crime_02	1
wh2_dlc11_skill_cst_lord_crime_3	wh2_dlc11_skill_cst_admiral_tech_04_crime_02	1
wh2_dlc11_skill_cst_lord_crime_0	wh2_dlc11_skill_cst_admiral_tech_04_crime_03	1
wh2_dlc11_skill_cst_lord_crime_2_sword	wh2_dlc11_skill_cst_admiral_tech_04_crime_03	1
wh2_dlc11_skill_cst_lord_crime_3	wh2_dlc11_skill_cst_admiral_tech_04_crime_03	1
wh2_dlc11_skill_cst_lord_crime_0	wh2_dlc11_skill_cst_admiral_tech_04_crime_04	1
wh2_dlc11_skill_cst_lord_crime_1	wh2_dlc11_skill_cst_admiral_tech_04_crime_04	1
wh2_dlc11_skill_cst_lord_crime_3	wh2_dlc11_skill_cst_admiral_tech_04_crime_04	1
