faction_banners_tables	0
key	primary_blue	primary_green	primary_red	secondary_blue	secondary_green	secondary_red	symbol	tertiary_blue	tertiary_green	tertiary_red
wh2_main_hef_order_of_loremasters	38	57	205	68	209	253		231	94	45
wh2_main_hef_saphery	113	61	24	242	237	230		113	61	24
wh2_main_hef_tiranoc	242	242	242	68	209	253		70	172	138
wh2_main_hef_tor_elasor	108	245	252	64	64	64		108	245	252
wh2_main_hef_yvresse	213	141	83	242	242	242		213	141	83
wh2_main_lzd_hexoatl	9	53	195	9	192	255		88	143	61
wh2_main_lzd_itza	242	242	242	68	209	253		38	38	38
wh2_main_lzd_last_defenders	175	71	1	242	242	242		220	205	146
wh2_main_lzd_lizardmen	9	53	195	0	192	255		88	143	61
wh2_main_lzd_lizardmen_intervention	43	202	233	6	58	218		88	143	61
wh2_main_lzd_lizardmen_qb1	170	204	76	173	3	72		88	143	61
wh2_main_lzd_lizardmen_qb2	170	204	76	173	3	72		88	143	61
wh2_main_lzd_lizardmen_qb3	170	204	76	173	3	72		88	143	61
wh2_main_lzd_lizardmen_qb4	170	204	76	173	3	72		88	143	61
wh2_main_lzd_lizardmen_rebels	170	204	76	173	3	72		88	143	61
wh2_main_lzd_sentinels_of_xeti	204	76	122	242	242	242		0	192	255
wh2_main_lzd_southern_sentinels	88	143	61	9	53	195		0	192	255
wh2_main_lzd_teotiqua	240	176	0	242	242	242		9	53	195
wh2_main_lzd_tlaqua	10	107	226	9	53	195		242	242	242
wh2_main_lzd_tlaxtlan	92	54	22	242	242	242		153	255	255
wh2_main_lzd_xlanhuapec	220	205	146	128	128	128		242	242	242
wh2_main_lzd_zlatan	0	192	255	175	71	1		10	107	226
wh2_main_nor_aghol	8	92	176	217	217	217		8	92	176
wh2_main_nor_hung_incursion_def	114	91	119	106	32	74		114	91	119
wh2_main_nor_hung_incursion_hef	127	99	91	117	73	37		127	99	91
wh2_main_nor_hung_incursion_lzd	102	119	95	89	90	27		102	119	95
wh2_main_nor_hung_incursion_skv	113	136	147	5	63	133		113	136	147
wh2_main_nor_mung	40	98	79	217	217	217		40	98	79
wh2_main_nor_skeggi	0	165	204	117	73	37		0	165	204
wh2_main_rogue_abominations	38	38	38	221	221	221		0	0	128
wh2_main_rogue_beastcatchas	38	38	38	221	221	221		0	0	128
wh2_main_rogue_bernhoffs_brigands	38	38	38	221	221	221		0	0	128
wh2_main_rogue_black_spider_tribe	38	38	38	221	221	221		0	0	128
wh2_main_rogue_boneclubbers_tribe	38	38	38	221	221	221		0	0	128
wh2_main_rogue_celestial_storm	38	38	38	221	221	221		0	0	128
wh2_main_rogue_college_of_pyrotechnics	38	38	38	221	221	221		0	0	128
wh2_main_rogue_def_chs_vashnaar	38	38	38	221	221	221		0	0	128
wh2_main_rogue_def_mengils_manflayers	38	38	38	221	221	221		0	0	128
wh2_main_rogue_doomseekers	38	38	38	221	221	221		0	0	128
wh2_main_rogue_doomseekers_qb1	38	38	38	221	221	221		0	0	128
wh2_main_rogue_gerhardts_mercenaries	38	38	38	221	221	221		0	0	128
wh2_main_rogue_gerhardts_mercenaries_qb1	38	38	38	221	221	221		0	0	128
wh2_main_rogue_hef_tor_elithis	38	38	38	221	221	221		0	0	128
wh2_main_rogue_hung_warband	38	38	38	221	221	221		0	0	128
wh2_main_rogue_jerrods_errantry	38	38	38	221	221	221		0	0	128
wh2_main_rogue_mangy_houndz	38	38	38	221	221	221		0	0	128
wh2_main_rogue_morrsliebs_howlers	38	38	38	221	221	221		0	0	128
wh2_main_rogue_pirates_of_the_far_sea	38	38	38	221	221	221		0	0	128
wh2_main_rogue_pirates_of_the_southern_ocean	38	38	38	221	221	221		0	0	128
wh2_main_rogue_pirates_of_trantio	38	38	38	221	221	221		0	0	128
wh2_main_rogue_scions_of_tesseninck	38	38	38	221	221	221		0	0	128
wh2_main_rogue_scourge_of_aquitaine	38	38	38	221	221	221		0	0	128
wh2_main_rogue_stuff_snatchers	38	38	38	221	221	221		0	0	128
wh2_main_rogue_teef_snatchaz	38	38	38	221	221	221		0	0	128
wh2_main_rogue_the_wandering_dead	38	38	38	221	221	221		0	0	128
wh2_main_rogue_troll_skullz	38	38	38	221	221	221		0	0	128
wh2_main_rogue_vauls_expedition	38	38	38	221	221	221		0	0	128
wh2_main_rogue_vmp_heirs_of_mourkain	38	38	38	221	221	221		0	0	128
wh2_main_rogue_wef_hunters_of_kurnous	38	38	38	221	221	221		0	0	128
wh2_main_rogue_worldroot_rangers	38	38	38	221	221	221		0	0	128
wh2_main_rogue_wrath_of_nature	38	38	38	221	221	221		0	0	128
wh2_main_skv_clan_eshin	30	32	25	231	238	241		0	0	0
wh2_main_skv_clan_gnaw	10	76	160	51	66	74		0	0	0
wh2_main_skv_clan_mordkin	9	57	152	239	252	255		0	0	0
wh2_main_skv_clan_mors	16	40	196	64	64	64		0	0	0
wh2_main_skv_clan_mors_separatists	91	91	91	64	64	64		0	0	0
wh2_main_skv_clan_moulder	104	156	169	7	148	134		15	20	156
wh2_main_skv_clan_pestilens	50	102	63	0	0	168		0	0	0
wh2_main_skv_clan_pestilens_separatists	72	72	72	100	100	100		0	0	0
wh2_main_skv_clan_septik	78	146	80	78	202	166		0	0	0
wh2_main_skv_clan_skyre	115	163	176	39	71	38		0	0	0
wh2_main_skv_clan_spittel	110	127	58	9	209	221		0	0	0
wh2_main_skv_grey_seer_clan	134	165	171	42	151	149		0	0	0
wh2_main_skv_skaven	16	40	196	64	64	64		0	0	0
wh2_main_skv_skaven_intervention	64	64	64	23	35	222		0	0	0
wh2_main_skv_skaven_qb1	12	112	159	31	48	68		0	0	0
wh2_main_skv_skaven_qb2	12	112	159	31	48	68		0	0	0
wh2_main_skv_skaven_qb3	12	112	159	31	48	68		0	0	0
wh2_main_skv_skaven_qb4	12	112	159	31	48	68		0	0	0
wh2_main_skv_skaven_rebels	12	112	159	31	48	68		0	0	0
wh2_main_skv_unknown_clan_def	123	146	154	95	77	124		0	0	0
wh2_main_skv_unknown_clan_hef	123	146	154	126	115	68		0	0	0
wh2_main_skv_unknown_clan_lzd	123	146	154	110	127	55		0	0	0
wh2_main_skv_unknown_clan_skv	123	146	154	54	102	54		0	0	0
wh2_main_vmp_necrarch_brotherhood	121	75	105	219	180	69		121	75	105
wh2_main_vmp_strygos_empire	122	87	36	0	0	188		122	87	36
wh2_main_vmp_the_silver_host	217	217	217	71	51	21		217	217	217
wh2_main_vmp_vampire_coast	71	51	21	129	161	57		71	51	21
wh2_main_wef_bowmen_of_oreon	223	229	237	84	128	83		223	229	237
wh_dlc03_bst_beastmen	21	149	220	29	34	101		21	149	220
wh_dlc03_bst_beastmen_ally	107	119	141	40	151	190		107	119	141
wh_dlc03_bst_beastmen_brayherd	21	149	220	29	34	101		21	149	220
wh_dlc03_bst_beastmen_chaos	25	25	25	170	198	222		25	25	25
wh_dlc03_bst_beastmen_chaos_brayherd	25	25	25	170	198	222		25	25	25
wh_dlc03_bst_beastmen_qb1	107	119	141	40	151	190		107	119	141
wh_dlc03_bst_beastmen_qb2	107	119	141	40	151	190		107	119	141
wh_dlc03_bst_beastmen_qb3	107	119	141	40	151	190		107	119	141
wh_dlc03_bst_beastmen_rebels	107	119	141	40	151	190		107	119	141
wh_dlc03_bst_beastmen_rebels_brayherd	107	119	141	40	151	190		107	119	141
wh_dlc03_bst_jagged_horn	159	167	143	90	124	130		159	167	143
wh_dlc03_bst_jagged_horn_brayherd	159	167	143	90	124	130		159	167	143
wh_dlc03_bst_redhorn	10	52	208	101	139	140		10	52	208
wh_dlc03_bst_redhorn_brayherd	10	52	208	101	139	140		10	52	208
wh_dlc05_bst_morghur_herd	199	218	237	29	34	101		199	218	237
wh_dlc05_wef_argwylon	63	230	130	53	83	54		255	255	255
wh_dlc05_wef_torgovann	19	26	114	58	94	144		255	255	255
wh_dlc05_wef_wood_elves	80	130	55	189	220	219		255	255	255
wh_dlc05_wef_wood_elves_qb1	51	114	190	191	204	203		255	255	255
wh_dlc05_wef_wood_elves_qb2	51	114	190	191	204	203		255	255	255
wh_dlc05_wef_wood_elves_qb3	19	26	114	58	94	144		255	255	255
wh_dlc05_wef_wood_elves_rebels	51	114	190	191	204	203		255	255	255
wh_dlc05_wef_wydrioth	146	215	166	128	167	90		255	255	255
wh_dlc08_chs_chaos_challenger_khorne	34	35	92	43	155	193		0	0	0
wh_dlc08_chs_chaos_challenger_khorne_qb	34	35	92	43	155	193		0	0	0
wh_dlc08_chs_chaos_challenger_nurgle	79	120	123	96	112	86		0	0	0
wh_dlc08_chs_chaos_challenger_nurgle_qb	79	120	123	96	112	86		0	0	0
wh_dlc08_chs_chaos_challenger_slaanesh	170	150	161	78	70	96		0	0	0
wh_dlc08_chs_chaos_challenger_slaanesh_qb	170	150	161	78	70	96		0	0	0
wh_dlc08_chs_chaos_challenger_tzeentch	173	164	145	217	210	205		0	0	0
wh_dlc08_chs_chaos_challenger_tzeentch_qb	173	164	145	217	210	205		0	0	0
wh_dlc08_nor_goromadny_tribe	22	193	216	23	26	145		0	0	0
wh_dlc08_nor_helspire_tribe	38	71	176	0	172	226		0	0	0
wh_dlc08_nor_naglfarlings	142	131	179	186	207	212		0	0	0
wh_dlc08_nor_norsca	94	131	166	59	121	214		94	131	166
wh_dlc08_nor_vanaheimlings	2	150	202	148	116	78		0	0	0
wh_dlc08_nor_wintertooth	148	116	78	23	26	145		148	116	78
wh_main_brt_artois	50	69	164	200	216	225		50	69	164
wh_main_brt_bastonne	50	213	229	83	65	188		50	213	229
wh_main_brt_bordeleaux	154	87	73	108	184	218		154	87	73
wh_main_brt_bretonnia	178	50	50	50	214	243		50	50	200
wh_main_brt_bretonnia_qb1	228	244	248	50	50	50		228	244	248
wh_main_brt_bretonnia_qb2	228	244	248	50	50	50		228	244	248
wh_main_brt_bretonnia_qb3	228	244	248	50	50	50		228	244	248
wh_main_brt_bretonnia_rebels	171	81	78	102	206	226		171	81	78
wh_main_brt_carcassonne	196	126	50	185	235	245		16	59	218
wh_main_brt_lyonesse	150	191	197	87	87	162		150	191	197
wh_main_brt_parravon	50	50	50	111	206	229		50	50	50
wh_main_chs_chaos	25	25	25	170	198	222		25	25	25
wh_main_chs_chaos_qb1	91	91	111	50	58	169		91	91	111
wh_main_chs_chaos_qb2	91	91	111	50	58	169		91	91	111
wh_main_chs_chaos_qb3	91	91	111	50	58	169		91	91	111
wh_main_chs_chaos_rebels	91	91	111	50	58	169		91	91	111
wh_main_chs_chaos_separatists	182	182	182	75	75	75		182	182	182
wh_main_dwf_barak_varr	120	50	97	243	243	243		120	50	97
wh_main_dwf_dwarf_rebels	50	50	169	50	214	243		50	50	169
wh_main_dwf_dwarfs	238	159	50	50	214	243		238	159	50
wh_main_dwf_dwarfs_qb1	50	50	169	50	214	243		50	50	169
wh_main_dwf_dwarfs_qb2	50	50	169	50	214	243		50	50	169
wh_main_dwf_dwarfs_qb3	50	50	169	50	214	243		50	50	169
wh_main_dwf_dwarfs_qb4	50	50	169	50	214	243		50	50	169
wh_main_dwf_dwarfs_seperatists_qb1	243	243	243	50	50	50		243	243	243
wh_main_dwf_dwarfs_seperatists_qb2	243	243	243	50	50	50		243	243	243
wh_main_dwf_dwarfs_seperatists_qb3	243	243	243	50	50	50		243	243	243
wh_main_dwf_dwarfs_seperatists_qb4	243	243	243	50	50	50		243	243	243
wh_main_dwf_karak_azul	107	90	50	50	197	243		107	90	50
wh_main_dwf_karak_hirn	50	161	159	243	243	243		50	161	159
wh_main_dwf_karak_izor	184	54	33	33	62	184		184	54	33
wh_main_dwf_karak_kadrin	50	50	157	243	243	243		50	50	157
wh_main_dwf_karak_norn	50	56	186	75	75	75		243	243	243
wh_main_dwf_karak_ziflin	66	93	158	243	243	243		66	93	158
wh_main_dwf_kraka_drak	165	186	50	243	243	243		165	186	50
wh_main_dwf_zhufbar	167	158	50	50	197	243		167	158	50
wh_main_emp_averland	56	56	56	58	198	238		56	56	56
wh_main_emp_empire	243	243	243	50	214	243		50	50	172
wh_main_emp_empire_qb1	232	232	232	50	50	196		56	56	56
wh_main_emp_empire_qb2	232	232	232	50	50	196		56	56	56
wh_main_emp_empire_qb3	232	232	232	50	50	196		56	56	56
wh_main_emp_empire_qb4	50	50	188	188	188	188		159	73	50
wh_main_emp_empire_qb_intro	50	50	188	188	188	188		159	73	50
wh_main_emp_empire_rebels	232	232	232	50	50	196		56	56	56
wh_main_emp_empire_rebels_qb1	188	111	50	188	229	241		188	111	50
wh_main_emp_empire_separatists	188	111	50	188	229	241		188	111	50
wh_main_emp_hochland	87	126	50	188	229	241		87	126	50
wh_main_emp_marienburg	49	170	219	75	218	235		180	179	179
wh_main_emp_marienburg_rebels	118	118	118	180	179	179		239	239	242
wh_main_emp_middenland	118	50	50	186	201	206		118	50	50
wh_main_emp_nordland	116	67	50	50	170	219		116	67	50
wh_main_emp_ostermark	104	59	159	188	229	241		56	56	56
wh_main_emp_ostland	188	229	241	50	50	196		56	56	56
wh_main_emp_stirland	51	117	64	50	157	210		50	57	161
wh_main_emp_talabecland	50	50	177	188	229	241		50	50	177
wh_main_emp_wissenland	56	56	56	188	229	241		50	50	177
wh_main_grn_black_venom	106	196	185	50	50	148		255	255	255
wh_main_grn_black_venom_waaagh	106	196	185	50	50	148		255	255	255
wh_main_grn_bloody_spearz	92	109	66	52	52	176		255	255	255
wh_main_grn_bloody_spearz_waaagh	92	109	66	52	52	176		255	255	255
wh_main_grn_broken_nose	122	207	233	52	52	176		255	255	255
wh_main_grn_broken_nose_waaagh	122	207	233	52	52	176		255	255	255
wh_main_grn_crooked_moon	243	94	94	73	186	243		255	255	255
wh_main_grn_crooked_moon_waaagh	243	94	94	73	186	243		255	255	255
wh_main_grn_greenskins	63	142	115	101	132	227		255	255	255
wh_main_grn_greenskins_qb1	50	234	240	182	182	182		255	255	255
wh_main_grn_greenskins_qb2	50	234	240	182	182	182		255	255	255
wh_main_grn_greenskins_qb3	50	234	240	182	182	182		255	255	255
wh_main_grn_greenskins_qb4	50	234	240	182	182	182		255	255	255
wh_main_grn_greenskins_rebels	94	199	202	182	182	182		255	255	255
wh_main_grn_greenskins_rebels_waaagh	94	199	202	182	182	182		255	255	255
wh_main_grn_greenskins_waaagh	63	142	115	101	132	227		255	255	255
wh_main_grn_necksnappers	133	101	66	52	52	176		255	255	255
wh_main_grn_necksnappers_waaagh	133	101	66	52	52	176		255	255	255
wh_main_grn_orcs_of_the_bloody_hand	155	131	131	52	52	176		255	255	255
wh_main_grn_orcs_of_the_bloody_hand_waaagh	155	131	131	52	52	176		255	255	255
wh_main_grn_red_eye	120	236	243	50	78	90		255	255	255
wh_main_grn_red_eye_waaagh	120	236	243	50	78	90		255	255	255
wh_main_grn_red_fangs	50	50	144	102	60	78		255	255	255
wh_main_grn_red_fangs_waaagh	50	50	144	18	18	222		255	255	255
wh_main_grn_scabby_eye	50	62	164	243	243	243		255	255	255
wh_main_grn_scabby_eye_waaagh	50	62	164	243	243	243		255	255	255
wh_main_grn_skull-takerz	92	109	66	243	64	64		255	255	255
wh_main_grn_skull-takerz_waaagh	92	109	66	243	64	64		255	255	255
wh_main_grn_skullsmasherz	243	243	243	52	52	176		255	255	255
wh_main_grn_skullsmasherz_waaagh	243	243	243	52	52	176		255	255	255
wh_main_grn_teef_snatchaz	135	80	50	61	227	203		255	255	255
wh_main_grn_teef_snatchaz_waaagh	135	80	50	61	227	203		255	255	255
wh_main_grn_top_knotz	223	229	237	110	50	50		255	255	255
wh_main_grn_top_knotz_waaagh	223	229	237	110	50	50		255	255	255
wh_main_ksl_kislev	61	53	110	230	243	243		61	53	110
wh_main_ksl_kislev_rebels	197	215	215	75	75	75		197	215	215
wh_main_nor_aesling	65	65	100	243	243	243		65	65	100
wh_main_nor_baersonling	57	91	102	243	243	243		57	91	102
wh_main_nor_bjornling	86	76	104	243	243	243		86	76	104
wh_main_nor_graeling	98	113	67	243	243	243		98	113	67
wh_main_nor_norsca_qb1	185	90	165	243	243	243		95	105	160
wh_main_nor_norsca_qb2	185	90	165	243	243	243		95	105	160
wh_main_nor_norsca_qb3	185	90	165	243	243	243		95	105	160
wh_main_nor_norsca_rebels	210	182	136	243	243	243		210	182	136
wh_main_nor_sarl	139	134	117	243	243	243		139	134	117
wh_main_nor_skaeling	99	71	55	123	86	64		99	71	55
wh_main_nor_varg	88	161	145	230	243	243		88	161	145
wh_main_teb_border_princes	50	234	248	72	78	78		50	234	248
wh_main_teb_border_princes_rebels	50	52	161	75	75	75		243	243	243
wh_main_teb_estalia	86	196	242	230	243	243		50	50	120
wh_main_teb_estalia_rebels	243	243	243	75	75	75		50	50	120
wh_main_teb_tilea	222	237	242	243	99	50		222	237	242
wh_main_teb_tilea_rebels	232	229	187	50	50	120		232	229	187
wh_main_vmp_mousillon	102	220	237	75	75	75		102	220	237
wh_main_vmp_rival_sylvanian_vamps	183	216	219	75	30	78		183	216	219
wh_main_vmp_schwartzhafen	16	16	195	90	90	90		16	16	195
wh_main_vmp_vampire_counts	75	75	75	50	50	180		75	75	75
wh_main_vmp_vampire_counts_qb1	208	214	192	174	209	80		208	214	192
wh_main_vmp_vampire_counts_qb2	208	214	192	174	209	80		208	214	192
wh_main_vmp_vampire_counts_qb3	208	214	192	174	209	80		208	214	192
wh_main_vmp_vampire_rebels	208	214	192	174	209	80		208	214	192
wh_main_vmp_waldenhof	81	182	160	75	75	75		81	182	160
