unit_banner_unit_height_offsets_tables	1
3	wh2_main_skv_cha_grey_seer_ruin_1	0
3	wh2_main_skv_cha_plague_priest_2	0
2	wh2_main_skv_mon_hell_pit_abomination	0
2	wh_dlc01_chs_cha_chaos_lord_10	0
3	wh_dlc01_chs_cha_chaos_lord_2	0
3	wh_dlc01_chs_cha_chaos_sorcerer_lord_death_10	0
2	wh_dlc01_chs_cha_chaos_sorcerer_lord_death_9	0
3	wh_dlc01_chs_cha_chaos_sorcerer_lord_fire_10	0
2	wh_dlc01_chs_cha_chaos_sorcerer_lord_fire_9	0
3	wh_dlc01_chs_cha_chaos_sorcerer_lord_metal_10	0
2	wh_dlc01_chs_cha_chaos_sorcerer_lord_metal_9	0
2	wh_dlc01_chs_cha_chaos_sorcerer_lord_shadows_3	0
3	wh_dlc01_chs_cha_chaos_sorcerer_lord_shadows_4	0
2	wh_dlc01_chs_cha_chaos_sorcerer_shadows_3	0
2	wh_dlc01_chs_cha_exalted_hero_10	0
2	wh_dlc03_bst_feral_manticore	0
3	wh_dlc04_vmp_cha_strigoi_ghoul_king_1	0
3	wh_dlc05_vmp_cha_red_duke_3	0
3	wh_dlc05_wef_cha_female_glade_lord_3	0
3	wh_dlc05_wef_cha_glade_lord_3	0
3	wh_dlc05_wef_forest_dragon_0	0
2	wh_dlc06_chs_feral_manticore	0
3	wh_dlc08_chs_cha_chaos_lord_2_qb	0
3	wh_dlc08_nor_cha_kihar_0	0
2	wh_dlc08_nor_feral_manticore	0
3	wh_dlc08_nor_mon_frost_wyrm_0	0
4	wh_dlc08_nor_mon_frost_wyrm_boss	0
2	wh_dlc08_nor_mon_frost_wyrm_ror_0	0
2	wh_main_bst_feral_manticore_summoned	0
3	wh_main_vmp_cha_mannfred_von_carstein_3	0
3	wh_main_vmp_cha_vampire_lord_3	0
3	wh_main_vmp_mon_terrorgheist	0
4	wh_main_vmp_mon_terrorgheist_qb	0
