mortuary_cult_categories_to_rituals_tables	0
wh2_dlc09_regiments_of_renown	wh2_dlc09_ritual_crafting_tmb_carrion
wh2_dlc09_regiments_of_renown	wh2_dlc09_ritual_crafting_tmb_necropolis_knights
wh2_dlc09_regiments_of_renown	wh2_dlc09_ritual_crafting_tmb_nehekhara_horsemen
wh2_dlc09_regiments_of_renown	wh2_dlc09_ritual_crafting_tmb_nehekhara_warriors
wh2_dlc09_talismans	wh2_dlc09_ritual_crafting_tmb_talisman_amulet_of_pha_stah
wh2_dlc09_talismans	wh2_dlc09_ritual_crafting_tmb_talisman_collar_of_shakkara
wh2_dlc09_talismans	wh2_dlc09_ritual_crafting_tmb_talisman_dawnstone
wh2_dlc09_talismans	wh2_dlc09_ritual_crafting_tmb_talisman_golden_ankhra
wh2_dlc09_talismans	wh2_dlc09_ritual_crafting_tmb_talisman_golden_eye_of_rah_nutt
wh2_dlc09_talismans	wh2_dlc09_ritual_crafting_tmb_talisman_obsidian_lodestone
wh2_dlc09_weapons	wh2_dlc09_ritual_crafting_tmb_weapon_blade_of_antarhak
wh2_dlc09_weapons	wh2_dlc09_ritual_crafting_tmb_weapon_blade_of_mourning_fire
wh2_dlc09_weapons	wh2_dlc09_ritual_crafting_tmb_weapon_blade_of_setep
wh2_dlc09_weapons	wh2_dlc09_ritual_crafting_tmb_weapon_crook_and_flail_of_radiance
wh2_dlc09_weapons	wh2_dlc09_ritual_crafting_tmb_weapon_destroyer_of_eternities
wh2_dlc09_weapons	wh2_dlc09_ritual_crafting_tmb_weapon_double_crescent_of_neru
wh2_dlc09_weapons	wh2_dlc09_ritual_crafting_tmb_weapon_enchanted_lapis_mace
wh2_dlc09_weapons	wh2_dlc09_ritual_crafting_tmb_weapon_fang_of_quaph
wh2_dlc09_weapons	wh2_dlc09_ritual_crafting_tmb_weapon_golden_dagger
wh2_dlc09_weapons	wh2_dlc09_ritual_crafting_tmb_weapon_inscribed_khopesh
wh2_dlc09_weapons	wh2_dlc09_ritual_crafting_tmb_weapon_spear_of_pakth
wh2_dlc10_armour	wh2_dlc10_dwf_ritual_armour_alriks_plate
wh2_dlc10_armour	wh2_dlc10_dwf_ritual_armour_dragon_slayers_scale
wh2_dlc10_armour	wh2_dlc10_dwf_ritual_armour_gate_keepers_helm
wh2_dlc10_armour	wh2_dlc10_dwf_ritual_armour_ironbeards_armour
wh2_dlc10_armour	wh2_dlc10_dwf_ritual_armour_ironwardens_shield
wh2_dlc10_armour	wh2_dlc10_dwf_ritual_armour_miners_helm
wh2_dlc10_armour	wh2_dlc10_dwf_ritual_armour_old_guards_armour
wh2_dlc10_armour	wh2_dlc10_dwf_ritual_armour_prospectors_mail
wh2_dlc10_armour	wh2_dlc10_dwf_ritual_armour_rangers_cloak
wh2_dlc10_armour	wh2_dlc10_dwf_ritual_armour_slayers_gauntlets
wh2_dlc10_armour	wh2_dlc10_dwf_ritual_armour_starmetal_plate
wh2_dlc10_armour	wh2_dlc10_dwf_ritual_armour_troll_slayers_hide
wh2_dlc10_armour	wh2_dlc10_dwf_ritual_armour_veterans_armour
wh2_dlc10_enchanted_items	wh2_dlc10_dwf_ritual_enchanted_item_dragon_slayers_boots
wh2_dlc10_enchanted_items	wh2_dlc10_dwf_ritual_enchanted_item_gate_keepers_belt
wh2_dlc10_enchanted_items	wh2_dlc10_dwf_ritual_enchanted_item_horn_of_the_ancestors
wh2_dlc10_enchanted_items	wh2_dlc10_dwf_ritual_enchanted_item_ironbeards_bracers
wh2_dlc10_enchanted_items	wh2_dlc10_dwf_ritual_enchanted_item_ironwardens_tankard
wh2_dlc10_enchanted_items	wh2_dlc10_dwf_ritual_enchanted_item_miners_drinking_horn
wh2_dlc10_enchanted_items	wh2_dlc10_dwf_ritual_enchanted_item_old_guards_keg
wh2_dlc10_enchanted_items	wh2_dlc10_dwf_ritual_enchanted_item_prospectors_spyglass
wh2_dlc10_enchanted_items	wh2_dlc10_dwf_ritual_enchanted_item_rangers_broach
wh2_dlc10_enchanted_items	wh2_dlc10_dwf_ritual_enchanted_item_sceptre_of_stone
wh2_dlc10_enchanted_items	wh2_dlc10_dwf_ritual_enchanted_item_slayers_belt
wh2_dlc10_enchanted_items	wh2_dlc10_dwf_ritual_enchanted_item_troll_slayers_gauntlets
wh2_dlc10_enchanted_items	wh2_dlc10_dwf_ritual_enchanted_item_veterans_bracers
wh2_dlc10_talismans	wh2_dlc10_dwf_ritual_talisman_dragon_slayers_fang
wh2_dlc10_talismans	wh2_dlc10_dwf_ritual_talisman_gate_keepers_rat_catcher
wh2_dlc10_talismans	wh2_dlc10_dwf_ritual_talisman_ironbeards_ring
wh2_dlc10_talismans	wh2_dlc10_dwf_ritual_talisman_ironwardens_wardstone
wh2_dlc10_talismans	wh2_dlc10_dwf_ritual_talisman_miners_lattern
wh2_dlc10_talismans	wh2_dlc10_dwf_ritual_talisman_old_guards_tankard
wh2_dlc10_talismans	wh2_dlc10_dwf_ritual_talisman_prospectors_charge
wh2_dlc10_talismans	wh2_dlc10_dwf_ritual_talisman_rangers_pouch
wh2_dlc10_talismans	wh2_dlc10_dwf_ritual_talisman_ring_of_grimnir
wh2_dlc10_talismans	wh2_dlc10_dwf_ritual_talisman_slayers_ring
wh2_dlc10_talismans	wh2_dlc10_dwf_ritual_talisman_the_ankor_chain
wh2_dlc10_talismans	wh2_dlc10_dwf_ritual_talisman_troll_slayers_amulet
wh2_dlc10_talismans	wh2_dlc10_dwf_ritual_talisman_veterans_flask
wh2_dlc10_weapons	wh2_dlc10_dwf_ritual_weapon_dragon_slayers_axe
wh2_dlc10_weapons	wh2_dlc10_dwf_ritual_weapon_elfbane
wh2_dlc10_weapons	wh2_dlc10_dwf_ritual_weapon_gate_keepers_hammer
wh2_dlc10_weapons	wh2_dlc10_dwf_ritual_weapon_ironbeards_axe
wh2_dlc10_weapons	wh2_dlc10_dwf_ritual_weapon_ironwardens_hammer
wh2_dlc10_weapons	wh2_dlc10_dwf_ritual_weapon_miners_pickaxe
wh2_dlc10_weapons	wh2_dlc10_dwf_ritual_weapon_old_guards_hammer
wh2_dlc10_weapons	wh2_dlc10_dwf_ritual_weapon_prospectors_pickaxe
wh2_dlc10_weapons	wh2_dlc10_dwf_ritual_weapon_rangers_hammer
wh2_dlc10_weapons	wh2_dlc10_dwf_ritual_weapon_slayers_axe
wh2_dlc10_weapons	wh2_dlc10_dwf_ritual_weapon_starbreaker
wh2_dlc10_weapons	wh2_dlc10_dwf_ritual_weapon_trollslayer_axe
wh2_dlc10_weapons	wh2_dlc10_dwf_ritual_weapon_veterans_hammer
