cai_personality_occupation_decision_priorities_tables	2
last_stand_priority	option	total_war_priority	war_priority	tension_priority	peace_priority	policy_id
0	occupation_decision_raze	0	0	0	0	dlc09_tomb_kings
3	occupation_decision_raze_without_occupy	3	3	3	3	dlc09_tomb_kings
0	occupation_decision_resettle	0	0	0	0	dlc09_tomb_kings
10	occupation_decision_sack	200	100	10	50	dlc09_tomb_kings
0	occupation_decision_treasure_hunt	0	0	0	0	dlc09_tomb_kings
1	occupation_decision_vassal	1	1	1	1	dlc09_tomb_kings
0	occupation_decision_colonise	0	0	0	0	looter_early_uncapturable
0	occupation_decision_do_nothing	0	0	0	0	looter_early_uncapturable
1	occupation_decision_establish_foreign_slot	1	1	1	1	looter_early_uncapturable
1	occupation_decision_gift_to_another_faction	1	1	1	1	looter_early_uncapturable
1	occupation_decision_liberate	1	1	1	1	looter_early_uncapturable
5	occupation_decision_loot	5	5	5	5	looter_early_uncapturable
0	occupation_decision_occupy	0	0	0	0	looter_early_uncapturable
0	occupation_decision_raze	0	0	0	0	looter_early_uncapturable
4	occupation_decision_raze_without_occupy	4	4	4	4	looter_early_uncapturable
0	occupation_decision_resettle	0	0	0	0	looter_early_uncapturable
15	occupation_decision_sack	15	15	15	15	looter_early_uncapturable
0	occupation_decision_treasure_hunt	0	0	0	0	looter_early_uncapturable
1	occupation_decision_vassal	1	1	1	1	looter_early_uncapturable
1	occupation_decision_colonise	1	1	1	1	looter_early
0	occupation_decision_do_nothing	0	0	0	0	looter_early
0	occupation_decision_establish_foreign_slot	0	0	0	0	looter_early
1	occupation_decision_gift_to_another_faction	1	1	1	1	looter_early
1	occupation_decision_liberate	1	1	1	1	looter_early
400	occupation_decision_loot	400	400	400	400	looter_early
400	occupation_decision_occupy	400	400	400	400	looter_early
0	occupation_decision_raze	0	0	0	0	looter_early
1	occupation_decision_raze_without_occupy	1	1	1	1	looter_early
0	occupation_decision_resettle	0	0	0	0	looter_early
1	occupation_decision_sack	1	1	1	1	looter_early
0	occupation_decision_treasure_hunt	0	0	0	0	looter_early
1	occupation_decision_vassal	1	1	1	1	looter_early
0	occupation_decision_colonise	0	0	0	0	looter_uncapturable
0	occupation_decision_do_nothing	0	0	0	0	looter_uncapturable
1	occupation_decision_establish_foreign_slot	1	1	1	1	looter_uncapturable
1	occupation_decision_gift_to_another_faction	1	1	1	1	looter_uncapturable
1	occupation_decision_liberate	1	1	1	1	looter_uncapturable
5	occupation_decision_loot	5	5	5	5	looter_uncapturable
0	occupation_decision_occupy	0	0	0	0	looter_uncapturable
0	occupation_decision_raze	0	0	0	0	looter_uncapturable
15	occupation_decision_raze_without_occupy	15	15	15	15	looter_uncapturable
0	occupation_decision_resettle	0	0	0	0	looter_uncapturable
15	occupation_decision_sack	15	15	15	15	looter_uncapturable
0	occupation_decision_treasure_hunt	0	0	0	0	looter_uncapturable
10	occupation_decision_vassal	10	10	10	10	looter_uncapturable
1	occupation_decision_colonise	1	1	1	1	looter
0	occupation_decision_do_nothing	0	0	0	0	looter
1	occupation_decision_establish_foreign_slot	100	100	100	100	looter
1	occupation_decision_gift_to_another_faction	1	1	1	1	looter
1	occupation_decision_liberate	1	1	1	1	looter
200	occupation_decision_loot	100	100	100	100	looter
200	occupation_decision_occupy	100	100	100	100	looter
0	occupation_decision_raze	0	0	0	0	looter
3	occupation_decision_raze_without_occupy	3	3	3	3	looter
0	occupation_decision_resettle	0	0	0	0	looter
1	occupation_decision_sack	1	1	1	1	looter
0	occupation_decision_treasure_hunt	0	0	0	0	looter
1	occupation_decision_vassal	1	1	1	1	looter
0	occupation_decision_colonise	0	0	0	0	noraze_uncapturable
0	occupation_decision_do_nothing	0	0	0	0	noraze_uncapturable
1	occupation_decision_establish_foreign_slot	1	1	1	1	noraze_uncapturable
1	occupation_decision_gift_to_another_faction	1	1	1	1	noraze_uncapturable
1	occupation_decision_liberate	1	1	1	1	noraze_uncapturable
0	occupation_decision_loot	0	0	0	0	noraze_uncapturable
0	occupation_decision_occupy	0	0	0	0	noraze_uncapturable
0	occupation_decision_raze	0	0	0	0	noraze_uncapturable
1	occupation_decision_raze_without_occupy	1	1	1	1	noraze_uncapturable
0	occupation_decision_resettle	0	0	0	0	noraze_uncapturable
100	occupation_decision_sack	100	100	100	100	noraze_uncapturable
0	occupation_decision_treasure_hunt	0	0	0	0	noraze_uncapturable
25	occupation_decision_vassal	25	25	25	25	noraze_uncapturable
0	occupation_decision_colonise	0	0	0	0	noraze
0	occupation_decision_do_nothing	0	0	0	0	noraze
1	occupation_decision_establish_foreign_slot	1	1	1	1	noraze
1	occupation_decision_gift_to_another_faction	1	1	1	1	noraze
1	occupation_decision_liberate	1	1	1	1	noraze
0	occupation_decision_loot	0	0	0	0	noraze
600	occupation_decision_occupy	600	600	600	600	noraze
0	occupation_decision_raze	0	0	0	0	noraze
1	occupation_decision_raze_without_occupy	1	1	1	1	noraze
0	occupation_decision_resettle	0	0	0	0	noraze
100	occupation_decision_sack	100	100	100	100	noraze
0	occupation_decision_treasure_hunt	0	0	0	0	noraze
1	occupation_decision_vassal	1	1	1	1	noraze
0	occupation_decision_colonise	0	0	0	0	raider_uncapturable
0	occupation_decision_do_nothing	0	0	0	0	raider_uncapturable
1	occupation_decision_establish_foreign_slot	1	1	1	1	raider_uncapturable
1	occupation_decision_gift_to_another_faction	1	1	1	1	raider_uncapturable
1	occupation_decision_liberate	1	1	1	1	raider_uncapturable
0	occupation_decision_loot	0	0	0	0	raider_uncapturable
0	occupation_decision_occupy	0	0	0	0	raider_uncapturable
0	occupation_decision_raze	0	0	0	0	raider_uncapturable
1	occupation_decision_raze_without_occupy	1	1	1	1	raider_uncapturable
0	occupation_decision_resettle	0	0	0	0	raider_uncapturable
1000	occupation_decision_sack	1000	1000	1000	1000	raider_uncapturable
0	occupation_decision_treasure_hunt	0	0	0	0	raider_uncapturable
1	occupation_decision_vassal	1	1	1	1	raider_uncapturable
1	occupation_decision_colonise	1	1	1	1	raider
0	occupation_decision_do_nothing	0	0	0	0	raider
100	occupation_decision_establish_foreign_slot	100	100	100	100	raider
1	occupation_decision_gift_to_another_faction	1	1	1	1	raider
1	occupation_decision_liberate	1	1	1	1	raider
0	occupation_decision_loot	0	0	0	0	raider
1	occupation_decision_occupy	1	1	1	1	raider
0	occupation_decision_raze	0	0	0	0	raider
1	occupation_decision_raze_without_occupy	1	1	1	1	raider
0	occupation_decision_resettle	0	0	0	0	raider
1000	occupation_decision_sack	1000	1000	1000	1000	raider
0	occupation_decision_treasure_hunt	0	0	0	0	raider
1	occupation_decision_vassal	1	1	1	1	raider
