cai_personality_diplomatic_event_values_tables	0
component_id	event_id	falloff	value
dlc08_challenger	CLIENT_STATE_BROKEN	50	0
dlc08_challenger	DEFENSIVE_ALLIANCE	50	0
dlc08_challenger	DEFENSIVE_ALLIANCE_BROKEN	50	0
dlc08_challenger	DEFENSIVE_ALLIANCE_PAST	50	0
dlc08_challenger	DIPLOMATIC_MARRIAGE	50	0
dlc08_challenger	DIVORCE	50	0
dlc08_challenger	FACTION_KILLED	50	0
dlc08_challenger	FACTION_LIBERATED	50	0
dlc08_challenger	HOSTILE_AGENT_ACTION	50	0
dlc08_challenger	JOINED_CONFEDERATION	50	0
dlc08_challenger	MILITARY_ACCESS	50	0
dlc08_challenger	MILITARY_ACCESS_BROKEN	50	0
dlc08_challenger	MILITARY_ACCESS_DISSOLVED	50	0
dlc08_challenger	MILITARY_ALLIANCE	50	0
dlc08_challenger	MILITARY_ALLIANCE_BROKEN	50	0
dlc08_challenger	MILITARY_ALLIANCE_PAST	50	0
dlc08_challenger	NON_AGGRESSION_PACT	50	0
dlc08_challenger	NON_AGGRESSION_PACT_BROKEN	50	0
dlc08_challenger	NON_AGGRESSION_PACT_PAST	50	0
dlc08_challenger	PEACE	50	0
dlc08_challenger	RAIDING	50	0
dlc08_challenger	REBELLED_AGAINST	50	0
dlc08_challenger	REGION_GIFT	50	0
dlc08_challenger	STATE_GIFT_ACCEPTED	50	0
dlc08_challenger	STATE_GIFT_LARGE	40	0
dlc08_challenger	STATE_GIFT_MEDIUM	20	0
dlc08_challenger	STATE_GIFT_REFUSED	50	0
dlc08_challenger	STATE_GIFT_SMALL	10	0
dlc08_challenger	TRADE_AGREEMENT	50	0
dlc08_challenger	TRADE_AGREEMENT_BROKEN	50	0
dlc08_challenger	TRADE_AGREEMENT_DISSOLVED	50	0
dlc08_challenger	TRADE_AGREEMENT_PAST	50	0
dlc08_challenger	TRESSPASSING	25	0
dlc08_challenger	TROOPS_ENSLAVED	50	0
dlc08_challenger	TROOPS_EXECUTED	50	0
dlc08_challenger	TROOPS_RELEASED	50	0
dlc08_challenger	VASSALAGE	50	0
dlc08_challenger	VASSALAGE_BROKEN	50	0
dlc08_challenger	VASSALAGE_CANCELLED	50	0
dlc08_challenger	VASSALAGE_FORCED	50	0
dlc08_challenger	WAR	50	-20
dlc08_challenger	WAR_PAST	50	-10
dlc09_tomb_kings	ALLY_REFUSED_TO_JOIN_WAR	25	-30
dlc09_tomb_kings	BATTLE_ALLY_SUPPORT_REFUSED	25	-10
dlc09_tomb_kings	BATTLE_ATTACK	10	-10
dlc09_tomb_kings	BATTLE_SUPPORT	25	10
dlc09_tomb_kings	CITY_BESIEGED	25	0
dlc09_tomb_kings	CITY_LOOTED	10	-15
dlc09_tomb_kings	CITY_OCCUPIED	10	0
dlc09_tomb_kings	CITY_RAZED	10	-40
dlc09_tomb_kings	CITY_SACKED	10	-25
dlc09_tomb_kings	CLIENT_STATE	25	10
dlc09_tomb_kings	CLIENT_STATE_BROKEN	25	-80
dlc09_tomb_kings	DEFENSIVE_ALLIANCE	25	10
dlc09_tomb_kings	DEFENSIVE_ALLIANCE_BROKEN	25	-60
dlc09_tomb_kings	DEFENSIVE_ALLIANCE_PAST	25	10
dlc09_tomb_kings	DIPLOMATIC_MARRIAGE	25	20
dlc09_tomb_kings	DIVORCE	25	-40
dlc09_tomb_kings	FACTION_KILLED	25	-60
dlc09_tomb_kings	FACTION_LIBERATED	25	50
dlc09_tomb_kings	HOSTILE_AGENT_ACTION	25	-10
dlc09_tomb_kings	JOINED_CONFEDERATION	25	0
dlc09_tomb_kings	MILITARY_ACCESS	25	0
dlc09_tomb_kings	MILITARY_ACCESS_BROKEN	25	-40
dlc09_tomb_kings	MILITARY_ACCESS_DISSOLVED	25	0
dlc09_tomb_kings	MILITARY_ALLIANCE	25	20
dlc09_tomb_kings	MILITARY_ALLIANCE_BROKEN	25	-90
dlc09_tomb_kings	MILITARY_ALLIANCE_PAST	25	20
dlc09_tomb_kings	NON_AGGRESSION_PACT	25	5
dlc09_tomb_kings	NON_AGGRESSION_PACT_BROKEN	25	-40
dlc09_tomb_kings	NON_AGGRESSION_PACT_PAST	25	5
dlc09_tomb_kings	PEACE	25	20
dlc09_tomb_kings	RAIDING	12	-10
dlc09_tomb_kings	REBELLED_AGAINST	25	-60
dlc09_tomb_kings	REGION_GIFT	25	100
dlc09_tomb_kings	STATE_GIFT_ACCEPTED	25	0
dlc09_tomb_kings	STATE_GIFT_LARGE	20	20
dlc09_tomb_kings	STATE_GIFT_MEDIUM	10	15
dlc09_tomb_kings	STATE_GIFT_REFUSED	25	-10
dlc09_tomb_kings	STATE_GIFT_SMALL	5	10
dlc09_tomb_kings	TRADE_AGREEMENT	25	10
dlc09_tomb_kings	TRADE_AGREEMENT_BROKEN	25	-30
dlc09_tomb_kings	TRADE_AGREEMENT_DISSOLVED	25	0
dlc09_tomb_kings	TRADE_AGREEMENT_PAST	25	10
dlc09_tomb_kings	TRESSPASSING	10	-10
dlc09_tomb_kings	TROOPS_ENSLAVED	10	-10
dlc09_tomb_kings	TROOPS_EXECUTED	10	-20
dlc09_tomb_kings	TROOPS_RELEASED	10	5
dlc09_tomb_kings	VASSALAGE	25	10
dlc09_tomb_kings	VASSALAGE_BROKEN	25	-80
dlc09_tomb_kings	VASSALAGE_CANCELLED	25	-50
dlc09_tomb_kings	VASSALAGE_FORCED	25	10
dlc09_tomb_kings	VORTEX_INTERVENTION	25	-20
dlc09_tomb_kings	WAR	25	-15
dlc09_tomb_kings	WAR_PAST	25	-15
holds_grudges	ALLY_REFUSED_TO_JOIN_WAR	100	-30
holds_grudges	BATTLE_ALLY_SUPPORT_REFUSED	100	-10
holds_grudges	BATTLE_ATTACK	100	-10
holds_grudges	BATTLE_SUPPORT	50	10
holds_grudges	CITY_BESIEGED	100	-10
holds_grudges	CITY_LOOTED	100	-15
holds_grudges	CITY_OCCUPIED	100	0
holds_grudges	CITY_RAZED	100	-40
holds_grudges	CITY_SACKED	100	-25
holds_grudges	CLIENT_STATE	50	10
holds_grudges	CLIENT_STATE_BROKEN	100	-100
holds_grudges	DEFENSIVE_ALLIANCE	50	0
holds_grudges	DEFENSIVE_ALLIANCE_BROKEN	100	-80
holds_grudges	DEFENSIVE_ALLIANCE_PAST	50	20
holds_grudges	DIPLOMATIC_MARRIAGE	50	20
holds_grudges	DIVORCE	100	-40
holds_grudges	FACTION_KILLED	100	-60
holds_grudges	FACTION_LIBERATED	50	50
holds_grudges	HOSTILE_AGENT_ACTION	100	-10
holds_grudges	JOINED_CONFEDERATION	50	0
holds_grudges	MILITARY_ACCESS	50	0
holds_grudges	MILITARY_ACCESS_BROKEN	100	-60
holds_grudges	MILITARY_ACCESS_DISSOLVED	100	0
holds_grudges	MILITARY_ALLIANCE	50	0
holds_grudges	MILITARY_ALLIANCE_BROKEN	100	-110
holds_grudges	MILITARY_ALLIANCE_PAST	50	30
holds_grudges	NON_AGGRESSION_PACT	50	0
holds_grudges	NON_AGGRESSION_PACT_BROKEN	100	-60
holds_grudges	NON_AGGRESSION_PACT_PAST	50	10
holds_grudges	PEACE	50	10
holds_grudges	RAIDING	100	-15
holds_grudges	REBELLED_AGAINST	50	-60
holds_grudges	REGION_GIFT	50	100
holds_grudges	STATE_GIFT_ACCEPTED	100	0
holds_grudges	STATE_GIFT_LARGE	40	40
holds_grudges	STATE_GIFT_MEDIUM	20	20
holds_grudges	STATE_GIFT_REFUSED	100	-10
holds_grudges	STATE_GIFT_SMALL	10	10
holds_grudges	TRADE_AGREEMENT	50	0
holds_grudges	TRADE_AGREEMENT_BROKEN	100	-50
holds_grudges	TRADE_AGREEMENT_DISSOLVED	100	0
holds_grudges	TRADE_AGREEMENT_PAST	50	10
holds_grudges	TRESSPASSING	50	-10
holds_grudges	TROOPS_ENSLAVED	100	-10
holds_grudges	TROOPS_EXECUTED	100	-20
holds_grudges	TROOPS_RELEASED	50	5
holds_grudges	VASSALAGE	50	10
holds_grudges	VASSALAGE_BROKEN	100	-100
holds_grudges	VASSALAGE_CANCELLED	100	-50
holds_grudges	VASSALAGE_FORCED	50	10
holds_grudges	VORTEX_INTERVENTION	100	-20
holds_grudges	WAR	100	0
holds_grudges	WAR_PAST	100	-10
