cai_region_groups_to_regions_junctions_tables	0
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_ULTHUAN	wh2_main_vor_tiranoc_salvation_isle
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_ULTHUAN	wh2_main_vor_tiranoc_the_high_vale
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_ULTHUAN	wh2_main_vor_tiranoc_tor_anroc
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_ULTHUAN	wh2_main_vor_tiranoc_whitepeak
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_ULTHUAN	wh2_main_vor_unicorn_gate
DLC10_VICTORY_CONDITIONS_SHRINE	wh2_main_eataine_lothern
DLC10_VICTORY_CONDITIONS_SHRINE	wh2_main_iron_mountains_naggarond
DLC10_VICTORY_CONDITIONS_SHRINE	wh2_main_nagarythe_shrine_of_khaine
VICTORY_CONDITION_REGIONS_BRT	wh2_main_coast_of_araby_al_haikk
VICTORY_CONDITION_REGIONS_BRT	wh2_main_coast_of_araby_copher
VICTORY_CONDITION_REGIONS_BRT	wh2_main_coast_of_araby_fyrus
VICTORY_CONDITION_REGIONS_BRT	wh_main_bastonne_et_montfort_castle_bastonne
VICTORY_CONDITION_REGIONS_BRT	wh_main_bastonne_et_montfort_montfort
VICTORY_CONDITION_REGIONS_BRT	wh_main_bordeleaux_et_aquitaine_aquitaine
VICTORY_CONDITION_REGIONS_BRT	wh_main_bordeleaux_et_aquitaine_bordeleaux
VICTORY_CONDITION_REGIONS_BRT	wh_main_carcassone_et_brionne_brionne
VICTORY_CONDITION_REGIONS_BRT	wh_main_carcassone_et_brionne_castle_carcassonne
VICTORY_CONDITION_REGIONS_BRT	wh_main_couronne_et_languille_couronne
VICTORY_CONDITION_REGIONS_BRT	wh_main_couronne_et_languille_languille
VICTORY_CONDITION_REGIONS_BRT	wh_main_forest_of_arden_castle_artois
VICTORY_CONDITION_REGIONS_BRT	wh_main_forest_of_arden_gisoreux
VICTORY_CONDITION_REGIONS_BRT	wh_main_lyonesse_lyonesse
VICTORY_CONDITION_REGIONS_BRT	wh_main_lyonesse_mousillon
VICTORY_CONDITION_REGIONS_BRT	wh_main_parravon_et_quenelles_parravon
VICTORY_CONDITION_REGIONS_BRT	wh_main_parravon_et_quenelles_quenelles
VICTORY_CONDITION_REGIONS_BST_ALLY	wh_main_athel_loren_yn_edryl_korian
VICTORY_CONDITION_REGIONS_BST_ALLY	wh_main_yn_edri_eternos_the_oak_of_ages
VICTORY_CONDITION_REGIONS_BST_CHAOS	wh_main_athel_loren_waterfall_palace
VICTORY_CONDITION_REGIONS_BST_CHAOS	wh_main_athel_loren_yn_edryl_korian
VICTORY_CONDITION_REGIONS_BST_CHAOS	wh_main_yn_edri_eternos_the_oak_of_ages
VICTORY_CONDITION_REGIONS_BST	wh_main_athel_loren_waterfall_palace
VICTORY_CONDITION_REGIONS_BST	wh_main_athel_loren_yn_edryl_korian
VICTORY_CONDITION_REGIONS_BST	wh_main_yn_edri_eternos_the_oak_of_ages
VICTORY_CONDITION_REGIONS_DEF	wh2_main_vor_caledor_vauls_anvil
VICTORY_CONDITION_REGIONS_DEF	wh2_main_vor_forest_of_the_viper_mirror_pool_of_tepok
VICTORY_CONDITION_REGIONS_DEF	wh2_main_vor_great_mortis_delta_black_pyramid_of_nagash
VICTORY_CONDITION_REGIONS_DEF	wh2_main_vor_headhunters_jungle_altar_of_the_horned_rat
VICTORY_CONDITION_REGIONS_DEF	wh2_main_vor_nagarythe_shrine_of_khaine
VICTORY_CONDITION_REGIONS_DEF	wh2_main_vor_the_black_coast_vauls_anvil
VICTORY_CONDITION_REGIONS_DEF	wh2_main_vor_the_chill_road_ghrond
VICTORY_CONDITION_REGIONS_DEF	wh2_main_vor_the_creeping_jungle_tlaxtlan
VICTORY_CONDITION_REGIONS_DEF	wh2_main_vor_the_jungles_of_the_gods_caverns_of_sotek
VICTORY_CONDITION_REGIONS_DEF	wh2_main_vor_the_red_rivers_golden_tower_of_the_gods
VICTORY_CONDITION_REGIONS_DWF	wh_main_eastern_badlands_karak_eight_peaks
VICTORY_CONDITION_REGIONS_EMP	wh2_main_northern_jungle_of_pahualaxa_port_reaver
VICTORY_CONDITION_REGIONS_EMP	wh2_main_northern_jungle_of_pahualaxa_swamp_town
VICTORY_CONDITION_REGIONS_EMP	wh_main_averland_averheim
VICTORY_CONDITION_REGIONS_EMP	wh_main_averland_grenzstadt
VICTORY_CONDITION_REGIONS_EMP	wh_main_eastern_oblast_praag
VICTORY_CONDITION_REGIONS_EMP	wh_main_eastern_oblast_volksgrad
VICTORY_CONDITION_REGIONS_EMP	wh_main_eastern_sylvania_castle_drakenhof
VICTORY_CONDITION_REGIONS_EMP	wh_main_eastern_sylvania_eschen
VICTORY_CONDITION_REGIONS_EMP	wh_main_eastern_sylvania_waldenhof
VICTORY_CONDITION_REGIONS_EMP	wh_main_hochland_brass_keep
VICTORY_CONDITION_REGIONS_EMP	wh_main_hochland_hergig
VICTORY_CONDITION_REGIONS_EMP	wh_main_middenland_carroburg
VICTORY_CONDITION_REGIONS_EMP	wh_main_middenland_middenheim
VICTORY_CONDITION_REGIONS_EMP	wh_main_middenland_weismund
VICTORY_CONDITION_REGIONS_EMP	wh_main_nordland_dietershafen
VICTORY_CONDITION_REGIONS_EMP	wh_main_nordland_salzenmund
VICTORY_CONDITION_REGIONS_EMP	wh_main_northern_oblast_fort_ostrosk
VICTORY_CONDITION_REGIONS_EMP	wh_main_northern_oblast_fort_straghov
VICTORY_CONDITION_REGIONS_EMP	wh_main_ostermark_bechafen
VICTORY_CONDITION_REGIONS_EMP	wh_main_ostermark_essen
VICTORY_CONDITION_REGIONS_EMP	wh_main_ostland_castle_von_rauken
VICTORY_CONDITION_REGIONS_EMP	wh_main_ostland_norden
VICTORY_CONDITION_REGIONS_EMP	wh_main_ostland_wolfenburg
VICTORY_CONDITION_REGIONS_EMP	wh_main_reikland_altdorf
VICTORY_CONDITION_REGIONS_EMP	wh_main_reikland_eilhart
VICTORY_CONDITION_REGIONS_EMP	wh_main_reikland_grunburg
VICTORY_CONDITION_REGIONS_EMP	wh_main_reikland_helmgart
VICTORY_CONDITION_REGIONS_EMP	wh_main_southern_oblast_fort_jakova
VICTORY_CONDITION_REGIONS_EMP	wh_main_southern_oblast_kislev
VICTORY_CONDITION_REGIONS_EMP	wh_main_southern_oblast_zavastra
VICTORY_CONDITION_REGIONS_EMP	wh_main_stirland_the_moot
VICTORY_CONDITION_REGIONS_EMP	wh_main_stirland_wurtbad
VICTORY_CONDITION_REGIONS_EMP	wh_main_talabecland_kemperbad
VICTORY_CONDITION_REGIONS_EMP	wh_main_talabecland_talabheim
VICTORY_CONDITION_REGIONS_EMP	wh_main_the_wasteland_gorssel
VICTORY_CONDITION_REGIONS_EMP	wh_main_the_wasteland_marienburg
VICTORY_CONDITION_REGIONS_EMP	wh_main_troll_country_erengrad
VICTORY_CONDITION_REGIONS_EMP	wh_main_troll_country_zoishenk
VICTORY_CONDITION_REGIONS_EMP	wh_main_western_sylvania_castle_templehof
VICTORY_CONDITION_REGIONS_EMP	wh_main_western_sylvania_fort_oberstyre
VICTORY_CONDITION_REGIONS_EMP	wh_main_western_sylvania_schwartzhafen
VICTORY_CONDITION_REGIONS_EMP	wh_main_wissenland_nuln
VICTORY_CONDITION_REGIONS_EMP	wh_main_wissenland_pfeildorf
VICTORY_CONDITION_REGIONS_EMP	wh_main_wissenland_wissenburg
VICTORY_CONDITION_REGIONS_GRN	wh_main_eastern_badlands_karak_eight_peaks
VICTORY_CONDITION_REGIONS_HEF	wh2_main_vor_caledor_vauls_anvil
VICTORY_CONDITION_REGIONS_HEF	wh2_main_vor_eataine_angerrial
VICTORY_CONDITION_REGIONS_HEF	wh2_main_vor_forest_of_the_viper_mirror_pool_of_tepok
VICTORY_CONDITION_REGIONS_HEF	wh2_main_vor_great_mortis_delta_black_pyramid_of_nagash
VICTORY_CONDITION_REGIONS_HEF	wh2_main_vor_headhunters_jungle_altar_of_the_horned_rat
VICTORY_CONDITION_REGIONS_HEF	wh2_main_vor_nagarythe_shrine_of_khaine
VICTORY_CONDITION_REGIONS_HEF	wh2_main_vor_straits_of_lothern_glittering_tower
VICTORY_CONDITION_REGIONS_HEF	wh2_main_vor_straits_of_lothern_tower_of_lysean
VICTORY_CONDITION_REGIONS_HEF	wh2_main_vor_the_black_coast_vauls_anvil
VICTORY_CONDITION_REGIONS_HEF	wh2_main_vor_the_chill_road_ghrond
VICTORY_CONDITION_REGIONS_HEF	wh2_main_vor_the_creeping_jungle_tlaxtlan
VICTORY_CONDITION_REGIONS_HEF	wh2_main_vor_the_jungles_of_the_gods_caverns_of_sotek
VICTORY_CONDITION_REGIONS_HEF	wh2_main_vor_the_red_rivers_golden_tower_of_the_gods
VICTORY_CONDITION_REGIONS_KHALIDA	wh2_main_devils_backbone_lahmia
VICTORY_CONDITION_REGIONS_KHALIDA	wh2_main_shifting_sands_ka-sabar
VICTORY_CONDITION_REGIONS_KHALIDA	wh2_main_vampire_coast_the_awakening
VICTORY_CONDITION_REGIONS_KHALIDA	wh2_main_vor_shifting_sands_ka-sabar
VICTORY_CONDITION_REGIONS_KHALIDA	wh2_main_vor_the_vampire_coast_the_awakening
VICTORY_CONDITION_REGIONS_KHALIDA	wh_main_eastern_sylvania_castle_drakenhof
VICTORY_CONDITION_REGIONS_KHALIDA	wh_main_western_sylvania_castle_templehof
VICTORY_CONDITION_REGIONS_LZD	wh2_main_vor_caledor_vauls_anvil
VICTORY_CONDITION_REGIONS_LZD	wh2_main_vor_forest_of_the_viper_mirror_pool_of_tepok
VICTORY_CONDITION_REGIONS_LZD	wh2_main_vor_great_mortis_delta_black_pyramid_of_nagash
VICTORY_CONDITION_REGIONS_LZD	wh2_main_vor_headhunters_jungle_altar_of_the_horned_rat
VICTORY_CONDITION_REGIONS_LZD	wh2_main_vor_nagarythe_shrine_of_khaine
VICTORY_CONDITION_REGIONS_LZD	wh2_main_vor_the_black_coast_vauls_anvil
VICTORY_CONDITION_REGIONS_LZD	wh2_main_vor_the_chill_road_ghrond
VICTORY_CONDITION_REGIONS_LZD	wh2_main_vor_the_creeping_jungle_tlaxtlan
VICTORY_CONDITION_REGIONS_LZD	wh2_main_vor_the_jungles_of_the_gods_caverns_of_sotek
VICTORY_CONDITION_REGIONS_LZD	wh2_main_vor_the_red_rivers_golden_tower_of_the_gods
VICTORY_CONDITION_REGIONS_OAK_OF_AGES	wh_main_yn_edri_eternos_the_oak_of_ages
VICTORY_CONDITION_REGIONS_SKV	wh2_main_vor_caledor_vauls_anvil
VICTORY_CONDITION_REGIONS_SKV	wh2_main_vor_forest_of_the_viper_mirror_pool_of_tepok
VICTORY_CONDITION_REGIONS_SKV	wh2_main_vor_great_mortis_delta_black_pyramid_of_nagash
VICTORY_CONDITION_REGIONS_SKV	wh2_main_vor_headhunters_jungle_altar_of_the_horned_rat
VICTORY_CONDITION_REGIONS_SKV	wh2_main_vor_nagarythe_shrine_of_khaine
VICTORY_CONDITION_REGIONS_SKV	wh2_main_vor_the_black_coast_vauls_anvil
VICTORY_CONDITION_REGIONS_SKV	wh2_main_vor_the_chill_road_ghrond
VICTORY_CONDITION_REGIONS_SKV	wh2_main_vor_the_creeping_jungle_tlaxtlan
VICTORY_CONDITION_REGIONS_SKV	wh2_main_vor_the_jungles_of_the_gods_caverns_of_sotek
VICTORY_CONDITION_REGIONS_SKV	wh2_main_vor_the_red_rivers_golden_tower_of_the_gods
VICTORY_CONDITION_REGIONS_TMB	wh2_main_ash_river_numas
VICTORY_CONDITION_REGIONS_TMB	wh2_main_great_desert_of_araby_black_tower_of_arkhan
VICTORY_CONDITION_REGIONS_TMB	wh2_main_great_mortis_delta_black_pyramid_of_nagash
VICTORY_CONDITION_REGIONS_TMB	wh2_main_land_of_assassins_sorcerers_islands
VICTORY_CONDITION_REGIONS_TMB	wh2_main_land_of_the_dead_khemri
VICTORY_CONDITION_REGIONS_TMB	wh2_main_vor_ash_river_numas
VICTORY_CONDITION_REGIONS_TMB	wh2_main_vor_isthmus_of_lustria_hexoatl
VICTORY_CONDITION_REGIONS_TMB	wh2_main_vor_land_of_assassins_sorcerers_islands
VICTORY_CONDITION_REGIONS_TMB	wh2_main_vor_land_of_the_dead_black_pyramid_of_nagash
VICTORY_CONDITION_REGIONS_TMB	wh2_main_vor_land_of_the_dead_khemri
VICTORY_CONDITION_REGIONS_TMB	wh2_main_vor_naggarond_naggarond
VICTORY_CONDITION_REGIONS_TMB	wh2_main_vor_straits_of_lothern_lothern
VICTORY_CONDITION_REGIONS_TMB	wh2_main_vor_the_great_desert_black_tower_of_arkhan
