resource_cost_trade_resource_junctions_tables	0
wh2_dlc09_ritual_crafting_tmb_enchanted_item_ouroboros	res_animals
wh2_dlc09_ritual_crafting_tmb_enchanted_item_ouroboros	res_obsidian
wh2_dlc09_ritual_crafting_tmb_enchanted_item_ouroboros	res_rom_marble
wh2_dlc09_ritual_crafting_tmb_enchanted_item_potion_of_foolhardiness	res_rom_lead
wh2_dlc09_ritual_crafting_tmb_enchanted_item_potion_of_speed	res_animals
wh2_dlc09_ritual_crafting_tmb_enchanted_item_potion_of_strength	res_spices
wh2_dlc09_ritual_crafting_tmb_enchanted_item_potion_of_toughness	res_medicine
wh2_dlc09_ritual_crafting_tmb_enchanted_item_shroud_of_sokth	res_obsidian
wh2_dlc09_ritual_crafting_tmb_enchanted_item_shroud_of_sokth	res_rom_furs
wh2_dlc09_ritual_crafting_tmb_enchanted_item_vambraces_of_the_sun	res_gems
wh2_dlc09_ritual_crafting_tmb_enchanted_item_vambraces_of_the_sun	res_gold_idols
wh2_dlc09_ritual_crafting_tmb_enchanted_item_vambraces_of_the_sun	res_obsidian
wh2_dlc09_ritual_crafting_tmb_enchanted_item_vambraces_of_the_sun	res_rom_wine
wh2_dlc09_ritual_crafting_tmb_necropolis_knights	res_animals
wh2_dlc09_ritual_crafting_tmb_necropolis_knights	res_gold_idols
wh2_dlc09_ritual_crafting_tmb_necropolis_knights	res_rom_iron
wh2_dlc09_ritual_crafting_tmb_nehekhara_horsemen	res_gold_idols
wh2_dlc09_ritual_crafting_tmb_nehekhara_horsemen	res_rom_iron
wh2_dlc09_ritual_crafting_tmb_nehekhara_warriors	res_gold_idols
wh2_dlc09_ritual_crafting_tmb_talisman_amulet_of_pha_stah	res_dyes
wh2_dlc09_ritual_crafting_tmb_talisman_amulet_of_pha_stah	res_gems
wh2_dlc09_ritual_crafting_tmb_talisman_amulet_of_pha_stah	res_gold_idols
wh2_dlc09_ritual_crafting_tmb_talisman_amulet_of_pha_stah	res_rom_marble
wh2_dlc09_ritual_crafting_tmb_talisman_collar_of_shakkara	res_gems
wh2_dlc09_ritual_crafting_tmb_talisman_collar_of_shakkara	res_gold_idols
wh2_dlc09_ritual_crafting_tmb_talisman_collar_of_shakkara	res_rom_wine
wh2_dlc09_ritual_crafting_tmb_talisman_dawnstone	res_rom_marble
wh2_dlc09_ritual_crafting_tmb_talisman_golden_ankhra	res_gold_idols
wh2_dlc09_ritual_crafting_tmb_talisman_golden_ankhra	res_rom_furs
wh2_dlc09_ritual_crafting_tmb_talisman_golden_eye_of_rah_nutt	res_gold_idols
wh2_dlc09_ritual_crafting_tmb_talisman_golden_eye_of_rah_nutt	res_rom_timber
wh2_dlc09_ritual_crafting_tmb_talisman_obsidian_lodestone	res_obsidian
wh2_dlc09_ritual_crafting_tmb_talisman_obsidian_lodestone	res_rom_lead
wh2_dlc09_ritual_crafting_tmb_weapon_blade_of_antarhak	res_rom_lead
wh2_dlc09_ritual_crafting_tmb_weapon_blade_of_antarhak	res_rom_marble
wh2_dlc09_ritual_crafting_tmb_weapon_blade_of_mourning_fire	res_rom_iron
wh2_dlc09_ritual_crafting_tmb_weapon_blade_of_mourning_fire	res_rom_lead
wh2_dlc09_ritual_crafting_tmb_weapon_blade_of_mourning_fire	res_spices
wh2_dlc09_ritual_crafting_tmb_weapon_blade_of_setep	res_obsidian
wh2_dlc09_ritual_crafting_tmb_weapon_blade_of_setep	res_rom_iron
wh2_dlc09_ritual_crafting_tmb_weapon_crook_and_flail_of_radiance	res_gems
wh2_dlc09_ritual_crafting_tmb_weapon_crook_and_flail_of_radiance	res_gold_idols
wh2_dlc09_ritual_crafting_tmb_weapon_crook_and_flail_of_radiance	res_obsidian
wh2_dlc09_ritual_crafting_tmb_weapon_crook_and_flail_of_radiance	res_rom_iron
wh2_dlc09_ritual_crafting_tmb_weapon_destroyer_of_eternities	res_medicine
wh2_dlc09_ritual_crafting_tmb_weapon_destroyer_of_eternities	res_obsidian
wh2_dlc09_ritual_crafting_tmb_weapon_destroyer_of_eternities	res_rom_iron
wh2_dlc09_ritual_crafting_tmb_weapon_double_crescent_of_neru	res_rom_iron
wh2_dlc09_ritual_crafting_tmb_weapon_double_crescent_of_neru	res_rom_marble
wh2_dlc09_ritual_crafting_tmb_weapon_enchanted_lapis_mace	res_gems
wh2_dlc09_ritual_crafting_tmb_weapon_fang_of_quaph	res_medicine
wh2_dlc09_ritual_crafting_tmb_weapon_golden_dagger	res_gold_idols
wh2_dlc09_ritual_crafting_tmb_weapon_inscribed_khopesh	res_rom_iron
wh2_dlc09_ritual_crafting_tmb_weapon_spear_of_pakth	res_rom_iron
wh2_dlc09_ritual_crafting_tmb_weapon_spear_of_pakth	res_rom_lead
wh2_dlc10_dwf_ritual_armour_adamant_plate	res_dyes
wh2_dlc10_dwf_ritual_armour_adamant_plate	res_rom_furs
wh2_dlc10_dwf_ritual_armour_adamant_plate	res_rom_iron
wh2_dlc10_dwf_ritual_armour_anvil_of_the_deep	res_gems
wh2_dlc10_dwf_ritual_armour_anvil_of_the_deep	res_gold_idols
wh2_dlc10_dwf_ritual_armour_anvil_of_the_deep	res_rom_wine
wh2_dlc10_dwf_ritual_armour_forgeproven_gromril_armour	res_gold_idols
wh2_dlc10_dwf_ritual_armour_guardians_plate	res_rom_iron
wh2_dlc10_dwf_ritual_armour_helm_of_resistance	res_dyes
wh2_dlc10_dwf_ritual_armour_helm_of_sanctuary	res_gems
wh2_dlc10_dwf_ritual_armour_helm_of_sanctuary	res_rom_iron
wh2_dlc10_dwf_ritual_armour_mail_of_concealment	res_rom_furs
wh2_dlc10_dwf_ritual_armour_shield_of_preservation	res_rom_iron
wh2_dlc10_dwf_ritual_armour_shield_of_preservation	res_rom_wine
wh2_dlc10_dwf_ritual_armour_wailing_mail	res_dyes
wh2_dlc10_dwf_ritual_armour_wailing_mail	res_rom_furs
wh2_dlc10_dwf_ritual_enchanted_item_belt_of_survival	res_rom_furs
wh2_dlc10_dwf_ritual_enchanted_item_belt_of_survival	res_rom_timber
wh2_dlc10_dwf_ritual_enchanted_item_boots_of_swiftness	res_dyes
wh2_dlc10_dwf_ritual_enchanted_item_boots_of_swiftness	res_spices
wh2_dlc10_dwf_ritual_enchanted_item_bracers_of_evasion	res_animals
wh2_dlc10_dwf_ritual_enchanted_item_crown_of_courage	res_medicine
wh2_dlc10_dwf_ritual_enchanted_item_everlasting_pint	res_rom_glass
wh2_dlc10_dwf_ritual_enchanted_item_everlasting_pint	res_rom_textiles
wh2_dlc10_dwf_ritual_enchanted_item_gauntlets_of_urgency	res_rom_iron
wh2_dlc10_dwf_ritual_enchanted_item_horn_of_the_ancestors	res_gold_idols
wh2_dlc10_dwf_ritual_enchanted_item_horn_of_the_ancestors	res_rom_furs
wh2_dlc10_dwf_ritual_enchanted_item_horn_of_the_ancestors	res_rom_textiles
wh2_dlc10_dwf_ritual_enchanted_item_sceptre_of_stone	res_gems
wh2_dlc10_dwf_ritual_enchanted_item_sceptre_of_stone	res_rom_marble
wh2_dlc10_dwf_ritual_enchanted_item_sceptre_of_stone	res_rom_timber
wh2_dlc10_dwf_ritual_enchanted_item_spotters_spyglass	res_rom_lead
wh2_dlc10_dwf_ritual_talisman_amulet_of_stone	res_rom_lead
wh2_dlc10_dwf_ritual_talisman_amulet_of_stone	res_rom_marble
wh2_dlc10_dwf_ritual_talisman_amulet_of_wrath	res_gems
wh2_dlc10_dwf_ritual_talisman_forgemasters_ring	res_spices
wh2_dlc10_dwf_ritual_talisman_protector_of_the_valiant	res_gold_idols
wh2_dlc10_dwf_ritual_talisman_protector_of_the_valiant	res_rom_lead
wh2_dlc10_dwf_ritual_talisman_protector_of_the_valiant	res_rom_marble
wh2_dlc10_dwf_ritual_talisman_ratcleaver_amulet	res_gems
wh2_dlc10_dwf_ritual_talisman_ratcleaver_amulet	res_obsidian
wh2_dlc10_dwf_ritual_talisman_ring_of_ancestral_wisdom	res_gold_idols
wh2_dlc10_dwf_ritual_talisman_ring_of_spite	res_rom_wine
wh2_dlc10_dwf_ritual_talisman_ring_of_vengeance	res_dyes
wh2_dlc10_dwf_ritual_talisman_ring_of_vengeance	res_gems
wh2_dlc10_dwf_ritual_talisman_ring_of_vengeance	res_rom_lead
wh2_dlc10_dwf_ritual_talisman_talisman_wardstone	res_gold_idols
wh2_dlc10_dwf_ritual_talisman_talisman_wardstone	res_rom_textiles
wh2_dlc10_dwf_ritual_weapon_axe_of_frostfall	res_rom_iron
wh2_dlc10_dwf_ritual_weapon_axe_of_frostfall	res_rom_marble
wh2_dlc10_dwf_ritual_weapon_axe_of_fury	res_obsidian
wh2_dlc10_dwf_ritual_weapon_elfbane	res_gems
wh2_dlc10_dwf_ritual_weapon_elfbane	res_rom_lead
wh2_dlc10_dwf_ritual_weapon_elfbane	res_rom_marble
wh2_dlc10_dwf_ritual_weapon_grim_resolve	res_obsidian
wh2_dlc10_dwf_ritual_weapon_grim_resolve	res_rom_timber
wh2_dlc10_dwf_ritual_weapon_hammer_of_eight_peaks	res_rom_marble
wh2_dlc10_dwf_ritual_weapon_oathhammer	res_rom_iron
wh2_dlc10_dwf_ritual_weapon_oathhammer	res_rom_timber
wh2_dlc10_dwf_ritual_weapon_pickaxe_of_breaking	res_gems
wh2_dlc10_dwf_ritual_weapon_starbreaker	res_gems
wh2_dlc10_dwf_ritual_weapon_starbreaker	res_obsidian
wh2_dlc10_dwf_ritual_weapon_starbreaker	res_rom_iron
wh2_dlc10_dwf_ritual_weapon_trollslayer_axe	res_rom_iron
