campaign_effect_scopes_tables	2
key	location	ownership	source	target	territory
grombrindal_force_to_force_enemy_provincewide	provincewide	enemy	force	force	any
grombrindal_force_to_province	provincewide	yours	force	province	any
grombrindal_force_to_region	regionwide	yours	force	region	any
navy_to_navy_own	forcewide	yours	navy	navy	any
province_to_army_own	provincewide	yours	faction	army	any
province_to_character_enemy	provincewide	enemy	province	character	any
province_to_character_own	provincewide	yours	province	character	any
province_to_character_own_text	provincewide	yours	province	character	any
province_to_character_when_commanding_army_own_unseen	provincewide	yours	province	character_when_commanding_army	any
province_to_faction	factionwide	yours	province	faction	any
province_to_faction_unseen	factionwide	yours	province	faction	any
province_to_force_any_provincewide	provincewide	any	province	force	any
province_to_force_enemy_provincewide	provincewide	enemy	province	force	any
province_to_force_own_factionwide	factionwide	yours	province	force	any
province_to_force_own_provincewide	provincewide	yours	province	force	any
province_to_force_own_provincewide_unseen	provincewide	yours	province	force	any
province_to_province_adjacent	neighbour_faction_province	yours	province	province	any
province_to_province_adjacent_unseen	neighbour_faction_province	yours	province	province	any
province_to_province_own	provincewide	yours	province	province	any
province_to_province_own_factionwide	factionwide	yours	province	province	any
province_to_region_own	provincewide	yours	province	region	any
province_to_region_own_factionwide	factionwide	yours	province	region	any
province_to_region_own_provincewide	provincewide	yours	province	region	any
province_to_region_own_unseen	provincewide	yours	province	region	any
province_to_regions_own_in_adjacent_province	neighbour_faction_province	yours	province	region	any
province_to_sea_region_own	sea_regionwide	yours	province	sea_region	any
region_to_character_any	regionwide	any	region	character	any
region_to_character_enemy	regionwide	enemy	faction	character	any
region_to_character_enemy_text	regionwide	enemy	region	character	any
region_to_character_own	regionwide	yours	region	character	any
region_to_character_own_text	regionwide	allied	region	character	any
region_to_faction_own	factionwide	yours	region	faction	any
region_to_force_any	regionwide	any	region	force	any
region_to_force_enemy	regionwide	enemy	region	force	any
region_to_force_own	regionwide	yours	region	force	any
region_to_force_own_unseen	regionwide	yours	region	force	any
region_to_province_own	provincewide	yours	region	province	any
region_to_region_own	regionwide	yours	region	region	any
region_to_region_own_factionwide	factionwide	yours	region	region	any
region_to_region_own_provincewide	provincewide	yours	region	region	any
region_to_region_own_text	regionwide	yours	region	region	any
this_building	factionwide	yours	building	building	any
tretch_faction_to_force	factionwide	yours	faction	force	any
