cdir_events_dilemma_option_junctions_tables	2
dilemma_key	id	option_key	value
wh2_main_dilemma_loyalty_positive_skv_when_rats_fly	1076193932	CND_FIRST_ROUND	1
wh2_dlc09_tmb_dilemma_sinking_pyramid	1076547542	CND_ROUNDS_UNTIL_NEXT	40
wh2_main_dilemma_loyalty_def_the_purge_1	1077084478	CND_FIRST_ROUND	1
wh2_dlc11_dilemma_neo_encounter_at_sea_4_a_nor	107914248	VAR_CHANCE	100
wh2_dlc09_great_vortex_tmb_settra_the_crown_of_nehekhara_stage_3	1079801295	GEN_TARGET_CHARACTER	
wh2_main_hef_intrigue_the_would_be_suitor	1083671182	GEN_CND_FACTION	wh2_main_hef_ellyrion
wh2_main_dilemma_loyalty_positive_def_the_alchemist	1084572122	GEN_TARGET_MODEL	
wh2_main_dilemma_loyalty_positive_skv_clawback_provision	1085622416	CND_ROUNDS_UNTIL_NEXT	10
wh2_dlc09_tmb_dilemma_almighty_monuments	1089431880	VAR_CHANCE	6
wh2_dlc09_tmb_dilemma_sinking_pyramid	1094193803	GEN_TARGET_NONE	
wh2_main_dilemma_loyalty_skv_pestilential_proposition_1	1094255485	CND_FIRST_ROUND	1
wh2_dlc11_cst_dilemma_ancient_treasure	1095887926	GEN_CND_FACTION_NEIGHBOURS	
wh2_dlc11_dilemma_neo_encounter_at_sea_4_a	1097245697	GEN_TARGET_NONE	
wh2_main_lzd_the_greater_good	1097654482	CND_ROUNDS_UNTIL_NEXT	20
wh2_dlc09_tmb_arkhan_the_tomb_blade_of_arkhan_stage_2	1102106990	VAR_CHANCE	100
wh2_main_dilemma_loyalty_positive_def_a_tribute	1105209769	CND_FIRST_ROUND	1
wh2_dlc11_th_puzzle_3_4	1106059969	VAR_FOLLOWUP_CHANCE	100
wh_dlc08_nor_the_dying_skald	1106875037	CND_FACTION	wh_dlc08_nor_norsca
wh2_dlc08_confederate_wh_dlc08_nor_norsca	1106967146	GEN_TARGET_FACTION	
wh2_main_def_names_of_power_co_6_hydra	1107563897	VAR_CHANCE	100
wh2_dlc11_th_puzzle_1_2	1108583275	VAR_FOLLOWUP_CHANCE	100
wh2_main_lzd_ways_and_means	1111520985	CND_ROUNDS_UNTIL_NEXT	20
wh2_dlc09_agent_choice	1115908804	VAR_CHANCE	100
wh2_dlc11_cst_dilemma_ocean_of_opportunities	1117054035	CND_FIRST_ROUND	40
wh2_dlc11_cst_dilemma_shyish_wanes	1118723384	CND_HAS_ARMY	
wh2_dlc11_th_puzzle_1_3	1118735944	GEN_CND_HUMAN	
wh2_main_dilemma_loyalty_def_price_of_treachery_1	1119118327	VAR_CHANCE	100
wh2_main_dilemma_loyalty_skv_rattus_ex_machina_1	1120355715	CND_CULTURE	wh2_main_skv_skaven
wh2_dlc09_tmb_dilemma_soulless_sphinx	1123772204	GEN_TARGET_NONE	
wh2_main_dilemma_loyalty_skv_rattus_ex_machina_2_a	1124294921	VAR_CHANCE	100
wh2_main_dilemma_loyalty_skv_rattus_ex_machina_1	1124533198	CND_FIRST_ROUND	1
wh2_dlc09_tmb_dilemma_almighty_monuments	1125379611	CND_FIRST_ROUND	12
wh2_dlc11_th_puzzle_4_5	1131397634	VAR_FOLLOWUP_CHANCE	100
wh_dlc07_brt_confederation_lyonesse	1133410745	VAR_CHANCE	100
wh2_main_dilemma_loyalty_skv_the_skavenblight_question_1	1134138025	GEN_TARGET_MODEL	
wh2_main_dilemma_loyalty_positive_skv_item_of_power	1134285501	CND_CULTURE	wh2_main_skv_skaven
wh2_main_hef_intrigue_they_who_whisper	1134763204	VAR_CHANCE	5
wh_dlc08_nor_monster_hunt_4_dilemma_reward	1134950244	GEN_TARGET_NONE	
wh2_main_hef_intrigue_the_caledor_question	1135251485	VAR_CHANCE	5
wh2_main_dilemma_loyalty_positive_skv_shiny_scale_stuff	1136091397	CND_CULTURE	wh2_main_skv_skaven
wh2_dlc11_th_puzzle_2_2	1136381765	GEN_TARGET_MODEL	
wh2_dlc11_th_puzzle_4_6	1137401317	VAR_CHANCE	100
wh2_main_dilemma_loyalty_skv_rattus_ex_machina_1	1138115618	GEN_TARGET_MODEL	
wh2_dlc08_confederate_wh_main_nor_varg	113954912	GEN_CND_FACTION	wh_main_nor_varg
wh2_dlc11_th_puzzle_1_1	1143687337	GEN_TARGET_MODEL	
wh2_dlc09_skv_tretch_lucky_skullhelm_stage_3	1145068752	VAR_CHANCE	100
wh2_main_dilemma_loyalty_positive_def_the_black_council	1145292980	CND_CULTURE	wh2_main_def_dark_elves
wh2_dlc10_sword_of_khaine_pick_or_not	1146703397	GEN_CND_HUMAN	
wh2_dlc10_qb_nor_monster_hunt_8_stage_2	1148402238	VAR_FOLLOWUP_CHANCE	100
wh2_dlc11_th_puzzle_2_3	1151789026	GEN_CND_HUMAN	
wh2_dlc10_qb_nor_monster_hunt_8_stage_2	1152829685	GEN_TARGET_NONE	 
wh2_main_lzd_one_shot	1154403711	CND_ROUNDS_UNTIL_NEXT	20
wh2_main_dilemma_loyalty_positive_skv_loyal_musk	1154950530	CND_ROUNDS_UNTIL_NEXT	10
wh2_main_def_names_of_power_co_3_smith	1156064520	VAR_CHANCE	100
wh2_main_dilemma_loyalty_skv_rattus_ex_machina_2_a	1158236835	CND_CULTURE	wh2_main_skv_skaven
wh2_main_hef_intrigue_whispers_of_the_mourning_chorus	115938915	GEN_CND_DIPLOMACY_AVAILABLE	
wh2_dlc08_confederate_wh2_main_nor_aghol	1160691855	VAR_CHANCE	100
wh2_main_hef_intrigue_wed_to_etiquette	1160793686	GEN_TARGET_NONE	
wh2_dlc10_sword_of_khaine_lv3	1161751754	VAR_FOLLOWUP_CHANCE	100
wh2_dlc09_tmb_dilemma_crumbling_buildings	1162069860	CND_ROUNDS_UNTIL_NEXT	40
wh2_dlc11_th_puzzle_3_2	1163423414	VAR_CHANCE	100
wh2_main_hef_intrigue_the_court_of_many_kings	1167104996	CND_MIN_TREASURY	3000
wh2_main_dilemma_loyalty_skv_pestilential_proposition_2_a	1167830473	CND_DILEMMA_CHOSEN_FIRST	wh2_main_dilemma_loyalty_skv_pestilential_proposition_1
wh2_main_hef_intrigue_court_of_the_sea	1169621810	VAR_CHANCE	5
wh2_dlc11_cst_dilemma_great_naval_battle	1171938348	CND_ROUNDS_UNTIL_NEXT	60
wh2_main_dilemma_loyalty_def_sorceror_delinquent_1	1173825780	CND_CULTURE	wh2_main_def_dark_elves
wh_dlc08_nor_the_dying_skald	1174401490	CND_FIRST_ROUND	15
wh2_main_hef_intrigue_the_caledor_question	1175522744	GEN_CND_FACTION	wh2_main_hef_caledor
wh2_main_dilemma_loyalty_skv_pestilential_proposition_1	1177324561	VAR_CHANCE	100
wh2_main_dilemma_loyalty_def_blessing_of_khaine_1	1179221406	VAR_CHANCE	100
wh2_main_dilemma_loyalty_positive_skv_connivers	1181779388	CND_ROUNDS_UNTIL_NEXT	10
wh2_main_dilemma_loyalty_skv_moulder_and_scurry_2_b	1184045662	VAR_CHANCE	100
wh2_main_hef_intrigue_life_in_the_lagoon	1184866344	GEN_TARGET_NONE	
wh2_dlc11_cst_dilemma_camp_fortune	1186223497	VAR_CHANCE	40
wh2_main_dilemma_loyalty_skv_skavenslave_revolt_2_a	1187038233	CND_CULTURE	wh2_main_skv_skaven
wh2_dlc11_cst_dilemma_camp_fortune	1190977464	CND_FIRST_ROUND	6
wh_dlc08_nor_avalanche	1194010419	GEN_TARGET_NONE	
wh2_main_hef_intrigue_whispers_of_the_mourning_chorus	1194582887	CND_ROUNDS_UNTIL_NEXT	20
wh2_main_hef_intrigue_life_in_the_lagoon	1195682755	CND_FACTION	wh2_main_hef_order_of_loremasters
wh2_dlc11_th_puzzle_1_2	1195938206	GEN_TARGET_MODEL	
wh2_main_def_names_of_power_co_1_potion	1198624182	GEN_TARGET_MODEL	
wh2_dlc11_th_puzzle_1_2	1202682898	GEN_CND_HUMAN	
wh2_main_lzd_war_babies	1204400731	CND_ROUNDS_UNTIL_NEXT	20
wh2_dlc11_th_puzzle_2_1	1204633674	VAR_FOLLOWUP_CHANCE	100
wh2_main_hef_intrigue_whispers_of_the_mourning_chorus	1204798345	CND_FACTION	wh2_main_hef_avelorn
wh2_dlc08_confederate_wh_dlc08_nor_helspire_tribe	1205154537	GEN_TARGET_FACTION	
wh2_dlc11_th_puzzle_3_6	120841760	VAR_CHANCE	100
wh2_main_dilemma_loyalty_positive_skv_loyal_musk	1209547113	CND_FIRST_ROUND	1
wh_dlc08_nor_monster_hunt_7_dilemma_reward	1210888897	GEN_TARGET_NONE	
wh_dlc07_brt_confederation_parravon	1211353088	VAR_CHANCE	100
wh2_main_dilemma_loyalty_positive_def_assassin	1211534266	CND_FIRST_ROUND	1
wh2_dlc08_confederate_wh_main_nor_aesling	1211597038	GEN_CND_FACTION	wh_main_nor_aesling
wh2_dlc11_th_puzzle_1_9	1212028369	VAR_CHANCE	100
wh_dlc07_brt_confederation_carcassonne	1212493597	GEN_TARGET_NONE	
wh_dlc07_brt_confederation_bretonnia	1214107225	VAR_CHANCE	100
wh2_dlc11_dilemma_neo_encounter_at_sea_1_b	1214295514	VAR_CHANCE	100
wh2_dlc11_cst_dilemma_shipping_ledger	1216061490	CND_FIRST_ROUND	10
wh2_main_hef_intrigue_favour_of_the_phoenix	1218175427	CND_FIRST_ROUND	5
wh2_main_dilemma_loyalty_positive_skv_so_so_pretty	1220383955	CND_ROUNDS_UNTIL_NEXT	10
wh2_main_hef_intrigue_wed_to_etiquette	1222302736	CND_FACTION	wh2_main_hef_eataine
wh_dlc08_nor_grim_visions	1223757660	CND_FACTION	wh_dlc08_nor_wintertooth
wh2_main_dilemma_loyalty_def_sorceror_delinquent_1	122497540	CND_FIRST_ROUND	1
wh_dlc07_brt_confederation_bordeleaux	1225406378	VAR_CHANCE	100
wh2_dlc11_th_puzzle_2_7	1226844919	GEN_CND_HUMAN	
wh2_main_def_names_of_power_ar_4_beast	1230139485	GEN_TARGET_MODEL	
wh2_main_lzd_magic_for_blades	1239480377	CND_HAS_AGENT	wizard
wh2_main_dilemma_loyalty_skv_call_of_the_horned_rat_2_a	1241386884	CND_CULTURE	wh2_main_skv_skaven
wh2_dlc11_th_puzzle_2_8	1243612009	VAR_FOLLOWUP_CHANCE	100
wh2_dlc11_cst_dilemma_grim_tidings	1244508952	CND_HAS_ARMY	
wh2_dlc11_th_puzzle_1_4	1247233295	VAR_CHANCE	100
wh2_dlc09_tmb_settra_the_crown_of_nehekhara_stage_3	1250342876	VAR_CHANCE	100
wh2_dlc11_dilemma_neo_encounter_at_sea_1_c	1251152075	GEN_TARGET_NONE	
wh_dlc08_nor_hidden_fissure	1251206680	CND_FIRST_ROUND	7
wh2_dlc09_tmb_dilemma_crumbling_buildings	1252023546	GEN_TARGET_REGION	
wh2_dlc09_tmb_dilemma_sinking_pyramid	1253721545	CND_CULTURE	wh2_dlc09_tmb_tomb_kings
wh2_dlc10_sword_of_khaine_lv3	1253726002	GEN_TARGET_NONE	
wh2_main_dilemma_loyalty_positive_def_insurgents	1254736639	CND_CULTURE	wh2_main_def_dark_elves
wh2_dlc11_th_puzzle_4_9	1258474686	GEN_CND_HUMAN	
wh2_dlc11_th_puzzle_3_8	1259348664	VAR_FOLLOWUP_CHANCE	100
wh2_dlc11_th_puzzle_4_6	1266667618	GEN_TARGET_MODEL	
wh2_dlc09_tmb_dilemma_lost_tombs	1268466986	VAR_CHANCE	5
wh2_dlc11_th_puzzle_3_9	1269590509	VAR_FOLLOWUP_CHANCE	100
wh_dlc08_nor_monster_hunt_5_dilemma_reward	1270004114	GEN_TARGET_NONE	
wh2_dlc11_th_puzzle_1_2	1273357601	VAR_CHANCE	100
wh2_dlc11_th_puzzle_1_1	1278218130	VAR_FOLLOWUP_CHANCE	100
wh2_dlc11_th_puzzle_1_7	1278546695	VAR_FOLLOWUP_CHANCE	100
wh2_main_dilemma_loyalty_skv_shades_of_grey_2_a	1281957790	CND_DILEMMA_CHOSEN_FIRST	wh2_main_dilemma_loyalty_skv_shades_of_grey_1
wh2_main_lzd_a_tainted_bounty	1282190799	VAR_CHANCE	10
wh_dlc08_nor_hidden_fissure	1282377677	CND_FACTION	wh_dlc08_nor_wintertooth
wh2_dlc11_th_puzzle_3_12	1282943130	VAR_FOLLOWUP_CHANCE	100
wh2_dlc11_vor_cst_dilemma_ocean_of_opportunities	1284542852	CND_NOT_MULTIPLAYER	
wh2_dlc11_cst_dilemma_great_golden_idol	1284987608	GEN_TARGET_FACTION	
wh2_dlc11_th_puzzle_4_8	1287123604	VAR_CHANCE	100
wh2_main_dilemma_loyalty_skv_shades_of_grey_2_a	1287521395	CND_CULTURE	wh2_main_skv_skaven
wh2_dlc11_th_puzzle_1_5	1288013068	VAR_FOLLOWUP_CHANCE	100
wh2_main_dilemma_loyalty_positive_def_the_black_council	1296335306	CND_ROUNDS_UNTIL_NEXT	10
wh2_dlc09_tmb_settra_the_crown_of_nehekhara_stage_3	1296898494	GEN_TARGET_CHARACTER	
wh2_dlc11_cst_dilemma_pirate_haven	1303136454	VAR_CHANCE	12
wh2_dlc11_th_puzzle_2_12	1303348831	GEN_TARGET_MODEL	
wh2_dlc11_dilemma_neo_encounter_at_sea_1_a	1303591160	GEN_TARGET_NONE	
wh_dlc08_nor_blood_iron	1304793367	VAR_CHANCE	3
wh2_dlc11_th_puzzle_1_4	1305100293	GEN_TARGET_MODEL	
wh2_main_dilemma_loyalty_positive_skv_connivers	1305231903	CND_CULTURE	wh2_main_skv_skaven
wh_dlc08_nor_hidden_fissure	1305594352	VAR_CHANCE	3
wh2_dlc09_tmb_dilemma_scaly_sacrifice	1308177915	CND_ROUNDS_UNTIL_NEXT	40
wh2_dlc11_th_puzzle_3_6	1309614079	VAR_FOLLOWUP_CHANCE	100
wh2_main_dilemma_loyalty_positive_skv_test_of_loyalty	1313036774	GEN_TARGET_MODEL	
wh2_dlc11_great_vortex_cst_cylostra_the_bordeleaux_flabellum_stage_4	1318085732	VAR_FOLLOWUP_CHANCE	100
wh2_main_dilemma_loyalty_positive_def_assassin	1319203864	CND_CULTURE	wh2_main_def_dark_elves
wh_dlc07_brt_confederation_artois	1321173496	VAR_CHANCE	100
wh2_main_dilemma_loyalty_positive_def_the_audience	1322776148	CND_FIRST_ROUND	1
wh2_dlc09_tmb_dilemma_soulless_sphinx	132707739	CND_ROUNDS_UNTIL_NEXT	40
wh2_dlc11_cst_dilemma_rotten_wood	1329123967	VAR_CHANCE	4
wh_dlc08_nor_bestial_servants	1329811324	CND_FACTION	wh_dlc08_nor_wintertooth
wh2_dlc11_th_puzzle_4_7	133245919	GEN_TARGET_MODEL	
wh2_main_hef_intrigue_the_hunt_and_the_hunter	1332801506	GEN_CND_FACTION	wh2_main_hef_chrace
wh2_dlc09_tmb_dilemma_scaly_sacrifice	1335715259	VAR_CHANCE	3
wh2_main_hef_intrigue_life_in_the_lagoon	1336893406	CND_FACTION	wh2_main_hef_avelorn
wh2_main_lzd_ways_and_means	1339297610	GEN_TARGET_NONE	
wh2_main_dilemma_loyalty_skv_the_skavenblight_question_2_b	1341579910	CND_CULTURE	wh2_main_skv_skaven
wh2_main_hef_intrigue_the_hunt_and_the_hunter	134235158	CND_FACTION	wh2_main_hef_order_of_loremasters
wh2_main_dilemma_loyalty_positive_skv_a_noise_problem	1345254243	CND_FIRST_ROUND	1
wh2_main_def_names_of_power_ar_4_beast	1345483988	VAR_CHANCE	100
wh2_main_dilemma_loyalty_positive_def_the_statue	1345978340	CND_FIRST_ROUND	1
wh2_main_dilemma_loyalty_positive_def_the_dagger	1346388306	CND_FIRST_ROUND	1
wh2_dlc08_confederate_wh_main_nor_baersonling	1346910995	VAR_CHANCE	100
wh2_main_dilemma_loyalty_def_sunless_seas_1	1346914628	CND_ROUNDS_UNTIL_NEXT	10
wh2_main_lzd_one_shot	1347560324	CND_CULTURE	wh2_main_lzd_lizardmen
wh_dlc08_nor_surfeit_of_loot	1351666667	CND_FACTION	wh_dlc08_nor_norsca
wh2_dlc11_cst_dilemma_grim_tidings	1354086570	CND_ROUNDS_UNTIL_NEXT	60
wh2_main_dilemma_loyalty_positive_skv_connivers	1360870622	VAR_CHANCE	100
wh2_main_dilemma_loyalty_positive_skv_connivers	1363252101	GEN_TARGET_MODEL	
wh2_main_hef_intrigue_retainer_of_power	1363394982	CND_FIRST_ROUND	5
wh2_main_dilemma_loyalty_positive_def_wrongly_accused	1364939882	CND_ROUNDS_UNTIL_NEXT	10
wh2_dlc11_th_puzzle_1_5	136761646	VAR_CHANCE	100
wh2_main_dilemma_loyalty_positive_skv_clawback_provision	1368525460	CND_CULTURE	wh2_main_skv_skaven
wh2_dlc09_tmb_dilemma_almighty_monuments	1370767138	CND_MIN_WAR	1
wh2_dlc11_th_puzzle_4_6	1371079573	VAR_FOLLOWUP_CHANCE	100
wh2_main_dilemma_loyalty_skv_what_we_do_in_the_shadows_1	1374848753	CND_FIRST_ROUND	1
wh2_dlc10_sword_of_khaine_lv1	1375970752	GEN_CND_HUMAN	
wh2_main_dilemma_loyalty_positive_def_the_curse_of_kurnous	1376059476	VAR_CHANCE	100
wh2_main_hef_intrigue_the_would_be_suitor	1376130340	CND_MIN_TREASURY	1500
wh2_dlc11_cst_dilemma_great_golden_idol	1376428710	GEN_CND_CULTURE	wh2_main_lzd_lizardmen
wh_dlc07_brt_confederation_lyonesse	1377055877	GEN_TARGET_NONE	
wh2_main_lzd_the_greater_good	1378878468	CND_CULTURE	wh2_main_lzd_lizardmen
wh2_main_lzd_reclaiming_the_lost_world	137900127	CND_CULTURE	wh2_main_lzd_lizardmen
wh2_main_dilemma_loyalty_skv_rattus_ex_machina_2_b	137964227	CND_CULTURE	wh2_main_skv_skaven
wh2_main_hef_intrigue_the_would_be_suitor	1380536429	GEN_TARGET_FACTION	
wh2_main_dilemma_loyalty_positive_def_the_alchemist	1387254033	CND_ROUNDS_UNTIL_NEXT	10
wh2_main_dilemma_loyalty_skv_what_we_do_in_the_shadows_1	1388503309	CND_CULTURE	wh2_main_skv_skaven
wh2_main_dilemma_loyalty_def_price_of_treachery_1	1390482514	CND_CULTURE	wh2_main_def_dark_elves
wh2_main_lzd_one_shot	1392341788	VAR_CHANCE	10
wh2_main_lzd_a_deadly_price	1393313148	VAR_CHANCE	10
wh2_main_lzd_new_blood	139662174	CND_NOT_HAS_AGENT	champion
wh2_main_dilemma_loyalty_positive_def_the_traitors	1396912012	CND_FIRST_ROUND	1
wh2_main_lzd_skilled_forces	139808641	GEN_TARGET_NONE	
wh_dlc08_nor_monster_hunt_6_dilemma_reward	1398609065	GEN_TARGET_NONE	
wh_dlc08_nor_bestial_servants	1399732585	CND_FIRST_ROUND	10
wh2_dlc09_great_vortex_tmb_settra_the_crown_of_nehekhara_stage_3	140325472	VAR_FOLLOWUP_CHANCE	100
wh2_dlc09_tmb_dilemma_drying_rivers	1404161528	CND_MIN_TRADE	2
wh_dlc08_nor_sacrificial_altars	1405123967	CND_FIRST_ROUND	10
wh2_main_hef_intrigue_the_caledor_question	1405903542	CND_MIN_TREASURY	1500
wh2_main_dilemma_grand_campaign_victory_arkhan	1406054130	VAR_CHANCE	100
wh2_dlc11_dilemma_neo_encounter_at_sea_3_b	1409147807	VAR_CHANCE	100
wh2_dlc11_cst_dilemma_great_golden_idol	1414228056	VAR_CHANCE	8
wh2_main_lzd_knowledge_regained	1415813204	CND_HAS_AGENT	wizard
wh2_main_dilemma_loyalty_def_price_of_treachery_1	1418277032	CND_ROUNDS_UNTIL_NEXT	10
wh2_dlc11_th_puzzle_2_7	1418862924	GEN_TARGET_MODEL	
wh2_dlc11_th_puzzle_2_5	141899896	GEN_TARGET_MODEL	
wh2_main_hef_intrigue_signed_sealed_delivered	1419347816	GEN_TARGET_NONE	
wh2_main_dilemma_loyalty_skv_rattus_ex_machina_1	1419392686	VAR_CHANCE	100
wh2_main_dilemma_loyalty_skv_moulder_and_scurry_2_a	1419556378	CND_DILEMMA_CHOSEN_FIRST	wh2_main_dilemma_loyalty_skv_moulder_and_scurry_1
wh_dlc08_nor_eager_for_blood	142129009	VAR_CHANCE	2
wh2_main_hef_intrigue_signed_sealed_delivered	142217786	VAR_CHANCE	5
wh2_main_lzd_born_killers	1426213803	CND_FIRST_ROUND	6
wh2_dlc11_cst_dilemma_ocean_of_opportunities	1429982450	CND_NOT_MULTIPLAYER	
wh2_dlc11_th_puzzle_1_5	1430430856	GEN_CND_HUMAN	
wh2_main_dilemma_loyalty_skv_call_of_the_horned_rat_2_a	1433307894	GEN_TARGET_PARENT	
wh2_dlc11_th_puzzle_3_9	1434064252	GEN_CND_HUMAN	
wh2_main_hef_intrigue_the_would_be_suitor	1434616103	CND_FIRST_ROUND	5
wh2_main_lzd_reclaiming_the_lost_world	143656549	CND_MIN_TREASURY	4000
wh2_main_dilemma_loyalty_positive_def_the_beastmaster	1440201557	CND_CULTURE	wh2_main_def_dark_elves
wh2_dlc11_th_puzzle_2_6	1440231627	VAR_CHANCE	100
wh2_main_dilemma_encounter_at_sea_4_a	1441257840	VAR_FOLLOWUP_CHANCE	100
wh2_dlc11_th_puzzle_2_4	1444040083	GEN_TARGET_MODEL	
wh_dlc08_nor_sacrificial_altars	1444483893	CND_FACTION	wh_dlc08_nor_wintertooth
wh2_main_dilemma_encounter_at_sea_3_a	1444553148	VAR_FOLLOWUP_CHANCE	100
wh2_main_hef_intrigue_the_would_be_suitor	1446672219	CND_FACTION	wh2_main_hef_avelorn
wh2_main_hef_intrigue_the_hunt_and_the_hunter	1449547183	GEN_CND_DIPLOMACY_AVAILABLE	
wh2_dlc09_tmb_arkhan_the_tomb_blade_of_arkhan_stage_2	1451400565	VAR_FOLLOWUP_CHANCE	100
wh2_main_dilemma_encounter_at_sea_2_a	145234784	VAR_CHANCE	100
wh2_main_hef_intrigue_the_folly_of_youth	1452667467	GEN_TARGET_NONE	
wh2_main_dilemma_loyalty_skv_call_of_the_horned_rat_2_b	1453320386	CND_DILEMMA_CHOSEN_SECOND	wh2_main_dilemma_loyalty_skv_call_of_the_horned_rat_1
wh2_dlc09_tmb_dilemma_scaly_sacrifice	1454203872	CND_CULTURE	wh2_dlc09_tmb_tomb_kings
wh2_main_lzd_new_blood	1454628023	CND_CAN_RECRUIT_UNIT	wh2_main_lzd_inf_saurus_warriors_0
wh2_main_lzd_a_deadly_price	1456153448	CND_ROUNDS_UNTIL_NEXT	20
wh2_dlc08_confederate_wh_main_nor_baersonling	1457777955	GEN_TARGET_FACTION	
wh2_main_dilemma_loyalty_skv_what_we_do_in_the_shadows_1	145837335	CND_ROUNDS_UNTIL_NEXT	10
