units_custom_battle_mounts_tables	1
wh2_dlc10_def_cha_sorceress_death_0	ui/campaign ui/mounts/mount_cold_one.png	wh2_dlc10_def_cha_sorceress_death_2
wh2_dlc10_def_cha_sorceress_death_0	ui/campaign ui/mounts/mount_dark_pegasus.png	wh2_dlc10_def_cha_sorceress_death_3
wh2_dlc10_def_cha_supreme_sorceress_beasts_0	ui/campaign ui/mounts/mount_dark_steed.png	wh2_dlc10_def_cha_supreme_sorceress_beasts_1
wh2_dlc10_def_cha_supreme_sorceress_beasts_0	ui/campaign ui/mounts/mount_cold_one.png	wh2_dlc10_def_cha_supreme_sorceress_beasts_2
wh2_dlc10_def_cha_supreme_sorceress_beasts_0	ui/campaign ui/mounts/mount_dark_pegasus.png	wh2_dlc10_def_cha_supreme_sorceress_beasts_3
wh2_dlc10_def_cha_supreme_sorceress_beasts_0	ui/campaign ui/mounts/mount_manticore.png	wh2_dlc10_def_cha_supreme_sorceress_beasts_4
wh2_dlc10_def_cha_supreme_sorceress_beasts_0	ui/campaign ui/mounts/mount_black_dragon.png	wh2_dlc10_def_cha_supreme_sorceress_beasts_5
wh2_dlc10_def_cha_supreme_sorceress_dark_0	ui/campaign ui/mounts/mount_dark_steed.png	wh2_dlc10_def_cha_supreme_sorceress_dark_1
wh2_dlc10_def_cha_supreme_sorceress_dark_0	ui/campaign ui/mounts/mount_cold_one.png	wh2_dlc10_def_cha_supreme_sorceress_dark_2
wh2_dlc10_def_cha_supreme_sorceress_dark_0	ui/campaign ui/mounts/mount_dark_pegasus.png	wh2_dlc10_def_cha_supreme_sorceress_dark_3
wh2_dlc10_def_cha_supreme_sorceress_dark_0	ui/campaign ui/mounts/mount_manticore.png	wh2_dlc10_def_cha_supreme_sorceress_dark_4
wh2_dlc10_def_cha_supreme_sorceress_dark_0	ui/campaign ui/mounts/mount_black_dragon.png	wh2_dlc10_def_cha_supreme_sorceress_dark_5
wh2_dlc10_def_cha_supreme_sorceress_death_0	ui/campaign ui/mounts/mount_dark_steed.png	wh2_dlc10_def_cha_supreme_sorceress_death_1
wh2_dlc10_def_cha_supreme_sorceress_death_0	ui/campaign ui/mounts/mount_cold_one.png	wh2_dlc10_def_cha_supreme_sorceress_death_2
wh2_dlc10_def_cha_supreme_sorceress_death_0	ui/campaign ui/mounts/mount_dark_pegasus.png	wh2_dlc10_def_cha_supreme_sorceress_death_3
wh2_dlc10_def_cha_supreme_sorceress_death_0	ui/campaign ui/mounts/mount_manticore.png	wh2_dlc10_def_cha_supreme_sorceress_death_4
wh2_dlc10_def_cha_supreme_sorceress_death_0	ui/campaign ui/mounts/mount_black_dragon.png	wh2_dlc10_def_cha_supreme_sorceress_death_5
wh2_dlc10_def_cha_supreme_sorceress_fire_0	ui/campaign ui/mounts/mount_dark_steed.png	wh2_dlc10_def_cha_supreme_sorceress_fire_1
wh2_dlc10_def_cha_supreme_sorceress_fire_0	ui/campaign ui/mounts/mount_cold_one.png	wh2_dlc10_def_cha_supreme_sorceress_fire_2
wh2_dlc10_def_cha_supreme_sorceress_fire_0	ui/campaign ui/mounts/mount_dark_pegasus.png	wh2_dlc10_def_cha_supreme_sorceress_fire_3
wh2_dlc10_def_cha_supreme_sorceress_fire_0	ui/campaign ui/mounts/mount_manticore.png	wh2_dlc10_def_cha_supreme_sorceress_fire_4
wh2_dlc10_def_cha_supreme_sorceress_fire_0	ui/campaign ui/mounts/mount_black_dragon.png	wh2_dlc10_def_cha_supreme_sorceress_fire_5
wh2_dlc10_def_cha_supreme_sorceress_shadow_0	ui/campaign ui/mounts/mount_dark_steed.png	wh2_dlc10_def_cha_supreme_sorceress_shadow_1
wh2_dlc10_def_cha_supreme_sorceress_shadow_0	ui/campaign ui/mounts/mount_cold_one.png	wh2_dlc10_def_cha_supreme_sorceress_shadow_2
wh2_dlc10_def_cha_supreme_sorceress_shadow_0	ui/campaign ui/mounts/mount_dark_pegasus.png	wh2_dlc10_def_cha_supreme_sorceress_shadow_3
wh2_dlc10_def_cha_supreme_sorceress_shadow_0	ui/campaign ui/mounts/mount_manticore.png	wh2_dlc10_def_cha_supreme_sorceress_shadow_4
wh2_dlc10_def_cha_supreme_sorceress_shadow_0	ui/campaign ui/mounts/mount_black_dragon.png	wh2_dlc10_def_cha_supreme_sorceress_shadow_5
wh2_dlc10_hef_cha_alarielle_the_radiant_0	ui/campaign ui/mounts/mount_elven_steed.png	wh2_dlc10_hef_cha_alarielle_the_radiant_1
wh2_dlc10_hef_cha_alarielle_the_radiant_0	ui/campaign ui/mounts/mount_barded_ithilmar_steed.png	wh2_dlc10_hef_cha_alarielle_the_radiant_2
wh2_dlc10_hef_cha_alarielle_the_radiant_0	ui/campaign ui/mounts/mount_great_eagle.png	wh2_dlc10_hef_cha_alarielle_the_radiant_3
wh2_dlc10_hef_cha_handmaiden_0	ui/campaign ui/mounts/mount_elven_steed.png	wh2_dlc10_hef_cha_handmaiden_1
wh2_dlc10_hef_cha_handmaiden_0	ui/campaign ui/mounts/mount_barded_ithilmar_steed.png	wh2_dlc10_hef_cha_handmaiden_2
wh2_dlc10_hef_cha_mage_heavens_0	ui/campaign ui/mounts/mount_elven_steed.png	wh2_dlc10_hef_cha_mage_heavens_1
wh2_dlc10_hef_cha_mage_heavens_0	ui/campaign ui/mounts/mount_ithilmar_chariot.png	wh2_dlc10_hef_cha_mage_heavens_2
wh2_dlc10_hef_cha_mage_shadows_0	ui/campaign ui/mounts/mount_elven_steed.png	wh2_dlc10_hef_cha_mage_shadows_1
wh2_dlc10_hef_cha_mage_shadows_0	ui/campaign ui/mounts/mount_ithilmar_chariot.png	wh2_dlc10_hef_cha_mage_shadows_2
wh2_dlc11_cst_cha_aranessa_0	ui/campaign ui/mounts/mount_promethean.png	wh2_dlc11_cst_cha_aranessa_1
wh2_dlc11_cst_cha_cylostra_direfin_0	ui/campaign ui/mounts/mount_leviathon.png	wh2_dlc11_cst_cha_cylostra_direfin_1
wh2_dlc11_cst_cha_damned_paladin_0	ui/campaign ui/mounts/mount_barded_warhorse.png	wh2_dlc11_cst_cha_damned_paladin_1
wh2_dlc11_cst_cha_gunnery_wight_0	ui/campaign ui/mounts/mount_promethean.png	wh2_dlc11_cst_cha_gunnery_wight_1
wh2_dlc11_cst_cha_luthor_harkon_0	ui/campaign ui/mounts/mount_terrorgheist.png	wh2_dlc11_cst_cha_luthor_harkon_1
wh2_dlc11_cst_cha_vampire_fleet_admiral_0	ui/campaign ui/mounts/mount_promethean.png	wh2_dlc11_cst_cha_vampire_fleet_admiral_1
wh2_dlc11_cst_cha_vampire_fleet_admiral_death_0	ui/campaign ui/mounts/mount_promethean.png	wh2_dlc11_cst_cha_vampire_fleet_admiral_death_1
wh2_dlc11_cst_cha_vampire_fleet_admiral_deeps_0	ui/campaign ui/mounts/mount_promethean.png	wh2_dlc11_cst_cha_vampire_fleet_admiral_deeps_1
wh2_dlc11_cst_cha_vampire_fleet_admiral_female_0	ui/campaign ui/mounts/mount_promethean.png	wh2_dlc11_cst_cha_vampire_fleet_admiral_female_1
wh2_dlc11_cst_cha_vampire_fleet_admiral_female_death_0	ui/campaign ui/mounts/mount_promethean.png	wh2_dlc11_cst_cha_vampire_fleet_admiral_female_death_1
wh2_dlc11_cst_cha_vampire_fleet_admiral_female_deeps_0	ui/campaign ui/mounts/mount_promethean.png	wh2_dlc11_cst_cha_vampire_fleet_admiral_female_deeps_1
wh2_dlc11_cst_cha_vampire_fleet_captain_0	ui/campaign ui/mounts/mount_promethean.png	wh2_dlc11_cst_cha_vampire_fleet_captain_1
wh2_dlc11_cst_cha_vampire_fleet_captain_death_0	ui/campaign ui/mounts/mount_promethean.png	wh2_dlc11_cst_cha_vampire_fleet_captain_death_1
wh2_dlc11_cst_cha_vampire_fleet_captain_deeps_0	ui/campaign ui/mounts/mount_promethean.png	wh2_dlc11_cst_cha_vampire_fleet_captain_deeps_1
wh2_dlc11_cst_inf_count_noctilus_0	ui/campaign ui/mounts/mount_necrofex.png	wh2_dlc11_cst_inf_count_noctilus_1
wh2_dlc11_def_cha_lokhir_fellheart_0	ui/campaign ui/mounts/mount_black_dragon.png	wh2_dlc11_def_cha_lokhir_fellheart_1
wh2_dlc11_vmp_cha_bloodline_blood_dragon_lord_0	ui/campaign ui/mounts/mount_barded_nightmare.png	wh2_dlc11_vmp_cha_bloodline_blood_dragon_lord_1
wh2_dlc11_vmp_cha_bloodline_blood_dragon_lord_0	ui/campaign ui/mounts/mount_hellsteed.png	wh2_dlc11_vmp_cha_bloodline_blood_dragon_lord_2
wh2_dlc11_vmp_cha_bloodline_blood_dragon_lord_0	ui/campaign ui/mounts/mount_zombie_dragon.png	wh2_dlc11_vmp_cha_bloodline_blood_dragon_lord_3
wh2_dlc11_vmp_cha_bloodline_lahmian_lord_0	ui/campaign ui/mounts/mount_barded_nightmare.png	wh2_dlc11_vmp_cha_bloodline_lahmian_lord_1
wh2_dlc11_vmp_cha_bloodline_lahmian_lord_0	ui/campaign ui/mounts/mount_hellsteed.png	wh2_dlc11_vmp_cha_bloodline_lahmian_lord_2
wh2_dlc11_vmp_cha_bloodline_lahmian_lord_0	ui/campaign ui/mounts/mount_zombie_dragon.png	wh2_dlc11_vmp_cha_bloodline_lahmian_lord_3
wh2_dlc11_vmp_cha_bloodline_necrarch_lord_0	ui/campaign ui/mounts/mount_barded_nightmare.png	wh2_dlc11_vmp_cha_bloodline_necrarch_lord_1
wh2_dlc11_vmp_cha_bloodline_necrarch_lord_0	ui/campaign ui/mounts/mount_hellsteed.png	wh2_dlc11_vmp_cha_bloodline_necrarch_lord_2
wh2_dlc11_vmp_cha_bloodline_necrarch_lord_0	ui/campaign ui/mounts/mount_zombie_dragon.png	wh2_dlc11_vmp_cha_bloodline_necrarch_lord_3
wh2_dlc11_vmp_cha_bloodline_strigoi_lord_0	ui/campaign ui/mounts/mount_terrorgheist.png	wh2_dlc11_vmp_cha_bloodline_strigoi_lord_1
wh2_dlc11_vmp_cha_bloodline_von_carstein_lord_0	ui/campaign ui/mounts/mount_barded_nightmare.png	wh2_dlc11_vmp_cha_bloodline_von_carstein_lord_1
wh2_dlc11_vmp_cha_bloodline_von_carstein_lord_0	ui/campaign ui/mounts/mount_hellsteed.png	wh2_dlc11_vmp_cha_bloodline_von_carstein_lord_2
wh2_dlc11_vmp_cha_bloodline_von_carstein_lord_0	ui/campaign ui/mounts/mount_zombie_dragon.png	wh2_dlc11_vmp_cha_bloodline_von_carstein_lord_3
wh2_dlc12_lzd_cha_skink_chief_red_crested_0	ui/campaign ui/mounts/mount_horned_one.png	wh2_dlc12_lzd_cha_skink_chief_red_crested_1
wh2_dlc12_lzd_cha_skink_chief_red_crested_0	ui/campaign ui/mounts/mount_ripperdactyl.png	wh2_dlc12_lzd_cha_skink_chief_red_crested_2
wh2_dlc12_lzd_cha_skink_chief_red_crested_0	ui/campaign ui/mounts/mount_ancient_stegadon.png	wh2_dlc12_lzd_cha_skink_chief_red_crested_3
wh2_dlc12_lzd_cha_tehenhauin_0	ui/campaign ui/mounts/mount_horned_one.png	wh2_dlc12_lzd_cha_tehenhauin_1
wh2_dlc12_lzd_cha_tehenhauin_0	ui/campaign ui/mounts/mount_ripperdactyl.png	wh2_dlc12_lzd_cha_tehenhauin_2
wh2_dlc12_lzd_cha_tehenhauin_0	ui/campaign ui/mounts/mount_stegadon_engine_gods.png	wh2_dlc12_lzd_cha_tehenhauin_3
wh2_dlc12_skv_cha_ikit_claw_0	ui/campaign ui/mounts/mount_doom_flayer.png	wh2_dlc12_skv_cha_ikit_claw_1
wh2_dlc12_skv_cha_ikit_claw_0	ui/campaign ui/mounts/mount_doom_wheel.png	wh2_dlc12_skv_cha_ikit_claw_2
wh2_dlc12_skv_cha_warlock_master_0	ui/campaign ui/mounts/mount_doom_flayer.png	wh2_dlc12_skv_cha_warlock_master_1
wh2_dlc12_skv_cha_warlock_master_0	ui/campaign ui/mounts/mount_doom_wheel.png	wh2_dlc12_skv_cha_warlock_master_2
wh2_main_def_cha_death_hag_0	ui/campaign ui/mounts/mount_cauldron_of_blood.png	wh2_main_def_cha_death_hag_1
wh2_main_def_cha_dreadlord_0	ui/campaign ui/mounts/mount_dark_steed.png	wh2_main_def_cha_dreadlord_1
wh2_main_def_cha_dreadlord_0	ui/campaign ui/mounts/mount_cold_one.png	wh2_main_def_cha_dreadlord_2
wh2_main_def_cha_dreadlord_0	ui/campaign ui/mounts/mount_black_dragon.png	wh2_main_def_cha_dreadlord_4
wh2_main_def_cha_dreadlord_0	ui/campaign ui/mounts/mount_dark_pegasus.png	wh2_main_def_cha_dreadlord_5
wh2_main_def_cha_dreadlord_female_0	ui/campaign ui/mounts/mount_dark_steed.png	wh2_main_def_cha_dreadlord_female_1
wh2_main_def_cha_dreadlord_female_0	ui/campaign ui/mounts/mount_cold_one.png	wh2_main_def_cha_dreadlord_female_2
wh2_main_def_cha_dreadlord_female_0	ui/campaign ui/mounts/mount_black_dragon.png	wh2_main_def_cha_dreadlord_female_4
wh2_main_def_cha_dreadlord_female_0	ui/campaign ui/mounts/mount_dark_pegasus.png	wh2_main_def_cha_dreadlord_female_5
wh2_main_def_cha_malekith_0	ui/campaign ui/mounts/mount_cold_one.png	wh2_main_def_cha_malekith_1
wh2_main_def_cha_malekith_0	ui/campaign ui/mounts/mount_cold_one_chariot.png	wh2_main_def_cha_malekith_2
wh2_main_def_cha_malekith_0	ui/campaign ui/mounts/mount_black_dragon.png	wh2_main_def_cha_malekith_3
wh2_main_def_cha_morathi_0	ui/campaign ui/mounts/mount_dark_pegasus.png	wh2_main_def_cha_morathi_1
wh2_main_def_cha_sorceress_dark_0	ui/campaign ui/mounts/mount_dark_steed.png	wh2_main_def_cha_sorceress_dark_1
wh2_main_def_cha_sorceress_dark_0	ui/campaign ui/mounts/mount_cold_one.png	wh2_main_def_cha_sorceress_dark_2
wh2_main_def_cha_sorceress_dark_0	ui/campaign ui/mounts/mount_dark_pegasus.png	wh2_main_def_cha_sorceress_dark_3
wh2_main_def_cha_sorceress_fire_0	ui/campaign ui/mounts/mount_dark_steed.png	wh2_main_def_cha_sorceress_fire_1
wh2_main_def_cha_sorceress_fire_0	ui/campaign ui/mounts/mount_cold_one.png	wh2_main_def_cha_sorceress_fire_2
wh2_main_def_cha_sorceress_fire_0	ui/campaign ui/mounts/mount_dark_pegasus.png	wh2_main_def_cha_sorceress_fire_3
wh2_main_def_cha_sorceress_shadow_0	ui/campaign ui/mounts/mount_dark_steed.png	wh2_main_def_cha_sorceress_shadow_1
wh2_main_def_cha_sorceress_shadow_0	ui/campaign ui/mounts/mount_cold_one.png	wh2_main_def_cha_sorceress_shadow_2
wh2_main_def_cha_sorceress_shadow_0	ui/campaign ui/mounts/mount_dark_pegasus.png	wh2_main_def_cha_sorceress_shadow_3
wh2_main_hef_cha_alastair_0	ui/campaign ui/mounts/mount_great_eagle.png	wh2_main_hef_cha_alastair_3
wh2_main_hef_cha_alastair_0	ui/campaign ui/mounts/mount_sun_dragon.png	wh2_main_hef_cha_alastair_4
wh2_main_hef_cha_alastair_0	ui/campaign ui/mounts/mount_star_dragon.png	wh2_main_hef_cha_alastair_5
wh2_main_hef_cha_mage_high_0	ui/campaign ui/mounts/mount_elven_steed.png	wh2_main_hef_cha_mage_high_1
wh2_main_hef_cha_mage_high_0	ui/campaign ui/mounts/mount_ithilmar_chariot.png	wh2_main_hef_cha_mage_high_4
wh2_main_hef_cha_mage_life_0	ui/campaign ui/mounts/mount_elven_steed.png	wh2_main_hef_cha_mage_life_1
wh2_main_hef_cha_mage_life_0	ui/campaign ui/mounts/mount_ithilmar_chariot.png	wh2_main_hef_cha_mage_life_4
wh2_main_hef_cha_mage_light_0	ui/campaign ui/mounts/mount_elven_steed.png	wh2_main_hef_cha_mage_light_1
wh2_main_hef_cha_mage_light_0	ui/campaign ui/mounts/mount_ithilmar_chariot.png	wh2_main_hef_cha_mage_light_4
wh2_main_hef_cha_noble_0	ui/campaign ui/mounts/mount_barded_ithilmar_steed.png	wh2_main_hef_cha_noble_2
wh2_main_hef_cha_noble_0	ui/campaign ui/mounts/mount_great_eagle.png	wh2_main_hef_cha_noble_3
wh2_main_hef_cha_noble_0	ui/campaign ui/mounts/mount_ithilmar_chariot.png	wh2_main_hef_cha_noble_4
wh2_main_hef_cha_prince_0	ui/campaign ui/mounts/mount_barded_ithilmar_steed.png	wh2_main_hef_cha_prince_2
wh2_main_hef_cha_prince_0	ui/campaign ui/mounts/mount_great_eagle.png	wh2_main_hef_cha_prince_3
wh2_main_hef_cha_prince_0	ui/campaign ui/mounts/mount_sun_dragon.png	wh2_main_hef_cha_prince_4
wh2_main_hef_cha_prince_0	ui/campaign ui/mounts/mount_star_dragon.png	wh2_main_hef_cha_prince_5
wh2_main_hef_cha_princess_0	ui/campaign ui/mounts/mount_elven_steed.png	wh2_main_hef_cha_princess_1
wh2_main_hef_cha_princess_0	ui/campaign ui/mounts/mount_great_eagle.png	wh2_main_hef_cha_princess_3
wh2_main_hef_cha_princess_0	ui/campaign ui/mounts/mount_moon_dragon.png	wh2_main_hef_cha_princess_4
wh2_main_hef_cha_princess_0	ui/campaign ui/mounts/mount_star_dragon.png	wh2_main_hef_cha_princess_5
wh2_main_hef_cha_teclis_0	ui/campaign ui/mounts/mount_barded_ithilmar_steed.png	wh2_main_hef_cha_teclis_1
wh2_main_hef_cha_tyrion_0	ui/campaign ui/mounts/mount_elven_steed.png	wh2_main_hef_cha_tyrion_1
wh2_main_lzd_cha_kroq_gar_0	ui/campaign ui/mounts/mount_grymloq.png	wh2_main_lzd_cha_kroq_gar_1
wh2_main_lzd_cha_kroq_gar_0	ui/campaign ui/mounts/mount_cold_one.png	wh2_main_lzd_cha_kroq_gar_2
wh2_main_lzd_cha_kroq_gar_0	ui/campaign ui/mounts/mount_horned_one.png	wh2_main_lzd_cha_kroq_gar_3
wh2_main_lzd_cha_lord_mazdamundi_0	ui/campaign ui/mounts/mount_ancient_stegadon.png	wh2_main_lzd_cha_lord_mazdamundi_1
wh2_main_lzd_cha_saurus_old_blood_0	ui/campaign ui/mounts/mount_cold_one.png	wh2_main_lzd_cha_saurus_old_blood_1
wh2_main_lzd_cha_saurus_old_blood_0	ui/campaign ui/mounts/mount_carnosaur.png	wh2_main_lzd_cha_saurus_old_blood_2
wh2_main_lzd_cha_saurus_scar_veteran_0	ui/campaign ui/mounts/mount_cold_one.png	wh2_main_lzd_cha_saurus_scar_veteran_1
wh2_main_lzd_cha_saurus_scar_veteran_0	ui/campaign ui/mounts/mount_carnosaur.png	wh2_main_lzd_cha_saurus_scar_veteran_2
wh2_main_lzd_cha_skink_chief_0	ui/campaign ui/mounts/mount_terradon.png	wh2_main_lzd_cha_skink_chief_1
wh2_main_lzd_cha_skink_chief_0	ui/campaign ui/mounts/mount_stegadon.png	wh2_main_lzd_cha_skink_chief_2
wh2_main_lzd_cha_skink_chief_0	ui/campaign ui/mounts/mount_ancient_stegadon.png	wh2_main_lzd_cha_skink_chief_3
wh2_main_lzd_cha_skink_priest_beasts_0	ui/campaign ui/mounts/mount_stegadon_engine_gods.png	wh2_dlc12_lzd_cha_skink_priest_beasts_4
wh2_main_lzd_cha_skink_priest_beasts_0	ui/campaign ui/mounts/mount_terradon.png	wh2_main_lzd_cha_skink_priest_beasts_1
wh2_main_lzd_cha_skink_priest_beasts_0	ui/campaign ui/mounts/mount_stegadon.png	wh2_main_lzd_cha_skink_priest_beasts_2
wh2_main_lzd_cha_skink_priest_beasts_0	ui/campaign ui/mounts/mount_ancient_stegadon.png	wh2_main_lzd_cha_skink_priest_beasts_3
wh2_main_lzd_cha_skink_priest_heavens_0	ui/campaign ui/mounts/mount_stegadon_engine_gods.png	wh2_dlc12_lzd_cha_skink_priest_heavens_4
wh2_main_lzd_cha_skink_priest_heavens_0	ui/campaign ui/mounts/mount_terradon.png	wh2_main_lzd_cha_skink_priest_heavens_1
wh2_main_lzd_cha_skink_priest_heavens_0	ui/campaign ui/mounts/mount_stegadon.png	wh2_main_lzd_cha_skink_priest_heavens_2
wh2_main_lzd_cha_skink_priest_heavens_0	ui/campaign ui/mounts/mount_ancient_stegadon.png	wh2_main_lzd_cha_skink_priest_heavens_3
wh2_main_skv_cha_grey_seer_plague_0	ui/campaign ui/mounts/mount_screaming_bell.png	wh2_main_skv_cha_grey_seer_plague_1
wh2_main_skv_cha_grey_seer_ruin_0	ui/campaign ui/mounts/mount_screaming_bell.png	wh2_main_skv_cha_grey_seer_ruin_1
wh2_main_skv_cha_plague_priest_0	ui/campaign ui/mounts/mount_plague_furnace.png	wh2_main_skv_cha_plague_priest_2
wh2_main_skv_cha_warlord_0	ui/campaign ui/mounts/mount_rat_ogre.png	wh2_main_skv_cha_warlord_1
wh2_pro07_emp_cha_wizard_death_0	ui/campaign ui/mounts/mount_warhorse.png	wh2_pro07_emp_cha_wizard_death_1
wh2_pro07_emp_cha_wizard_death_0	ui/campaign ui/mounts/mount_imperial_pegasus.png	wh2_pro07_emp_cha_wizard_death_2
wh2_pro07_emp_cha_wizard_death_0	ui/campaign ui/mounts/mount_barded_warhorse.png	wh2_pro07_emp_cha_wizard_death_3
wh2_pro07_emp_cha_wizard_death_1	ui/campaign ui/mounts/mount_warhorse.png	wh2_pro07_emp_cha_wizard_death_1
wh2_pro07_emp_cha_wizard_death_1	ui/campaign ui/mounts/mount_imperial_pegasus.png	wh2_pro07_emp_cha_wizard_death_2
wh2_pro07_emp_cha_wizard_death_1	ui/campaign ui/mounts/mount_barded_warhorse.png	wh2_pro07_emp_cha_wizard_death_3
wh_dlc01_chs_cha_chaos_sorcerer_lord_death_0	ui/campaign ui/mounts/mount_chaos_dragon.png	wh_dlc01_chs_cha_chaos_sorcerer_lord_death_10
wh_dlc01_chs_cha_chaos_sorcerer_lord_death_0	ui/campaign ui/mounts/mount_chaos_steed.png	wh_dlc01_chs_cha_chaos_sorcerer_lord_death_12
wh_dlc01_chs_cha_chaos_sorcerer_lord_death_0	ui/campaign ui/mounts/mount_barded_chaos_steed.png	wh_dlc01_chs_cha_chaos_sorcerer_lord_death_13
wh_dlc01_chs_cha_chaos_sorcerer_lord_death_0	ui/campaign ui/mounts/mount_manticore.png	wh_dlc01_chs_cha_chaos_sorcerer_lord_death_9
wh_dlc01_chs_cha_chaos_sorcerer_lord_fire_0	ui/campaign ui/mounts/mount_chaos_dragon.png	wh_dlc01_chs_cha_chaos_sorcerer_lord_fire_10
wh_dlc01_chs_cha_chaos_sorcerer_lord_fire_0	ui/campaign ui/mounts/mount_chaos_steed.png	wh_dlc01_chs_cha_chaos_sorcerer_lord_fire_12
wh_dlc01_chs_cha_chaos_sorcerer_lord_fire_0	ui/campaign ui/mounts/mount_barded_chaos_steed.png	wh_dlc01_chs_cha_chaos_sorcerer_lord_fire_13
wh_dlc01_chs_cha_chaos_sorcerer_lord_fire_0	ui/campaign ui/mounts/mount_manticore.png	wh_dlc01_chs_cha_chaos_sorcerer_lord_fire_9
wh_dlc01_chs_cha_chaos_sorcerer_lord_metal_0	ui/campaign ui/mounts/mount_chaos_dragon.png	wh_dlc01_chs_cha_chaos_sorcerer_lord_metal_10
wh_dlc01_chs_cha_chaos_sorcerer_lord_metal_0	ui/campaign ui/mounts/mount_chaos_steed.png	wh_dlc01_chs_cha_chaos_sorcerer_lord_metal_12
wh_dlc01_chs_cha_chaos_sorcerer_lord_metal_0	ui/campaign ui/mounts/mount_barded_chaos_steed.png	wh_dlc01_chs_cha_chaos_sorcerer_lord_metal_13
wh_dlc01_chs_cha_chaos_sorcerer_lord_metal_0	ui/campaign ui/mounts/mount_manticore.png	wh_dlc01_chs_cha_chaos_sorcerer_lord_metal_9
wh_dlc01_chs_cha_chaos_sorcerer_lord_shadows_0	ui/campaign ui/mounts/mount_chaos_steed.png	wh_dlc01_chs_cha_chaos_sorcerer_lord_shadows_1
