campaign_tree_ids_tables	2
colour_b	colour_g	colour_r	tree_id	can_be_removed	season
182	66	153	nagash_shrubs_grass_2	false	ALL
182	66	153	nagash_shrubs_grass_3	false	ALL
182	66	153	nagash_shrubs_grass_4	false	ALL
182	66	153	nagash_shrubs_grass_5	false	ALL
168	197	54	nagash_tree_large_1	false	ALL
168	197	54	nagash_tree_large_2	false	ALL
168	197	54	nagash_tree_large_3	false	ALL
113	168	18	nagash_tree_small_1	false	ALL
113	168	18	nagash_tree_small_2	false	ALL
113	168	18	nagash_tree_small_3	false	ALL
113	168	18	nagash_tree_small_4	false	ALL
123	172	198	nor_grass_1	false	ALL
123	172	198	nor_grass_2	false	ALL
123	172	198	nor_grass_3	false	ALL
123	172	198	nor_grass_4	false	ALL
255	230	230	nor_shrubs_grass_1	false	ALL
255	230	230	nor_shrubs_grass_2	false	ALL
0	70	130	nor_tree_extra_large_1	false	ALL
0	70	130	nor_tree_extra_large_2	false	ALL
0	70	130	nor_tree_extra_large_3	false	ALL
0	70	130	nor_tree_extra_medium_1	false	ALL
0	104	200	nor_tree_large_1	false	ALL
0	104	200	nor_tree_large_2	false	ALL
0	104	200	nor_tree_large_3	false	ALL
0	104	200	nor_tree_med_1	false	ALL
0	104	200	nor_tree_med_2	false	ALL
0	104	200	nor_tree_med_3	false	ALL
0	104	200	nor_tree_med_4	false	ALL
0	150	200	nor_tree_small_1	false	ALL
0	150	200	nor_tree_small_2	false	ALL
0	150	200	nor_tree_small_3	false	ALL
0	150	200	nor_tree_small_4	false	ALL
60	105	255	palm_evil_shrubs_grass_1	false	ALL
60	105	255	palm_evil_shrubs_grass_2	false	ALL
60	105	255	palm_evil_shrubs_grass_3	false	ALL
60	105	255	palm_evil_shrubs_grass_4	false	ALL
150	180	255	palm_evil_tree_small_1	false	ALL
150	180	255	palm_evil_tree_small_2	false	ALL
150	180	255	palm_evil_tree_small_3	false	ALL
150	180	255	palm_evil_tree_small_4	false	ALL
100	150	200	palm_grass_1	false	ALL
100	150	200	palm_grass_2	false	ALL
100	150	200	palm_grass_3	false	ALL
60	138	255	palm_shrubs_grass_1	false	ALL
60	138	255	palm_shrubs_grass_2	false	ALL
60	138	255	palm_shrubs_grass_3	false	ALL
60	138	255	palm_shrubs_grass_4	true	ALL
0	180	255	palm_tree_large_1	false	ALL
0	180	255	palm_tree_large_2	false	ALL
0	180	255	palm_tree_large_3	false	ALL
0	180	255	palm_tree_medium_1	false	ALL
150	210	255	palm_tree_small_1	false	ALL
150	210	255	palm_tree_small_2	false	ALL
150	210	255	palm_tree_small_3	false	ALL
150	210	255	palm_tree_small_4	false	ALL
240	90	255	sea_coral_1	false	ALL
240	90	255	sea_coral_2	false	ALL
240	90	255	sea_coral_3	false	ALL
240	90	255	sea_coral_4	false	ALL
240	160	255	sea_coral_shrubs_1	false	ALL
240	160	255	sea_coral_shrubs_2	false	ALL
240	160	255	sea_coral_shrubs_3	false	ALL
190	200	160	shrubs_grass_1	false	ALL
190	200	160	shrubs_grass_2	false	ALL
190	200	160	shrubs_grass_3	false	ALL
190	200	160	shrubs_grass_4	false	ALL
190	200	160	shrubs_grass_5	false	ALL
50	160	190	swamp_evil_grass_1	false	ALL
50	160	190	swamp_evil_grass_2	false	ALL
50	160	190	swamp_evil_grass_3	false	ALL
50	160	190	swamp_evil_grass_4	false	ALL
50	190	160	swamp_grass_1	true	ALL
50	190	160	swamp_grass_2	true	ALL
50	190	160	swamp_grass_3	true	ALL
50	190	160	swamp_grass_4	true	ALL
35	135	115	swamp_shrubs_1	true	ALL
35	135	115	swamp_shrubs_2	true	ALL
50	100	40	tree_large_1	false	ALL
50	100	40	tree_large_2	false	ALL
50	100	40	tree_large_3	false	ALL
50	100	40	tree_med_1	false	ALL
143	200	132	tree_small_1	false	ALL
143	200	132	tree_small_2	false	ALL
143	200	132	tree_small_3	false	ALL
143	200	132	tree_small_4	false	ALL
143	200	132	tree_small_5	false	ALL
190	190	190	tree_small_dead_1	false	ALL
190	190	190	tree_small_dead_2	false	ALL
190	190	190	tree_small_dead_3	false	ALL
25	125	65	wef_aut_tree_large_1	false	ALL
25	125	65	wef_aut_tree_large_2	false	ALL
25	125	65	wef_aut_tree_large_3	false	ALL
25	125	65	wef_aut_tree_medium_1	false	ALL
45	195	105	wef_aut_tree_small_1	false	ALL
45	195	105	wef_aut_tree_small_2	false	ALL
30	160	5	wef_wild_grass_1	false	ALL
30	160	5	wef_wild_grass_2	false	ALL
30	160	5	wef_wild_grass_3	false	ALL
80	200	60	wef_wild_shrubs_grass_1	false	ALL
10	50	30	wef_win_tree_large_1	false	ALL
10	50	30	wef_win_tree_large_2	false	ALL
10	50	30	wef_win_tree_large_3	false	ALL
10	50	30	wef_win_tree_medium_1	false	ALL
20	90	50	wef_win_tree_small_1	false	ALL
20	90	50	wef_win_tree_small_2	false	ALL
20	90	50	wef_win_tree_small_3	false	ALL
