campaign_payload_ui_details_tables	0
dummy_confederate_wh_main_nor_baersonling	ui/campaign ui/effect_bundles/confederation.png
dummy_confederate_wh_main_nor_bjornling	ui/campaign ui/effect_bundles/confederation.png
dummy_confederate_wh_main_nor_graeling	ui/campaign ui/effect_bundles/confederation.png
dummy_confederate_wh_main_nor_sarl	ui/campaign ui/effect_bundles/confederation.png
dummy_confederate_wh_main_nor_skaeling	ui/campaign ui/effect_bundles/confederation.png
dummy_confederate_wh_main_nor_varg	ui/campaign ui/effect_bundles/confederation.png
dummy_cst_dilemma_avoid_diplomatic_penalty	ui/campaign ui/effect_bundles/diplomacy.png
dummy_diplomatic_attitude_change	ui/campaign ui/effect_bundles/diplomacy.png
dummy_dlc10_blood_voyage_next_turn	ui/campaign ui/effect_bundles/dlc10_blood_voyage.png
dummy_dlc10_death_night_cost_increase	ui/campaign ui/effect_bundles/slaves.png
dummy_do_nothing	ui/campaign ui/effect_bundles/icon_effects_army.png
dummy_enemy_leader_killed	ui/campaign ui/effect_bundles/wound_time.png
dummy_mortal_worlds_torment_decrease	ui/campaign ui/effect_bundles/dlc10_mortal_torment.png
dummy_mortal_worlds_torment_increase	ui/campaign ui/effect_bundles/dlc10_mortal_torment.png
dummy_ocean_of_opportunities_first	UI/skins/default/icon_missions.png
dummy_ocean_of_opportunities_fourth	UI/skins/default/icon_missions.png
dummy_ocean_of_opportunities_second	UI/skins/default/icon_missions.png
dummy_ocean_of_opportunities_third	UI/skins/default/icon_missions.png
dummy_sword_will_be_lost	ui/campaign ui/effect_bundles/icon_effects_army.png
dummy_sword_will_be_picked	UI/skins/default/equipment_items_weapon_small.png
dummy_sword_will_be_strong	UI/skins/default/equipment_items_weapon_small.png
dummy_take_no_action	ui/campaign ui/effect_bundles/icon_effects_army.png
dummy_vortex_final_battle_experience	ui/campaign ui/effect_bundles/experience.png
dummy_vortex_final_battle_unit_rank	ui/campaign ui/effect_bundles/experience.png
dummy_wh2_dlc11_neo_counter_fight	ui/campaign ui/effect_bundles/casualties.png
dummy_wh2_dlc11_neo_counter_fight_chance	ui/campaign ui/effect_bundles/casualties.png
dummy_wh2_dlc11_neo_counter_treasure	ui/campaign ui/effect_bundles/vow_questing_positive.png
dummy_wh2_dlc11_neo_counter_treasure_minor	ui/campaign ui/effect_bundles/vow_questing_positive.png
dummy_wh2_main_campaign_encounter	ui/campaign ui/effect_bundles/campaign_movement.png
dummy_wh2_main_combat_encounter	ui/campaign ui/effect_bundles/army.png
dummy_wh2_main_encounter_at_sea_2	ui/campaign ui/effect_bundles/experience.png
dummy_wh2_main_incident_intercontinental_diplomacy	ui/campaign ui/effect_bundles/diplomacy.png
dummy_wh_dlc03_moon_chance	ui/campaign ui/effect_bundles/icon_effects_army.png
dummy_wh_dlc03_moon_chance_none	ui/campaign ui/effect_bundles/icon_effects_army.png
dummy_wh_dlc04_vmp_vlad_von_carstein_the_carstein_ring_stage_2_3	ui/skins/wh_main_vmp_vampire_counts/icon_treasury.png
dummy_wh_main_dwf_thorgrim_grudgebearer_axe_of_grimnir_stage_1	ui/skins/default/icon_treasury.png
dummy_wh_main_dwf_thorgrim_grudgebearer_dragon_crown_of_karaz_stage_2.3	ui/skins/default/icon_treasury.png
dummy_wh_main_emp_karl_franz_ghal_maraz_stage_2	ui/skins/default/icon_treasury.png
dummy_wh_main_vmp_mannfred_von_carstein_sword_of_unholy_power_stage_2	ui/skins/wh_main_vmp_vampire_counts/icon_treasury.png
embezzle	
faction_pooled_resource_transaction	
faction_slaves_change	ui/skins/default/icon_slaves.png
faction_wide_loyalty_change	ui/skins/default/icon_fealty_high.png
gain_ancillary	
gain_trait	ui/campaign ui/effect_bundles/personality.png
give_region	
gravitas_change	
honour_change_negative	
honour_change_positive	
influence_change	ui/skins/default/icon_intrigue.png
issue_mission	
kill_character	
lose_ancillary	
lose_trait	ui/campaign ui/skills/trait_personality.png
loyalty_change	ui/skins/default/icon_fealty_high.png
marriage	
marriage_random	
party_power_change	
play_movie	
province_slaves_change	ui/skins/default/icon_slaves.png
rebellion	ui/campaign ui/effect_bundles/religion.png
seek_wife	
spawn_agent	ui/campaign ui/effect_bundles/agent.png
spawn_agent_home_region	ui/campaign ui/effect_bundles/agent.png
spawn_agent_home_region_unknown	
spawn_unit	
spawn_unit_home_region	
treasury_change	ui/skins/default/icon_treasury.png
unit_restriction_change	
unlock_state_religion_change	
wound_character	ui/campaign ui/effect_bundles/wound_time.png
