faction_to_faction_groups_junctions_tables	0
wh2_dlc11_fact_group_vampire_coast	wh2_dlc11_cst_the_drowned
wh2_dlc11_fact_group_vampire_coast	wh2_dlc11_cst_vampire_coast
wh2_dlc11_fact_group_vampire_coast	wh2_dlc11_cst_vampire_coast_rebellion_rebels
wh2_main_fact_group_vor_def_morathi	wh2_dlc11_def_the_blessed_dread
wh_main_fact_group_vampire_counts	wh2_dlc11_vmp_the_barrow_legion
wh_main_fact_group_greenskins	wh2_dlc12_grn_leaf_cutterz_tribe
wh_main_fact_group_greenskins	wh2_dlc12_grn_leaf_cutterz_tribe_waaagh
wh2_main_fact_group_lizardmen	wh2_dlc12_lzd_cult_of_sotek
wh2_main_fact_group_skaven	wh2_dlc12_skv_clan_fester
wh2_main_fact_group_skaven	wh2_dlc12_skv_clan_mange
wh_main_fact_group_bretonnia	wh2_main_brt_knights_of_origo
wh_main_fact_group_bretonnia	wh2_main_brt_knights_of_the_flame
wh_main_fact_group_bretonnia	wh2_main_brt_thegans_crusaders
wh_dlc03_fact_group_beastmen	wh2_main_bst_blooded_axe
wh_dlc03_fact_group_beastmen	wh2_main_bst_blooded_axe_brayherd
wh_dlc03_fact_group_beastmen	wh2_main_bst_manblight
wh_dlc03_fact_group_beastmen	wh2_main_bst_manblight_brayherd
wh_dlc03_fact_group_beastmen	wh2_main_bst_ripper_horn
wh_dlc03_fact_group_beastmen	wh2_main_bst_ripper_horn_brayherd
wh_dlc03_fact_group_beastmen	wh2_main_bst_shadowgor
wh_dlc03_fact_group_beastmen	wh2_main_bst_shadowgor_brayherd
wh_dlc03_fact_group_beastmen	wh2_main_bst_skrinderkin
wh_dlc03_fact_group_beastmen	wh2_main_bst_skrinderkin_brayherd
wh_dlc03_fact_group_beastmen	wh2_main_bst_stone_horn
wh_dlc03_fact_group_beastmen	wh2_main_bst_stone_horn_brayherd
wh_main_fact_group_chaos	wh2_main_chs_chaos_incursion_def
wh_main_fact_group_chaos	wh2_main_chs_chaos_incursion_hef
wh_main_fact_group_chaos	wh2_main_chs_chaos_incursion_lzd
wh_main_fact_group_chaos	wh2_main_chs_chaos_incursion_skv
wh2_main_fact_group_dark_elves	wh2_main_def_bleak_holds
wh2_main_fact_group_dark_elves	wh2_main_def_blood_hall_coven
wh2_main_fact_group_dark_elves	wh2_main_def_clar_karond
wh2_main_fact_group_dark_elves	wh2_main_def_cult_of_excess
wh2_main_fact_group_dark_elves	wh2_main_def_cult_of_pleasure
wh2_main_fact_group_dark_elves	wh2_main_def_dark_elves
wh2_main_fact_group_dark_elves	wh2_main_def_dark_elves_intervention
wh2_main_fact_group_dark_elves	wh2_main_def_dark_elves_rebels
wh2_main_fact_group_dark_elves	wh2_main_def_deadwood_sentinels
wh2_main_fact_group_dark_elves	wh2_main_def_drackla_coven
wh2_main_fact_group_dark_elves	wh2_main_def_ghrond
wh2_main_fact_group_dark_elves	wh2_main_def_hag_graef
wh2_main_fact_group_vor_def_morathi	wh2_main_def_har_ganeth
wh2_main_fact_group_dark_elves	wh2_main_def_karond_kar
wh2_main_fact_group_vor_def_malekith	wh2_main_def_naggarond
wh2_main_fact_group_dark_elves	wh2_main_def_scourge_of_khaine
wh2_main_fact_group_dark_elves	wh2_main_def_ssildra_tor
wh2_main_fact_group_dark_elves	wh2_main_def_the_forgebound
wh_main_fact_group_dwarfs	wh2_main_dwf_greybeards_prospectors
wh_main_fact_group_dwarfs	wh2_main_dwf_karak_zorn
wh_main_fact_group_dwarfs	wh2_main_dwf_spine_of_sotek_dwarfs
wh_main_fact_group_empire	wh2_main_emp_new_world_colonies
wh_main_fact_group_empire	wh2_main_emp_sudenburg
wh_main_fact_group_greenskins	wh2_main_grn_arachnos
wh_main_fact_group_greenskins	wh2_main_grn_arachnos_waaagh
wh_main_fact_group_greenskins	wh2_main_grn_blue_vipers
wh_main_fact_group_greenskins	wh2_main_grn_blue_vipers_waaagh
wh2_main_fact_group_high_elves	wh2_main_hef_avelorn
wh2_main_fact_group_high_elves	wh2_main_hef_caledor
wh2_main_fact_group_high_elves	wh2_main_hef_chrace
wh2_main_fact_group_high_elves	wh2_main_hef_citadel_of_dusk
wh2_main_fact_group_high_elves	wh2_main_hef_cothique
wh2_main_fact_group_vor_hef_tyrion	wh2_main_hef_eataine
wh2_main_fact_group_high_elves	wh2_main_hef_ellyrion
wh2_main_fact_group_high_elves	wh2_main_hef_fortress_of_dawn
wh2_main_fact_group_high_elves	wh2_main_hef_high_elves
wh2_main_fact_group_high_elves	wh2_main_hef_high_elves_intervention
wh2_main_fact_group_high_elves	wh2_main_hef_high_elves_rebels
wh2_main_fact_group_high_elves	wh2_main_hef_nagarythe
wh2_main_fact_group_vor_hef_teclis	wh2_main_hef_order_of_loremasters
wh2_main_fact_group_high_elves	wh2_main_hef_saphery
wh2_main_fact_group_high_elves	wh2_main_hef_tiranoc
wh2_main_fact_group_high_elves	wh2_main_hef_tor_elasor
wh2_main_fact_group_high_elves	wh2_main_hef_yvresse
wh2_main_fact_group_vor_lzd_lord_mazdamundi	wh2_main_lzd_hexoatl
wh2_main_fact_group_vor_lzd_kroq_gar	wh2_main_lzd_itza
wh2_main_fact_group_lizardmen	wh2_main_lzd_last_defenders
wh2_main_fact_group_lizardmen	wh2_main_lzd_lizardmen
wh2_main_fact_group_lizardmen	wh2_main_lzd_lizardmen_intervention
wh2_main_fact_group_lizardmen	wh2_main_lzd_lizardmen_rebels
wh2_main_fact_group_lizardmen	wh2_main_lzd_sentinels_of_xeti
wh2_main_fact_group_lizardmen	wh2_main_lzd_southern_sentinels
wh2_main_fact_group_lizardmen	wh2_main_lzd_teotiqua
wh2_main_fact_group_lizardmen	wh2_main_lzd_tlaqua
wh2_main_fact_group_lizardmen	wh2_main_lzd_tlaxtlan
wh2_main_fact_group_lizardmen	wh2_main_lzd_xlanhuapec
wh2_main_fact_group_lizardmen	wh2_main_lzd_zlatan
wh_main_fact_group_norsca	wh2_main_nor_aghol
wh_main_fact_group_norsca	wh2_main_nor_hung_incursion_def
wh_main_fact_group_norsca	wh2_main_nor_hung_incursion_hef
wh_main_fact_group_norsca	wh2_main_nor_hung_incursion_lzd
wh_main_fact_group_norsca	wh2_main_nor_hung_incursion_skv
wh_main_fact_group_norsca	wh2_main_nor_mung
wh_main_fact_group_norsca	wh2_main_nor_skeggi
wh2_main_fact_group_rogue	wh2_main_rogue_abominations
wh2_main_fact_group_rogue	wh2_main_rogue_beastcatchas
wh2_main_fact_group_rogue	wh2_main_rogue_bernhoffs_brigands
wh2_main_fact_group_rogue	wh2_main_rogue_black_spider_tribe
wh2_main_fact_group_rogue	wh2_main_rogue_boneclubbers_tribe
wh2_main_fact_group_rogue	wh2_main_rogue_celestial_storm
wh2_main_fact_group_rogue	wh2_main_rogue_college_of_pyrotechnics
wh2_main_fact_group_rogue	wh2_main_rogue_def_chs_vashnaar
wh2_main_fact_group_rogue	wh2_main_rogue_def_mengils_manflayers
wh2_main_fact_group_rogue	wh2_main_rogue_doomseekers
wh2_main_fact_group_rogue	wh2_main_rogue_gerhardts_mercenaries
wh2_main_fact_group_rogue	wh2_main_rogue_hef_tor_elithis
wh2_main_fact_group_rogue	wh2_main_rogue_hung_warband
wh2_main_fact_group_rogue	wh2_main_rogue_jerrods_errantry
wh2_main_fact_group_rogue	wh2_main_rogue_mangy_houndz
wh2_main_fact_group_rogue	wh2_main_rogue_morrsliebs_howlers
wh2_main_fact_group_rogue	wh2_main_rogue_pirates_of_the_far_sea
wh2_main_fact_group_rogue	wh2_main_rogue_pirates_of_the_southern_ocean
wh2_main_fact_group_rogue	wh2_main_rogue_pirates_of_trantio
wh2_main_fact_group_rogue	wh2_main_rogue_scions_of_tesseninck
wh2_main_fact_group_rogue	wh2_main_rogue_scourge_of_aquitaine
wh2_main_fact_group_rogue	wh2_main_rogue_stuff_snatchers
wh2_main_fact_group_rogue	wh2_main_rogue_teef_snatchaz
wh2_main_fact_group_rogue	wh2_main_rogue_the_wandering_dead
wh2_main_fact_group_rogue	wh2_main_rogue_troll_skullz
wh2_main_fact_group_rogue	wh2_main_rogue_vauls_expedition
wh2_main_fact_group_rogue	wh2_main_rogue_vmp_heirs_of_mourkain
wh2_main_fact_group_rogue	wh2_main_rogue_wef_hunters_of_kurnous
wh2_main_fact_group_rogue	wh2_main_rogue_worldroot_rangers
wh2_main_fact_group_rogue	wh2_main_rogue_wrath_of_nature
wh2_main_fact_group_skaven	wh2_main_skv_clan_eshin
wh2_main_fact_group_skaven	wh2_main_skv_clan_gnaw
wh2_main_fact_group_skaven	wh2_main_skv_clan_mordkin
wh2_main_fact_group_vor_skv_queek_headtaker	wh2_main_skv_clan_mors
wh2_main_fact_group_skaven	wh2_main_skv_clan_mors_separatists
wh2_main_fact_group_skaven	wh2_main_skv_clan_moulder
wh2_main_fact_group_vor_skv_lord_skrolk	wh2_main_skv_clan_pestilens
wh2_main_fact_group_skaven	wh2_main_skv_clan_pestilens_separatists
wh2_main_fact_group_skaven	wh2_main_skv_clan_septik
wh2_main_fact_group_skaven	wh2_main_skv_clan_skryre_separatists
wh2_main_fact_group_skaven	wh2_main_skv_clan_skyre
wh2_main_fact_group_skaven	wh2_main_skv_clan_spittel
wh2_main_fact_group_skaven	wh2_main_skv_grey_seer_clan
wh2_main_fact_group_skaven	wh2_main_skv_skaven
wh2_main_fact_group_skaven	wh2_main_skv_skaven_intervention
wh2_main_fact_group_skaven	wh2_main_skv_skaven_rebels
wh2_main_fact_group_skaven	wh2_main_skv_unknown_clan_def
wh2_main_fact_group_skaven	wh2_main_skv_unknown_clan_hef
wh2_main_fact_group_skaven	wh2_main_skv_unknown_clan_lzd
wh2_main_fact_group_skaven	wh2_main_skv_unknown_clan_skv
wh_dlc05_fact_group_wood_elves	wh2_main_wef_bowmen_of_oreon
wh_dlc03_fact_group_beastmen	wh_dlc03_bst_beastmen
wh_dlc03_fact_group_beastmen	wh_dlc03_bst_beastmen_brayherd
wh_dlc03_fact_group_beastmen	wh_dlc03_bst_beastmen_chaos
wh_dlc03_fact_group_beastmen	wh_dlc03_bst_beastmen_chaos_brayherd
wh_dlc03_fact_group_beastmen	wh_dlc03_bst_beastmen_rebels
wh_dlc03_fact_group_beastmen	wh_dlc03_bst_redhorn
wh_dlc03_fact_group_beastmen	wh_dlc03_bst_redhorn_brayherd
wh_dlc05_fact_group_wood_elves	wh_dlc05_wef_argwylon
wh_dlc05_fact_group_wood_elves	wh_dlc05_wef_wood_elves
wh_dlc05_fact_group_wood_elves	wh_dlc05_wef_wood_elves_rebels
wh_main_fact_group_chaos	wh_dlc08_chs_chaos_challenger_khorne
wh_main_fact_group_chaos	wh_dlc08_chs_chaos_challenger_nurgle
wh_main_fact_group_chaos	wh_dlc08_chs_chaos_challenger_slaanesh
wh_main_fact_group_chaos	wh_dlc08_chs_chaos_challenger_tzeentch
wh_main_fact_group_norsca	wh_dlc08_nor_goromadny_tribe
wh_main_fact_group_norsca	wh_dlc08_nor_helspire_tribe
wh_main_fact_group_norsca	wh_dlc08_nor_naglfarlings
wh_main_fact_group_norsca	wh_dlc08_nor_norsca
wh_main_fact_group_norsca	wh_dlc08_nor_vanaheimlings
wh_main_fact_group_norsca	wh_dlc08_nor_wintertooth
wh_main_fact_group_bretonnia	wh_main_brt_artois
wh_main_fact_group_bretonnia	wh_main_brt_bastonne
wh_main_fact_group_bretonnia	wh_main_brt_bordeleaux
wh_main_fact_group_bretonnia	wh_main_brt_bretonnia
wh_main_fact_group_bretonnia	wh_main_brt_bretonnia_rebels
wh_main_fact_group_bretonnia	wh_main_brt_carcassonne
wh_main_fact_group_bretonnia	wh_main_brt_lyonesse
wh_main_fact_group_bretonnia	wh_main_brt_parravon
wh_main_fact_group_chaos	wh_main_chs_chaos
wh_main_fact_group_chaos	wh_main_chs_chaos_rebels
wh_main_fact_group_chaos	wh_main_chs_chaos_separatists
wh_main_fact_group_dwarfs	wh_main_dwf_barak_varr
wh_main_fact_group_dwarfs	wh_main_dwf_dwarf_rebels
wh_main_fact_group_dwarfs	wh_main_dwf_dwarfs
wh_main_fact_group_dwarfs	wh_main_dwf_karak_azul
wh_main_fact_group_dwarfs	wh_main_dwf_karak_hirn
wh_dlc06_fact_group_belegar	wh_main_dwf_karak_izor
wh_main_fact_group_dwarfs	wh_main_dwf_karak_kadrin
wh_main_fact_group_dwarfs	wh_main_dwf_karak_norn
wh_main_fact_group_dwarfs	wh_main_dwf_karak_ziflin
wh_main_fact_group_dwarfs	wh_main_dwf_kraka_drak
wh_main_fact_group_dwarfs	wh_main_dwf_zhufbar
wh_main_fact_group_empire	wh_main_emp_averland
wh_main_fact_group_empire	wh_main_emp_empire
wh_main_fact_group_empire	wh_main_emp_empire_rebels
wh_main_fact_group_empire	wh_main_emp_empire_separatists
wh_main_fact_group_empire	wh_main_emp_hochland
wh_main_fact_group_empire	wh_main_emp_marienburg
wh_main_fact_group_empire	wh_main_emp_marienburg_rebels
wh_main_fact_group_empire	wh_main_emp_middenland
wh_main_fact_group_empire	wh_main_emp_nordland
wh_main_fact_group_empire	wh_main_emp_ostermark
wh_main_fact_group_empire	wh_main_emp_ostland
wh_main_fact_group_empire	wh_main_emp_stirland
wh_main_fact_group_empire	wh_main_emp_talabecland
wh_main_fact_group_empire	wh_main_emp_wissenland
wh_main_fact_group_greenskins	wh_main_grn_black_venom
wh_main_fact_group_greenskins	wh_main_grn_black_venom_waaagh
wh_main_fact_group_greenskins	wh_main_grn_bloody_spearz
wh_main_fact_group_greenskins	wh_main_grn_bloody_spearz_waaagh
wh_main_fact_group_greenskins	wh_main_grn_broken_nose
wh_main_fact_group_greenskins	wh_main_grn_broken_nose_waaagh
wh_dlc06_fact_group_skarsnik	wh_main_grn_crooked_moon
wh_dlc06_fact_group_skarsnik	wh_main_grn_crooked_moon_waaagh
wh_main_fact_group_greenskins	wh_main_grn_greenskins
wh_main_fact_group_greenskins	wh_main_grn_greenskins_rebels
wh_main_fact_group_greenskins	wh_main_grn_greenskins_rebels_waaagh
wh_main_fact_group_greenskins	wh_main_grn_greenskins_waaagh
wh_main_fact_group_greenskins	wh_main_grn_necksnappers
wh_main_fact_group_greenskins	wh_main_grn_necksnappers_waaagh
wh_dlc06_fact_group_wurrzag	wh_main_grn_orcs_of_the_bloody_hand
wh_dlc06_fact_group_wurrzag	wh_main_grn_orcs_of_the_bloody_hand_waaagh
wh_main_fact_group_greenskins	wh_main_grn_red_eye
wh_main_fact_group_greenskins	wh_main_grn_red_eye_waaagh
wh_main_fact_group_greenskins	wh_main_grn_red_fangs
wh_main_fact_group_greenskins	wh_main_grn_red_fangs_waaagh
wh_main_fact_group_greenskins	wh_main_grn_scabby_eye
wh_main_fact_group_greenskins	wh_main_grn_scabby_eye_waaagh
wh_main_fact_group_greenskins	wh_main_grn_skull-takerz
wh_main_fact_group_greenskins	wh_main_grn_skull-takerz_waaagh
wh_main_fact_group_greenskins	wh_main_grn_skullsmasherz
wh_main_fact_group_greenskins	wh_main_grn_skullsmasherz_waaagh
wh_main_fact_group_greenskins	wh_main_grn_teef_snatchaz
wh_main_fact_group_greenskins	wh_main_grn_teef_snatchaz_waaagh
wh_main_fact_group_greenskins	wh_main_grn_top_knotz
wh_main_fact_group_greenskins	wh_main_grn_top_knotz_waaagh
wh_main_fact_group_kislev	wh_main_ksl_kislev
wh_main_fact_group_kislev	wh_main_ksl_kislev_rebels
wh_main_fact_group_norsca	wh_main_nor_aesling
wh_main_fact_group_norsca	wh_main_nor_baersonling
wh_main_fact_group_norsca	wh_main_nor_bjornling
wh_main_fact_group_norsca	wh_main_nor_graeling
wh_main_fact_group_norsca	wh_main_nor_norsca_rebels
wh_main_fact_group_norsca	wh_main_nor_sarl
wh_main_fact_group_norsca	wh_main_nor_skaeling
wh_main_fact_group_norsca	wh_main_nor_varg
wh_main_fact_group_teb	wh_main_teb_border_princes
wh_main_fact_group_teb	wh_main_teb_border_princes_rebels
wh_main_fact_group_teb	wh_main_teb_estalia
wh_main_fact_group_teb	wh_main_teb_estalia_rebels
wh_main_fact_group_teb	wh_main_teb_tilea
wh_main_fact_group_teb	wh_main_teb_tilea_rebels
wh_main_fact_group_vampire_counts	wh_main_vmp_mousillon
wh_main_fact_group_vampire_counts	wh_main_vmp_rival_sylvanian_vamps
wh_main_fact_group_vampire_counts	wh_main_vmp_schwartzhafen
wh_main_fact_group_vampire_counts	wh_main_vmp_vampire_counts
wh_main_fact_group_vampire_counts	wh_main_vmp_vampire_rebels
wh_main_fact_group_vampire_counts	wh_main_vmp_waldenhof
