audio_entity_looping_sounds_tables	3
event_start	event_stop	key	limitation_scale	use_obstruction	use_reverb	rtpc_1_name	rtpc_1_assignment	rtpc_2_name	rtpc_2_assignment	switch_1	doppler_rtpc_name
Battle_Individual_Artillery_Cauldron_of_Blood_Movement_Start	Battle_Individual_Artillery_Cauldron_of_Blood_Movement_Stop	wh_cauldron_of_blood_movement	1	false	true	Battle_War_Machine_Speed	Entity_Speed_Total			Battle_Ground_Type_Limited	
Battle_Individual_Artillery_Metal_Chariot_Movement_Start	Battle_Individual_Artillery_Metal_Chariot_Movement_Stop	wh_chariot_metal_movement	1	false	true	Battle_War_Machine_Speed	Entity_Speed_Total			Battle_Ground_Type_Limited	
Battle_Individual_Artillery_Metal_Chariot_Movement_Rotation_Start	Battle_Individual_Artillery_Metal_Chariot_Movement_Rotation_Stop	wh_chariot_metal_movement_rotation	1	false	true	Battle_War_Machine_Speed	Entity_Speed_Total			Battle_Ground_Type_Limited	
Battle_Individual_Artillery_Wooden_Chariot_Movement_Start	Battle_Individual_Artillery_Wooden_Chariot_Movement_Stop	wh_chariot_wood_movement	1	false	true	Battle_War_Machine_Speed	Entity_Speed_Total			Battle_Ground_Type_Limited	
Battle_Individual_Artillery_Wooden_Chariot_Movement_Rotation_Start	Battle_Individual_Artillery_Wooden_Chariot_Movement_Rotation_Stop	wh_chariot_wood_movement_rotation	1	false	true	Battle_War_Machine_Speed	Entity_Speed_Total			Battle_Ground_Type_Limited	
Battle_Individual_Artillery_Copter_Loop_Start	Battle_Individual_Artillery_Copter_Loop_Stop	wh_copter	1	false	true	Battle_Copter_Speed_Engine	Entity_Speed_Total	Battle_Copter_Speed_Propellor	Entity_Speed_Total		
Battle_Individual_Artillery_Mortis_Engine_All_sfx_Start	Battle_Individual_Artillery_Mortis_Engine_All_sfx_Stop	wh_dlc_vmp_mortis_engine_sfx	1	false	true	Battle_War_Machine_Speed	Entity_Speed_Total	Battle_Steam_Tank_Engine_Acceleration	Entity_Acceleration_Moving		
Battle_Individual_Artillery_Metal_Artillery_Movement_Medium_Play	Battle_Individual_Artillery_Metal_Artillery_Movement_Medium_Stop	wh_hell_cannon	1	false	true	Battle_War_Machine_Speed	Entity_Speed_Total			Battle_Ground_Type	
Battle_Individual_Artillery_Hell_Pit_Abomination_Engine_Movement_Idle_Start	Battle_Individual_Artillery_Hell_Pit_Abomination_Engine_Movement_Idle_Stop	wh_hell_pit_abomination_engine_idle	1	false	true						
Battle_Individual_Artillery_Hell_Pit_Abomination_Engine_Movement_Start	Battle_Individual_Artillery_Hell_Pit_Abomination_Engine_Movement_Stop	wh_hell_pit_abomination_engine_movement	1	false	true	Battle_Steam_Tank_Engine_Movement_Speed	Entity_Speed_Moving	Battle_Steam_Tank_Engine_Acceleration	Entity_Acceleration_Moving		
Battle_Individual_Artillery_Luminark_Movement_Start	Battle_Individual_Artillery_Luminark_Movement_Stop	wh_luminark_movement	1	false	true	Battle_War_Machine_Speed	Entity_Speed_Total			Battle_Ground_Type_Limited	
Battle_Individual_Artillery_Luminark_Movement_Rotation_Start	Battle_Individual_Artillery_Luminark_Movement_Rotation_Stop	wh_luminark_movement_rotation	1	false	true	Battle_War_Machine_Speed	Entity_Speed_Total			Battle_Ground_Type_Limited	
Battle_Individual_Artillery_Steam_Tank_Turret_Movement_Start	Battle_Individual_Artillery_Steam_Tank_Turret_Movement_Stop	wh_main_vehicle_steam_turret	1	false	true						
Battle_Individual_Artillery_Corpse_Cart_Movement_Start	Battle_Individual_Artillery_Corpse_Cart_Movement_Stop	wh_war_machine_corpse_cart_movement	1	false	true	Battle_War_Machine_Speed	Entity_Speed_Total			Battle_Ground_Type_Limited	
Battle_Individual_Artillery_Corpse_Cart_Movement_Rotation_Start	Battle_Individual_Artillery_Corpse_Cart_Movement_Rotation_Stop	wh_war_machine_corpse_cart_movement_rotation	1	false	true	Battle_War_Machine_Speed	Entity_Speed_Total			Battle_Ground_Type_Limited	
Battle_Individual_Artillery_Flame_Cannon_Steam_Loop_Play	Battle_Individual_Artillery_Flame_Cannon_Steam_Loop_Stop	wh_war_machine_flame_cannon_idle	1	false	true						
Battle_Individual_Artillery_Metal_Artillery_Movement_Large_Play	Battle_Individual_Artillery_Metal_Artillery_Movement_Large_Stop	wh_war_machine_metal_movement_large	1	false	true	Battle_War_Machine_Speed	Entity_Speed_Total			Battle_Ground_Type	
Battle_Individual_Artillery_Metal_Artillery_Movement_Medium_Play	Battle_Individual_Artillery_Metal_Artillery_Movement_Medium_Stop	wh_war_machine_metal_movement_medium	1	false	true	Battle_War_Machine_Speed	Entity_Speed_Total			Battle_Ground_Type	
Battle_Individual_Artillery_Metal_Artillery_Movement_Small_Play	Battle_Individual_Artillery_Metal_Artillery_Movement_Small_Stop	wh_war_machine_metal_movement_small	1	false	true	Battle_War_Machine_Speed	Entity_Speed_Total			Battle_Ground_Type	
Battle_Individual_Artillery_Metal_Artillery_Rotation_Large_Play	Battle_Individual_Artillery_Metal_Artillery_Rotation_Large_Stop	wh_war_machine_metal_rotation_large	1	false	true	Battle_War_Machine_Speed	Entity_Speed_Total			Battle_Ground_Type	
Battle_Individual_WRM_Siege_Tower_Blades_Start	Battle_Individual_WRM_Siege_Tower_Blades_Stop	wh_war_machine_movement_siege_tower_blades	1	false	true	Battle_War_Machine_Speed	Entity_Speed_Total			battle_ground_type	
Battle_Individual_Artillery_Queen_Bess_Movement_Start	Battle_Individual_Artillery_Queen_Bess_Movement_Stop	wh_war_machine_queen_bess_movement	1	false	true	Battle_War_Machine_Speed	Entity_Speed_Total			Battle_Ground_Type	
Battle_Individual_Artillery_Queen_Bess_Turn_Start	Battle_Individual_Artillery_Queen_Bess_Turn_Stop	wh_war_machine_queen_bess_rotation	1	false	true	Battle_War_Machine_Speed	Entity_Speed_Rotating			Battle_Ground_Type	
Battle_Individual_Artillery_Metal_Artillery_Movement_Large_SKV_Play	Battle_Individual_Artillery_Metal_Artillery_Movement_Large_SKV_Stop	wh_war_machine_skv_movement_large	1	false	true	Battle_War_Machine_Speed	Entity_Speed_Total			Battle_Ground_Type	
Battle_Individual_Artillery_Metal_Artillery_Rotation_Large_Play	Battle_Individual_Artillery_Metal_Artillery_Rotation_Large_Stop	wh_war_machine_skv_rotation_large	1	false	true	Battle_War_Machine_Speed	Entity_Speed_Total			Battle_Ground_Type	
Battle_Individual_Artillery_Steam_Tank_Engine_Movement_Idle_Start	Battle_Individual_Artillery_Steam_Tank_Engine_Movement_Idle_Stop	wh_war_machine_steamtank_idle	1	false	true						
Battle_Individual_Artillery_Steam_Tank_Movement_Start	Battle_Individual_Artillery_Steam_Tank_Movement_Stop	wh_war_machine_steamtank_movement	1	false	true	Battle_Steam_Tank_Engine_Movement_Speed	Entity_Speed_Moving	Battle_Steam_Tank_Engine_Acceleration	Entity_Acceleration_Moving		
Battle_Individual_Artillery_Metal_Artillery_Idle_Large_Vampire_Play	Battle_Individual_Artillery_Metal_Artillery_Idle_Large_Vampire_Stop	wh_war_machine_vampire_idle_large	1	false	true	Battle_War_Machine_Speed	Entity_Speed_Total			Battle_Ground_Type	
Battle_Individual_Artillery_Metal_Artillery_Movement_Large_Vampire_Play	Battle_Individual_Artillery_Metal_Artillery_Movement_Large_Vampire_Stop	wh_war_machine_vampire_movement_large	1	false	true	Battle_War_Machine_Speed	Entity_Speed_Total			Battle_Ground_Type	
Battle_Individual_Artillery_Metal_Artillery_Movement_Large_WEF_Play	Battle_Individual_Artillery_Metal_Artillery_Movement_Large_WEF_Stop	wh_war_machine_wef_movement_large	1	false	true	Battle_War_Machine_Speed	Entity_Speed_Total			Battle_Ground_Type	
Battle_Individual_Artillery_Metal_Artillery_Movement_Medium_WEF_Play	Battle_Individual_Artillery_Metal_Artillery_Movement_Medium_WEF_Stop	wh_war_machine_wef_movement_medium	1	false	true	Battle_War_Machine_Speed	Entity_Speed_Total			Battle_Ground_Type	
Battle_Individual_Artillery_Wood_Artillery_Rotation_Large_Play	Battle_Individual_Artillery_Wood_Artillery_Rotation_Large_Stop	wh_war_machine_wef_rotation_large	1	false	true	Battle_War_Machine_Speed	Entity_Speed_Total			Battle_Ground_Type	
Battle_Individual_Artillery_Wood_Artillery_Movement_Large_Play	Battle_Individual_Artillery_Wood_Artillery_Movement_Large_Stop	wh_war_machine_wood_movement_large	1	false	true	Battle_War_Machine_Speed	Entity_Speed_Total			Battle_Ground_Type	
Battle_Individual_Artillery_Wood_Artillery_Movement_Medium_Play	Battle_Individual_Artillery_Wood_Artillery_Movement_Medium_Stop	wh_war_machine_wood_movement_medium	1	false	true	Battle_War_Machine_Speed	Entity_Speed_Total			Battle_Ground_Type	
Battle_Individual_Artillery_Wood_Artillery_Movement_Small_Play	Battle_Individual_Artillery_Wood_Artillery_Movement_Small_Stop	wh_war_machine_wood_movement_small	1	false	true	Battle_War_Machine_Speed	Entity_Speed_Total			Battle_Ground_Type	
Battle_Individual_Artillery_Wood_Artillery_Rotation_Large_Play	Battle_Individual_Artillery_Wood_Artillery_Rotation_Large_Stop	wh_war_machine_wood_rotation_large	1	false	true	Battle_War_Machine_Speed	Entity_Speed_Total			Battle_Ground_Type	
