cdir_events_dilemma_choice_details_tables	0
THIRD	wh2_dlc08_confederate_wh_main_nor_varg
FIRST	wh2_dlc09_agent_choice
FOURTH	wh2_dlc09_agent_choice
SECOND	wh2_dlc09_agent_choice
THIRD	wh2_dlc09_agent_choice
FIRST	wh2_dlc09_great_vortex_skv_tretch_lucky_skullhelm_stage_3
FOURTH	wh2_dlc09_great_vortex_skv_tretch_lucky_skullhelm_stage_3
SECOND	wh2_dlc09_great_vortex_skv_tretch_lucky_skullhelm_stage_3
THIRD	wh2_dlc09_great_vortex_skv_tretch_lucky_skullhelm_stage_3
FIRST	wh2_dlc09_great_vortex_tmb_arkhan_the_tomb_blade_of_arkhan_stage_2
SECOND	wh2_dlc09_great_vortex_tmb_arkhan_the_tomb_blade_of_arkhan_stage_2
FIRST	wh2_dlc09_great_vortex_tmb_settra_the_crown_of_nehekhara_stage_3
SECOND	wh2_dlc09_great_vortex_tmb_settra_the_crown_of_nehekhara_stage_3
FIRST	wh2_dlc09_skv_tretch_lucky_skullhelm_stage_3
FOURTH	wh2_dlc09_skv_tretch_lucky_skullhelm_stage_3
SECOND	wh2_dlc09_skv_tretch_lucky_skullhelm_stage_3
THIRD	wh2_dlc09_skv_tretch_lucky_skullhelm_stage_3
FIRST	wh2_dlc09_tmb_arkhan_the_tomb_blade_of_arkhan_stage_2
SECOND	wh2_dlc09_tmb_arkhan_the_tomb_blade_of_arkhan_stage_2
FIRST	wh2_dlc09_tmb_dilemma_almighty_monuments
SECOND	wh2_dlc09_tmb_dilemma_almighty_monuments
FIRST	wh2_dlc09_tmb_dilemma_crumbling_buildings
SECOND	wh2_dlc09_tmb_dilemma_crumbling_buildings
FIRST	wh2_dlc09_tmb_dilemma_drying_rivers
SECOND	wh2_dlc09_tmb_dilemma_drying_rivers
FIRST	wh2_dlc09_tmb_dilemma_eternal_servitude
SECOND	wh2_dlc09_tmb_dilemma_eternal_servitude
FIRST	wh2_dlc09_tmb_dilemma_glorious_structures
SECOND	wh2_dlc09_tmb_dilemma_glorious_structures
FIRST	wh2_dlc09_tmb_dilemma_liche_priest
SECOND	wh2_dlc09_tmb_dilemma_liche_priest
FIRST	wh2_dlc09_tmb_dilemma_lost_tombs
SECOND	wh2_dlc09_tmb_dilemma_lost_tombs
FIRST	wh2_dlc09_tmb_dilemma_scaly_sacrifice
SECOND	wh2_dlc09_tmb_dilemma_scaly_sacrifice
FIRST	wh2_dlc09_tmb_dilemma_sinking_pyramid
SECOND	wh2_dlc09_tmb_dilemma_sinking_pyramid
FIRST	wh2_dlc09_tmb_dilemma_soulless_sphinx
SECOND	wh2_dlc09_tmb_dilemma_soulless_sphinx
FIRST	wh2_dlc09_tmb_dilemma_stray_mortals
SECOND	wh2_dlc09_tmb_dilemma_stray_mortals
FIRST	wh2_dlc09_tmb_dilemma_the_banisher
SECOND	wh2_dlc09_tmb_dilemma_the_banisher
FIRST	wh2_dlc09_tmb_settra_the_crown_of_nehekhara_stage_3
SECOND	wh2_dlc09_tmb_settra_the_crown_of_nehekhara_stage_3
FIRST	wh2_dlc10_monster_hunt_10_stage_2
SECOND	wh2_dlc10_monster_hunt_10_stage_2
FIRST	wh2_dlc10_nor_monster_hunt_10_dilemma_reward
FOURTH	wh2_dlc10_nor_monster_hunt_10_dilemma_reward
SECOND	wh2_dlc10_nor_monster_hunt_10_dilemma_reward
THIRD	wh2_dlc10_nor_monster_hunt_10_dilemma_reward
FIRST	wh2_dlc10_nor_monster_hunt_11_dilemma_reward
FOURTH	wh2_dlc10_nor_monster_hunt_11_dilemma_reward
SECOND	wh2_dlc10_nor_monster_hunt_11_dilemma_reward
THIRD	wh2_dlc10_nor_monster_hunt_11_dilemma_reward
FIRST	wh2_dlc10_nor_monster_hunt_8_dilemma_reward
FOURTH	wh2_dlc10_nor_monster_hunt_8_dilemma_reward
SECOND	wh2_dlc10_nor_monster_hunt_8_dilemma_reward
THIRD	wh2_dlc10_nor_monster_hunt_8_dilemma_reward
FIRST	wh2_dlc10_nor_monster_hunt_9_dilemma_reward
FOURTH	wh2_dlc10_nor_monster_hunt_9_dilemma_reward
SECOND	wh2_dlc10_nor_monster_hunt_9_dilemma_reward
THIRD	wh2_dlc10_nor_monster_hunt_9_dilemma_reward
FIRST	wh2_dlc10_qb_nor_monster_hunt_8_stage_2
SECOND	wh2_dlc10_qb_nor_monster_hunt_8_stage_2
FIRST	wh2_dlc10_sword_of_khaine_lv1
SECOND	wh2_dlc10_sword_of_khaine_lv1
FIRST	wh2_dlc10_sword_of_khaine_lv2
SECOND	wh2_dlc10_sword_of_khaine_lv2
FIRST	wh2_dlc10_sword_of_khaine_lv3
SECOND	wh2_dlc10_sword_of_khaine_lv3
FIRST	wh2_dlc10_sword_of_khaine_pick_or_not
SECOND	wh2_dlc10_sword_of_khaine_pick_or_not
FIRST	wh2_dlc11_cst_cylostra_the_bordeleaux_flabellum_stage_4
SECOND	wh2_dlc11_cst_cylostra_the_bordeleaux_flabellum_stage_4
FIRST	wh2_dlc11_cst_dilemma_ancient_treasure
SECOND	wh2_dlc11_cst_dilemma_ancient_treasure
FIRST	wh2_dlc11_cst_dilemma_camp_fortune
SECOND	wh2_dlc11_cst_dilemma_camp_fortune
FIRST	wh2_dlc11_cst_dilemma_great_golden_idol
SECOND	wh2_dlc11_cst_dilemma_great_golden_idol
FIRST	wh2_dlc11_cst_dilemma_great_naval_battle
SECOND	wh2_dlc11_cst_dilemma_great_naval_battle
FIRST	wh2_dlc11_cst_dilemma_grim_tidings
SECOND	wh2_dlc11_cst_dilemma_grim_tidings
FIRST	wh2_dlc11_cst_dilemma_ocean_of_opportunities
FOURTH	wh2_dlc11_cst_dilemma_ocean_of_opportunities
SECOND	wh2_dlc11_cst_dilemma_ocean_of_opportunities
THIRD	wh2_dlc11_cst_dilemma_ocean_of_opportunities
FIRST	wh2_dlc11_cst_dilemma_pirate_haven
SECOND	wh2_dlc11_cst_dilemma_pirate_haven
FIRST	wh2_dlc11_cst_dilemma_plan_of_action
SECOND	wh2_dlc11_cst_dilemma_plan_of_action
FIRST	wh2_dlc11_cst_dilemma_rotten_wood
SECOND	wh2_dlc11_cst_dilemma_rotten_wood
FIRST	wh2_dlc11_cst_dilemma_salvage_supplies
SECOND	wh2_dlc11_cst_dilemma_salvage_supplies
FIRST	wh2_dlc11_cst_dilemma_shipping_ledger
SECOND	wh2_dlc11_cst_dilemma_shipping_ledger
FIRST	wh2_dlc11_cst_dilemma_shyish_wanes
SECOND	wh2_dlc11_cst_dilemma_shyish_wanes
FIRST	wh2_dlc11_cst_dilemma_supplies_adrift
SECOND	wh2_dlc11_cst_dilemma_supplies_adrift
FIRST	wh2_dlc11_dilemma_neo_encounter_at_sea_1_a
SECOND	wh2_dlc11_dilemma_neo_encounter_at_sea_1_a
FIRST	wh2_dlc11_dilemma_neo_encounter_at_sea_1_b
SECOND	wh2_dlc11_dilemma_neo_encounter_at_sea_1_b
FIRST	wh2_dlc11_dilemma_neo_encounter_at_sea_1_c
SECOND	wh2_dlc11_dilemma_neo_encounter_at_sea_1_c
FIRST	wh2_dlc11_dilemma_neo_encounter_at_sea_2_a
SECOND	wh2_dlc11_dilemma_neo_encounter_at_sea_2_a
FIRST	wh2_dlc11_dilemma_neo_encounter_at_sea_2_b
SECOND	wh2_dlc11_dilemma_neo_encounter_at_sea_2_b
FIRST	wh2_dlc11_dilemma_neo_encounter_at_sea_2_c
SECOND	wh2_dlc11_dilemma_neo_encounter_at_sea_2_c
FIRST	wh2_dlc11_dilemma_neo_encounter_at_sea_3_a
SECOND	wh2_dlc11_dilemma_neo_encounter_at_sea_3_a
FIRST	wh2_dlc11_dilemma_neo_encounter_at_sea_3_b
SECOND	wh2_dlc11_dilemma_neo_encounter_at_sea_3_b
FIRST	wh2_dlc11_dilemma_neo_encounter_at_sea_3_c
SECOND	wh2_dlc11_dilemma_neo_encounter_at_sea_3_c
FIRST	wh2_dlc11_dilemma_neo_encounter_at_sea_4_a
SECOND	wh2_dlc11_dilemma_neo_encounter_at_sea_4_a
FIRST	wh2_dlc11_great_vortex_cst_cylostra_the_bordeleaux_flabellum_stage_4
SECOND	wh2_dlc11_great_vortex_cst_cylostra_the_bordeleaux_flabellum_stage_4
FIRST	wh2_dlc11_th_puzzle_1_1
FOURTH	wh2_dlc11_th_puzzle_1_1
SECOND	wh2_dlc11_th_puzzle_1_1
THIRD	wh2_dlc11_th_puzzle_1_1
FIRST	wh2_dlc11_th_puzzle_1_2
FOURTH	wh2_dlc11_th_puzzle_1_2
SECOND	wh2_dlc11_th_puzzle_1_2
THIRD	wh2_dlc11_th_puzzle_1_2
FIRST	wh2_dlc11_th_puzzle_1_3
FOURTH	wh2_dlc11_th_puzzle_1_3
SECOND	wh2_dlc11_th_puzzle_1_3
THIRD	wh2_dlc11_th_puzzle_1_3
FIRST	wh2_dlc11_th_puzzle_1_4
FOURTH	wh2_dlc11_th_puzzle_1_4
SECOND	wh2_dlc11_th_puzzle_1_4
THIRD	wh2_dlc11_th_puzzle_1_4
FIRST	wh2_dlc11_th_puzzle_1_5
FOURTH	wh2_dlc11_th_puzzle_1_5
SECOND	wh2_dlc11_th_puzzle_1_5
THIRD	wh2_dlc11_th_puzzle_1_5
FIRST	wh2_dlc11_th_puzzle_1_6
FOURTH	wh2_dlc11_th_puzzle_1_6
SECOND	wh2_dlc11_th_puzzle_1_6
THIRD	wh2_dlc11_th_puzzle_1_6
FIRST	wh2_dlc11_th_puzzle_1_7
FOURTH	wh2_dlc11_th_puzzle_1_7
SECOND	wh2_dlc11_th_puzzle_1_7
THIRD	wh2_dlc11_th_puzzle_1_7
FIRST	wh2_dlc11_th_puzzle_1_8
FOURTH	wh2_dlc11_th_puzzle_1_8
SECOND	wh2_dlc11_th_puzzle_1_8
THIRD	wh2_dlc11_th_puzzle_1_8
FIRST	wh2_dlc11_th_puzzle_1_9
FOURTH	wh2_dlc11_th_puzzle_1_9
SECOND	wh2_dlc11_th_puzzle_1_9
THIRD	wh2_dlc11_th_puzzle_1_9
FIRST	wh2_dlc11_th_puzzle_2_10
FOURTH	wh2_dlc11_th_puzzle_2_10
SECOND	wh2_dlc11_th_puzzle_2_10
THIRD	wh2_dlc11_th_puzzle_2_10
FIRST	wh2_dlc11_th_puzzle_2_11
FOURTH	wh2_dlc11_th_puzzle_2_11
SECOND	wh2_dlc11_th_puzzle_2_11
THIRD	wh2_dlc11_th_puzzle_2_11
FIRST	wh2_dlc11_th_puzzle_2_12
FOURTH	wh2_dlc11_th_puzzle_2_12
SECOND	wh2_dlc11_th_puzzle_2_12
THIRD	wh2_dlc11_th_puzzle_2_12
FIRST	wh2_dlc11_th_puzzle_2_1
FOURTH	wh2_dlc11_th_puzzle_2_1
SECOND	wh2_dlc11_th_puzzle_2_1
THIRD	wh2_dlc11_th_puzzle_2_1
FIRST	wh2_dlc11_th_puzzle_2_2
FOURTH	wh2_dlc11_th_puzzle_2_2
SECOND	wh2_dlc11_th_puzzle_2_2
THIRD	wh2_dlc11_th_puzzle_2_2
FIRST	wh2_dlc11_th_puzzle_2_3
FOURTH	wh2_dlc11_th_puzzle_2_3
SECOND	wh2_dlc11_th_puzzle_2_3
THIRD	wh2_dlc11_th_puzzle_2_3
FIRST	wh2_dlc11_th_puzzle_2_4
FOURTH	wh2_dlc11_th_puzzle_2_4
SECOND	wh2_dlc11_th_puzzle_2_4
THIRD	wh2_dlc11_th_puzzle_2_4
FIRST	wh2_dlc11_th_puzzle_2_5
FOURTH	wh2_dlc11_th_puzzle_2_5
SECOND	wh2_dlc11_th_puzzle_2_5
THIRD	wh2_dlc11_th_puzzle_2_5
FIRST	wh2_dlc11_th_puzzle_2_6
FOURTH	wh2_dlc11_th_puzzle_2_6
SECOND	wh2_dlc11_th_puzzle_2_6
THIRD	wh2_dlc11_th_puzzle_2_6
FIRST	wh2_dlc11_th_puzzle_2_7
FOURTH	wh2_dlc11_th_puzzle_2_7
SECOND	wh2_dlc11_th_puzzle_2_7
THIRD	wh2_dlc11_th_puzzle_2_7
FIRST	wh2_dlc11_th_puzzle_2_8
FOURTH	wh2_dlc11_th_puzzle_2_8
SECOND	wh2_dlc11_th_puzzle_2_8
THIRD	wh2_dlc11_th_puzzle_2_8
FIRST	wh2_dlc11_th_puzzle_2_9
FOURTH	wh2_dlc11_th_puzzle_2_9
SECOND	wh2_dlc11_th_puzzle_2_9
THIRD	wh2_dlc11_th_puzzle_2_9
FIRST	wh2_dlc11_th_puzzle_3_10
FOURTH	wh2_dlc11_th_puzzle_3_10
SECOND	wh2_dlc11_th_puzzle_3_10
THIRD	wh2_dlc11_th_puzzle_3_10
FIRST	wh2_dlc11_th_puzzle_3_11
FOURTH	wh2_dlc11_th_puzzle_3_11
SECOND	wh2_dlc11_th_puzzle_3_11
THIRD	wh2_dlc11_th_puzzle_3_11
FIRST	wh2_dlc11_th_puzzle_3_12
FOURTH	wh2_dlc11_th_puzzle_3_12
SECOND	wh2_dlc11_th_puzzle_3_12
THIRD	wh2_dlc11_th_puzzle_3_12
FIRST	wh2_dlc11_th_puzzle_3_1
FOURTH	wh2_dlc11_th_puzzle_3_1
SECOND	wh2_dlc11_th_puzzle_3_1
THIRD	wh2_dlc11_th_puzzle_3_1
FIRST	wh2_dlc11_th_puzzle_3_2
FOURTH	wh2_dlc11_th_puzzle_3_2
SECOND	wh2_dlc11_th_puzzle_3_2
THIRD	wh2_dlc11_th_puzzle_3_2
FIRST	wh2_dlc11_th_puzzle_3_3
FOURTH	wh2_dlc11_th_puzzle_3_3
SECOND	wh2_dlc11_th_puzzle_3_3
THIRD	wh2_dlc11_th_puzzle_3_3
FIRST	wh2_dlc11_th_puzzle_3_4
FOURTH	wh2_dlc11_th_puzzle_3_4
SECOND	wh2_dlc11_th_puzzle_3_4
THIRD	wh2_dlc11_th_puzzle_3_4
FIRST	wh2_dlc11_th_puzzle_3_5
FOURTH	wh2_dlc11_th_puzzle_3_5
SECOND	wh2_dlc11_th_puzzle_3_5
THIRD	wh2_dlc11_th_puzzle_3_5
FIRST	wh2_dlc11_th_puzzle_3_6
FOURTH	wh2_dlc11_th_puzzle_3_6
SECOND	wh2_dlc11_th_puzzle_3_6
THIRD	wh2_dlc11_th_puzzle_3_6
FIRST	wh2_dlc11_th_puzzle_3_7
FOURTH	wh2_dlc11_th_puzzle_3_7
SECOND	wh2_dlc11_th_puzzle_3_7
THIRD	wh2_dlc11_th_puzzle_3_7
FIRST	wh2_dlc11_th_puzzle_3_8
FOURTH	wh2_dlc11_th_puzzle_3_8
SECOND	wh2_dlc11_th_puzzle_3_8
THIRD	wh2_dlc11_th_puzzle_3_8
FIRST	wh2_dlc11_th_puzzle_3_9
FOURTH	wh2_dlc11_th_puzzle_3_9
SECOND	wh2_dlc11_th_puzzle_3_9
THIRD	wh2_dlc11_th_puzzle_3_9
FIRST	wh2_dlc11_th_puzzle_4_1
FOURTH	wh2_dlc11_th_puzzle_4_1
SECOND	wh2_dlc11_th_puzzle_4_1
THIRD	wh2_dlc11_th_puzzle_4_1
FIRST	wh2_dlc11_th_puzzle_4_2
FOURTH	wh2_dlc11_th_puzzle_4_2
SECOND	wh2_dlc11_th_puzzle_4_2
THIRD	wh2_dlc11_th_puzzle_4_2
FIRST	wh2_dlc11_th_puzzle_4_3
FOURTH	wh2_dlc11_th_puzzle_4_3
SECOND	wh2_dlc11_th_puzzle_4_3
THIRD	wh2_dlc11_th_puzzle_4_3
FIRST	wh2_dlc11_th_puzzle_4_4
FOURTH	wh2_dlc11_th_puzzle_4_4
SECOND	wh2_dlc11_th_puzzle_4_4
THIRD	wh2_dlc11_th_puzzle_4_4
FIRST	wh2_dlc11_th_puzzle_4_5
FOURTH	wh2_dlc11_th_puzzle_4_5
SECOND	wh2_dlc11_th_puzzle_4_5
THIRD	wh2_dlc11_th_puzzle_4_5
FIRST	wh2_dlc11_th_puzzle_4_6
FOURTH	wh2_dlc11_th_puzzle_4_6
SECOND	wh2_dlc11_th_puzzle_4_6
THIRD	wh2_dlc11_th_puzzle_4_6
FIRST	wh2_dlc11_th_puzzle_4_7
FOURTH	wh2_dlc11_th_puzzle_4_7
SECOND	wh2_dlc11_th_puzzle_4_7
THIRD	wh2_dlc11_th_puzzle_4_7
FIRST	wh2_dlc11_th_puzzle_4_8
FOURTH	wh2_dlc11_th_puzzle_4_8
SECOND	wh2_dlc11_th_puzzle_4_8
THIRD	wh2_dlc11_th_puzzle_4_8
FIRST	wh2_dlc11_th_puzzle_4_9
FOURTH	wh2_dlc11_th_puzzle_4_9
SECOND	wh2_dlc11_th_puzzle_4_9
THIRD	wh2_dlc11_th_puzzle_4_9
FIRST	wh2_dlc11_vor_cst_dilemma_ocean_of_opportunities
FOURTH	wh2_dlc11_vor_cst_dilemma_ocean_of_opportunities
SECOND	wh2_dlc11_vor_cst_dilemma_ocean_of_opportunities
THIRD	wh2_dlc11_vor_cst_dilemma_ocean_of_opportunities
FIRST	wh2_main_def_names_of_power_ar_1_sacrifice
SECOND	wh2_main_def_names_of_power_ar_1_sacrifice
FIRST	wh2_main_def_names_of_power_ar_2_caravan
SECOND	wh2_main_def_names_of_power_ar_2_caravan
FIRST	wh2_main_def_names_of_power_ar_3_battle
SECOND	wh2_main_def_names_of_power_ar_3_battle
FIRST	wh2_main_def_names_of_power_ar_4_beast
SECOND	wh2_main_def_names_of_power_ar_4_beast
FIRST	wh2_main_def_names_of_power_ar_5_tideofbattle
SECOND	wh2_main_def_names_of_power_ar_5_tideofbattle
FIRST	wh2_main_def_names_of_power_ar_6_raid
SECOND	wh2_main_def_names_of_power_ar_6_raid
FIRST	wh2_main_def_names_of_power_ca_1_ambush
SECOND	wh2_main_def_names_of_power_ca_1_ambush
FIRST	wh2_main_def_names_of_power_ca_2_spoils
SECOND	wh2_main_def_names_of_power_ca_2_spoils
FIRST	wh2_main_def_names_of_power_ca_3_siege
SECOND	wh2_main_def_names_of_power_ca_3_siege
FIRST	wh2_main_def_names_of_power_ca_4_sorceress
SECOND	wh2_main_def_names_of_power_ca_4_sorceress
FIRST	wh2_main_def_names_of_power_ca_5_draft
SECOND	wh2_main_def_names_of_power_ca_5_draft
FIRST	wh2_main_def_names_of_power_ca_6_captive
SECOND	wh2_main_def_names_of_power_ca_6_captive
FIRST	wh2_main_def_names_of_power_co_1_potion
SECOND	wh2_main_def_names_of_power_co_1_potion
FIRST	wh2_main_def_names_of_power_co_2_dragon
SECOND	wh2_main_def_names_of_power_co_2_dragon
FIRST	wh2_main_def_names_of_power_co_3_smith
SECOND	wh2_main_def_names_of_power_co_3_smith
FIRST	wh2_main_def_names_of_power_co_4_teacher
SECOND	wh2_main_def_names_of_power_co_4_teacher
FIRST	wh2_main_def_names_of_power_co_5_hex
SECOND	wh2_main_def_names_of_power_co_5_hex
FIRST	wh2_main_def_names_of_power_co_6_hydra
SECOND	wh2_main_def_names_of_power_co_6_hydra
FIRST	wh2_main_dilemma_encounter_at_sea_1
SECOND	wh2_main_dilemma_encounter_at_sea_1
FIRST	wh2_main_dilemma_encounter_at_sea_1_a
SECOND	wh2_main_dilemma_encounter_at_sea_1_a
FIRST	wh2_main_dilemma_encounter_at_sea_2
SECOND	wh2_main_dilemma_encounter_at_sea_2
FIRST	wh2_main_dilemma_encounter_at_sea_2_a
SECOND	wh2_main_dilemma_encounter_at_sea_2_a
FIRST	wh2_main_dilemma_encounter_at_sea_3
SECOND	wh2_main_dilemma_encounter_at_sea_3
FIRST	wh2_main_dilemma_encounter_at_sea_3_a
SECOND	wh2_main_dilemma_encounter_at_sea_3_a
FIRST	wh2_main_dilemma_encounter_at_sea_4
SECOND	wh2_main_dilemma_encounter_at_sea_4
FIRST	wh2_main_dilemma_encounter_at_sea_4_a
SECOND	wh2_main_dilemma_encounter_at_sea_4_a
FIRST	wh2_main_dilemma_grand_campaign_victory
FIRST	wh2_main_dilemma_grand_campaign_victory_arkhan
FIRST	wh2_main_dilemma_loyalty_def_all_along_the_watch_towers_1
SECOND	wh2_main_dilemma_loyalty_def_all_along_the_watch_towers_1
FIRST	wh2_main_dilemma_loyalty_def_black_council_1
SECOND	wh2_main_dilemma_loyalty_def_black_council_1
FIRST	wh2_main_dilemma_loyalty_def_black_dragon_egg_1
SECOND	wh2_main_dilemma_loyalty_def_black_dragon_egg_1
FIRST	wh2_main_dilemma_loyalty_def_blessing_of_khaine_1
SECOND	wh2_main_dilemma_loyalty_def_blessing_of_khaine_1
FIRST	wh2_main_dilemma_loyalty_def_contest_of_claws_1
SECOND	wh2_main_dilemma_loyalty_def_contest_of_claws_1
FIRST	wh2_main_dilemma_loyalty_def_dark_crag_1
SECOND	wh2_main_dilemma_loyalty_def_dark_crag_1
FIRST	wh2_main_dilemma_loyalty_def_price_of_treachery_1
SECOND	wh2_main_dilemma_loyalty_def_price_of_treachery_1
FIRST	wh2_main_dilemma_loyalty_def_sorceror_delinquent_1
SECOND	wh2_main_dilemma_loyalty_def_sorceror_delinquent_1
FIRST	wh2_main_dilemma_loyalty_def_stitch_up_1
SECOND	wh2_main_dilemma_loyalty_def_stitch_up_1
FIRST	wh2_main_dilemma_loyalty_def_sunless_seas_1
SECOND	wh2_main_dilemma_loyalty_def_sunless_seas_1
FIRST	wh2_main_dilemma_loyalty_def_the_purge_1
SECOND	wh2_main_dilemma_loyalty_def_the_purge_1
FIRST	wh2_main_dilemma_loyalty_positive_def_a_tribute
SECOND	wh2_main_dilemma_loyalty_positive_def_a_tribute
THIRD	wh2_main_dilemma_loyalty_positive_def_a_tribute
FIRST	wh2_main_dilemma_loyalty_positive_def_assassin
SECOND	wh2_main_dilemma_loyalty_positive_def_assassin
FIRST	wh2_main_dilemma_loyalty_positive_def_insurgents
SECOND	wh2_main_dilemma_loyalty_positive_def_insurgents
THIRD	wh2_main_dilemma_loyalty_positive_def_insurgents
FIRST	wh2_main_dilemma_loyalty_positive_def_the_alchemist
SECOND	wh2_main_dilemma_loyalty_positive_def_the_alchemist
FIRST	wh2_main_dilemma_loyalty_positive_def_the_audience
FOURTH	wh2_main_dilemma_loyalty_positive_def_the_audience
SECOND	wh2_main_dilemma_loyalty_positive_def_the_audience
THIRD	wh2_main_dilemma_loyalty_positive_def_the_audience
FIRST	wh2_main_dilemma_loyalty_positive_def_the_beastmaster
SECOND	wh2_main_dilemma_loyalty_positive_def_the_beastmaster
FIRST	wh2_main_dilemma_loyalty_positive_def_the_black_council
FOURTH	wh2_main_dilemma_loyalty_positive_def_the_black_council
SECOND	wh2_main_dilemma_loyalty_positive_def_the_black_council
THIRD	wh2_main_dilemma_loyalty_positive_def_the_black_council
FIRST	wh2_main_dilemma_loyalty_positive_def_the_curse_of_kurnous
SECOND	wh2_main_dilemma_loyalty_positive_def_the_curse_of_kurnous
THIRD	wh2_main_dilemma_loyalty_positive_def_the_curse_of_kurnous
FIRST	wh2_main_dilemma_loyalty_positive_def_the_dagger
SECOND	wh2_main_dilemma_loyalty_positive_def_the_dagger
THIRD	wh2_main_dilemma_loyalty_positive_def_the_dagger
FIRST	wh2_main_dilemma_loyalty_positive_def_the_hermit
SECOND	wh2_main_dilemma_loyalty_positive_def_the_hermit
FIRST	wh2_main_dilemma_loyalty_positive_def_the_relic
SECOND	wh2_main_dilemma_loyalty_positive_def_the_relic
FIRST	wh2_main_dilemma_loyalty_positive_def_the_statue
SECOND	wh2_main_dilemma_loyalty_positive_def_the_statue
THIRD	wh2_main_dilemma_loyalty_positive_def_the_statue
FIRST	wh2_main_dilemma_loyalty_positive_def_the_traitors
SECOND	wh2_main_dilemma_loyalty_positive_def_the_traitors
FIRST	wh2_main_dilemma_loyalty_positive_def_wrongly_accused
FOURTH	wh2_main_dilemma_loyalty_positive_def_wrongly_accused
SECOND	wh2_main_dilemma_loyalty_positive_def_wrongly_accused
THIRD	wh2_main_dilemma_loyalty_positive_def_wrongly_accused
FIRST	wh2_main_dilemma_loyalty_positive_skv_a_noise_problem
FOURTH	wh2_main_dilemma_loyalty_positive_skv_a_noise_problem
SECOND	wh2_main_dilemma_loyalty_positive_skv_a_noise_problem
THIRD	wh2_main_dilemma_loyalty_positive_skv_a_noise_problem
FIRST	wh2_main_dilemma_loyalty_positive_skv_clawback_provision
SECOND	wh2_main_dilemma_loyalty_positive_skv_clawback_provision
FIRST	wh2_main_dilemma_loyalty_positive_skv_connivers
SECOND	wh2_main_dilemma_loyalty_positive_skv_connivers
FIRST	wh2_main_dilemma_loyalty_positive_skv_dust_it_off
SECOND	wh2_main_dilemma_loyalty_positive_skv_dust_it_off
THIRD	wh2_main_dilemma_loyalty_positive_skv_dust_it_off
FIRST	wh2_main_dilemma_loyalty_positive_skv_item_of_power
SECOND	wh2_main_dilemma_loyalty_positive_skv_item_of_power
FIRST	wh2_main_dilemma_loyalty_positive_skv_keg_of_boom
