region_to_province_junctions_tables	1
wh2_main_huahuan_desert	wh2_main_huahuan_desert_the_golden_colossus	false
wh2_main_iron_mountains	wh2_main_iron_mountains_altar_of_ultimate_darkness	false
wh2_main_iron_mountains	wh2_main_iron_mountains_har_kaldra	false
wh2_main_iron_mountains	wh2_main_iron_mountains_naggarond	true
wh2_main_iron_mountains	wh2_main_iron_mountains_rackdo_gorge	false
wh2_main_ironfrost_glacier	wh2_main_ironfrost_glacier_dagraks_end	false
wh2_main_ironfrost_glacier	wh2_main_ironfrost_glacier_ironfrost	true
wh2_main_isthmus_of_lustria	wh2_main_isthmus_of_lustria_fallen_gates	false
wh2_main_isthmus_of_lustria	wh2_main_isthmus_of_lustria_hexoatl	true
wh2_main_isthmus_of_lustria	wh2_main_isthmus_of_lustria_skeggi	false
wh2_main_isthmus_of_lustria	wh2_main_isthmus_of_lustria_ziggurat_of_dawn	false
wh2_main_jungles_of_green_mists	wh2_main_jungles_of_green_mist_pillars_of_unseen_constellations	false
wh2_main_jungles_of_green_mists	wh2_main_jungles_of_green_mists_spektazuma	true
wh2_main_jungles_of_green_mists	wh2_main_jungles_of_green_mists_wellsprings_of_eternity	false
wh2_main_kingdom_of_beasts	wh2_main_kingdom_of_beasts_serpent_coast	false
wh2_main_kingdom_of_beasts	wh2_main_kingdom_of_beasts_temple_of_skulls	true
wh2_main_kingdom_of_beasts	wh2_main_kingdom_of_beasts_the_cursed_jungle	false
wh2_main_land_of_assassins	wh2_main_land_of_assassins_lashiek	false
wh2_main_land_of_assassins	wh2_main_land_of_assassins_palace_of_the_wizard_caliph	true
wh2_main_land_of_assassins	wh2_main_land_of_assassins_sorcerers_islands	false
wh2_main_land_of_the_dead	wh2_main_land_of_the_dead_khemri	true
wh2_main_land_of_the_dead	wh2_main_land_of_the_dead_pyramid_of_nagash	false
wh2_main_land_of_the_dead	wh2_main_land_of_the_dead_zandri	false
wh2_main_land_of_the_dervishes	wh2_main_land_of_the_dervishes_plain_of_tuskers	false
wh2_main_land_of_the_dervishes	wh2_main_land_of_the_dervishes_sudenburg	true
wh2_main_nagarythe	wh2_main_nagarythe_shrine_of_khaine	false
wh2_main_nagarythe	wh2_main_nagarythe_tor_anlec	true
wh2_main_nagarythe	wh2_main_nagarythe_tor_dranil	false
wh2_main_northern_great_jungle	wh2_main_northern_great_jungle_chaqua	false
wh2_main_northern_great_jungle	wh2_main_northern_great_jungle_temple_of_tlencan	false
wh2_main_northern_great_jungle	wh2_main_northern_great_jungle_xahutec	false
wh2_main_northern_great_jungle	wh2_main_northern_great_jungle_xlanhuapec	true
wh2_main_northern_jungle_of_pahualaxa	wh2_main_northern_jungle_of_pahualaxa_macu_peaks	true
wh2_main_northern_jungle_of_pahualaxa	wh2_main_northern_jungle_of_pahualaxa_port_reaver	false
wh2_main_northern_jungle_of_pahualaxa	wh2_main_northern_jungle_of_pahualaxa_shrine_of_sotek	false
wh2_main_northern_jungle_of_pahualaxa	wh2_main_northern_jungle_of_pahualaxa_swamp_town	false
wh2_main_obsidian_peaks	wh2_main_obsidian_peaks_circle_of_destruction	false
wh2_main_obsidian_peaks	wh2_main_obsidian_peaks_clar_karond	true
wh2_main_obsidian_peaks	wh2_main_obsidian_peaks_storag_kor	false
wh2_main_obsidian_peaks	wh2_main_obsidian_peaks_venom_glade	false
wh2_main_phoenix_gate	wh2_main_phoenix_gate	true
wh2_main_saphery	wh2_main_saphery_port_elistor	false
wh2_main_saphery	wh2_main_saphery_tor_finu	false
wh2_main_saphery	wh2_main_saphery_tower_of_hoeth	true
wh2_main_sartosa	wh2_main_sartosa_sartosa	true
wh2_main_shifting_sands	wh2_main_shifting_sands_antoch	false
wh2_main_shifting_sands	wh2_main_shifting_sands_bhagar	false
wh2_main_shifting_sands	wh2_main_shifting_sands_ka-sabar	true
wh2_main_skavenblight	wh2_main_skavenblight_skavenblight	true
wh2_main_southern_great_jungle	wh2_main_southern_great_jungle_axlotl	false
wh2_main_southern_great_jungle	wh2_main_southern_great_jungle_itza	true
wh2_main_southern_great_jungle	wh2_main_southern_great_jungle_subatuun	false
wh2_main_southern_jungle_of_pahualaxa	wh2_main_southern_jungle_of_pahualaxa_floating_pyramid	false
wh2_main_southern_jungle_of_pahualaxa	wh2_main_southern_jungle_of_pahualaxa_monument_of_the_moon	false
wh2_main_southern_jungle_of_pahualaxa	wh2_main_southern_jungle_of_pahualaxa_pahuax	true
wh2_main_southern_jungle_of_pahualaxa	wh2_main_southern_jungle_of_pahualaxa_the_high_sentinel	false
wh2_main_southlands_jungle	wh2_main_southlands_jungle_golden_tower_of_the_gods	false
wh2_main_southlands_jungle	wh2_main_southlands_jungle_teotiqua	true
wh2_main_southlands_worlds_edge_mountains	wh2_main_southlands_worlds_edge_mountains_karak_zorn	true
wh2_main_southlands_worlds_edge_mountains	wh2_main_southlands_worlds_edge_mountains_lost_plateau	false
wh2_main_southlands_worlds_edge_mountains	wh2_main_southlands_worlds_edge_mountains_mount_arachnos	false
wh2_main_spine_of_sotek	wh2_main_spine_of_sotek_hualotal	true
wh2_main_spine_of_sotek	wh2_main_spine_of_sotek_mine_of_the_bearded_skulls	false
wh2_main_spine_of_sotek	wh2_main_spine_of_sotek_monument_of_izzatal	false
wh2_main_the_black_coast	wh2_main_the_black_coast_arnheim	true
wh2_main_the_black_coast	wh2_main_the_black_coast_bleak_hold_fortress	false
wh2_main_the_black_flood	wh2_main_the_black_flood_cragroth_deep	false
wh2_main_the_black_flood	wh2_main_the_black_flood_hag_graef	true
wh2_main_the_black_flood	wh2_main_the_black_flood_shroktak_mount	false
wh2_main_the_black_flood	wh2_main_the_black_flood_temple_of_khaine	false
wh2_main_the_broken_land	wh2_main_the_broken_land_blacklight_tower	false
wh2_main_the_broken_land	wh2_main_the_broken_land_karond_kar	true
wh2_main_the_broken_land	wh2_main_the_broken_land_slavers_point	false
wh2_main_the_chill_road	wh2_main_the_chill_road_ashrak	false
wh2_main_the_chill_road	wh2_main_the_chill_road_ghrond	true
wh2_main_the_chill_road	wh2_main_the_chill_road_the_great_arena	false
wh2_main_the_clawed_coast	wh2_main_the_clawed_coast_hoteks_column	true
wh2_main_the_clawed_coast	wh2_main_the_clawed_coast_the_monoliths	false
wh2_main_the_clawed_coast	wh2_main_the_clawed_coast_the_twisted_glade	false
wh2_main_the_creeping_jungle	wh2_main_the_creeping_jungle_temple_of_kara	false
wh2_main_the_creeping_jungle	wh2_main_the_creeping_jungle_tlanxla	false
wh2_main_the_creeping_jungle	wh2_main_the_creeping_jungle_tlaxtlan	true
wh2_main_galleons_graveyard	wh2_main_the_galleons_graveyard	true
wh2_main_the_road_of_skulls	wh2_main_the_road_of_skulls_har_ganeth	true
wh2_main_the_road_of_skulls	wh2_main_the_road_of_skulls_kauark	false
wh2_main_the_road_of_skulls	wh2_main_the_road_of_skulls_spite_reach	false
wh2_main_the_road_of_skulls	wh2_main_the_road_of_skulls_the_black_pillar	false
wh2_main_tiranoc	wh2_main_tiranoc_tor_anroc	true
wh2_main_tiranoc	wh2_main_tiranoc_whitepeak	false
wh2_main_titan_peaks	wh2_main_titan_peaks_ancient_city_of_quintex	true
wh2_main_titan_peaks	wh2_main_titan_peaks_ironspike	false
wh2_main_titan_peaks	wh2_main_titan_peaks_ssildra_tor	false
wh2_main_titan_peaks	wh2_main_titan_peaks_the_moon_shard	false
wh2_main_unicorn_gate	wh2_main_unicorn_gate	true
wh2_main_vampire_coast	wh2_main_vampire_coast_pox_marsh	false
wh2_main_vampire_coast	wh2_main_vampire_coast_the_awakening	true
wh2_main_vampire_coast	wh2_main_vampire_coast_the_blood_swamps	false
wh2_main_volcanic_islands	wh2_main_volcanic_islands_fuming_serpent	false
wh2_main_volcanic_islands	wh2_main_volcanic_islands_the_star_tower	true
wh2_main_vor_aghol_wastelands	wh2_main_vor_aghol_wastelands_fortress_of_the_damned	true
wh2_main_vor_aghol_wastelands	wh2_main_vor_aghol_wastelands_palace_of_princes	false
wh2_main_vor_aghol_wastelands	wh2_main_vor_aghol_wastelands_the_palace_of_ruin	false
wh2_main_vor_albion	wh2_main_vor_albion_albion	true
wh2_main_vor_albion	wh2_main_vor_albion_pack_ice_bay	false
wh2_main_vor_albion	wh2_main_vor_albion_troll_fjord	false
wh2_main_vor_ash_river	wh2_main_vor_ash_river_numas	true
wh2_main_vor_ash_river	wh2_main_vor_ash_river_quatar	false
wh2_main_vor_ash_river	wh2_main_vor_ash_river_springs_of_eternal_life	false
wh2_main_vor_ash_river	wh2_main_vor_ash_river_the_salt_plain	false
wh2_main_vor_ashen_coast	wh2_main_vor_ashen_coast_scarpels_lair	true
wh2_main_vor_ashen_coast	wh2_main_vor_ashen_coast_sulpharets	false
wh2_main_vor_ashen_coast	wh2_main_vor_ashen_coast_titan_peak	false
wh2_main_vor_ashen_coast	wh2_main_vor_ashen_coast_tyrant_peak	false
wh2_main_vor_avelorn	wh2_main_vor_avelorn_evershale	false
wh2_main_vor_avelorn	wh2_main_vor_avelorn_gaean_vale	true
wh2_main_vor_avelorn	wh2_main_vor_avelorn_tor_saroir	false
wh2_main_vor_caledor	wh2_main_vor_caledor_caledors_repose	false
wh2_main_vor_caledor	wh2_main_vor_caledor_tor_sethai	false
wh2_main_vor_caledor	wh2_main_vor_caledor_vauls_anvil	true
wh2_main_vor_central_spine_of_sotek	wh2_main_vor_central_spine_of_sotek_caverns_of_the_great_bat	false
wh2_main_vor_central_spine_of_sotek	wh2_main_vor_central_spine_of_sotek_chiquibol	true
wh2_main_vor_chrace	wh2_main_vor_chrace_elisia	false
wh2_main_vor_chrace	wh2_main_vor_chrace_tor_achare	true
wh2_main_vor_chrace	wh2_main_vor_chrace_tor_gard	false
wh2_main_vor_coast_of_araby	wh2_main_vor_coast_of_araby_al_haikk	true
wh2_main_vor_coast_of_araby	wh2_main_vor_coast_of_araby_copher	false
wh2_main_vor_coast_of_araby	wh2_main_vor_coast_of_araby_fyrus	false
wh2_main_vor_coast_of_araby	wh2_main_vor_coast_of_araby_martek	false
wh2_main_vor_coast_of_squalls	wh2_main_vor_coast_of_squalls_macu_peaks	true
wh2_main_vor_coast_of_squalls	wh2_main_vor_coast_of_squalls_monument_of_the_sun	false
wh2_main_vor_coast_of_squalls	wh2_main_vor_coast_of_squalls_shrine_of_sotek	false
wh2_main_vor_coasts_of_the_lustrian_gulf	wh2_main_vor_coasts_of_the_lustrian_gulf_the_night_forest	false
wh2_main_vor_cobra_pass	wh2_main_vor_cobra_pass_eye_of_the_panther	false
wh2_main_vor_cobra_pass	wh2_main_vor_cobra_pass_vulture_mountain	true
wh2_main_vor_copper_desert	wh2_main_vor_copper_desert_the_dust_gate	false
wh2_main_vor_copper_desert	wh2_main_vor_copper_desert_the_forgotten_isles	true
wh2_main_vor_copper_desert	wh2_main_vor_copper_desert_the_golden_colossus	false
wh2_main_vor_cothique	wh2_main_vor_cothique_mistnar	false
wh2_main_vor_cothique	wh2_main_vor_cothique_tor_koruali	true
wh2_main_vor_culchan_plains	wh2_main_vor_culchan_plains_chupayotl	true
wh2_main_vor_coasts_of_the_lustrian_gulf	wh2_main_vor_culchan_plains_kaiax	true
wh2_main_vor_culchan_plains	wh2_main_vor_culchan_plains_the_hissing_god	false
wh2_main_vor_culchan_plains	wh2_main_vor_culchan_plains_the_southern_sentinels	false
wh2_main_vor_the_capes	wh2_main_vor_culchan_plains_xlansec	false
wh2_main_vor_deadwood	wh2_main_vor_deadwood_dargoth	false
wh2_main_vor_deadwood	wh2_main_vor_deadwood_nagrar	false
wh2_main_vor_deadwood	wh2_main_vor_deadwood_shagrath	false
wh2_main_vor_deadwood	wh2_main_vor_deadwood_the_frozen_city	true
wh2_main_vor_eagle_gate	wh2_main_vor_eagle_gate	true
wh2_main_vor_eataine	wh2_main_vor_eataine_angerrial	true
wh2_main_vor_eataine	wh2_main_vor_eataine_shrine_of_asuryan	false
wh2_main_vor_ellyrion	wh2_main_vor_ellyrion_reavers_mark	false
wh2_main_vor_ellyrion	wh2_main_vor_ellyrion_the_arc_span	false
wh2_main_vor_ellyrion	wh2_main_vor_ellyrion_tor_elyr	true
wh2_main_vor_forest_of_the_viper	wh2_main_vor_forest_of_the_viper_chotecs_causeway	false
wh2_main_vor_forest_of_the_viper	wh2_main_vor_forest_of_the_viper_fallen_gates	false
wh2_main_vor_forest_of_the_viper	wh2_main_vor_forest_of_the_viper_mirror_pool_of_tepok	true
wh2_main_vor_great_mortis_delta	wh2_main_vor_great_mortis_delta_black_pyramid_of_nagash	true
wh2_main_vor_grey_guardians	wh2_main_vor_grey_guardians_grey_rock_point	false
wh2_main_vor_grey_guardians	wh2_main_vor_grey_guardians_ssildra_tor	true
wh2_main_vor_grey_guardians	wh2_main_vor_grey_guardians_sulpharets	false
wh2_main_vor_grey_guardians	wh2_main_vor_grey_guardians_titan_peak	false
wh2_main_vor_griffon_gate	wh2_main_vor_griffon_gate	true
wh2_main_vor_headhunters_jungle	wh2_main_vor_headhunters_jungle_altar_of_the_horned_rat	true
wh2_main_vor_headhunters_jungle	wh2_main_vor_headhunters_jungle_marks_of_the_old_ones	false
wh2_main_vor_heart_of_the_jungle	wh2_main_vor_heart_of_the_jungle_oreons_camp	true
wh2_main_vor_iron_mountains	wh2_main_vor_iron_mountains_altar_of_ultimate_darkness	true
wh2_main_vor_iron_mountains	wh2_main_vor_iron_mountains_cragroth_deep	false
wh2_main_vor_iron_mountains	wh2_main_vor_iron_mountains_rackdo_gorge	false
wh2_main_vor_iron_mountains	wh2_main_vor_iron_mountains_shroktak_mount	false
wh2_main_vor_iron_peaks	wh2_main_vor_iron_peaks_ancient_city_of_quintex	true
wh2_main_vor_iron_peaks	wh2_main_vor_iron_peaks_ironspike	false
wh2_main_vor_iron_peaks	wh2_main_vor_iron_peaks_the_moon_shard	false
wh2_main_vor_ironfrost_glacier	wh2_main_vor_ironfrost_glacier_bear_isle	true
wh2_main_vor_ironfrost_glacier	wh2_main_vor_ironfrost_glacier_dagraks_end	false
wh2_main_vor_ironfrost_glacier	wh2_main_vor_ironfrost_glacier_ironfrost	false
wh2_main_vor_ironfrost_glacier	wh2_main_vor_ironfrost_glacier_mung_encampment	false
wh2_main_vor_isthmus_of_lustria	wh2_main_vor_isthmus_of_lustria_hexoatl	true
wh2_main_vor_isthmus_of_lustria	wh2_main_vor_isthmus_of_lustria_monolith_of_fallen_gods	false
wh2_main_vor_isthmus_of_lustria	wh2_main_vor_isthmus_of_lustria_ziggurat_of_dawn	false
wh2_main_vor_jungle_of_pahualaxa	wh2_main_vor_jungle_of_pahualaxa_floating_pyramid	false
wh2_main_vor_jungle_of_pahualaxa	wh2_main_vor_jungle_of_pahualaxa_monument_of_the_moon	false
wh2_main_vor_jungle_of_pahualaxa	wh2_main_vor_jungle_of_pahualaxa_pahuax	true
wh2_main_vor_jungle_of_pahualaxa	wh2_main_vor_jungle_of_pahualaxa_the_high_sentinel	false
wh2_main_vor_jungles_of_green_mist	wh2_main_vor_jungles_of_green_mist_pillars_of_unseen_constellations	false
wh2_main_vor_jungles_of_green_mist	wh2_main_vor_jungles_of_green_mist_spektazuma	true
wh2_main_vor_jungles_of_green_mist	wh2_main_vor_jungles_of_green_mist_wellsprings_of_eternity	false
wh2_main_vor_kingdom_of_beasts	wh2_main_vor_kingdom_of_beasts_serpent_coast	false
wh2_main_vor_kingdom_of_beasts	wh2_main_vor_kingdom_of_beasts_temple_of_skulls	true
wh2_main_vor_kingdom_of_beasts	wh2_main_vor_kingdom_of_beasts_the_cursed_jungle	false
wh2_main_vor_land_of_assassins	wh2_main_vor_land_of_assassins_lashiek	false
wh2_main_vor_land_of_assassins	wh2_main_vor_land_of_assassins_palace_of_the_wizard_caliph	true
wh2_main_vor_land_of_assassins	wh2_main_vor_land_of_assassins_sorcerers_islands	false
wh2_main_vor_land_of_the_dead	wh2_main_vor_land_of_the_dead_black_pyramid_of_nagash	false
wh2_main_vor_land_of_the_dead	wh2_main_vor_land_of_the_dead_khemri	true
wh2_main_vor_land_of_the_dead	wh2_main_vor_land_of_the_dead_springs_of_eternal_life	false
wh2_main_vor_land_of_the_dead	wh2_main_vor_land_of_the_dead_the_salt_plain	false
wh2_main_vor_land_of_the_dead	wh2_main_vor_land_of_the_dead_zandri	false
wh2_main_vor_land_of_the_dervishes	wh2_main_vor_land_of_the_dervishes_el-kalabad	true
wh2_main_vor_land_of_the_dervishes	wh2_main_vor_land_of_the_dervishes_elven_ruins	false
wh2_main_vor_land_of_the_dervishes	wh2_main_vor_land_of_the_dervishes_sudenburg	false
wh2_main_vor_mosquito_swamps	wh2_main_vor_mosquito_swamps_tlax	false
wh2_main_vor_mosquito_swamps	wh2_main_vor_mosquito_swamps_xahutec	false
wh2_main_vor_mosquito_swamps	wh2_main_vor_mosquito_swamps_xlanhuapec	true
wh2_main_vor_nagarythe	wh2_main_vor_nagarythe_shrine_of_khaine	false
wh2_main_vor_nagarythe	wh2_main_vor_nagarythe_tor_anlec	true
wh2_main_vor_nagarythe	wh2_main_vor_nagarythe_tor_dranil	false
wh2_main_vor_naggarond	wh2_main_vor_naggarond_har_kaldra	false
wh2_main_vor_naggarond	wh2_main_vor_naggarond_kaelra	false
wh2_main_vor_naggarond	wh2_main_vor_naggarond_naggarond	true
wh2_main_vor_northern_great_jungle	wh2_main_vor_northern_great_jungle_chaqua	false
wh2_main_vor_northern_great_jungle	wh2_main_vor_northern_great_jungle_itza	true
wh2_main_vor_northern_great_jungle	wh2_main_vor_northern_great_jungle_quetza	false
wh2_main_vor_northern_great_jungle	wh2_main_vor_northern_great_jungle_quittax	false
wh2_main_vor_northern_spine_of_sotek	wh2_main_vor_northern_spine_of_sotek_cavern_of_the_mlexigaur	false
wh2_main_vor_northern_spine_of_sotek	wh2_main_vor_northern_spine_of_sotek_hualotal	true
wh2_main_vor_northern_spine_of_sotek	wh2_main_vor_northern_spine_of_sotek_monument_of_izzatal	false
wh2_main_vor_northern_yvresse	wh2_main_vor_northern_yvresse_sardenath	false
wh2_main_vor_northern_yvresse	wh2_main_vor_northern_yvresse_tor_yvresse	true
wh2_main_vor_northern_yvresse	wh2_main_vor_northern_yvresse_tralinia	false
wh2_main_vor_obsidian_peaks	wh2_main_vor_obsidian_peaks_ice_rock_gorge	false
wh2_main_vor_obsidian_peaks	wh2_main_vor_obsidian_peaks_ice_spire	false
wh2_main_vor_obsidian_peaks	wh2_main_vor_obsidian_peaks_keshta_vault	true
wh2_main_vor_obsidian_peaks	wh2_main_vor_obsidian_peaks_temple_of_addaioth	false
wh2_main_vor_phoenix_gate	wh2_main_vor_phoenix_gate	true
wh2_main_vor_plain_of_spiders	wh2_main_vor_plain_of_spiders_clarak_spire	true
wh2_main_vor_plain_of_spiders	wh2_main_vor_plain_of_spiders_pits_of_zardok	false
wh2_main_vor_red_desert	wh2_main_vor_red_desert_drackla_spire	true
wh2_main_vor_red_desert	wh2_main_vor_red_desert_rothkar_spire	false
wh2_main_vor_river_qurveza	wh2_main_vor_river_qurveza_axlotl	true
wh2_main_vor_river_qurveza	wh2_main_vor_river_qurveza_mouth_of_qurveza	false
wh2_main_vor_saphery	wh2_main_vor_saphery_port_elistor	false
wh2_main_vor_saphery	wh2_main_vor_saphery_shadow_peak	false
wh2_main_vor_saphery	wh2_main_vor_saphery_tor_finu	false
wh2_main_vor_saphery	wh2_main_vor_saphery_tower_of_hoeth	true
wh2_main_vor_sartosa	wh2_main_vor_sartosa_sartosa	true
wh2_main_vor_scorpion_coast	wh2_main_vor_scorpion_coast_chotec	true
wh2_main_vor_scorpion_coast	wh2_main_vor_scorpion_coast_temple_of_tlencan	false
wh2_main_vor_sea_of_dread	wh2_main_vor_sea_of_dread_tor_elasor	true
wh2_main_vor_sea_of_dread	wh2_main_vor_sea_of_dread_tower_of_the_stars	false
wh2_main_vor_sea_of_dread	wh2_main_vor_sea_of_dread_tower_of_the_sun	false
wh2_main_vor_settlers_coast	wh2_main_vor_settlers_coast_port_reaver	false
wh2_main_vor_settlers_coast	wh2_main_vor_settlers_coast_skeggi	true
wh2_main_vor_settlers_coast	wh2_main_vor_settlers_coast_swamp_town	false
wh2_main_vor_shadow_wood	wh2_main_vor_shadow_wood_circle_of_destruction	false
wh2_main_vor_shadow_wood	wh2_main_vor_shadow_wood_clar_karond	true
wh2_main_vor_shadow_wood	wh2_main_vor_shadow_wood_daldrachs_lair	false
wh2_main_vor_shadow_wood	wh2_main_vor_shadow_wood_venom_glade	false
wh2_main_vor_shifting_mangrove_coastline	wh2_main_vor_shifting_mangrove_coastline_temple_avenue_of_gold	false
wh2_main_vor_shifting_mangrove_coastline	wh2_main_vor_shifting_mangrove_coastline_teotiqua	true
wh2_main_vor_shifting_sands	wh2_main_vor_shifting_sands_antoch	false
wh2_main_vor_shifting_sands	wh2_main_vor_shifting_sands_bhagar	false
wh2_main_vor_shifting_sands	wh2_main_vor_shifting_sands_ka-sabar	true
wh2_main_vor_shifting_sands	wh2_main_vor_shifting_sands_plain_of_tuskers	false
wh2_main_vor_southern_badlands	wh2_main_vor_southern_badlands_galbaraz	true
wh2_main_vor_southern_badlands	wh2_main_vor_southern_badlands_gor_gazan	false
wh2_main_vor_southern_great_jungle	wh2_main_vor_southern_great_jungle_gwakmol_crater	true
wh2_main_vor_southern_great_jungle	wh2_main_vor_southern_great_jungle_mortuary_of_tzulaqua	false
wh2_main_vor_southern_great_jungle	wh2_main_vor_southern_great_jungle_xhotl	false
wh2_main_vor_southern_jungles	wh2_main_vor_southern_jungles_dawns_light	false
wh2_main_vor_southern_jungles	wh2_main_vor_southern_jungles_scrag_hole	false
wh2_main_vor_southern_jungles	wh2_main_vor_southern_jungles_yuatek	true
wh2_main_vor_southern_spine_of_sotek	wh2_main_vor_southern_spine_of_sotek_mine_of_the_bearded_skulls	true
wh2_main_vor_southern_spine_of_sotek	wh2_main_vor_southern_spine_of_sotek_thrice-cursed_peak	false
wh2_main_vor_southern_yvresse	wh2_main_vor_southern_yvresse_cairn_thel	false
wh2_main_vor_southern_yvresse	wh2_main_vor_southern_yvresse_elessaeli	true
wh2_main_vor_southern_yvresse	wh2_main_vor_southern_yvresse_shrine_of_loec	false
wh2_main_vor_southlands_world_edge_mountains	wh2_main_vor_southlands_world_edge_mountains_karag_orrud	false
wh2_main_vor_southlands_world_edge_mountains	wh2_main_vor_southlands_world_edge_mountains_karak_zorn	true
wh2_main_vor_southlands_world_edge_mountains	wh2_main_vor_southlands_world_edge_mountains_lost_plateau	false
wh2_main_vor_southlands_world_edge_mountains	wh2_main_vor_southlands_world_edge_mountains_mount_arachnos	false
wh2_main_vor_straits_of_lothern	wh2_main_vor_straits_of_lothern_glittering_tower	false
wh2_main_vor_straits_of_lothern	wh2_main_vor_straits_of_lothern_lothern	true
wh2_main_vor_straits_of_lothern	wh2_main_vor_straits_of_lothern_tower_of_lysean	false
wh2_main_vor_the_black_coast	wh2_main_vor_the_black_coast_arnheim	false
wh2_main_vor_the_black_coast	wh2_main_vor_the_black_coast_bleak_hold_fortress	true
wh2_main_vor_the_black_coast	wh2_main_vor_the_black_coast_hag_hall	false
wh2_main_vor_the_black_coast	wh2_main_vor_the_black_coast_vauls_anvil	false
wh2_main_vor_the_black_flood	wh2_main_vor_the_black_flood_hag_graef	true
wh2_main_vor_the_black_flood	wh2_main_vor_the_black_flood_storag_kor	false
wh2_main_vor_the_black_flood	wh2_main_vor_the_black_flood_temple_of_khaine	false
wh2_main_vor_the_broken_land	wh2_main_vor_the_broken_land_black_creek_spire	false
