special_ability_phase_displays_tables	0
active_vfx	banner_vfx	entity_vfx	key
		wh2_main_unit_rebirth	wh2_main_unit_passive_rebirth
	wh_main_generic_banner_debuff	wh_dlc03_beasts_flock_of_doom_debuff	wh_dlc03_spell_beast_flock_of_doom
	wh_main_generic_banner_debuff	wh_dlc03_beasts_flock_of_doom_debuff	wh_dlc03_spell_beasts_flock_of_doom_upgraded
	wh_main_generic_banner_buff	wh_dlc03_beasts_panns_impenetrable_pelt_buff	wh_dlc03_spell_beasts_panns_impenetrable_pelt
	wh_main_generic_banner_debuff	wh_dlc03_beasts_curse_of_anraheir_debuff	wh_dlc03_spell_beasts_the_curse_of_anraheir
	wh_main_generic_banner_buff	wh_dlc03_beasts_wyssans_wildform_buff	wh_dlc03_spell_beasts_wyssans_wildform
	wh_main_generic_banner_debuff	wh_dlc03_wild_devolve_entity_debuff	wh_dlc03_spell_wild_devolve
	wh_main_generic_banner_buff	wh_dlc03_wild_mantle_of_ghorok_entity_buff	wh_dlc03_spell_wild_mantle_of_ghorok
	wh_main_generic_banner_debuff	wh_dlc03_wild_mantle_of_ghorok_unit_debuff	wh_dlc03_spell_wild_mantle_of_ghorok_debuff
	wh_main_generic_banner_debuff	wh_dlc03_wild_traitor_kin_entity_debuff	wh_dlc03_spell_wild_traitor_kin
		wh_main_generic_entity_buff_morale	wh_dlc03_unit_passive_bloodgreed
		wh_dlc05_abilities_aura_of_transmutation	wh_dlc05_abilities_aura_of_transmutation
	wh_main_generic_banner_debuff	wh_dlc05_pray_of_anath_entity_debuff	wh_dlc05_ability_pray_of_anath_raema
	wh_main_generic_banner_buff	wh_dlc05_mammoth_ward_save_all	wh_dlc05_mammoth_phase
	wh_main_generic_banner_buff	wh_dlc05_life_earthblood_entity_buff	wh_dlc05_spell_life_earth_blood
	wh_main_generic_banner_buff	wh_dlc05_life_earthblood_entity_buff	wh_dlc05_spell_life_earth_blood_upgraded
	wh_main_generic_banner_buff	wh_dlc05_life_flesh_to_stone_entity_buff	wh_dlc05_spell_life_flesh_to_stone
	wh_main_generic_banner_buff	wh_dlc05_life_flesh_to_stone_entity_buff	wh_dlc05_spell_life_flesh_to_stone_upgraded
	wh_main_generic_banner_buff	wh_dlc05_life_regrowth_entity_buff	wh_dlc05_spell_life_regrowth
	wh_main_generic_banner_buff	wh_dlc05_life_regrowth_entity_buff	wh_dlc05_spell_life_regrowth_upgraded
	wh_main_generic_banner_buff	wh_dlc05_life_shield_of_thornes_entity_buff	wh_dlc05_spell_life_shield_of_thorns
	wh_main_generic_banner_buff	wh_dlc05_life_shield_of_thornes_entity_buff	wh_dlc05_spell_life_shield_of_thorns_upgraded
	wh_main_generic_banner_debuff	wh_dlc05_shadow_melkoths_entity_debuff	wh_dlc05_spell_shadow_melkoths_mystifying_miasma
	wh_main_generic_banner_debuff	wh_dlc05_shadow_enfeebling_foe_entity_debuff	wh_dlc05_spell_shadow_the_enfeebling_foe
	wh_main_generic_banner_debuff	wh_dlc05_shadow_withering_entity_debuff	wh_dlc05_spell_shadow_the_withering
	wh_main_generic_banner_debuff	wh_main_lib_voodoo	wh_dlc06_character_abilities_effagee_of_da_git
		wh_dlc08_ability_soul_devourer	wh_dlc08_ability_soul_devourer
	wh_main_generic_banner_debuff	wh_dlc08_ability_warp_gaze	wh_dlc08_ability_warp_gaze
	wh_dlc08_apocaliptic_charge_banner_buff		wh_dlc08_apocaliptic_charge_banner_buff
		wh_dlc08_life_ancient_protector_entity_buff	wh_dlc08_life_ancient_protector_entity_buff
		wh_dlc08_ability_pinning_icicles	wh_dlc08_spell_nor_hunter_of_champions
		wh_main_bound_entity_energy_large	wh_main_bound_entity_energy_large
		wh_main_bound_entity_energy_manticore	wh_main_bound_entity_energy_manticore
		wh_main_bound_entity_energy_small	wh_main_bound_entity_energy_small
	wh_main_generic_banner_buff	wh_main_generic_entity_buff_attack	wh_main_generic_buff_attack
	wh_main_generic_banner_buff		wh_main_generic_buff_attack_banner
		wh_main_generic_entity_buff_attack	wh_main_generic_buff_attack_passive
	wh_main_generic_banner_buff	wh_main_generic_entity_buff_defence	wh_main_generic_buff_defence
	wh_main_generic_banner_buff	wh_main_generic_entity_buff_defence_attack	wh_main_generic_buff_defence_attack
	wh_main_generic_banner_buff		wh_main_generic_buff_defence_attack_banner
		wh_main_generic_entity_buff_defence_attack	wh_main_generic_buff_defence_attack_passive
	wh_main_generic_banner_buff		wh_main_generic_buff_defence_banner
	wh_main_generic_banner_buff	wh_main_generic_entity_buff_defence_morale	wh_main_generic_buff_defence_morale
	wh_main_generic_banner_buff		wh_main_generic_buff_defence_morale_banner
		wh_main_generic_entity_buff_defence_morale	wh_main_generic_buff_defence_morale_passive
		wh_main_generic_entity_buff_defence	wh_main_generic_buff_defence_passive
	wh_main_generic_banner_buff	wh_main_generic_entity_buff_morale	wh_main_generic_buff_morale
	wh_main_generic_banner_buff	wh_main_generic_entity_buff_morale_attack	wh_main_generic_buff_morale_attack
	wh_main_generic_banner_buff		wh_main_generic_buff_morale_attack_banner
		wh_main_generic_entity_buff_morale_attack	wh_main_generic_buff_morale_attack_passive
	wh_main_generic_banner_buff		wh_main_generic_buff_morale_banner
		wh_main_generic_entity_buff_morale	wh_main_generic_buff_morale_passive
	wh_main_vampires_banner_unstable	wh_main_vampires_unstable	wh_main_generic_crumble
	wh_main_vampires_banner_unstable_severe	wh_main_vampires_unstable_severe	wh_main_generic_crumble_II
	wh_main_generic_banner_debuff	wh_main_generic_entity_debuff_attack	wh_main_generic_debuff_attack
	wh_main_generic_banner_debuff		wh_main_generic_debuff_attack_banner
		wh_main_generic_entity_debuff_attack	wh_main_generic_debuff_attack_passive
	wh_main_generic_banner_debuff	wh_main_generic_entity_debuff_defence	wh_main_generic_debuff_defence
	wh_main_generic_banner_debuff	wh_main_generic_entity_debuff_defence_attack	wh_main_generic_debuff_defence_attack
	wh_main_generic_banner_debuff		wh_main_generic_debuff_defence_attack_banner
	wh_main_generic_banner_debuff	wh_main_generic_entity_debuff_defence_attack_morale	wh_main_generic_debuff_defence_attack_morale
	wh_main_generic_banner_debuff		wh_main_generic_debuff_defence_attack_morale_banner
		wh_main_generic_entity_debuff_defence_attack_morale	wh_main_generic_debuff_defence_attack_morale_passive
		wh_main_generic_entity_debuff_defence_attack	wh_main_generic_debuff_defence_attack_passive
	wh_main_generic_banner_debuff		wh_main_generic_debuff_defence_banner
		wh_main_generic_entity_debuff_defence	wh_main_generic_debuff_defence_passive
	wh_main_generic_banner_debuff	wh_main_generic_entity_debuff_moral	wh_main_generic_debuff_morale
	wh_main_generic_banner_debuff	wh_main_generic_entity_debuff_moral_attack	wh_main_generic_debuff_morale_attack
	wh_main_generic_banner_debuff		wh_main_generic_debuff_morale_attack_banner
		wh_main_generic_entity_debuff_moral_attack	wh_main_generic_debuff_morale_attack_passive
	wh_main_generic_banner_debuff		wh_main_generic_debuff_morale_banner
		wh_main_generic_entity_debuff_moral	wh_main_generic_debuff_morale_passive
		wh_main_generic_entity_hp_damage_burst	wh_main_generic_hp_damage_passive
	wh_main_generic_banner_buff	wh_main_generic_entity_hp_regen	wh_main_generic_hp_regen
		wh_main_generic_entity_hp_regen_burst	wh_main_generic_hp_regen_passive
			wh_main_generic_imbuement_poison
	wh_main_generic_banner_buff	wh_main_generic_ward_save_all	wh_main_generic_ward_save_all
		wh_main_generic_ward_save_all	wh_main_generic_ward_save_all_passive
	wh_main_generic_banner_buff	wh_main_generic_ward_save_magic	wh_main_generic_ward_save_magic
		wh_main_generic_ward_save_magic	wh_main_generic_ward_save_magic_passive
	wh_main_generic_banner_buff	wh_main_generic_ward_save_missile	wh_main_generic_ward_save_missile
		wh_main_generic_ward_save_missile	wh_main_generic_ward_save_missile_passive
	wh_main_generic_banner_debuff	wh_main_generic_entity_hp_damage	wh_main_hero_abilities_accusation
	wh_main_generic_banner_buff	wh_main_generic_entity_hp_regen	wh_main_hero_abilities_immortal_will
	wh_main_generic_banner_buff		wh_main_hero_abilities_magic_mushrooms
	wh_main_generic_banner_buff	wh_dlc05_shadow_okkams_entity_buff	wh_main_shadow_buff_attack_passive
	wh_main_generic_banner_buff	wh_main_big_waaagh_ere_we_go_entity_buff	wh_main_spell_big_waaagh_ere_we_go
	wh_main_generic_banner_buff	wh_main_big_waaagh_fists_of_gork_entity_buff	wh_main_spell_big_waaagh_fists_of_gork
	wh_main_generic_banner_buff	wh_main_death_aspect_of_the_dreadknight_entity_buff	wh_main_spell_death_aspect_of_the_dreadknight
	wh_main_generic_banner_debuff	wh_main_death_doom_and_darkness_entity_debuff	wh_main_spell_death_doom_and_darkness
	wh_main_generic_banner_debuff	wh_main_death_soulblight_entity_debuff	wh_main_spell_death_soulblight
	wh_main_generic_banner_debuff	wh_main_death_spirit_leech_entity_debuff	wh_main_spell_death_spirit_leech
	wh_main_generic_banner_debuff	wh_main_death_the_fate_of_bjuna_entity_debuff	wh_main_spell_death_the_fate_of_bjuna
	wh_main_generic_banner_buff	wh_main_fire_cascading_fire_cloak_entity_buff	wh_main_spell_fire_cascading_fire_cloak
	wh_main_generic_banner_buff	wh_main_fire_flaming_sword_of_rhuin_entity_buff	wh_main_spell_fire_flaming_sword_of_rhuin
		wh_main_fire_flaming_sword_of_rhuin_entity_buff	wh_main_spell_fire_passive
	wh_main_generic_banner_debuff	wh_main_heavens_curse_of_the_midnight_wind_entity_debuff	wh_main_spell_heavens_curse_of_the_midnight_wind
	wh_main_generic_banner_buff	wh_main_heavens_harmonic_convergence_entity_buff	wh_main_spell_heavens_harmonic_convergence
	wh_main_generic_banner_buff	wh_main_light_bironas_timewarp_entity_buff	wh_main_spell_light_bironas_timewarp
	wh_main_generic_banner_buff	wh_main_light_light_of_battle_entity_buff	wh_main_spell_light_light_of_battle
	wh_main_generic_banner_debuff	wh_main_light_net_of_amyntok_entity_debuff	wh_main_spell_light_net_of_amyntok
	wh_main_generic_banner_buff	wh_main_light_phas_protection_entity_buff	wh_main_spell_light_phas_protection
	wh_main_generic_banner_debuff	wh_main_lil_waaagh_gorkll_fix_it_entity_debuff	wh_main_spell_lil_waaagh_gorkll_fix_it
	wh_main_generic_banner_debuff	wh_main_lil_waaagh_itchy_nuisance_entity_debuff	wh_main_spell_lil_waaagh_itchy_nuisance
		wh_main_lil_waaagh_night_shroud_entity_debuff	wh_main_spell_lil_waaagh_night_shroud
	wh_main_generic_banner_buff	wh_main_lil_waaagh_sneaky_stabbin_entity_buff	wh_main_spell_lil_waaagh_sneaky_stabbin
	wh_main_generic_banner_debuff	wh_main_metal_final_transmutation_entity_debuff	wh_main_spell_metal_final_transmutation
			wh_main_spell_metal_gehennas_golden_hounds
	wh_main_generic_banner_buff	wh_main_metal_glittering_robe_entity_buff	wh_main_spell_metal_glittering_robe
	wh_main_generic_banner_debuff	wh_main_metal_plague_of_rust_entity_debuff	wh_main_spell_metal_plague_of_rust
	wh_main_generic_banner_debuff	wh_main_metal_transmutation_of_lead_entity_debuff	wh_main_spell_metal_transmutation_of_lead
	wh_main_generic_banner_debuff	wh_main_vampires_curse_of_years_entity_debuff	wh_main_spell_vampires_curse_of_years
	wh_main_generic_banner_buff	wh_main_generic_entity_hp_regen	wh_main_spell_vampires_invocation_of_nehek
	wh_main_generic_banner_buff		wh_main_spell_vampires_raise_dead
	wh_main_generic_banner_buff	wh_main_vampires_vanhels_danse_macabre_entity_buff	wh_main_spell_vampires_vanhels_danse_macabre
		wh_main_vampires_wind_of_death_target	wh_main_spell_vampires_wind_of_death
		wh2_main_high_soul_quench_entity	wh_main_unit_contact_souls
		wh_main_metal_glittering_robe_entity_buff	wh_main_weapon_passive_glittering_scales
