unit_abilities_to_additional_ui_effects_juncs_tables	0
wh2_dlc10_item_abilities_sceptre_of_stone	wh2_main_bombardment_medium_strike_aoe
wh2_dlc10_item_abilities_sceptre_of_stone	wh_main_all_strong_against_unit
wh2_dlc10_item_abilities_sceptre_of_stone	wh_main_all_weak_against_single
wh2_dlc10_item_abilities_star_of_avelorn	wh_main_all_replenish
wh2_dlc10_item_abilities_stave_of_avelorn	wh_main_all_improved_recharge_rate_high
wh2_dlc10_item_abilities_the_amber_trance	wh2_dlc10_generic_absorb_morale
wh2_dlc10_item_abilities_the_amber_trance	wh2_dlc10_generic_absorb_morale_8
wh2_dlc10_item_bound_arnizipals_black_horror	wh2_main_all_magical_damage_major
wh2_dlc10_item_bound_arnizipals_black_horror	wh2_main_spell_medium_wind
wh2_dlc10_item_bound_arnizipals_black_horror	wh_main_all_can_disrupt_formation
wh2_dlc10_item_bound_arnizipals_black_horror	wh_main_all_strong_against_units
wh2_dlc10_item_bound_assault_of_stone	wh2_main_all_magical_damage_major
wh2_dlc10_item_bound_assault_of_stone	wh2_main_bombardment_medium_strike_aoe
wh2_dlc10_item_bound_assault_of_stone	wh_main_all_strong_against_unit
wh2_dlc10_item_bound_assault_of_stone	wh_main_all_weak_against_single
wh2_dlc10_item_bound_blast	wh2_main_all_good_against_armour
wh2_dlc10_item_bound_blast	wh2_main_all_magical_and_flaming_medium
wh2_dlc10_item_bound_blast	wh_main_projectile_effective_close_range
wh2_dlc10_item_bound_blast	wh_main_projectile_high_penetration
wh2_dlc10_item_passive_banner_of_avelorn	wh_main_all_improved_recharge_rate
wh2_dlc10_item_passive_old_guards_tankard	wh_main_all_replenish
wh2_dlc10_item_passive_the_shadow_crown	wh_dlc05_ability_range
wh2_dlc10_lord_abilities_deadly_mislead	wh2_dlc09_miscast_full_hide_snipe
wh2_dlc10_lord_abilities_deadly_mislead	wh2_dlc10_all_summon_alith_anar_mirror
wh2_dlc10_lord_abilities_deadly_mislead	wh2_dlc10_all_summon_half_damage
wh2_dlc10_lord_abilities_mislead	wh2_dlc09_miscast_full_hide_snipe
wh2_dlc10_lord_abilities_mislead	wh2_dlc10_all_summon_alith_anar_mirror
wh2_dlc10_lord_abilities_mislead	wh2_dlc10_all_summon_no_damage
wh2_dlc10_quest_abilities_unidentified_hydra_head	wh2_main_all_flaming
wh2_dlc10_quest_abilities_unidentified_hydra_head	wh2_main_spell_stationary_aoe
wh2_dlc10_quest_abilities_unidentified_hydra_head	wh_dlc10_all_chance_resistance_fire_and_healing
wh2_dlc10_quest_passive_mother_of_flame	wh_main_all_replenish
wh2_dlc10_quest_passive_mother_of_flame	wh_main_all_replenish_high
wh2_dlc10_quest_passive_the_primal_rampage	wh_main_all_direct_damage
wh2_dlc10_spell_bound_lesser_doombolt	wh2_main_all_good_against_armour
wh2_dlc10_spell_bound_lesser_doombolt	wh2_main_all_magical_damage_moderate
wh2_dlc10_spell_bound_lesser_doombolt	wh_main_all_strong_against_unit
wh2_dlc10_spell_bound_soul_stealer	wh2_main_spell_absorb_hp
wh2_dlc10_spell_bound_soul_stealer	wh_main_all_direct_damage
wh2_dlc10_spell_bound_soul_stealer	wh_main_all_strong_against_single
wh2_dlc10_spell_bound_soul_stealer	wh_main_all_weak_against_multiple
wh2_dlc10_unit_abilities_frost_breath	wh_main_all_strong_against_unit
wh2_dlc10_unit_abilities_frost_breath	wh_main_all_weak_against_single
wh2_dlc10_unit_abilities_frost_breath	wh_main_projectile_powerful_explosion
wh2_dlc10_unit_abilities_frost_wyrm_breath	wh_main_all_strong_against_unit
wh2_dlc10_unit_abilities_frost_wyrm_breath	wh_main_all_weak_against_single
wh2_dlc10_unit_abilities_frost_wyrm_breath	wh_main_projectile_powerful_explosion
wh2_dlc10_weapon_abilities_sword_of_khaine	wh2_main_all_good_against_armour
wh2_dlc10_weapon_abilities_sword_of_khaine	wh2_main_all_magical_damage_massive
wh2_dlc10_weapon_abilities_sword_of_khaine	wh2_main_spell_huge_vortex
wh2_dlc10_weapon_abilities_sword_of_khaine	wh_main_all_strong_against_units
wh2_dlc10_weapon_abilities_the_moonbow	wh_main_all_armour_piercing
wh2_dlc10_weapon_abilities_the_moonbow	wh_main_all_strong_against_unit
wh2_dlc10_weapon_abilities_the_moonbow	wh_main_projectile_effective_long_range
wh2_dlc10_weapon_abilities_the_moonbow	wh_main_projectile_powerful_explosion
wh2_dlc10_weapon_passive_the_cursed_blade	wh_main_all_direct_damage
wh2_dlc10_weapon_passive_the_cursed_blade	wh_main_all_direct_damage_resist
wh2_dlc10_weapon_passive_the_cursed_blade	wh_main_all_strong_against_single
wh2_dlc11_army_abilities_norse_roar	wh2_dlc11_reduce_morale
wh2_dlc11_army_abilities_norse_roar	wh2_main_all_good_against_armour
wh2_dlc11_army_abilities_norse_roar	wh2_main_all_magical_and_flaming_medium
wh2_dlc11_army_abilities_norse_roar	wh2_main_army_ap_damage_ranged
wh2_dlc11_army_abilities_norse_roar	wh2_main_spell_small_wind
wh2_dlc11_army_abilities_rod_of_the_storm	wh2_main_all_good_against_armour
wh2_dlc11_army_abilities_rod_of_the_storm	wh2_main_all_magical_damage_massive
wh2_dlc11_army_abilities_rod_of_the_storm	wh_main_all_good_vs_artillery
wh2_dlc11_army_abilities_rod_of_the_storm	wh_main_all_strong_against_multiple
wh2_dlc11_army_abilities_rod_of_the_storm	wh_main_bombardment_small_strike_aoe
wh2_dlc11_army_abilities_sartosa_grapeshot	wh_main_all_can_disrupt_formation
wh2_dlc11_army_abilities_sartosa_grapeshot	wh_main_all_strong_against_units
wh2_dlc11_army_abilities_sartosa_grapeshot	wh_main_all_weak_against_single
wh2_dlc11_army_abilities_sartosa_grapeshot	wh_main_vortex_large_breath_long
wh2_dlc11_army_abilities_wraith_storm	wh2_main_all_good_against_armour
wh2_dlc11_army_abilities_wraith_storm	wh2_main_all_magical_damage_moderate
wh2_dlc11_army_abilities_wraith_storm	wh_main_all_strong_against_unit
wh2_dlc11_army_abilities_zhufbar_42_pounders	wh2_main_all_good_against_armour
wh2_dlc11_army_abilities_zhufbar_42_pounders	wh2_main_army_ap_damage_ranged
wh2_dlc11_army_abilities_zhufbar_42_pounders	wh2_main_spell_small_wind
wh2_dlc11_character_abilities_beyond_the_realm	wh2_dlc11_summon_knights_of_the_realm
wh2_dlc11_character_abilities_beyond_the_realm	wh_main_all_direct_damage_unbinding
wh2_dlc11_character_abilities_cackle_fruit	wh2_dlc11_slow_effect_dummy
wh2_dlc11_character_abilities_cackle_fruit	wh_main_projectile_powerful_explosion
wh2_dlc11_character_abilities_ghosts_of_the_past_0	wh2_dlc11_summon_damned_knight_errant
wh2_dlc11_character_abilities_ghosts_of_the_past_0	wh_main_all_direct_damage_unbinding
wh2_dlc11_character_abilities_ghosts_of_the_past_1	wh2_dlc11_summon_damned_knight_errant
wh2_dlc11_character_abilities_ghosts_of_the_past_1	wh_main_all_direct_damage_unbinding
wh2_dlc11_character_abilities_ghosts_of_the_past_2	wh2_dlc11_summon_damned_knight_errant
wh2_dlc11_character_abilities_ghosts_of_the_past_2	wh_main_all_direct_damage_unbinding
wh2_dlc11_character_abilities_pyromaniac	wh_main_all_direct_damage
wh2_dlc11_character_abilities_pyromaniac	wh_main_projectile_powerful_explosion
wh2_dlc11_character_abilities_sacrilege	wh2_dlc11_summon_damned_questing_knight
wh2_dlc11_character_abilities_sacrilege	wh_main_all_direct_damage_unbinding
wh2_dlc11_hero_abilities_bomb_throw	wh_main_all_direct_damage
wh2_dlc11_hero_abilities_more_powder	wh2_dlc11_all_replenish_ammo
wh2_dlc11_item_abilities_captain_roths_moondial	wh2_dlc11_all_summon_deckhands_mob
wh2_dlc11_item_abilities_captain_roths_moondial	wh_main_all_direct_damage_unbinding
wh2_dlc11_item_abilities_slann_gold	wh_main_all_reduced_recharge_rate_high
wh2_dlc11_item_passive_helm_of_the_kraken	wh_main_all_replenish
wh2_dlc11_item_passive_the_bordeleaux_flabellum	wh_main_all_improved_recharge_rate
wh2_dlc11_lord_abilities_ghoul_king_of_ushoran	wh_main_all_replenish
wh2_dlc11_lord_abilities_storm_of_the_night	wh2_main_all_magical_damage_major
wh2_dlc11_lord_abilities_storm_of_the_night	wh2_main_spell_huge_vortex
wh2_dlc11_lord_abilities_storm_of_the_night	wh_main_all_good_against_flying
wh2_dlc11_lord_abilities_storm_of_the_night	wh_main_all_strong_against_single
wh2_dlc11_lord_abilities_wraith_storm	wh2_main_all_good_against_armour
wh2_dlc11_lord_abilities_wraith_storm	wh2_main_all_magical_damage_moderate
wh2_dlc11_lord_abilities_wraith_storm	wh_main_all_strong_against_unit
wh2_dlc11_lore_passive_kiss_of_the_deep	wh_main_all_direct_damage
wh2_dlc11_quest_battle_supply	wh2_dlc11_all_replenish_ammo
wh2_dlc11_quest_battle_supply	wh_main_all_replenish
wh2_dlc11_spell_beasts_transformation_of_kadon	wh2_dlc11_summon_varghulf
wh2_dlc11_spell_bound_the_purple_sun_of_xereus	wh2_main_all_good_against_armour
wh2_dlc11_spell_bound_the_purple_sun_of_xereus	wh2_main_all_magical_damage_major
wh2_dlc11_spell_bound_the_purple_sun_of_xereus	wh2_main_spell_huge_vortex
wh2_dlc11_spell_bound_the_purple_sun_of_xereus	wh_main_all_can_disrupt_formation
wh2_dlc11_spell_bound_the_purple_sun_of_xereus	wh_main_all_strong_against_units
wh2_dlc11_spell_bound_wind_blast	wh2_main_all_magical_damage_moderate
wh2_dlc11_spell_bound_wind_blast	wh2_main_all_weak_against_armour
wh2_dlc11_spell_bound_wind_blast	wh_main_all_can_disrupt_formation
wh2_dlc11_spell_bound_wind_blast	wh_main_all_strong_against_units
wh2_dlc11_spell_bound_wind_blast	wh_main_vortex_large_breath
wh2_dlc11_spell_deep_denizens_of_the_deep	wh2_dlc11_summon_rotting_prometheans
wh2_dlc11_spell_deep_denizens_of_the_deep	wh_main_all_direct_damage_unbinding
wh2_dlc11_spell_deep_fog_of_the_damned_upgraded	wh_main_spell_upgraded_melee_attack
wh2_dlc11_spell_deep_ghost_ship_upgraded	wh2_main_all_magical_damage_massive
wh2_dlc11_spell_deep_ghost_ship_upgraded	wh2_main_spell_medium_wind
wh2_dlc11_spell_deep_ghost_ship_upgraded	wh_main_all_strong_against_units
wh2_dlc11_spell_deep_ghost_ship_upgraded	wh_main_all_weak_against_single
wh2_dlc11_spell_deep_ghost_ship_upgraded	wh_main_spell_upgraded_ap_damage
wh2_dlc11_spell_deep_ghost_ship	wh2_main_all_magical_damage_massive
wh2_dlc11_spell_deep_ghost_ship	wh2_main_spell_medium_wind
wh2_dlc11_spell_deep_ghost_ship	wh_main_all_strong_against_units
wh2_dlc11_spell_deep_ghost_ship	wh_main_all_weak_against_single
wh2_dlc11_spell_deep_krakens_pull_upgraded	wh_main_spell_upgraded_duration
wh2_dlc11_spell_deep_spiteful_shot_upgraded	wh_main_spell_upgraded_duration
wh2_dlc11_spell_deep_tidecall_upgraded	wh2_main_all_magical_damage_moderate
wh2_dlc11_spell_deep_tidecall_upgraded	wh2_main_all_weak_against_armour
wh2_dlc11_spell_deep_tidecall_upgraded	wh_main_all_can_disrupt_formation
wh2_dlc11_spell_deep_tidecall_upgraded	wh_main_spell_upgraded_ap_damage_ranged
wh2_dlc11_spell_deep_tidecall_upgraded	wh_main_vortex_large_breath
wh2_dlc11_spell_deep_tidecall	wh2_main_all_magical_damage_moderate
wh2_dlc11_spell_deep_tidecall	wh2_main_all_weak_against_armour
wh2_dlc11_spell_deep_tidecall	wh_main_all_can_disrupt_formation
wh2_dlc11_spell_deep_tidecall	wh_main_vortex_large_breath
wh2_dlc11_spell_vampires_drowned_dead_upgraded	wh2_dlc11_all_summon_gunnery_mob
wh2_dlc11_spell_vampires_drowned_dead_upgraded	wh_dlc04_all_summon_flanker
wh2_dlc11_spell_vampires_drowned_dead_upgraded	wh_main_all_direct_damage_unbinding
wh2_dlc11_spell_vampires_drowned_dead	wh2_dlc11_all_summon_deckhands_mob
wh2_dlc11_spell_vampires_drowned_dead	wh_main_all_defend_vs_charge
wh2_dlc11_spell_vampires_drowned_dead	wh_main_all_direct_damage_unbinding
wh2_dlc11_unit_passive_abandon_ship	wh2_dlc11_all_summon_deckhands_mob
wh2_dlc11_unit_passive_gaseous_demise	wh_main_all_direct_damage_self_high
wh2_dlc11_unit_passive_gaseous_demise	wh_main_projectile_powerful_explosion
wh2_dlc11_unit_passive_noxious_unstable_mark_ii	wh_main_all_direct_damage_self_high
wh2_dlc11_unit_passive_noxious_unstable_mark_ii	wh_main_projectile_powerful_explosion
wh2_dlc11_unit_passive_the_hunger	wh_main_all_replenish
wh2_dlc11_unit_passive_the_ravenous_dead	wh_main_all_replenish
wh2_dlc11_unit_passive_unbinding_deckhands_mob	wh_main_all_direct_damage_unbinding
wh2_dlc11_unit_passive_unbinding_gunnery_mob	wh_main_all_direct_damage_unbinding
wh2_dlc11_unit_passive_unbinding_knights_of_the_realm	wh_main_all_direct_damage_unbinding
wh2_dlc11_unit_passive_unbinding_rotting_prometheans	wh2_dlc11_summon_rotting_prometheans
wh2_dlc11_unit_passive_unbinding_rotting_prometheans	wh_main_all_direct_damage_unbinding
wh2_dlc11_unit_passive_unbinding_varghulf	wh_main_all_direct_damage_unbinding
wh2_dlc12_army_abilities_great_invocation_of_sotek	wh2_main_all_good_against_armour
wh2_dlc12_army_abilities_great_invocation_of_sotek	wh2_main_army_ap_damage_ranged
wh2_dlc12_army_abilities_great_invocation_of_sotek	wh2_main_spell_medium_wind
wh2_dlc12_army_abilities_jungle_swarm	wh2_dlc12_spell_damage_moderate
wh2_dlc12_army_abilities_jungle_swarm	wh2_main_all_weak_against_armour
wh2_dlc12_army_abilities_jungle_swarm	wh_main_all_large_aoe
wh2_dlc12_army_abilities_warpstorm_doomrocket_upgraded	wh2_main_army_ap_damage_explosion_ranged
wh2_dlc12_army_abilities_warpstorm_doomrocket_upgraded	wh2_main_army_damage_explosion_ranged
wh2_dlc12_army_abilities_warpstorm_doomrocket_upgraded	wh_main_all_direct_damage
wh2_dlc12_army_abilities_warpstorm_doomrocket_upgraded	wh_main_all_magical
wh2_dlc12_army_abilities_warpstorm_doomrocket_upgraded	wh_main_all_strong_against_units
wh2_dlc12_army_abilities_warpstorm_doomrocket_upgraded	wh_main_all_weak_against_single
wh2_dlc12_army_abilities_warpstorm_doomrocket	wh2_main_army_ap_damage_explosion_ranged
wh2_dlc12_army_abilities_warpstorm_doomrocket	wh2_main_army_damage_explosion_ranged
wh2_dlc12_army_abilities_warpstorm_doomrocket	wh_main_all_magical
wh2_dlc12_army_abilities_warpstorm_doomrocket	wh_main_all_strong_against_units
wh2_dlc12_army_abilities_warpstorm_doomrocket	wh_main_all_weak_against_single
wh2_dlc12_character_abilities_brass_orb_upgrade	wh2_main_all_good_against_armour
wh2_dlc12_character_abilities_brass_orb_upgrade	wh2_main_all_magical_damage_minor
wh2_dlc12_character_abilities_brass_orb_upgrade	wh2_main_spell_stationary_aoe
wh2_dlc12_character_abilities_brass_orb_upgrade	wh_main_all_can_disrupt_formation
wh2_dlc12_character_abilities_brass_orb_upgrade	wh_main_all_direct_damage
wh2_dlc12_character_abilities_brass_orb_upgrade	wh_main_all_strong_against_multiple
wh2_dlc12_character_abilities_brass_orb_upgrade	wh_main_all_strong_against_units
wh2_dlc12_character_abilities_brass_orb	wh2_main_all_good_against_armour
wh2_dlc12_character_abilities_brass_orb	wh2_main_all_magical_damage_minor
wh2_dlc12_character_abilities_brass_orb	wh2_main_spell_stationary_aoe
wh2_dlc12_character_abilities_brass_orb	wh_main_all_can_disrupt_formation
wh2_dlc12_character_abilities_brass_orb	wh_main_all_strong_against_units
wh2_dlc12_lord_abilities_drop_sphere_of_tepok_upgraded	wh2_dlc12_reduced_speed_contact_effect
wh2_dlc12_lord_abilities_drop_sphere_of_tepok_upgraded	wh_main_all_strong_against_multiple
wh2_dlc12_lord_abilities_drop_sphere_of_tepok_upgraded	wh_main_all_weak_against_single
wh2_dlc12_lord_abilities_drop_sphere_of_tepok_upgraded	wh_main_bombardment_small_strike_aoe
wh2_dlc12_lord_abilities_drop_sphere_of_tepok	wh2_dlc12_reduced_speed_contact_effect
wh2_dlc12_lord_abilities_drop_sphere_of_tepok	wh_main_all_strong_against_multiple
wh2_dlc12_lord_abilities_drop_sphere_of_tepok	wh_main_all_weak_against_single
wh2_dlc12_lord_abilities_drop_sphere_of_tepok	wh_main_bombardment_small_strike_aoe
wh2_dlc12_lord_abilities_focus_instincts	wh2_dlc11_suppress_rampage
wh2_dlc12_lord_abilities_unlimited_power	wh_main_all_improved_recharge_rate_high
wh2_dlc12_lord_abilities_unlimited_power	wh_main_all_increased_max_power_high
wh2_dlc12_lord_passive_overload	wh_main_all_improved_recharge_rate
wh2_dlc12_lord_passive_overload	wh_main_all_increased_max_power
wh2_dlc12_lord_passive_secondwind_serum	wh_main_all_replenish
wh2_dlc12_lord_passive_warpstone_detonation	wh2_dlc12_ability_warpstone_detonation
wh2_dlc12_lord_passive_warpstone_detonation	wh2_main_all_magical_damage_minor
wh2_dlc12_lord_passive_warpstone_detonation	wh_main_all_strong_against_multiple
wh2_dlc12_spell_kroak_deliverance_of_itza_1	wh2_main_all_magical_damage_massive
wh2_dlc12_spell_kroak_deliverance_of_itza_1	wh2_main_all_weak_against_armour
wh2_dlc12_spell_kroak_deliverance_of_itza_1	wh2_main_spell_friendly_fire_explosion
wh2_dlc12_spell_kroak_deliverance_of_itza_1	wh_main_all_strong_against_unit
wh2_dlc12_spell_kroak_deliverance_of_itza_1	wh_main_vortex_large_static_aoe
wh2_dlc12_spell_kroak_deliverance_of_itza_2	wh2_main_all_huge_static_aoe
wh2_dlc12_spell_kroak_deliverance_of_itza_2	wh2_main_all_magical_damage_massive
wh2_dlc12_spell_kroak_deliverance_of_itza_2	wh2_main_spell_friendly_fire_explosion
wh2_dlc12_spell_kroak_deliverance_of_itza_2	wh_main_all_strong_against_units
wh2_dlc12_spell_kroak_deliverance_of_itza_3	wh2_main_all_good_against_armour
wh2_dlc12_spell_kroak_deliverance_of_itza_3	wh2_main_all_huge_static_aoe
wh2_dlc12_spell_kroak_deliverance_of_itza_3	wh2_main_all_magical_damage_massive
wh2_dlc12_spell_kroak_deliverance_of_itza_3	wh2_main_spell_friendly_fire_explosion
wh2_dlc12_spell_kroak_deliverance_of_itza_3	wh_main_all_strong_against_units
wh2_dlc12_unit_abilities_ark_of_sotek	wh2_dlc12_spell_damage_minor
wh2_dlc12_unit_abilities_ark_of_sotek	wh2_dlc12_spell_friendly_fire_aoe
wh2_dlc12_unit_abilities_ark_of_sotek	wh2_main_all_weak_against_armour
wh2_dlc12_unit_abilities_ark_of_sotek	wh_main_all_large_aoe
wh2_dlc12_unit_abilities_burning_alignment	wh2_main_all_good_against_armour
wh2_dlc12_unit_abilities_burning_alignment	wh2_main_all_magical_and_flaming_medium
wh2_dlc12_unit_abilities_burning_alignment	wh2_main_spell_medium_wind
wh2_dlc12_unit_abilities_burning_alignment	wh_main_all_strong_against_units
wh2_dlc12_unit_abilities_drop_rocks_character	wh_main_all_strong_against_multiple
wh2_dlc12_unit_abilities_drop_rocks_character	wh_main_all_weak_against_single
wh2_dlc12_unit_abilities_drop_rocks_character	wh_main_bombardment_small_strike_aoe
wh2_dlc12_unit_abilities_drop_rocks_of_chotec	wh_main_all_strong_against_multiple
wh2_dlc12_unit_abilities_drop_rocks_of_chotec	wh_main_all_weak_against_single
