ritual_payload_ancillaries_tables	0
1387784074	wh2_dlc09_ritual_crafting_tmb_weapon_inscribed_khopesh	wh2_dlc09_anc_weapon_inscribed_khopesh
1433756510	wh2_dlc09_ritual_crafting_tmb_armour_shield_of_ptra	wh2_dlc09_anc_armour_armour_shield_of_ptra
1448948195	wh2_dlc09_ritual_crafting_tmb_enchanted_item_shroud_of_sokth	wh2_dlc09_anc_enchanted_item_shroud_of_sokth
1454136207	wh2_dlc10_dwf_ritual_enchanted_item_crown_of_courage	wh2_dlc10_dwf_anc_enchanted_item_old_guards_keg
149398665	wh2_dlc10_dwf_ritual_armour_starmetal_plate	wh2_dlc10_dwf_anc_armour_starmetal_plate
1495714207	wh2_dlc09_ritual_crafting_tmb_enchanted_item_potion_of_foolhardiness	wh_main_anc_enchanted_item_potion_of_foolhardiness
1500364673	wh2_dlc10_dwf_ritual_armour_shield_of_preservation	wh2_dlc10_dwf_anc_armour_ironwardens_shield
1554862098	wh2_dlc09_ritual_crafting_tmb_talisman_collar_of_shakkara	wh2_dlc09_anc_talisman_collar_of_shakkara
1557207313	wh2_dlc09_ritual_crafting_tmb_armour_armour_of_the_ages	wh2_dlc09_anc_armour_armour_of_the_ages
158262551	wh2_dlc10_dwf_ritual_armour_helm_of_resistance	wh2_dlc10_dwf_anc_armour_troll_slayers_hide
1632712358	wh2_dlc09_ritual_crafting_tmb_enchanted_item_potion_of_speed	wh_main_anc_enchanted_item_potion_of_speed
1715477440	wh2_dlc09_ritual_crafting_tmb_enchanted_item_potion_of_strength	wh_main_anc_enchanted_item_potion_of_strength
1716649975	wh2_dlc09_ritual_crafting_tmb_talisman_dawnstone	wh2_dlc09_anc_talisman_sun_scarab
1718796071	wh2_dlc10_dwf_ritual_talisman_the_ankor_chain	wh2_dlc10_dwf_anc_talisman_the_ankor_chain
1733926129	wh2_dlc10_dwf_ritual_weapon_hammer_of_might	wh2_dlc10_dwf_anc_weapon_rangers_hammer
1737144776	wh2_dlc09_ritual_crafting_tmb_armour_skull_cap_of_the_moon	wh2_dlc09_anc_armour_armour_skull_cap_of_the_moon
1755588780	wh2_dlc09_ritual_crafting_tmb_weapon_fang_of_quaph	wh2_dlc09_anc_weapon_fang_of_quaph
1764178213	wh2_dlc09_ritual_crafting_tmb_armour_helmet_of_khsar	wh2_dlc09_anc_armour_armour_helmet_of_khsar
1784852622	wh2_dlc09_ritual_crafting_tmb_enchanted_item_vambraces_of_the_sun	wh2_dlc09_anc_enchanted_item_vambraces_of_the_sun
1795467883	wh2_dlc09_ritual_crafting_tmb_enchanted_item_elixir_of_might	wh2_dlc09_anc_enchanted_item_elixir_of_might
180050131	wh2_dlc10_dwf_ritual_armour_heavy_gromril_armour	wh2_dlc10_dwf_anc_armour_veterans_armour
1805323663	wh2_dlc10_dwf_ritual_talisman_talisman_of_luck	wh2_dlc10_dwf_anc_talisman_veterans_flask
1808126697	wh2_dlc10_dwf_ritual_weapon_oathhammer	wh2_dlc10_dwf_anc_weapon_ironwardens_hammer
1822970032	wh2_dlc10_dwf_ritual_weapon_axe_of_fury	wh2_dlc10_dwf_anc_weapon_ironbeards_axe
1825094460	wh2_dlc10_dwf_ritual_weapon_slayers_axe	wh2_dlc10_dwf_anc_weapon_slayers_axe
1848535046	wh2_dlc10_dwf_ritual_enchanted_item_rangers_brooch	wh2_dlc10_dwf_anc_enchanted_item_rangers_brooch
1921521721	wh2_dlc10_dwf_ritual_enchanted_item_belt_of_fortitude	wh2_dlc10_dwf_anc_enchanted_item_slayers_belt
1955720006	wh2_dlc10_dwf_ritual_weapon_pickaxe_of_breaking	wh2_dlc10_dwf_anc_weapon_prospectors_pickaxe
1962880959	wh2_dlc09_ritual_crafting_tmb_arcane_item_power_scroll	wh_main_anc_arcane_item_power_scroll
1989313937	wh2_dlc10_dwf_ritual_talisman_forgemasters_ring	wh2_dlc10_dwf_anc_talisman_ironbeards_ring
1995291875	wh2_dlc09_ritual_crafting_tmb_arcane_item_blue_khepra	wh2_dlc09_anc_arcane_item_blue_khepra
204060341	wh2_dlc09_ritual_crafting_tmb_weapon_double_crescent_of_neru	wh2_dlc09_anc_weapon_double_crescent_of_neru
2044339598	wh2_dlc10_dwf_ritual_enchanted_item_belt_of_survival	wh2_dlc10_dwf_anc_enchanted_item_gate_keepers_belt
2045130710	wh2_dlc10_dwf_ritual_armour_mail_of_concealment	wh2_dlc10_dwf_anc_armour_prospectors_mail
2072470271	wh2_dlc09_ritual_crafting_tmb_talisman_obsidian_lodestone	wh2_dlc09_anc_talisman_obsidian_pendant
2086951910	wh2_dlc09_ritual_crafting_tmb_arcane_item_scroll_of_leeching	wh_main_anc_arcane_item_scroll_of_leeching
2109556946	wh2_dlc10_dwf_ritual_weapon_starbreaker	wh2_dlc10_dwf_anc_weapon_starbreaker
21147478	wh2_dlc10_dwf_ritual_armour_alriks_armour	wh2_dlc10_dwf_anc_armour_alriks_armour
2139277122	wh2_dlc09_ritual_crafting_tmb_weapon_crook_and_flail_of_radiance	wh2_dlc09_anc_weapon_crook_and_flail_of_radiance
215281139	wh2_dlc10_dwf_ritual_talisman_ring_of_protection	wh2_dlc10_dwf_anc_talisman_slayers_ring
239874720	wh2_dlc10_dwf_ritual_armour_helm_of_sanctuary	wh2_dlc10_dwf_anc_armour_gate_keepers_helm
243376081	wh2_dlc09_ritual_crafting_tmb_armour_armour_of_eternity	wh2_dlc09_anc_armour_armour_of_eternity
254479881	wh2_dlc09_ritual_crafting_tmb_arcane_item_scroll_of_shielding	wh_main_anc_arcane_item_scroll_of_shielding
270222568	wh2_dlc10_dwf_ritual_enchanted_item_spotters_spyglass	wh2_dlc10_dwf_anc_enchanted_item_prospectors_spyglass
287798430	wh2_dlc09_ritual_crafting_tmb_weapon_destroyer_of_eternities	wh2_dlc09_anc_weapon_destroyer_of_eternities
29320746	wh2_dlc09_ritual_crafting_tmb_enchanted_item_brooch_of_the_great_desert	wh2_dlc09_anc_enchanted_item_brooch_of_the_great_desert
299032456	wh2_dlc10_dwf_ritual_talisman_miners_charm	wh2_dlc10_dwf_anc_talisman_miners_lattern
309674938	wh2_dlc10_dwf_ritual_talisman_ring_of_ancestral_wisdom	wh2_dlc10_dwf_anc_talisman_prospectors_charge
310619524	wh2_dlc09_ritual_crafting_tmb_talisman_amulet_of_pha_stah	wh2_dlc09_anc_talisman_amulet_of_pha_stah
311892339	wh2_dlc09_ritual_crafting_tmb_weapon_golden_dagger	wh2_dlc09_anc_weapon_golden_dagger
31370743	wh2_dlc09_ritual_crafting_tmb_weapon_blade_of_antarhak	wh2_dlc09_anc_weapon_blade_of_antarhak
332411822	wh2_dlc09_ritual_crafting_tmb_arcane_item_enkhils_kanopi	wh2_dlc09_anc_arcane_item_enkhils_kanopi
358060524	wh2_dlc09_ritual_crafting_tmb_armour_mortuary_robes	wh2_dlc09_anc_armour_armour_mortuary_robes
431206823	wh2_dlc10_dwf_ritual_talisman_amulet_of_stone	wh2_dlc10_dwf_anc_talisman_dragon_slayers_fang
476408479	wh2_dlc09_ritual_crafting_tmb_talisman_golden_eye_of_rah_nutt	wh2_dlc09_anc_talisman_golden_eye_of_rah_nutt
545006815	wh2_dlc10_dwf_ritual_talisman_ring_of_grimnir	wh2_dlc10_dwf_anc_talisman_ring_of_grimnir
573761532	wh2_dlc10_dwf_ritual_armour_chainmail_of_speed	wh2_dlc10_dwf_anc_armour_slayers_gauntlets
596878258	wh2_dlc10_dwf_ritual_weapon_black_axe_of_cleaving	wh2_dlc10_dwf_anc_weapon_miners_pickaxe
599025308	wh2_dlc09_ritual_crafting_tmb_weapon_blade_of_setep	wh2_dlc09_anc_weapon_blade_of_setep
60119928	wh2_dlc09_ritual_crafting_tmb_enchanted_item_icon_of_rulership	wh2_dlc09_anc_enchanted_item_icon_of_rulership
614199553	wh2_dlc09_ritual_crafting_tmb_talisman_golden_ankhra	wh2_dlc09_anc_talisman_golden_ankhra
624211221	wh2_dlc10_dwf_ritual_enchanted_item_boots_of_swiftness	wh2_dlc10_dwf_anc_enchanted_item_dragon_slayers_boots
666584153	wh2_dlc10_dwf_ritual_weapon_axe_of_frostfall	wh2_dlc10_dwf_anc_weapon_gate_keepers_hammer
690348291	wh2_dlc10_dwf_ritual_enchanted_item_bracers_of_preservation	wh2_dlc10_dwf_anc_enchanted_item_veterans_bracers
703490029	wh2_dlc10_dwf_ritual_talisman_ring_of_spite	wh2_dlc10_dwf_anc_talisman_old_guards_tankard
726435641	wh2_dlc10_dwf_ritual_enchanted_item_everlasting_pint	wh2_dlc10_dwf_anc_enchanted_item_ironwardens_tankard
746571097	wh2_dlc09_ritual_crafting_tmb_weapon_blade_of_mourning_fire	wh2_dlc09_anc_weapon_blade_of_mourning_fire
750356599	wh2_dlc10_dwf_ritual_talisman_ratcleaver_amulet	wh2_dlc10_dwf_anc_talisman_gate_keepers_rat_catcher
77911223	wh2_dlc09_ritual_crafting_tmb_arcane_item_neferras_scrolls_of_mighty_incantations	wh2_dlc09_anc_arcane_item_neferras_scrolls_of_mighty_incantations
806808652	wh2_dlc10_dwf_ritual_weapon_elfbane	wh2_dlc10_dwf_anc_weapon_elfbane
818422833	wh2_dlc09_ritual_crafting_tmb_armour_scorpion_armour	wh2_dlc09_anc_armour_scorpion_armour
818801274	wh2_dlc10_dwf_ritual_weapon_grim_resolve	wh2_dlc10_dwf_anc_weapon_dragon_slayers_axe
822390679	wh2_dlc09_ritual_crafting_tmb_enchanted_item_death_mask_of_kharnut	wh2_dlc09_anc_enchanted_item_death_mask_of_kharnut
863239981	wh2_dlc09_ritual_crafting_tmb_weapon_spear_of_pakth	wh2_dlc09_anc_weapon_spear_of_pakth
871992902	wh2_dlc10_dwf_ritual_talisman_amulet_of_wrath	wh2_dlc10_dwf_anc_talisman_troll_slayers_amulet
892092593	wh2_dlc10_dwf_ritual_armour_guardians_plate	wh2_dlc10_dwf_anc_armour_old_guards_armour
90670297	wh2_dlc10_dwf_ritual_talisman_cloak_of_spellbreaking	wh2_dlc10_dwf_anc_talisman_rangers_pouch
950741988	wh2_dlc10_dwf_ritual_weapon_hammer_of_parrying	wh2_dlc10_dwf_anc_weapon_veterans_hammer
97479453	wh2_dlc10_dwf_ritual_talisman_wardstone	wh2_dlc10_dwf_anc_talisman_ironwardens_wardstone
