advice_threads_tables	1
dlc05.camp.Orion.intro.004	wood_elves_owners
dlc05.camp.Orion.intro.005	wood_elves_owners
dlc05.camp.Orion.intro.006	wood_elves_owners
dlc05.camp.advice.wef.amber.001	wood_elves_owners
dlc05.camp.advice.wef.amber.002	wood_elves_owners
dlc05.camp.advice.wef.asrai_lookouts.001	wood_elves_owners
dlc05.camp.advice.wef.asrai_lookouts.002	wood_elves_owners
dlc05.camp.advice.wef.asrai_lookouts.003	wood_elves_owners
dlc05.camp.advice.wef.elven_council.001	wood_elves_owners
dlc05.camp.advice.wef.elven_halls.001	wood_elves_owners
dlc05.camp.advice.wef.finale.001	wood_elves_owners
dlc05.camp.advice.wef.finale.002	wood_elves_owners
dlc05.camp.advice.wef.gathering_of_the_ancients.001	wood_elves_owners
dlc05.camp.advice.wef.invasion.001	wood_elves_owners
dlc05.camp.advice.wef.invasion.after.x.turns.001	wood_elves_owners
dlc05.camp.advice.wef.invasion.after.x.turns.002	wood_elves_owners
dlc05.camp.advice.wef.oak_of_ages.001	wood_elves_owners
dlc05.camp.advice.wef.oak_of_ages.002	wood_elves_owners
dlc05.camp.advice.wef.oak_of_ages.003	wood_elves_owners
dlc05.camp.advice.wef.oak_of_ages.004	wood_elves_owners
dlc05.camp.advice.wef.oak_of_ages.005	wood_elves_owners
dlc05.camp.advice.wef.wood_elves.001	wood_elves_owners
dlc05.camp.advice.wef.wood_elves.002	wood_elves_owners
dlc05.camp.advice.wef.worldroots.001	wood_elves_owners
dlc05.mini.story.all.001	wood_elves_owners
dlc05.mini.story.durthu.001	wood_elves_owners
dlc05.mini.story.durthu.002	wood_elves_owners
dlc05.mini.story.durthu.003	wood_elves_owners
dlc05.mini.story.durthu.004	wood_elves_owners
dlc05.mini.story.durthu.005	wood_elves_owners
dlc05.mini.story.durthu.006	wood_elves_owners
dlc05.mini.story.durthu.007	wood_elves_owners
dlc05.mini.story.durthu.008	wood_elves_owners
dlc05.mini.story.durthu.009	wood_elves_owners
dlc05.mini.story.durthu.010	wood_elves_owners
dlc05.mini.story.durthu.011	wood_elves_owners
dlc05.mini.story.durthu.012	wood_elves_owners
dlc05.mini.story.durthu.013	wood_elves_owners
dlc05.mini.story.durthu.014	wood_elves_owners
dlc05.mini.story.durthu.015	wood_elves_owners
dlc05.mini.story.durthu.016	wood_elves_owners
dlc05.mini.story.durthu.017	wood_elves_owners
dlc05.mini.story.durthu.018	wood_elves_owners
dlc05.mini.story.durthu.019	wood_elves_owners
dlc05.mini.story.durthu.020	wood_elves_owners
dlc05.mini.story.durthu.021	wood_elves_owners
dlc05.mini.story.morghur.001	wood_elves_owners
dlc05.mini.story.morghur.002	wood_elves_owners
dlc05.mini.story.morghur.003	wood_elves_owners
dlc05.mini.story.morghur.004	wood_elves_owners
dlc05.mini.story.morghur.005	wood_elves_owners
dlc05.mini.story.orion.001	wood_elves_owners
dlc05.mini.story.orion.002	wood_elves_owners
dlc05.mini.story.orion.003	wood_elves_owners
dlc05.mini.story.orion.004	wood_elves_owners
dlc05.mini.story.orion.005	wood_elves_owners
dlc05.mini.story.orion.006	wood_elves_owners
dlc05.mini.story.orion.007	wood_elves_owners
dlc05.mini.story.orion.008	wood_elves_owners
dlc05.mini.story.orion.009	wood_elves_owners
dlc05.mini.story.orion.010	wood_elves_owners
dlc05.mini.story.orion.011	wood_elves_owners
dlc05.mini.story.orion.012	wood_elves_owners
dlc05.mini.story.orion.013	wood_elves_owners
dlc05.mini.story.orion.014	wood_elves_owners
dlc05.mini.story.orion.015	wood_elves_owners
dlc05.mini.story.orion.016	wood_elves_owners
dlc05.mini.story.orion.017	wood_elves_owners
dlc05.mini.story.orion.018	wood_elves_owners
dlc05.mini.story.orion.019	wood_elves_owners
dlc05.mini.story.orion.020	wood_elves_owners
dlc05.mini.story.orion.021	wood_elves_owners
dlc06.camp.Belegar.intro.001	lord_and_units_2_owners
dlc06.camp.Belegar.intro.002	lord_and_units_2_owners
dlc06.camp.Belegar.intro.003	lord_and_units_2_owners
dlc06.camp.Belegar.intro.004	lord_and_units_2_owners
dlc06.camp.Skarsnik.intro.001	lord_and_units_2_owners
dlc06.camp.Skarsnik.intro.002	lord_and_units_2_owners
dlc06.camp.Skarsnik.intro.003	lord_and_units_2_owners
dlc06.camp.Skarsnik.intro.004	lord_and_units_2_owners
dlc06.camp.Skarsnik.intro.005	lord_and_units_2_owners
dlc06.camp.Skarsnik.intro.006	lord_and_units_2_owners
dlc06.camp.Wurrzag.intro.001	lord_and_units_2_owners
dlc06.camp.Wurrzag.intro.002	lord_and_units_2_owners
dlc06.camp.Wurrzag.intro.003	lord_and_units_2_owners
dlc06.camp.Wurrzag.intro.004	lord_and_units_2_owners
dlc06.camp.Wurrzag.intro.005	lord_and_units_2_owners
dlc07.battle.speech.brt.final_battle_chaos.001	bretonnia_owners
dlc07.battle.speech.brt.final_battle_orcs.001	bretonnia_owners
dlc07.camp.advice.brt.blessing_lady.001	bretonnia_owners
dlc07.camp.advice.brt.blessing_lady.002	bretonnia_owners
dlc07.camp.advice.brt.blessing_lady.003	bretonnia_owners
dlc07.camp.advice.brt.blessing_lady.004	bretonnia_owners
dlc07.camp.advice.brt.chivalry.001	bretonnia_owners
dlc07.camp.advice.brt.chivalry.002	bretonnia_owners
dlc07.camp.advice.brt.chivalry.003	bretonnia_owners
dlc07.camp.advice.brt.chivalry.004	bretonnia_owners
dlc07.camp.advice.brt.chivalry.005	bretonnia_owners
dlc07.camp.advice.brt.chivalry.006	bretonnia_owners
dlc07.camp.advice.brt.chivalry.007	bretonnia_owners
dlc07.camp.advice.brt.chivalry.008	bretonnia_owners
dlc07.camp.advice.brt.chivalry.009	bretonnia_owners
dlc07.camp.advice.brt.errantry_war.001	bretonnia_owners
dlc07.camp.advice.brt.errantry_war.002	bretonnia_owners
dlc07.camp.advice.brt.errantry_war.003	bretonnia_owners
dlc07.camp.advice.brt.errantry_war.004	bretonnia_owners
dlc07.camp.advice.brt.green_knight.001	bretonnia_owners
dlc07.camp.advice.brt.green_knight.002	bretonnia_owners
dlc07.camp.advice.brt.green_knight.003	bretonnia_owners
dlc07.camp.advice.brt.green_knight.004	bretonnia_owners
dlc07.camp.advice.brt.peasant_economy.001	bretonnia_owners
dlc07.camp.advice.brt.peasant_economy.002	bretonnia_owners
dlc07.camp.advice.brt.peasant_economy.003	bretonnia_owners
dlc07.camp.flyby.brt.alberic.001	bretonnia_owners
dlc07.camp.flyby.brt.alberic.002	bretonnia_owners
dlc07.camp.flyby.brt.alberic.003	bretonnia_owners
dlc07.camp.flyby.brt.alberic.004	bretonnia_owners
dlc07.camp.flyby.brt.alberic.005	bretonnia_owners
dlc07.camp.flyby.brt.alberic.006	bretonnia_owners
dlc07.camp.flyby.brt.fay.001	bretonnia_owners
dlc07.camp.flyby.brt.fay.002	bretonnia_owners
dlc07.camp.flyby.brt.fay.003	bretonnia_owners
dlc07.camp.flyby.brt.fay.004	bretonnia_owners
dlc07.camp.flyby.brt.fay.005	bretonnia_owners
dlc07.camp.flyby.brt.fay.006	bretonnia_owners
dlc07.camp.flyby.brt.louen.001	bretonnia_owners
dlc07.camp.flyby.brt.louen.002	bretonnia_owners
dlc07.camp.flyby.brt.louen.003	bretonnia_owners
dlc07.camp.flyby.brt.louen.004	bretonnia_owners
dlc07.camp.flyby.brt.louen.005	bretonnia_owners
dlc07.camp.flyby.brt.louen.006	bretonnia_owners
dlc08.battle.speech.nor.battle_arachnarok.001	norsca_everyone
dlc08.battle.speech.nor.battle_arachnarok.002	norsca_everyone
dlc08.battle.speech.nor.battle_cygor.001	norsca_everyone
dlc08.battle.speech.nor.battle_cygor.002	norsca_everyone
dlc08.battle.speech.nor.battle_cygor.003	norsca_everyone
dlc08.battle.speech.nor.battle_forestdragon.001	norsca_everyone
dlc08.battle.speech.nor.battle_forestdragon.002	norsca_everyone
dlc08.battle.speech.nor.battle_forestdragon.003	norsca_everyone
dlc08.battle.speech.nor.battle_frostwyrm.001	norsca_everyone
dlc08.battle.speech.nor.battle_frostwyrm.002	norsca_everyone
dlc08.battle.speech.nor.battle_giant.001	norsca_everyone
dlc08.battle.speech.nor.battle_giant.002	norsca_everyone
dlc08.battle.speech.nor.battle_giant.003	norsca_everyone
dlc08.battle.speech.nor.battle_mammoth.001	norsca_everyone
dlc08.battle.speech.nor.battle_mammoth.002	norsca_everyone
dlc08.battle.speech.nor.battle_shaggoth.001	norsca_everyone
dlc08.battle.speech.nor.battle_shaggoth.002	norsca_everyone
dlc08.battle.speech.nor.battle_shaggoth.003	norsca_everyone
dlc08.battle.speech.nor.battle_terrorgheist.001	norsca_everyone
dlc08.battle.speech.nor.battle_terrorgheist.002	norsca_everyone
dlc08.camp.advice.nor.bretonnia_destroyed.001	norsca_everyone
dlc08.camp.advice.nor.champions.001	norsca_everyone
dlc08.camp.advice.nor.champions.002	norsca_everyone
dlc08.camp.advice.nor.chapter_1.001	norsca_everyone
dlc08.camp.advice.nor.chapter_2.001	norsca_everyone
dlc08.camp.advice.nor.chapter_3.001	norsca_everyone
dlc08.camp.advice.nor.confederation.001	norsca_everyone
dlc08.camp.advice.nor.empire_destroyed.001	norsca_everyone
dlc08.camp.advice.nor.gods.001	norsca_everyone
dlc08.camp.advice.nor.gods.002	norsca_everyone
dlc08.camp.advice.nor.gods.003	norsca_everyone
dlc08.camp.advice.nor.gods.004	norsca_everyone
dlc08.camp.advice.nor.gods_khorne.001	norsca_everyone
dlc08.camp.advice.nor.gods_khorne.002	norsca_everyone
dlc08.camp.advice.nor.gods_khorne.003	norsca_everyone
dlc08.camp.advice.nor.gods_khorne.004	norsca_everyone
dlc08.camp.advice.nor.gods_nurgle.001	norsca_everyone
dlc08.camp.advice.nor.gods_nurgle.002	norsca_everyone
dlc08.camp.advice.nor.gods_nurgle.003	norsca_everyone
dlc08.camp.advice.nor.gods_nurgle.004	norsca_everyone
dlc08.camp.advice.nor.gods_slaanesh.001	norsca_everyone
dlc08.camp.advice.nor.gods_slaanesh.002	norsca_everyone
dlc08.camp.advice.nor.gods_slaanesh.003	norsca_everyone
dlc08.camp.advice.nor.gods_slaanesh.004	norsca_everyone
dlc08.camp.advice.nor.gods_tzeentch.001	norsca_everyone
dlc08.camp.advice.nor.gods_tzeentch.002	norsca_everyone
dlc08.camp.advice.nor.gods_tzeentch.003	norsca_everyone
dlc08.camp.advice.nor.gods_tzeentch.004	norsca_everyone
dlc08.camp.advice.nor.mon_hunt.001	norsca_everyone
dlc08.camp.advice.nor.mon_hunt.002	norsca_everyone
dlc08.camp.advice.nor.mon_hunt.003	norsca_everyone
dlc08.camp.advice.nor.outposts.001	norsca_everyone
dlc08.camp.advice.nor.outposts_altdorf.001	norsca_everyone
dlc08.camp.advice.nor.outposts_black_crag.001	norsca_everyone
dlc08.camp.advice.nor.outposts_couronne.001	norsca_everyone
dlc08.camp.advice.nor.outposts_drakenhof.001	norsca_everyone
dlc08.camp.advice.nor.outposts_karaz_a_karak.001	norsca_everyone
dlc08.camp.advice.nor.outposts_miragliano.001	norsca_everyone
dlc08.camp.advice.nor.wintertooth.001	norsca_everyone
dlc08.camp.advice.nor.wintertooth.002	norsca_everyone
dlc08.camp.flyby.nor.throgg.001	norsca_everyone
dlc08.camp.flyby.nor.throgg.002	norsca_everyone
dlc08.camp.flyby.nor.throgg.003	norsca_everyone
dlc08.camp.flyby.nor.throgg.004	norsca_everyone
dlc08.camp.flyby.nor.throgg.005	norsca_everyone
dlc08.camp.flyby.nor.throgg.006	norsca_everyone
dlc08.camp.flyby.nor.wulfrik.001	norsca_everyone
dlc08.camp.flyby.nor.wulfrik.002	norsca_everyone
dlc08.camp.flyby.nor.wulfrik.003	norsca_everyone
dlc08.camp.flyby.nor.wulfrik.004	norsca_everyone
dlc08.camp.flyby.nor.wulfrik.005	norsca_everyone
dlc08.camp.flyby.nor.wulfrik.006	norsca_everyone
dlc09.battle.advice.realm_of_souls.001	tomb_kings_owners
dlc09.camp.advice.quest.arkhan.the_staff_of_nagash.001	tomb_kings_owners
dlc09.camp.advice.quest.arkhan.the_tomb_blade_of_arkhan.001	tomb_kings_owners
dlc09.camp.advice.quest.khalida.venom_staff.001	tomb_kings_owners
dlc09.camp.advice.quest.khatep.the_liche_staff.001	tomb_kings_owners
dlc09.camp.advice.quest.settra.the_blessed_blade_of_ptra.001	tomb_kings_owners
dlc09.camp.advice.quest.settra.the_crown_of_nehekhara.001	tomb_kings_owners
dlc09.camp.advice.quest.tretch.lucky_skullhelm.001	tomb_kings_everyone
dlc09.camp.arkhan.intro.001	tomb_kings_owners
dlc09.camp.arkhan.intro.002	tomb_kings_owners
dlc09.camp.arkhan.intro.003	tomb_kings_owners
dlc09.camp.arkhan.intro.004	tomb_kings_owners
dlc09.camp.arkhan.intro.005	tomb_kings_owners
dlc09.camp.khalida.intro.001	tomb_kings_owners
dlc09.camp.khalida.intro.002	tomb_kings_owners
dlc09.camp.khalida.intro.003	tomb_kings_owners
dlc09.camp.khalida.intro.004	tomb_kings_owners
dlc09.camp.khalida.intro.005	tomb_kings_owners
dlc09.camp.khatep.intro.001	tomb_kings_owners
dlc09.camp.khatep.intro.002	tomb_kings_owners
dlc09.camp.khatep.intro.003	tomb_kings_owners
dlc09.camp.khatep.intro.004	tomb_kings_owners
dlc09.camp.khatep.intro.005	tomb_kings_owners
dlc09.camp.settra.intro.001	tomb_kings_owners
dlc09.camp.settra.intro.002	tomb_kings_owners
dlc09.camp.settra.intro.003	tomb_kings_owners
dlc09.camp.settra.intro.004	tomb_kings_owners
dlc09.camp.settra.intro.005	tomb_kings_owners
dlc09.camp.tretch.intro.001	tomb_kings_everyone
dlc09.camp.tretch.intro.002	tomb_kings_everyone
dlc09.camp.tretch.intro.003	tomb_kings_everyone
dlc09.camp.tretch.intro.004	tomb_kings_everyone
dlc09.camp.tretch.intro.005	tomb_kings_everyone
dlc09.camp.vortex.advice.early_game.canopic_jars.001	tomb_kings_owners
dlc09.camp.vortex.advice.early_game.dynasties.001	tomb_kings_owners
dlc09.camp.vortex.advice.early_game.eliminate_faction.005	tomb_kings_owners
dlc09.camp.vortex.advice.early_game.eliminate_faction.006	tomb_kings_owners
dlc09.camp.vortex.advice.early_game.eliminate_faction.007	tomb_kings_owners
dlc09.camp.vortex.advice.early_game.eliminate_faction.008	tomb_kings_owners
dlc09.camp.vortex.advice.early_game.growth.001	tomb_kings_owners
dlc09.camp.vortex.advice.early_game.mortuary_cult.001	tomb_kings_owners
dlc09.camp.vortex.advice.early_game.resources.001	tomb_kings_owners
dlc09.camp.vortex.advice.early_game.ritual_buildings.080	tomb_kings_everyone
dlc09.camp.vortex.advice.early_game.ritual_settlements.080	tomb_kings_everyone
dlc09.camp.vortex.advice.early_game.ritual_settlements.081	tomb_kings_everyone
dlc09.camp.vortex.advice.early_game.tomb_kings_hero_technologies.001	tomb_kings_owners
dlc09.camp.vortex.advice.early_game.tomb_kings_recruitment.001	tomb_kings_owners
dlc09.camp.vortex.advice.early_game.tomb_kings_recruitment.002	tomb_kings_owners
dlc09.camp.vortex.arkhan.book_of_nagash.001	tomb_kings_owners
dlc09.camp.vortex.arkhan.book_of_nagash.002	tomb_kings_owners
dlc09.camp.vortex.arkhan.book_of_nagash.003	tomb_kings_owners
dlc09.camp.vortex.arkhan.book_of_nagash.004	tomb_kings_owners
dlc09.camp.vortex.arkhan.book_of_nagash.005	tomb_kings_owners
dlc09.camp.vortex.arkhan.book_of_nagash.006	tomb_kings_owners
dlc09.camp.vortex.arkhan.early_game.001	tomb_kings_owners
dlc09.camp.vortex.arkhan.intro.001	tomb_kings_owners
dlc09.camp.vortex.arkhan.intro.002	tomb_kings_owners
dlc09.camp.vortex.arkhan.intro.003	tomb_kings_owners
dlc09.camp.vortex.arkhan.intro.004	tomb_kings_owners
dlc09.camp.vortex.arkhan.intro.005	tomb_kings_owners
dlc09.camp.vortex.khalida.book_of_nagash.001	tomb_kings_owners
dlc09.camp.vortex.khalida.book_of_nagash.002	tomb_kings_owners
dlc09.camp.vortex.khalida.book_of_nagash.003	tomb_kings_owners
dlc09.camp.vortex.khalida.book_of_nagash.004	tomb_kings_owners
dlc09.camp.vortex.khalida.book_of_nagash.005	tomb_kings_owners
dlc09.camp.vortex.khalida.book_of_nagash.006	tomb_kings_owners
dlc09.camp.vortex.khalida.early_game.001	tomb_kings_owners
dlc09.camp.vortex.khalida.intro.001	tomb_kings_owners
dlc09.camp.vortex.khalida.intro.002	tomb_kings_owners
dlc09.camp.vortex.khalida.intro.003	tomb_kings_owners
dlc09.camp.vortex.khalida.intro.004	tomb_kings_owners
dlc09.camp.vortex.khalida.intro.005	tomb_kings_owners
dlc09.camp.vortex.khatep.book_of_nagash.001	tomb_kings_owners
dlc09.camp.vortex.khatep.book_of_nagash.002	tomb_kings_owners
dlc09.camp.vortex.khatep.book_of_nagash.003	tomb_kings_owners
dlc09.camp.vortex.khatep.book_of_nagash.004	tomb_kings_owners
dlc09.camp.vortex.khatep.book_of_nagash.005	tomb_kings_owners
dlc09.camp.vortex.khatep.book_of_nagash.006	tomb_kings_owners
dlc09.camp.vortex.khatep.early_game.001	tomb_kings_owners
dlc09.camp.vortex.khatep.intro.001	tomb_kings_owners
dlc09.camp.vortex.khatep.intro.002	tomb_kings_owners
dlc09.camp.vortex.khatep.intro.003	tomb_kings_owners
dlc09.camp.vortex.khatep.intro.004	tomb_kings_owners
dlc09.camp.vortex.khatep.intro.005	tomb_kings_owners
dlc09.camp.vortex.settra.book_of_nagash.001	tomb_kings_owners
dlc09.camp.vortex.settra.book_of_nagash.002	tomb_kings_owners
dlc09.camp.vortex.settra.book_of_nagash.003	tomb_kings_owners
dlc09.camp.vortex.settra.book_of_nagash.004	tomb_kings_owners
dlc09.camp.vortex.settra.book_of_nagash.005	tomb_kings_owners
dlc09.camp.vortex.settra.book_of_nagash.006	tomb_kings_owners
dlc09.camp.vortex.settra.early_game.001	tomb_kings_owners
dlc09.camp.vortex.settra.intro.001	tomb_kings_owners
dlc09.camp.vortex.settra.intro.002	tomb_kings_owners
dlc09.camp.vortex.settra.intro.003	tomb_kings_owners
dlc09.camp.vortex.settra.intro.004	tomb_kings_owners
dlc09.camp.vortex.settra.intro.005	tomb_kings_owners
dlc09.camp.vortex.tretch.early_game.001	tomb_kings_everyone
dlc09.camp.vortex.tretch.early_game.002	tomb_kings_owners
dlc09.camp.vortex.tretch.early_game.003	tomb_kings_everyone
dlc09.camp.vortex.tretch.early_game.004	tomb_kings_everyone
dlc09.camp.vortex.tretch.early_game.005	tomb_kings_everyone
dlc09.camp.vortex.tretch.intro.001	tomb_kings_everyone
dlc09.camp.vortex.tretch.intro.002	tomb_kings_everyone
dlc09.camp.vortex.tretch.intro.003	tomb_kings_everyone
dlc09.camp.vortex.tretch.intro.004	tomb_kings_everyone
dlc10.camp.advice.def.death_night.001	shadow_and_crone_everyone
dlc10.camp.advice.def.death_night.002	shadow_and_crone_everyone
dlc10.camp.advice.def.death_night.003	shadow_and_crone_everyone
dlc10.camp.advice.def.death_night.004	shadow_and_crone_everyone
dlc10.camp.advice.def.death_night.005	shadow_and_crone_everyone
dlc10.camp.advice.def.death_night.006	shadow_and_crone_everyone
dlc10.camp.advice.def.death_night.007	shadow_and_crone_everyone
dlc10.camp.advice.def.death_night.008	shadow_and_crone_everyone
dlc10.camp.advice.def.death_night.009	shadow_and_crone_everyone
dlc10.camp.advice.def.death_night.010	shadow_and_crone_everyone
dlc10.camp.advice.def.sword_of_khaine.001	shadow_and_crone_everyone
dlc10.camp.advice.def.sword_of_khaine.002	shadow_and_crone_everyone
dlc10.camp.advice.def.sword_of_khaine.003	shadow_and_crone_everyone
dlc10.camp.advice.def.sword_of_khaine.004	shadow_and_crone_everyone
dlc10.camp.advice.def.sword_of_khaine.005	shadow_and_crone_everyone
dlc10.camp.advice.def.sword_of_khaine.006	shadow_and_crone_everyone
dlc10.camp.advice.dwf.forging_magic_items.001	shadow_and_crone_everyone
dlc10.camp.advice.hef.assassination_targets.001	shadow_and_crone_everyone
dlc10.camp.advice.hef.assassination_targets.002	shadow_and_crone_everyone
dlc10.camp.advice.hef.assassination_targets.003	shadow_and_crone_everyone
dlc10.camp.advice.hef.assassination_targets.004	shadow_and_crone_everyone
dlc10.camp.advice.hef.power_of_nature.001	shadow_and_crone_everyone
dlc10.camp.advice.hef.protector_of_ulthuan.001	shadow_and_crone_everyone
dlc10.camp.advice.hef.protector_of_ulthuan.002	shadow_and_crone_everyone
dlc10.camp.advice.hef.protector_of_ulthuan.003	shadow_and_crone_everyone
dlc10.camp.advice.hef.protector_of_ulthuan.004	shadow_and_crone_everyone
dlc10.camp.advice.mortal_worlds_torment.001	shadow_and_crone_everyone
dlc10.camp.advice.mortal_worlds_torment.002	shadow_and_crone_everyone
dlc10.camp.advice.mortal_worlds_torment.003	shadow_and_crone_everyone
dlc10.camp.advice.mortal_worlds_torment.004	shadow_and_crone_everyone
dlc10.camp.vortex.advice.early_game.oathgold.001	shadow_and_crone_everyone
pro1.camp.Grom.intro.001	core
pro1.camp.Grom.intro.002	core
pro1.camp.Grom.intro.003	core
pro1.camp.Grom.intro.004	core
pro2.camp.Isabella.intro.001	core
pro2.camp.Isabella.intro.002	core
pro2.camp.Isabella.intro.003	core
pro2.camp.Isabella.intro.004	core
pro2.camp.Isabella.intro.005	core
war.battle.advice.armour.001	core
war.battle.advice.artillery.001	core
war.battle.advice.artillery.002	core
war.battle.advice.capture_points.001	core
war.battle.advice.capture_points.002	core
war.battle.advice.cavalry.001	core
war.battle.advice.cavalry.002	core
war.battle.advice.deployment.001	core
war.battle.advice.enemy_general.001	core
war.battle.advice.enemy_general.002	core
war.battle.advice.enemy_general.003	core
war.battle.advice.fatigue.001	core
war.battle.advice.fatigue.002	core
war.battle.advice.fire_at_will.001	core
war.battle.advice.flanking.001	core
war.battle.advice.flying_units.001	core
war.battle.advice.flying_units.002	core
war.battle.advice.forests.001	core
war.battle.advice.forests.002	core
war.battle.advice.formations.001	core
war.battle.advice.general.001	core
war.battle.advice.general.002	core
war.battle.advice.general.003	core
war.battle.advice.giants.001	core
war.battle.advice.giants.002	core
war.battle.advice.high_ground.001	core
war.battle.advice.high_ground.002	core
war.battle.advice.maps.001	core
war.battle.advice.missile_fire.001	core
war.battle.advice.rallying.001	core
war.battle.advice.reinforcements.001	core
war.battle.advice.reinforcements.002	core
war.battle.advice.reinforcements.003	core
war.battle.advice.routing.001	core
war.battle.advice.routing.002	core
war.battle.advice.siege_defending.001	core
war.battle.advice.siege_weapons.001	core
war.battle.advice.siege_weapons.002	core
war.battle.advice.spells.001	core
war.battle.advice.victory_points.001	core
war.battle.advice.victory_points.002	core
war.battle.advice.victory_points.003	core
war.battle.advice.victory_points.004	core
war.battle.advice.visibility.001	core
war.battle.advice.visibility.002	core
war.battle.advice.winds_of_magic.001	core
war.battle.advice.winds_of_magic.002	core
war.battle.prelude.intro.001	core
war.battle.prelude.intro.002	core
war.battle.prelude.intro.010	core
war.battle.prelude.intro.011	core
war.battle.prelude.intro.020	core
war.battle.prelude.intro.030	core
war.battle.prelude.intro.031	core
war.battle.prelude.intro.032	core
war.battle.prelude.intro.033	core
war.battle.prelude.intro.040	core
war.battle.prelude.intro.041	core
war.battle.prelude.intro.050	core
war.battle.prelude.intro.060	core
war.battle.prelude.intro.070	core
war.battle.prelude.intro.071	core
war.battle.prelude.intro.072	core
war.battle.prelude.intro.080	core
war.battle.prelude.intro.090	core
war.battle.prelude.intro.091	core
war.battle.prelude.intro.100	core
war.battle.prelude.intro.110	core
war.battle.prelude.intro.111	core
war.battle.prelude.intro.112	core
war.battle.prelude.intro.113	core
war.battle.prelude.intro.120	core
war.battle.prelude.intro.121	core
war.battle.prelude.intro.122	core
war.battle.prelude.intro.130	core
war.battle.prelude.intro.131	core
war.battle.prelude.intro.132	core
war.battle.prelude.intro.133	core
war.battle.prelude.intro.140	core
war.camp.advice.alliances.001	core
war.camp.advice.ambushes.001	core
war.camp.advice.ambushes.002	core
war.camp.advice.archaeon.001	core
war.camp.advice.archaeon_defeated.001	core
war.camp.advice.armies_at_sea.001	core
war.camp.advice.army_movement.001	core
war.camp.advice.attrition.001	core
war.camp.advice.attrition.002	core
war.camp.advice.autoresolving.001	core
war.camp.advice.bankruptcy.001	core
war.camp.advice.bankruptcy.002	core
war.camp.advice.battles.001	core
war.camp.advice.beastmen.001	core
war.camp.advice.brayherds.001	core
war.camp.advice.building_repair.001	core
war.camp.advice.building_repair.002	core
war.camp.advice.buildings.001	core
war.camp.advice.chaos.001	core
war.camp.advice.chaos_rifts.001	core
war.camp.advice.chaos_rifts.002	core
war.camp.advice.chaos_rising.001	core
war.camp.advice.chaos_rising.002	core
war.camp.advice.chaos_rising.003	core
war.camp.advice.chaos_wastes.001	core
war.camp.advice.chapter_five.001	core
war.camp.advice.chapter_four.001	core
war.camp.advice.chapter_six.001	core
war.camp.advice.chapter_three.001	core
war.camp.advice.chapter_two.001	core
war.camp.advice.character_details.001	core
war.camp.advice.character_skills.001	core
war.camp.advice.civil_war.001	core
